yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,Californida,"Healthcare Assciated Infection, Surgical Site Infections (SSI)",Orange,930001607,"Kindred Hospital, Santa Ana",No surgeries in the 28 surgical procesdure categories were performed in 2016.
1062,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000039,"Kindred Hospital, South Bay",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000017,"Kindred Hospital, Westminster",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Fracnisco,220000012,Laguna Honda Hospital & Rehabilitaion Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventugra,50000553,"Los Robles Hospital & Medical Center, East Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa Clara,70000154,Mission Oaks Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2432,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000011,Modoc Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Californai,"Healthcare Associated Infection, Surgincal Site Infections (SSI)",Los Angeles,930000107,Monrovia Memorial Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000052,Mountains Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califogrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,80000142,Palomar Health Downtown Campus,No surgeries in the 28 surgical procedure categories were performed in 2016.
2635,Caliornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Tulare,170001874,Porterville Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcarce Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000003,"Promise Hospital of East Los Angeles, East L.A Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000613,San Joaquin Valley Rehrabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare ssociated Infection, Surgical Site Infections (SSI)",Santa tBarbara,50000030,Santa Ynez Valley Cottage Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Plumas,230000017,Seneca District Hospital,No surgeries in the 28 surgicalprocedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sonoma,150000050,Sonoma Decvelopmental Center,No surgeries in the 28 surgical proceure categories were performed in 2016.
1912,California,"Healthcare Associated Infection, Surgical Sie Infections (SSI)",Inyo,240000102,Southern Inyo Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associaed Infection, Surgical Site Infections (SSI)",Modouc,230000021,Surprise Valley Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Californpia,"Healthcare Associated Infection, Surgical Site Infectins (SSI)",Humboldt,110000069,The General Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,630012380,Totally Kids RehabilitationH ospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Trinihty,230000022,Trinity Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Anigeles,930000163,USC Kenneth orris Jr. Cancer Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
1571,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Shasta,230000422,Vxibra Hospital of Northern California,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sacramento,30000907,Vibra Hospital of Sacramento,No surgeries in the 28 surgical procedure categories were performed in 2016.
2621,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,90000977,Vibra Hospital of San Diego,No surgeries in the 28 surgical procedure categories were performed in 2016.
