OBJECTID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,TWNSHPLAB,SRVNAME,SURVTYP,SURVTYPTXT,SOURCEDATE,SOURCEREF,SHAPE_Length,SHAPE_Area
34,NM,23,New Mexico Meridian,032,0,S,015,0,W,0,NM230320S0150W0,32S 15W,,,,,,38721.3774285959,93765084.1726009
35,NM,23,New Mexico Meridian,032,0,S,014,0,W,0,NM230320S0140W0,32S 14W,,,,,,38799.5664671895,93907163.0967864
36,NM,23,New Mexico Meridian,033,0,S,015,0,W,0,NM230330S0150W0,33S 15W,,,,,,38728.3501807193,93458476.1575994
37,NM,23,New Mexico Meridian,034,0,S,014,0,W,0,NM230340S0140W0,34S 14W,,,,,,30927.3282565648,57295265.4863094
38,NM,23,New Mexico Meridian,031,0,S,017,0,W,0,NM230310S0170W0,31S 17W,,,,,,38730.8001483635,93478257.6567447
39,NM,23,New Mexico Meridian,030,0,S,017,0,W,0,NM230300S0170W0,30S 17W,,,,,,38264.2019292933,91386677.8682374
40,NM,23,New Mexico Meridian,030,0,S,016,0,W,0,NM230300S0160W0,30S 16W,,,,,,38332.3519950261,91628704.4086261
41,NM,23,New Mexico Meridian,031,0,S,016,0,W,0,NM230310S0160W0,31S 16W,,,,,,38838.8758635763,93935832.83689
42,NM,23,New Mexico Meridian,031,0,S,015,0,W,0,NM230310S0150W0,31S 15W,,,,,,39092.6929425098,95348766.8778453
43,NM,23,New Mexico Meridian,030,0,S,015,0,W,0,NM230300S0150W0,30S 15W,,,,,,38672.5875885891,93354202.401705
44,NM,23,New Mexico Meridian,028,0,S,021,0,W,0,NM230280S0210W0,28S 21W,,,,,,38625.8567995083,92963193.3045622
45,NM,23,New Mexico Meridian,029,0,S,022,0,W,0,NM230290S0220W0,29S 22W,,,,,,24184.9908841926,20151411.5837934
46,NM,23,New Mexico Meridian,029,0,S,021,0,W,0,NM230290S0210W0,29S 21W,,,,,,38834.4408914697,94265929.134407
47,NM,23,New Mexico Meridian,028,0,S,020,0,W,0,NM230280S0200W0,28S 20W,,,,,,38819.3968076151,93405304.17124
48,NM,23,New Mexico Meridian,028,0,S,022,0,W,0,NM230280S0220W0,28S 22W,,,,,,22601.380863484,12285779.3918467
49,NM,23,New Mexico Meridian,029,0,S,020,0,W,0,NM230290S0200W0,29S 20W,,,,,,38700.8461877102,93210011.6066764
50,NM,23,New Mexico Meridian,028,0,S,019,0,W,0,NM230280S0190W0,28S 19W,,,,,,38886.8799542187,94485137.0351288
51,NM,23,New Mexico Meridian,029,0,S,018,0,W,0,NM230290S0180W0,29S 18W,,,,,,38359.3416653333,91718035.8115077
52,NM,23,New Mexico Meridian,028,0,S,018,0,W,0,NM230280S0180W0,28S 18W,,,,,,38712.1459597048,93723149.4921806
53,NM,23,New Mexico Meridian,029,0,S,019,0,W,0,NM230290S0190W0,29S 19W,,,,,,38663.4707080186,93271310.1466399
54,NM,23,New Mexico Meridian,027,0,S,022,0,W,0,NM230270S0220W0,27S 22W,,,,,,22765.4265948163,12081104.237737
55,NM,23,New Mexico Meridian,026,0,S,021,0,W,0,NM230260S0210W0,26S 21W,,,,,,38258.6667332705,91133314.9067405
56,NM,23,New Mexico Meridian,026,0,S,020,0,W,0,NM230260S0200W0,26S 20W,,,,,,38083.0809753583,90756864.0561579
57,NM,23,New Mexico Meridian,026,0,S,022,0,W,0,NM230260S0220W0,26S 22W,,,,,,22284.6219031139,11738420.2173771
58,NM,23,New Mexico Meridian,027,0,S,020,0,W,0,NM230270S0200W0,27S 20W,,,,,,38733.4344703785,93669146.2449116
59,NM,23,New Mexico Meridian,027,0,S,021,0,W,0,NM230270S0210W0,27S 21W,,,,,,38759.1457840474,93535866.8754555
60,NM,23,New Mexico Meridian,027,0,S,018,0,W,0,NM230270S0180W0,27S 18W,,,,,,38765.1954522289,93778451.935384
61,NM,23,New Mexico Meridian,026,0,S,018,0,W,0,NM230260S0180W0,26S 18W,,,,,,38425.7691895814,92169443.1000752
62,NM,23,New Mexico Meridian,027,0,S,019,0,W,0,NM230270S0190W0,27S 19W,,,,,,38712.7035815799,93652951.478744
63,NM,23,New Mexico Meridian,026,0,S,019,0,W,0,NM230260S0190W0,26S 19W,,,,,,38126.9386809525,90714857.7485279
64,NM,23,New Mexico Meridian,028,0,S,017,0,W,0,NM230280S0170W0,28S 17W,,,,,,38833.5622687193,93554415.5865626
65,NM,23,New Mexico Meridian,029,0,S,017,0,W,0,NM230290S0170W0,29S 17W,,,,,,38704.5838118058,93599136.4185397
66,NM,23,New Mexico Meridian,028,0,S,016,0,W,0,NM230280S0160W0,28S 16W,,,,,,38828.6699481776,94324800.3986772
67,NM,23,New Mexico Meridian,029,0,S,016,0,W,0,NM230290S0160W0,29S 16W,,,,,,38656.3909158757,93341635.9438241
68,NM,23,New Mexico Meridian,028,0,S,015,0,W,0,NM230280S0150W0,28S 15W,,,,,,38874.0045897584,94278181.5574904
69,NM,23,New Mexico Meridian,029,0,S,015,0,W,0,NM230290S0150W0,29S 15W,,,,,,38152.0726766054,90783051.234552
70,NM,23,New Mexico Meridian,026,0,S,017,0,W,0,NM230260S0170W0,26S 17W,,,,,,38387.4155771801,91997710.4208119
71,NM,23,New Mexico Meridian,027,0,S,017,0,W,0,NM230270S0170W0,27S 17W,,,,,,38688.6709560541,93460004.0061368
72,NM,23,New Mexico Meridian,027,0,S,016,0,W,0,NM230270S0160W0,27S 16W,,,,,,38768.0486983134,93695457.2103573
73,NM,23,New Mexico Meridian,026,0,S,016,0,W,0,NM230260S0160W0,26S 16W,,,,,,38270.1825528474,91461366.157311
74,NM,23,New Mexico Meridian,026,0,S,015,0,W,0,NM230260S0150W0,26S 15W,,,,,,38246.0236075934,91303468.1334213
75,NM,23,New Mexico Meridian,027,0,S,015,0,W,0,NM230270S0150W0,27S 15W,,,,,,38795.7109045844,93962710.0271023
76,NM,23,New Mexico Meridian,031,0,S,014,0,W,0,NM230310S0140W0,31S 14W,,,,,,39069.1833370483,95177627.1855996
77,NM,23,New Mexico Meridian,030,0,S,014,0,W,0,NM230300S0140W0,30S 14W,,,,,,38944.28935086,94679307.810045
78,NM,23,New Mexico Meridian,029,0,S,014,0,W,0,NM230290S0140W0,29S 14W,,,,,,38121.5552066978,90715807.1070126
79,NM,23,New Mexico Meridian,028,0,S,014,0,W,0,NM230280S0140W0,28S 14W,,,,,,38693.0498010793,93318921.8112636
80,NM,23,New Mexico Meridian,028,0,S,013,0,W,0,NM230280S0130W0,28S 13W,,,,,,38751.4187146237,93685750.3604225
81,NM,23,New Mexico Meridian,029,0,S,013,0,W,0,NM230290S0130W0,29S 13W,,,,,,37020.5367688765,37818987.1187519
82,NM,23,New Mexico Meridian,029,0,S,011,0,W,0,NM230290S0110W0,29S 11W,,,,,,27162.2591558215,40048351.6761539
83,NM,23,New Mexico Meridian,028,0,S,011,0,W,0,NM230280S0110W0,28S 11W,,,,,,38615.8192522654,92986535.4989623
84,NM,23,New Mexico Meridian,028,0,S,012,0,W,0,NM230280S0120W0,28S 12W,,,,,,38558.7379477269,92787918.0991966
85,NM,23,New Mexico Meridian,029,0,S,012,0,W,0,NM230290S0120W0,29S 12W,,,,,,27080.1828187528,39773235.2912531
86,NM,23,New Mexico Meridian,026,0,S,013,0,W,0,NM230260S0130W0,26S 13W,,,,,,38189.6888113866,91053223.0748593
87,NM,23,New Mexico Meridian,027,0,S,013,0,W,0,NM230270S0130W0,27S 13W,,,,,,38633.4526029055,93108427.2912342
88,NM,23,New Mexico Meridian,026,0,S,014,0,W,0,NM230260S0140W0,26S 14W,,,,,,38220.9356835475,91204586.4466408
89,NM,23,New Mexico Meridian,027,0,S,014,0,W,0,NM230270S0140W0,27S 14W,,,,,,38690.1337981753,93360755.0352317
90,NM,23,New Mexico Meridian,027,0,S,012,0,W,0,NM230270S0120W0,27S 12W,,,,,,38342.9720078858,91699001.3003478
91,NM,23,New Mexico Meridian,026,0,S,011,0,W,0,NM230260S0110W0,26S 11W,,,,,,38454.3164100225,92050820.1326418
92,NM,23,New Mexico Meridian,026,0,S,012,0,W,0,NM230260S0120W0,26S 12W,,,,,,38748.5839704695,93721996.616319
93,NM,23,New Mexico Meridian,027,0,S,011,0,W,0,NM230270S0110W0,27S 11W,,,,,,38239.024096736,91421670.9065477
94,NM,23,New Mexico Meridian,028,0,S,010,0,W,0,NM230280S0100W0,28S 10W,,,,,,38758.9325210581,93581878.4776371
95,NM,23,New Mexico Meridian,029,0,S,009,0,W,0,NM230290S0090W0,29S 9W,,,,,,27218.6544572249,40261160.1598072
96,NM,23,New Mexico Meridian,028,0,S,009,0,W,0,NM230280S0090W0,28S 9W,,,,,,38690.7507471553,93403323.8125757
97,NM,23,New Mexico Meridian,029,0,S,010,0,W,0,NM230290S0100W0,29S 10W,,,,,,27200.1559928305,40180973.6565714
98,NM,23,New Mexico Meridian,029,0,S,007,0,W,0,NM230290S0070W0,29S 7W,,,,,,27235.1871545174,40467597.9252859
99,NM,23,New Mexico Meridian,028,0,S,008,0,W,0,NM230280S0080W0,28S 8W,,,,,,38697.3236235711,93424732.2573359
100,NM,23,New Mexico Meridian,029,0,S,008,0,W,0,NM230290S0080W0,29S 8W,,,,,,27228.1151423635,40352578.4703344
101,NM,23,New Mexico Meridian,028,0,S,007,0,W,0,NM230280S0070W0,28S 7W,,,,,,38693.8510370891,93316369.5628673
102,NM,23,New Mexico Meridian,026,0,S,010,0,W,0,NM230260S0100W0,26S 10W,,,,,,38359.5774282513,91624383.8929884
103,NM,23,New Mexico Meridian,027,0,S,010,0,W,0,NM230270S0100W0,27S 10W,,,,,,38651.3660506078,93241023.881685
104,NM,23,New Mexico Meridian,027,0,S,009,0,W,0,NM230270S0090W0,27S 9W,,,,,,38589.1862193956,92873467.7452458
105,NM,23,New Mexico Meridian,026,0,S,009,0,W,0,NM230260S0090W0,26S 9W,,,,,,38117.8011965594,90752977.5385543
106,NM,23,New Mexico Meridian,026,0,S,008,0,W,0,NM230260S0080W0,26S 8W,,,,,,38674.3917515632,91094443.3699373
107,NM,23,New Mexico Meridian,027,0,S,008,0,W,0,NM230270S0080W0,27S 8W,,,,,,38682.3893541004,93258026.2151751
108,NM,23,New Mexico Meridian,026,0,S,007,0,W,0,NM230260S0070W0,26S 7W,,,,,,38661.8587580532,93173486.2651355
109,NM,23,New Mexico Meridian,027,0,S,007,0,W,0,NM230270S0070W0,27S 7W,,,,,,38664.5072589766,93323955.3642163
110,NM,23,New Mexico Meridian,025,0,S,020,0,W,0,NM230250S0200W0,25S 20W,,,,,,38679.9396569498,93307780.3145487
111,NM,23,New Mexico Meridian,024,0,S,021,0,W,0,NM230240S0210W0,24S 21W,,,,,,38418.2439635915,91939375.6768471
112,NM,23,New Mexico Meridian,025,0,S,021,0,W,0,NM230250S0210W0,25S 21W,,,,,,38445.2990792285,92089620.5288616
113,NM,23,New Mexico Meridian,025,0,S,019,0,W,0,NM230250S0190W0,25S 19W,,,,,,38685.121929103,93248229.0704463
114,NM,23,New Mexico Meridian,023,0,S,021,0,W,0,NM230230S0210W0,23S 21W,,,,,,38312.1427389082,91462080.1533551
115,NM,23,New Mexico Meridian,022,0,S,021,0,W,0,NM230220S0210W0,22S 21W,,,,,,38162.0000831655,90835563.7026179
116,NM,23,New Mexico Meridian,025,0,S,017,0,W,0,NM230250S0170W0,25S 17W,,,,,,38718.6148046108,93497509.101307
117,NM,23,New Mexico Meridian,024,0,S,016,0,W,0,NM230240S0160W0,24S 16W,,,,,,38676.7634245315,93409670.7802787
118,NM,23,New Mexico Meridian,025,0,S,016,0,W,0,NM230250S0160W0,25S 16W,,,,,,38795.3646051443,93883200.6927008
119,NM,23,New Mexico Meridian,025,0,S,014,0,W,0,NM230250S0140W0,25S 14W,,,,,,38686.5005468815,93355202.0637867
120,NM,23,New Mexico Meridian,025,0,S,015,0,W,0,NM230250S0150W0,25S 15W,,,,,,38744.2778009257,93683840.8711702
121,NM,23,New Mexico Meridian,024,0,S,015,0,W,0,NM230240S0150W0,24S 15W,,,,,,38725.6675662961,93415304.686682
122,NM,23,New Mexico Meridian,022,0,S,016,0,W,0,NM230220S0160W0,22S 16W,,,,,,38641.1373617364,93191923.4693487
123,NM,23,New Mexico Meridian,023,0,S,016,0,W,0,NM230230S0160W0,23S 16W,,,,,,38635.0804267112,93063705.5934623
124,NM,23,New Mexico Meridian,023,0,S,015,0,W,0,NM230230S0150W0,23S 15W,,,,,,38693.125855448,93280952.962234
125,NM,23,New Mexico Meridian,022,0,S,015,0,W,0,NM230220S0150W0,22S 15W,,,,,,38666.5313138534,93259932.367796
126,NM,23,New Mexico Meridian,021,0,S,021,0,W,0,NM230210S0210W0,21S 21W,,,,,,38304.831095728,91256270.8807597
127,NM,23,New Mexico Meridian,020,0,S,020,0,W,0,NM230200S0200W0,20S 20W,,,,,,38733.8848498024,93509856.8854613
128,NM,23,New Mexico Meridian,020,0,S,021,0,W,0,NM230200S0210W0,20S 21W,,,,,,36714.0741379523,83309575.8714789
129,NM,23,New Mexico Meridian,021,0,S,020,0,W,0,NM230210S0200W0,21S 20W,,,,,,38955.0163938798,94632637.7929912
130,NM,23,New Mexico Meridian,021,0,S,018,0,W,0,NM230210S0180W0,21S 18W,,,,,,38933.0435216502,94420261.8172104
131,NM,23,New Mexico Meridian,020,0,S,018,0,W,0,NM230200S0180W0,20S 18W,,,,,,38751.7727434793,93802015.9217838
132,NM,23,New Mexico Meridian,021,0,S,019,0,W,0,NM230210S0190W0,21S 19W,,,,,,38754.0267579975,93701381.3560595
133,NM,23,New Mexico Meridian,020,0,S,019,0,W,0,NM230200S0190W0,20S 19W,,,,,,38689.0896869791,93388308.3243111
134,NM,23,New Mexico Meridian,018,0,S,021,0,W,0,NM230180S0210W0,18S 21W,,,,,,36713.9335898573,83351691.161824
135,NM,23,New Mexico Meridian,019,0,S,020,0,W,0,NM230190S0200W0,19S 20W,,,,,,38670.5989180443,93299791.1515195
136,NM,23,New Mexico Meridian,019,0,S,021,0,W,0,NM230190S0210W0,19S 21W,,,,,,36695.7970142142,83329310.5632612
137,NM,23,New Mexico Meridian,018,0,S,020,0,W,0,NM230180S0200W0,18S 20W,,,,,,38510.2423286844,92382455.0196783
138,NM,23,New Mexico Meridian,018,0,S,018,0,W,0,NM230180S0180W0,18S 18W,,,,,,38718.6967956872,93218767.962158
139,NM,23,New Mexico Meridian,019,0,S,019,0,W,0,NM230190S0190W0,19S 19W,,,,,,38595.5133025672,92946498.3017442
140,NM,23,New Mexico Meridian,019,0,S,018,0,W,0,NM230190S0180W0,19S 18W,,,,,,38820.988026445,93819931.2788278
141,NM,23,New Mexico Meridian,018,0,S,019,0,W,0,NM230180S0190W0,18S 19W,,,,,,38740.1094055532,93713836.7126276
142,NM,23,New Mexico Meridian,020,0,S,016,0,W,0,NM230200S0160W0,20S 16W,,,,,,38535.0699427075,92857989.0021671
143,NM,23,New Mexico Meridian,020,0,S,017,0,W,0,NM230200S0170W0,20S 17W,,,,,,38494.9231354818,92261331.761491
144,NM,23,New Mexico Meridian,021,0,S,016,0,W,0,NM230210S0160W0,21S 16W,,,,,,38890.8124356791,94240051.3270342
145,NM,23,New Mexico Meridian,021,0,S,017,0,W,0,NM230210S0170W0,21S 17W,,,,,,38724.9331813651,93733522.4531598
146,NM,23,New Mexico Meridian,021,0,S,015,0,W,0,NM230210S0150W0,21S 15W,,,,,,38884.4470986153,94274543.6417091
147,NM,23,New Mexico Meridian,020,0,S,015,0,W,0,NM230200S0150W0,20S 15W,,,,,,38641.6734697583,92948636.9784171
148,NM,23,New Mexico Meridian,025,0,S,013,0,W,0,NM230250S0130W0,25S 13W,,,,,,38712.542737355,93446668.3982603
149,NM,23,New Mexico Meridian,024,0,S,013,0,W,0,NM230240S0130W0,24S 13W,,,,,,38682.8020668814,93330091.9913721
150,NM,23,New Mexico Meridian,024,0,S,014,0,W,0,NM230240S0140W0,24S 14W,,,,,,38645.3507289855,93202693.1302919
151,NM,23,New Mexico Meridian,024,0,S,012,0,W,0,NM230240S0120W0,24S 12W,,,,,,38698.6892242791,93437837.8087981
152,NM,23,New Mexico Meridian,024,0,S,011,0,W,0,NM230240S0110W0,24S 11W,,,,,,38780.0086160372,93578911.8506796
153,NM,23,New Mexico Meridian,025,0,S,012,0,W,0,NM230250S0120W0,25S 12W,,,,,,38691.5259887864,93568683.6705247
154,NM,23,New Mexico Meridian,025,0,S,011,0,W,0,NM230250S0110W0,25S 11W,,,,,,38697.6468005117,93031612.0082577
155,NM,23,New Mexico Meridian,022,0,S,013,0,W,0,NM230220S0130W0,22S 13W,,,,,,38493.6447079888,92415311.8526102
156,NM,23,New Mexico Meridian,023,0,S,013,0,W,0,NM230230S0130W0,23S 13W,,,,,,38773.4534773593,93654818.2337775
157,NM,23,New Mexico Meridian,022,0,S,014,0,W,0,NM230220S0140W0,22S 14W,,,,,,38607.6182611689,92990655.2849943
158,NM,23,New Mexico Meridian,023,0,S,014,0,W,0,NM230230S0140W0,23S 14W,,,,,,38625.2837804584,93014827.1894627
159,NM,23,New Mexico Meridian,023,0,S,012,0,W,0,NM230230S0120W0,23S 12W,,,,,,38623.8665278988,93178674.3271267
160,NM,23,New Mexico Meridian,022,0,S,012,0,W,0,NM230220S0120W0,22S 12W,,,,,,38701.3631043695,93334636.3719431
161,NM,23,New Mexico Meridian,023,0,S,011,0,W,0,NM230230S0110W0,23S 11W,,,,,,38682.8864004644,93274608.6934592
162,NM,23,New Mexico Meridian,022,0,S,011,0,W,0,NM230220S0110W0,22S 11W,,,,,,38746.0783607124,93564868.1189081
163,NM,23,New Mexico Meridian,024,0,S,010,0,W,0,NM230240S0100W0,24S 10W,,,,,,38707.5461972889,93698046.9255111
164,NM,23,New Mexico Meridian,025,0,S,010,0,W,0,NM230250S0100W0,25S 10W,,,,,,38680.3664795731,93424416.098822
165,NM,23,New Mexico Meridian,024,0,S,009,0,W,0,NM230240S0090W0,24S 9W,,,,,,38770.9329925254,93747252.6863703
166,NM,23,New Mexico Meridian,025,0,S,009,0,W,0,NM230250S0090W0,25S 9W,,,,,,38746.3623650129,93350496.6492716
167,NM,23,New Mexico Meridian,024,0,S,007,0,W,0,NM230240S0070W0,24S 7W,,,,,,39586.8446312058,98262390.3677234
168,NM,23,New Mexico Meridian,025,0,S,008,0,W,0,NM230250S0080W0,25S 8W,,,,,,38537.5144386481,92808751.582054
169,NM,23,New Mexico Meridian,025,0,S,007,0,W,0,NM230250S0070W0,25S 7W,,,,,,40387.3767585941,101777474.178668
170,NM,23,New Mexico Meridian,024,0,S,008,0,W,0,NM230240S0080W0,24S 8W,,,,,,38668.8584696706,93160357.6694231
171,NM,23,New Mexico Meridian,023,0,S,009,0,W,0,NM230230S0090W0,23S 9W,,,,,,38758.2086758732,93742426.2485023
172,NM,23,New Mexico Meridian,023,0,S,010,0,W,0,NM230230S0100W0,23S 10W,,,,,,38675.7707492249,93331779.7758627
173,NM,23,New Mexico Meridian,022,0,S,010,0,W,0,NM230220S0100W0,22S 10W,,,,,,38695.133981282,93281678.3464166
174,NM,23,New Mexico Meridian,022,0,S,009,0,W,0,NM230220S0090W0,22S 9W,,,,,,38759.2282012606,93671032.7289
175,NM,23,New Mexico Meridian,022,0,S,008,0,W,0,NM230220S0080W0,22S 8W,,,,,,38699.0760296509,93441716.2324692
176,NM,23,New Mexico Meridian,023,0,S,007,0,W,0,NM230230S0070W0,23S 7W,,,,,,40784.604918247,103761060.243602
177,NM,23,New Mexico Meridian,023,0,S,008,0,W,0,NM230230S0080W0,23S 8W,,,,,,38688.8558926322,93304834.9257561
178,NM,23,New Mexico Meridian,022,0,S,007,0,W,0,NM230220S0070W0,22S 7W,,,,,,39407.8250371295,96981582.9222315
179,NM,23,New Mexico Meridian,021,0,S,014,0,W,0,NM230210S0140W0,21S 14W,,,,,,38891.4048719819,94131326.8095131
180,NM,23,New Mexico Meridian,020,0,S,014,0,W,0,NM230200S0140W0,20S 14W,,,,,,38879.3447214003,94363533.4150488
181,NM,23,New Mexico Meridian,020,0,S,013,0,W,0,NM230200S0130W0,20S 13W,,,,,,39108.033327205,95136436.0124881
182,NM,23,New Mexico Meridian,021,0,S,013,0,W,0,NM230210S0130W0,21S 13W,,,,,,38817.1762960334,93887210.4698443
183,NM,23,New Mexico Meridian,020,0,S,011,0,W,0,NM230200S0110W0,20S 11W,,,,,,38827.0787492735,94204531.621558
184,NM,23,New Mexico Meridian,021,0,S,012,0,W,0,NM230210S0120W0,21S 12W,,,,,,39015.8859942038,94913334.093014
185,NM,23,New Mexico Meridian,021,0,S,011,0,W,0,NM230210S0110W0,21S 11W,,,,,,38910.7416372114,94237412.4098326
186,NM,23,New Mexico Meridian,020,0,S,012,0,W,0,NM230200S0120W0,20S 12W,,,,,,38861.8503550893,94430621.8548726
187,NM,23,New Mexico Meridian,018,0,S,014,0,W,0,NM230180S0140W0,18S 14W,,,,,,38758.3517731033,93741471.1777212
188,NM,23,New Mexico Meridian,019,0,S,014,0,W,0,NM230190S0140W0,19S 14W,,,,,,38932.6990029389,94111019.0707826
189,NM,23,New Mexico Meridian,021,0,S,009,0,W,0,NM230210S0090W0,21S 9W,,,,,,39271.8321572394,96087818.3289914
190,NM,23,New Mexico Meridian,020,0,S,010,0,W,0,NM230200S0100W0,20S 10W,,,,,,38881.2611602551,93988220.1199921
191,NM,23,New Mexico Meridian,020,0,S,009,0,W,0,NM230200S0090W0,20S 9W,,,,,,38722.8469359265,93996328.8857834
192,NM,23,New Mexico Meridian,021,0,S,010,0,W,0,NM230210S0100W0,21S 10W,,,,,,39001.3178595677,94601547.8516455
193,NM,23,New Mexico Meridian,021,0,S,008,0,W,0,NM230210S0080W0,21S 8W,,,,,,39222.8421725392,95017586.3811081
194,NM,23,New Mexico Meridian,020,0,S,008,0,W,0,NM230200S0080W0,20S 8W,,,,,,39629.1174188713,98410469.228243
195,NM,23,New Mexico Meridian,021,0,S,007,0,W,0,NM230210S0070W0,21S 7W,,,,,,40633.59671312,103134405.357313
196,NM,23,New Mexico Meridian,020,0,S,007,0,W,0,NM230200S0070W0,20S 7W,,,,,,38981.8545213015,94635393.4198845
197,NM,23,New Mexico Meridian,018,0,S,009,0,W,0,NM230180S0090W0,18S 9W,,,,,,38752.3786680909,93831271.6484934
198,NM,23,New Mexico Meridian,018,0,S,010,0,W,0,NM230180S0100W0,18S 10W,,,,,,38724.4653749918,93448610.79749
199,NM,23,New Mexico Meridian,019,0,S,010,0,W,0,NM230190S0100W0,19S 10W,,,,,,38685.2026620773,93337741.7354412
200,NM,23,New Mexico Meridian,019,0,S,009,0,W,0,NM230190S0090W0,19S 9W,,,,,,38756.2878531645,93719018.3267984
201,NM,23,New Mexico Meridian,018,0,S,008,0,W,0,NM230180S0080W0,18S 8W,,,,,,38477.6198053089,91904846.9603393
