area,perimeter,landgrant,landgra_one,grantname,surveyapp,grantconf
195315246.828,71004.1619405,62,7,CAJA DEL RIO,1894/11/23,1895/04/15
68341958.643,33004.1415361,63,58,TESUQUE PUEBLO,1860/09/01,1858/12/22
87719817.2874,37486.059203,64,52,JOHN SCOLLY,1876/12/20,1860/06/21
471972494.108,103621.008406,65,114,OJO DEL ESPIRITU SANTO,1876/11/10,1869/03/03
2485332708.6,209811.955472,66,54,PABLO MONTOYA,1872/06/15,1869/03/03
1726883494.49,191708.185325,67,53,LAS VEGAS,1860/12/08,1860/06/21
33892226.5078,30355.1548707,68,57,JUAN DE GABALDON,1896/07/07,1897/10/12
63724175.7974,41608.8521302,69,60,SANTA FE,1878/07/05,1900/04/09
77408736.0,64649.1217362,70,5,CANADA DE COCHITI,1900/12/18,1900/12/18
17228519.6456,17122.260308,71,3,OJO DE SAN JOSE,1902/08/21,1902/08/21
97827472.71210001,40244.6838811,72,176,LA MAJADA/CAJA DEL RIO,1899/12/30,1899/12/30
12229903.2357,21901.906489,73,113,M & S MONTOYA,1900/08/23,1900/08/07
756360.646438,4230.79986583,74,63,SALVADOR GONZALES/SANTA FE,1899/08/28,1899/08/29
1092431.22395,9589.32489628,75,66,SANTIAGO RAMIREZ,1900/10/01,1900/12/18
1683630.36499,6780.65239708,76,64,TALAYA HILL,1900/05/17,1900/05/17
3138974.84127,8238.31617998,77,65,TALAYA HILL/SANTA FE,1899/12/30,1899/12/30
71210838.4359,38773.0535468,78,174,COCHITI PUEBLO,1860/10/06,1858/12/22
28300764.1918,35100.7667776,79,177,COCHITI PUEBLO/LA MAJADA,1899/12/30,1899/12/30
65539250.475,32388.495361,80,162,JEMEZ PUEBLO,1860/10/03,1858/12/22
12995038.5486,19973.7758929,81,62,CIENEGUILLA,1899/05/29,1899/08/29
53870252.3829,34021.0720093,82,67,SEBASTIAN DE VARGAS,1899/08/08,1899/08/29
260505886.228,83413.8175335,83,171,SANTO DOMINGO PUEBLO,1860/10/19,1858/12/22
2433054.85486,7517.84646634,84,61,PACHECO,1894/07/17,1895/06/28
86222434.51029998,48580.1946886,85,77,LA MAJADA,1896/11/23,1896/03/25
66041553.6131,33235.075563,86,4,OJO DEL BORREGO,1898/02/07,1898/02/07
4866970.84413,9425.93958958,87,70,ALEXANDER VALLE,1876/11/10,1860/06/21
189758095.094,78196.8841901,88,115,IGNACIO CHAVES,1898/01/28,1898/07/06
17648321.5127,21008.421438,89,116,FELIPE TAFOYA,1900/08/23,1900/08/07
75892299.90039998,34868.9735077,90,71,PECOS,1860/09/26,1858/12/22
2583383.98257,6994.23805869,91,194,SAN YSIDRO/OJO DEL ESPIRITU SANTO,1899/12/30,1899/12/30
43663836.1381,42479.4291156,92,2,SAN YSIDRO,1877/06/05,1860/06/21
710468.755709,4282.43298384,93,173,COCHITI PUEBLO/SANTO DOMINGO PUEBLO,1899/12/30,1899/12/30
857633.391957,4602.70659868,94,0,NON GRANT,1899/12/30,1899/12/30
47868182.1735,35211.0656995,95,68,CANADA DE LOS ALAMOS,1894/10/09,1895/03/12
3358376.89995,9993.52292492,96,76,MESITA DE JUANA LOPEZ,1877/02/28,1879/12/31
69206625.5064,33382.5075727,97,163,ZIA PUEBLO,1860/09/28,1858/12/22
68548508.5455,36366.9873253,98,69,LAMY OR NUESTRA SENORA DE LA LUZ,1862/08/14,1860/06/21
5789982.24825,10603.5410785,99,75,LOS CERRILLOS,1897/07/07,1897/10/12
4306704.58108,9334.09642304,100,73,SITIO DE JUANA LOPEZ,1897/07/07,1897/10/12
119251.47127,1727.03305499,101,76,MESITA DE JUANA LOPEZ,1877/02/28,1879/12/31
2291439.36415,7816.02226415,102,74,SITIO DE LOS CERRILLOS,1897/07/07,1897/10/12
8539524.13216,12379.4004261,103,175,LA MAJADA/MESITA DE JUANA LOPEZ,1899/12/30,1899/12/30
59226.5277643,1413.80525044,104,175,LA MAJADA/MESITA DE JUANA LOPEZ,1899/12/30,1899/12/30
309607.741373,4874.04969323,105,77,LA MAJADA,1896/11/23,1896/03/25
74231003.8735,38866.401958,106,76,MESITA DE JUANA LOPEZ,1877/02/28,1879/12/31
26271505.7879,24892.2855702,107,165,SAN FELIPE PUEBLO,1860/10/23,1858/12/22
15124175.2761,22226.8526593,108,170,SANTO DOMINGO/MESITA DE JUANA LOPEZ,1899/12/30,1899/12/30
29782243.1238,28680.1055661,109,72,LOS TRIGOS,1877/06/05,1860/06/21
103468054.385,40857.8436246,110,117,BARTOLOME FERNANDEZ,1896/06/01,1896/08/17
190137908.826,59958.6338726,111,127,TECOLOTE,1860/10/26,1858/12/22
2317086.13614,7516.38017427,112,84,SANTA ROSA DE CUBERO,1900/12/18,1900/12/18
5421627.74607,16982.9408179,113,172,SAN FELIPE PUEBLO/SANTA ROSA DE CUBERO,1899/12/30,1899/12/30
322172.815417,2560.90565137,114,167,SAN FELIPE PUEBLO/SANTO DOMINGO & SAN FELIPE PUEBLOS,1899/12/30,1899/12/30
990174.065426,6586.03874321,115,168,SANTO DOMINGO & SAN FELIPE PUEBLO,1902/06/27,1902/08/21
2381212.74082,10764.8052331,116,169,SANTO DOMINGO PUEBLO/SANTO DOMINGO & SAN FELIPE PUEB,1899/12/30,1899/12/30
924978.37254,7579.94833702,117,135,SAN MIGUEL DEL BADO TRACT 6,1904/05/14,1904/06/16
99631663.617,47201.6431086,118,166,SAN FELIPE PUEBLO,1860/10/23,1858/12/22
7722614.04629,11116.4838903,119,81,SAN MARCOS,1895/01/28,1895/05/18
67006241.7714,32760.0072445,120,180,SANTA ANA PUEBLO,1876/12/30,1869/02/09
29044.7449483,1194.19213424,121,137,SAN MIGUEL DEL BADO TRACT 8,1904/05/14,1904/06/16
1306676.68209,6154.7756817,122,82,ALAMITOS,1901/08/17,1901/12/17
159225983.06,58397.4400354,123,121,NUESTRA SENORA DE LA LUZ DE LAS LAGUNITAS,1902/05/28,1902/05/28
745967.853962,6542.48867482,124,138,SAN MIGUEL DEL BADO TRACT 5,1904/05/14,1904/06/16
841741.335434,6168.83491977,125,136,SAN MIGUEL DEL BADO TRACT 4,1904/05/14,1904/06/16
734913935.881,142424.895499,126,134,PRESTON BECK,1860/11/23,1860/06/21
14657667.3689,19907.8978966,127,76,MESITA DE JUANA LOPEZ,1877/02/28,1879/12/31
729827596.0909998,115888.909676,128,120,CEBOLLETA,1881/12/05,1869/03/03
637592427.505,102367.087026,129,129,ANTONIO ORTIZ,1876/11/10,1869/03/03
73470.856145,2755.65106474,130,139,SAN MIGUEL DEL BADO TRACT 9,1904/05/14,1904/06/16
204851791.298,79089.1158081,131,55,BACA LOCATION NO. 2,1861/09/28,1860/06/21
327229744.594,75575.1229217,132,128,SAN CRISTOVAL,1880/07/26,1860/06/21
197966598.222,58324.8154117,133,56,PABLO MONTOYA/BACA LOCATION NO. 2,1899/12/30,1899/12/30
32782032.9936,26959.8333213,134,122,CEBOLLETA/NUESTRA SENORA DE LA LUZ DE LAS LAGUNITAS,1899/12/30,1899/12/30
592859.431926,3959.10531606,135,140,SAN MIGUEL DEL BADO TRACT 3,1904/05/14,1904/06/16
251185023.739,81131.737119,136,79,ORTIZ MINE,1861/09/10,1861/03/01
44598836.0945,27166.1051716,137,78,ORTIZ MINE/MESITA DE JUANA LOPEZ,1899/12/30,1899/12/30
508173.367278,3264.13219845,138,0,NULL,1899/12/30,1899/12/30
14131972.2877,54713.9369512,139,142,SAN MIGUEL DEL BADO TRACT 2,1904/05/14,1904/06/16
2688299.44939,10940.9169483,140,88,ANGOSTURA,1900/12/18,1900/12/18
4118056.94873,11743.1796979,141,88,ANGOSTURA/SAN FELIPE PUEBLO,1900/12/18,1900/12/18
1122461.11928,4696.61795288,142,83,GALISTEO,1899/08/28,1899/08/29
16735381.0398,22380.441164,143,164,EL RANCHITO,1900/12/18,1900/12/18
2503374.68318,8093.61393869,144,164,EL RANCHITO/SAN FELIPE PUEBLO,1900/12/18,1900/12/18
1028123410.34,177582.217101,145,129,ANTON CHICO,1860/12/15,1860/06/21
48739290.2962,29134.2006477,146,86,TOWN OF TEJON,1877/06/05,1860/06/21
178803103.69,59427.1827393,147,126,BERNABE MONTANO,1897/04/16,1897/05/07
18066832.9862,39888.8473676,148,118,SAN MATEO SPRINGS,1901/07/15,1901/07/15
12121220.0245,14856.0517082,149,124,CEBOLLETA/AGUA SALADA,1899/12/30,1899/12/30
84815.3243184,1862.15837561,150,196,AGUA SALADA/NUESTRA SENORA DE LA LUZ DE LAS LAGUNITA,1899/12/30,1899/12/30
13674766.5349,16500.8548667,151,85,BERNALILLO OR FELIPE GUTIERRES,1899/08/28,1899/08/26
43166220.346,39560.5255164,152,120,AGUA SALADA,1900/01/15,1899/11/27
54901.9268429,1131.7838431,153,199,NON GRANT,1899/12/30,1899/12/30
19759165.9283,19125.1788974,154,89,SAN ANTONIO DE LAS HUERTAS,1901/12/27,1901/12/27
2289224.50125,6065.25151891,155,141,SAN MIGUEL DEL BADO TRACT 7,1904/05/14,1904/06/16
501454755.488,122746.505298,156,131,ANTON CHICO/PRESTON BECK,1899/12/30,1899/12/30
16394752.1399,16657.7250945,157,125,CANADA DE LOS ALAMOS,1898/06/17,1898/06/16
492663.032248,3182.12916153,158,143,SAN MIGUEL DEL BADO TRACT 1,1904/05/14,1904/06/16
488934.512362,3082.72993107,159,80,CANON DEL AGUA/ORTIZ MINE,1866/10/16,1899/12/30
946869.597239,3914.87753287,160,80,CANON DEL AGUA,1866/10/16,1899/12/30
127496998.531,48179.1878931,161,181,SAN PEDRO,1875/02/25,1860/06/21
31030290.7386,30168.6250737,162,185,LAGUNA PURCHASES TRACT 1,1877/06/05,1860/06/21
39971356.5847,33366.7498491,163,184,CUBERO/LAGUNA PURCHASES,1899/12/30,1899/12/30
232366771.242,81665.5460564,164,185,LAGUNA PURCHASES TRACT 1,1877/06/05,1860/06/21
341283935.42,89437.6181207,165,92,TOWN OF ATRISCO,1897/07/10,1897/10/12
46971330.1953,32005.6351395,166,91,ALBUQUERQUE,1883/11/28,1901/02/18
69846775.6233,33428.0115312,167,195,ZUNI PUEBLO,1899/12/30,1899/12/30
381850090.293,79057.4178156,168,183,ACOMA PUEBLO,1877/06/05,1858/12/22
22829275.3833,24566.7566713,169,119,CUBERO,1897/07/15,1898/06/24
8170879.29334,36349.2902302,170,93,CANON DE CARNUE,1901/12/17,1901/12/17
13667618.0558,16080.3618226,171,187,LAGUNA PURCHASES TRACT 4,1877/06/05,1860/06/21
28465754.5879,21875.9397269,172,188,LAGUNA PURCHASES TRACT 3,1877/06/05,1860/06/21
67352570.1524,32843.2087983,173,182,LAGUNA PUEBLO,1899/08/08,1899/08/29
2446177.68659,7133.2973228,174,188,LAGUNA PURCHASES TRACT 5,1877/06/05,1860/06/21
62996722.5188,31660.0472159,175,186,LAGUNA PURCHASES TRACT 2,1877/06/05,1860/06/21
441843.243691,3931.89233103,176,0,NON GRANT,1899/12/30,1899/12/30
18082521.2033,21820.2333234,177,133,JOSE PEREA/PRESTON BECK,1899/12/30,1899/12/30
49664774.8824,40386.8648186,178,132,JOSE PEREA,1871/08/08,1860/06/21
2787727.29992,8012.88488792,179,133,JOSE PEREA/PRESTON BECK,1899/12/30,1899/12/30
350646470.78,105476.897854,180,95,ANTONIO SEDILLO,1901/07/16,1901/07/16
11594011.8476,16732.9085154,181,0,NON GRANT,1899/12/30,1899/12/30
118090439.995,59643.7805646,182,94,PAJARITO,1899/08/28,1899/08/29
164016763.694,54701.568073,183,103,CHILILI,1860/11/08,1858/12/22
445620789.636,128864.483057,184,102,ISLETA PUEBLO,1860/10/12,1858/12/22
70352537.0179,33549.0231807,185,144,AGUA NEGRA,1877/06/05,1860/06/21
23389857.5278,25685.6698592,186,0,NON GRANT,1899/12/30,1899/12/30
92983080.8131,55966.1179366,187,96,GUTIERREZ AND SEDILLO,1902/04/08,1902/07/23
209872172.168,80038.9099715,188,99,LO DE PADILLA,1902/08/21,1902/08/21
151119776.257,65577.7146272,189,97,SAN CLEMENTE,1899/09/07,1899/09/07
197262456.819,75600.2317437,190,98,NICOLAS DURAN DE CHAVEZ,1895/01/25,1895/06/23
28918652.8773,21555.7197229,191,104,TOWN OF TAJIQUE,1877/06/05,1860/06/21
489161362.915,95420.307604,192,100,TOME,1860/10/31,1858/12/22
56591029.4593,31832.5448411,193,105,TOWN OF TORREON,1877/06/05,1860/06/21
310675200.698,145089.43665,194,101,BELEN,1860/11/05,1858/12/22
69745940.5111,33388.8809627,195,106,TOWN OF MANZANO,1877/06/05,1860/06/21
2613104.2193,6463.58488472,196,107,LA SALINA,1890/06/27,1888/10/01
424228951.087,85560.6289649,197,109,BELEN/CASA COLORADO,1899/12/30,1899/12/30
62812494.8461,45680.8966475,198,108,CASA COLORADO,1877/06/05,1858/12/22
1063735556.42,149009.585578,199,111,SEVILLETA,1901/12/17,1901/12/17
44987150.7612,60898.389767,200,110,BELEN/SEVILLETA,1899/12/30,1899/12/30
70538064.4953,33616.2194818,201,112,TOWN OF SOCORRO,1895/03/13,1895/06/28
367072505.033,96449.1197047,202,147,PEDRO ARMENDARIZ NO. 34,1872/12/20,1860/06/21
219672997.084,67037.9230883,203,145,BOSQUE DEL APACHE,1872/01/25,1860/06/21
1433910367.59,201305.409862,204,146,PEDRO ARMENDARIZ NO. 33,1872/12/20,1860/06/21
2611045.27595,6436.10953581,205,193,BENJAMIN E. EDWARDS,1882/08/05,1878/06/06
142547746.24,80904.6396726,206,148,DONA ANA BEND COLONY,1902/08/08,1902/08/08
87196361.3559,70149.9491662,207,149,MESILLA CIVIL COLONY,1902/08/08,1902/08/08
402130.622594,3231.88294056,208,154,MESILLA/SANTO TOMAS,1899/12/30,1899/12/30
59936662.3712,47146.6018468,209,152,BRAZITO,1879/04/05,1856/12/31
413568.798321,8291.55824342,210,153,MESILLA/SANTO TOMAS,1899/12/30,1899/12/30
38139486.9049,37174.9214057,211,150,SANTO TOMAS DE ITURBIDE,1903/06/26,1903/06/26
14312911.3158,17347.8965099,212,151,J.M.S. BACA,1902/08/08,1902/08/08
46111098.8363,32484.4955689,213,155,REFUGIO COLONY,1904/06/16,1904/06/16
23908691.9996,30083.2635309,214,156,SANTA TERESA,1904/06/16,1904/06/16
282944.490625,2923.45380837,215,197,NON GRANT,1899/12/30,1899/12/30
227325.278759,2579.99945765,216,198,NON GRANT,1899/12/30,1899/12/30
277004724789.0,7550570.29108,217,0,NON GRANT,1899/12/30,1899/12/30
342803940.237,84538.3452165,218,200,TOWN OF ALAMEDA,1895/05/08,1895/10/21
84542344.49539998,44462.8274945,219,189,SANDIA PUEBLO,1860/10/15,1858/12/22
10491499.2829,19072.7375339,220,190,TOWN OF ALAMEDA/SANDIA PUEBLO,1899/12/30,1899/12/30
4396014.329,9557.01055022,221,201,TOWN OF ALAMEDA/SANDIA PUEBLO,1899/12/30,1899/12/30
1822221.79208,24584.2368927,222,202,NON GRANT,1899/12/30,1899/12/30
138679389.058,59069.9184212,223,90,ELENA GALLEGOS,1899/08/08,1899/08/29
