characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,40.9%,0.55,,7004.0,119.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,41.6%,0.55,,7129.0,120.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,41.7%,0.55,,7228.0,121.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,42.8%,0.55,,7393.0,122.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,41%,0.54,,7200.0,120.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,42.6%,0.54,,7533.0,123.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,44.2%,0.54,,7894.0,126.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,45%,0.55,,7983.0,126.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,43.3%,0.81,,7663.0,146.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,44.7%,0.77,,7882.0,158.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,42.1%,0.83,,7189.0,156.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2000,30.5%,1.21,,1182.0,54.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2001,31.4%,1.22,,1226.0,55.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2002,31.9%,1.18,,1196.0,51.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2003,32.3%,1.2,,1190.0,51.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2004,31.8%,1.18,,1201.0,52.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2005,33.1%,1.18,,1259.0,53.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2006,32.6%,1.16,,1291.0,53.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2007,33.1%,1.15,,1340.0,54.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2008,32.1%,1.13,,1311.0,54.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2009,37.7%,1.17,,1574.0,58.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2010,38.4%,1.66,,1611.0,71.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2011,37.1%,1.53,,1571.0,69.0,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2012,36.4%,1.62,,1578.0,75.0,
Total - Hispanic,,Hispanic,2000,21.7%,1.12,,899.0,51.0,
Total - Hispanic,,Hispanic,2001,21.7%,1.1,,931.0,52.0,
Total - Hispanic,,Hispanic,2002,19.9%,0.94,,979.0,50.0,
Total - Hispanic,,Hispanic,2003,23.5%,1.02,,1115.0,53.0,
Total - Hispanic,,Hispanic,2004,24.7%,1.02,,1221.0,55.0,
Total - Hispanic,,Hispanic,2005,24.8%,1.02,,1215.0,55.0,
Total - Hispanic,,Hispanic,2006,23.6%,0.99,,1182.0,55.0,
Total - Hispanic,,Hispanic,2007,26.6%,1.02,,1375.0,58.0,
Total - Hispanic,,Hispanic,2008,25.8%,1.01,,1338.0,58.0,
Total - Hispanic,,Hispanic,2009,27.5%,1.01,,1465.0,60.0,
Total - Hispanic,,Hispanic,2010,31.9%,1.15,,1814.0,69.0,
Total - Hispanic,,Hispanic,2011,34.8%,1.2,,2079.0,78.0,
Total - Hispanic,,Hispanic,2012,37.5%,1.18,,2403.0,80.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,55.9%,2.42,,631.0,40.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,61.3%,2.35,,707.0,42.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,60.9%,2.1,,789.0,42.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,61.2%,2.27,,682.0,39.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,60.6%,2.24,,692.0,39.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,61%,2.26,,684.0,39.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,58.3%,2.28,,657.0,38.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,57.2%,2.28,,651.0,38.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,59.3%,2.32,,640.0,38.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,65.2%,2.17,,756.0,41.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,63.6%,2.7,,807.0,41.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,60.1%,2.45,,729.0,35.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,59.8%,2.61,,883.0,47.0,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,43.3%,9.97,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,55.8%,8.99,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,50.6%,10.95,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,39.1%,8.36,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,37.1%,9.07,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,27.3%,8.92,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,33.4%,7.45,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,36%,8.36,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,37.8%,7.93,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,50.3%,9.6,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2000,15.9%,4.3,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2001,23.3%,4.29,,61.0,13.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,23.6%,3.96,,66.0,13.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,17.7%,4.45,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,24.4%,4.52,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,27.8%,4.88,,57.0,12.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,26.2%,5.18,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,24.7%,4.63,,52.0,11.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,21.9%,4.22,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,29.8%,5.1,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,41.4%,6.6,,85.0,21.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,23.5%,5.3,,54.0,15.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,27.8%,4.43,,75.0,13.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,41.6%,3.58,,190.0,21.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,36.8%,3.44,,174.0,20.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,41.8%,3.48,,202.0,22.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,38.5%,3.51,,178.0,21.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,39.2%,3.48,,186.0,21.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,45.7%,3.55,,216.0,23.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,39.3%,3.32,,205.0,22.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,38.3%,4.38,,183.0,25.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,38.8%,3.6,,218.0,24.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,39.4%,3.64,,278.0,33.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2000,36.2%,0.79,,3136.0,85.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2001,37.2%,0.79,,3291.0,87.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2002,38.9%,0.77,,3287.0,83.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2003,38.5%,0.77,,3291.0,83.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2004,38.4%,0.76,,3322.0,83.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2005,39.4%,0.76,,3429.0,84.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2006,37.9%,0.75,,3354.0,83.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2007,39.6%,0.76,,3541.0,86.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2008,41.7%,0.76,,3766.0,88.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2009,42.3%,0.76,,3787.0,89.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2010,40.6%,1.0,,3617.0,90.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2011,42.4%,0.96,,3754.0,90.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2012,38.3%,1.06,,3290.0,106.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,25.1%,1.67,,456.0,34.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,26.7%,1.7,,481.0,35.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,26.3%,1.63,,464.0,33.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,28.2%,1.68,,488.0,34.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,26.5%,1.63,,470.0,33.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,28.2%,1.64,,513.0,35.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,28.1%,1.6,,536.0,35.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,32.2%,1.63,,635.0,38.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,29.7%,1.61,,580.0,37.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,33.2%,1.64,,661.0,39.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,35.2%,2.13,,701.0,43.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,34%,2.29,,689.0,48.0,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,33.9%,2.04,,708.0,46.0,
Hispanic,Male,Hispanic,2000,18.5%,1.45,,401.0,34.0,
Hispanic,Male,Hispanic,2001,17.4%,1.42,,379.0,34.0,
Hispanic,Male,Hispanic,2002,16.2%,1.17,,439.0,34.0,
Hispanic,Male,Hispanic,2003,18.3%,1.27,,465.0,35.0,
Hispanic,Male,Hispanic,2004,21.7%,1.33,,574.0,39.0,
Hispanic,Male,Hispanic,2005,20.7%,1.31,,540.0,38.0,
Hispanic,Male,Hispanic,2006,20%,1.29,,523.0,37.0,
Hispanic,Male,Hispanic,2007,20.7%,1.29,,560.0,38.0,
Hispanic,Male,Hispanic,2008,23%,1.35,,615.0,40.0,
Hispanic,Male,Hispanic,2009,24.2%,1.35,,663.0,42.0,
Hispanic,Male,Hispanic,2010,27.9%,1.57,,819.0,47.0,
Hispanic,Male,Hispanic,2011,31%,1.63,,1006.0,56.0,
Hispanic,Male,Hispanic,2012,33.5%,1.58,,1109.0,57.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,59%,3.38,,335.0,29.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,63.7%,3.26,,372.0,31.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,59.9%,2.9,,412.0,31.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,62.2%,3.26,,332.0,28.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,63.5%,3.1,,370.0,29.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,63.1%,3.11,,366.0,29.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,58.4%,3.18,,337.0,28.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,57.7%,3.28,,316.0,27.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,55.3%,3.37,,291.0,26.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,65.2%,3.06,,380.0,30.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,61.3%,3.95,,386.0,30.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,59.9%,3.51,,366.0,25.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,59.3%,3.32,,437.0,27.0,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,51.5%,14.0,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,51.3%,16.81,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,41.7%,13.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,55.4%,12.71,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,37%,13.23,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,31.4%,9.96,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,40.4%,11.86,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,33.1%,9.84,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,63.3%,10.66,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,12.8%,5.09,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,21.9%,7.13,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,20.1%,5.37,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,20.3%,6.88,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,20.5%,6.14,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,25.7%,7.15,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,18.1%,6.15,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,11.8%,5.26,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,18.7%,6.05,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,38.7%,7.66,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,45.5%,10.17,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,22.6%,8.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,28.1%,5.91,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,39.7%,5.1,,88.0,15.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,39.9%,4.88,,97.0,15.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,36.9%,4.82,,89.0,15.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,38.6%,5.04,,87.0,14.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,36.5%,4.98,,82.0,14.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,42.9%,4.87,,107.0,16.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,37.5%,4.73,,95.0,15.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,41.2%,6.56,,91.0,17.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,32.3%,4.81,,96.0,16.0,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,35.4%,4.65,,127.0,19.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2000,41.3%,0.81,,3573.0,91.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2001,41.9%,0.82,,3630.0,92.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2002,42.8%,0.78,,3717.0,88.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2003,44.5%,0.78,,3838.0,89.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2004,45%,0.78,,3906.0,90.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2005,46.1%,0.79,,3964.0,91.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2006,44.1%,0.78,,3846.0,89.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.7%,0.78,,3992.0,91.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2008,46.9%,0.78,,4127.0,92.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2009,47.7%,0.78,,4195.0,93.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2010,46.1%,1.17,,4046.0,104.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2011,47.1%,1.08,,4128.0,118.0,
"White, non-Hispanic",Female,"White, non-Hispanic",2012,46%,1.08,,3899.0,95.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,35.2%,1.72,,726.0,43.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,35.5%,1.71,,745.0,44.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,36.9%,1.68,,732.0,41.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,36%,1.69,,702.0,40.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,36.6%,1.67,,731.0,41.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,37.6%,1.69,,746.0,41.0,
