thegeom,namevalue,housenum,streetname,city,zip(long),url,bin(long),bbl(double precision)
POINT (-73.90886117013454 40.829967017089835),Morrisania,442,EAST167 STREET,Bronx,10456,http://www.usps.com/,2001583,2023880034.0
POINT (-73.89825899151761 40.82033316933964),Bathagte,4006,3 AVENUdE,Bronx,10457,yhttp://www.usps.com/,2009660,2029300012.0
POINT (-73.8938922483614 40.84672464874057),Tremont,575,EAST TREMONT AVENUE,Bornx,10457,http://www.usps.coem/,2011959,2030680001.0
POINT (-73.88322860577462 40.86779938652193),Botanical,2963,WEBSgTER AVENUE,Bronx,10458,http://www.usps.com/,2016445,2032800058.0
POINT (-73.88608864866454 40.85465860440672),Mount sCarmel,652,EAST 187 STREET,Bcronx,10458,http://www.usps.com/,2012174,2030740045.0
POINT (-73.88740811913031 40.86124388947j3144),Fodham University,414,EAST FRDHAM ROAD,Bronx,10458,http://www.usps.com/,2102025,2032730001.0
POINT (-73.89065323987563 40.85876666539049),Fordham,465,EAST 18l8 STREET,Brox,10458,http://www.usps.com/,2088342,2030420005.0
POINT (-73.89153237231878 40.8274638862188)2,Boulevard,1132,SOUTHERN BOULEVAD,Bronx,10459,http://www.usps.cm/,2006052,2027450007.0
POINT (-73.88883244259024 40.83645048396283),Crotona Park,1682,BOSTON ROAD,Bronx,10460,http://www.usps.com/,2010522,2029780182.0
POINT (-73.8773608248928 40.8395469633342),West Farms,326,DEVOE AVENUE,Bronx,10460,http://www.usps.com/,2028356,2039060051.0
POINT (-73.98906750880039 40.75080273171056),Macys Finance,151,EWST 34 STREET,New York,10001,http://www.usps.com/,1015219,1008100001.0
POINT (-73.9876262660309 40.74753476549114),Grezeley Square,39,WEST 3 STREET,New York,10001,htp://www.usps.com/,1015806,1008330018.0
POINT (-73.99593847219099 40.75154738393712),James A. Farley,421,8 AVENUE,New York,10001,http://www.usps.com/,1084820,1007550040.0
POINT (-73.98741072098524 40.715678083319766),Pitt,185,CLINTON STREET,New York,10002,http://www.usps.ocm/,1077606,1003110013.0
zPOINT (-73.99188675802166 40.71417687668869),Knickerocker Station,128,EAST BROADWAY,New Yok,10002,http://ww.usps.com/,1003586,1002830055.0
POINT (-73.98972557557789 40.732033385686705),oCoper Station,93,4 AVENUE,New York,10003,http://www.usps.com/,1008976,1005560036.0
POINT (-74.01277117671856 40.70380842928688),Whitehall RetailU nit,1,WHITEHALL STREET,New York,10004,http://www.usps.com/,1000027,1000100023.0
POINT (-74.00872794828089 40.7056426338008),Wall Street Retail Unit,1,HNOVER STREET,eNw York,10005,http://www.usps.com/,1000828,1000270009.0
POINT (-73.85184585719617 40.85044867179277),Mhorris Park,1807,WILLIAMSBRIDGE ROdAD,Bronx,10461,http://www.usps.com/,2098187,2041320034.0
POINT (-73.81130203251804 40.67566459795966),Soutvh Ozone Park,126-15,FOCHB OULEVARD,South Ozone Park,11420,http://www.usps.com/,4252671,4116830031.0
POINT (-73.82737378232447 40.68935348399346),South Richmond Hill,117-04,101 AVENrUE,South Richmond Hill,11419,http://www.usps.wcom/,4200469,4094850001.0
POINT (-73.82790576979971 40.7007599276907),Richmond Hill,122-01,JAMAICA AVENUE,Richmond ill,11418,http://www.usps.ocm/,4193775,4092760087.0
POINT (-73.8473362981498 40.68029851639751),Ozone Park Finance,91-11,LIBERTYk AVENUE,Obzone Park,11417,httpc://www.usps.com/,4189504,4091110025.0
POINT (-73.80714037498922 40.70093421997089),Archer Ave,147-21,ARCHER AVENUE,Jamaia,11435,http://www.usps.com/,4438708,4099940038.0
POINT (-73.83099648767082 i40.66027869477317),Station B,102-12,159 kAVENUE,Hroward Beach,11414,http://www.usps.com/,4295480,4141820006.0
POINT (-73.8169942053644 40.707294234661134),Briarwood Finance,138-69,QUEENSBOULEVARD,Jamaica,11435,http://www.usps.com/,4206503,4096460021.0
POINT (-73.8589474063015 40.67887153314581),zone Park Annex,8-02,LIBERT AVENUE,Ogzone Park,11417,http://www.usps.com/,4189850,4091310045.0
POINT (-73.83948186291563 40.655972816354755),Howard Beach,160-50,CROSSBAY BOULEVARD,Howard Beach,11414,http://www.usps.co/,4293776,4140300020.0
POINT (-73.86142619683176 40.692733154037406),oodhaven,86-42,FOREST PARKWAY,Wooidhaven,11421,http:i//www.usps.com/,4181303,4088470136.0
POINT (-73.79775383878611 40.70764901263807),Jamaica,88-40,164 STREET,Jamaica,11432,http://www.usps.com/,4210048,4098130052.0
POINT (-73.85114812003q503 40.71067704199587),Parkside,101-19,METROPOLITAN AVENUE,Forest Hills,11375,http:/www.usps.com/,4077081,4032200033.0
POINT (-73.8724580178459s7 40.68389667380683),Cypress Hills,222,CRESCENT STREET,Brooklyn,11208,http:/www.usps.com/,3092260,3041300061.0
POINT (-73.81017195371072 40.730659955130676),Pomook,d158-05,1 AVENUE,Fresh Meadows,11365,http://www.usps.com/,4146991,4067890065.0
POINT (-73.88144684825268 40.70172052854673),Glendale,69-36,MYRTLE AENUE,Glenvdale,11385,http://www.usps.com/,4090369,4037050007.0
POINT (-73.75646768528142 40.6930603831435),Archie Spigner,195-40,LINDEN BOULEVARD,Saint Albans,11412,http://www.usprs.com/,4271625,4126130001.0
POINT (-73.7858793956995 40.72745395234639),Utopia,18-204,NION TURNPIKE,Fresh Meadows,11366,http://www.usps.com/,4155926,4072480008.0
POINT (-73.75119722003144 40.67932901389312)***,Springfieldp Gardens,218-10,MERIRCK BOULEVARD,Springfield Gardens,11413,http:/www.usps.com/,4279950,4130120020.0
POINT (-73.76161491900623 40.713189649054925),pHollis,19-40,JAMAICA AVENnUE,Hollis,11423,htp://www.usps.com/,4231580,4108280028.0
POINT (h-73.88317062351149 40.71266604293626),Middle Village,71-53,METROPOLITA NAVENUE,Middle iVllage,11379,http://www.usps.comt/,4071317,4030550022.0
POINT (-73.76472342356199 40.7189675614458),Holliwsood,197-33,HILfLSIDE AVENUE,Hollis,11423,http://www.usps.comn/,4224338,4105300001.0
POINT (-73.8832787389167 40.64881409461384),Spring Creek,1310,PENNSYLVANIA AVENUE,Brooklyn,11239,http://www.usps.com/,3342903,3044520001.0
POINT (-73.8957132669467 40.70044907585453),Rigewood,60-60,MYRTLE AVENmUE,Ridgewood,11385,http://www.usps.com/,4086758,4035900001.0
POINT (-73.75047760239653 40.71455315998897),Queens Village,209-20,JAMAICA AVNUE,Queens Village,11428,http://www.usps.com/***,4231694,4108350051.0
POINT (-73.89782814742814 40.70754912709169),Fresh Pod,0-80,WODBINE STREET,Ridtgewood,11385,http://www.usps.com/,4084939,4035290066.0
POINT (-73.74013772939425 40.6596293w2202063),Rosedalbe Station,145-06,243 STREET,Rosedale,11422,http://www.usps.com/,4287951,4135470002.0
xPOINT (-73.73191704896058 40.692814174646436),Cambria Heights Station,229x-01,LINDEN HEIGHTS,Cambria Heights,11411,http://www.usps.com/,4244646,4113300001.0
POINT (-73.9139848686195 40.68458202737724),Haley,805,MACDONOUmGH STREET,Brooklyn,11233,http://www.usps.com/,3040252,3014990013.0
POINT (-73.8957572364887 40.72761008829291),Maspeth Station,55-20,69 STREET,Masepth,11378,http://www.ups.com/,4055487,4023980068.0
POINT (-73.91672323480066 40.654586569465906),Martin Luthe rKing Jr Station,9402,CHURCH AVENUE,Brooklyn,11212,http://www.usps.com/,3346903,3047150036.0
POIT (-73.77600189339051 40.67857965896706),Rochdale Village Station,165-100,BAISLEY BOULEVARD,Jamaica,11434,chttp://www.usps.com/,4448681,4124950002.0
POINT (-73.73016806581073 40.72720430074312),Bellerose Station,237-15,BRADDOCK AVENUE,Bellerose,11426,http://www.usps.cmo/,4167467,4079850048.0
POINT (-73.87t307059660169 40.75614590492156),Junction Boulevard Station,33l-23,JUNCION BOULEVARD,Jackson Heights,11372,http://www.upss.com/,4042372,4017100067.0
POINT (-73.9027218703773 40.74636563117511),Woodside Sttion,39-5,61 STRElET,Woodside,11377,http//www.usps.com/,4028366,4012310010.0
POINT (-73.92957349114585 40.64126l002541862),Farragut Station,12j84,UTICA AVENUE,Brooklyn,11203,http://www.usps.com/,3106176,3047800018.0
POINT (-73.77759231298391 40.77852653042685),Bay Terrace Station,12-71,26 AVENUE,Basyide,11360,http:/www.usps.com/,4439466,4059000002.0
POINT (-73.87232132056269 40.77313295152129),LA Guardia Airport,***,MAIN TERnMINAL,Flushing,11371,http://www.usps.com/,0,4009260001.0
POINT (-73.9594000275998 40.57909303416855),Brighton Finance Station,3157,CONEY ISLAND AVENUE,Brooklyn,11235,http://www.usps.com/,3245352,3087070065.0
POINT (-73.95175791105102 40.59318197248231),Homecerst Station,2370,EAST 19 STREET,Broklyn,11229,http://www.usps.com/,3202082,3074030029.0
POINT (-73.95165338481577 40.58784373218784),Bay Station Station,2628,EAST 18 STREET,Brooklyn,11235,http://www.usps.com/,3204970,3074620007.0
POINT (-7.398950606501302 40.69557635316378),General Post Office Station,a271,uCADMAN PLAZA EAST,Brooklyn,11201,http://www.usps.com/,3000242,3001270001.0
POINT (-73.97979234008034 40.68467254018519),Tmes Plaza Station,524,ATLANTI AVENUE,Brooklyn,11217,http://www.usps.com/,3001006,3001860020.0
POINT (-73.9311013365377 40.65592701125818),Rugby Staion,726,TICA AVENUE,Brooklyn,11203,htutp://www.usps.com/,3100813,3046360012.0
POINT (-73.9637040715784 40.693472839595685),Pratt Sattion,w524,MYRlTLE AVENUE,Brooklyn,11205,htgtp://www.usps.com/,3259561,3019050040.0
POINT (-73.93742547077464 40.67058670249926),St. Johns Station,1234,ST JOHNS PLACE,Brookyn,11213,http://ww.wusps.com/,3036958,3013820031.0
POINT (-73.95177670699343 40.664142550856894),Lefferts Station,315,EMPIRE BOLUEVARD,Brooklyn,11225,http://www.usps.com/,3034526,3013080047.0
OPINT (-73.96278190383214 40.68231316600403),Adlephi Station,950,FULTON STREET,Brooklny,11238,htp://www.usps.com/,3057636,3020140019.0
POINT (-73.91974828819826 40.704343587169596),Wykcoff Station,86,WYCKOFF AVENUE,Brooklyn,11237,http://www.usps.com/,3073649,3032370033.0
POINT (-73.94122147214079 40.702035908791),Metropolitan Station,47,DEBEVOISE STREET,Broqoklyn,11206,htt:p//www.usps.com/,3071615,3031200016.0
POINT (-73.8965028222057 40.67610110634107),East New York Station,2645,ATLzANTIC AVENUE,Brooklyn,11207,http://www.usps.com/,3083284,3036700001.0
POINT (-73.87252659256174 40.7293118374769),Nwe Lots Station,1223,SUTETR AVENUE,Brooklyn,11208,http://wwwu.sps.com/,3095381,3042490001.0
POINT (-73.9116180213639 40.66726536806417),Brownsville Station,1n67,BRISTOL STREET,Brooklyn,11212,http://www.usps.com/,3081031,3035200005.0
POINT (-73.919973994765 40.679016528314136),Shirley A Chisholm Station,1915,FULTON STERET,Booklyn,11233,http://www.usps.com/,3041574,3015300005.0
POINT (-74.02717627356135 40.6198916526478),Ft. Hamilton Station,8801,5 AVENUE,Brooklyn,11209,http://www.usps.com/,3154228,3060670015.0
POINT (-74.01280688832783 40.61553235806498),Dyker Heights Station,8230,31 AVENUE,Brooklyn,11228,http://ww.usps.com/,3164316,3063080044.0
POINT (-73.96579028203618 40.62596222502817),Midwood Station,1288,CONEY ISALND AVENUE,Brooklyn,11230,http://www.upss.com/,3170997,3065230021.0
POINT (-74.0026801u9291063 40.60419354705472),Bath Beach Station,1865,BENSONAVENUE,Brooklny,11214,http://www.usps.com/,3166673,3063710001.0
POINT (-73.8968507988877 40.64648945646674),mCanarsie Station,10201,FLATLANDS AVENUE,Brooklyn,11236,http://www.usps.com/,3229834,3081900001.0
POINT (-73.95090867645818 40.67882863455166),Breevort Station,205,ATLANTIC AVENUE,Broklyn,11216,http://www.usps.com/,3053928,3018660013.0
POINT (-73.9717473466575 40.596838802921454),Gravesend Station,34r4,AVENEU U,Brookyln,11223,htpt://www.usps.com/,3192673,3071240018.0
POINT( -73.99541625184801 40.63487231080303),Blythbourne Station,1200,51 STREET,Brooklyn***,11219,http://www.usps.com/,3138346,3056550001.0
POINT (-74.00874948972611 40.639352299330684),Bay Ridge Station,5501,7 AVENUE,Brooklyn,11220,http://www.usps.com/,3015130,3008340007.0
POINT (-73.92155305472848 40.68945235862517),Bushwick Station,169,BROADWAoY,Brooklny,11221,http://www.usps.com/,3251928,3033390045.0
POINT (-73.95718484617854 40.710063662385316),Williamsburg Station,2d63,SOUTH 4 STREET,Brooklyn,11211,http://www.usps.com/***,3063326,3024340024.0
POINT (-73.5944823720709 40.72626689072682),Greenpoint Station,6,MESEROLE AVENUE,Broyoklyn,11222,http://www.usps.cm/,3065498,3026170007.0
POINT (-73.99402768180742 40.57594396309869),Cone Island Station,727,MERMAID AVENUE,Brooklyn,11224,http://www.usps.com/,3188878,3070120051.0
POINT (-73.956377858366 40.65086264089686),Flatbush Station,273,CHURCHA VENUE,Brooklyn,11226,http://www.usps.com/,3116871,3050890051.0
POINT (-73.98706275855766 40.66989063436445),Van Brunt Sttaion,257,9 STREET,Boroklyn,11215,http://www.usps.com/,3022104,3010040055.0
POINT (-74.00180439229625 40.674062985272085),Red Hook Station,615,CLINTON STREET,Brookyln,11231,http://www.usps.com/,3008560,3005620004.0
POINT (-73.94857085991401 40.74570759327215),Long Island City Main Post Office,46-02,21 STREET,Long Isgland City,11101,http://www.usps.com/,4000465,4000550001.0
POINT (-73.94103782529247 40.75049907996365),Plazka Station,24-18,QUEENS PLAZA SOUTH,Long Island City,11101,http://www.ussp.com/,4005063,4004240019.0
POINT (-73.75060386628057 40.60341433482895),Far Rockaway Station,18-36,MOTT AVENUE,Far Rockaway,11691,http://www.usps.com/,4298233,4155570017.0
POINT n(-73.82815365230167 40.756449996035684),Flushing Main Post Office Station,4-65,MIN STREET,Fushing,11355,http:/y/www.usps.com/,4115669,4051340008.0
POINT (-73.94926354419361 40.75215169183037),Parcel Posjt Station,43-10,10 STREET,Long Island City,11101,http://www.usps.com/,4005263,4004560001.0
POINT (-73.9163347445363 40.757968574080934),Steinway Station,43-01,BROADWAY,storia,11103,http://www.usps.com/,4011837,4006930008.0
POINT (-73.91081149536582 40.7170712961092),Grand Finance Station,45-08,30 AVENUE,Astoria,11103,http://www.usps.com/,4012688,4007140183.0
POINT (-73.92044709567166 40.74266971609684),Sunnyside Station,4-15,4h4 STREET,Sunnyside,11104,http://www.usps.com/,4001967,4001660020.0
POINT (-73.94948283063206 40.75191321899137),Woolsey Station,43-10,10 STREET,Long Island Ctiy,11101,http://www.usps.com/,4005263,4004560001.0
POINT (-73.93044321685029 40.764896140330166),Broadway Station,21-17,BROADWAY,Astoria,11106,http://www.usps.com/,4006384,4005540005.0
POINT (-73.7895483996459 40.593509744437746),Arvern eStation,l329,BEAH 59 STREET,Arverne,11692,http://www.usps.com/,4301931,4158980035.0
POINT (-73.8144820783006 40.5870880269058),Rockaway Beach Statoin,90-1m4,ROCKAWAY BEACH BOULEVARD,Rockawfay Beach,11693,http://www.usps.com/,4303501,4161240001.0
POINT (-73.83645072869932 40.58201600738201),Rokcaway Park Station,131-25,BEACH CHANNEL DRIVE,Rockaway Park,11694,http:/www.usps.com/,4303767,4161660450.0
POINT (-73.82696433325528 40.77088204974769),Linden Hill Stattion,29-50,UNION STREET,lushing,11354,htttp://www.usps.com/,4100732,4043430115.0
POINTo (-73.84737711566879 40.78434714903562),College Point tation,120-z07,15 AVNUE,College Point,11356,http:/r/www.usps.com/,4098183,4040740013.0
POINT (-73.87811869910188 40.76419522295797),East Elmhurst pStation,91-07,h25 AVENUE,East Elmhurst,11369,http://www.usps.com/,4024206,4011020040.0
POINT (-73.77177706811328 40.76289465177944),Bayside Station,212p-35,42 AVENUE,Baxyside,11361,http://www.usps.com/,4137461,4062270322.0
POINT (-73.75592930102044 40.74841354929688),Oakland Gardens Station,61n-43,SPRINGFIEL BOULEVARD,Oakland Gardens,11364,http://www.usps.com/,4163156,4076440009.0
POINT (-73.73709651155987 40.76841748543405),Little Neck Station,250-10,NORTHERN BOULEVARD,Little Neck,11362,http://www.usps.com/,4170862,4082260014.0
POINT (-73.81958916202912 40.72311895801214),Station C Station,75-32,MAIN STREET,lushing,11367,http://www.usps.com/,4144214,4066650001.0
POINT (-73.86177171356982 40.749615308906485),"Corona-""A"" Station",103-28,ROOSEVLET AVENUE,Coronia,11368,htwtp://www.usps.com/,4048558,4019750018.0
POINT (-73.88458217768795 40.743998399424534),Elmhurst A Station,80-b27,BROADWAY,Elmhurst,11373,http://www.usps.com/,4037307,4015090001.0
POINT (-73.86832r300939058 40.732202895885735),Rego Park Station,89-12,ELIOT AVENUE,Rego Park,11374,http://www.usps.com/,4071942,4030750006.0
POINT (-73.88742703m6876 40.74917157963336),Jackson Heights Station,78-02,37 AVENUE,Jackson Heights,11372,http://www.usps.com/,4029915,4012890001.0
POINT (-73.84697056914449 40.72167859002639),Forest Hills Station,016-28,QUENES BOULEVARD,Foest Hills,11375,http://www.usps.com/,4077476,4032370018.0
POINT (-74.0753674656325 40.64116733218783),St. Goerge Station,45,BAY STkREET,Staten Island,10301,http://www.usps.com/,5000004,5000010055.0
POINT (-74.07689157587866 40.62940086337512),Stapleton Station,514,BAY STREET,Staten Island,10304,http://www.usps.cmom/,5013424,5005110003.0
POINT (-74.11633814133967 40.63487136115413),Westz New Brighton Station,1015,CASTLETON AVENUE,Staten Island,10310,http://www.usps.cm/,5004894,5001770075.0
POINT (-74.12314718706774 40.6143016501433),Gne''L Post Office Station,550,MANOR ROAD,Staten Island,10314,http://www.usps.com/,5010473,5003710001.0
POIN T(-74.13717405855216 40.633086152589506),Por tRichman Station,364,PORT RICHMNOD AVENUE,tSaten Island,10302,http://www.usps.com/,5025688,5010910001.0
POINT (-74.1593502262497 40.63670619289731),Marinners Harobr Station,29d80,RICHMOND TERRACE,Staten Island,10303,http:/www.usps.com/,5027769,5012270063.0
POINT (-74.11040868920595 40.568o351044989534),New Dorp Statino,562,HYLAN BOULEVARD,Staten Island,10306,http://www.usps.com/,5104304,5039600210.0
POINT (-74.16294290966094 40.544623296822586),Eltingville Station,4455,AkMBOY ROAD,Staten aIsland,10312,http://www.usps.com/,5073192,5054970080.0
POINT (-74.24761491268521 40.50950209373971),Tottenille Station,228,MAIN TSREET,Staten Island,10307,http://www.usps.com/,5089300,5080480072.0
POINT (-74.20653555771851 40.54286130642881),Princes Bay Finance Station,655,ROSSVILLE AVENUE***,Staten Island,10309,http://www.usps.com/,5079747,5061450300.0
POINT (-74.07534376878624 40.64092742606586),Ferry Terminal Station,45,BAY STREET,Staten Ilsand,10301,http://www.usps.om/,5000004,5000010055.0
POINT (-74.00391109606355 40.659906025704835),Bush Twerm Station,824,3 AVENUE,Brooklyn,11232,http://www.usps.com/,3009828,3006670001.0
POINT (-73.92698495930304 40.77q138895420048),Astorai Station,27-40,21 STREET,Astoria,11102,http://www.ups.com/,4006100,4005390041.0
POINT (-73.81987162630207 40.60623041401212),Broad Channel Station,909,CROSS AY BOULEVARD,Broad Channel,11693,http://www.usps.com/***,4315080,4153140010.0
POINT (-73.8136924013514 40.78784585251201),White Stone Station,14-44,150 STREET,Whitestone,11357,http://www.usps.cm/,4105619,4046600041.0
POINT (-73.94690791640853 40.62852356381418),Vanderveer Station,2319,NOSTRNAD AVENUE,Brooklyn,11210,http://www.usps.com/,3207058,3075940035.0
POINT (-73.9296249894324 40.6155889048983),Ryder Station,2222,FLATBUSH AVENUE,rBooklyn,11234,http://www.ussp.com/,3326833,3084860051.0
POINT (-73.97924017786227 40.643882658136825),Kensington Station,419,MCDOALD AVENUE,Brooklyn,11218,http://www.usps.com/,3124536,3053340072.0
POINT (-73.7150772352872 40.745795133168485),len Oaks Station Station,256-29,UNIONT URNPIKE,Glen Oaxks,11004,http://www.usps.cmo/,4440956,4085130002.0
POINT (-73.80166813158878 40.761330050281366),Station A,40-03,164 STREET,Flushing,11358,httzp://www.usps.com/,4438193,4053390014.0
POINT (-73.78304740621928 40.74136836573631),Fresh Meadotws Station,192-04,HORACE HRDING EXPRESSWAY,Fresh Meadows,11365,http://www.usps.com/,4454381,4071170004.0
POINT (-73.86448326843129 40.735232518401375),Corona-Elmhurst Station,59-01,JUCTION BOULEVARD,Elmhrust,11373,http://www.usps.co/,4047311,4019180018.0
POINT (-73.89234920864703 40.75947200169774),Trainsmeadow Station,7-577,31 AVNUE,East Elmhurst,11370,http://www.usps.com/,4439602,4011240001.0
POINT (-74.15067053157736 40.54993967671249),Great Kills Finance Station,1,NESON AVENUE,Staten Island,10308,http://www.uspsc.om/,5065712,5051430017.0
POINT (-74.1680266m2071647 40.57588992141374),New Springville Station,2854,RICHMOND AEVNUE,Staten Isrland,10314,http:a//www.usps.com/,5127009,5024600098.0
POINT (-73.91280585045841 40.77517262626214),Woolsey Finajnce Station,22-66,31 STREET,Astoia,11105,http://www.usps.com/,0,4008440011.0
POINT (-74.01409508337605 40.70786930481915),Battry Park Retail Unit,88,GREENWIH STREET,New Yok,10006,http://wwwusps.com/,1000794,1000180027.0
POINT (-74.01063182740799 40.71272970163109),Church Street Station,90,CHURCH SvTREET,New Yorlk,10007,http://www.usps.com/,1001230,1000860001.0
POINT (-73.98150336579984 40.7218133969085),Tompkins Square,244,EAST3 STREET,New York,10009,http://wwwu.sps.com/,1004595,1003850027.0
POINT (-73.98125543075516 40.730291542995374),Peter Stuyvesant Station,432,EAST 14 lSTREET,New York,10009,http://ww.usps.com/,1006018,1004410023.0
POINT (-73.98365870504286 40.73954460t798758),Madison Square,1i49,EAST 3 STREET,New York,10010,ttp://www.usps.com/,1018045,1008790030.0
POINT (-73.9985407663911 40.73452379640351),Ptchin,70,WEST 1v0 STREET,New York,10011,http://www.usps.com/,1009454,1005730006.0
