characteristic,sex,raceethnicity,year,score,standard_error,note
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,202.0,2.8,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,197.0,2.1,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,200.0,1.4,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,203.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,203.0,2.0,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,198.0,2.1,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,204.0,2.1,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,222.0,1.4,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,220.0,1.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2000,228.0,1.5,
"White, non-Hispanic",Female,"White, non-Hispanic",2001,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2002,231.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2003,231.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2005,231.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2007,233.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2009,232.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2011,233.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2013,234.0,0.3,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,197.0,1.7,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,202.0,0.7,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,202.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,204.0,0.4,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,207.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,209.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,210.0,0.6,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2013,210.0,0.5,
Hispanic,Female,Hispanic,2000,194.0,3.8,
Hispanic,Female,Hispanic,2001,,,
Hispanic,Female,Hispanic,2002,202.0,1.5,
Hispanic,Female,Hispanic,2003,203.0,0.7,
Hispanic,Female,Hispanic,2004,,,
Hispanic,Female,Hispanic,2005,204.0,0.6,
Hispanic,Female,Hispanic,2006,,,
Hispanic,Female,Hispanic,2007,207.0,0.5,
Hispanic,Female,Hispanic,2008,,,
Hispanic,Female,Hispanic,2009,207.0,0.7,
Hispanic,Female,Hispanic,2010,,,
Hispanic,Female,Hispanic,2011,208.0,0.6,
Hispanic,Female,Hispanic,2012,,,
Hispanic,Female,Hispanic,2013,209.0,0.6,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,229.0,6.3,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,228.0,2.3,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,228.0,1.6,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,231.0,1.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,235.0,1.2,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,240.0,1.5,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,239.0,1.7,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,240.0,1.2,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,216.0,2.6,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,217.0,3.6,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,211.0,2.1,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,206.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,210.0,1.6,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,208.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,209.0,1.3,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,209.0,1.7,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,208.0,2.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,229.0,1.8,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,229.0,1.3,
