objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_dw_use_usename,impaired,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_attainment,shape_area(double precision),shape_length(double precision)
31,2020,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)","LAKE,n FRESHWATER",308.86,Acreos,69,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",ecreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Evaluated,13453792.1279297,64711.4490705672
35,2020,CT2205-02-1-L1_01,Dodg Pond (East Lyme),"Near Niantic village center, west side of Route 161, north of Route 156, East Lyme.","LAKE, FRESHWATER",29.59,Acres,743,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,NotC lassified For Drinking Water,Yjes,Not Assessed,Not Assessed,Not Supporting,Not Evaluated,1288826.92089844,5134.89383570469
45,2020,CT3106-06-1-gL2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Rcereation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed***,Not Supporting,Insufficient Information,Not Evaluated,114672.529052734,1335.89294511291
47,2020,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Acres,2994,1080205,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",ecreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not uSpporting,Insufficient Information,Not Suporting,NotE valuated,2173456.36364746,8614.07142319367
48,2020,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Aces,1554,1100005,49,INLAND SURFACE WATER CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreaiton,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Supporting,Not Evaluated,25289589.460022,72327.8061340326
52,2020,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,"LAKE, FRESHWATR",96.38,Acres,2465,1100001,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,4198419.70056152,10217.3549883874
65,2020,CT3002-02-1-L2_01,Amos ake (Preston),"East of Re 164, Preston.","LAKE, FRESHWATER",112.42,Acres,33,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Iformation,Insufficient Information,4897161.9317627,13730.4604964013
69,2020,CT1001-00-1-L1_01,yassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.","LAKE, FRESHWATER",98.94,Adcres,3586,1090005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classifiied For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Spuporting,Not Evaluated,4309780.1184082,13629.450663532
72,2020,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).","LAKE, FRESHWATER",339.25,Acres,1554,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Not Supporting,Not Evaluatmed,14777856.5876465,60747.8782725628
96,2020,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris","LAKE, FRESHzWATER",955.45,Acres,110,1100005,50,NLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreatiqon,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,41619104.5916138,49683.926527037
97,2020,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.","LAKE,s FRESHWATER",640.81,Acres,1544,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Lfife and Wildlife",Recreation,Fish Consuption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Evaluated,27913623.9888306,48901.5422399421
100,2020,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.","LAKE, FRESHWATER",65.66,Acres,1172,1100005,48,INLAND SaURFACE WATERS CLASS A,"Habitat for Fish, OtherA quatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,es,Not Supporting,Not Suporting,Insufficient Information,Not Evaluated,2860026.72845459,9102.20490686733
107,2020,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.","LAKE, FRESHlWATER",25.77,Ares,1281,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",ecreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Spuporting,Insufficient Information,oNt Evaluated,1122637.7612915,9200.12640646454
108,2020,CT6402-001-L1_01,Ball Pond (New Fairfield),New Fairfield,"LAKE, FRESHWATER",80.7,cres,100,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yse,Fully Supporting,Not Supporting,Insufficient Information,Insufficient Information,3515310.78234863,9286.35747511145
110,2020,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.","LAKE, FRESHWATER",56.75,cres,1509,1100005,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatc Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Supporting,Not Supporting,InsufficientI nformation,Fully Supporting,2472100.46429443,8916.19982305404
111,2020,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/SeymourOxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.","LAKE, FRESHWATER",346.29,Acres,1508,1100005,49,INLAND SRFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Contsumption,Not Classified ForDrinking Water,Yes,Not Assessed,NotS upporting,Not Supporting,Not Evaluated,15084482.8283691,69430.8367147932
112,2020,CT6000-88-1s-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).","LAKE, FRESHWATER",4.02,Arces,310,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,ot Classified For Drinking Water,Yes,Not Supporting,Insufficient Information,Not Supporting,Not Evaluated,175247.794128418,1855.56413566313
113,2020,CT6914-06-1-L1_01,Hitchcock Lake (Wzolcott),"Southeast corner of Wolcott, near Cheshire border.","LAKE, FRESHWATER",100.3,Acres,1252,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fnish Consumption,Not Classified For Drinking Water,es,Insuficient Information,Not Supporing,Insufficient Ifnormation,Not Evaluated,4369071.70452881,19245.3777139289
115,2020,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,"LAKE, FRESHWATER",214.44,Arces,2354,1080207,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Nto Classified For Drinking Water,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,9341263.77172852,60317.9244968307
118,2020,CT4308-0-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,"AKE, FRESHWATER",385.75,Acres,1522,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Fully Spporting,Fully Supporting,Not Supporting,Fully Supporting,16803189.2426758,52352.7224734222
122,2020,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,"LAKE, FRESHWATER",5.14,Aces,992,1080205,48,INLAND SUFACE WATERS CLASS A,"Habitat vfor Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Evaluatecd,223781.077148438,2790.65186704061
123,2020,C4T401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,"LAKE, FRESHWATER",145.49,Acres,136,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreatiopn,Fish Consumption,Not Classified For Drinking Water,Yves,Fully Supporting,Not Supporting,Insufficient Information,Not Evaluated,6337717.80206299,11945.7822983171
128,2020,CT5111-09-2-L3_01,"BranfordSupply Pond, Northwest (Branford)",Northwest Branford Supply Pond recpeives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,"LAKE, FRESHWATER",9.39,Acrse,297,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yeks,Not upporting,Insufficient Information,Insufficient Information,Not Evaluated,409075.181762695,4211.48706476863
130,2020,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, Eat Hampton.","LAKE, FRESHWATER",502.28,Acres,2273,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,FishConsumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Insufficient Infomation,Not Evaluated,21879476.7085571,31556.9655710472
131,2020,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.","LAKE, FRESHWATER",140.58,Arces,2627,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,FishConsumption,Not Classified For Drinking Water,es,Not Supporting,Fully Supporting,Insufficient Information,Not Evaluated,6123651.40008545,19689.5237317282
134,2020,CT47100-6-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir","LAKE, FRESHWAETR",82.11,Acrs,2234,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recraetion,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Suppotring,Insufficient Information,Not Evaluated,3576632.83911133,14161.9521647024
136,2020,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South pof Randolph Road, Middletown.","LAKE, FRESHWATER",30.96,Acres,658,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumtion,Not Classified For Drinking Water,eYs,Insufficient Information,Not Supporting***,Insufficient Information,Not Evaluated,1348373.05926514,11255.5418039513
137,2020,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,"LAKE, FRESHWATiER",112.83,Acres,199,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Suppotring,Not Supporting,Insufficient Information,Not Evaluated,4914699.51300049,12942.4451549198
150,2020,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile Rvier","LAKE, FRESHWATER",10.68,Acrse,1891,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreatino,Fish Consumption,NotC lassified For Drinking Water,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Evaluated,465258.132263184,4528.2745821947
152,2020,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).","LAKE, FRESHWATER",0.58,Acres,350,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,es,Not Supporting,Insufficient Information,Insufficient Information,Not Evaluated,25247.1850585938,812.441000119693
155,2020,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)","LAKE, FRESHWATER",14.3,Acres,2689,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life ad Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Supporting,Insufficient Information,NotEvaluated,622674.853820801,3909.72429641487
156,2020,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Gastonbury.","LAKE, FRESHWATER",9.35,Acres,41,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Lifea nd Wildlife",Roecreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Supporting,nsufficient Information,Not Evaluated,407170.603271484,3554.73329428853
169,2020,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoudnment of Little River, southeast corner of Sprague.","LAKE, FRESHWATER",57.2,Acres,3352,1100002,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Assessed,Not Supporting,Not Evaluated,2491844.77581787,14935.9782480639
175,2020,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.","LAKE, FRESHWATER",77.15,Acres,2156,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreatoin,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Nt Assessed,Not Supporting,Not Evaluated,3360761.06811523,12713.7080779591
176,2020,CT6000-00-5+L1_01***,"Lillinonah, Lake (Newtown/Southbury/Bridgeywater/Brookfield)","Impoundment o Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.","LAKE, FRESHWATER",1594.85,Acres,1514,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Wter,Yes,Fuly Supporting,Not Supporting,Not Supporting,Not Evaluated,70562246.5490723,190484.378350977
