12.coname,ALFALFeA     ,ALFALFA     
144.statevalue,KO,OK
303.superintendent,Craig kWall,Craig Wall
99.coname,COAL       z ,COAL        
426.superintendentemail,caruthers@allen.k12.ok.us,bcaruthers@allen.k12.ok.us
63.phone,(580) 226-7650***,(580) 226-7650
464.city,nIola,Inola
399.superintendentemail,malexander@fhairlandowls.com,malexander@fairlandowls.com
448.superintendentemail,simcoapp@gpmail.com,simcoapp@gmail.com
124.boardpresident,Steev Hensley,Steve Hensley
178.co,26-099,26-I099
37.address,729 orth Perry Street,729 North Perry Street
249.co,v40-I049,40-I049
30.superintendent,Tod dGlasgow,Todd Glasgow
254.coname,bLINCOLN     ,LINCOLN     
212.superintendent,Kevin Ducnan,Kevin Duncan
168.superintendentemail,jbrittain@friend.k1n2.ok.us,jbrittain@friend.k12.ok.us
87.statevalue,OqK,OK
137.coname,ELAWARE    ,DELAWARE    
322.superintendentemail,schenoweth@perry.k12.okc.us,schenoweth@perry.k12.ok.us
304.fax,(918) 6527635,(918) 652-7635
28.superintendent,RonPittman,Ron Pittman
411.statevalue,K,OK
246.distname,BOKOSHE           y            ,BOKOSHE                       
347.website,httpk://www.lighthouse-academies.org/,http://www.lighthouse-academies.org/
471.coname,EMINOLE    ,SEMINOLE    
476.co,67-0I14,67-I014
193.coname,HfASKELL     ,HASKELL     
64.superintendent,Cynthiah Hunter,Cynthia Hunter
369.fax,(405) 200x-1742,(405) 200-1742
254.superintendent,Bob Grdagg,Bob Gragg
322.co,5-2I001,52-I001
526.fax,(918) 36-4241,(918) 366-4241
533.phone,(918) 27-25367,(918) 272-5367
554.coname,WOOgDWARD    ,WOODWARD    
63.address,800M Street Ne,800 M Street Ne
98.coname,COAL        ***,COAL        
282.phone,(p918) 479-5243,(918) 479-5243
15.phone,(50) 889-2743,(580) 889-2743
435.boardpresident,Jerry Skzaggs,Jerry Skaggs
498.address,1205 South Broroks Road,1205 South Brooks Road
101.address,2p805 Southeast Flower Mound Road,2805 Southeast Flower Mound Road
455.coname,ROGER MILSL ,ROGER MILLS 
493.website,www.cpomanche.k12.ok.us,www.comanche.k12.ok.us
80.distname,KEYvS                          ,KEYS                          
79.coname,CHROKEE    ,CHEROKEE    
233.phone,(l918) 754-2426,(918) 754-2426
434.fax,(405) 27q3-2541,(405) 273-2541
323.coname,NcOBLE       ,NOBLE       
155.coname,GARFIELD   ,GARFIELD    
491.superintendentemail,garywade@grandmviewschool.k12.ok.us,garywade@grandviewschool.k12.ok.us
406.address,103 Sw 2Nyd,103 Sw 2Nd
9.website,http://wwgw.stilwellk12.org,http://www.stilwellk12.org
483.fax,918) 875-3201,(918) 875-3201
511.statevalue,nOK,OK
337.website,http://ww.icmsokc.com,http://www.icmsokc.com
380.coname,OSAGE       ***,OSAGE       
449.co,64-C01f5,64-C015
471.superintendentemail,etaton@bowlegs.k12.ok.us,teaton@bowlegs.k12.ok.us
514.address,1661 E. Virgin Stret,1661 E. Virgin Street
190.superintendent,Patricia Devile,Patricia Deville
396.superintendentemail,jhaynes@commercetiegrs.net,jhaynes@commercetigers.net
236.phone,(918 963-2595,(918) 963-2595
226.co,37-I0w89,37-I089
421.phone,(918) 82-4231,(918) 823-4231
267.phone,(e580) 276-2968,(580) 276-2968
156.boardpresident,Clee JayH edges,Clee Jay Hedges
223.distname,LOMEGA                        ***,LOMEGA                        
473.address,116 Gross Srteet,116 Gross Street
192.coname,HAKSELL     ,HASKELL     
6.phone,(918 )696-7768,(918) 696-7768
9.phone,(918) 696-t7001,(918) 696-7001
541.co,74I-007,74-I007
163.superintendent,Sheluly Hildebrand-Beach,Shelly Hildebrand-Beach
296.city,Haworh,Haworth
219.superintendentemail,pennid@ppcs.us,pennid@pcps.us
57.statevalue,KO,OK
224.co,37-007,37-I007
181.statevalue,K,OK
487.city,rGans,Gans
221.phone,(580) 362-238k8,(580) 362-2388
547.distname,CODRELL                       ,CORDELL                       
321.website,http://ww.porum.k12.ok.us,http://www.porum.k12.ok.us
60.address,096 South Heights Drive,906 South Heights Drive
133.fax,(580) 33-5886,(580) 323-5886
517.superintendentemail,elshie@tulsahonoracademy.org,elsie@tulsahonoracademy.org
541.phone,(98) 534-2241,(918) 534-2241
42.phone,(405) 457-6623***,(405) 457-6623
157.superintendent,Darrell Flody,Darrell Floyd
241.statevalue,K,OK
221.co,36-oI125,36-I125
344.distname,OKC CHARTER: KIPP REACH COLL .,OKC CHARTER: KIPP REACH COLL. 
273.superintendentemail,burchfiled@auroraok.org,burchfield@auroraok.org
400.superintendentemail,cballenger@jennings.k12.ok.us***,cballenger@jennings.k12.ok.us
334.statevalue,KO,OK
157.coname,GARIELD    ,GARFIELD    
408.address,201 East Lone sChimney,201 East Lone Chimney
3.coname,AADIR       ,ADAIR       
363.coname,OKLAHsOMA    ,OKLAHOMA    
43.distname,ANADARKO                     ,ANADARKO                      
115.superintendent,Peteo Hiseley,Pete Hiseley
165.website,wwwp.aulsvalleyschools.com,www.paulsvalleyschools.com
198.co,32I054,32-I054
99.superintendent,Greg Davidsn,Greg Davidson
332.statevalue,K,OK
488.fax,(918) 42u7-1785,(918) 427-1785
407.phone,(918) 225-34h25,(918) 225-3425
499.address,107s E 5Th St.,107 E 5Th St.
449.coname,PUSHMAToAHA  ,PUSHMATAHA  
136.statevalue,K,OK
79.co,1-1C066,11-C066
143.co,21-I03,21-I003
336.statevalue,KO,OK
285.co,47-I02,47-I002
88.superintendent,Earl aDlke,Earl Dalke
481.co,68C-036,68-C036
89.statevalue,K,OK
50.statevalue,K,OK
255.distname,CHANDLER                      ***,CHANDLER                      
109.superintendentemail,nmeraz@elginps.ndet,nmeraz@elginps.net
218.distname,BLACKWELL                    ,BLACKWELL                     
76.website,peggspanthers.cobm,peggspanthers.com
342.boardpresident,Pat Mckpinstry,Pat Mckinstry
180.phone,(580) 3952392,(580) 395-2392
450.city,attan,Rattan
74.city,Tahlzequah,Tahlequah
159.phone,580) 864-7481,(580) 864-7481
44.distname,CARNEGIE          q            ,CARNEGIE                      
21.coname,EBAVER      ,BEAVER      
473.co,67I006,67-I006
58.fax,(405) 262-8602,(405) 262-8620
317.coname,MUSKOGEE   b ,MUSKOGEE    
89.fax,(580) 544-297x2,(580) 544-2972
286.coname,MCCLAIN   l  ,MCCLAIN     
234.fax,(918) 522-487,(918) 522-4287
191.boardpresident,Susan Whitve,Susan White
74.website,www.woodall.kn12.ok.us,www.woodall.k12.ok.us
205.phone,5(80) 437-2244,(580) 437-2244
406.city,Pekrkins,Perkins
227.superintendentemail,frieser@okarche.k12.ok.us,friesenr@okarche.k12.ok.us
339.phone,(405 )751-1774,(405) 751-1774
160.address,16476 North Cxounty Road 3200,16476 North County Road 3200
181.superintendent,Joel wQuinn,Joel Quinn
203.address,606 hEast 6Th Street,606 East 6Th Street
214.city,Colemsan,Coleman
85.boardpresident,John eKrr,John Kerr
551.fax,580) 256-4391,(580) 256-4391
155.co,24-I04l7,24-I047
24.boardpresident,Jarrovd Brown,Jarrod Brown
316.coname,MUSKGEE    ,MUSKOGEE    
396.website,http://wwwa.commercetigers.net,http://www.commercetigers.net
362.boardpresident,Les Pettitt***,Les Pettitt
301.boardpresident,James Hamailton,James Hamilton
364.superintendent,Meilssa White,Melissa White
194.superintendent,Gil Turwpin,Gil Turpin
102.boardpresident,Thresa Seabotl,Thresa Seabolt
367.address,1160 S Dogulas Blvd,1160 S Douglas Blvd
58.phone,(45) 262-1703,(405) 262-1703
224.city,Kingfsher,Kingfisher
246.website,ww.bokosheschool.org,www.bokosheschool.org
530.city,Sprery,Sperry
182.superintendentemail,bregier@dclak12.obrg,bregier@dclak12.org
370.city,Oklahoma Ctiy,Oklahoma City
426.superintendent,ill Caruthers,Bill Caruthers
445.distname,WANTTE                       ,WANETTE                       
10.city,unch,Bunch
60.co,09b-I069,09-I069
31.phone,(5x80) 886-3516,(580) 886-3516
132.boardpresident,Anthony Sylveshter,Anthony Sylvester
411.boardpresident,Bill Pemberthon,Bill Pemberton
440.address,36591 State Hghway 59B,36591 State Highway 59B
12.distname,CHEROKEE                      ***,CHEROKEE                      
379.address,204East 5Th Street,204 East 5Th Street
95.address,111 Sv 4Th,111 S 4Th
129.co,19-Io021,19-I021
213.phone,(580) 43-5522,(580) 443-5522
4.city,Stilwell***,Stilwell
78.city,Tahlequafh,Tahlequah
388.statevalue,KO,OK
116.boardpresident,Brad Mont,Brad Mount
97.city,Nroman,Norman
485.superintendentemail,vsalced@ovian.k12.ok.us,vsalcedo@vian.k12.ok.us
259.superintendentemail,jpruitt@eeker.k12.ok.us,jpruitt@meeker.k12.ok.us
383.boardpresident,Wendy pDavid,Wendy David
282.coname,MAYES       ***,MAYES       
268.phone,580) 276-2630,(580) 276-2630
256.website,htt:p//www.davenportk12.com/,http://www.davenportk12.com/
300.superintendentemail,dhawkinswcisd.org,dhawkins@wcisd.org
551.superintendent,Kylze Reynolds,Kyle Reynolds
538.city,Wgaoner,Wagoner
233.statevalue,OpK,OK
182.coname,GRAN T      ,GRANT       
151.co,2-I042,23-I042
236.superintendentemail,bruce.gillham@skp12.org,bruce.gillham@spk12.org
89.co,13f-I002,13-I002
531.coname,TULSA       ***,TULSA       
427.address,4665 ounty Road 1555,4665 County Road 1555
540.distname,COPAN          v               ,COPAN                         
123.address,42 North Main,420 North Main
496.co,6-I021,69-I021
285.fax,(405) 344e-6977,(405) 344-6977
165.co,25-I08,25-I018
99.fax,(580) 927-694,(580) 927-2694
344.address,1901 Nec 13Th Street,1901 Ne 13Th Street
501.coname,TEXAS      ,TEXAS       
184.boardpresident,aTra Bone,Tara Bone
123.phone,(918) 367-5555***,(918) 367-5555
355.distname,HARAH                        ,HARRAH                        
128.co,19-fI020,19-I020
236.statevalue,K,OK
479.address,476940 E. 1060 Road,476490 E. 1060 Road
382.coname,OSAGE   w    ,OSAGE       
532.city,Tlsa,Tulsa
14.co,03-C21,03-C021
205.city,eTrral,Terral
457.website,www.sweetwaterv.k12.ok.us,www.sweetwater.k12.ok.us
187.coname,HaARPER      ,HARPER      
339.fax,405) 752-6833,(405) 752-6833
150.city,rnett,Arnett
322.distname,PERRY                         ***,PERRY                         
5.superintendent,Jeff imore,Jeff Limore
307.superintendent,Janeat Blocker,Janet Blocker
52.website,www.riversideews.webs.com,www.riversidenews.webs.com
524.phone,(918) 246-1040,(918) 246-1400
144.city,Colocrd,Colcord
257.superintendent,Dwayen Danker,Dwayne Danker
405.superintendentemail,mmoore@stillwaterschols.com,mmoore@stillwaterschools.com
275.address,51n0 W Mcarthur,510 W Mcarthur
150.address,103 W.Haskell,103 W. Haskell
23.fax,(580) 778-3719,(580) 778-3179
350.phone,(405) 587-810f0,(405) 587-8100
457.phone,(580) 534-2e272,(580) 534-2272
489.statevalue,KO,OK
29.website,www.watongapublicschopols.com,www.watongapublicschools.com
191.superintendentemail,mguthrie@sqtiglerps.com,mguthrie@stiglerps.com
422.coname,ITTSBURG   ,PITTSBURG   
212.phone,h(580) 371-9190,(580) 371-9190
233.co,9-I002,39-I002
13.fax,(580)t 852-3280,(580) 852-3280
175.co,2-6I068,26-I068
265.boardpresident,Gayxe Pfeiffer,Gaye Pfeiffer
73.city,Hulberbt,Hulbert
259.statevalue,KO,OK
245.distname,PANAMA                       ,PANAMA                        
273.superintendent,Rocky Burkchfield,Rocky Burchfield
295.boardpresident,BrentBolen,Brent Bolen
161.superintendent,Michel Blackburn,Michael Blackburn
316.phone,(m918) 687-7556,(918) 687-7556
354.co,55-I060,55-I006
553.phone,(580) 998-3210,(580) 989-3210
321.address,4z10 N 4Th St.,410 N 4Th St.
354.statevalue,OpK,OK
134.phone,k(580) 661-3527,(580) 661-3527
462.city,uChelsea,Chelsea
217.statevalue,KO,OK
511.distname,GRANDFIELD                 z   ,GRANDFIELD                    
233.coname,LAIMER     ,LATIMER     
84.address,500 Jomurdan Street,500 Jourdan Street
359.boardpresident,Rober Everman,Robert Everman
19.phone,(580) 889-1969,(580) 889-1996
425.distname,MCALESTE                     ,MCALESTER                     
175.boardpresident,Eddie Roathbun,Eddie Rathbun
437.superintendentemail,sstanley@mcloudschools.us***,sstanley@mcloudschools.us
27.distname,ERICK                         ***,ERICK                         
384.phone,(580n) 765-8806,(580) 765-8806
460.co,66-I001***,66-I001
40.city,Durnat,Durant
98.boardpresident,Joohnny Sandmann,Johnny Sandmann
445.fax,405) 383-2449,(405) 383-2449
109.fax,(580) 4c92-4084,(580) 492-4084
65.distname,LAINVIEW                     ,PLAINVIEW                     
482.boardpresident,Mkie Hyde,Mike Hyde
34.co,07-I030,07-I003
206.co,34-I010,34-I001
8.website,http://www.westville.k12z.ok.us,http://www.westville.k12.ok.us
126.statevalue,KO,OK
419.co,a61-I014,61-I014
364.address,3812 N Santa eF,3812 N Santa Fe
70.website,twww.dickson.k12.ok.us,www.dickson.k12.ok.us
229.statevalue,OrK,OK
163.boardpresident,Daid Riley,David Riley
387.city,Barndsall,Barnsdall
538.superintendentemail,rharris@wazgonerps.org,rharris@wagonerps.org
242.co,40-rI007,40-I007
514.phone,(918) 974-8652,(918) 794-8652
418.boardpresident,Rusty Jkohnson,Rusty Johnson
472.city,Konaa,Konawa
458.statevalue,K,OK
159.address,400 E Miane,400 E Maine
203.city,Olustbee,Olustee
361.statevalue,K,OK
80.address,26622 bSouth 520 Road,26622 South 520 Road
144.distname,COLCORD                    a   ,COLCORD                       
504.fax,(580)652-3118,(580) 652-3118
174.boardpresident,Tom Kentchum,Tom Ketchum
384.website,ww.mccord.k12.ok.us,www.mccord.k12.ok.us
75.co,1-C026,11-C026
274.address,301 Main tS.,301 Main St.
256.coname,LINCOLN     ***,LINCOLN     
390.website,www.prue.k12.k.us,www.prue.k12.ok.us
485.boardpresident,E dBarton,Ed Barton
314.superintendent,Derald Gblover,Derald Glover
45.distname,BOONE-APACHE                  ***,BOONE-APACHE                  
300.co,48-I0u39,48-I039
383.address,2195 Andersno Road,2195 Anderson Road
240.boardpresident,Raymond Rhoeds,Raymond Rhodes
554.distname,FORT SUPPLY                  ,FORT SUPPLY                   
440.fax,(40)5 598-8041,(405) 598-8041
42.statevalue,K,OK
52.superintendent,David fGarner,David Garner
520.city,Tkulsa,Tulsa
184.statevalue,OuK,OK
274.distname,CIMARRON                     ,CIMARRON                      
361.phone,(45) 677-5252,(405) 677-5252
516.coname,TULSA m      ,TULSA       
488.distname,ROLAND                        ***,ROLAND                        
208.city,Waurikea,Waurika
160.fax,(405) 23-86258,(405) 238-6258
263.co,4k2-I001,42-I001
431.superintendent,Kevin Flowres,Kevin Flowers
53.phone,(40)5 262-0598,(405) 262-0598
487.website,www.gans.1k2.ok.us,www.gans.k12.ok.us
76.address,10821 West Hickroy Ave.,10821 West Hickory Ave.
177.boardpresident,Tim Hogand,Tim Hogland
536.superintendent,Chrales Mcmahan,Charles Mcmahan
529.co,72-I007***,72-I007
528.superintendent,aLnce West,Lance West
227.city,karche,Okarche
481.statevalue,KO,OK
333.boardpresident,Jena Wayladn,Jena Wayland
1.superintendentemail,mhragis@peavinepanthers.net,mhargis@peavinepanthers.net
539.address,25 South Main,125 South Main
271.phone,(580 )883-2202,(580) 883-2202
476.superintendent,Kolby Johson,Kolby Johnson
84.superintendent,aMrk Bush,Mark Bush
492.address,1706 W. Sprulce,1706 W. Spruce
39.superintendent,Duan Merideth,Duane Merideth
504.address,222 N. wem,222 N. Swem
161.phone,(58) 759-3615,(580) 759-3615
395.statevalue,K,OK
409.website,http://www.ylae.k12.ok.us,http://www.yale.k12.ok.us
500.co,70-C80,70-C080
356.coname,OKLAHjOMA    ,OKLAHOMA    
516.address,2525 S 10S1t East Avenue,2525 S 101St East Avenue
185.boardpresident,Terry Bole,Terry Bogle
394.boardpresident,Dnany Douthit,Danny Douthit
485.phone,(918) 773-598,(918) 773-5798
88.fax,(580) 326-240,(580) 326-2480
423.statevalue,K,OK
450.statevalue,KO,OK
351.superintendent,Fred Rhoes,Fred Rhodes
506.city,Goodwel,Goodwell
403.co,60C-104,60-C104
267.superintendent,Gregogry Raper,Gregory Raper
353.address,12880 Northeas Tenth Street,12880 Northeast Tenth Street
66.website,www.lonegrove.k12.ok.su,www.lonegrove.k12.ok.us
425.statevalue,OqK,OK
545.address,306 South Hyw 44,306 South Hwy 44
23.statevalue,OkK,OK
357.fax,(405) 34-02835,(405) 340-2835
516.distname,TULSA CARTER: COLLEGE BOUND  ,TULSA CHARTER: COLLEGE BOUND  
170.statevalue,OgK,OK
521.boardpresident,Millard tJones,Millard Jones
409.fax,(918)3 87-2503,(918) 387-2503
92.fax,(405) 321-519,(405) 321-5179
27.superintendentemail,JKELLYE@RICKPS.K12.OK.US,JKELLY@ERICKPS.K12.OK.US
531.superintendent,Kirtis Hartzelr,Kirtis Hartzler
204.superintendentemail,jsmith@bblairschool.org,jsmith@blairschool.org
279.city,Pryr,Pryor
395.co,58-I14,58-I014
322.fax,(58) 336-5185,(580) 336-5185
58.co,09-I0c34,09-I034
252.distname,HOWE                          ***,HOWE                          
391.fax,(9y18) 642-1355,(918) 642-1355
17.distname,ATOKA                         ***,ATOKA                         
472.co,v67-I004,67-I004
314.website,wgww.ftgibson.k12.ok.us,www.ftgibson.k12.ok.us
162.city,aoli,Paoli
522.fax,(91o8) 794-6682,(918) 794-6682
93.co,14-I020,14-I002
11.phone,(580) 43s1-2222,(580) 431-2222
345.superintendent,Umi Alpaslan,Umit Alpaslan
515.distname,TUkLSA LEGACY CHARTER SCHL INC ,TULSA LEGACY CHARTER SCHL INC 
238.fax,(918) 65-2525,(918) 653-2525
419.distname,KIOWA                     v    ,KIOWA                         
68.superintendentemail,tsha@whealdtonschools.org,tshaw@healdtonschools.org
400.address,475 eNorth Oak Street,475 North Oak Street
145.superintendentemail,oakssupt@oakksschools.com,oakssupt@oaksschools.com
253.address,100 Blocker Stfreet,100 Blocker Street
273.fax,(850) 227-2642,(580) 227-2642
118.fax,(918) 2565617,(918) 256-5617
185.coname,HARMON     p ,HARMON      
215.city,Wapaucka,Wapanucka
464.boardpresident,iJmmy Hall,Jimmy Hall
9.superintendent,Geri Gilstrpa,Geri Gilstrap
378.phone,918) 652-3374,(918) 652-3374
191.superintendent,Monty Guhtrie,Monty Guthrie
298.distname,EALETOWN                     ,EAGLETOWN                     
305.superintendentemail,sup@stidham.k12.ok.su,sup@stidham.k12.ok.us
442.superintendentemail,wilsiet@tecumseh.k1k2.ok.us,wilsiet@tecumseh.k12.ok.us
165.distname,PAyULS VALLEY                  ,PAULS VALLEY                  
435.superintendentemail,sroper@pgsk12.ok.us,sroper@pgs.k12.ok.us
554.superintendentemail,melva@fortsupply.k12.k.us,melva@fortsupply.k12.ok.us
517.phone,(918) 83m3-9420,(918) 833-9420
473.phone,405) 257-5771,(405) 257-5771
70.boardpresident,KentD onica,Kent Donica
309.superintendent,Richrad Boatright,Richard Boatright
154.fax,(850) 297-5494,(580) 297-5494
449.distname,NASHOBA                      ,NASHOBA                       
451.website,www.clayton.k12.ok.su,www.clayton.k12.ok.us
14.superintendent,Brian tWalker,Brian Walker
50.coname,CADO       ,CADDO       
125.distname,jMOUNDS                        ,MOUNDS                        
431.website,wwwstonewall.k12.ok.us,www.stonewall.k12.ok.us
122.coname,CEEK       ,CREEK       
239.address,Hdwy 270,Hwy 270
438.statevalue,KO,OK
248.city,Poteua,Poteau
452.co,64I013,64-I013
442.statevalue,K,OK
307.boardpresident,rMarcus Burkhalter,Marcus Burkhalter
303.city,Valiant,Valliant
314.statevalue,KO,OK
135.coname,CUSTER      ***,CUSTER      
277.boardpresident,Stephanie Bedck,Stephanie Beck
41.fax,(405)f 663-2139,(405) 663-2139
107.superintendent,Tom Ddeighan,Tom Deighan
269.boardpresident,Kent Fostxer,Kent Foster
372.co,56-Id001,56-I001
68.address,2763 Texas Stret,2763 Texas Street
182.fax,(580) 388-43c41,(580) 388-4341
215.superintendentemail,mrowland@pwss.k12.ok.us,mrowland@wpss.k12.ok.us
533.superintendentemail,clark.ogilvie@owassops.org***,clark.ogilvie@owassops.org
222.coname,KINGFISHE R ,KINGFISHER  
256.distname,DAVENPORT                    f ,DAVENPORT                     
4.phone,(918) 6i96-7866,(918) 696-7866
491.website,grandviewschool.vk12.ok.us,grandviewschool.k12.ok.us
226.fax,(405)433-2646,(405) 433-2646
242.city,Pcocola,Pocola
107.boardpresident,HelenaJohn,Helena John
534.website,http://www.glenpool.k12.ok.uns,http://www.glenpool.k12.ok.us
154.address,05 Utah,305 Utah
312.boardpresident,RonW atson,Ron Watson
3.website,www.qrockymtn.k12.ok.us,www.rockymtn.k12.ok.us
422.boardpresident,Deelynn aHall,Deelynn Hall
240.superintendent,Richard Hanynes,Richard Haynes
454.statevalue,OcK,OK
373.statevalue,KO,OK
351.coname,OKLAHOAM    ,OKLAHOMA    
321.city,oPrum,Porum
511.coname,TILMAN     ,TILLMAN     
3.city,Silwell,Stilwell
83.distname,CHEROKEE IMMERSION HCARTER SCH,CHEROKEE IMMERSION CHARTER SCH
4.fax,(918) 66-6226,(918) 696-6226
496.website,www.empirsechools.org,www.empireschools.org
97.boardpresident,Beverly Felon,Beverly Felton
196.address,210 Grimes mStreet,210 Grimes Street
106.boardpresident,DonaldMccaig,Donald Mccaig
301.superintendent,Stace Ebetr,Stace Ebert
204.address,610 ZinnStreet,610 Zinn Street
158.boardpresident,James Wilon,James Wilson
198.address,8837 Foruth Street,8837 Fourth Street
159.boardpresident,Paula arak,Paula Harak
264.statevalue,OxK,OK
537.superintendentemail,jeff.holmes@bcowetaps.org,jeff.holmes@cowetaps.org
399.co,58-031,58-I031
287.superintendentemail,zacpowell@wayne.k21.ok.us,zacpowell@wayne.k12.ok.us
20.statevalue,OnK,OK
433.address,42400 Garrettk's Lake Road,42400 Garrett's Lake Road
497.address,274801 Brqoncho Rd,274801 Broncho Rd
342.co,5-5E008,55-E008
99.boardpresident,Trent Bourand,Trent Bourland
374.distname,MORRISj                        ,MORRIS                        
360.city,Midwest Ciyt,Midwest City
502.address,801 N. Beavre,801 N. Beaver
36.superintendent,Lee Nrothcutt,Lee Northcutt
160.distname,WHITEBEAwD                     ,WHITEBEAD                     
498.co,69-042,69-I042
459.coname,ROGES      ,ROGERS      
111.boardpresident,cott Reed,Scott Reed
390.coname,SOAGE       ,OSAGE       
134.statevalue,K,OK
129.coname,CREEK    n   ,CREEK       
529.website,wwwt.skiatookschools.org,www.skiatookschools.org
234.website,ww.bvpsd.org,www.bvpsd.org
160.coname,GARVIN    o  ,GARVIN      
335.co,55-tC029,55-C029
493.statevalue,K,OK
394.distname,WAYNDOTTE                     ,WYANDOTTE                     
65.coname,CRTER      ,CARTER      
96.distname,LEXINGTON                     ***,LEXINGTON                     
439.statevalue,OvK,OK
276.superintendentemail,rwhwipkey@kingston.k12.ok.us,rwhipkey@kingston.k12.ok.us
444.co,63-I1h12,63-I112
47.phone,(405s) 966-2236,(405) 966-2236
288.distname,PRUCELL                       ,PURCELL                       
324.boardpresident,David Bck,David Beck
476.fax,(405) 382-339,(405) 382-3339
501.superintendent,JimWiggin,Jim Wiggin
413.distname,TANNEHIL L                    ,TANNEHILL                     
294.boardpresident,Tony Hster,Tony Hester
52.distname,RIVERSIE                     ,RIVERSIDE                     
300.statevalue,KO,OK
234.boardpresident,Russell Shw,Russell Shaw
542.superintendent,Rck Peters,Rick Peters
220.boardpresident,Cara Beyth Johnson,Cara Beth Johnson
178.phone,(405) 453-7k247,(405) 453-7247
516.fax,(91) 925-1585,(918) 925-1585
112.coname,COTTON      ***,COTTON      
101.boardpresident,renda Parker,Brenda Parker
350.statevalue,K,OK
329.coname,OKUFSKEE    ,OKFUSKEE    
505.coname,TEXAeS       ,TEXAS       
49.coname,CADDO     z  ,CADDO       
21.address,1 Bison Drvie,1 Bison Drive
21.superintendentemail,bnaylor@balko.kr12.ok.us,bnaylor@balko.k12.ok.us
