#,Poem Title,Hits,Unnamed: 3,Posts,Unnamed: 5
54.0,I Shall Not Forget,1.0,0%,0.0,0%
55.0,If,1.0,0%,0.0,0%
56.0,If--,2.0,1%,0.0,0%
57.0,Impatience,1.0,0%,0.0,0%
58.0,In India's Dreamy Land,1.0,0%,0.0,0%
59.0,Into The World,7.0,4%,0.0,0%
60.0,Is It Best?,1.0,0%,0.0,0%
61.0,It All Will Come Out Right,1.0,0%,0.0,0%
62.0,It Might Have Been,1.0,0%,0.0,0%
63.0,Joy,1.0,0%,0.0,0%
64.0,Last Love,2.0,1%,0.0,0%
65.0,Life,1.0,0%,0.0,0%
66.0,Life Is Too Short,1.0,0%,0.0,0%
67.0,Life's Scars,4.0,2%,0.0,0%
68.0,Love,1.0,0%,0.0,0%
69.0,Love Is Enough,1.0,0%,0.0,0%
70.0,Love Much,1.0,0%,0.0,0%
71.0,Love Song,1.0,0%,0.0,0%
72.0,Love Thyself Last,1.0,0%,0.0,0%
73.0,Love Will Wane,1.0,0%,0.0,0%
74.0,Love's Coming,1.0,0%,0.0,0%
75.0,Love's Language,3.0,1%,0.0,0%
76.0,Love's Supremacy,1.0,0%,0.0,0%
77.0,Memory's Mansion,1.0,0%,0.0,0%
78.0,Moon And Sea,1.0,0%,0.0,0%
79.0,Mother's Kisses,3.0,1%,0.0,0%
80.0,My Ships,1.0,0%,0.0,0%
81.0,Old Times,1.0,0%,0.0,0%
82.0,One Of Us Two,2.0,1%,0.0,0%
83.0,One Woman's Memory,1.0,0%,0.0,0%
84.0,Optimism,4.0,2%,0.0,0%
85.0,Poverty And Wealth,11.0,7%,0.0,0%
86.0,Preparation,1.0,0%,0.0,0%
87.0,Resolve,1.0,0%,0.0,0%
88.0,Reunited,2.0,1%,0.0,0%
89.0,Smiles,1.0,0%,0.0,0%
90.0,Solitude,154.0,100%,0.0,0%
91.0,Sorrow's Uses,1.0,0%,0.0,0%
92.0,Sweet Danger,1.0,0%,0.0,0%
93.0,The Actor,4.0,2%,0.0,0%
94.0,The Engine,2.0,1%,0.0,0%
95.0,The Farewell,1.0,0%,0.0,0%
96.0,The Farewell To Clarimonde,1.0,0%,0.0,0%
97.0,The Gossips,1.0,0%,0.0,0%
98.0,The Hammock's Complaint,1.0,0%,0.0,0%
99.0,The Kingdom Of Love,1.0,0%,0.0,0%
100.0,The Little Bird,1.0,0%,0.0,0%
101.0,The Muse And The Poet,1.0,0%,0.0,0%
102.0,The Musicians,4.0,2%,0.0,0%
103.0,The Old Moon In The New Moon's Arms,2.0,1%,0.0,0%
104.0,The Optimist,1.0,0%,0.0,0%
105.0,The Rainbow Of Promise,1.0,0%,0.0,0%
106.0,The Traveller,2.0,1%,0.0,0%
107.0,The Tryst,1.0,0%,0.0,0%
108.0,The Winds Of Fate,8.0,5%,0.0,0%
109.0,Then And Now,1.0,0%,0.0,0%
110.0,Thou Dost Not Know,1.0,0%,0.0,0%
111.0,Three Friends,1.0,0%,0.0,0%
112.0,Time And Love,1.0,0%,0.0,0%
113.0,Time Enough,4.0,2%,0.0,0%
114.0,Tis The Set Of The Sail -- Or -- One Ship Sails East,4.0,2%,0.0,0%
115.0,To Marry Or Not To Marry?,2.0,1%,0.0,0%
116.0,Two Loves,1.0,0%,0.0,0%
117.0,Under The Sheet,1.0,0%,0.0,0%
118.0,Veils,1.0,0%,0.0,0%
119.0,Voice Of The Voiceless,6.0,3%,0.0,0%
120.0,What Is Flirtation?,1.0,0%,0.0,0%
121.0,What Shall We Do?,1.0,0%,0.0,0%
122.0,What We Want,2.0,1%,0.0,0%
123.0,When Love Is Lost,2.0,1%,0.0,0%
124.0,Which Are You?,2.0,1%,0.0,0%
125.0,Winter Rain,2.0,1%,0.0,0%
126.0,Wishing,1.0,0%,0.0,0%
127.0,Woman To Man,1.0,0%,0.0,0%
128.0,Womanhood,2.0,1%,0.0,0%
129.0,Worldly Wisdom,1.0,0%,0.0,0%
130.0,Worth While,5.0,3%,0.0,0%
,Total,427.0,,0.0,
,Average,3.3,,0.0,
