OBJECTID,PLY_FEATYPE_CODE,PLY_FEATYPE_TEXT,PLY_DWW_FEATYPE_CODE,PLY_DWW_FEATYPE_TEXT,PLY_DESC_TEXT,PLY_MXM_DESC_TEXT,PLY_FEA_KEY,PLY_DWW_FEATURE_KEY,PLY_DWW_FEATURE_EQNUM_ID,PLY_DWW_ROLE_CODE,PLY_DWW_ROLE_TEXT,PLY_OWNER_CODE,PLY_OWNER_NAME,PLY_LIFECYCLE_CODE,PLY_LIFECYCLE_STAT,PLY_DWW_GEOMTR_TYPE,PLY_AREA_SQFT_NBR,PLY_AREA_ACRES_NBR,PLY_LENGTH_FT_NBR,PLY_MXM_ADRS_TEXT,PLY_WIDTH_FT_NBR,PLY_HEIGHT_FT_NBR,SHAPE_Length,SHAPE_Area
2113,PNT,Point Representations,MST,Misc Structures,Structure - Declorination Structure (Metro KC),,3991429,1195809,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,292.43,0.01,,,,,68.4108333500103,292.429357932475
2247,PNT,Point Representations,MST,Misc Structures,Structure - Transition Structure (Metro KC),,3991436,1197504,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,868.1,0.02,,,,,118.008524993748,868.103695567786
2378,PNT,Point Representations,MST,Misc Structures,Structure - Bypass,DRAINAGE MAINTENANCE HOLE - D055-121,3992552,1486607,927912,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,261.33,0.01,,2900 SW SPOKANE ST,,,64.7208960652351,261.332799521228
2429,PNT,Point Representations,MST,Misc Structures,Structure - Gate Chamber,GATE CHAMBER - NPDES 39 - 059-455,3992668,1514878,696105,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,34.31,0,,3808 LAKE WASHINGTON BLVD S,,,23.460808132907,34.308467410451
2461,PNT,Point Representations,OF,Overflow MH,Structure - Overflow Structure,,3992270,1400920,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,87.76,0,,,,,38.0716589443851,87.7553087833941
2493,PNT,Point Representations,MST,Misc Structures,Vault - Separation Vault,,3992025,1334773,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,278.44,0.01,,,,,69.1632378889814,278.438891011836
2546,PNT,Point Representations,MST,Misc Structures,Structure - King County Regulator,,3990988,1095415,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1113.81,0.03,,,,,145.57639748195,1113.81204231572
2622,PNT,Point Representations,MST,Misc Structures,Structure - Siphon Outlet Structure (Metro KC),,3992294,1408432,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,208.86,0,,,,,64.9378813253101,208.863835642569
2626,PNT,Point Representations,MST,Misc Structures,Structure - Regulator #2 Lander St (Metro KC),,3992321,1415114,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,937.01,0.02,,,,,148.40147410834,937.010966958313
2815,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control Chamber,FLOW CONTROL MH - NPDES 38 - CSO 12 - 059-498,3992671,1516435,696136,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,122.47,0,,3801 46TH AVE S,,,44.900639061052,122.471230891051
2965,PNT,Point Representations,MST,Misc Structures,Structure - Drop Structure,WASTEWATER MAINTENANCE HOLE - 057-254,4057267,1557564,893279,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,279.41,0.01,,4150 1ST AVE S,,,68.0519568417909,279.407913959211
3019,PNT,Point Representations,MH,Maintenance Hole,Structure - Forcemain Discharge Structure,,4032347,4032180,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,77.92,0,,,,,35.5897684664532,77.9172569564427
3020,PNT,Point Representations,MH,Maintenance Hole,Structure - MLK Inlet Regulator,,4033316,4032683,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1882.03,0.04,,,,,153.786551477022,1882.03134707568
3021,PNT,Point Representations,MH,Maintenance Hole,Structure - Henderson Junction MH,,4069835,4052201,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,253.58,0.01,,,,,56.4496617201804,253.578730574543
3031,PNT,Point Representations,MH,Maintenance Hole,Structure - Watertight MH Frame,,4062318,4060287,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,120.25,0,,,,,44.6787223304561,120.248318662186
3077,PNT,Point Representations,MST,Misc Structures,Structure - Regulator Structure (Metro KC),,4264510,1333494,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,39.88,0,,,,,22.3870434078519,39.8826143143579
3150,PNT,Point Representations,MST,Misc Structures,Structure - Scaling Pit,DRAINAGE MAINTENANCE HOLE - D055-020,3992583,1494751,712741,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,519.13,0.01,,2624 SW SPOKANE ST,,,80.769163002271,519.125191298494
3176,PNT,Point Representations,MST,Misc Structures,Structure - Sea Water Storage,,4088967,4088961,,ENDPT,Mainline End Point,UW,University of Washington,C,Connected,PNT,172.59,0,,,,,65.2927797486405,172.593451317482
3231,PNT,Point Representations,OF,Overflow MH,Structure - Overflow w/three access points,"OVERFLOW STRUCTURE - NPDES 47 - CSO 5,6,7 - 081-08",3995065,1946131,705000,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,248.14,0.01,,5327 S HENDERSON ST,,,63.0647012148575,248.143048599327
3298,PNT,Point Representations,MST,Misc Structures,Structure - Portal,WASTEWATER MAINTENANCE HOLE - 060-122,3993175,1629329,698368,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,39.36,0,,5079 BEACH DR SW,,,27.2051200270653,39.3646425183213
3383,PNT,Point Representations,OF,Overflow MH,Structure - Diversion Structure and Overflow MH,WASTEWATER MAINTENANCE HOLE - 004-386,3988978,385609,675142,ENDPT,Mainline End Point,,,C,Connected,PNT,279.76,0.01,,7901 GREEN LAKE DR N,,,74.2392490088427,279.755693042048
3553,PNT,Point Representations,JMH,Junction Chamber MH,Structure - Junction Chamber,,3993173,1628960,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,97.24,0,,,,,42.5755189683392,97.2422743223177
3680,PNT,Point Representations,MST,Misc Structures,Structure - By-Pass Chamber (Metro KC),,3990249,837134,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,119.96,0,,,,,46.3578633009808,119.960829031898
4038,PNT,Point Representations,JMH,Junction Chamber MH,Vault - Wye Connection Vault (Metro KC),WASTEWATER MAINTENANCE HOLE - 043-528,3992020,1334194,881760,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1044.97,0.02,,1205 ALASKAN WAY S,,,151.163426555084,1044.96515255464
4049,PNT,Point Representations,MH,Maintenance Hole,Structure - Watertight MH Frame,,4265833,4062420,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,120.55,0,,,,,44.631397156088,120.546326655286
4141,PNT,Point Representations,SED,"Sedimentation Chamber;Sand Catcher;Sand ",Structure - Grit Chamber,,3992667,1514893,696103,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,328.52,0.01,,,,,73.4370210155191,328.519141099228
4169,PNT,Point Representations,MH,Maintenance Hole,"Structure - Stormwater junction, Madison Vly",STORMWATER JUNCTION STRUCTURE - D037-062,5013500,1189743,594563,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,82.51,0,0,200 30TH AVE E,0,0,36.5328096806965,82.5110494502091
4264,PNT,Point Representations,OF,Overflow MH,Structure - Overflow w/ 2 access points,FLOW CONTROL STRUCTURE - NPDES 35 - CSO 14 - 046E-,3992115,1363249,786642,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,72.19,0,,1700 LAKESIDE AVE S,,,30.1742753981855,72.1877823639795
4325,PNT,Point Representations,MH,Maintenance Hole,Structure - Miscellaneous,,3992918,1572300,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1296.66,0.03,,,,,157.72321527183,1296.66120966274
4386,PNT,Point Representations,MST,Misc Structures,Structure - Siphon Outlet Structure,,4248364,1572291,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,148.17,0,,,,,49.413200442961,148.170913406429
4427,PNT,Point Representations,MH,Maintenance Hole,Structure - Overflow Chamber,,3995299,1983871,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,84.9,0,,,,,37.8727658007941,84.904889739368
4444,PNT,Point Representations,MST,Misc Structures,Structure - Discharge Structure,,3994158,1805744,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,103.53,0,,,,,38.9589038709585,103.532063370637
4558,PNT,Point Representations,SED,"Sedimentation Chamber;Sand Catcher;Sand ",Other - Sandcatcher,,4301509,1514893,696103,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,46.17,0,,,,,24.0872778582339,46.1706066459753
4611,PNT,Point Representations,MH,Maintenance Hole,"Structure - Crossing MH, base slab is 18'x9.5'",WASTEWATER MAINTENANCE HOLE - 056-189,3992864,1561367,697013,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,189.89,0,,24 S IDAHO ST,,,58.3223288927718,189.887114885483
4615,PNT,Point Representations,MH,Maintenance Hole,Vault - Separation Vault,DRAINAGE MAINTENANCE HOLE - D044-513,3992033,1335808,930706,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,221.41,0.01,,1201 4TH AVE S,,,63.6963840425014,221.410331554835
4750,PNT,Point Representations,MST,Misc Structures,Structure - Transition,,3990699,987425,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,453.22,0.01,,,,,102.25855858628,453.223969338718
4766,PNT,Point Representations,MST,Misc Structures,Structure - Creek Diversion Structure,DRAINAGE MAINTENANCE HOLE - D228-018,3987448,179896,708728,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,1489.55,0.03,,10536 35TH AVE NE,,,202.151333598026,1489.55351105044
4779,PNT,Point Representations,HB,Horizontal Bend,Pit - Rock Pocket,,3986553,119235,,CONNPT,Mainline Connection Point,SPU,Seattle Public Utilities,C,Connected,PNT,689.99,0.02,,,,,297.962908868006,689.987524867808
4833,PNT,Point Representations,MST,Misc Structures,Structure - Header Structure,DRAINAGE MAINTENANCE HOLE - D047-096,3992322,1414559,712399,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,16.31,0,,5215 SW ADMIRAL WAY,,,16.1674240231514,16.3121740332166
4851,PNT,Point Representations,SED,"Sedimentation Chamber;Sand Catcher;Sand ",Structure - Grit Chamber,,3987455,180236,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,407.48,0.01,,,,,91.6797338705933,407.477133512697
4870,PNT,Point Representations,MST,Misc Structures,Structure - Diversion,,4048094,1078557,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,295.43,0.01,,,,,68.8041181142096,295.433912417584
5042,PNT,Point Representations,MST,Misc Structures,"Structure - Tunnel Portal, East (Metro KC)",,3991174,1146143,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,2604.56,0.06,,,,,180.94389597538,2604.56391888184
5082,PNT,Point Representations,MH,Maintenance Hole,Structure - Low Head ,DRAINAGE MAINTENANCE HOLE - D080-029,4248822,1888486,599999,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,682.72,0.02,,8137 RAINIER AVE S,,,154.731408804716,682.718480228617
5252,PNT,Point Representations,MST,Misc Structures,Structure - Regulator (Metro KC),,3992031,1335320,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,355.27,0.01,,,,,78.3973187898677,355.271197785414
5254,PNT,Point Representations,MST,Misc Structures,Structure - Vent Structure (Metro KC),,3992187,1380558,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,307.7,0.01,,,,,71.0593840456428,307.695371936574
5276,PNT,Point Representations,OF,Overflow MH,Structure - Surface Overflow Structure,OVERFLOW DRAINAGE MAINTENANCE HOLE - D069-230,4255141,1830850,713993,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,53.99,0,,2300 SW WEBSTER ST,,,26.046470146251,53.9868312629317
5284,PNT,Point Representations,MST,Misc Structures,Structure - Regulator Denny Way (Metro KC),,3991435,1197172,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1000.79,0.02,,,,,126.75165288977,1000.78823396913
7120,PNT,Point Representations,MH,Maintenance Hole,Vault,WASTEWATER MAINTENANCE HOLE - 035-630,5239985,5235741,956455,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,PC,Provisional Connect,PNT,303.25,0.01,0,MAP 035 - WASTEWATER MAINTENANCE HOLES / APPURTENA,0,0,69.8965190877054,303.248486092837
7123,PNT,Point Representations,MST,Misc Structures,"Structure - Control Structure, Downstream
",WASTEWATER MAINTENANCE HOLE - 057-293,5246856,1457231,999891,ENDPT,Mainline End Point,UNK,Unknown,C,Connected,PNT,2445.09,0.06,0,MAP 057 - WASTEWATER MAINTENANCE HOLES / APPURTENA,0,0,217.141507944593,2445.09447506312
7976,PNT,Point Representations,MST,Misc Structures,Structure - Miscellaneous,,7139158,1947125,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,125.86,0,0,,0,0,45.3067136746162,125.864720572586
7977,PNT,Point Representations,MST,Misc Structures,Structure - Split Structure,,7139169,1947140,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,136.25,0,0,,0,0,52.7052784453107,136.251331029553
8187,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control Chamber,FLOW CONTROL MH - NPDES35 - CSO 14 - 046-188,7164051,7163955,970558,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,175.03,0,0,CSO  14 - NPDES35,0,0,53.3810683070595,175.031057002223
8607,PNT,Point Representations,MST,Misc Structures,Structure - Junction,DRAINAGE MAINTENANCE HOLE - D057-001,7267004,1458160,712603,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,300.15,0.01,0,801 S HANFORD ST,0,0,66.9959992233231,300.154730227044
8733,PNT,Point Representations,MH,Maintenance Hole,OTH - MH is paved over,,7324110,87799,,ENDPT,Mainline End Point,PRI,Private,C,Connected,PNT,51.59,0,0,,0,0,31.1333666239347,51.592903885907
8734,PNT,Point Representations,MH,Maintenance Hole,OTH - MH paved over,,7324168,80247,,ENDPT,Mainline End Point,PRI,Private,C,Connected,PNT,30.21,0,0,,0,0,24.6394283127021,30.2115048126716
8735,PNT,Point Representations,MH,Maintenance Hole,OTH - MH paved over,,7324169,78924,,ENDPT,Mainline End Point,PRI,Private,C,Connected,PNT,37.53,0,0,,0,0,26.8486881113481,37.5346377685647
8905,PNT,Point Representations,OUT,Outfall,Structure - Outlet,DRAINAGE MAINTENANCE HOLE - D053-111,3992698,1521373,712856,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,128.11,0,,4025 BEACH DR SW,,,65.7837178960118,128.105032701085
8906,PNT,Point Representations,MST,Misc Structures,Structure - Miscellaneous,,3992920,1572298,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,440.62,0.01,,,,,86.4814080893993,440.622800638511
8928,PNT,Point Representations,JMH,Junction Chamber MH,Structure - Miscellaneous,DRAINAGE MAINTENANCE HOLE - D055-545,4245843,4266616,942130,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,242.38,0.01,,MAP 055 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,,,62.3461621129634,242.383638507403
9940,PNT,Point Representations,MST,Misc Structures,Structure - Junction Structure,,7576351,1755486,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,122.39,0,0,,0,0,50.7988589882891,122.391287302041
9941,PNT,Point Representations,MST,Misc Structures,Structure - Junction Structure,,7576384,1753172,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,134.55,0,0,,0,0,45.6383744463419,134.546204870476
9942,PNT,Point Representations,MST,Misc Structures,Structure - King County Regulator,,7576386,1754232,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,122.63,0,0,,0,0,45.932700808282,122.631872561044
9968,PNT,Point Representations,MST,Misc Structures,Structure - Overflow Structure,DRAINAGE MAINTENANCE HOLE - D007-180,7582030,4276353,942577,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,30.73,0,0,MAP 007 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,0,0,22.7997995447371,30.7304471094415
10036,PNT,Point Representations,MST,Misc Structures,Structure - Siphon Inlet Chamber,WASTEWATER MAINTENANCE HOLE - 047-202,7606034,1426550,694288,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,88.83,0,0,5551 SW ADMIRAL WAY,0,0,37.7568406711708,88.8327606276651
10148,PNT,Point Representations,MST,Misc Structures,Structure - Siphon Clean-Out Chamber,WASTEWATER MAINTENANCE HOLE - 047-189,7606046,1428799,694319,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,106.67,0,0,5551 SW ADMIRAL WAY,0,0,42.5357979511959,106.671828117528
10219,PNT,Point Representations,MST,Misc Structures,Structure - Low Flow Diversion MH,DRAINAGE MAINTENANCE HOLE - D039-082,7629778,1265145,711511,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,43.78,0,0,1403 WESTERN AVE,0,0,23.4564767536236,43.7840263173984
10221,PNT,Point Representations,MST,Misc Structures,Structure - Wet Well MH,WASTEWATER MAINTENANCE HOLE - 054-011,7627139,1462302,694942,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,36.28,0,0,5018 SW HINDS ST,0,0,21.3523022022719,36.2810252290038
10225,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 038-371,7630254,7630246,1011921,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,49.85,0,0,MAP 038 - WASTEWATER MAINTENANCE HOLES / APPURTENA,0,0,28.5079751326573,49.8455875868511
10226,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 305-145,7630261,1998117,706459,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,61.71,0,0,9800 40TH AVE S,0,0,31.7018145282596,61.7078718813533
10253,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 030-383,7620675,990250,684728,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,52.38,0,0,2360 FAIRVIEW AVE E,0,0,29.1719639598284,52.3843882868841
10275,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,FLOW CONTROL MH - 305-199 - 4314 S 104TH PL,7617548,4112900,935338,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,47.59,0,0,4314 S 104TH PL,0,0,24.4542755454082,47.5882504802893
