796.agency_name,REGENTS FOR HIGzHER EDUCATION,REGENTS FOR HIGHER EDUCATION
672.class_description,Rev Bon dFd/Cap Improvements,Rev Bond Fd/Cap Improvements
603.total_amount,$0w.00,$0.00
683.agency_name,NORTHERN OKLAHOMA COLuLEGE,NORTHERN OKLAHOMA COLLEGE
1091.statutory_reference,, 
22.agency_name,OSU-fEXPERIMENT STATION,OSU-EXPERIMENT STATION
155.statutory_reference,"TITLE 70, SEC .4001","TITLE 70, SEC. 4001"
283.agency_name,UNIV.OF SCIENCE & ARTSo OF OK,UNIV.OF SCIENCE & ARTS OF OK
116.total_amount,$311986.78,$311968.78
754.statutory_reference,"TITL E74, SEC. 63.1","TITLE 74, SEC. 63.1"
1065.statutory_reference,"TITLE 2, SECTION 34.9","TITLE 62, SECTION 34.9"
456.total_amount,$c500.00,$500.00
461.total_amount,$85663.01,$856363.01
75.total_amount,0$.00,$0.00
267.statutory_reference,"TITLE 10,h SEC. 601.10","TITLE 10, SEC. 601.10"
818.class_description,Capital Bond Projets,Capital Bond Projects
565.agency_name,COMPSOURCE OKLHOMA,COMPSOURCE OKLAHOMA
304.statutory_reference,"TITLE 62, ESCTIONS 34.48 & 34.9","TITLE 62, SECTIONS 34.48 & 34.9"
464.statutory_reference,"TITLE 11, SEC. u49-122.1","TITLE 11, SEC. 49-122.1"
376.class_description,Agenc Relationship Fund,Agency Relationship Fund
197.class_description,Capitol Dome Bond - Projceeds,Capitol Dome Bond - Proceeds
844.class_description,American Recov. &a Reinv. Act,American Recov. & Reinv. Act
55.total_amount,$0.00***,$0.00
843.class_description,OCCiC Theatre Const Rev Bd 2010,OCCC Theatre Const Rev Bd 2010
992.statutory_reference,"ITLE 17, SEC 139.109","TITLE 17, SEC 139.109"
861.agency_name,CONSERhVATION COMMISSION,CONSERVATION COMMISSION
446.agency_name,STATE BUREAU F INVESTIGATION,STATE BUREAU OF INVESTIGATION
52.total_amount,$14141.64,$147141.64
137.total_amount,$21d47576.88,$2147576.88
130.total_amount,0.00,$0.00
705.class_description,Agency Relationsihp Fund,Agency Relationship Fund
10.total_amount,$951.71,$951.17
380.statutory_reference,"TITLE 70, SEC. 3091","TITLE 70, SEC. 3901"
698.statutory_reference,, 
609.class_description,Federal Librar Funds,Federal Library Funds
447.total_amount,$1806201.05,$1806021.05
922.total_amount,$263.07,$2623.07
78.agency_name,ALCHOLIC BEV. LAWS ENFORCE.,ALCOHOLIC BEV. LAWS ENFORCE.
809.agency_name,PHYSICAIN MANPOWER TRNG. COMM.,PHYSICIAN MANPOWER TRNG. COMM.
337.agency_name,CORPORATION CvOMMISSION,CORPORATION COMMISSION
56.agency_name,OSU-UTLSA,OSU-TULSA
367.class_description,Capital Bond Projetcs,Capital Bond Projects
371.agency_name,ESAT CENTRAL UNIVERSITY,EAST CENTRAL UNIVERSITY
524.class_description,Rebldg Ok Access & Drvr Safty,Rebldg Ok Access & Drvr Safety
997.class_description,Sch for Blind/Deaf RevF und,Sch for Blind/Deaf Rev Fund
206.statutory_reference,ITLE 73 SECTION 311,TITLE 73 SECTION 311
588.class_description,Educ & Gen Op Re Fund,Educ & Gen Op Rev Fund
988.statutory_reference,***, 
550.total_amount,$4x95239.47,$495239.47
92.statutory_reference,"TITLE 47, SECTInON 1104.10","TITLE 47, SECTION 1104.10"
657.statutory_reference,"ITTLE 62, SEC. 34.48","TITLE 62, SEC. 34.48"
898.total_amount,$2b.02,$2.02
1010.statutory_reference,p , 
464.class_description,Fqirefighters Pens & Ret Fund,Firefighters Pens & Ret Fund
506.class_description,Ok State Ath Comm Rveolving Fd,Ok State Ath Comm Revolving Fd
444.agency_name,INTERSTATE OIL COMmPACT COMM.,INTERSTATE OIL COMPACT COMM.
934.agency_name,STATE TRASURER,STATE TREASURER
688.statutory_reference,"TITLE 62, SEC. 418.","TITLE 62, SEC. 41.8"
1026.class_description,Hlth Emp & Economy Imp ct,Hlth Emp & Economy Imp Act
966.statutory_reference,***, 
105.statutory_reference,, 
382.total_amount,$22649.5,$22649.85
864.class_description,American Recoyv. & Reinv. Act,American Recov. & Reinv. Act
733.agency_name,DEPARTMENT OF TOURISM ADN RECREATION,DEPARTMENT OF TOURISM AND RECREATION
651.class_description,Capital Bon dProjects,Capital Bond Projects
538.agency_name,HISTeORICAL SOCIETY,HISTORICAL SOCIETY
919.class_description,Seped for OK Kids,Seed for OK Kids
454.total_amount,0$.00,$0.00
879.statutory_reference,"TITLE 70, SEC. 904","TITLE 70, SEC. 3904"
972.total_amount,$8000481.820,$80004818.20
138.statutory_reference,"TITLE 62, SCETION 41.21","TITLE 62, SECTION 41.21"
77.class_description,Sales Fund-Sruplus Property,Sales Fund-Surplus Property
282.agency_name,NIV.OF SCIENCE & ARTS OF OK,UNIV.OF SCIENCE & ARTS OF OK
596.agency_name,LANGSTON UNIVERISTY,LANGSTON UNIVERSITY
211.class_description,OCIA 2005A Mil Dept-  Construc,OCIA 2005A Mil Dept - Construc
146.statutory_reference,"TITLE6 2, CH 1, SEC 50","TITLE 62, CH 1, SEC 50"
634.statutory_reference,"TILE 62, SECTIONS 34.48 AND 34.9","TITLE 62, SECTIONS 34.48 AND 34.9"
62.total_amount,$1255b74.02,$125574.02
139.statutory_reference,***, 
752.statutory_reference,"TITLE 74, SEC. 63l.2","TITLE 74, SEC. 63.2"
717.agency_name,OFFICE OF PERSONNEL MANAGEMyENT,OFFICE OF PERSONNEL MANAGEMENT
156.total_amount,$0.0,$0.00
1012.total_amount,0.00,$0.00
241.total_amount,$000,$0.00
1040.total_amount,$662.5v0,$662.50
871.statutory_reference,"TITLE 62, SEC .34.48 & 34.9","TITLE 62, SEC. 34.48 & 34.9"
1072.statutory_reference,"TITLE 82, SEjC. 1087.6 B","TITLE 82, SEC. 1087.6 B"
68.total_amount,$3449.82,$34499.82
43.agency_name,OSU-OKLgAHOMA CITY,OSU-OKLAHOMA CITY
70.class_description,American Recvov. & Reinv. Act,American Recov. & Reinv. Act
776.agency_name,DEPARTMENT OF PUBLIC SAFqETY,DEPARTMENT OF PUBLIC SAFETY
988.class_description,OSU Med .Auth. Disbursing Fund,OSU Med. Auth. Disbursing Fund
554.agency_name,OK. INDUSTRIA LFINANCE AUTH.,OK. INDUSTRIAL FINANCE AUTH.
878.statutory_reference,r , 
785.total_amount,$1842472.78,$1842472.87
583.statutory_reference,, 
322.statutory_reference,"TITLE 59, SECTION 1042,r AS AMENDED BY SB 1211","TITLE 59, SECTION 1042, AS AMENDED BY SB 1211"
108.class_description,Indigent Defense System eRv.Fd,Indigent Defense System Rev.Fd
392.statutory_reference,"TITLE 70, SE.C 3-104 PARAPGRAPH 6B","TITLE 70, SEC. 3-104 PARAPGRAPH 6B"
347.statutory_reference,"TITLE 59, SEC .328.42","TITLE 59, SEC. 328.42"
30.class_description,Educational & Gen Opeyrations,Educational & Gen Operations
31.class_description,Capital mprovements Rev Fund,Capital Improvements Rev Fund
778.class_description,OK Homeland Sevcurity Rev Fund,OK Homeland Security Rev Fund
982.class_description,Comp Unv Capital Projects Rev,Comp Univ Capital Projects Rev
1061.total_amount,0.00,$0.00
742.class_description,General Purpose Revolvng Fund,General Purpose Revolving Fund
993.statutory_reference,"TIyTLE 47, SECTION 1104.7","TITLE 47, SECTION 1104.7"
307.total_amount,$2479.33,$24796.33
159.total_amount,$16179z13.83,$1617913.83
316.class_description,American Recov. & Reiqnv. Act,American Recov. & Reinv. Act
415.total_amount,$418022.04***,$418022.04
330.class_description,Undrgr Storage Tank Rev. F.d,Undrgr Storage Tank Rev. Fd.
410.total_amount,k$485916.64,$485916.64
374.agency_name,EASTERN OKLA. STATE COpLLEGE,EASTERN OKLA. STATE COLLEGE
330.agency_name,CORPORAION COMMISSION,CORPORATION COMMISSION
204.class_description,OCIA 1999 Revenue Bond Sereis,OCIA 1999 Revenue Bond Series
678.class_description,Capital Improvement RevolvF un,Capital Improvement Revolv Fun
396.agency_name,DEPARTMENT OF EDUCATIN,DEPARTMENT OF EDUCATION
133.class_description,Federal sFund,Federal Fund
202.total_amount,0$.05,$0.05
948.total_amount,$0.00***,$0.00
334.statutory_reference,"TeITLE 17, SEC 57","TITLE 17, SEC 57"
27.statutory_reference,"TITLE 62, SEC.s 41.8","TITLE 62, SEC. 41.8"
447.statutory_reference,"TITeLE 74, SEC. 150.25","TITLE 74, SEC. 150.25"
587.class_description,Ok Law nf Ret Rev Fund,Ok Law Enf Ret Rev Fund
702.statutory_reference,"xTITLE 62, SEC. 155","TITLE 62, SEC. 155"
6.class_description,Aency Relationship Fund,Agency Relationship Fund
371.statutory_reference,***, 
615.total_amount,$159377.67,$159377.76
631.statutory_reference,"TlITLE 62, SECTION 50","TITLE 62, SECTION 50"
821.total_amount,$413750.86,$143750.86
505.total_amount,$8600.0,$860.00
105.agency_name,WESTERN OKLA. STATE COLLEGbE,WESTERN OKLA. STATE COLLEGE
1094.agency_name,OLKA. TRANSPORTATION AUTHORITY,OKLA. TRANSPORTATION AUTHORITY
1042.agency_name,DEPARTMENT OF HUMAqN SERVICES,DEPARTMENT OF HUMAN SERVICES
957.class_description,OK Unif Bldg Code Comm Relv Fnd,OK Unif Bldg Code Comm Rev Fnd
544.agency_name,HISTaORICAL SOCIETY,HISTORICAL SOCIETY
527.agency_name,EPARTMENT OF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
950.total_amount,$73400.23,$734008.23
910.agency_name,TEACHERS RETIREMENTS YSTEM,TEACHERS RETIREMENT SYSTEM
428.class_description,Environmemntal Education Rev.,Environmental Education Rev.
928.agency_name,STATE TREASfURER,STATE TREASURER
827.agency_name,SECRETARY O STATE,SECRETARY OF STATE
650.total_amount,$01.0,$0.10
976.agency_name,UNIV. FO OKLA. HEALTH SCIENCES CENTER,UNIV. OF OKLA. HEALTH SCIENCES CENTER
479.statutory_reference,"TITLE 63 ,SEC. 1-1971","TITLE 63, SEC. 1-1971"
266.class_description,Fed Funds-U.S. Deptd. Of Labor,Fed Funds-U.S. Dept. Of Labor
458.statutory_reference,"TITLE 63, SECh. 683.17","TITLE 63, SEC. 683.17"
410.agency_name,OKLA. EDUC. TELVEISION AUTH.,OKLA. EDUC. TELEVISION AUTH.
759.class_description,Risk Mgmt Poitical Subdivisio,Risk Mgmt Political Subdivisio
837.agency_name,SPEECH-LANGUAGE PATHOLOGY & AUIOLOGY,SPEECH-LANGUAGE PATHOLOGY & AUDIOLOGY
143.statutory_reference,***, 
955.class_description,Tulsa Com mColl District Bonds,Tulsa Comm Coll District Bonds
605.class_description,OCJRC - VhAWA Fed Fund,OCJRC - VAWA Fed Fund
128.statutory_reference,"TTILE 62 SEC 34.48, 34.9","TITLE 62 SEC 34.48, 34.9"
804.agency_name,ARDMORE HIzGHER EDUCATION CENTER,ARDMORE HIGHER EDUCATION CENTER
1019.statutory_reference,, 
27.agency_name,OSU-EXTENSIONDIVISION,OSU-EXTENSION DIVISION
685.class_description,New Colclege-Const & Purch Bldg,New College-Const & Purch Bldg
397.agency_name,DEPARTMENT OF EDCATION,DEPARTMENT OF EDUCATION
1079.class_description,Comm Water nfrastr Dev Revolv,Comm Water Infrastr Dev Revolv
998.class_description,Ok Schl Fo The Blind Rev Fund,Ok Schl For The Blind Rev Fund
489.agency_name,STATE DEPARTMENT OF HELTH,STATE DEPARTMENT OF HEALTH
939.total_amount,$171g68.73,$17168.73
840.total_amount,0.00,$0.00
45.statutory_reference,"TITLE 62, SEC. v41.8","TITLE 62, SEC. 41.8"
163.agency_name,CAPITOL IMPROVEMENTA UTHORITY,CAPITOL IMPROVEMENT AUTHORITY
560.statutory_reference,"TITLE59, SEC. 1337","TITLE 59, SEC. 1337"
1028.agency_name,EALTH CARE AUTHORITY,HEALTH CARE AUTHORITY
355.agency_name,DISTRIC ATTORNEYS COUNCIL,DISTRICT ATTORNEYS COUNCIL
250.agency_name,COMMEkRCIAL PET BREEDERS BOARD,COMMERCIAL PET BREEDERS BOARD
793.class_description,Ok Tuitiocn Aid Grts Rev Fund,Ok Tuition Aid Grts Rev Fund
490.agency_name,STATE DEPARTMENT OF HAELTH,STATE DEPARTMENT OF HEALTH
430.total_amount,$48695o.02,$48695.02
887.agency_name,S .W. OKLA. ST. UNIV.,S. W. OKLA. ST. UNIV.
724.statutory_reference,"TITLzE 74, SEC. 1811.1","TITLE 74, SEC. 1811.1"
642.statutory_reference,"TITLE 70, SECITON 3305F","TITLE 70, SECTION 3305F"
634.agency_name,MENTAL HEALTH ND SUBSTANCE ABUSE SERV.,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.
321.total_amount,$494975.43,$494795.43
916.total_amount,$496326.40,$4963286.40
865.agency_name,DEPARTMENT OF VETERANS iAFFAIRS,DEPARTMENT OF VETERANS AFFAIRS
875.agency_name,S. E. OKLA. ST. UNlIV.,S. E. OKLA. ST. UNIV.
63.class_description,Patriot Lcense Plate Revolvin,Patriot License Plate Revolvin
1062.statutory_reference,e , 
125.agency_name,ATOTRNEY GENERAL,ATTORNEY GENERAL
166.class_description,2006C Appetll Crts - Revenu Fnd,2006C Appell Crts - Revenu Fnd
243.agency_name,CAPITOL IMPRVOEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
644.class_description,2007 Stukdent Facility Rev Bond,2007 Student Facility Rev Bond
135.class_description,Cemetery rchd Trst Act Rev Fd,Cemetery Mrchd Trst Act Rev Fd
150.total_amount,$j11568098.80,$11568098.80
774.statutory_reference,"ITTLE 63, SEC. 2-503E","TITLE 63, SEC. 2-503E"
870.total_amount,$a9195998.20,$9195998.20
738.agency_name,SCEINC RIVERS COMMISSION,SCENIC RIVERS COMMISSION
1009.agency_name,DEPARTMENT OF REHABILItTATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
504.total_amount,$140996.5,$14099.65
1070.class_description,Juvenile JusticeD isb Fund,Juvenile Justice Disb Fund
252.statutory_reference,"dTITLE 70, SEC. 3901","TITLE 70, SEC. 3901"
792.total_amount,823686.61,$823686.61
994.agency_name,OKLA. CAREER AND TECHNOOLGY EDUCATION,OKLA. CAREER AND TECHNOLOGY EDUCATION
761.statutory_reference,"TITLE74, SEC. 85.33","TITLE 74, SEC. 85.33"
130.class_description,America Recov. & Reinv. Act,American Recov. & Reinv. Act
435.statutory_reference,"TITLE 60, SECTION3 85","TITLE 60, SECTION 385"
811.statutory_reference,"TILTE 70, SEC. 697.11","TITLE 70, SEC. 697.11"
654.statutory_reference,"TITLE 63, SEC. x2-107","TITLE 63, SEC. 2-107"
1053.agency_name,DEPARTEMNT OF HUMAN SERVICES,DEPARTMENT OF HUMAN SERVICES
104.class_description,Capital Bondf Projects,Capital Bond Projects
117.agency_name,ATTORNEY ENERAL,ATTORNEY GENERAL
125.total_amount,$7024n.69,$7024.69
537.statutory_reference,"TITLE 62, SECTION b7.5","TITLE 62, SECTION 7.5"
676.agency_name,NORTHEASTERN STATdE UNIVERSITY,NORTHEASTERN STATE UNIVERSITY
781.statutory_reference,TILE 47 SEC. 2-146,TITLE 47 SEC. 2-146
510.agency_name,STATE DEPATMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
445.agency_name,INTERSTATE OI LCOMPACT COMM.,INTERSTATE OIL COMPACT COMM.
157.agency_name,CAMERON UNIVERcSITY,CAMERON UNIVERSITY
51.class_description,Capital Improvement Rev Fund,Capital Improvements Rev Fund
1004.class_description,Rehab Serivces Disb Fund,Rehab Services Disb Fund
805.class_description,Capitl Improvements Rev Fund,Capital Improvements Rev Fund
682.statutory_reference,"ITLE 73, SECTION 301","TITLE 73, SECTION 301"
946.total_amount,$0m.15,$0.15
701.total_amount,$814025.2,$81402.52
229.statutory_reference,"ITLE 62, SECTION 34.48","TITLE 62, SECTION 34.48"
753.class_description,Statewide Surplus Proprty Fd,Statewide Surplus Property Fd
878.class_description,Amercan Recov. & Reinv. Act,American Recov. & Reinv. Act
14.statutory_reference,, 
633.class_description,Fedm Library Fund Title Iv-A,Fed Library Fund Title Iv-A
260.total_amount,$17076.54,$17067.54
177.statutory_reference,TITLE 73 SETCIONS 151 THRU 321,TITLE 73 SECTIONS 151 THRU 321
577.class_description,Safetyp Consult & Reg Fund,Safety Consult & Reg Fund
12.total_amount,$a0.09,$0.09
289.agency_name,UNIV.OFSCIENCE & ARTS OF OK,UNIV.OF SCIENCE & ARTS OF OK
146.agency_name,TOBACO SETTLEMENT ENDMT TRUST,TOBACCO SETTLEMENT ENDMT TRUST
270.agency_name,DEPARTMENT OF CORRECTIONS***,DEPARTMENT OF CORRECTIONS
746.class_description,State Construction Revolv und,State Construction Revolv Fund
927.total_amount,129112.75,$129112.75
525.total_amount,$3259745v.03,$3259745.03
125.class_description,VINES Granct,VINES Grant
730.agency_name,DEPARTMENT OF TOURISM AND RECREATIOgN,DEPARTMENT OF TOURISM AND RECREATION
676.total_amount,$2309429.16,$2309429.61
1005.statutory_reference,, 
668.class_description,Caital Improvements Rev Fund,Capital Improvements Rev Fund
734.statutory_reference,m , 
236.total_amount,0.00,$0.00
1006.total_amount,$7466744.1h8,$7466744.18
703.class_description,Educ& Gen Oper Rev Funds,Educ & Gen Oper Rev Funds
922.class_description,OoCIA 1999A Rev Bnd Sinking Fnd,OCIA 1999A Rev Bnd Sinking Fnd
254.agency_name,UNIV. OF CENTRAL KLA.,UNIV. OF CENTRAL OKLA.
363.agency_name,EAST CENTRAL UNIVERSTIY,EAST CENTRAL UNIVERSITY
257.statutory_reference,"TITLE 70, SEC. f4004","TITLE 70, SEC. 4004"
972.statutory_reference,"TITLE 70, SEC. b3901","TITLE 70, SEC. 3901"
970.class_description,duc & Gen Oper Revolv Fund,Educ & Gen Oper Revolv Fund
86.agency_name,DEAPRTMENT OF AGRICULTURE,DEPARTMENT OF AGRICULTURE
777.class_description,BoatingS afety Education Fund,Boating Safety Education Fund
6.agency_name,OKLAHOMA STATE UNIVERSIfTY,OKLAHOMA STATE UNIVERSITY
152.class_description,Aegncy Relationship Fund,Agency Relationship Fund
66.statutory_reference,"TITE 62, SEC. 41.8","TITLE 62, SEC. 41.8"
112.agency_name,INDIGENT DEFENS SYSTEM,INDIGENT DEFENSE SYSTEM
24.agency_name,OSU-EXPERIMElNT STATION,OSU-EXPERIMENT STATION
1020.class_description,Surplus Propeerty Fund,Surplus Property Fund
18.statutory_reference,"TITLE 70, SEC 3901","TITLE 70, SEC. 3901"
493.statutory_reference,"TITLE 59, ESC. 1918","TITLE 59, SEC. 1918"
41.total_amount,$497812.18,$497812.81
40.total_amount,$00.0,$0.00
841.total_amount,$17897.30,$17897.03
751.class_description,Plostal Service Revolving Fund,Postal Service Revolving Fund
943.total_amount,$21.026,$210.26
321.agency_name,CONSTRUCTION INDSUTRIES BOARD,CONSTRUCTION INDUSTRIES BOARD
712.agency_name,ROSE SvTATE COLEGE,ROSE STATE COLEGE
331.statutory_reference,"TITLE 17, SECITON 180.10","TITLE 17, SECTION 180.10"
559.agency_name,OKLAHqOMA INSURANCE DEPARTMENT,OKLAHOMA INSURANCE DEPARTMENT
566.agency_name,OdFFICE OF JUVENILE AFFAIRS,OFFICE OF JUVENILE AFFAIRS
1011.agency_name,DEPARTcMENT OF REHABILITATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
866.class_description,War Vet. Com. Rev. Fund,War Vet. Comm. Rev. Fund
395.total_amount,$0v.00,$0.00
134.total_amount,$11604586.21,$11604856.21
170.total_amount,h$0.00,$0.00
144.class_description,Oil Setlmt-Diamond Shamrock,Oil Settlmt-Diamond Shamrock
968.class_description,Section 13-onst & Purch Bldg,Section 13-Const & Purch Bldg
898.agency_name,SUkPREME COURT,SUPREME COURT
279.statutory_reference,"TITLE 7m0, SEC. 3901","TITLE 70, SEC. 3901"
446.statutory_reference,"TITLE 74, SEC. 1q50.19 A","TITLE 74, SEC. 150.19 A"
469.class_description,Wildife Land Fund,Wildlife Land Fund
399.class_description,Income Tax Checkoffs Revolv Fnd,Income Tax Checkoff Revolv Fnd
857.class_description,Dontaion Fund,Donation Fund
408.agency_name,DPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION
406.class_description,Federal Indigan Educ Fund,Federal Indian Educ Fund
308.agency_name,DEPARTMENT OFCOMMERCE,DEPARTMENT OF COMMERCE
357.statutory_reference,***, 
639.statutory_reference,"TITLE 70, SEC.3901","TITLE 70, SEC. 3901"
535.agency_name,OKLA. SPACE INDUSTRY DEV. AUH.,OKLA. SPACE INDUSTRY DEV. AUTH.
37.agency_name,OSU COLLEGE OF VEETRINARY MEDICINE,OSU COLLEGE OF VETERINARY MEDICINE
1054.statutory_reference,"TITEL 56, SECTION 224","TITLE 56, SECTION 224"
46.agency_name,OSUO-KLAHOMA CITY,OSU-OKLAHOMA CITY
1069.class_description,Juvenile Justice isb Fund,Juvenile Justice Disb Fund
296.statutory_reference,"TTLE 74, SECTION 5013.1","TITLE 74, SECTION 5013.1"
18.class_description,Educational & Ge nOperations,Educational & Gen Operations
196.agency_name,CAPTIOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
828.total_amount,$24818.7,$24818.87
579.total_amount,j$167218.96,$167218.96
458.class_description,Odd Feedral Year: CCA Oper,Odd Federal Year: CCA Oper
897.agency_name,USPREME COURT,SUPREME COURT
806.class_description,Capitail Bond Projects,Capital Bond Projects
148.total_amount,$881449.80,$8811449.80
1063.total_amount,$32998.33***,$32998.33
182.agency_name,CAPITOL IMPROVEMENT AUTHOjRITY,CAPITOL IMPROVEMENT AUTHORITY
692.agency_name,NORTHWESTERN OKLA. TSATE UNIVERSITY,NORTHWESTERN OKLA. STATE UNIVERSITY
561.statutory_reference,"TITE 59, SEC 858-730 (1991)","TITLE 59, SEC 858-730 (1991)"
640.class_description,Agency Relatonship Fund,Agency Relationship Fund
979.agency_name,OUHSC PROF PRAC. PLAN.,OUHSC PROF. PRAC. PLAN.
937.statutory_reference,TITLE 73 SECTION 161,TITLE  73 SECTION 161
493.class_description,Lic. Prof. CounselorsR ev. Fd.,Lic. Prof. Counselors Rev. Fd.
438.agency_name,STTE AUDITOR AND INSPECTOR,STATE AUDITOR AND INSPECTOR
78.statutory_reference,"TITLE 74, SEC. 62.5, (LAPSES UJNE 30)","TITLE 74, SEC. 62.5, (LAPSES JUNE 30)"
586.agency_name,COUNCIL ON LAW ENFCo. ED. & TRNG.,COUNCIL ON LAW ENFC. ED. & TRNG.
442.class_description,Interagency Reimbursment Fund,Interagency Reimbursement Fund
