1383.facilityname,Riverside Community Hosiptal,Riverside Community Hospital
1275.facilityid,2.40000082E8,60001207
1129.county,Los Angeels,Los Angeles
1112.county,Santga Clara,Santa Clara
751.county,Madra,Madera
1114.facilityname,"Kaiser Foundation Hospital,San Rafael","Kaiser Foundation Hospital, San Rafael"
221.facilityid,6.0000074E7,90000021
392.facilityid,9.30000114E8,70000153
1215.county,Sonouma,Sonoma
895.county,Ventra,Ventura
36.facilityid,9.30000012E8,250000006
635.facilityid,6.0000074E7,930001709
1472.county,San Bernacrdino,San Bernardino
218.facilityid,9.30000005E8,90000025
621.facilityid,9.30000002E8,220000002
1445.facilityname,"Kaiser Foundation Hospital, Woodlad Hills","Kaiser Foundation Hospital, Woodland Hills"
1394.county,Ornage,Orange
201.county,Los Ageles,Los Angeles
995.facilityid,9.30000012E8,30001370
1409.county,San Fracnisco,San Francisco
1138.county,Moneo,Mono
1276.county,Los Angehles,Los Angeles
1074.facilityid,2.40000082E8,140000183
1426.county,SanD iego,San Diego
1190.county,Los Aneles,Los Angeles
1181.county,aSnta Clara,Santa Clara
224.facilityname,Clovis Community Medical Center,Shasta Regional Medical Center
1488.facilityname,UCSF Moedical Center,UCSF Medical Center
864.facilityid,9.30000005E8,930000057
977.county,Ornge,Orange
766.county,Los ngeles,Los Angeles
1372.county,San qBernardino,San Bernardino
983.facilityid,4.0000122E7,30000122
786.facilityid,4.0000122E7,250000006
405.facilityname,"Kaiser FoundationH ospital, Baldwin Park","Kaiser Foundation Hospital, Baldwin Park"
386.facilityid,9.3000004E8,60000058
21.facilityid,4.0000122E7,60001207
531.county,Keryn,Kern
569.county,Santa aBrbara,Santa Barbara
871.county,Lo Angeles,Los Angeles
1219.county,Neuvada,Nevada
1198.facilityid,9.30000114E8,230000262
1047.county,Los Angelyes,Los Angeles
944.facilityid,3.0000122E7,90000154
1390.county,San Dkiego,San Diego
257.facilityid,9.30000002E8,110000007
81.facilityid,1.40000425E8,140000187
643.facilityname,"Good Samaritan Hosptal, San Jose","Good Samaritan Hospital, San Jose"
412.facilityname,"Kaiser Foundation Hospital, Oakland/Richmnd","Kaiser Foundation Hospital, Oakland/Richmond"
790.county,os Angeles,Los Angeles
1005.county,Los Angelse,Los Angeles
1024.county,Sacramenot,Sacramento
361.county,San Bernardion,San Bernardino
1230.facilityname,Wasington Hospital,Washington Hospital
1356.county,Lovs Angeles,Los Angeles
770.county,Sank Francisco,San Francisco
687.facilityid,6.0000002E7,120000701
1321.facilityid,9.30000114E8,250000050
207.county,Kenr,Kern
1389.facilityname,Santa Rosa Mmemorial Hospital,Santa Rosa Memorial Hospital
1371.facilityname,LAC/Harbdor UCLA Medical Center,LAC/Harbor UCLA Medical Center
641.facilityid,9.30000114E8,60000058
830.facilityid,6.0000002E7,120001444
889.county,Sonoam,Sonoma
50.facilityid,3.0000122E7,30000125
1167.county,Los Angegles,Los Angeles
306.facilityid,7.0000139E7,930000111
1302.facilityid,1.40000425E8,110000508
419.facilityid,6.0000002E7,30001370
917.county,Ventua,Ventura
658.facilityid,6.0000002E7,930000050
688.facilityid,3.0000117E7,220000017
943.facilityid,1.40000425E8,930000105
338.county,Santa Claa,Santa Clara
1087.facilityid,2.400001E8,250000012
1216.county,oSlano,Solano
823.facilityname,"Kaiser Founation Hospital, San Jose","Kaiser Foundation Hospital, San Jose"
636.county,Los Angelees,Los Angeles
1406.county,Los Angels,Los Angeles
362.county,os Angeles,Los Angeles
486.facilityid,2.40000082E8,30000135
1340.facilityname,aVlley Presbyterian Hospital,Valley Presbyterian Hospital
1435.facilityname,"Kaiser Foundation Hospital, Oakland/Richmnod","Kaiser Foundation Hospital, Oakland/Richmond"
1281.county,Llos Angeles,Los Angeles
652.facilityname,"Kaiser Foundation Hospital, Downy","Kaiser Foundation Hospital, Downey"
931.facilityid,9.3000007E8,30001370
894.facilityid,9.30000114E8,120001464
391.facilityid,4.0000122E7,930000068
1440.facilityname,"Kaiser Foundation Hospita,l San Francisco","Kaiser Foundation Hospital, San Francisco"
657.facilityid,9.30000012E8,630013929
396.facilityname,Henry Mayo bNewhall Hospital,Henry Mayo Newhall Hospital
1132.facilityid,9.30000008E8,630015551
1102.county,Alamda,Alameda
1201.facilityid,4.0000122E7,30001799
1219.facilityname,Tahoe Frest Hospital,Tahoe Forest Hospital
1233.facilityid,9.30000114E8,220000019
263.facilityid,6.0000002E7,120001467
752.county,Los Angeels,Los Angeles
806.facilityid,6.0000074E7,930000026
818.facilityid,9.30000114E8,630011745
502.county,Thama,Tehama
285.county,Los Angelses,Los Angeles
1067.county,Contra oCsta,Contra Costa
1218.facilityid,1.10000944E8,30000141
1469.facilityname,Ronqald Reagan UCLA Medical Center,Ronald Reagan UCLA Medical Center
810.facilityid,2.40000082E8,630011203
741.facilityname,"Sutter Medical Center, Saramento","Sutter Medical Center, Sacramento"
38.facilityid,4.0000122E7,120000336
1157.facilityid,9.30000012E8,70000146
1307.facilityid,9.3000007E8,60000027
863.facilityid,3.0000117E7,230000014
601.facilityid,9.3000007E8,70001357
1449.facilityname,ALC+USC Medical Center,LAC+USC Medical Center
1434.facilityname,"KaiserF oundation Hospital, Manteca","Kaiser Foundation Hospital, Manteca"
717.facilityid,9.30000008E8,630013913
1330.facilityid,2.40000082E8,90000025
176.facilityid,6.0000074E7,110000040
841.facilityname,Bakersfield Memorial Hospital,Los Alamitos Medical Center
1128.facilityid,9.30000005E8,60000027
884.county,San hJoaquin,San Joaquin
398.facilityname,Antelope Valley Hospital,Hoag Memorial Hospital Presbyterian
768.facilityname,California Pacfiic Medical Center - California West Campus Hospital,California Pacific Medical Center - California West Campus Hospital
1208.facilityname,"St. Mary Medical Center, Longz Beach","St. Mary Medical Center, Long Beach"
1032.county,San Dieo,San Diego
940.facilityname,UCSF Medical Cener,UCSF Medical Center
335.county,xAlameda,Alameda
146.facilityid,9.30000008E8,30000124
342.facilityid,9.30000004E8,930000162
908.county,Solfano,Solano
1040.facilityid,4.0000122E7,70001349
638.facilityid,2.40000082E8,30000125
1107.county,Riversie,Riverside
1282.county,Altameda,Alameda
1493.facilityname,Whiteu Memorial Medical Center,White Memorial Medical Center
1186.county,Kren,Kern
89.facilityid,9.30000082E8,930000072
754.facilityname,Ventura County Medical Cetner,Ventura County Medical Center
971.county,an Francisco,San Francisco
227.facilityid,1.40000012E8,50000031
1420.facilityname,Earl &o Loraine Miller Children's Hospital,Earl & Loraine Miller Children's Hospital
1178.facilityid,1.40000425E8,60000063
1399.facilityname,University of Califronia Davis Medical Center,University of California Davis Medical Center
222.facilityid,9.30000012E8,90000033
611.county,Venjtura,Ventura
1292.county,oLs Angeles,Los Angeles
638.facilityname,Alta Bates Summit Medical Center - Alta Bates Campus,Emanuel Medical Center
1274.county,Alamda,Alameda
617.facilityname,Arroowhead Regional Medical Center,Arrowhead Regional Medical Center
750.facilityname,University of California Irvine yMedical Center,University of California Irvine Medical Center
507.county,Ornge,Orange
929.county,Los Angelees,Los Angeles
1244.county,Los Angeels,Los Angeles
1423.county,Orwange,Orange
899.county,Oraneg,Orange
618.facilityid,9.30000114E8,120000338
802.county,Satna Clara,Santa Clara
397.facilityid,6.0000074E7,240000014
860.facilityid,9.30000005E8,930000111
1135.county,entura,Ventura
852.facilityid,6.0000002E7,30000127
564.facilityid,9.30000034E8,120001444
1308.county,os Angeles,Los Angeles
1279.county,Los Anegles,Los Angeles
1319.facilityid,1.40000012E8,80000023
119.facilityid,9.30000082E8,60000038
325.county,Los Angeleks,Los Angeles
1298.facilityid,9.30000004E8,80000144
609.facilityid,9.30000004E8,40000129
1157.county,Sata Clara,Santa Clara
207.facilityid,9.30000114E8,120000411
909.county,Riveride,Riverside
860.county,Ls Angeles,Los Angeles
1120.county,Soplano,Solano
695.county,Santa Clarua,Santa Clara
100.county,Sabcramento,Sacramento
1428.county,LosA ngeles,Los Angeles
1344.facilityname,AHMC Anaheim Regioal Medical Center,AHMC Anaheim Regional Medical Center
1004.facilityid,6.0000074E7,630015551
1363.county,Alamweda,Alameda
895.facilityid,6.0000074E7,50000455
571.facilityid,9.30000005E8,70001349
160.facilityid,6.3001296E8,110000010
35.county,Contra Cosat,Contra Costa
73.county,Alamedda,Alameda
54.facilityid,9.3000007E8,930000056
725.facilityid,1.40000012E8,90000025
708.county,Riversied,Riverside
477.facilityid,1.40000425E8,250000050
509.county,Los Ageles,Los Angeles
132.facilityid,9.3000007E8,40000111
1449.county,LosA ngeles,Los Angeles
1182.facilityname,Salinas Valley Memorial Heospital,Salinas Valley Memorial Hospital
1364.facilityname,"Kaiser Foundvation Hospital, Orange County, Anaheim","Kaiser Foundation Hospital, Orange County, Anaheim"
1392.county,San Luis Obsipo,San Luis Obispo
283.facilityid,9.30000008E8,30000146
1263.facilityid,9.30000002E8,70001357
1262.county,Los Anjgeles,Los Angeles
1329.facilityid,9.30000004E8,930000049
1021.facilityid,6.0000002E7,930000049
1427.facilityname,iHghland Hospital,Highland Hospital
854.county,SanM ateo,San Mateo
743.facilityid,4.0000122E7,110000007
1345.county,San Bernardio,San Bernardino
318.facilityid,3.0000122E7,30000134
1355.facilityname,Fountain Valley Regional Hospital  &Medical Center,Fountain Valley Regional Hospital & Medical Center
648.county,Los Anugeles,Los Angeles
898.county,Venura,Ventura
1172.facilityid,9.3000007E8,70000133
1307.county,Los Azngeles,Los Angeles
545.facilityid,2.40000082E8,250000011
1112.facilityname,"Kaiser Foundation Hospital ,San Jose","Kaiser Foundation Hospital, San Jose"
1363.facilityname,"Kaiser Fuondation Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
1097.facilityid,1.40000012E8,140001086
1008.facilityid,9.30000034E8,30000123
327.county,Los Angexles,Los Angeles
49.facilityid,4.0000122E7,90000040
441.facilityid,6.3001296E8,40000110
1192.county,qSan Diego,San Diego
424.facilityname,"Kaiser Foundation Hospitqal, South Sacramento","Kaiser Foundation Hospital, South Sacramento"
934.facilityid,6.3001296E8,70001349
255.facilityid,9.30000082E8,30000151
250.facilityid,4.0000122E7,110000049
473.facilityid,6.3001296E8,70000133
850.facilityid,1.40000012E8,40000113
313.county,San Jsoaquin,San Joaquin
921.county,Snata Cruz,Santa Cruz
855.county,Savn Bernardino,San Bernardino
1139.county,Sata Barbara,Santa Barbara
999.county,Santa jClara,Santa Clara
975.facilityid,4.0000122E7,930000004
963.facilityid,9.30000002E8,40000113
1136.county,Santa Clwara,Santa Clara
553.county,qLos Angeles,Los Angeles
757.county,Los Agneles,Los Angeles
771.facilityname,Cedars-SinaiMedical Center,Cedars-Sinai Medical Center
665.facilityid,9.30000114E8,110000508
689.facilityid,9.30000008E8,70000145
269.county,Oragne,Orange
24.facilityid,9.30000008E8,240000003
748.facilityid,9.3000007E8,110000070
373.facilityid,3.0000117E7,120000336
1182.county,Montery,Monterey
264.facilityid,4.0000122E7,50000037
1435.county,Alamedha,Alameda
1351.county,Freson,Fresno
435.county,Sagnta Clara,Santa Clara
637.facilityname,den Medical Center,Eden Medical Center
767.county,Lso Angeles,Los Angeles
449.facilityid,9.30000034E8,120000701
379.county,Los Aengeles,Los Angeles
1105.facilityid,4.0000122E7,630011745
637.county,Alaemda,Alameda
1309.county,Los Angeels,Los Angeles
529.facilityid,3.0000117E7,930000008
1214.facilityname,SutterRoseville Hospital,Sutter Roseville Hospital
1290.county,Los Angezles,Los Angeles
944.county,an Diego,San Diego
1154.county,Montierey,Monterey
686.county,Sacruamento,Sacramento
1081.facilityid,9.30000002E8,70000141
720.facilityid,2.400001E8,930000049
368.county,San Berardino,San Bernardino
1313.county,Sacrametno,Sacramento
992.county,Alalmeda,Alameda
437.county,Santa Bagrbara,Santa Barbara
439.county,El Doado,El Dorado
959.facilityid,1.40000012E8,630015029
180.facilityid,3.0000117E7,230000015
771.county,Los nAgeles,Los Angeles
1102.facilityid,6.0000002E7,140000188
729.facilityid,3.0000117E7,30001799
551.facilityid,9.30000005E8,110000011
813.facilityname,"Kaiserj Foundation Hospital, Fontana","Kaiser Foundation Hospital, Fontana"
1268.facilityid,6.0000074E7,60000071
672.facilityid,9.30000012E8,60000027
1210.county,Pacer,Placer
1233.county,San Francisaco,San Francisco
950.facilityid,9.30000002E8,930000162
1035.facilityid,9.30000005E8,60000071
972.county,hOrange,Orange
153.facilityid,2.400001E8,120000701
1447.facilityname,La Palma Intrcommunity Hospital,La Palma Intercommunity Hospital
727.facilityid,9.30000002E8,50000031
413.facilityid,6.0000002E7,630013398
1080.facilityname,Garfiled Medical Center,Garfield Medical Center
1144.facilityid,6.3001296E8,120000404
1485.county,Sacaramento,Sacramento
1391.county,uSacramento,Sacramento
902.county,San Bernardnio,San Bernardino
1462.facilityname,Providence Holy Cross MedicalC enter,Providence Holy Cross Medical Center
838.county,Riversidje,Riverside
254.facilityid,9.30000053E8,70000959
989.county,ContraCosta,Contra Costa
684.county,Stanisaus,Stanislaus
917.facilityname,Ventura Coiunty Medical Center,Ventura County Medical Center
659.facilityname,"Kaiser Foundation Hospital, sRiverside","Kaiser Foundation Hospital, Riverside"
244.facilityid,9.3000007E8,30000143
1234.facilityid,9.30000012E8,930000004
1423.facilityname,Fountain Valley Reginoal Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center
679.county,aVentura,Ventura
53.facilityid,2.40000024E8,230000005
1098.county,tFresno,Fresno
1322.county,Los Angeels,Los Angeles
1169.county,Lo Angeles,Los Angeles
1346.county,Los Angees,Los Angeles
1328.county,Santa Calra,Santa Clara
616.county,Los tAngeles,Los Angeles
826.facilityid,9.30000082E8,110000508
1231.facilityname,White Memroial Medical Center,White Memorial Medical Center
104.facilityid,9.3000004E8,630015029
1060.facilityid,9.30000034E8,930000070
780.facilityname,Goleta Valley Cottage Hospital,Coast Plaza Hospital
600.facilityid,3.0000122E7,930000103
1021.county,Los sAngeles,Los Angeles
464.facilityid,3.0000122E7,250000044
431.facilityname,Loma Linda Universty Children's Hospital,Loma Linda University Children's Hospital
249.facilityid,6.0000074E7,30000109
1396.facilityname,"Stuter Medical Center, Sacramento","Sutter Medical Center, Sacramento"
91.facilityid,6.3001296E8,630011959
404.facilityid,2.40000082E8,630011203
647.facilityname,Corona Regional Medical Center,Huntington Beach Hospital
1333.facilityname,St. Jude Medical Cetner,St. Jude Medical Center
1038.county,San Frnacisco,San Francisco
168.facilityid,9.3000004E8,60000073
1273.county,Los Angelaes,Los Angeles
805.county,Rverside,Riverside
1158.facilityid,2.400001E8,60000073
735.facilityid,9.30000005E8,60000067
1179.county,resno,Fresno
1251.facilityid,4.0000122E7,120000342
812.county,Los Angyeles,Los Angeles
144.facilityname,Arrowhead Regional Medical Center,Mendocino Coast District Hospital
377.county,SantaCruz,Santa Cruz
1353.facilityname,Earl & Loraine Miller Childpren's Hospital,Earl & Loraine Miller Children's Hospital
534.county,Los ngeles,Los Angeles
1120.facilityid,9.30000082E8,630012364
880.facilityid,9.3000004E8,930000128
1030.facilityname,"SutterM edical Center, Sacramento","Sutter Medical Center, Sacramento"
375.facilityid,9.3000004E8,240001330
1059.county,San Bernardion,San Bernardino
798.county,range,Orange
1156.county,Los Angees,Los Angeles
19.facilityid,4.0000122E7,60000006
1253.facilityid,1.40000012E8,70001349
1408.county,Los Agneles,Los Angeles
991.facilityid,9.30000114E8,930000072
654.county,Los Aneles,Los Angeles
864.county,Lso Angeles,Los Angeles
803.facilityid,2.30000019E8,930000062
63.facilityid,4.0000122E7,930000060
1215.facilityname,Sutter Santa Rosa eRgional Hospital,Sutter Santa Rosa Regional Hospital
434.county,Ventua,Ventura
1398.county,San Franicsco,San Francisco
1377.facilityname,Missiorn Hospital Regional Medical Center,Mission Hospital Regional Medical Center
1379.county,San iego,San Diego
1286.facilityid,1.40000012E8,930000026
399.facilityname,Hollywood Presbyterian Medical enter,Hollywood Presbyterian Medical Center
765.facilityid,1.10000953E8,30000114
1439.facilityname,"Kaiser Fuondation Hospital, San Diego","Kaiser Foundation Hospital, San Diego"
1245.facilityid,9.30000008E8,140000188
170.facilityid,1.40000425E8,930000057
575.facilityid,6.0000002E7,240000037
1422.facilityname,Enloe Medical Center - Esplaade,Enloe Medical Center - Esplanade
953.county,Los zAngeles,Los Angeles
984.facilityname,Earl & Loraine Miller Children's Hospitall,Earl & Loraine Miller Children's Hospital
216.facilityid,1.40000425E8,80000150
1034.facilityid,9.30000002E8,30000113
1266.county,San Forancisco,San Francisco
586.facilityname,Rideout Memorial Hspital,Rideout Memorial Hospital
938.facilityid,6.0000002E7,930000049
1103.county,San Bernadrino,San Bernardino
388.facilityname,Alta Bates Summit Medical Center - Alta Bates Campus,George L. Mee Memorial Hospital
1369.facilityname,Kekc Hospital of USC,Keck Hospital of USC
1461.facilityname,Presbyterian Inktercommunity Hospital,Presbyterian Intercommunity Hospital
1231.county,Los Angelse,Los Angeles
1214.county,Placr,Placer
678.facilityid,9.30000034E8,930000085
1257.facilityid,9.30000034E8,250000050
364.facilityid,6.3001296E8,220000018
935.facilityname,Bakersfield Memorial Hospital,Mammoth Hospital
907.county,Plzacer,Placer
725.county,Sa Diego,San Diego
708.facilityid,9.30000005E8,250000049
1392.facilityname,Sierra Vista Regional Medical Ceter,Sierra Vista Regional Medical Center
489.facilityid,9.30000114E8,930000049
750.county,Orage,Orange
1259.county,Sanfta Barbara,Santa Barbara
1453.facilityname,Lucile Packard Children's Hsopital Stanford,Lucile Packard Children's Hospital Stanford
774.county,Los nAgeles,Los Angeles
436.facilityid,9.30000082E8,40000111
423.facilityname,"Kaiser Foundation Hospital ,South Bay","Kaiser Foundation Hospital, South Bay"
490.facilityid,9.3000007E8,140001268
1211.facilityid,6.0000074E7,110000049
965.county,Sna Diego,San Diego
494.facilityid,2.40000082E8,80001470
372.facilityid,1.40000012E8,30000117
889.facilityid,6.3001296E8,140001268
1106.facilityname,"Kaiesr Foundation Hospital, Panorama City","Kaiser Foundation Hospital, Panorama City"
1379.facilityname,Palomar Medica lCenter,Palomar Medical Center
769.facilityid,8.0000045E7,220000022
1053.facilityname,Cedars-Sinai Medical enter,Cedars-Sinai Medical Center
1245.county,yAlameda,Alameda
143.facilityid,9.30000002E8,30000123
683.facilityname,Delano Regional Medical Center,Memorial Hospital of Gardena
1045.facilityid,9.30000008E8,60000002
523.county,entura,Ventura
1037.facilityid,9.30000004E8,930000191
11.facilityid,4.0000122E7,230000008
1466.facilityname,Rideout oMemorial Hospital,Rideout Memorial Hospital
800.facilityid,9.3000007E8,930000058
918.county,Ventuhra,Ventura
549.facilityid,1.40000425E8,930000026
1304.facilityid,9.3000004E8,630012364
448.facilityid,2.400001E8,30000127
1380.facilityname,Proovidence Tarzana Medical Center,Providence Tarzana Medical Center
814.county,Freson,Fresno
1471.facilityname,Saint Francis Medicla Center,Saint Francis Medical Center
1174.facilityname,Ridgecrest Regional Hosfpital,Ridgecrest Regional Hospital
126.facilityid,9.30000005E8,930000095
1437.county,Lo Angeles,Los Angeles
1485.facilityname,"Sutter Medicl Center, Sacramento","Sutter Medical Center, Sacramento"
1430.county,Conwtra Costa,Contra Costa
796.facilityid,6.3001296E8,230000019
189.facilityid,3.0000117E7,930000091
483.facilityid,9.30000034E8,930000041
1417.county,Venura,Ventura
913.facilityid,1.40000012E8,30000113
1424.facilityname,Glendale Adventist MedicalC enter,Glendale Adventist Medical Center
157.county,dSan Bernardino,San Bernardino
520.facilityid,9.30000008E8,30000113
1012.facilityid,9.30000004E8,930000111
369.facilityid,4.0000122E7,50000014
1196.facilityid,9.30000008E8,230000016
919.facilityname,Victor ValleyG lobal Medical Center,Victor Valley Global Medical Center
603.county,Placre,Placer
994.facilityid,9.30000082E8,220000010
715.county,eKrn,Kern
1232.county,Yool,Yolo
1134.facilityname,Long Beach Memorial Medical Centre,Long Beach Memorial Medical Center
1070.facilityid,2.40000082E8,30000118
794.county,Impqerial,Imperial
1361.facilityname,"Kaiser FoundationHospital, Downey","Kaiser Foundation Hospital, Downey"
753.facilityid,1.40000425E8,140000797
945.county,os Angeles,Los Angeles
1042.county,San Dieigo,San Diego
271.county,adera,Madera
458.facilityid,9.30000005E8,60000073
1044.facilityname,Adventist Mgedical Center,Adventist Medical Center
1213.county,Sacramenot,Sacramento
853.facilityid,9.30000114E8,120000701
219.facilityid,9.30000082E8,90000016
1046.county,Los Ageles,Los Angeles
689.county,Mnterey,Monterey
1203.facilityname,St. Bernardine Medical Cneter,St. Bernardine Medical Center
1200.facilityid,4.0000122E7,110000056
343.facilityid,4.0000122E7,80000036
1370.facilityname,Kern Medical Ctenter,Kern Medical Center
781.county,Los Angeels,Los Angeles
504.county,Lae,Lake
1239.facilityid,6.0000002E7,60000011
1371.county,Los Agneles,Los Angeles
635.county,os Angeles,Los Angeles
1018.county,San Joaqufin,San Joaquin
820.facilityid,9.30000012E8,30001370
404.facilityname,Adventist Medical Center - Selma,"Kaiser Foundation Hospital, Antioch"
529.county,Los Aneles,Los Angeles
1410.county,Lo Angeles,Los Angeles
807.county,Riversidge,Riverside
924.county,Los Angelse,Los Angeles
