datevalue,area,areatype,unvaccinatedcases,vaccinatedcases,unvaccinatedhosp,vaccinatedhosp,unvaccinateddeaths,vaccinateddeaths,populationunvaccinated,populationvaccinated,unvaccinatedcasesperonezerozerok,vaccinatedcasesperonezerozerok,unvaccinatedhospperonezerozerok,vaccinatedhospperonezerozerok,unvaccinateddeathsperonezerozerok,vaccinateddeathsperonezerozerok
2021-03-06,California,State,1834,19,134,2,81,0,26365689,2371782,9.27070677,1.13838456,0.63881726,0.08432478,0.38578277,0.02409279
2021-03-15,California,State,2407,45,157,6,40,0,25198086,3448213,8.06864004,1.06887663,0.53065255,0.11185918,0.2454835,0.00414293
2021-03-19,California,State,1765,30,143,3,48,0,24358881,4041013,7.70560848,0.90500646,0.54834797,0.08484436,0.2340009,0.00353518
2021-03-23,California,State,2020,50,122,3,30,0,23734738,4422872,7.68132708,0.84625039,0.52545044,0.0613693,0.2160787,0.00645993
2021-03-28,California,State,1332,25,113,1,26,0,22757655,5209961,7.9791048,1.03373409,0.51725139,0.06032401,0.16885998,0.005484
2021-04-04,California,State,1287,33,106,3,30,0,21228176,6205920,8.39584953,0.90696809,0.50202819,0.07136043,0.14266753,0.0046039
2021-04-07,California,State,2053,65,135,3,31,0,20553755,6627988,8.93267435,0.82765906,0.54352251,0.06035014,0.13136286,0.00215536
2021-04-11,California,State,1253,44,105,5,23,0,19768411,7282442,9.26008382,0.79643614,0.60775172,0.06277329,0.14019481,0.00196167
2021-04-20,California,State,1647,87,116,5,20,0,17638870,8974265,8.82709607,0.73543627,0.67383649,0.07481711,0.13768294,0.00955112
2021-04-26,California,State,1623,100,123,10,20,0,16135984,10319121,8.50007925,0.73234366,0.62238889,0.07060402,0.12748791,0.00415318
2021-05-05,California,State,1246,94,82,10,17,0,14244187,12074242,8.16373123,0.73592316,0.59673465,0.07690515,0.1173411,0.00709894
2021-05-07,California,State,1065,86,103,12,19,0,13827678,12592619,8.19577744,0.67953639,0.63950413,0.07487379,0.1260412,0.01134451
2021-05-08,California,State,782,59,77,6,13,3,13657431,12760671,8.10861553,0.64707748,0.64119986,0.0694097,0.12238236,0.01455365
2021-05-31,California,State,445,50,66,4,13,0,11485835,17063415,5.14173701,0.37255982,0.51243243,0.03516295,0.10945159,0.0066977
2021-06-05,California,State,468,62,54,7,8,0,11095837,17885020,5.58253128,0.43611917,0.59353019,0.04712643,0.09913628,0.00399377
2021-06-28,California,State,1301,331,109,11,9,1,10115038,19575087,9.12785216,1.03995159,0.86010552,0.05546408,0.08615178,0.00510853
2021-07-05,California,State,1848,573,164,23,12,1,9860827,19917988,13.71371503,1.82749382,1.35166872,0.08463276,0.10720631,0.00430336
2021-08-14,California,State,5465,2064,558,99,72,6,8616402,21121350,90.04587165,13.60370296,7.51390861,0.53297459,0.81737797,0.03922909
2021-08-23,California,State,8452,3024,650,112,85,20,8257956,21328484,86.15068565,12.26930682,7.50099142,0.52645896,1.03969,0.06965869
2021-05-17,California,State,952,111,71,7,15,0,12573418,14379109,6.80460499,0.5354991,0.50787417,0.04669473,0.14656771,0.00695453
2021-05-26,California,State,698,74,54,8,15,1,11819464,16236055,5.73509207,0.44961661,0.55840096,0.04135417,0.12570065,0.00703901
2021-07-21,California,State,5367,2049,388,79,17,2,9388413,20464141,44.29320026,7.21052219,3.43280291,0.28761111,0.18107427,0.00977319
2021-08-24,California,State,7569,2971,614,144,98,23,8211051,21359347,84.59505193,12.12851417,7.36289945,0.53038005,1.04736897,0.07624631
2021-10-17,California,State,1798,1055,181,54,53,11,6585322,23085295,37.69855792,5.70678682,3.09129043,0.29517863,0.73757105,0.04331762
2021-02-22,California,State,3931,42,237,1,153,0,27800552,1093680,12.85020733,2.08992967,0.84839014,0.05224824,0.63462255,0.02612412
2021-02-25,California,State,2876,24,200,2,133,0,27378320,1427921,11.39796536,1.56071059,0.77068279,0.07003189,0.55779276,0.02000911
2021-03-01,California,State,3178,19,217,0,109,0,26995167,1750344,10.33094977,1.14263253,0.72182233,0.05713163,0.48103849,0.01632332
2021-03-02,California,State,2713,34,168,3,113,0,26857402,1874813,10.00415879,1.15059094,0.69467415,0.06095846,0.46967632,0.01523962
2021-03-08,California,State,2783,42,175,2,78,0,26231661,2509623,8.99022641,1.27509192,0.61485132,0.09677037,0.34309684,0.01707712
2021-03-11,California,State,2127,42,143,6,66,0,25795014,2976502,8.59634568,1.13268144,0.60476804,0.10078945,0.2985073,0.0047995
2021-03-13,California,State,1578,24,132,5,64,0,25433189,3270762,8.37151353,1.10939635,0.5684361,0.10045715,0.27972449,0.0043677
2021-04-05,California,State,2351,63,116,3,31,1,21034447,6307268,8.55263749,0.89918941,0.5052936,0.07247874,0.14330235,0.00452992
2021-04-10,California,State,1474,43,126,3,30,0,19862662,7196786,9.24059711,0.78408016,0.60558708,0.05955039,0.14456414,0.00198501
2021-04-12,California,State,2132,109,140,11,29,0,19582033,7430855,9.18845206,0.86896365,0.63104494,0.07689944,0.14007009,0.0
2021-04-17,California,State,1203,45,90,8,24,1,18229177,8455941,9.09139076,0.7788269,0.63242413,0.09122918,0.1394938,0.00337886
2021-04-18,California,State,1145,46,112,7,23,2,18151681,8533833,9.04520712,0.77506622,0.64063331,0.09374451,0.14008935,0.00669604
2021-04-25,California,State,938,51,90,6,18,2,16336328,10128058,8.55674019,0.73487505,0.63836692,0.06911493,0.13117129,0.00705254
2021-05-14,California,State,860,77,65,7,14,2,12807793,13953979,7.2288578,0.54055242,0.54542686,0.05630754,0.14388561,0.01126151
2021-05-16,California,State,601,54,69,4,11,1,12659437,14199305,7.06531081,0.52920095,0.51457942,0.05231644,0.13880103,0.00804868
2021-05-21,California,State,705,76,64,8,14,1,12145071,15409707,6.28238402,0.51822622,0.53754905,0.04449885,0.12703566,0.00370824
2021-06-01,California,State,881,122,78,12,11,1,11404559,17241705,5.30990658,0.39770677,0.52360013,0.03894212,0.10772634,0.00579989
2021-06-02,California,State,774,85,82,9,14,1,11322710,17410945,5.44417875,0.40286646,0.56271233,0.03938409,0.10724338,0.00574351
2021-06-14,California,State,845,117,90,11,11,1,10672182,18602636,5.97682032,0.50607267,0.61709164,0.04607642,0.07362265,0.0038397
2021-06-25,California,State,904,189,84,8,9,1,10194684,19434501,7.93690964,0.8585615,0.79172916,0.05218995,0.06726195,0.00294028
2021-06-29,California,State,1267,329,95,12,9,1,10069306,19645908,9.66444815,1.14527667,0.87819927,0.0559913,0.08512432,0.00581728
2021-07-03,California,State,1151,289,139,19,9,1,9909545,19871100,12.49444709,1.58162213,1.2138369,0.07548651,0.10956248,0.0035946
2021-10-01,California,State,2899,1353,257,64,71,13,6936478,22662097,42.2013263,6.09513636,3.62061059,0.27043267,1.11831146,0.05925564
2021-03-09,California,State,2372,34,133,1,71,0,26118549,2644425,8.8426483,1.21009293,0.59837058,0.08103301,0.32161052,0.0162066
2021-03-10,California,State,2341,46,160,4,73,1,25975222,2808352,8.72644817,1.16489264,0.61102186,0.08647675,0.31018572,0.01017373
2021-03-12,California,State,2055,40,123,3,69,0,25584793,3149118,8.46484975,1.12956798,0.56618454,0.09072835,0.28755921,0.00453642
2021-03-17,California,State,2134,44,140,1,71,0,24804409,3736451,7.91967497,1.02083119,0.53504313,0.10323012,0.24304435,0.00382334
2021-03-24,California,State,2107,81,107,3,44,0,23526865,4581151,7.73280126,0.93239201,0.51005521,0.06548573,0.20159325,0.00623674
2021-03-26,California,State,1822,74,121,5,40,2,23043951,4989563,7.93452725,1.03358608,0.49284703,0.06871486,0.18907968,0.01145248
2021-03-30,California,State,1986,59,108,7,33,0,22333856,5514791,8.0991708,1.02581274,0.49444472,0.06217047,0.16694705,0.00777131
2021-04-06,California,State,2075,62,116,5,17,0,20798275,6455325,8.71088725,0.88520496,0.51652635,0.06639037,0.13393968,0.00442602
2021-04-13,California,State,1916,71,108,11,25,0,19333799,7617880,9.18894123,0.86450749,0.63323598,0.08626322,0.14777969,0.0
2021-04-15,California,State,1632,65,108,3,25,0,18748798,8052729,9.21049522,0.82669401,0.64537471,0.08337901,0.147819,0.0
2021-04-16,California,State,1571,61,127,8,23,1,18440799,8283222,9.19699846,0.79161742,0.65305506,0.08450818,0.14254108,0.00172466
2021-04-22,California,State,1402,81,96,11,17,0,17003094,9507918,8.67237121,0.73622848,0.65870365,0.07963288,0.13442932,0.01051755
2021-04-23,California,State,1380,69,89,2,20,0,16686932,9788639,8.67316841,0.72679008,0.63865202,0.06859264,0.134408,0.00875651
2021-04-30,California,State,1209,90,97,8,14,0,15106100,11203316,8.33721855,0.73192615,0.63455917,0.07268256,0.12293993,0.00637566
2021-05-04,California,State,1193,93,71,14,13,3,14459639,11836257,8.17151402,0.73261577,0.60957855,0.07241672,0.1116408,0.00844862
2021-05-09,California,State,690,51,69,5,20,1,13574715,12833644,7.98438231,0.63671928,0.65668308,0.06790188,0.12733759,0.01447089
2021-05-11,California,State,1085,86,64,8,26,0,13275310,13243602,7.7867431,0.6008292,0.6252208,0.0625639,0.13451394,0.01078688
2021-05-12,California,State,972,85,80,9,25,1,13115029,13463597,7.58344818,0.5814621,0.63068321,0.06048055,0.14487196,0.01167168
2021-05-18,California,State,894,104,69,8,13,1,12465099,14617799,6.64483864,0.54434617,0.51801778,0.04593226,0.13294261,0.00781826
2021-05-19,California,State,831,80,65,12,22,0,12356820,14869249,6.54005527,0.53033709,0.50521551,0.04803778,0.13063925,0.00672529
2021-05-29,California,State,455,43,55,4,13,3,11584222,16826510,5.64314363,0.42025521,0.53151112,0.03480902,0.12948647,0.005943
2021-06-06,California,State,448,57,54,9,9,2,11066432,17938509,5.58961939,0.44198609,0.59252547,0.04698591,0.10198151,0.00398186
2021-06-08,California,State,774,100,76,10,8,2,10939835,18167351,5.8789082,0.46315424,0.5889355,0.04796674,0.09663243,0.00550438
2021-06-09,California,State,644,92,57,9,6,0,10876621,18283738,5.74232961,0.46567533,0.55952251,0.0476614,0.08668659,0.00468801
2021-06-11,California,State,596,95,58,7,6,0,10742345,18501963,5.67713235,0.47794156,0.55720741,0.04478289,0.07580149,0.00463271
2021-06-12,California,State,484,74,55,5,7,1,10698701,18561407,5.7216559,0.48564668,0.56081575,0.04310018,0.07477543,0.00538752
2021-06-13,California,State,507,74,65,10,8,0,10679005,18588777,5.81113529,0.49799634,0.57656522,0.04380523,0.07357561,0.00384256
2021-06-27,California,State,805,194,95,15,9,0,10153198,19515813,8.65455678,0.95087726,0.85124481,0.05636455,0.08442097,0.00439204
2021-07-06,California,State,2460,663,221,28,10,2,9820946,19968787,15.50476182,2.06178916,1.54043933,0.0958639,0.10909627,0.00500782
2021-07-10,California,State,2100,592,208,30,10,4,9674771,20143661,21.73251882,2.98853322,1.97863672,0.1340372,0.11517438,0.00780111
2021-07-11,California,State,2014,655,208,32,12,3,9661533,20158779,23.17733339,3.23786617,2.09520137,0.14527524,0.12716113,0.00921258
2021-07-17,California,State,2886,1033,261,51,17,4,9471911,20362502,34.50050516,5.2849245,2.79774588,0.22169602,0.16590407,0.0070157
2021-07-28,California,State,7166,2734,552,99,29,3,9206297,20673090,61.55879736,9.77737588,5.21692614,0.39526885,0.26224287,0.023495
2021-07-29,California,State,7174,2510,548,95,28,5,9176514,20704291,64.912605,10.25253309,5.43779479,0.40916294,0.2677643,0.02276961
2021-08-03,California,State,8512,3342,693,120,44,8,9035988,20838088,76.38503789,12.22829492,6.29229951,0.46343709,0.38575907,0.02810787
2021-08-15,California,State,4810,1807,541,85,62,6,8598952,21129843,89.79831828,13.41704243,7.56072202,0.5212668,0.82568201,0.03650896
2021-08-26,California,State,6652,2478,570,102,107,18,8121012,21419958,82.15373017,11.69003226,7.29500919,0.51554056,1.14869568,0.07936523
2021-09-13,California,State,5602,2133,407,96,109,20,7432352,22025549,66.85059357,9.09657883,5.47798136,0.40796778,1.40120997,0.08691205
2021-09-27,California,State,3903,1754,295,71,80,13,7049626,22497675,45.54648917,6.52511871,3.81377881,0.29844354,1.22600222,0.06286364
2021-10-02,California,State,1933,940,208,64,89,17,6918392,22687751,41.90073565,5.96420005,3.57019377,0.26634888,1.10884561,0.06170731
2021-10-03,California,State,1752,909,184,36,62,15,6907682,22702867,41.56449091,5.90611372,3.46612035,0.26050832,1.07540727,0.06732944
2021-10-10,California,State,1655,908,179,42,58,6,6750868,22905723,38.36966912,5.89060522,3.28846602,0.28501923,0.98400045,0.04802293
2021-10-16,California,State,1824,1023,174,49,55,9,6595088,23074101,37.33297959,5.61854423,3.08238062,0.28789235,0.74730943,0.04024302
2021-10-25,California,State,3534,1942,271,90,37,7,6407679,23265945,43.23829937,6.5626268,3.38210272,0.30762313,0.70897077,0.04482333
2021-10-31,California,State,1677,990,141,48,32,8,6292322,23384660,43.51788917,6.37108747,3.20572097,0.26207657,0.60391061,0.04031947
2021-11-04,California,State,2877,1505,134,51,34,7,6211719,23472806,42.83608358,6.24491653,2.75976057,0.21240385,0.59104872,0.03712503
2021-11-06,California,State,1698,1021,103,28,31,8,6171053,23513552,42.5419408,6.20250216,2.4816325,0.18955634,0.56021928,0.03402293
2021-11-08,California,State,2989,1683,93,40,34,8,6137520,23544724,41.29634492,6.03896288,2.16001624,0.17838391,0.55164208,0.03640488
2021-03-27,California,State,1369,38,100,2,41,0,22853693,5128653,7.94057348,1.05290804,0.5082017,0.06963678,0.1769017,0.00835641
2021-04-28,California,State,1377,79,104,5,13,1,15646892,10744330,8.38322579,0.70734983,0.61262737,0.07179867,0.12051686,0.00531842
2021-05-10,California,State,1224,98,80,12,9,1,13436570,13012040,7.80811515,0.61920674,0.62515955,0.07026459,0.11907801,0.0142725
2021-05-13,California,State,868,72,54,8,22,3,12967102,13706755,7.36589299,0.55968233,0.58059013,0.06253434,0.14762633,0.00938015
2021-05-15,California,State,651,54,44,4,16,0,12705831,14120195,7.13957912,0.52913069,0.51270048,0.05362127,0.1484133,0.00809378
2021-06-16,California,State,794,121,75,19,8,0,10564324,18800672,6.19740824,0.53797469,0.63015323,0.05242974,0.08384013,0.00303941
2021-06-22,California,State,918,179,85,11,10,0,10325059,19205358,7.113069,0.72226868,0.73053889,0.05876336,0.07056342,0.00297536
2021-07-04,California,State,1057,300,131,16,4,1,9897940,19887021,12.87280845,1.65650034,1.26721895,0.07614442,0.10247443,0.00431006
2021-07-07,California,State,2508,704,221,26,12,2,9782116,20015027,17.21508925,2.32325442,1.66484575,0.10277992,0.10368776,0.00571
2021-07-08,California,State,2376,673,183,41,15,0,9744592,20060643,18.64917191,2.54229139,1.73282927,0.12106149,0.10701907,0.00569701
2021-07-22,California,State,5148,1800,417,74,25,6,9359054,20499230,46.65917242,7.57519742,3.65268907,0.29966282,0.19537994,0.01254403
2021-07-27,California,State,6949,2475,548,98,25,7,9235043,20640832,58.58430453,9.31856125,4.9469953,0.3820444,0.24286375,0.02283961
2021-07-31,California,State,5088,1871,481,75,45,6,9115519,20765261,69.36208773,11.00808289,5.69201976,0.43204025,0.29463098,0.02476664
2021-08-01,California,State,5100,1925,509,92,29,5,9103426,20776433,71.25104015,11.30607934,5.84395369,0.44624737,0.30443797,0.02544091
2021-08-04,California,State,8456,3117,686,102,42,7,8999870,20869476,78.73923258,12.47207713,6.53025306,0.46479365,0.4079424,0.0308037
2021-08-07,California,State,5708,2136,583,87,49,8,8888859,20955039,84.07313984,13.16696598,7.04573798,0.49698241,0.49339452,0.03340485
2021-08-19,California,State,7768,2730,635,108,88,15,8412452,21235681,88.15843127,12.74741319,7.56361777,0.55634127,0.99682165,0.05650867
2021-08-27,California,State,6013,2296,535,119,102,15,8065160,21458292,80.24639313,11.42282367,7.05680801,0.51927978,1.18144853,0.08388366
2021-08-28,California,State,4318,1672,491,91,113,21,8031265,21482207,79.41641643,11.25516174,7.05279394,0.51138667,1.23090376,0.08711528
2021-09-04,California,State,3662,1458,386,73,92,11,7751107,21712716,72.10398647,9.98427439,6.52994285,0.46582315,1.31409801,0.07895308
2021-09-05,California,State,2972,1241,383,78,116,20,7733589,21727726,70.92622658,9.83601716,6.38771985,0.4628714,1.36694988,0.08284346
2021-09-12,California,State,2868,1317,320,73,92,14,7470836,21983782,62.8730554,8.75775476,5.43828983,0.3983456,1.39016762,0.08837684
2021-09-14,California,State,5049,2025,403,96,88,16,7395804,22066660,64.35309226,8.66789213,5.27712355,0.39749688,1.39268158,0.08675013
2021-09-17,California,State,3891,1598,356,66,100,12,7284222,22189437,58.11386387,7.88663543,4.87943079,0.37212043,1.32183937,0.07918826
2021-09-21,California,State,3995,1739,317,94,74,14,7210798,22287778,52.05883098,7.22240811,4.42986437,0.34932663,1.26001509,0.06730146
2021-09-23,California,State,3385,1513,254,64,85,22,7146662,22365827,49.29973902,6.88167201,4.21175648,0.31233874,1.28531534,0.06515041
2021-09-26,California,State,1946,995,237,45,79,6,7078616,22457003,46.96236827,6.65716614,3.92328508,0.30089246,1.25125347,0.0648859
2021-09-28,California,State,3488,1605,256,64,72,16,7022373,22537586,44.69185233,6.42862613,3.70448646,0.27889918,1.22669156,0.06402004
2021-10-05,California,State,3100,1596,235,76,70,17,6854982,22773716,39.96050922,5.88146691,3.40315575,0.2766347,1.03365907,0.06523811
2021-10-12,California,State,2816,1552,181,76,45,9,6694547,22958675,37.05147744,5.69657066,3.10487241,0.27938397,0.91545723,0.04604546
2021-10-15,California,State,2583,1380,221,87,44,10,6610587,23055971,37.03582926,5.61180938,3.11837447,0.29121678,0.7390742,0.04213349
2021-10-18,California,State,3489,1831,262,80,46,8,6560911,23110185,39.15832507,5.90092328,3.17682364,0.29609703,0.73813791,0.03956202
2021-10-23,California,State,2061,1137,193,56,41,12,6442214,23231760,42.95107241,6.48988405,3.3684072,0.3025415,0.75839056,0.04857882
2021-10-26,California,State,3388,1747,215,60,41,10,6384644,23290088,44.02080098,6.57361192,3.36745479,0.29687675,0.71824119,0.04293672
2021-10-30,California,State,1886,1084,167,37,44,11,6300570,23376732,43.68992465,6.42702569,3.26727809,0.26522099,0.61672425,0.03911093
2021-11-05,California,State,2557,1427,132,27,33,8,6185726,23499277,42.87520749,6.24456902,2.62355161,0.19514278,0.58891343,0.03586736
2021-11-13,California,State,1448,791,54,10,12,6,6021254,23656382,36.92159237,5.1263726,1.16492108,0.10507584,0.4151959,0.03140198
2021-08-20,California,State,7411,2666,698,112,88,8,8356564,21268744,88.11892407,12.66647433,7.65694061,0.55211803,0.97784551,0.05507747
2021-10-20,California,State,3068,1677,205,58,40,11,6513566,23159796,40.63606852,6.14241779,3.25474556,0.29361226,0.71060483,0.0456456
2021-03-22,California,State,2249,50,155,4,43,0,23923700,4285680,7.66723255,0.85667352,0.53563143,0.0666672,0.23348037,0.01000008
2021-04-08,California,State,1821,61,112,7,29,0,20294665,6821303,8.97068973,0.80839184,0.55186917,0.05863982,0.13233598,0.00209428
2021-04-29,California,State,1207,102,88,8,21,1,15366782,10970664,8.35475601,0.72010227,0.61635732,0.06641088,0.12643227,0.00651087
2021-05-06,California,State,1144,83,106,5,21,5,14035915,12337219,8.22074758,0.69823562,0.62390965,0.07179205,0.11908227,0.01157936
2021-02-08,California,State,7959,25,457,1,276,0,29690999,499337,26.48133001,3.34729566,1.61568927,0.05721873,0.95651884,0.0
2021-02-10,California,State,6262,24,384,0,271,0,29402526,582038,23.00531205,2.74896141,1.46003005,0.07363289,0.92606232,0.0
2021-03-04,California,State,2472,35,162,2,91,1,26589163,2165047,9.55330131,1.22069273,0.64688008,0.06598339,0.42820883,0.0329917
2021-03-05,California,State,2417,27,201,4,93,0,26453613,2296328,9.39542198,1.13224243,0.64857465,0.08087446,0.40880184,0.02488445
2021-03-31,California,State,1883,81,105,5,37,1,22066833,5671559,8.05216201,0.99745817,0.49913305,0.06548968,0.16443553,0.01007534
2021-04-03,California,State,1378,47,89,5,26,0,21325452,6145300,8.38769694,0.89731758,0.50442743,0.06741505,0.13933719,0.00464931
2021-04-09,California,State,1787,68,131,6,33,0,20037113,7033683,9.09170041,0.81038625,0.57393498,0.06499338,0.14045365,0.00203104
2021-04-27,California,State,1398,89,73,9,22,1,15888095,10518791,8.40881175,0.72115838,0.59343624,0.07469625,0.13127529,0.00543245
2021-05-22,California,State,518,46,56,7,8,2,12071467,15585062,6.16329399,0.50506238,0.55502782,0.04674806,0.11834282,0.00549977
2021-05-24,California,State,856,108,82,4,18,0,11982293,15820359,5.95640822,0.48219964,0.56035065,0.04695577,0.13233813,0.00541797
2021-05-27,California,State,682,76,52,4,17,0,11740704,16440692,5.74314551,0.44054454,0.5341612,0.03997051,0.12654388,0.00608247
2021-05-30,California,State,454,48,56,9,7,2,11553384,16913086,5.61987479,0.42486122,0.52922033,0.03547549,0.11499414,0.00675724
2021-06-04,California,State,608,77,63,3,14,1,11159759,17763427,5.53391367,0.42382427,0.59141062,0.04503635,0.10496898,0.00643376
2021-06-10,California,State,615,107,60,8,9,1,10812670,18390444,5.65606301,0.46685737,0.56018938,0.04194725,0.08587809,0.00543761
2021-06-24,California,State,926,207,92,8,10,0,10242092,19354905,7.52357456,0.8104258,0.75458914,0.05240458,0.0655558,0.00221428
2021-06-26,California,State,760,160,74,10,11,4,10164886,19491765,8.27920184,0.90441124,0.81091486,0.05203663,0.07589151,0.00439746
2021-06-30,California,State,1379,331,140,16,16,1,10026790,19708090,10.46054762,1.26199082,0.98165586,0.05798924,0.10400708,0.00579892
2021-07-16,California,State,3724,1248,292,55,18,0,9492209,20341301,33.24380477,4.98071808,2.71199856,0.20717877,0.15501435,0.00702301
2021-07-19,California,State,5153,1879,382,62,19,2,9451738,20383177,38.64595364,6.11148245,3.1090276,0.25230891,0.1677696,0.00630772
2021-07-24,California,State,4205,1433,447,58,20,4,9302407,20564127,50.97758953,8.1271902,4.1740349,0.31400034,0.21346242,0.01736728
2021-08-02,California,State,8564,3074,661,107,52,6,9072349,20805729,73.61772726,11.65201044,6.03875736,0.44905214,0.35429476,0.02746496
2021-08-17,California,State,8746,3155,718,137,97,13,8505443,21182116,88.98503498,13.09123225,7.52291377,0.53818986,0.94225377,0.04653521
2021-08-25,California,State,7467,2761,615,113,105,19,8167966,21389019,83.633341,11.87525244,7.36675796,0.52029368,1.10886148,0.07747634
