18.global_id,cba2f1e9-159a-4dbb-a4ae-9b90e2ed121e,cba2f1e9-159a-4dbb-a4ae-9b90e2ed12e1
74.global_id,485d1f8e-edbf-45af-8506-67cdef3980f7,48d51f8e-edbf-45af-8506-67cdef3980f7
118.funcstat_one_zero,***,S
22.partflg_one_zero_one,***,N
81.funcstat_one_zero,jS,S
7.county_one_two,Maxcomb,Macomb
48.funcstat_one_zero,sS,S
107.county_one_two,Wayqne,Wayne
119.funcstat_one_zero,vS,S
41.funcstat_one_zero,***,S
146.county_one_two,Oakladn,Oakland
129.county_one_two,Waye,Wayne
151.global_id,4dcd95cc-0ccb-4cb09-b1d-6801172bc6f8,4dcd95cc-0ccb-4cb0-9b1d-6801172bc6f8
135.county,Wpayne,Wayne
79.county_one_two,zOakland,Oakland
