score_recent(long),date_recent,score_two(long),date_two,score_three(long),date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
95,2023/082/5 04:00:00+00,75,2023/07/11 00:00:00,93,2022/08/19 00:00:00,79206,695,SWIMMIG AREA,191,SWIMMING POOL,YuMCA NORTHEAST-OUTDOOR POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,2007/10/18 00:00:00,11
100,2023/07/31 04:00:00+00,100,2023/06/29 00:00:00,100,2022/07/07 00:00:00,99702,695,SWIMMING AREA,198,SPLASHi PAD,METRO PARKS HUSTON QUuIN PARK,4105 1ST STREET,LOUISVILLE,KY,40214,1988/06/07 00:00:00,12
95,2023/08/25 04:00:00+00,92,2023/07/11 00:00:00,100,20220/8/19 00:00:00,79311,695,SWIMMING AREA,198,SPLASH PDA,YMCA NORTHEAST,9400 MILL BROO RD,LOUISVILLE,KY,40223,2007/11/01 00:00:00,13
100,2023/07/2x7 04:00:00+00,94,2023/06/23 00:00:00***,100,2022/08/31 00:00:00,29344,695,SWIMMING AREA,191,SWIMMING POOL,EAST HAMPTON CONDOS,10500 TIMBERWOOD CIRCLE,LOUIzSVILLE,KY,40223,1988/06/07 00:00:00,14
76,2023/05/11 04:00:00+00,78,20230/4/27 00:00:00,100,2022/05/06 00:00:00,94109,695,SWIMMING AREA,197,PSA,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,2014/01/22 00:00:00,15
91,2023/08/29 04:00:00+00,91,2023/04/10 00:00:00,100,2023/01/10 00:00:00,99898,695,SWIMMING ARAE,191,SWIMMING POOL,BEAR PADDLE SWIM CLUB,2915 HURSTBOURNE PKWY,LOUISVILLE,KY,40220,1988/06/07 00:00:00,16
91,2023/08/17 04:00:00+00,94,2023/07/06 00:00:00,93,2022/07/27a 00:00:00,80004,695,SWIMMING AREA,191,SWIMMING POOL,LAKEVIEW CONDOS EAST,1935 GARDINER LN,LOUISVILLE,YK,40205,2008/02/29 00:00:00***,17
88,2023/08/05 04:00:00+00,96,2023/07/14 00:00:00,90,2022/08/31 00:0000,29350,695,SWIMMING AREA,192,SWIMMING / DIVING pPOOL,ELKS CLBU,2824 KLONDIKE LN.,LOUISVILLE,KY,40218,1988/06/07 00:00:00,18
80,2023/08/01 04:00:00+00,84,2023/05/19 00:00:00,81,2022/08/24 00:00:00,94177,695,SWIfMMING AREA,191,SWIMING POOL,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,OLUISVILLE,KY,40243,2014/07/03 00:00:00,19
100,2023/07/26 04:00:00+00,94,2023/06/09 00:00:00,98,2022/08/04 00e:00:00,100223,695,SWIMMNIG AREA,191,SIMMING POOL,THE GENTY,9500 WILLIAMSBURG PLAZA,OUISVILLE,KY,40222,2017/04/13 00:00:00,20
80,2023/08/23 04:00:00+00,100,2023/07/10 00:00:00,95,2022/08/17 00:00:00,80012,695,SWIMMING AREA,191,SWIMMING PpOOL,IVY RIDGE,441 IVY CREST CIR,LOUISVILEL,KY,40241,2008/02/29 00:00:00,21
86,2023/09/20 04:0:00+00,93,2023/04/13 00:00:00,96,2022/11/17 00:00:00,29358,695,SWIMMING AREA,191,SWIMING POOL,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,1988/06/07 00:00:00,22
92,2023/09/13 04:00:00+00,97,2023/01/11 00:0:00,97,2022/03/14 00:00:00,94925,695,SWIMMING AREA,191,SWIMMING PjOOL,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,2014/08/01 00:00:00,23
85,2023/08/15 04:00:00+00,100,2023/07/13 00:0:00,96,2022/08/04 00:00:00,100520,695,SWIMMING AREA,191,SWIMMING POOL***,AVALON SPRINGS,7935 ZELMA FIELDS AVE,LOUISVILLE,KY,40228,1988/60/07 00:00:00,24
92,2023/07/21 04:00:00+00,85,2023/07/05 00:00:00,86,2022/08/18 00:00:00,80487,695,SWIMMING AREA,191,SWIMMING POOL,DORSEY STATION,10431 SHELBYVILLE RD,LOISVILLE,Y,40223,2008/03/27 00:00:0,25
98,2023/08/03 04:00:00+00,94,2023/07/11 00:00:00,98,2022/07/05 00:00:00,29360,695,WSIMMING AREA,191,SWIMMING POsOL,METRO PARKS FAIRDALE POOL,709 FAIRDALE ROAD,LOUISVILLE,KY,40118,1988/06/07 00:00:00,26
93,2023/8/31 04:00:00+00,93,2023/07/2k5 00:00:00,94,2022/06/01 00:00:00,100528,695,SWIMMING ARA,192,SWIMMING / DIVING POOL,GLEN OAKS GOLF & COUNTRY CLUB,10601 WORTHINGTON LANE,PROSPECT,KY,40059,1988/06/07 00:00:00,27
87,202l3/07/31 04:00:00+00,95,2023/06/05 00:00:00,98,2022/07/26 00:00:00,51464,695,SWIMMING AREA,191,SWIMMING POOL,HURSTBOURNE RIDGE CONDO,3701 HURSTBOURE RIDGE PKWY,LOUISVILLE,KY,40299,1994/08/23 00:00:00,28
92,2023/09/13 04:00:00+00,97,2023/01/11 00:00:00,96,2022/03/15 00:00:00,94926,695,SWIMMING AREA,191,SWIMMING POOL,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,2014/08/0k1 00:00:00,29
100,2023/07/19 04:00:00+00,100,2023/06/02 00:00:00,97,2022/08/50 00:00:00,80949,695,SWIMMING AREA,198,SPLASH PAD,METRO PARKS ALGONQUIN SPRAYGROUND,1614 CYPRESS ST,LOUISVILLE,KY,40210,2008/04/18 00:00:00,30
94,2023/05/26 04:00:00+00,100,2022/06/08 00:00:00,98,2021/07/22 00:00:00,51574,695,SWIMMING AREA,191,SWIMMING POOL,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,LOUISVILLE,KY,40215,1994/09/07 00:00:00,31
84,2023/09/01 04:00:00+00,97,2023/01/06 00:00:00,86,2022/05/17 00:00:00,95029,695,SWIMMING AREA,191,SWIMMING POOL,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,Y,40222,2014/05/29 00:00:00,32
82,2023/08/08 04:00:00+00,83,2023/07/11 00:00:00,92,2022/08/05 00:00:00***,29369,695,SWIMMING AREA,191,SWIMMING POOL,STANDARD COUNTRY CLUB,8208 STANDARD CLUB LANE,LOUISVILLE,KY,40241,188/08/03 00:00:00,33
97,2032/08/31 04:00:00+00,97,2023/07/25 00:00:00,94,0222/08/17 00:00:00,100530,695,SWIMMING AREA,199,WADINwG POOL,GLEN OAKS GOLF & COUNTY CLUB,10601 WORTHINGTON LANE,PROSPECT,KY,40059,2016/07/28 00:00:00,34
100,2023/08/11 04:00:00+00,97,2023/07/05 00:00:0g0,97,2022/07/21 00:00:00,81318,695,SWIMMING AREA,191,SWIMMING POOL,WESTPOR GARDENS,1249 WESTLYNNE WAY,LOUISVILLE,KY,40222,2008/06/02 00:00:00,35
89,2023/08/08 04:00:00+00,89,2023/07/11 00:00:00,95,2022/08/05 00:00:00,29370,695,SWIMMING AREA,199,WADINsG POOL,STANDARD COUNTRY CLUB,8208 STANDARD CLUhB LANE,LOUIoSVILLE,Y,40241,1988/06/07 00:00:00,36
81,2023/07/27 04:00:00+00,78,203/07/06 00:00:00,87,2022/8/25 00:00:00,53211,695,SWIMMING AREA,192,SWIMMING / DIVING POOL,POLO FIELDS COUNTRY CLUB,17001 POLO FIELDS LN,LOUISVILEL,KY,40245,1995/06/01 00:00:00,37
100,2023/07/28 04:00:00+00,100,2023/06/16 00:0:000,100,2022/08/03 00:00:00,95100,695,WSIMMING AREA,198,SPLASH PAD,SKYVIEW PARK SPLASH PAD,2866 WATTERSON TRAIL,JEFFERSONTOWN,KY,40299,2014/07/01 0:000:00,38
87,2023/10/24 04:00:00+00,95,2023/04/04 00:00:00,92,2022/08/30 00:00:00,100794,695,SWIMMING AREA,191,SWIMMINGPOOL,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFfFERSONTOWN,KY,40299,2001/06/11 00:00:00,39
82,2023/08/15 04:00:00+00,93,2023/06/13 00:00:00,88,2022/08/30 00:00:00,82190,695,SWIMMING AREA,191,SWIMMING POOL,BARDSTOWN FOREST,2041 BUECHEL BANK RD,LOUISVILLE,KY,40218,2008/09/29 0000:00,40
83,2023/08/22 04:00:00+00,87,2023/06/22 00:00:00,97,2022/08/03 00:00:00,29372,695,SWIMMING AREA,191,SWIMMING POOL,STONEHENGE CONDOS,245 STONEHENGE DR,LOUISVILLE,YK,40207,1988/0/607 00:00:00,41
84,2023/07/27 04:00:00+00,84,2023/0j7/06 00:00:00,87,20220/8/25 00:00:00,53244,695,SWIMING AREA,199,WADING POOL,POLO FIELDS COUNTRY CLUB,17001 POLO FIELDS LN,LOUISVILLE,KY,40245,1995/06/06 00:00:00,42
91,2023/07/26 04:00:00+00,94,2023/05/25 00:00:00,85,2022/07/20 00:00:00,95521,695,SWIMMING ARAE,197,SPA,SIGNATURE PiOINT,1200 HELM PLACE LANE,JEFFERSNOTOWN,KY,40299,2014/06/06 00:k00:00,43
98,2023/08/07 0:00:00+00,91,2023/06/13 00:00:00,100,2022/07/25 00:00:00,100961,695,SWIMMING AREA,191,SWIMMING POOL,THE FLATS AT HURSTBOURNE APTS,3280 SILVER SPRINGS DR,LOUISVILLE,KY,40220,2018/05/22 00:00:00,44
100,2023/07/10 04:00:00+00,100,2023/05/31 00:00:00,100,2022/07/25 00:00:00,82704,695,SWIMMING AREA,198,SPLASH PAD,METRO PARKS SHELB PARK SPRAYGROUND,600 E OAK ST,LOUISVILLE,YK,40203,2008/12/29 00:00:00,45
98,2023/08/03 04:00:00+00,93,2023/07/11 00:00:00,93,2022/07/07 00:00:00,29373,695,SWIMMING jAREA,191,WIMMING POOL,METRO PARKS SUN VALLEY,6506 BETHANYo LN,LOUISVILLE,KY,40272,1988/06/07 00:00w:00,46
92,2023/08/02 04:00:00+00,85,2023/06/23 00:00:00,95,2022/07/29 00:00:00,53324,695,SWIMMING AREA,191,SWIMMING POOL,HAMPTON INN,800 PHILLIPS LN,LOUISVILLE,KY,40209,1995/06/13 00:00:00,47
83,2023/07/26 04:00:00+00,88,2023/06/7 00:00:00,93,2022/07/20 00:j00:00,95523,695,SWIMMING AREA,191,SWIMMING POOL,SIGNATURE POINT,1200 HELMP LACE LANE,LOUISVILLE,YK,40299,2014/07/10 00:00:00,48
92,2023/07/06 04:00:00+00,98,2023/05/30 g00:00:00,95,2022/07/08 00:00:00,101079,695,SWIMMING AREA,198,SPLASH PAD,ADVENTURE PLAYGROUND,1201 RIVER RD,LOUISVtILLE,KY,40202,1988/06/07 00:00:00,49
100,2023/f01/20 05:00:00+00,100,2022/11/01 00:00:00,90,2022/03/25 00:0:00,101423,695,SWIMMING AREA,191,WSIMMING POOL,LOUIeSVILLE MARRIOTT EAST,1903 EMBASSY SQUARE BLVD,LOUISVILLE,KY,40299,2016/12/09 00:00:00,50
89,2023/08/25 04:00:00+00,89,2023/04/27 00:00:00,93,0223/01/06 00:00:00,101516,695,SWIMMING AREA,191,SWIMMING POOL,HOMEWOOD SUITES,635 W MARKET ST,LOUISVILE,KY,40202,2018/03/26 00:00:00,51
96,2023/11/01 04:00:00+00,97,2023/07/22 00:00:00,82,2023/05/02 00:00:00,101551,695,SWIMMING AREA,191,SWIMoMING POOL,HOME 2 SUITES,240 S. HANCOCK ST,LOUISVILLE,KY,40202,1988/06/07 00:00:00,52
89,2023/08/22 04:00:00+00,92,2023/04/28 00:00:00,91,2022/08/18 00:00:00,101552,695,SWIMMNG AREA,197,SPA,OMNI LOUISVILLE - LEVEL 3,40 0S. 2ND STREET,LOUISIVLLE,KY,40202,2018/03/08 00:00:00,53
89,2023/08/22 04:00:00+00,86,2023/04/13 00:00:00,93,2022/08/18 00:00:00,101553,695,SWIMMING AREA,191,SWIMMING POOL,OMN ILOUISVILLE - LEVEL 3 POOL,400 S. 2ND STREET,LOUISVILLE,KY,40202,2018/03/08 00:00:00***,54
87,2023/08/04 04:00:00b+00,90,2023/06/01 00:00:00,92,2022/08/11 00:00:00,101554,695,SWIMMING AREA,191,SWIMMING POOL,THE RESIDkENCES AT OMNI - LEVEL 16 POOL,200 WEST LIBERTY ST,LOUISVILLE,KY,40202,2018/05/21 00:00:00***,55
90,2023/08/14 04:00:00+00,80,2023/07/07 00:00:00,86,2022/08/11 00:00:00,101641,695,SWIMMING AREA,191,SWIMMING POOL,LOUISVILLE BROADWAY APTS LLC / HIGHLAND STATION,1172 E BROADWAY,LOUISVILLE,KY,40204,2018/05/22 00:00:00,56
90,2023/08/30 04:00:00+00,88,2032/07/17 00:00:00,92,2022/08/16 00:00:00,101819,695,SWIMMING AREA,191,SWIMMING POOL***,ASPENWOODAPARTMENTS,3300 ASPEN VALLEY CIRCLE,LOUdISVILLE,KY,40241,2017/02/270 0:00:00,57
95,2023/04/25 04:00:00+00,94,2022/11/30 00:00:00,97,2022/04/28 00:00:00,101828,695,SWIMMING AREA,191,SWIMMING POOL,QUALITY INN,1301 KENTUCKY MILLS DR,LOUISVILLE,Y,40299,2017/20/28 00:00:00,58
89,2023/09/26 40:00:00+00,90,2023/01/20 00:00:00,92,2r022/08/31 00:00:00,101850,695,SWIMMING AREA,191,SWIMMING POOL,HOME 2 SUITES,3000 CRITTENDEN DR,LOISVILLE,YK,40209,2e018/05/25 00:00:00,59
94,2023/08/01 04:00:00+00,92,2023/06/01 00:00:00,96,2022/07/28 00:00:00,101851,695,SIWMMING AREA,191,SWIMMING POOL,BRADFORD MILL LOFTS,1124 REUTLINGER AVE,LOUISVILLE,KY,40204,1988/06/07 00:00:00,60
90,2023/09/28 04:00:00+00,97,2023/04/28 00:00:00,91,2023/01/05 00:00:00,102015,695,SWIMMING AREA,191,SWIMMING POOL,THE PARK AT HURSTBOURNE APTS -VARSITY CLUB,6121 BIG BEN DR,FERN CREEK,KsY,40291,2017/03/29 00:00:00,61
92,2023/08/29 04:00:00+00,90,2023/06/2 00:00:00,96,2022/08/12 00:00:00,102049,695,SWIMMING AREA,191,SWIMMING POOL,SOUTHGATE LANDING,10960 SOUTGATE MANOR DR,LOUISVILLE,KY,40229,2017/03/30 00:00:00,62
82,2023/08/12 j04:00:00+00,89,2023/07/14 00:00:00,93,2022/08/03 00:00:00,102157,695,SWIMMING AREA,191,SWIMMING POOL,THE ENCLAVE AT BRECKENRIDGE,7204 CHURCHILL PARK DR,LOUISVILLE,KY,40220,2017/04/14 00:00:00,63
76,2023/08/04 04:000:0+00,95,2023/06/07 00:00:00,89,2023/05/25 00:00:00,102469,695,SWIMMING AREA,191,SWIMMING POOL,STATINO J-TOWN,9601 BALSAM WAY,JEFFERSONTOWN,KY,40299,2017/05/16 00:00:00,64
83,2023/07/26 04:00:00+00,89,2023/06/27 00:00:00,100,2022/07/20 00:00:00,102843,695,SWIMMING AREA,191,SWIMsMING POOL,THE LODGES,14500 ENGLISH PARK CIR,JEFFERSONTOWN,KY,40299,1988/06/07 00:0:000,65
89,2023/10/19 04:00:00+00,92,2023/0/12 00:00:00,98,2022/11/16 00:00:00,102919,695,SWIMMING AREA,191,SWIMMING POOL,HYATT REGENCY,311 S 4TH ST,LOUISVLLE,KY,40202,20f17/07/06 00:00:00,66
92,2023/07/20 04:00:00+00,93,2022/09/2 000:00:00,91,2021/12/20 00:00:00,103196,695,SWIMMING AREA,197,SPA,U OF L HOT WALK THRU,2800 S FLOYD ST,LOUISVILLE,KY,40209,2018/07/31 00:00:00,67
98,2023/01/25 05:00:00+00,95,2022/09/16 00:00:00,95,2021/12/20 00:00:00,103197,695,SWIMMING AREA,197,SPA,U OF L - COLD WALK THRU,2800 S FLOYD ST,LOUISVILLaE,KY,40209,2018/07/31 00:0z0:00,68
82,2023/03/08 05:00:00+00,94,2021/04/02 00:00:00,89,2019/05/30 00:00:00,103302,695,SWIMMING AREA,191,SWIMMING POOL,TOWNEPLACE SUITES / FAIRFIELD INN & SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,YK,40241,2018/04/18 00:00:00,69
90,2023/08/6 04:00:00+00,86,2023/07/11 00:00:00,96,2022/08/18 00:00:00,103312,695,SWIMMING AREA,191,SWIMMING POOL,WINGATE INN,3200 KEMMONS DR,LOUISVILLE,KY,40218,2018/05/23 00:00:00,70
95,2023/01/25 05:00:00+00,96,202/10/10 00:00:00,93,2021/12/20 00:00:00,103340,695,SWMMING AREA,197,PA,U OF L FOOTBALL 0- 5HYDROWORX,n2800 S FLOYD ST,LOUISVILLE,KY,40202,2018/07/31 00:00:00,71
90,2023/07/20 04:00:00+00,96,2023/01/25 00:00:00,93,2022/09/16 00:00:00,103341,695,SWIMMING AREA,197,SPA,U OF L FOOTBALL HOT PLUNGE WHITE HYDROWORX,2800 S FLOYD ST,LOUISVILLE,KY,40209,2018/07/31 00:00:00***,72
98,2023/01/25 05:00:00+00,93,2022/09/16 00:00:00,92,2021/12/20 00:00:00,103342,695,SWIMMING AREA,197,SPA,U OF L FOOTBALL COLD PLUNGE WHITE HYDROWORX,2800 S FLOYD ST,LOUISVILLE,KY,40209,2018/07/31 00:00:00,73
92,2023/04/24 04:00:00+00,97,2022/11/18 0b0:00:00,95,2022/04/29 00:00:00,103431,695,SWIMMING AREA,191,SWIMMING POOL,WINGATE BY WYNDHAM,12301 ALLIANT COURT,JEFFERSONTOWN,KY,40299,2017/08/31 00:00:00,74
88,2023/07/26 04:00:00+00,88,2023/07/13d 00:00:00,86,2022/08/11 00:0:00,103432,695,SWIMMING AREA,191,SWIMMING POOL,BAXTER APARTMENTS,1221 E BROADWAY,LOUISVILLE,KY,40204,1988/06/07 0:00:00,75
95,2023/08/23 04:00:00+00,100,2022/07/05 00:00:00,94,2022/06/21 00:00:00,103805,695,SWIMMING AREA,191,SWIMMING POOL,RIVERPORT FAMILY RESIDENCES,3400 CATHE DYKSTRA WAY,LOUISVILEL,KY,40216,1988/06/07 00:00:00,76
95,2023/07/26 04:00:00+00,94,2023/06/20 00:00:00,89,2022/07/20 00:00:00,103895,695,SWIMMING AREvA,191,SWIMMING POOL,SHAKES RUN,16901 SHAKES CREEK DR,LOUISVILLE,xKY,40223,1988/06/07 00:00:00,77
91,2023/04/26 04:00:00+00,95,2022/12/20 00:00:00,86,2022/03/18 00:00:00,104020,695,WSIMMING AREA,191,SWIMMING POOL,AQUA-TOTS SWIM CLUB,117 BLANKENBAKER PKWY,LOUISVILLE,KY,40223,2018/04/05 00:00:00,78
83,2023/03/27 04:00:00+00,93,2022/09/30 00:00:00,89,2022/04/01 00:00:00,104039,695,SWIMMING AREA,191,SWIMMIN POOL,RESIDENCE INN,401 BULLITT LANE,LOUISVLILE,KY,40222,2018/06/08 00:00:00,79
100,2023/07/10 04:00:00+00,100,2023/05/31 00:00:00,97,2022/07/11 00:00:00,104103,695,SWIMMING AREA,198,SPLAStH PAD,METRO PARKS SHEPPARD PARK,1601 MAGAZINE ST,LOUISVILLE,KY,40203,2018/06/04 00:00:00,80
88,2023/05/12 04:00:00+00,89,2022/05/12 00:00:00,90,2021/0o3/16 00:00:00,104159,695,SWIMMING AREA,191,SWIMMING OOL,SWIM LABS #1 LEFT,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,2018/11/06 00:00:00,81
92,2023/05/12 04:00:00+00,92,2022/05/12 00:00:00,93,20e21/03/16 00:00:00,104160,695,SWIMMING AREA,191,SWIMMING POOL,SWIM LABS #2 MIDDLE,3572 SPRINGHURST BLVD,LOUISVILLE,Y,40241,2018/11/06 00:00:00,82
89,2023/05/12 04:00:00+00***,91,2022/05/12 00:00:00,87,2021/03/16 00:00:00,104161,695,SWIMMING AREA,191,SWIMMING POOL,SWIM LABS #3 RIGHT,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,2018/11/06 00:0:000,83
81,2023/05/1204:00:00+00,86,2022/05/12 00:00:00,90,2021/03/16 00:00:00,104162,695,SWIMMING AREA,191,SWIMMING POOL,SAFE SPLASH SWIM SCOOL / LAP POOL,3572 SPRINGHURST BLVD,LOUISVIeLLE,KY,40241,2019/03/07 00:00:00,84
86,2023/05/02 04:00:00+00,95,2022/12/06 00:00n:00,91,2022/0b5/23 00:00:00,104185,695,SWIMMING AREA,191,SWIMMING POOL,YMCA - REPUBLIC BANK FOUNDATION,1720 WEST BROADWAY,LOUISVILLE,Y,40203,1988/06/07 00:00:00,85
90,2023/08/17 04:00:00+00,80,2023/06/08 00:00:00,97,022/08/12 00:00:00,104231,695,SWIMMING AREA,197,SPA,THE EDGE,555 S 4TH ST,LOUISIVLLE,KY,40202,2019/05/24 00:00:00,86
93,2023/08/17 04b:00:00+00,76,2023/06/08 00:0:000,92,2022/08/12 00:00w:00,104232,695,SWIMMING AREA,191,SIWMMING POOL,THE EDGE,555 S 4TH ST,LOUISVILLE,KY,40202,2019/05/22 00:00:00,87
100,2022/08/08 04:00:00+00,95,2022/08/02 00:00:00,88,2020/06/22 00:00:00,104674,695,SWIMMING AREA,191,SWIMMING POOL,THE GRAND OF PROSPECT,9300 CIVIC WAY,PROSPECT,KY,40059,2019/08/09 00:00:00,88
100,2023/08/17 04:00:00+00,100,2023/07/19 00:00:00,95,2022/06/27 00:00:00,33308,695,SWIMMING AREA,191,SWIMMING POOL,WATERFORD PLACE,4105 WATERFORD CIR,LOUISVILLE,YK,40207,2005/06/29 00:00:00,89
96,2023/08/21 04:00:00+00,96,2023/07/13 00:0:000,100,2022/08/16 00:00:00,66007,695,SWIMMING AREA,191,SWIMMING POOL,COBBLESTONE CONDOMINIUMS,10001 GLASGOW BLVD,LOUISVILLE,KY,40241,2001/05/23 00:00:00,90
95,2023/0830 04:00:00+00,88,2023/08/02 00:00:00,95,2022/08/25 00:00:00,29012,695,SWIMMING AREA,191,SWjIMMING POOL,CHARLESTOWN OF DOUGLASS HILLS,407 CHARLESTOWN COURT,LOUISVILEL,KY,40243,1988/08/02 00:00:00,91
97,2023/07/19 04:00:00+00,89,2023/06/22 00:00:00***,98,2022/08/29 00:00:00,53531,695,SWIMMING AREA,191,WSIMMING POOL,GREENWOOD PLACE APTS,7500 GREENWOOD PLACE CIR,LOUISVILLE,KY,40258,1995/07/12 00:00:00,92
95,2023/08/19 04:00:00+00,82,2023/06/01 00:00:00,89,2022/08/18 00:00:00,66008,695,SWIMMING AREA,191,SWIMMING POpOL,TERRACES AT FOREST SPRINGS,3501 TERRACE SPRING DR,LOUISVILLE,KY,40245,2001/k05/23 00:00:00,93
92,2023/07/14 04:00:00+00,98,2023/06/16 00:00:00,100,2022/08/18 00:00:00,29376,695,SWIMMING AREA,191,SWIMMINGu POOL,SYCAMORE CONDOS,217 SYCAMORE DR,OLUISVILLE,KmY,40223,1988/06/07 00:00:00,94
100,2023/07/31 04:00:00+00,98,2023/06/29 00:00:00,98,2022/07/05 00:00:00,82705,695,SWIMMING AREA,198,SPLASH jPAD,METRO PARKS WYANDOTTE PARK SPRAYGROUND,1104 BEECHER ST,LUOISVILLE,Y,40215,2008/12/29 00:00:00,95
100,2023/08/11 04:00:00+00,100,2023/07/10 00:00:00,100,2022/08/11 00:0g0:00,95698,695,SWIMMING RAEA,198,SPLASH PAD,FOUNTAIN SQUARE APT,3600 FOUNTAIN DR,LOUISVILLE,KY,40218,2014/07/03 00:00:00,96
91,2023/07/25 04:00:00+00,94,2023/06/05 00:00:00,94,2022/07/15 00:00:00,53598,695,SWIMMING AREA,191,SWIMMINGP OOL,WINDSOR GATE CONDOMINIUMS,8601 AMBROSSE LN,LOUISVILLE,KY,40299,1998/07/08 00:00:00,97
100,2023/06/28 04:00:00+00,100,2023/06/23 00:00:00,100,2022/08/08 00:00:00,82706,695,SWIMMING AREA,198,SPLASH PAD,METRO PARKS FARNSLEY PARK SPRAYGROUD,3100 WEDGEWOOD WAY,LOUISVILLE,KY,40220,2008/12/29 00:00:00,98
97,2023/08/03 04:00:00+00,94,2023/07/14 00:v00:00,92,202/207/21 00:00:00,66022,695,SWIMMIN GAREA,191,SWIMMING POOL,HUNTER'S RUN APARTMENTS,5629 FrOX HORN CIRCLE,LOUISVILLE,KY,40216,2001/05/30 00:00:00,99
98,2023/08/03 04:00:00+00,92,20o23/05/30 00:00:00,96,2022/08/18 00:00:00,29379,695,SWIMMING AREA,191,SWIMMING POOL,FOUR SEASONS APT,8010 SUMMERFIELD CIR,LOUISVILLE,Y,40220,1988/06/07 00:00:00,100
87,2023/08/19 04:00:00+00,90,2023/06/23 00:00:00,89,2022/07/27 00:00:00,95699,695,SWIMMING AREA,191,SWIMMING POOL,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILE,KY,40219,2014/07/08 00:00:00,101
