HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
00120,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00124,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00126,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0012A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,12/18/2020,12/31/9999,01/01/2017
0012M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2017
0012U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,09/30/2022,01/01/2017
0013A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,08/12/2021,12/31/9999,01/01/2017
0013M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2017
0013U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,09/30/2022,01/01/2017
00140,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00142,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00144,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00145,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00147,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1991,12/31/9999,01/01/2014
00148,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0014M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2020,12/31/9999,01/01/2017
0014U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,09/30/2022,01/01/2016
0014U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,09/30/2022,01/01/2015
0015M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2020,12/31/9999,01/01/2017
0015U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/2017,01/01/2015
0015U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/2017,01/01/2016
00160,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00162,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00164,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0016M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2020,12/31/9999,01/01/2017
0016U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/9999,01/01/2016
0016U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/9999,01/01/2014
00170,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00172,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00174,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00176,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0017M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2021,12/31/9999,01/01/2017
0017U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/9999,01/01/2016
0017U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/9999,01/01/2015
0018M,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,10/01/2021,12/31/9999,01/01/2017
0018U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,10/01/2017,12/31/9999,01/01/2015
0018U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2017,12/31/9999,01/01/2016
00190,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00192,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0019T,PM000O,P,Procedure,PM,Musculoskeletal,000,No RBCS Family,O,01/01/2002,12/31/2016,01/01/2014
0019U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2017,12/31/9999,01/01/2016
0020U,TL005N,T,Test,TL,General Laboratory,005,Drug Tests,N,10/01/2017,09/30/2018,01/01/2017
00210,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00211,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2009,12/31/9999,01/01/2014
00212,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00214,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00215,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1994,12/31/9999,01/01/2014
00216,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00218,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0021A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/01/2021,01/01/2021,01/01/2017
0021U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,10/01/2017,12/31/9999,01/01/2017
00220,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00222,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0022A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/01/2021,01/01/2021,01/01/2017
0022U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2017,12/31/9999,01/01/2016
0022U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,10/01/2017,12/31/9999,01/01/2014
0023U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2017,12/31/9999,01/01/2016
0023U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,10/01/2017,12/31/9999,01/01/2014
0024U,TL001N,T,Test,TL,General Laboratory,001,Clinical Chemistry,N,01/01/2018,12/31/9999,01/01/2015
0025U,TL005N,T,Test,TL,General Laboratory,005,Drug Tests,N,01/01/2018,12/31/9999,01/01/2017
0026U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
0026U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0027U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0027U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
0028U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,09/30/2018,01/01/2016
0028U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,09/30/2018,01/01/2014
0029U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0029U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
00300,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0030U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0030U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2015
0031A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,02/27/2021,12/31/9999,01/01/2017
0031U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0031U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
00320,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00322,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00326,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2003,12/31/9999,01/01/2014
0032U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
0032U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0033U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0033U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
0034A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,10/20/2021,12/31/9999,01/01/2017
0034U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2016
0034U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,01/01/2018,12/31/9999,01/01/2014
00350,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00352,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0035U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,04/01/2018,12/31/9999,01/01/2015
0036U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2017
0037U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,04/01/2018,12/31/9999,01/01/2014
0037U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2016
0038U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2016
0038U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,04/01/2018,12/31/9999,01/01/2014
0039U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,04/01/2018,12/31/9999,01/01/2017
00400,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00402,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00404,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00406,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0040U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2016
0040U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,04/01/2018,12/31/9999,01/01/2014
00410,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0041A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,07/13/2022,12/31/9999,01/01/2017
0041U,TM011N,T,Test,TM,Molecular Testing,011,Infectious Agent Detection by DNA/RNA,N,04/01/2018,12/31/9999,01/01/2014
0042A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,07/13/2022,12/31/9999,01/01/2017
0042T,IC000N,I,Imaging,IC,CT Scan,000,No RBCS Family,N,01/01/2003,12/31/9999,01/01/2014
0042U,TM011N,T,Test,TM,Molecular Testing,011,Infectious Agent Detection by DNA/RNA,N,04/01/2018,12/31/9999,01/01/2014
0043U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,04/01/2018,12/31/9999,01/01/2014
0043U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2016
0044U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,04/01/2018,12/31/9999,01/01/2014
0044U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,04/01/2018,12/31/9999,01/01/2016
00450,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00452,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/2014,01/01/2014
00454,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0045U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2014
0045U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
0046U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2015
0046U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
00470,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00472,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00474,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0047U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2014
0047U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
0048U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2017
0049U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2015
0049U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
00500,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0050U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2017
0051A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/03/2022,12/31/9999,01/01/2017
0051T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,01/01/2014
0051U,TL001N,T,Test,TL,General Laboratory,001,Clinical Chemistry,N,07/01/2018,12/31/9999,01/01/2015
00520,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00522,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00524,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00528,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00529,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2004,12/31/9999,01/01/2014
0052A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/03/2022,12/31/9999,01/01/2017
0052T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,01/01/2017
0052U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2014
0052U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
00530,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00532,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1992,12/31/9999,01/01/2014
00534,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1993,12/31/9999,01/01/2014
00537,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2001,12/31/9999,01/01/2014
00539,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2003,12/31/9999,01/01/2014
0053A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/03/2022,12/31/9999,01/01/2017
0053T,PC000O,P,Procedure,PC,Cardiovascular,000,No RBCS Family,O,01/01/2004,12/31/2017,01/01/2017
0053U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2017
00540,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00541,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2003,12/31/9999,01/01/2014
00542,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00546,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00548,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0054A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,01/03/2022,12/31/9999,01/01/2017
0054T,PM000O,P,Procedure,PM,Musculoskeletal,000,No RBCS Family,O,01/01/2004,12/31/9999,01/01/2014
0054U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
0054U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2014
00550,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2001,12/31/9999,01/01/2014
0055T,PM000O,P,Procedure,PM,Musculoskeletal,000,No RBCS Family,O,01/01/2004,12/31/9999,01/01/2014
0055U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2017
00560,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00561,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2005,12/31/9999,01/01/2014
00562,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00563,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2001,12/31/9999,01/01/2014
00566,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2001,12/31/9999,01/01/2014
00567,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2009,12/31/9999,01/01/2014
0056U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,09/30/2022,01/01/2017
0057U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,06/30/2019,01/01/2017
00580,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0058T,RX000N,R,Treatment,RX,Treatment - Miscellaneous,000,No RBCS Family,N,12/31/2008,12/31/2020,01/01/2015
0058U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2018,12/31/9999,01/01/2014
0058U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2016
0059U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,07/01/2018,12/31/9999,01/01/2015
00600,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00604,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0060U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2018,12/31/9999,01/01/2017
0061U,PS000O,P,Procedure,PS,Skin,000,No RBCS Family,O,07/01/2018,12/31/9999,01/01/2015
00620,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00622,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/2014,01/01/2014
00625,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2007,12/31/9999,01/01/2014
00626,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2007,12/31/9999,01/01/2014
0062U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,10/01/2018,12/31/9999,01/01/2017
00630,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00632,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00634,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/2014,01/01/2014
00635,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2001,12/31/9999,01/01/2014
0063U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,10/01/2018,12/31/9999,01/01/2016
00640,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/2003,12/31/9999,01/01/2014
0064A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,10/20/2021,12/31/9999,01/01/2017
0064U,TL006N,T,Test,TL,General Laboratory,006,Immunoassay,N,10/01/2018,12/31/9999,01/01/2015
0065U,TL000N,T,Test,TL,General Laboratory,000,No RBCS Family,N,10/01/2018,12/31/9999,01/01/2015
