Citing Patent,Filing date,Publication date,Applicant,Title
US6929186,19 Jul 2004,16 Aug 2005,Silverbrook Research Pty Ltd,Orientation-indicating machine readable coded data
US6938826,13 Aug 2004,6 Sep 2005,Silverbrook Research Pty Ltd,Interface surface having coded data with predetermined pattern
US6942150,26 Nov 2001,13 Sep 2005,"Metrologic Instruments, Inc.",Web-based mobile information access terminal
US6946672,25 Nov 2000,20 Sep 2005,Silverbrook Research Pty Ltd,Viewer with code sensor and printer
US6947027,12 Nov 2002,20 Sep 2005,Silverbrook Research Pty Ltd,Hand-drawing capture via interface surface having coded marks
US6957768,23 May 2000,25 Oct 2005,Silverbrook Research Pty Ltd,Computer system control via interface surface
US6957921,30 Jun 2000,25 Oct 2005,Silverbrook Research Pty Ltd,Interactive printer account
US6957923,21 Oct 2002,25 Oct 2005,Silverbrook Research Pty Ltd,Electronically controllable pen device
US6959298,30 Jun 2000,25 Oct 2005,Silverbrook Research Pty Ltd,Method and system for accessing travel services
US6963845,15 Sep 2000,8 Nov 2005,Silverbrook Research Pty Ltd,Business card as electronic mail authorization token
US6965454,20 Oct 2000,15 Nov 2005,Silverbrook Research Pty Ltd,Method and system for graphic design
US6965882,30 Jun 2000,15 Nov 2005,Silverbrook Research Pty Ltd,Method and system for seeking bids
US6970264,12 Nov 2002,29 Nov 2005,Silverbrook Research Pty Ltd,Relay device for use with processing sensor
US6972864,12 Nov 2002,6 Dec 2005,Silverbrook Research Pty Ltd,Method and system for delivery of mail using sensor with identifier
US6973450,30 Jun 2000,6 Dec 2005,Silverbrook Research Pty Ltd,Method and system for searching information
US6976035,30 Jun 2000,13 Dec 2005,"Siverbrook Research, Pty. Ltd",Method and system for navigating a history list
US6976220,30 Jun 2000,13 Dec 2005,Silverbrook Research Pty Ltd,Method and system for conferencing
US6977746,12 Nov 2002,20 Dec 2005,Silverbrook Research Pty Ltd,Relay device for use with coded marks
US6978019,30 Jun 2000,20 Dec 2005,Silverbrook Research Pty Ltd,Method and system for user registration on terminal
US6980306,25 Nov 2000,27 Dec 2005,Silverbrook Research Pty Ltd,Printer with manual collation control
US6980318 *,23 May 2000,27 Dec 2005,Silverbrook Research Pty Ltd,Method and system for delivery of a greeting card
US6980704,12 Nov 2002,27 Dec 2005,Silverbrook Research Pty Ltd,Sensing device for sensing coded marks
US6982701,12 Nov 2002,3 Jan 2006,Silverbrook Research Pty Ltd,Handwritten text capture via interface surface and sensor with identifier
US6982703,12 Nov 2002,3 Jan 2006,Silverbrook Research Pty Ltd,Handwritten text capture via interface surface having coded marks
US6982807,12 Nov 2002,3 Jan 2006,Silverbrook Research Pty Ltd,Method and system for delivery of a facsimile using processing sensor
US6983878,26 May 2004,10 Jan 2006,Silverbrook Research Pty Ltd,Computer software for interaction with coded surface
US6986459,18 Oct 2004,17 Jan 2006,Silverbrook Research Pty Ltd,System for providing a document associated with a video signal
US6987506 *,23 May 2000,17 Jan 2006,Silverbrook Research Pty Ltd,Method and system for navigating a directory
US6987581,12 Nov 2002,17 Jan 2006,Silverbrook Research Pty Ltd,Method and system for instruction of a computer using sensor with identifier
US6989911,12 Nov 2002,24 Jan 2006,Silverbrook Research Pty Ltd,Method and system for delivery of a facsimile using coded marks
US6991153,18 Mar 2005,31 Jan 2006,Silverbrook Research Pty Ltd,Computer system for enabling collaborative document markup between participants
US6991154,18 Mar 2005,31 Jan 2006,Silverbrook Research Pty Ltd,Method for enabling collaborative document markup between participants
US6992662,27 Dec 2004,31 Jan 2006,Silverbrook Research Pty Ltd,Software interaction via interface surface and sensing device
US6994264,19 Jul 2004,7 Feb 2006,Silverbrook Research Pty Ltd,Information indicating machine readable coded data
US6995859,15 Sep 2000,7 Feb 2006,Silverbrook Research Pty Ltd,Method and system for instruction of a computer
US6996274,20 Sep 2004,7 Feb 2006,Silverbrook Research Pty Ltd,Notetaking system incorporating coded data sensor
US7004390,12 Nov 2002,28 Feb 2006,Silverbrook Research Pty Ltd,Method and system for collaborative document markup using sensor with identifier
US7009738,12 Nov 2002,7 Mar 2006,Silverbrook Research Pty Ltd,Method and system for composition and delivery of electronic mail using sensor with identifier
US7010147,12 Nov 2002,7 Mar 2006,Silverbrook Research Pty Ltd,Signature capture via interface surface using processing sensor
US7011128,3 Sep 2004,14 Mar 2006,Silverbrook Research Pty Ltd,Printer with binding assembly
US7012710,12 Nov 2002,14 Mar 2006,Silverbrook Research Pty Ltd,Method and system for delivery of mail using coded marks
US7014123,19 Jul 2004,21 Mar 2006,Silverbrook Research Pty Ltd,Machine readable coded data with distributed encoding
US7015900,12 Nov 2002,21 Mar 2006,Silverbrook Research Pty Ltd,Hand-drawing capture via interface surface and sensor with identifier
US7015901,21 Oct 2002,21 Mar 2006,Silverbrook Research Pty Ltd,Universal pen with code sensor
US7016084 *,30 Jun 2002,21 Mar 2006,Irving Tsai,Method and apparatus for linking designated portions of a received document image with an electronic address
US7017823,12 Nov 2004,28 Mar 2006,Silverbrook Research Pty Ltd,Region encoding using a plurality of tags
US7017826,19 Jul 2004,28 Mar 2006,Silverbrook Research Pty Ltd,Machine readable coded data with target features
US7019319,20 Sep 2004,28 Mar 2006,Silverbrook Research Pty Ltd,"Viewer configured to display, and method of displaying, information on a display to at least partially take into account a position of the viewer relative to a surface"
US7024016,24 Apr 2001,4 Apr 2006,Digimarc Corporation,Digital watermarking apparatus and methods
US7025276,12 Nov 2004,11 Apr 2006,Silverbrook Research Pty Ltd,Region encoding using substantially undifferentiated marks
US7027038,6 Aug 2001,11 Apr 2006,International Business Machines Corporation,System and method for locating on a physical document items referenced in another physical document
US7031010,12 Nov 2002,18 Apr 2006,Silverbrook Research Pty Ltd,Method and system for delivery of mail using processing sensor
US7036918,25 Jul 2002,2 May 2006,Silverbrook Research Pty Ltd,Inkjet cartridge including multiple inks at atmospheric pressure
US7038066,10 Aug 2001,2 May 2006,Silverbrook Research Pty Ltd,Dibenzoflourenone based chromophores
US7038797,23 May 2000,2 May 2006,Silverbrook Research Pty Ltd,Method and system for delivery of mail
US7041916,12 Nov 2002,9 May 2006,Silverbrook Research Pty Ltd,Orientation sensing device with processor
US7043096,18 Oct 2004,9 May 2006,Silverbrook Research Pty Ltd,Contact sensing device
US7044363,12 Nov 2002,16 May 2006,Silverbrook Research Pty Ltd,Method and system for collaborative document markup using processing sensor
US7044381,12 Jan 2005,16 May 2006,Silverbrook Research Pty Ltd,Method of interacting with interactive printed advertisements
US7048178,12 Nov 2002,23 May 2006,Silverbrook Research Pty Ltd,Computer system control via interface surface and sensor with identifier
US7051086,9 Mar 2001,23 May 2006,Digimarc Corporation,Method of linking on-line data to printed documents
US7051271,31 May 2000,23 May 2006,"Fuji Xerox Co., Ltd.","Method, system and article of manufacture for linking a video to a scanned document"
US7055739,23 May 2000,6 Jun 2006,Silverbrook Research Pty Ltd,Identity-coded surface with reference points
US7057608 *,12 Nov 2002,6 Jun 2006,Silverbrook Research Pty Ltd,Computer system interface surface with reference points and coded marks
US7062651,23 May 2000,13 Jun 2006,Silverbrook Research Pty Ltd,Network printer registration protocol
US7064851,25 Nov 2000,20 Jun 2006,Silverbrook Research Pty Ltd,Printer with vacation mode
US7068382,23 May 2000,27 Jun 2006,Silverbrook Research Pty Ltd,Interactive printer provider
US7068389,12 Nov 2002,27 Jun 2006,Silverbrook Research Pty Ltd,Relay device for use with sensor with identifier
US7070110,2 Apr 2004,4 Jul 2006,Silverbrook Research Pty Ltd,Hand-wearable coded data reader
US7077333,6 Jul 2004,18 Jul 2006,Silverbrook Research Pty Ltd,Position-identifying coded pages
US7079712,23 May 2000,18 Jul 2006,Silverbrook Research Pty Ltd,Method and system for providing information in a document
US7080780,17 Feb 2005,25 Jul 2006,Silverbrook Research Pty Ltd,Computer software interface
US7082562,12 Apr 2002,25 Jul 2006,Silverbrook Research Pty Ltd,Cyclic position codes
US7088459,23 May 2000,8 Aug 2006,Silverbrook Research Pty Ltd,Method and system for providing a copy of a printed page
US7091344,10 Aug 2001,15 Aug 2006,Silverbrook Research Pty Ltd,Infrared chromophores
US7091960,25 Nov 2000,15 Aug 2006,Silverbrook Research Pty Ltd,Code sensor attachment for pen
US7093923,19 Oct 2001,22 Aug 2006,Silverbrook Research Pty Ltd,Printhead for pen
US7093991,11 Sep 2003,22 Aug 2006,Silverbrook Research Pty Ltd,Combined printer and binder
US7094910,10 Aug 2001,22 Aug 2006,Silverbrook Research Pty Ltd,Bridged diarylpolymethine chromophores
US7096199,17 May 2004,22 Aug 2006,Silverbrook Research Pty Ltd,System for remotely controlling an aspect of a function of apparatus
US7097094,2 Apr 2004,29 Aug 2006,Silverbrook Research Pty Ltd,Electronic token redemption
US7097106,2 Apr 2004,29 Aug 2006,Silverbrook Research Pty Ltd,Handheld laser scanner
US7099019,10 Aug 2001,29 Aug 2006,Silverbrook Research Pty Ltd,Interface surface printer using invisible ink
US7102772,23 May 2000,5 Sep 2006,Silverbrook Research Pty Ltd,Method and system for delivery of a facsimile
US7105753,25 Nov 2000,12 Sep 2006,Silverbrook Research Pty Ltd,Orientation sensing device
US7106888,23 May 2000,12 Sep 2006,Silverbrook Research Pty Ltd,Signature capture via interface surface
US7108192,4 Dec 2002,19 Sep 2006,Silverbrook Research Pty Ltd,Rotationally symmetric tags
US7110126,20 Oct 2000,19 Sep 2006,Silverbrook Research Pty Ltd,Method and system for the copying of documents
US7111791,9 Apr 2003,26 Sep 2006,Silverbrook Research Pty Ltd,Symmetric tags
US7113615,13 Feb 2003,26 Sep 2006,Digimarc Corporation,Watermark embedder and reader
US7118025,12 Nov 2002,10 Oct 2006,Silverbrook Research Pty Ltd,Computer system control via interface surface and processing sensor
US7120853,11 Oct 2001,10 Oct 2006,Silverbrook Research Pty Ltd.,Cyclic position codes
US7122685,10 Aug 2001,17 Oct 2006,Silverbrook Research Pty Ltd,Dibenzoanthraquinone based chromophores
US7123239,23 May 2000,17 Oct 2006,Paul Lapstun,Computer system control with user data via interface surface
US7123245,15 Sep 2004,17 Oct 2006,Silverbrook Research Pty Ltd,Computer system for providing user interaction via an interface surface
US7125098,21 Oct 2004,24 Oct 2006,Silverbrook Research Pty Ltd,Printhead suitable for a universal pen
US7128265,2 Apr 2004,31 Oct 2006,Silverbrook Research Pty Ltd,Orientation determination
US7128270,2 Apr 2004,31 Oct 2006,Silverbrook Research Pty Ltd,Scanning device for coded data
US7131058,20 Oct 2000,31 Oct 2006,Silverbrook Research Pty Ltd,Method and system for device control
US7131596,2 Apr 2004,7 Nov 2006,Silverbrook Research Pty Ltd,Symmetric data tags
US7131724,4 Dec 2002,7 Nov 2006,Silverbrook Research Pty Ltd,Cartridge for an electronic pen
US7132612,12 Nov 2002,7 Nov 2006,Silverbrook Research Pty Ltd,Orientation sensing device for use with coded marks
US7133557,12 Nov 2002,7 Nov 2006,Silverbrook Research Pty Ltd,Signature capture via interface surface and sensor with identifier
US7134598,26 May 2004,14 Nov 2006,Silverbrook Research Pty Ltd,Computer system for interfacing with a coded surface
US7134601,25 Oct 2004,14 Nov 2006,Silverbrook Research Pty Ltd,Method of generating a user interface for a computer system
US7137549,2 Apr 2004,21 Nov 2006,Silverbrook Research Pty Ltd,Token redemption
US7137566,2 Apr 2004,21 Nov 2006,Silverbrook Research Pty Ltd,Product identity data
US7139431,12 Nov 2002,21 Nov 2006,Silverbrook Research Pty Ltd,Signature capture via interface surface with coded marks
US7142728,17 May 2002,28 Nov 2006,Science Applications International Corporation,Method and system for extracting information from a document
US7148499,4 Mar 2005,12 Dec 2006,Silverbrook Research Pty Ltd,Device for interacting with an interface surface
US7148644 *,23 Feb 2004,12 Dec 2006,Silverbrook Research Pty Ltd,Marking robot
US7149347,2 Mar 2000,12 Dec 2006,Science Applications International Corporation,Machine learning of document templates for data extraction
US7150396,25 Oct 2004,19 Dec 2006,Silverbrook Research Pty Ltd,User interface for a networked printer and computer system
US7150398,2 Apr 2004,19 Dec 2006,Silverbrook Research Pty Ltd,Multi-angle laser scanner
US7150404,30 Jun 2000,19 Dec 2006,Silverbrook Research Pty Ltd,Method and system for listing classified advertising
US7156289,9 Apr 2003,2 Jan 2007,Silverbrook Research Pty Ltd,Methods and systems for object identification and interaction
US7156292,2 Apr 2004,2 Jan 2007,Silverbrook Research Pty Ltd,Validating competition entry
US7159777,2 Apr 2004,9 Jan 2007,Silverbrook Research Pty Ltd,Transparent conveyor for check-out scanning
US7159784,15 Jan 2004,9 Jan 2007,Silverbrook Research Pty Ltd,Method and system for searching classified advertising
US7162088,20 Sep 2004,9 Jan 2007,Silverbrook Research Pty Ltd,Notetaking method incorporating coded data sensor
US7162222,12 Nov 2002,9 Jan 2007,Silverbrook Research Pty Ltd,Method and system for telephone control using sensor with identifier
US7162259,12 Nov 2002,9 Jan 2007,Silverbrook Research Pty Ltd,Method and system for telephone control using processing sensor
US7162269,12 Nov 2002,9 Jan 2007,Silverbrook Research Pty Ltd,Method and system for telephone control using coded marks
US7162442,16 Oct 2003,9 Jan 2007,Silverbrook Research Pty Ltd,Method and system for submitting bids using coded forms
US7167270,27 Sep 2004,23 Jan 2007,Silverbrook Research Pty Ltd,Method for interacting with an internet webpage via a corresponding printed page
US7170499,23 May 2000,30 Jan 2007,Silverbrook Research Pty Ltd,Handwritten text capture via interface surface
US7171018,15 May 2002,30 Jan 2007,Digimarc Corporation,Portable devices and methods employing digital watermarking
US7173722,23 May 2000,6 Feb 2007,Silverbrook Research Pty Ltd,Method and system for printing a photograph
US7174056,6 Jul 2004,6 Feb 2007,Silverbrook Research Pty Ltd,Providing information in a document
US7174329,12 Nov 2004,6 Feb 2007,Silverbrook Research Pty Ltd,Method of searching stored information using an interactive search request form
US7175079,25 Nov 2000,13 Feb 2007,Silverbrook Research Pty Ltd,Method and system for online purchasing
US7175089,2 Apr 2004,13 Feb 2007,Silverbrook Research Pty Ltd,Face determination
US7177054,13 Oct 2004,13 Feb 2007,Silverbrook Research Pty Ltd,Interactive printer
US7178718,9 Apr 2003,20 Feb 2007,Silverbrook Research Pty Ltd,Methods and systems for object identification and interaction
US7178719,2 Apr 2004,20 Feb 2007,Silverbrook Research Pty Ltd,Facilitating user interaction
US7180507,25 Jul 2005,20 Feb 2007,Silverbrook Research Pty Ltd,User interaction with hand-drawing software via interface surface
US7180609,8 Nov 2004,20 Feb 2007,Silverbrook Research Pty Ltd,Printer for printing an interface onto a surface using a complementary ink set
US7181448,5 Nov 2004,20 Feb 2007,Silverbrook Research Pty Ltd,Method of enabling internet-based requests for information
US7182247,25 Nov 2000,27 Feb 2007,Silverbrook Research Pty Ltd,Coded surface with function flags
US7187370,24 Sep 2004,6 Mar 2007,Silverbrook Research Pty Ltd,Method for sensing the orientation of an object
US7188769,2 Apr 2004,13 Mar 2007,Silverbrook Research Pty Ltd,Laser scanner using rotating holographic optical element
US7188930,15 Aug 2005,13 Mar 2007,Silverbrook Research Pty Ltd,Nozzle array for pen printhead
US7190346,24 Jan 2005,13 Mar 2007,Silverbrook Research Pty Ltd,Software interaction using an interface surface
US7190474,20 Oct 2000,13 Mar 2007,Silverbrook Research Pty Ltd,Method and system for advertising
US7190491,11 Sep 2003,13 Mar 2007,Silverbrook Research Pty Ltd,Interactive publication printer and binder
US7197374,2 Apr 2004,27 Mar 2007,Silverbrook Research Pty Ltd,Robotic assembly
US7200591,27 Dec 2004,3 Apr 2007,Silverbrook Research Pty Ltd,Method for transferring search results using a printer
US7202959,9 Jan 2006,10 Apr 2007,Silverbrook Research Pty Ltd,Printer for actuated printing of visible and invisible data
US7204941,2 Apr 2004,17 Apr 2007,Silverbrook Research Pty Ltd,Water-based dithiolene infrared inkjet inks
US7207483,2 Apr 2004,24 Apr 2007,Silverbrook Research Pty Ltd,Shopping receptacle with in-built user interface
US7207485,2 Apr 2004,24 Apr 2007,Silverbrook Research Pty Ltd,Automatic packaging system
US7209573,3 Jun 2005,24 Apr 2007,Digimarc Corporation,Substituting images in copies based on digital watermarks
US7212572 *,23 Jul 2002,1 May 2007,"Monolith Co., Ltd.",Image coding method and apparatus and image decoding method and apparatus
US7213756,27 Jul 2005,8 May 2007,Silverbrook Research Pty Ltd,Interface surface for user interaction with a computer system via a sensing device
US7216224,12 Nov 2002,8 May 2007,Silverbrook Research Pty Ltd,Method and system for user registration using processing sensor
US7218978,13 Aug 2004,15 May 2007,Silverbrook Research Pty Ltd,System for retrieving and playing MP3 files
US7221781,11 Apr 2005,22 May 2007,Silverbrook Research Pty Ltd,System for registering a user with a sensing device using a form
US7222098 *,12 Nov 2002,22 May 2007,Silverbrook Research Pty Ltd,Method and system for online payments using sensor with identifier
US7225402,12 Dec 2005,29 May 2007,Silverbrook Research Pty Ltd,Method and system for capturing a note-taking session
US7225979,9 Apr 2003,5 Jun 2007,Silverbrook Research Pty Ltd,Methods and systems for object identification and interaction
US7227527,12 Nov 2002,5 Jun 2007,Silverbrook Research Pty Ltd,Handwritten text capture via interface surface and processing sensor
US7231293,28 Oct 2004,12 Jun 2007,Silverbrook Research Pty Ltd,Method and assembly for determining a route
US7233320 *,23 May 2000,19 Jun 2007,Silverbrook Research Pty Ltd,Computer system interface surface with reference points
US7233924,30 Jun 2000,19 Jun 2007,Silverbrook Research Pty Ltd,Method and system for submitting bids
US7243835,2 Apr 2004,17 Jul 2007,Silverbrook Research Pty Ltd,Competition entry via label
US7243849,2 Apr 2004,17 Jul 2007,Silverbrook Research Pty Ltd,Handheld coded data reader
US7245294,24 Sep 2004,17 Jul 2007,Silverbrook Research Pty Ltd,Method for sensing the orientation of an object
US7245760 *,26 Jun 2006,17 Jul 2007,Silverbrook Research Pty Ltd,Robot for making an interface surface
US7249901,15 Jul 2005,31 Jul 2007,Silverbrook Research Pty Ltd,Systems and methods for printing by using a position-coding pattern
US7251050,2 Apr 2004,31 Jul 2007,Silverbrook Research Pty Ltd,Limited return messaging
US7258435,16 Dec 2004,21 Aug 2007,Silverbrook Research Pty Ltd,Inkjet printer with a media tray for sheets of print media and an ink cartridge
US7259884,20 Sep 2004,21 Aug 2007,Silverbrook Research Pty Ltd,Computer system for delivering a brochure including coded data
US7263225,12 Aug 2005,28 Aug 2007,Silverbrook Research Pty Ltd,Information management system with authenticity check
