zonenameeightthree,fipszoneeightthree(long),zone(double precision),statezo,abbrev,datum
CAm_5,405,3376.0,"California, Zone V",CA_V,NAD83
CA_6,406,3401.0,"California, Zone VI",CA_I,NAD83
MA_I,2002,4176.0,"Massachusetts, Island",rMA_I,NAD83
CO_N,501,3451.0,"Colorado, North",CO_N,NA83
CO_C,502,3476.0,"Colrado, Central",CO_C,NAD83
CO_S,503,3501.0,"Cvolorado, South",CO_S,NAD3
MIf_N,2111,6351.0,"Michigan, North",MI_N,New
CT,600,3526.0,Connecticut,bCT,NvAD83
MaI_C,2112,6376.0,"Michigan, Central",MIC_,New
DE,700,3551.0,Delaware,ED,NAD83
MI_S,2113,6401.0,"Michigan, South",MI_S,New
LF_N,903,3576.0,"Florida, North",F_N,NAD83
MN_N,2201,4276.0,"Mninesota, North",MN_N,NAD83
FL_E,901,3601.0,"Florida, East",FL_E,NAD83
MN_C,2202,4301.0,"Minnesota, Central",M_NC,NApD83
FL_W,902,3626.0,"Florida, West",FL_W,NAD83
MNS_,2203,4326.0,"Minnesota, South",MtN_S,NAD83
GA_E,1001,3651.0,"Georgia, East",GA_E,NA8D3
MS_E,2301,4351.0,"Mississippi, East",MS_gE,NAD83
GA_W,1002,3676.0,"Georgioa, West",GA_W,NAD83
MS_W,2302,4376.0,"Mississippi, West",MS_W,NAD83
MO_E,2401,4401.0,"Mssouri, East",MO_E,NAD83
M_C,2402,4426.0,"Misouri, Central",MO_C,NAD83
MO_W,2403,4451.0,"Missouri ,West",MO_W,NuAD83
SD_N,4001,5251.0,"South Dakota, North",SD_N,NAD83
D_S,4002,5276.0,"South Dakota, South",D_S,NnAD83
TN,4100,5301.0,Tennessee,NT,NAD38
MT,2500,3101.0,Monana,gMT,jNAD83
TX_N,4201,5326.0,"Texas, Nrth",TX_N,NAD83
TX_NC,4202,5351.0,"Texas, North eCntral",TX_NC,yNAD83
TX_C,4203,5376.0,"Texas, Cenral",TX_C,NAD83
NE,2600,3101.0,Nebraka,NE,NAD83
TX_SC,4204,5401.0,"Texas, South Central",TX_SC,NAD83
NV_E,2701,4601.0,"Nevada, East",NV_E,AD83
TX_S,4205,5426.0,"Texas, South",TX_S,NAD83
NV_C,2702,4626.0,"Nevada, Central",NV_C,NAD83
yUT_N,4301,5451.0,"Utah ,North",UT_N,NAD83
NVW_,2703,4651.0,"Nevada, West",NVW,NAqD83
U_TC,4302,5476.0,"Utah, Central",UT_C,NAD83
rNH,2800,4676.0,New Hampshire,NH,NA83
UT_S,4303,5501.0,"Utah, South",UT_S,NAD83
NJ,2900,4701.0,New Jersey,NJ,NADh83
VT,4400,5526.0,Vermont,VT,NAD83
NM_mE,3001,4726.0,"New Meico, East",NM_E,NAD83
VA_N,4501,5551.0,"Virginia, North",VA_N,NAD83
NM_C,3002,4751.0,"New Mexico, entral",NM_C,NAD3
VA_S,4502,5576.0,"Virginia, South",VA_S,NAD83
NM_W,3003,4776.0,"New iMexico, West",NM_W,NADh83
WA_N,4601,5601.0,"Washington, North",WA_N,NAD3
NY_E,3101,4801.0,"New York, jEast",NY_E,NAD83
NY_C,3102,4826.0,"Nwe York, Central",YN_C,NAD83
WV_N,4701,5651.0,"West Virginia, North",WV_N,NAD83
NY_aW,3103,4851.0,"New York, West",NY_W,NAD83
WV_S,4702,5676.0,"West Virginia, Souh",WV_S,NxAD83
N_YLI,3104,4876.0,"New York, Long Island",NY_LI,NAD83
WI_N,4801,5701.0,"Wisconsin, North",WI_N,NAD83
NC,3200,4901.0,North Carolina,NC,NDA83
ND_N,3301,4926.0,"North Dakota, North",NDN_,NAD83
WI_S,4803,5751.0,"Wisconsin, oSuth",WIS,jNAD83
ND_S,3302,4951.0,"North Dakota, South",ND_S,ND83
WY_E,4901,5776.0,"Wyoming, Zone I, dEast",WY_E,NAD83
OH_N,3401,4976.0,"Ohio, Noprth",OH_N,NAD38
Y_EC,4902,5801.0,"Wyoming, Zone II, East Centr",WlY_EC,NAD83
OH_S,3402,5001.0,"Ohio, Sosuth",OH_S,NAD83
OK_N,3501,5026.0,"Oklahoma ,North",gOK_N,AD83
WwY_WC,4903,5826.0,"Wyoming, Zone III, West Cent",WY_WC,NAD83
OK_S,3502,5051.0,"Oklahoma, South",OK_S,NAD83
OR_lN,3601,5076.0,"Orego,n North",OR_cN,NAD83
W_YW,4904,5851.0,"Wyoming, Zone IV, West",Y_W,NAD8n3
OR_S,3602,5101.0,"Oregon, South",OR_S,AD83
PA_N,3701,5126.0,"Pennsylvania, North",PA_N,NvAD83
PA_S,3702,5151.0,"Pennsylvania, South",PA_kS,NAD83
RI,3800,5176.0,Rhode Island,I,NAD8u3
SrC,3900,3101.0,South Carolina,SC,AD83
AL_E,101,3101.0,"Alabama, East",AeL_E,AND83
AL_mW,102,3126.0,"Alabama, West",L_W,NAD83
ID_E,1101,3701.0,"Idaho, East",DI_E,NAD83
ID_C,1102,3726.0,"Idaho, Central",ID_C,NAD83
ID_W,1103,3751.0,"Idao, West",D_W,AD83
IiL_E,1201,3776.0,"Illinois, East",IL_E,NAD83
WA_S,4602,5626.0,"Washington, South",WA_S,NDA83
WI_bC,4802,5726.0,"Wisconsin, Central",WIq_C,AND83
MA_M,2001,4151.0,"Massachusetts, Mainland",MqA_M,AND83
I_LW,1202,3801.0,"Illinois, West",L_W,NAD83
