zonenameeightthree,fipszoneeightthree,zone,statezo,abbrev,datum
NM_C,3002,4751.0,"New Mexico, Central",NM_C,NAD83
VA_S,4502,5576.0,"Virginia, South",VA_S,NAD83
NM_W,3003,4776.0,"New Mexico, West",NM_W,NAD83
WA_N,4601,5601.0,"Washington, North",WA_N,NAD83
NY_E,3101,4801.0,"New York, East",NY_E,NAD83
NY_C,3102,4826.0,"New York, Central",NY_C,NAD83
WV_N,4701,5651.0,"West Virginia, North",WV_N,NAD83
NY_W,3103,4851.0,"New York, West",NY_W,NAD83
WV_S,4702,5676.0,"West Virginia, South",WV_S,NAD83
NY_LI,3104,4876.0,"New York, Long Island",NY_LI,NAD83
WI_N,4801,5701.0,"Wisconsin, North",WI_N,NAD83
NC,3200,4901.0,North Carolina,NC,NAD83
ND_N,3301,4926.0,"North Dakota, North",ND_N,NAD83
WI_S,4803,5751.0,"Wisconsin, South",WI_S,NAD83
ND_S,3302,4951.0,"North Dakota, South",ND_S,NAD83
WY_E,4901,5776.0,"Wyoming, Zone I, East",WY_E,NAD83
OH_N,3401,4976.0,"Ohio, North",OH_N,NAD83
WY_EC,4902,5801.0,"Wyoming, Zone II, East Centr",WY_EC,NAD83
OH_S,3402,5001.0,"Ohio, South",OH_S,NAD83
OK_N,3501,5026.0,"Oklahoma, North",OK_N,NAD83
WY_WC,4903,5826.0,"Wyoming, Zone III, West Cent",WY_WC,NAD83
OK_S,3502,5051.0,"Oklahoma, South",OK_S,NAD83
OR_N,3601,5076.0,"Oregon, North",OR_N,NAD83
WY_W,4904,5851.0,"Wyoming, Zone IV, West",WY_W,NAD83
OR_S,3602,5101.0,"Oregon, South",OR_S,NAD83
PA_N,3701,5126.0,"Pennsylvania, North",PA_N,NAD83
PA_S,3702,5151.0,"Pennsylvania, South",PA_S,NAD83
RI,3800,5176.0,Rhode Island,RI,NAD83
SC,3900,3101.0,South Carolina,SC,NAD83
AL_E,101,3101.0,"Alabama, East",AL_E,NAD83
AL_W,102,3126.0,"Alabama, West",AL_W,NAD83
ID_E,1101,3701.0,"Idaho, East",ID_E,NAD83
ID_C,1102,3726.0,"Idaho, Central",ID_C,NAD83
ID_W,1103,3751.0,"Idaho, West",ID_W,NAD83
IL_E,1201,3776.0,"Illinois, East",IL_E,NAD83
WA_S,4602,5626.0,"Washington, South",WA_S,NAD83
WI_C,4802,5726.0,"Wisconsin, Central",WI_C,NAD83
MA_M,2001,4151.0,"Massachusetts, Mainland",MA_M,NAD83
IL_W,1202,3801.0,"Illinois, West",IL_W,NAD83
