year,state,hai,operative_procedure,facid_one,facility_name_one,facid_two,facility_name_two,facid_three,facility_name_three,county,procedure_count,infection_count,sir,comparison,sir_nine_fivecill,sir_nine_fiveciul,notes
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,230000405,.,Butte,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000011,Bakersfield Heart Hospital,060000936,.,.,.,Orange,24.0,0.0,NULL,NULL,NULL,NULL,† See data dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000093,"Fremont Medical Center, Yuba City",090000839,"Rideout Memorial Hospital, Marysville",.,.,Sutter-Yuba,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,San Luis Obispo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000093,Glendale Memorial Hospital and Health Center,.,.,.,v.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,"Arrowhead Regional Medical Center, Colton",220000002,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000153,Bakersfield Memorial Hospital,070000154,"Mission Oaks Hospital, Los Gatos",.,.,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Grossmont Hospital, La Mesa",.,.,.,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Arrowhead Regional Medical Center, Colton",090000839,.,.,.,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,Bakersfield Memorial Hospital,060001022,"Hoag Hospital, Irvine",.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Los Angeles,30.0,0.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000022,"John Muir Medical Center, Concord",.,.,.,.,Contra Costa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Solano,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000022,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Arrowhead Regional Medical Center, Colton",090000839,Kaiser Foundation Hospital-Lakeview Medical Center,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Kaiser Foundation Hospital, Antioch",.,.,.,***,Contra Costa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,"Kaiser Foundation Hospital, Fontana",.,.,.,.,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000004,"Kaiser Foundation Hospital, Fresno",.,m.,.,.,Fresno,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,Glendale Memorial Hospital and Health Center,140001086,"Kaiser Foundation Hospital, Fremont",.,.,Alameda,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Kaiser Foundation Hospital, Los Angeles",.,l.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Arrowhead Regional Medical Center, Colton",140000191,"Kaiser Foundation Hospital, Richmond Campus",.,.,Alameda-Contra Costa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Kaiser Foundation Hospital, Riverside",.,.,.,.,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000022,"Kaiser Foundation Hospital, Roseville",.,.,.,.,Placer,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,"Kaiser Foundation Hospital, Sacramento",.,.,.,.,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Kaiser Foundation Hospital, San Diego",.,.,.,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Kaiser Foundation Hospital, San Francisco",.,"California Pacific Medical Center, CA West Campus  Hospital, SF",.,.,San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,,.,.,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,,.,.,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Kaiser Foundation Hospital, Santa Rosa",.,.,.,s.,Sonoma,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Kaiser Foundation Hospital, South Sacramento",090000839,.,.,.,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Contra Costa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Keck Hospital of USC, Los Angeles",220000002,.,.,,Los Angeles,21.0,1.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,***,.,.,Kern,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000040,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,l.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"LAC/Harbor-UCLA Medical Center, Torrance",090000839,.,.,.,Los Angeles,23.0,1.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,Lakewood Regional Medical Center,.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Community Regional Medical Center, Fresno",090000839,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,.,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120000338,Loma Linda University Medical Center - Murrieta,.,.,.,,Riverside,21.0,0.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Los Angeles,22.0,0.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,,.,y.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,Los Angeles Community Hospital,.,Norwalk Community Hospital,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000137,"Eisenhower Medical Center, Rancho Mirage",.,"Los Robles Hospital & Medical Center, E  , Thousand Oaks",050001468,.,Ventura,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,.,s.,Santa Clara,22.0,0.0,NULL,NULL,NULL,NULL,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Marian Regional Medical Center, Arroyo Grande",.,,.,.,San Luis Obispo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,110000953,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,y.,Marin,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Memorial Medical Center, Modesto",.,.,.,.,Stanislaus,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,t.,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Mercy Hospital, Bakersfield",.,"Mercy Southwest Hospital, Bakersfield",.,.,Kern,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,Mercy Medical Center Redding,.,.,.,,Shasta,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Community Regional Medical Center, Fresno",220000004,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,s.,San Mateo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000060,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,q.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"O'connor Hospital, San Jose",.,.,.,***,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Orange Coast Memorial Medical Center, Fountain Valley",.,,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000153,"Antelope Valley Hospital, Lancaster",630013873,"Palomar Medical Center, Escondido",.,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Pomona Valley Hospital Medical Center, Pomona",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Presbyterian Intercommunity Hospital, Whittier",.,.,.,,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Providence Holy Cross Medical Center, Mission Hills",.,,.,y.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000027,"Providence Little Company of Mary Medical Center, Torrance",.,,.,,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000101,"Providence Saint Joseph Medical Center, Burbank",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Providence Tarzana Medical Center, Tarzana",.,.,w.,,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,110000041,Bakersfield Heart Hospital,.,.,,,Napa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Rady Children's Hospital, San Diego",.,.,***,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000002,Regional Medical Center of San Jose,.,.,.,,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,250000049,Riverside Community Hospital,.,.,.,***,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,250000050,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,***,.,.,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Ronald Reagan UCLA Medical Center, Los Angeles",k.,.,.,,Los Angeles,25.0,0.0,0.0,No Difference,0.0,2.91,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000137,"Antelope Valley Hospital, Lancaster",060000064,.,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,40000126,"Saint Agnes Medical Center, Fresno",***,.,.,.,Fresno,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000128,"Saint Francis Medical Center, Lynwood",,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000029,Bakersfield Memorial Hospital,b.,.,.,.,San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000100,"Saint John's Health Center, Santa Monica",.,***,.,b.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000104,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,m.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000002,"San Antonio Community Hospital, Upland",.,.,.,***,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000019,San Francisco General Hospital,.,.,.,.,San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"San Joaquin Community Hospital, Bakersfield",090000839,.,i.,.,Kern,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,630013913,San Leandro Hospital,.,.,v.,v.,Alameda,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,San Ramon Regional Medical Center,140000683,.,.,.,Contra Costa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000093,"Antelope Valley Hospital, Lancaster",050000022,Cottage Rehabilitation Hospital at Santa Barbara,.,p.,Santa Barbara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000149,"Santa Clara Valley Medical Center, San Jose",.,.,.,***,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,140001268,Santa Rosa Memorial Hospital,.,.,.,,Sonoma,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,"Antelope Valley Hospital, Lancaster",.,.,.,***,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Scripps Memorial Hospital, La Jolla",.,.,.,***,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,40000101,"Antelope Valley Hospital, Lancaster",090000016,Scripps Mercy Hospital Chula Vista,.,z.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000025,"Sequoia Hospital, Redwood City",.,"California Pacific Medical Center, CA West Campus  Hospital, SF",.,z.,San Mateo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000026,"Community Regional Medical Center, Fresno",220000028,.,.,.,San Mateo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,Sharp Chula Vista Medical Center,.,.,.,,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,80000036,"Arrowhead Regional Medical Center, Colton",.,.,.,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,230000016,"Shasta Regional Medical Center, Redding",.,"California Pacific Medical Center, CA West Campus  Hospital, SF",.,***,Shasta,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000011,Sherman Oaks Hospital,.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,50000031,"Sierra Vista Regional Medical Center, San Luis Obispo",b.,.,***,.,San Luis Obispo,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000015,Southern California Hospital at Culiver City,.,***,.,,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,250000507,"Southwest Healthcare Systems, Murrieta",250000344,"Southwest Healthcare Systems, Wildomar",.,.,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000103,St Bernardine Medical Center,***,.,.,.,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,110000058,Bakersfield Heart Hospital,***,.,.,***,Napa,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,50000035,"St John's Regional Medical Center, Oxnard",m.,.,.,***,Ventura,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,110000067,"St Joseph Hospital, Eureka",.,.,.,.,Humboldt,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000067,"St Joseph Hospital, Orange",.,.,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,30000143,St Joseph's Medical Center of Stockton,***,.,u.,***,San Joaquin,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"St Jude Medical Center, Fullerton",.,.,,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000104,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000030,"St Mary's Medical Center, San Francisco",.,.,.,.,San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70001357,"Stanford Hospital, Stanford",.,.,,.,Santa Clara,30.0,0.0,0.0,No Difference,0.0,2.29,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,30000117,"Sutter General Hospital, Sacramento",030000112,.,.,***,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,30000134,Bakersfield Heart Hospital,.,"Alvarado Hospital Medical Center, Campus #2, San Diego",,.,Placer,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
