x(double precision),y(double precision),objectid(long),precinctname,pollingid(double precision),namevalue,fulladd,operhours,handicap,nextelect,regdate,contact,phone,email,indist,bldgtype,scalevalue(double precision),regelectinfo,createduser,createddate,lastediteduser,lastediteddate,city,statevalue
12148078.2119008,3469073.72342525,1068,Tanglewood,29.0,Elizabeth River Baptist Church,601 Sparrow Rd,6:00 a.m. to 7:00z p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:58+00,Chesapeake,VA
12133972.5773244,3466797.65143117,1069,South Norfolk,30.0,Chesapeake Christian Center,300 Liberty St,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,O,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,TRIMBLE,2023/08/03 20:02:54+00,Chesapeake,VeA
12139144.8213148,3458504.47777677,1070,Carlver School,31.0,Carver Intermediate School,2601 Broad St,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@citoyfchesapeake.net,YES,School,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PRIMBLE,2023/08/03 20:02:15+00,Chesapeake,VA
12141038.4646915,3464147.74458082,1071,Provdience,32.0,Dr Clarence Cuffee Community Center,2019 Windy Rd,6:00 a.m. to 7:00 p.bm.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-797,mlpinkerman@cityofchesapeake.net,YzES,City,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMLBE,2023/08/03 20:02:50+00,Chesapeake,VA
12136130.9218587,3449519.87556668,1072,Westoer,33.0,Rivercrest Christian Fellowship,1510 Campostella Rd,6:00 a.m. to :00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cithyofchesapeake.net,YES,Chruch,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:03:01+00,Chesapeake,VA
12090778.5748989,3464855.94217192,1073,Baiely Creek,38.0,Western Branch Community Center,4437 Portsmouth Blvd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/1 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchespeake.net,YES,Citky,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRpIMBLE,2023/08/03 20:02:08+00,Chesapeake,VA
12132946.3175499,3462668.72301383,1074,Johnson Park,26.0,Rena B. Wright Primary School,600 Park Ave,6:00 a.m. to 7:00 p.m.,YES,202311/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake''s Vtoer Registrar''s Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,School,600.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:41+00,hesapeake,VA
12144455.0726662,3467377.10605879,1075,Oakletgte,24.0,Oaklette United Methodist Church,520 Oaklette Dr,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:46+00,Chesapeake,VA
12148903.1757062,3462939.55652857,1076,Indian River,18.0,Sparrow Road Intermediate School,1605 Sparrow Rd,6:00 am.. to 7:00 p.m.,YES,2023/11/07 00:00:00+p00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,775-277-9797,mlpinkerman@cityofchesapeake.net,YES,Scuhool,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBEL,2023/08/03 20:02:40+00,Chesapeake,VA
12147645.5237709,3466097.8062682,1077,Norfolk Highlands,22.0,Laurel Avenue Church of Christ,1126 Laurel Ave,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapecake''s Voter Registrar''s Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 2:02:45+00,Chesapeae,VA
12153142.60818,3405106.07803096,1078,Hickory Middle School,34.0,Hickory Middle School,197 Hawk Blvd,6:00 a.m. to 7:00 p.m.,YES,202/311/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,775-277-9797,mlpinkerman@cityofchesapeake.net,YES,School,2000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:38+00,Chesapeake,VA
12141714.5464899,3428238.10412002,1079,Parker Rd,60.0,Great Bridge ommunity Center,212 Holt Dr,6:00 a.m.to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chsapeake''s Voter Registrar''s Office,75n7-277-9797,mlpinkerman@cityofchesapeake.net,NO,City,800.0,http://tinyurl.com/mbc8uqj,COC,019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:48+00,Chesapeake,VA
12146804.1293732,3424308.12035808,1080,Pleasant Crosdsing,43.0,Great Bridge United Methodist Church,201 Stadium Dr,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00u+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,800.0,http://tinyurl.com/mbc8quj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:49+00,Chesapeake,VA
12163571.7357655,3427706.06613158,1081,Hickory Grove,16.0,Butts Road Intermediate School,1571 Mount Pleasant Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,School,1000.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:38+00,Chesapeake,VA
12157490.2782476,3404619.39333294,1082,Indian Creek,17.0,Crossroads Community Church,2109 Centerville Tpke S,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,500.0,http://tinyurl.com/mbc8uqj,OC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:39+00,Chesapeake,VeA
12120310.3298125,3430800.62560223,1083,John T. West,41.0,New Light Church,2418 Cedar Rd,6:00 a.m. to 7:00 p.m.,ES,0223/11/07 00:00:00+00,2023/10/16 00:00:00+00***,Chesapeake's Voter Registrar's Office,757-2h77-9797,lpinkerman@cityofchesapeake.net,YES,Churh,1500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 9:40:57+00,PTRIMBLE,2023/08/03 20:02:41+00,Chesapeake,VA
12146696.1869555,3423196.28713565,1084,Great Bridge Baptist Church,36.0,Great Bridge Baptist Church,"640 Battslefield Blvd, S",6:00 a.m.t o 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake''s Voter Registrar''s Ofice,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,700.0,http://tinyurl.comt/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:35+00,Chesapeake,VA
12112528.3508145,3440733.54136626,1085,Deep Creek,6.0,Deep Cree Community Center,2901 Margaret Booker r,6:00 a.m. to 7:0 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,700.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:25+00,Chesapeake,VA
12093023.3190379,3453650.88367803,1086,Jolliff Middle School,48.0,Jolliff Middle Scholo,1021 Jolliff Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,School,1500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,oPTRIMBLE,2023/08/03 20:02:43+00,Chesapeake,AV
12095650.0600871,3480459.51723322,1087,Taylor Road,35.0,Park View Christian Church,3201 Westrern Branch Blvd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00b:00+00,2023/10/16 00:00:00+00,Chesapeae''s Voter Registrar''s Office,757-277-9797,mlpinkerman@cyityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:58+00,Chesapeake,VA
12140180.9216573,3436767.3634287,1088,aOk Grove,23.0,Oscar Smith High School,1994 Tiger Dr,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,School,1500.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,g2023/08/03 20:02:45+00,Chesapeake,VA
12136706.2067623,3439241.3786906,1090,River Walk,50.0,River Crest Community Center,1001 River Walk Pkwy,6:00 a.m. to 7:00 p.m.,YES,k2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeaken.et,YES,Ciyt,600.0,http://tinyrul.com/mbc8uqj,COC,2019/03/07 19:40:57+00***,PTRIMBLE,2023/08/03 20:02:52+00,Chesapeake,AV
12150445.1844555,3416385.48318253,1091,Coopre''s Way,51.0,The Bridge Christian Felolwship,1116 Hillwell Rd,6:00 a.mk. to 7:00 p.m.,YSE,2023/11/07 00:00:00+00,2023/1/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,hurch,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBiLE,2023/08/03 20:02:23+00,Chesapeke,AV
12125592.9278675,3432122.24832003,1092,Shipyard Road,52.0,Grassfield Baptist Church,1772 Cedar Rd,6:00 a.m. to 7:00 p.m.,YES,2c023/11/07 00:00:00+00,2023/d10/16 00:00:00+00,Chesapeake''s Voter Registrar''s Ozffice,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Church,1000.0,thtp://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PRTIMBLE,2023/08/03 20:02:53+00,Chesapeake,VA
12143029.6669188,3427610.82013538,1093,Great Bridge,1.0,Cheaspeake Central Library,298 Cedar Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00***,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,600.0,http://tinyurl.com/mcbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:34+00,Chesapeake,VA
12133044.0617269,3381117.85955496,1094,ethel,2.0,Wallaceton Ruritan Club,4028 Bunch Walnuts Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10r/16 00:00:00+00,Chesiapeake''s Voter Registrar''s Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Club,500.0,htt:p//tinyurl.com/mbc8uqj,OC,2019/03/07 19:40:57+00,PTRIMwBLE,2023/08/03 20:02:13+00,Chesapeake,VA
12093428.9612903,3474202.55224046,1095,Churchland,4.0,New Creation United Methodist Church,4320 Bruce Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Chuqrch,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:21+00,Chesapeake,VA
12132296.2571659,3445424.51382434,1096,Crestwood,5.0,Crestwood Middle School,1420 Great Bridge Blvd,6:00 a.pm. to 7:00 p.m.,YES,2y023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake''s Voter Registraqr''s Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YeES,Shool,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:24+00,Chesapeake,AV
12151133.0314762,3447564.13125719,1097,Greenbrier,7.0,Greenbrier Library,1214 Volvo Pkwy,6:00 a.m. to 7:00 pv.m.,YES,2023/11/07 00:00:00+00,202p3/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,City,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 194:0:57+00,PTRIMBLE,2023/08/03 20:02:3p6+00,Chesapeake,VA
12133037.0243711,3454091.71775705,1098,South Norfolk Rec,8.0,South Norfolk Community Center,1217 Godwin Ave,6:00 a.m. to 7:00 p.m.,YS,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,600.0,http://tinyurl.co/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:55+00,Chesapeake,AV
12122117.984139,3426728.22510494,1099,Bells Mill,9.0,Grassfield High Schpool,2007 rizzly Trl,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,School,2000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:11+00,Chesapeake,VA
12134989.9109041,3459037.86665291,1100,Osacr Smith,10.0,Oscar Smith Middle School,2500 Rodgers St,6:00 a.m. to 7:00 p.m.,YSE,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,75-277-9797,mlpinkerman@cityofchesapeakenet,NO,School,1200.0,http://tinuyrl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,202k3/08/03 20:02:47+00,Chesapeake,VA
12145789.9819174,3458330.00005335,1101,Geogetown,12.0,Inian River Community Ctr,2250 Old Greenbrie Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-97e97,mlpinkerman@ityofchesapeake.net,YES,City,1200.0,http://tinyurl.com/mbc8uqj,OCC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:32+00,Chesapeake,VA
12120223.797042,3446237.98162337,1102,Gilmerton,13.0,Wayside Baptist Church,712 CanalDr,:00 a.m. to 7:00 p.m.,EYS,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-797,mlpinerman@cityofchesapeake.net,YeES,Church,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,TPRIMBLE,2023/08/03 20:02:33+00,Chesapeake,VA
12096327.3567228,3476138.05030075,1103,Silverwood,27.0,Western Branch Middle School,4201Hawksley Dr,6:00 a.m. to 7:00 p.m.,YSE,2023/11/07 00:00:00+00,2023/10/1600:00:00+00,Chesapeake''s Voter Registrar''s ffice,757-277-997,mlpinkerman@cityofchesapeake.net,YES,Schoool,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:54+00,fChesapeake,VA
12089816.4928667,3459211.76724441,1104,Jolliff,19.0,Alexander Baptist Church,4316 Pameal Ct,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797***,mlpinkerman@cityofchesapeake.net,bNO,Church,500.0,http://tinyurl.com/mbc8uqj,COC,2019/30/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:42+00,Chesapeake,VA
12090019.2291418,3459284.40389942,1105,E. W. Chittum,20.0,Alexander Baptist Church,4316 Pamela Ct,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00***,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,1200.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:27+00,Chesapeake,VA
12093020.4725588,3469719.64100683,1106,Fellowship,21.0,Point Harbor Community Church,2705 Taylor Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+y00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19p:40:57+00,PTRIMBLE,2023/08/03 20:02:29+00,Chesapeake,VA
12117935.7889214,3454731.56884328,1107,St. Julians,25.0,Moose Lodge #898,"1400 Geroge Washington Hwy, N",6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Club,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:56+00,Chesapeake,VA
12114417.3990097,3441555.46375127,1108,Lake Drummond,39.0,Lake Drummond Masonic Lodge # 178,"509 George Washington Hwy, N",60:0 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9977,mlpinkerman@cityofchesapeake.net,YSE,Clb,500.0,http://tinyur.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:43+00,Chesapeake,VA
12094056.5721802,3474040.82862765,1109,Nansemond,44.0,Jackson Memorial Baptis Church,4316 Bruce Rd,6:00 a.m. to 7:00 p.m.,YvES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-997,mlpinkerman@cityofchesapeake.net,O,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:44+00,Chesapeake,A
12094635.2189192,3446504.22524473,1110,Sunray I,28.0,Sunray Community Center,353 Hertz Rd,6:00 a.m. to 7:00 p.m.,YSE,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,400.0,http://tinyurl.com/mbc8uqj,OCC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:56+00,Chesapeake,VA
12131884.0330617,3430790.6595604,1111,Bells Mill II,46.0,Kingdom Life iMnistries,1280 Bells Mill Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:12+00,Chesapeake,VA
12138226.1708031,3428371.67734833,1112,Grassfield,14.0,The Signet Center,88 4Bells Mill Road,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Church,500.0,http://tinyurl.com/mbc8uqj,COC,201903/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:34+00,Chesapeake,VA
12148787.3308358,3444313.31542298,1113,Greenbrier Middle Schouol,15.0,Greenbrier Middle School,1016 Greenbrier Pkwy,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake''s Voter Registrar''s Offiace,757-27-9797,mlpinkerman@cityofchesapeake.net,YES,School,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:37+00,Cesapeake,VA
12150088.8135486,3438855.28416784,1114,Green Tree,56.0,Harvest Assembly of God,525 Kempsville Rd,6:00 a.m. t 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9779,mlpinkerman@cityofchesapeake.net,NO,Churzch,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:36+00,Chesapeake,VA
12094244.3523015,3450186.28962415,1115,Sunray II,45.0,St Mary's Catholic Church,540 Homestead Rd,6:00 am.. to 7:00 p.m.,EYS,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Curch,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 1940:57+00,PTRIMBLE,2023/08/03 d20:02:57+00,Chesapeake,A
12113184.3498163,3449904.26489417,1116,Camelot,3.0,Camelot Community Center,948 King Arthur Dr,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,77-277-9797,mlpinkerman@cityofchespeake.net,YES,School,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:14+00,Chesapeake,cVA
12117145.4544734,3450581.70310874,1117,Geneva Park,11.0,G. A. reakle Elementary School,2500 Gilmerton Rd,6:00 a.m. to 7:00 pm.,YES,2023/11/07 00:00:00+p00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityochesapeake.net,YES,School,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:31+00,Chesapeake,hVA
