Rank,Country,(BBL),Date of Information
79,Austria,"48,500,000",1 January 2014 est.
80,Japan,"44,120,000",1 January 2014 est.
81,Kyrgyzstan,"40,000,000",1 January 2014 est.
82,Georgia,"35,000,000",1 January 2014 est.
83,Bangladesh,"28,000,000",1 January 2014 est.
84,Hungary,"27,320,000",1 January 2014 est.
85,Mauritania,"20,000,000",1 January 2014 est.
86,Bulgaria,"15,000,000",1 January 2014 est.
87,South Africa,"15,000,000",1 January 2014 est.
88,Czech Republic,"15,000,000",1 January 2014 est.
89,Tajikistan,"12,000,000",1 January 2014 est.
90,Lithuania,"12,000,000",1 January 2014 est.
91,Israel,"11,500,000",1 January 2014 est.
92,Greece,"10,000,000",1 January 2014 est.
93,Slovakia,"9,000,000",1 January 2014 est.
94,Benin,"8,000,000",1 January 2014 est.
95,Belize,"6,700,000",1 January 2014 est.
96,Barbados,"2,840,000",1 January 2014 est.
97,Taiwan,"2,380,000",1 January 2014 est.
98,Jordan,"1,000,000",1 January 2014 est.
99,Morocco,"680,000",1 January 2014 est.
100,Ethiopia,"430,000",1 January 2014 est.
101,Moldova,"7,330",1 January 2013 est.
102,Aruba,0,1 January 2014 est.
103,Antigua and Barbuda,0,1 January 2014 est.
104,Armenia,0,1 January 2014 est.
105,American Samoa,0,1 January 2014 est.
106,Botswana,0,1 January 2014 est.
107,Bermuda,0,1 January 2014 est.
108,Belgium,0,1 January 2014 est.
109,"Bahamas, The",0,1 January 2014 est.
110,Bosnia and Herzegovina,0,1 January 2014 est.
111,Solomon Islands,0,1 January 2014 est.
112,Bhutan,0,1 January 2014 est.
113,Burundi,0,1 January 2014 est.
114,Cambodia,0,1 January 2014 est.
115,Curacao,0,1 January 2011 est.
116,Sri Lanka,0,1 January 2014 est.
117,Cayman Islands,0,1 January 2014 est.
118,Comoros,0,1 January 2014 est.
119,Costa Rica,0,1 January 2014 est.
120,Central African Republic,0,1 January 2014 est.
121,Cabo Verde,0,1 January 2014 est.
122,Cook Islands,0,1 January 2014 est.
123,Cyprus,0,1 January 2014 est.
124,Djibouti,0,1 January 2014 est.
125,Dominica,0,1 January 2014 est.
126,Dominican Republic,0,1 January 2014 est.
127,Ireland,0,1 January 2014 est.
128,Estonia,0,1 January 2014 est.
129,Eritrea,0,1 January 2014 est.
130,El Salvador,0,1 January 2014 est.
131,Finland,0,1 January 2014 est.
132,Fiji,0,1 January 2014 est.
133,Falkland Islands (Islas Malvinas),0,1 January 2014 est.
134,Faroe Islands,0,1 January 2014 est.
135,French Polynesia,0,1 January 2014 est.
136,"Gambia, The",0,1 January 2014 est.
137,Gibraltar,0,1 January 2014 est.
138,Grenada,0,1 January 2014 est.
139,Greenland,0,1 January 2014 est.
140,Guam,0,1 January 2014 est.
141,Guinea,0,1 January 2014 est.
142,Guyana,0,1 January 2014 est.
143,Gaza Strip,0,1 January 2010 est.
144,Haiti,0,1 January 2014 est.
145,Hong Kong,0,1 January 2014 est.
146,Honduras,0,1 January 2014 est.
147,Iceland,0,1 January 2014 est.
148,Jamaica,0,1 January 2014 est.
149,Kenya,0,1 January 2014 est.
150,"Korea, North",0,1 January 2014 est.
151,Kiribati,0,1 January 2014 est.
152,"Korea, South",0,
153,Laos,0,1 January 2014 est.
154,Lebanon,0,1 January 2014 est.
155,Latvia,0,1 January 2014 est.
156,Liberia,0,1 January 2014 est.
157,Lesotho,0,1 January 2014 est.
158,Luxembourg,0,1 January 2014 est.
159,Madagascar,0,1 January 2014 est.
160,Macau,0,1 January 2014 est.
161,Montserrat,0,1 January 2014 est.
162,Malawi,0,1 January 2014 est.
163,Montenegro,0,1 January 2012 est.
164,Macedonia,0,1 January 2014 est.
165,Mali,0,1 January 2014 est.
166,Mauritius,0,1 January 2014 est.
167,Malta,0,1 January 2014 est.
168,Maldives,0,1 January 2014 est.
169,Mozambique,0,1 January 2014 est.
170,New Caledonia,0,1 January 2014 est.
171,Niue,0,1 January 2014 est.
172,Vanuatu,0,1 January 2014 est.
173,Nepal,0,1 January 2014 est.
174,Nauru,0,1 January 2014 est.
175,Nicaragua,0,1 January 2014 est.
176,Paraguay,0,1 January 2014 est.
177,Panama,0,1 January 2010 est.
178,Portugal,0,1 January 2014 est.
179,Guinea-Bissau,0,1 January 2014 est.
180,Puerto Rico,0,1 January 2014 est.
181,Rwanda,0,1 January 2014 est.
182,Saint Pierre and Miquelon,0,1 January 2014 est.
183,Saint Kitts and Nevis,0,1 January 2014 est.
184,Seychelles,0,1 January 2010 est.
185,Senegal,0,1 January 2014 est.
186,"Saint Helena, Ascension, and Tristan da Cunha",0,1 January 2014 est.
187,Slovenia,0,1 January 2014 est.
188,Sierra Leone,0,1 January 2014 est.
189,Singapore,0,1 January 2014 est.
190,Somalia,0,1 January 2014 est.
191,Saint Lucia,0,1 January 2014 est.
192,Sweden,0,1 January 2014 est.
193,Switzerland,0,1 January 2014 est.
194,Turks and Caicos Islands,0,1 January 2014 est.
195,Tokelau,0,1 January 2014 est.
196,Tonga,0,1 January 2010 est.
197,Togo,0,1 January 2014 est.
198,Sao Tome and Principe,0,1 January 2010 est.
199,Timor-Leste,0,1 January 2014 est.
200,Tanzania,0,1 January 2014 est.
201,Burkina Faso,0,1 January 2014 est.
202,Uruguay,0,1 January 2013 est.
203,Saint Vincent and the Grenadines,0,1 January 2014 est.
204,British Virgin Islands,0,1 January 2014 est.
205,Virgin Islands,0,1 January 2014 est.
206,Namibia,0,1 January 2014 est.
207,West Bank,0,1 January 2009 est.
208,Western Sahara,0,1 January 2014 est.
209,Samoa,0,1 January 2014 est.
210,Swaziland,0,1 January 2010 est.
211,Zambia,0,1 January 2014 est.
212,Zimbabwe,0,1 January 2014 est.
