yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,San Leandro Hospital,Alameda,Acute Care Hospital,Rehabilitation Unit,0.0,0.99,26717.0,0.0,0.0,3.74,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Rehabilitation Unit,1.0,4.17,87124.0,0.24,0.01,1.18,Same,Yes,12.0,0.45,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,San Joaquin Valley Rehabilitation Hospital,Alameda,Acute Care Hospital,Rehabilitation Unit,1.0,2.71,58660.0,0.37,0.02,1.82,Sme,Yes,12.0,0.5,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"John Muir Medical Center, Concord Campus",Alamead,Long-Term Acute Care Hospital,Major Teaching,3.0,5.01,28296.0,0.6,0.15,1.63,Same,No,12.0,0.74,¥ See Data Dictionary
2021,California,Meticillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0.0,0.43,10758.0,0.0,0.0,8.49,Sae,Yes,12.0,2.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,"Providence St. Joseph Hospital, Eureka",Alameda,Acute Care Hospital,Rehabilitation Unit,2.0,0.76,18065.0,2.62,0.32,9.45,Same,No,12.0,0.65,¥ See Data Dictionary
2021,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Rehabilitation Unit,2.0,1.73,34586.0,1.16,0.19,3.82,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,Washington Hospital,fAlameda,Acute Care Hospital,Pediatric,1.0,1.51,37763.0,0.66,0.03,3.26,Same,No,12.0,0.0,¥ See eData Dictionary
2419,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Alameda,Acute Care Hospital,Critical Access,4.0,3.16,57770.0,1.26,0.4,3.05,Saem,No,12.0,0.74,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Contra Costa Regional Medical Center,Amdor,Acute Care Hospital,Free-Standing Rehabilitation,1.0,0.23,10274.0,4.28,0.11,23.85,Same,No,12.0,0.0,¥ See Datta Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Kaiser Foundation Hospital, Oakland/Richmond",Butte,Acute Care Hospital,Free-Standing Rehabilitation,0.0,4.75,85833.0,0.0,0.0,0.63,Better,Yes,12.0,0.85,¥ See Data Dictionary
1976,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Contra Costa Regional Medical Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.12,6172.0,0.0,0.0,1.38,Sae,No,12.0,0.0,¥ See Data Dictionary
2467,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Washington Hospital,Butet,Critical Access Hospital,Critical Access,0.0,0.02,1167.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Washington Hospital,Butte,Acute Care Hospital,Rehabilitation Unit,0.0,1.09,23939.0,0.0,0.0,2.74,Same,Yes,6.0,1.15,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,"John Muir Medical Center, Concord Campus",Calaveras,Critical Access Hospital,Rehabilitation Unit,0.0,0.07,3303.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Caifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Stanford Health Care - ValleyCare,Cgolusa,Acute Care Hospital,Critical Access,0.0,0.11,4748.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,0.0,1.26,30492.0,0.0,0.0,2.37,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Rehabilitation Unit,2.0,4.07,57264.0,0.49,0.08,1.63,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"Kaiser Foundation Hospital, Oakland/Richmond",Cmontra Costa,Acute Care Hospital,Major Teaching,6.0,8.33,95470.0,0.72,0.29,1.5,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections k(MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.13,6776.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1686,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,Rehabilitation Unit,0.0,1.64,37984.0,0.0,0.0,1.83,ame,Yes,12.0,0.0,¥ ee Data Dictionary
2534,California,Methicillin-Resistant Staphylococcus aures Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hospital, Oakland/Richmond",Contra Costa,Acute Care Hospital,Rehabilitation Unit,1.0,0.62,15418.0,1.63,0.04,9.06,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,Adventist Health Selma,Contra Costa,Acute Care Hospital,Critical Access,2.0,3.5,67562.0,0.57,0.1,1.89,Same,nNo,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus BloodstreamI nfections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,Free-Standing Rehabilitation,0.0,0.57,16293.0,0.0,0.0,6.5,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Alta Bates Summit Medical Center,Contra Costa,Acute Care Hospital,Critical Access,3.0,1.07,28146.0,2.8,0.71,7.63,Same,No,12.0,0.65,¥ See Data Ditcionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Beverly Hospital,Del Norte,Acute Care Hospital,Rehabilitation Unit,0.0,0.35,7426.0,0.0,0.0,10.57,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Washington Hospital,Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.04,1992.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infecitons (MRSA BSI),30000114.0,Kern Medical Center,El Dorado,Acute Care Hospital,Rehabilitation Unit,1.0,0.21,6937.0,4.81,0.12,26.8,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,El Dorado,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0.0,0.81,19562.0,0.0,0.0,4.57,Same,es,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000124.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Long-Term Acute Care,0.0,0.2,9323.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000122.0,Adventist Health Selma,Fresno,Acute Care Hospital,Critical Access,0.0,0.23,8084.0,0.0,0.0,16.32,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections( MRSA BSI),40000095.0,"Kaiser Foundation Hospital, Oakland/Richmond",Fresno,Acute Care Hospital,Critical Access,0.0,2.73,74978.0,0.0,0.0,1.1,Same,Yes,12.0,0.0,¥ See Data Dictionary
1414,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000096.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Rehabilitation Unit,0.0,0.03,1519.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,12.0,15.83,209527.0,0.76,0.41,1.29,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Casa Colina Hospital,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.19,10096.0,0.0,0.0,1.38,Same,bNo,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Critical Access,0.0,0.62,15012.0,0.0,0.0,6.0,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Long-Term Acute Care,0.0,0.04,3486.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Oakland/Richmond",Fresno,Acute Care Hospital,Free-Standing Rehabilitation,2.0,2.08,43847.0,0.96,0.16,3.18,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Marshall Medical Center,Fresno,Acute Care Hospital,Free-Standing Rehabilitation,11.0,8.04,105043.0,1.37,0.72,2.38,Same,No,12.0,0.0,¥ See Data Dictionary
1230,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.33,17500.0,0.0,0.0,11.09,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,"John Muir Medical Center, Concord Campus",Glenn,Critical Access Hospital,Critical Access,0.0,0.18,8813.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Community Regional Medical Center,Humboldt,Critical Access Hospital,Critical Access,0.0,0.02,989.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,El Centro Regional Medical Center,Humboldt,Acute Care Hospital,Rehabilitation Unit,0.0,0.12,6626.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Californida,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Adventist Health Tehachapi Valley,Humboldt,Critical Access Hospital,Critical Access,2.0,0.1,4952.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"Providence St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Rehabilitation Unit,1.0,3.07,37059.0,0.33,0.02,1.61,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,Lakewood Regional Medical Center,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.06,3018.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Imperial,Acute Care Hospital,Rehabilitation Unit,1.0,1.74,29663.0,0.58,0.03,2.83,Same,oN,12.0,0.0,¥ See Data Dictionary
1175,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000146.0,Southern Inyo Hospital,Imperial,Acute Care Hospital,Critical Access,0.0,0.63,21034.0,0.0,0.0,5.82,Sme,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,Stanford Health Care - ValleyCare,Inyo,Critical Access Hospital,"Community, 125-250 Beds",0.0,0.07,3374.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1557,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102.0,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.06,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411.0,Alta Bates Summit Medical Center,Kern,Acute Care Hospital,Critical Access,4.0,5.55,74787.0,0.72,0.23,1.74,Shame,No,12.0,0.0,¥ See Data Dictionary
1068,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336.0,San Leandro Hospital,Kern,Acute Care Hospital,Critical Access,0.0,0.49,9762.0,0.0,0.0,7.51,Saem,Yes,12.0,0.0,¥ See Data Dicteionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413.0,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0.0,0.13,6257.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictioary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Casa Colina Hospital,Kern,Acute Care Hospital,Free-Standing Rehabilitation,0.0,0.62,13769.0,0.0,0.0,5.99,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,"Providence St. Joseph Hospital, Eureka",Kern,Acute Care Hospital,Critical Access,7.0,4.03,80087.0,1.74,0.76,3.43,Same,No,12.0,0.63,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,Alta Bates Summit Medical Center,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.42,21963.0,0.0,0.0,8.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,Free-Standing Rehabilitation,0.0,0.18,6349.0,0.0,0.0,1.38,aSme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Medical Center,Kern,Acute Care Hospital,Free-Standing Rehabilitation,1.0,3.66,59014.0,0.27,0.01,1.35,Same,Yes,12.0,0.99,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Stanford Health Care - ValleyCare,Kern,Critical Access Hospital,Critical Access,0.0,0.05,2225.0,0.0,0.0,1.38,Sme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Contra Costa Regional Medical Center,Kern,Acute Care Hospital,Rehabilitation Unit,4.0,1.15,25282.0,3.48,1.11,8.4,Worse,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectoins (MRSA BSI),120000701.0,Stanford Health Care - ValleyCare,Kern,Acute Care Hospital,Critical Access,0.0,1.07,27688.0,0.0,0.0,2.8,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,College Medical Center,dKern,Critical Access Hospital,Critical Access,0.0,0.18,8586.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Cailfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960.0,"Kaiser Foundation Hospital, Oakland/Richmond",Kings,Acute Care Hospital,Critical Access,3.0,2.2,45859.0,1.36,0.35,3.71,Same,No,12.0,1.01,¥ See Data Dictinoary
1647,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Alhambra Hospital Medical Center,Lake,Critical Access Hospital,Critical Access,0.0,0.1,4923.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1120,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,"Adventist Health White Memorial, Rehabilitation Unit",Lake,Critical Access Hospital,Critical Access,1.0,0.14,6823.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Fresno Surgical Hospital,Lassen,Critical Access Hospital,Critical Access,0.0,0.08,4052.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Selma,Los Angeles,Acute Care Hospital,Critical Access,4.0,7.01,92141.0,0.57,0.18,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,"Community, <125 Beds",0.0,0.12,6257.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectiongs (MRSA BSI),930000191.0,Henry Mayo Newhall Hospital,Los Angeles,Acute Care Hospital,Rehabilitation Unit,0.0,4.22,75717.0,0.0,0.0,0.71,Better,eYs,12.0,0.4,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Critical Access,0.0,0.06,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1.0,0.74,17882.0,1.35,0.03,7.52,Same,No,12.0,1.21,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,MemorialCare Long Beach Medical Center,Los Angeles,Rehabilitation Hospital or Unit,"Community, >250 Beds",0.0,0.05,2811.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Caliofrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Washington Hospital,Los Angeles,Acute Care Hospital,Critical Access,5.0,4.46,92991.0,1.12,0.41,2.48,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Long-Term Acute Care Hospital,"Community, <125 Beds",1.0,5.31,25601.0,0.19,0.01,0.93,Bettepr,Yes,12.0,0.24,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospital,Los Angeles,Acute Care Hospital,Rehabilitation Unit,3.0,1.73,32456.0,1.73,0.44,4.71,Same,No,12.0,2.54,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,El Centro Regional Medical Center,Los Anmgeles,Acute Care Hospital,Critical Access,4.0,5.05,73563.0,0.79,0.25,1.91,Same,No,12.0,1.58,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,Community Regional Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Critical Access,0.0,0.93,48779.0,0.0,0.0,3.98,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0.0,0.48,25255.0,0.0,0.0,7.68,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Acute Care Hospital,Rehabilitation Unit,0.0,0.11,5026.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,El Centro Regional Medical Center,Los Angeles,Critical Access Hospital,Rehabilitation Unit,0.0,0.01,325.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,Beverly Hospital,Los Angeles,Acute Care Hospital,Critical Access,4.0,0.89,21508.0,4.47,1.22,11.45,Worse,No,12.0,1.9,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004.0,"Kindred Hospital, Los Angeles",Los Angeles,Acute Care Hospital,Free-Standing Rehabilitation,15.0,24.21,287226.0,0.62,0.36,1.0,Better,No,12.0,0.93,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,Critical Access,6.0,3.05,65635.0,1.97,0.8,4.09,ame,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3695.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,San Leandro Hospital,Los Angeles,Acute Care Hospital,Pediatric,8.0,4.81,111483.0,1.66,0.77,3.16,Same,No,12.0,0.49,¥ See Data Dictionary
