yearvalue,statevalue,hai,facilityid,facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported,infectionspredicted,patientdays,sir,sircininefivelowerlimit,sircininefiveupperlimit,comparison,mettwozerotwozerogoal,months,sirtwozeroonefive,notes
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,"Community, <125 Beds",0.0,0.99,26717.0,0.0,0.0,3.74,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,1.0,4.17,87124.0,0.24,0.01,1.18,Same,Yes,12.0,0.45,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,"Community, 125-250 Beds",1.0,2.71,58660.0,0.37,0.02,1.82,Same,Yes,12.0,0.5,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-Term Acute Care Hospital,Long-Term Acute Care,3.0,5.01,28296.0,0.6,0.15,1.63,Same,No,12.0,0.74,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0.0,0.43,10758.0,0.0,0.0,8.49,Same,Yes,12.0,2.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,St Rose Hospital,Alameda,Acute Care Hospital,"Community, 125-250 Beds",2.0,0.76,18065.0,2.62,0.32,9.45,Same,No,12.0,0.65,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Major Teaching,2.0,1.73,34586.0,1.16,0.19,3.82,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,1.0,1.51,37763.0,0.66,0.03,3.26,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Alameda,Acute Care Hospital,"Community, >250 Beds",4.0,3.16,57770.0,1.26,0.4,3.05,Same,No,12.0,0.74,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Amador,Acute Care Hospital,"Community, <125 Beds",1.0,0.23,10274.0,4.28,0.11,23.85,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Enloe Medical Center, Esplanade",Butte,Acute Care Hospital,"Community, >250 Beds",0.0,4.75,85833.0,0.0,0.0,0.63,Better,Yes,12.0,0.85,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.12,6172.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0.0,0.02,1167.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospital,Butte,Acute Care Hospital,"Community, 125-250 Beds",0.0,1.09,23939.0,0.0,0.0,2.74,Same,Yes,6.0,1.15,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0.0,0.07,3303.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Colusa Medical Center,Colusa,Acute Care Hospital,"Community, <125 Beds",0.0,0.11,4748.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,0.0,1.26,30492.0,0.0,0.0,2.37,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Major Teaching,2.0,4.07,57264.0,0.49,0.08,1.63,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,6.0,8.33,95470.0,0.72,0.29,1.5,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.13,6776.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Major Teaching,0.0,1.64,37984.0,0.0,0.0,1.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hospital, Richmond Campus",Contra Costa,Acute Care Hospital,Major Teaching,1.0,0.62,15418.0,1.63,0.04,9.06,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,Acute Care Hospital,"Community, >250 Beds",2.0,3.5,67562.0,0.57,0.1,1.89,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,"Community, <125 Beds",0.0,0.57,16293.0,0.0,0.0,6.5,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",3.0,1.07,28146.0,2.8,0.71,7.63,Same,No,12.0,0.65,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",0.0,0.35,7426.0,0.0,0.0,10.57,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.04,1992.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,Barton Memorial Hospital,El Dorado,Acute Care Hospital,"Community, <125 Beds",1.0,0.21,6937.0,4.81,0.12,26.8,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,El Dorado,Acute Care Hospital,"Community, <125 Beds",0.0,0.81,19562.0,0.0,0.0,4.57,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000124.0,Adventist Health Reedley,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.2,9323.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000122.0,Adventist Health Selma,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.23,8084.0,0.0,0.0,16.32,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Medical Center,Fresno,Acute Care Hospital,Major Teaching,0.0,2.73,74978.0,0.0,0.0,1.1,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000096.0,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.03,1519.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,12.0,15.83,209527.0,0.76,0.41,1.29,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.19,10096.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Major Teaching,0.0,0.62,15012.0,0.0,0.0,6.0,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.04,3486.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,"Community, 125-250 Beds",2.0,2.08,43847.0,0.96,0.16,3.18,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Major Teaching,11.0,8.04,105043.0,1.37,0.72,2.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.33,17500.0,0.0,0.0,11.09,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0.0,0.18,8813.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0.0,0.02,989.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",0.0,0.12,6626.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,2.0,0.1,4952.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"Providence St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Major Teaching,1.0,3.07,37059.0,0.33,0.02,1.61,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.06,3018.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Imperial,Acute Care Hospital,"Community, 125-250 Beds",1.0,1.74,29663.0,0.58,0.03,2.83,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000146.0,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,"Community, <125 Beds",0.0,0.63,21034.0,0.0,0.0,5.82,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.07,3374.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102.0,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.06,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411.0,Adventist Health Bakersfield,Kern,Acute Care Hospital,Major Teaching,4.0,5.55,74787.0,0.72,0.23,1.74,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336.0,Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",0.0,0.49,9762.0,0.0,0.0,7.51,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413.0,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0.0,0.13,6257.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Bakersfield Heart Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0.0,0.62,13769.0,0.0,0.0,5.99,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",7.0,4.03,80087.0,1.74,0.76,3.43,Same,No,12.0,0.63,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,Encompass Health Rehabilitation Hospital of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.42,21963.0,0.0,0.0,8.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,"Community, <125 Beds",0.0,0.18,6349.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,1.0,3.66,59014.0,0.27,0.01,1.35,Same,Yes,12.0,0.99,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,0.0,0.05,2225.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",4.0,1.15,25282.0,3.48,1.11,8.4,Worse,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0.0,1.07,27688.0,0.0,0.0,2.8,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,0.0,0.18,8586.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960.0,Adventist Health Hanford,Kings,Acute Care Hospital,"Community, 125-250 Beds",3.0,2.2,45859.0,1.36,0.35,3.71,Same,No,12.0,1.01,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0.0,0.1,4923.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,1.0,0.14,6823.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0.0,0.08,4052.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Major Teaching,4.0,7.01,92141.0,0.57,0.18,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.12,6257.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,0.0,4.22,75717.0,0.0,0.0,0.71,Better,Yes,12.0,0.4,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.06,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1.0,0.74,17882.0,1.35,0.03,7.52,Same,No,12.0,1.21,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.05,2811.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,5.0,4.46,92991.0,1.12,0.41,2.48,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,Barlow Respiratory Hospital,Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,1.0,5.31,25601.0,0.19,0.01,0.93,Better,Yes,12.0,0.24,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",3.0,1.73,32456.0,1.73,0.44,4.71,Same,No,12.0,2.54,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"California Hospital Medical Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,4.0,5.05,73563.0,0.79,0.25,1.91,Same,No,12.0,1.58,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.93,48779.0,0.0,0.0,3.98,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.48,25255.0,0.0,0.0,7.68,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.11,5026.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0.0,0.01,325.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",4.0,0.89,21508.0,4.47,1.22,11.45,Worse,No,12.0,1.9,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004.0,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,15.0,24.21,287226.0,0.62,0.36,1.0,Better,No,12.0,0.93,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",6.0,3.05,65635.0,1.97,0.8,4.09,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3695.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,8.0,4.81,111483.0,1.66,0.77,3.16,Same,No,12.0,0.49,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",4.0,7.61,73564.0,0.53,0.17,1.27,Same,No,12.0,0.82,¥ See Data Dictionary
