25.datevalue,198u40110 12:15,19840110 12:15
77.stationname,CATALOOCHE NC US,CATALOOCHEE NC US
88.datevalue,19840118 16:54,19840118 16:45
122.measurement_flag,, 
91.measurement_flag,, 
17.datevalue,1984010 10:15,19840110 10:15
56.stationname,gCATALOOCHEE NC US,CATALOOCHEE NC US
40.station,jCOOP:311564,COOP:311564
155.stationname,CATALOOCHEE NC US***,CATALOOCHEE NC US
83.stationname,CATLOOCHEE NC US,CATALOOCHEE NC US
19.station,COO:P311564,COOP:311564
32.station,OCOP:311564,COOP:311564
29.stationname,CATAiLOOCHEE NC US,CATALOOCHEE NC US
120.units,jHI,HI
33.station,COOP:31564,COOP:311564
144.units,kHI,HI
12.units,HaI,HI
96.quality_flag,, 
148.station,COOpP:311564,COOP:311564
13.stationname,CATALOOCHEE NC fUS,CATALOOCHEE NC US
90.stationname,CATALOCHEE NC US,CATALOOCHEE NC US
88.units,HwI,HI
36.units,I,HI
150.measurement_flag,, 
51.quality_flag,***, 
89.quality_flag,***, 
1.measurement_flag,,g
87.datevalue,19840118 16s:00,19840118 16:00
19.datevalue,1984011i0 10:45,19840110 10:45
73.quality_flag,, 
131.quality_flag,i , 
144.measurement_flag,***, 
58.datevalue,1984018 02:15,19840118 02:15
63.station,COOP:31154,COOP:311564
43.stationname,uCATALOOCHEE NC US,CATALOOCHEE NC US
54.units,IH,HI
154.quality_flag,t , 
127.stationname,CATLAOOCHEE NC US,CATALOOCHEE NC US
90.datevalue,19840181 18:15,19840118 18:15
140.measurement_flag,, 
85.units,IH,HI
66.units,cHI,HI
150.quality_flag,j , 
144.station,COOP:11564,COOP:311564
3.datevalue,1984105 00:30,19840105 00:30
37.units,I,HI
106.units,IH,HI
155.station,COOPn:311564,COOP:311564
77.datevalue,198401180 8:30,19840118 08:30
25.quality_flag,c , 
52.station,COOP:3115s64,COOP:311564
10.quality_flag,c , 
87.quality_flag,***, 
78.station,COOP:311654,COOP:311564
42.measurement_flag,, 
9.units,HuI,HI
21.station,COOP311564,COOP:311564
130.units,I,HI
99.stationname,CATALOOpCHEE NC US,CATALOOCHEE NC US
156.datevalue,1u9840130 19:00,19840130 19:00
49.stationname,CATALOOCHE ENC US,CATALOOCHEE NC US
87.stationname,CATAbLOOCHEE NC US,CATALOOCHEE NC US
51.units,rHI,HI
67.quality_flag,, 
78.measurement_flag,, 
98.datevalue,1840123 15:45,19840123 15:45
20.quality_flag,s , 
5.units,HtI,HI
117.quality_flag,***, 
52.stationname,CATALOOCHEE NC S,CATALOOCHEE NC US
27.quality_flag,i , 
156.units,IH,HI
8.stationname,CATAOOCHEE NC US,CATALOOCHEE NC US
57.quality_flag,, 
126.measurement_flag,***, 
3.stationname,CATAqLOOCHEE NC US,CATALOOCHEE NC US
26.quality_flag,b , 
114.datevalue,1984012 403:00,19840124 03:00
121.quality_flag,n , 
100.quality_flag,***, 
158.quality_flag,***, 
