objectid(long),nlcsid,nlcsname,casefileno,wsarcmnd,adminst,roddate,global_id,wsacod_eca,flpmase_cca(long),modifyby,modifydate,gisacres(double precision),fauid(long),smaid(long),shape_area(double precision),shape_length(double precision)
36,NLCS000273,Owens Peak Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{98D48775-E2B8-4C18-84D5-1DE5804A3E36},CA-010-026,603,bpoconnor,2016/08/23 18:43:40+00,935.47707132,2647.0,2,3656833.90307155,11249.633505814
37,NLCS000274,Pit River Canyon Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{49851CA2-40E3-4B74-8AB9-BFCEC96AB99C},CA-020-103,603,bpoconnor,2016/08/23 18:43:40+00,11739.99068632,2794.0,2,47925783.5730046,66548.6160088163
38,NLCS000275,Panoche Hills South Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{27A2899C-E1D0-435B-82FF-7FB42AF9B11C},CA-040-301B,603,bpoconnor,2016/08/23 18:43:40+00,11190.33563298,2684.0,2,45114103.9537315,49793.2223950395
39,NLCS000276,Panoche Hills North Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{D5474C1D-6D1C-4BB6-8EA1-0BD4BA5ABFD4},CA-040-301,603,bpoconnor,2016/08/23 18:43:40+00,6653.18459295,2683.0,2,26431134.7326894,32920.1949226309
40,NLCS000277,Milk Ranch/Case Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{7DE6B3D7-6E7F-46E6-993C-95656DBAE493},CA-010-023,202,bpoconnor,2016/08/23 18:43:40+00,9360.64809262,2189.0,2,37553239.1619458,73359.5517143451
41,NLCS000278,Piute Cypress ISA Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{F8B0B6F6-609B-4769-96A1-F89F60958336},CA-010-046,603,bpoconnor,2016/08/23 18:43:40+00,3473.34823072,2796.0,2,14028644.2376916,25968.8215816466
42,NLCS000208,Sawtooth Mountains C Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{42F502A2-47AF-4285-98BC-1A0A2DC68AE7},CA-060-024C,202,bpoconnor,2016/08/23 18:43:40+00,472.59504463,3178.0,2,1846959.03764211,6699.00571392462
43,NLCS000209,Volcanic Tablelands Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{1917F05B-D67D-45DB-B6B9-ECCD4D6B6785},CA-010-081,603,bpoconnor,2016/08/23 18:43:40+00,12733.19323951,3730.0,2,50362351.0935412,41189.9435207883
44,NLCS000210,Tunnison Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{DE3F0C81-119B-47AB-97C6-7125B2EC1331},CA-020-311,603,bpoconnor,2016/08/23 18:43:40+00,20165.54778535,3604.0,2,81895110.9716304,91271.85761688
45,NLCS000211,Tule Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{D1B0FA62-6699-458A-B12E-395222AEB101},CA-020-211,603,bpoconnor,2016/08/23 18:43:40+00,17814.31927477,3596.0,2,71844573.2412218,82531.6356229606
46,NLCS000212,Thatcher Ridge Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{548B5810-FBEF-40A7-ADC1-52851CB716AA},CA-050-212,603,bpoconnor,2016/08/23 18:43:40+00,150.87772149,3508.0,2,618081.993893985,6219.41666533801
47,NLCS000213,Skedaddle Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{CF79F5AD-AEEE-41E6-856C-378A94EC4CCD},CA-020-612,603,bpoconnor,2016/08/23 18:43:40+00,62815.21866999,3304.0,2,255623032.358831,178046.781141868
49,NLCS000215,South Warner Contiguous Wilderness Study Area,CA-010-105,Suitable,CA,1979/01/01 08:00:00+00,{435CB853-D04B-4309-8173-1ACD534AB5D2},CA-020-708,202,bpoconnor,2016/08/23 18:43:40+00,4332.93831806,3361.0,2,17883676.4192799,57259.5207634522
50,NLCS000216,Big Butte Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{EE032CF1-4EE2-440E-B315-BDEA450590B6},CA-050-211,202,bpoconnor,2016/08/23 18:43:40+00,1554.71927633,252.0,2,6291749.78011816,29428.6406424578
51,NLCS000217,Buffalo Hills Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{2B1F2B1C-A61E-4719-A999-BEF052E70F54},CA-020-619,603,bpoconnor,2016/08/23 18:43:40+00,47510.69370874,431.0,2,191804090.503005,124633.069676149
52,NLCS000218,Caliente Mountain Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{5C965203-162C-408D-8473-899C0F81222F},CA-010-042,202,bpoconnor,2016/08/23 18:43:40+00,18015.41667293,479.0,2,72852108.9594387,79773.9908315981
53,NLCS000219,Cerro Gordo Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{1E2DA3A2-E675-4683-9836-7BEB203BD694},CA-010-055,603,bpoconnor,2016/08/23 18:43:40+00,5298.81190381,617.0,2,21682734.4376212,25351.1754216232
54,NLCS000220,Chidago Canyon Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{CCF15D8A-CC34-419D-8896-B5393CD594D3},CA-010-079,603,bpoconnor,2016/08/23 18:43:40+00,20347.71297106,675.0,2,82800262.9864311,44282.8930811446
55,NLCS000221,Crater Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{E5499E20-309C-4742-8141-175BC96B5F58},CA-010-062,603,bpoconnor,2016/08/23 18:43:40+00,7680.85810717,812.0,2,31023807.8567736,27489.0565808802
57,NLCS000223,Lava Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{1DF4CFF6-B7BC-43D0-8A7B-FFEFACC4239B},CA-030-203,603,bpoconnor,2016/08/23 18:43:40+00,10763.25202955,1906.0,2,43382686.7890628,41966.1415766556
58,NLCS000224,Massacre Rim Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{314BC88D-131C-4C48-B789-2C0AEC919ACA},CA-020-1013,603,bpoconnor,2016/08/23 18:43:40+00,101400.2514572,2103.0,2,409105968.915868,148045.421558947
59,NLCS000225,Sheep Ridge Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{2871CA0F-AC66-4E60-9E9E-199C2B2D6286},CA-010-022,202,bpoconnor,2016/08/23 18:43:40+00,5017.07325523,3244.0,2,20347978.9785441,33128.4675957206
60,NLCS000226,Casa Diablo Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{CCC12E31-DA8D-486B-8645-9F4731C66773},CA-010-082,603,bpoconnor,2016/08/23 18:43:40+00,8992.57695319,577.0,2,36555231.0752761,30085.2608034238
61,NLCS000227,Fish Slough Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{809E5D3E-D5D7-44C2-8512-0A773318AD4D},CA-010-080,603,bpoconnor,2016/08/23 18:43:40+00,15336.72430734,1101.0,2,62081408.0068355,44781.6988754133
62,NLCS000228,Excelsior Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{7A95A4BD-5BFB-4D9A-8941-BA09ED34607A},CA-010-088,603,bpoconnor,2016/08/23 18:43:40+00,9399.6886857,1067.0,2,37729479.3261931,31116.6587414552
64,NLCS000230,Beauty Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{724B7E44-BFE4-4228-A6FC-ACFCC5A1624F},CA-060-020G,603,bpoconnor,2016/08/23 18:43:40+00,3824.50960528,215.0,2,15447779.0857837,45742.6000299984
65,NLCS000231,Carrizo Gorge Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{F5A1E800-4EC0-407D-9ABD-917A1DD8E11C},CA-060-025A,603,bpoconnor,2016/08/23 18:43:40+00,894.04439562,567.0,2,3665664.6682449,21008.8485157411
67,NLCS000233,Sheldon Contiguous Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{38EB7C34-89BB-43ED-825D-5A0BF9865711},CA-020-1012,603,bpoconnor,2016/08/23 18:43:40+00,24265.26917685,3247.0,2,97660681.4259299,73902.7446792207
68,NLCS000234,White Mountains Wilderness Study Area,CA-010-105,Non-suitable,CA,1994/10/31 08:00:00+00,{E7B931CA-91AB-453C-BFC3-17A0A3E9FA8F},PL 103-433 Sec 105,603,bpoconnor,2016/08/23 18:47:02+00,1650.30318667,3838.0,2,6625347.03986419,22232.823251953
70,NLCS000235,Bodie Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{9038DEE9-75B1-422C-BD24-331E4ADBC181},CA-010-100,603,bpoconnor,2016/08/23 18:43:40+00,16973.13042321,349.0,2,68637982.9396276,75204.2876224223
71,NLCS000236,Mount Biedeman Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{FD46D1BD-00C1-4944-8B4B-73399029674D},CA-010-095,603,bpoconnor,2016/08/23 18:43:40+00,13105.0398087,2268.0,2,52754648.9076537,47293.2299924324
72,NLCS000237,Bodie Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{096275A8-3D0D-4798-8657-119EBD3E4CAD},CA-010-099,603,bpoconnor,2016/08/23 18:43:40+00,25609.96074032,348.0,2,103618903.16794,71813.9964744312
73,NLCS000238,Southern Inyo Wilderness Study Area,CA-010-105,Suitable,CA,1979/01/01 08:00:00+00,{016275E4-4BFF-4521-BCD2-48BD824560A4},CA-010-056,603,rfacio,2023/09/21 19:35:33+00,3719.4097674,3364.0,2,15051976.9320477,41708.8583935737
74,NLCS000222,Eden Valley Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{782AC27B-6400-4F0B-9379-18577447C1D4},CA-050-214,603,bpoconnor,2016/08/23 18:43:40+00,6477.14430806,995.0,2,26222114.6779434,45243.4912780915
75,NLCS000241,Bear Mountain Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{7BDB485B-2204-47F4-AB23-C41CF7761517},CA-040-305B,202,bpoconnor,2016/08/23 18:43:40+00,4024.62573432,206.0,2,15089187.4758389,38811.6571906999
