characteristic,sex,raceethnicity,familystructure,year,percentage,marginoferror
Total - Male,Male,NULL,Mother only,2001,21.9%,0.6%
Total - Male,Male,NULL,Mother only,2002,22.2%,0.6%
Total - Male,Male,NULL,Mother only,2003,22.8%,0.6%
Total - Male,Male,NULL,Mother only,2004,22.7%,0.6%
Total - Male,Male,NULL,Mother only,2005,23%,0.6%
Total - Male,Male,NULL,Mother only,2006,22.7%,0.6%
Total - Male,Male,NULL,Mother only,2007,22.2%,0.6%
Total - Male,Male,NULL,Mother only,2008,22.1%,0.6%
Total - Male,Male,NULL,Mother only,2009,22.5%,0.6%
Total - Male,Male,NULL,Mother only,2010,22.7%,0.6%
Total - Male,Male,NULL,Mother only,2011,23.5%,0.6%
Total - Male,Male,NULL,Mother only,2012,23.9%,0.6%
Total - Male,Male,NULL,Mother only,2013,23.4%,0.6%
Total - Male,Male,NULL,Father only,2001,4.8%,0.3%
Total - Male,Male,NULL,Father only,2002,5.1%,0.3%
Total - Male,Male,NULL,Father only,2003,4.9%,0.3%
Total - Male,Male,NULL,Father only,2004,5%,0.3%
Total - Male,Male,NULL,Father only,2005,5%,0.3%
Total - Male,Male,NULL,Father only,2006,5%,0.3%
Total - Male,Male,NULL,Father only,2007,3.5%,0.3%
Total - Male,Male,NULL,Father only,2008,3.9%,0.3%
Total - Male,Male,NULL,Father only,2009,3.7%,0.3%
Total - Male,Male,NULL,Father only,2010,3.8%,0.3%
Total - Male,Male,NULL,Father only,2011,3.8%,0.3%
Total - Male,Male,NULL,Father only,2012,4.3%,0.3%
Total - Male,Male,NULL,Father only,2013,4.2%,0.3%
Total - Male,Male,NULL,No parent,2001,4.1%,0.3%
Total - Male,Male,NULL,No parent,2002,4%,0.3%
Total - Male,Male,NULL,No parent,2003,4.1%,0.3%
Total - Male,Male,NULL,No parent,2004,4.3%,0.3%
Total - Male,Male,NULL,No parent,2005,4.5%,0.3%
Total - Male,Male,NULL,No parent,2006,4.7%,0.3%
Total - Male,Male,NULL,No parent,2007,3.4%,0.3%
Total - Male,Male,NULL,No parent,2008,3.7%,0.3%
Total - Male,Male,NULL,No parent,2009,3.9%,0.3%
Total - Male,Male,NULL,No parent,2010,4.1%,0.3%
Total - Male,Male,NULL,No parent,2011,3.9%,0.3%
Total - Male,Male,NULL,No parent,2012,3.4%,0.2%
Total - Male,Male,NULL,No parent,2013,3.9%,0.3%
Total - Female,Female,NULL,Two parents,2001,NULL,NULL
Total - Female,Female,NULL,Two parents,2002,NULL,NULL
Total - Female,Female,NULL,Two parents,2003,NULL,NULL
Total - Female,Female,NULL,Two parents,2004,NULL,NULL
Total - Female,Female,NULL,Two parents,2005,NULL,NULL
Total - Female,Female,NULL,Two parents,2006,NULL,NULL
Total - Female,Female,NULL,Two parents,2007,70.6%,0.6%
Total - Female,Female,NULL,Two parents,2008,69.5%,0.6%
Total - Female,Female,NULL,Two parents,2009,69.7%,0.6%
Total - Female,Female,NULL,Two parents,2010,69.3%,0.6%
Total - Female,Female,NULL,Two parents,2011,68.5%,0.7%
Total - Female,Female,NULL,Two parents,2012,67.8%,0.7%
Total - Female,Female,NULL,Two parents,2013,68.5%,0.7%
Total - Female,Female,NULL,Two married parents,2001,69.1%,0.7%
Total - Female,Female,NULL,Two married parents,2002,68.7%,0.7%
Total - Female,Female,NULL,Two married parents,2003,68.5%,0.7%
Total - Female,Female,NULL,Two married parents,2004,67.6%,0.7%
Total - Female,Female,NULL,Two married parents,2005,67.2%,0.7%
Total - Female,Female,NULL,Two married parents,2006,67.2%,0.7%
Total - Female,Female,NULL,Two married parents,2007,67.6%,0.7%
Total - Female,Female,NULL,Two married parents,2008,66.3%,0.7%
Total - Female,Female,NULL,Two married parents,2009,66.6%,0.7%
Total - Female,Female,NULL,Two married parents,2010,65.7%,0.7%
Total - Female,Female,NULL,Two married parents,2011,64.9%,0.7%
Total - Female,Female,NULL,Two married parents,2012,63.9%,0.7%
Total - Female,Female,NULL,Two married parents,2013,64.6%,0.7%
Total - Female,Female,NULL,Mother only,2001,22.9%,0.6%
Total - Female,Female,NULL,Mother only,2002,23.3%,0.6%
Total - Female,Female,NULL,Mother only,2003,23.2%,0.6%
Total - Female,Female,NULL,Mother only,2004,23.9%,0.6%
Total - Female,Female,NULL,Mother only,2005,23.9%,0.6%
Total - Female,Female,NULL,Mother only,2006,23.9%,0.6%
Total - Female,Female,NULL,Mother only,2007,23%,0.6%
Total - Female,Female,NULL,Mother only,2008,23.5%,0.6%
Total - Female,Female,NULL,Mother only,2009,23.1%,0.6%
Total - Female,Female,NULL,Mother only,2010,23.6%,0.6%
Total - Female,Female,NULL,Mother only,2011,24.1%,0.6%
Total - Female,Female,NULL,Mother only,2012,24.8%,0.6%
Total - Female,Female,NULL,Mother only,2013,24.1%,0.6%
Total - Female,Female,NULL,Father only,2001,3.8%,0.3%
Total - Female,Female,NULL,Father only,2002,4%,0.3%
Total - Female,Female,NULL,Father only,2003,4.2%,0.3%
Total - Female,Female,NULL,Father only,2004,4.3%,0.3%
Total - Female,Female,NULL,Father only,2005,4.5%,0.3%
Total - Female,Female,NULL,Father only,2006,4.4%,0.3%
Total - Female,Female,NULL,Father only,2007,3%,0.2%
Total - Female,Female,NULL,Father only,2008,3.1%,0.2%
Total - Female,Female,NULL,Father only,2009,3.1%,0.2%
Total - Female,Female,NULL,Father only,2010,3.1%,0.2%
Total - Female,Female,NULL,Father only,2011,3.3%,0.3%
Total - Female,Female,NULL,Father only,2012,3.6%,0.3%
Total - Female,Female,NULL,Father only,2013,3.9%,0.3%
Total - Female,Female,NULL,No parent,2001,4.1%,0.3%
Total - Female,Female,NULL,No parent,2002,3.9%,0.3%
Total - Female,Female,NULL,No parent,2003,4.2%,0.3%
Total - Female,Female,NULL,No parent,2004,4.2%,0.3%
Total - Female,Female,NULL,No parent,2005,4.5%,0.3%
Total - Female,Female,NULL,No parent,2006,4.5%,0.3%
Total - Female,Female,NULL,No parent,2007,3.5%,0.3%
Total - Female,Female,NULL,No parent,2008,3.9%,0.3%
Total - Female,Female,NULL,No parent,2009,4.1%,0.3%
Total - Female,Female,NULL,No parent,2010,4.1%,0.3%
Total - Female,Female,NULL,No parent,2011,4.1%,0.3%
Total - Female,Female,NULL,No parent,2012,3.8%,0.3%
Total - Female,Female,NULL,No parent,2013,3.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2001,77.8%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2002,77%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2003,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2004,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2005,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2006,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2007,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2008,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2009,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2010,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2011,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2012,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2013,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2001,15.3%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2002,15.7%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2003,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2004,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2005,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2006,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2007,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2008,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2009,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2010,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2011,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2012,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2013,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2001,4.7%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2002,4.9%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2003,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2004,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2005,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2006,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2007,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2008,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2009,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2010,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2011,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2012,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2013,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2001,2.2%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2002,2.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2003,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2004,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2005,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2006,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2007,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2008,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2009,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2010,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2011,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2012,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2013,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2001,77.3%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2002,76.8%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2003,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2004,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2005,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2006,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2007,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2008,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2009,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2010,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2011,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2012,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2013,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2001,16.4%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2002,16.6%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2003,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2004,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2005,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2006,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2007,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2008,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2009,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2010,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2011,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2012,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2013,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2001,3.9%,0.4%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2002,3.8%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2003,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2004,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2005,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2006,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2007,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2008,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2009,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2010,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2011,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2012,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2013,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2001,2.4%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2002,2.9%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2003,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2004,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2005,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2006,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2007,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2008,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2009,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2010,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2011,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2012,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2013,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2001,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2002,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2003,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2004,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2005,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2006,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2007,78.5%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2008,78%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2009,78.1%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2011,77.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2012,76.4%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2013,77.3%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2002,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2003,77.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2004,76.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2005,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2006,75.8%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2007,76.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2008,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2009,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2010,75%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2012,73.5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2013,74.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2001,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2002,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,0.6%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2004,15.6%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2005,16.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2006,15.6%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2007,15.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2008,15.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2009,15.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2010,15.3%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2011,15.5%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2012,16.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2013,15.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2001,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2002,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2004,4.7%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2005,5.1%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2006,5.3%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2007,3.9%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2008,4.4%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2009,4%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2010,4.1%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2011,4.2%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2012,4.7%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2013,4.5%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2001,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2002,NULL,NULL
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2003,2.5%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2004,3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2005,3.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2006,3.3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2008,2.5%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2009,2.7%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2010,3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2011,3%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2012,2.6%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2001,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2002,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2003,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2004,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2005,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2006,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2008,77.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2009,78%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2010,77.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2011,77%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2012,76.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2013,77.5%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2002,NULL,NULL
