39.characteristic,"Total - Black, non-Hispnaic ","Total - Black, non-Hispanic "
8.characteristic,otal ,Total 
33.raceethnicity,"White, nonH-ispanic","White, non-Hispanic"
18.raceethnicity,"American Indian/Alaska Native,x non-Hispanic","American Indian/Alaska Native, non-Hispanic"
150.characteristic,"Total - Male, Two or more races, neon-Hispanic","Total - Male, Two or more races, non-Hispanic"
193.raceethnicity,"Pacific Islanuder, non-Hispanic","Pacific Islander, non-Hispanic"
181.characteristic,"Total - Female, Asian, none-Hispanic","Total - Female, Asian, non-Hispanic"
107.noteonscore,Data not availble.,Data not available.
20.sex,Femaile,Female
109.raceethnicity,ispanic,Hispanic
20.characteristic,Totla - Female,Total - Female
79.noteonscore,Data ot available.,Data not available.
67.sex,Fmale,Female
172.sex,Femlae,Female
142.characteristic,"Ttoal - Male, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
130.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
139.noteonscore,Data nt available.,Data not available.
83.sex,Femle,Female
176.raceethnicity,Hsipanic,Hispanic
113.sex,Mael,Male
73.noteonscore,Data not availalbe.,Data not available.
125.noteonscore,Data not available. Data for 2005 and 2009 include Pacific Islnders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
120.characteristic,"Total - Male, Asian, non-Hipsanic","Total - Male, Asian, non-Hispanic"
175.characteristic,"Total  Female, Hispanic","Total - Female, Hispanic"
45.noteonscore,Data not avaialble.,Data not available.
109.characteristic,"Total  -Male, Hispanic","Total - Male, Hispanic"
142.sex,ale,Male
71.sex,Femle,Female
209.noteonscore,Data not vaailable.,Data not available.
34.raceethnicity,"White, non-iHspanic","White, non-Hispanic"
197.sex,Femalfe,Female
199.sex,emale,Female
72.raceethnicity,"Pacific Islander, non-Hispnic","Pacific Islander, non-Hispanic"
105.characteristic,"Total - aMle, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
150.sex,ale,Male
185.noteonscore,Data for 2005 and 200 include Pacific Islanders.,Data for 2005 and 2009 include Pacific Islanders.
80.characteristic,"Total - American Indian/laska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
30.noteonscore,Data not avalable.,Data not available.
207.characteristic,"Total - Femakle, American Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
45.sex,Fsemale,Female
28.characteristic,"Total -White, non-Hispanic","Total - White, non-Hispanic"
213.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
160.noteonscore,Data not availaeble.,Data not available.
82.raceethnicity,"Two or more races, non-ispanic","Two or more races, non-Hispanic"
209.raceethnicity,"Two or moreraces, non-Hispanic","Two or more races, non-Hispanic"
117.characteristic,"Total - Male, Hispaic","Total - Male, Hispanic"
8.sex,Femael,Female
159.noteonscore,Data not availabole.,Data not available.
43.characteristic,"Total - Black, non-ispanic ","Total - Black, non-Hispanic "
204.raceethnicity,"American Indian/Alaska Naotive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
30.sex,emale,Female
65.sex,Fmeale,Female
167.sex,emale,Female
125.sex,Mlae,Male
87.raceethnicity,"Two or more race, non-Hispanic","Two or more races, non-Hispanic"
37.sex,Femalke,Female
144.raceethnicity,"American Indian/Alsaka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
135.sex,Mael,Male
100.sex,Mlae,Male
3.sex,Femlae,Female
102.noteonscore,Data not avaliable.,Data not available.
184.raceethnicity,"Asian, non-Hispanc","Asian, non-Hispanic"
154.noteonscore,Data not availalbe.,Data not available.
166.raceethnicity,"Blcack, non-Hispanic ","Black, non-Hispanic "
33.noteonscore,Data notd available.,Data not available.
139.characteristic,"Total -Male, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
59.characteristic,"Total - Asian, non-Hsipanic","Total - Asian, non-Hispanic"
145.noteonscore,Data not availble.,Data not available.
45.raceethnicity,"Black, nwon-Hispanic ","Black, non-Hispanic "
132.characteristic,"Total - Male, Pacific Islander, non-Hinspanic","Total - Male, Pacific Islander, non-Hispanic"
162.sex,sFemale,Female
206.characteristic,"Total - Femalxe, American Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
53.raceethnicity,Hisapnic,Hispanic
163.sex,eFmale,Female
110.sex,Marle,Male
65.raceethnicity,"Pacific Ilsander, non-Hispanic","Pacific Islander, non-Hispanic"
73.sex,Fmeale,Female
45.characteristic,"Total - Black,n on-Hispanic ","Total - Black, non-Hispanic "
149.raceethnicity,"Two or morer aces, non-Hispanic","Two or more races, non-Hispanic"
17.noteonscore,Daat not available.,Data not available.
109.sex,aMle,Male
150.raceethnicity,"Two or more races, nohn-Hispanic","Two or more races, non-Hispanic"
174.characteristic,"Totl - Female, Hispanic","Total - Female, Hispanic"
79.sex,Femle,Female
112.characteristic,"Total - Male, Hispanci","Total - Male, Hispanic"
90.characteristic,"Totla - Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
155.raceethnicity,"hWite, non-Hispanic","White, non-Hispanic"
146.sex,Mael,Male
103.characteristic,"Total - Mael, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
172.characteristic,"Total - eFmale, Hispanic","Total - Female, Hispanic"
157.characteristic,"Ttal - Female, White, non-Hispanic","Total - Female, White, non-Hispanic"
104.sex,Mjale,Male
114.sex,ale,Male
8.raceethnicity,"American Indian/Anlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
88.characteristic,"Total -Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
127.raceethnicity,"acific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
180.noteonscore,Data no tavailable.,Data not available.
130.sex,wMale,Male
140.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
2.sex,Fmale,Female
124.raceethnicity,"Asian, non-Hipsanic","Asian, non-Hispanic"
180.characteristic,"Total - Female, Hipsanic","Total - Female, Hispanic"
19.noteonscore,aDta not available.,Data not available.
9.noteonscore,Data not availbale.,Data not available.
133.characteristic,"Total - Mlae, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
156.sex,Femalze,Female
77.characteristic,"Total - American Indian/Alaska Nvative, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
87.sex,Femael,Female
48.raceethnicity,Hispanc,Hispanic
202.raceethnicity,"American Indian/Alaska Native, nnon-Hispanic","American Indian/Alaska Native, non-Hispanic"
89.sex,Fdemale,Female
148.raceethnicity,"Two or more races, non-Hispnaic","Two or more races, non-Hispanic"
17.raceethnicity,"American Indian/Alaska Native, non-Hispnaic","American Indian/Alaska Native, non-Hispanic"
216.sex,Femael,Female
202.noteonscore,Data not availale.,Data not available.
145.raceethnicity,"Two or more races, non-Hisnpanic","Two or more races, non-Hispanic"
122.characteristic,"Total - Male, Asian, non-Hispanc","Total - Male, Asian, non-Hispanic"
134.raceethnicity,"Pacfic Islander, non-Hispanic","Pacific Islander, non-Hispanic"
192.sex,gFemale,Female
13.noteonscore,Data notc available.,Data not available.
52.characteristic,Totalq - Hispanic,Total - Hispanic
74.noteonscore,Data not availabl.e,Data not available.
214.characteristic,"Total - Female, Two or ore races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
157.sex,emale,Female
83.noteonscore,Datak not available.,Data not available.
123.noteonscore,Data not available. Data for 2005 and 2009 include Paecific Islanders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
194.raceethnicity,"Pacific Islander, non-Hiscpanic","Pacific Islander, non-Hispanic"
20.noteonscore,Data not avilable.,Data not available.
18.sex,Malke,Male
54.characteristic,Total - Hispnaic,Total - Hispanic
167.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
95.noteonscore,Data not availvable.,Data not available.
68.characteristic,"Total - Pacific Islander, noin-Hispanic","Total - Pacific Islander, non-Hispanic"
123.sex,Mle,Male
121.characteristic,"Totgal - Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
31.sex,Femnale,Female
174.sex,emale,Female
198.characteristic,"Total - Femal,e Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
141.raceethnicity,"American Idnian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
163.raceethnicity,"Blackq, non-Hispanic ","Black, non-Hispanic "
27.sex,cFemale,Female
29.sex,vFemale,Female
164.raceethnicity,"Blhack, non-Hispanic ","Black, non-Hispanic "
195.characteristic,"Total - Female, PacificIslander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
191.noteonscore,Data not availble.,Data not available.
212.noteonscore,ata not available.,Data not available.
17.characteristic,Tota - Male,Total - Male
168.raceethnicity,"Blac,k non-Hispanic ","Black, non-Hispanic "
143.noteonscore,Dtaa not available.,Data not available.
122.raceethnicity,"Asian,non-Hispanic","Asian, non-Hispanic"
64.noteonscore,Data no tavailable.,Data not available.
133.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
209.sex,eFmale,Female
183.sex,Femoale,Female
178.sex,Feimale,Female
66.characteristic,"Total - Pacific Islander, non-Hspanic","Total - Pacific Islander, non-Hispanic"
204.characteristic,"Total - Female, American Indian/Alaska Natlive, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
119.characteristic,"Total - Male, Asian,x non-Hispanic","Total - Male, Asian, non-Hispanic"
98.characteristic,"Tota l- Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
134.sex,uMale,Male
134.noteonscore,Data niot available.,Data not available.
165.raceethnicity,"Black, non-Hispaic ","Black, non-Hispanic "
48.characteristic,Total - Hispanci,Total - Hispanic
140.sex,Malve,Male
23.sex,nFemale,Female
80.raceethnicity,"American Indian/Alaska Natikve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
14.raceethnicity,"American Indian/Alapska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
123.characteristic,"Total - Male, Asian,non-Hispanic","Total - Male, Asian, non-Hispanic"
127.noteonscore,Data not avaoilable.,Data not available.
120.raceethnicity,"qAsian, non-Hispanic","Asian, non-Hispanic"
72.characteristic,"Total - Pacific Islander, nn-Hispanic","Total - Pacific Islander, non-Hispanic"
156.raceethnicity,"White, non-Hispaniac","White, non-Hispanic"
118.raceethnicity,"Asia,n non-Hispanic","Asian, non-Hispanic"
134.characteristic,"Total - Male, Pacific Islander non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
28.noteonscore,Data not availabl.,Data not available.
27.raceethnicity,"American Indin/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
165.sex,Femle,Female
10.sex,Mle,Male
82.sex,Fqemale,Female
12.sex,aMle,Male
53.characteristic,Ttoal - Hispanic,Total - Hispanic
76.raceethnicity,"hAmerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
112.noteonscore,Data not avaliable.,Data not available.
11.noteonscore,ata not available.,Data not available.
36.sex,Femlae,Female
139.sex,aMle,Male
119.noteonscore,Data nota vailable. Data for 2005 and 2009 include Pacific Islanders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
9.sex,Femlae,Female
114.raceethnicity,Hisspanic,Hispanic
