characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Female,Female,"American Indian/Alaska Natvie, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"American Indianm/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total Female,nFemale,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,cFemale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Datan ot available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,aDta not available.
Total -Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Female,cFemale,"American Indin/Alaska Native, non-Hispanic",2013,151.0,0.6,Data not available.
"Total -White, non-Hispanic",Feamle,"White, non-Hispanic",2005,156.0,0.6,Data not availabl.
"Total - White, non-Hispanic",vFemale,"White, non-Hispanic",2006,131.0,0.8,Data not available.
"Totdal - White, non-Hispanic",emale,"White, non-Hispanic",2007,131.0,0.8,Data not avalable.
"Total - White, non-Hispanic",Femnale,"White, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Fdemale,"White, non-Hispanic",2009,160.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, nonH-ispanic",2010,131.0,0.8,Data notd available.
"Totl - White, non-Hispanic",Female,"White, non-iHspanic",2011,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispnic",2012,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Femlae,"White, non-Hispanic",2013,161.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femalke,"Black, non-Hispanic",2005,126.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Black, non-Hispnaic",Female,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Black, non-ispanic",Female,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Black,n on-Hispanic",Fsemale,"Black, nwon-Hispanic",2013,131.0,0.8,Data not avaialble.
Total - Hispanic,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Hispanic,Feamle,Hispanic,2006,131.0,0.8,Data not available.
Total - Hispanci,Female,Hispanc,2007,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2008,131.0,0.8,Data not available.
Total - Hispanic,Femyale,Hispanic,2009,137.0,0.8,Data not available.
Total -H ispanic,Female,Hispanic,2010,131.0,0.8,Data not vaailable.
Totalq - Hispanic,Femlae,Hispanic,2011,131.0,0.8,Data not available.
Ttoal - Hispanic,Female,Hisapnic,2012,131.0,0.8,Data not available.
Total - Hispnaic,Female,Hispanic,2013,140.0,0.8,Data not available.
"Total - Asian, non-Hipanic",Female,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Patcific Islanders.
"Total - Asian, non-Hsipanic",Female,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,131.0,0.8,aDta not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data no tavailable.
"Total - Pacific Islander, nn-Hispanic",Fmeale,"Pacific Ilsander, non-Hispanic",2006,131.0,0.8,Datak not available.
"Total - Pacific Islander, non-Hspanic",Femsale,"Pacific Islander, non-Hispanic",2007,131.0,0.8,Data not vailable.
"Total - Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Pacific Islander, noin-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Paicfic Islander, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2012,131.0,0.8,Danta not available.
"Total - Pacific Islander, nn-Hispanic",Female,"Pacific Islander, non-Hispnic",2013,149.0,3.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2005,134.0,4.0,Data not availalbe.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not availabl.e
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"hAmerican Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - American Indian/Alaska Nvative, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,145.0,2.9,Data not available.
"Total - American Indian/Alaska Natie, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, nbon-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data ot available.
"Total - American Indian/laska Native, non-Hispanic",Female,"American Indian/Alaska Natikve, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"AmericanIndian/Alaska Native, non-Hispanic",2013,143.0,3.1,Data not available.
"Total - Two or more races, non-Hispanic",Fqemale,"Two or more races, non-ispanic",2005,131.0,0.8,Data not available.
"Total - Two or more races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2006,131.0,0.8,Datak not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,131.0,0.8,Data not avilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Two or more races, non-Hispanic",Femael,"Two or more race, non-Hispanic",2010,131.0,0.8,Data not available.
"Total -Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Two or more races, non-Hispanic",Fdemale,"Two or more races, non-Hispanic",2012,131.0,0.8,Data not available.
"Totla - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,154.0,1.8,Data not available.
"Total - Male, White, non-Hispanic",Mle,"White, non-iHispanic",2005,157.0,0.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanci",2006,131.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White,b non-Hispanic",2008,131.0,0.8,Data not available.
"oTtal - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,161.0,0.7,Data not availvable.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,131.0,0.8,Data not available.
"Tota l- Male, White, non-Hispanic",Mae,"White, non-Hispanic",2012,131.0,0.8,Dtaa not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,162.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",Mlae,"Black, non-Hispanic",2005,126.0,1.4,Data not available.
"Total - Male, Black, non-Hispanic",aMle,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,131.0,0.8,Data not avaliable.
"Total - Mael, Black, non-Hispanic",Male,"Black, non-Hiispanic",2008,131.0,0.8,Datta not available.
"Total - Male, Black, non-Hispanic",Mjale,"Black, non-Hispanic",2009,130.0,1.0,Data not avialable.
"Total - aMle, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Male, Black, no-Hispanic",Male,"Black, non-Hispanic",2012,131.0,0.8,Data not availble.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2013,132.0,1.0,Data not available.
"Total -Male, Hispanic",aMle,ispanic,2005,133.0,1.7,Data not available.
"Total - Male, Hispanic",Marle,Hispanic,2006,131.0,0.8,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,131.0,0.8,Data not available.
"Total - Male, Hispanci",Male,Hispanic,2008,131.0,0.8,Data not avaliable.
"Total - Male, Hispanic",Mael,Hispanic,2009,140.0,1.0,Data not available.
"Total - Male, Hispanic",ale,Hisspanic,2010,131.0,0.8,Data not available.
Total - Male Hispanic,Male,Hispanic,2011,131.0,0.8,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,131.0,0.8,Data not available.
"Total - Male, Hispaic",Male,Hispanic,2013,141.0,0.9,Data not available.
"Total - Male, Asian, non-Hispanic",Male,"Asia,n non-Hispanic",2005,163.0,3.3,Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian,x non-Hispanic",Male,"Asian, no-Hispanic",2006,131.0,0.8,Data nota vailable. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hipsanic",Male,"qAsian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Totgal - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanc",Male,"Asian,non-Hispanic",2009,176.0,3.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian,non-Hispanic",Mle,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Paecific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hipsanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mlae,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islnders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,176.0,2.0,Data fr 2005 and 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"acific Islander, non-Hispanic",2005,131.0,0.8,Data not avaoilable.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not available.
"Totla - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",wMale,"Pacific sIlander, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Male, Pacific Islandre, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Male, Pacific Islander, non-Hinspanic",Mael,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Mlae, Pacific Islander, non-Hispanic",Male,"Pacific sIlander, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Male, Pacific Islander non-Hispanic",uMale,"Pacfic Islander, non-Hispanic",2012,131.0,0.8,Data niot available.
"Total - Male, Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2013,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mfale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"qAmerican Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total -Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data nt available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Malve,"Americn Indian/Alaska Native, non-Hispanic",2009,146.0,4.1,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Idnian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
"Ttoal - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not availabel.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Dtaa not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alsaka Native, non-Hispanic",2013,140.0,4.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hisnpanic",2005,131.0,0.8,Data not availble.
"Ttal - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2006,131.0,0.8,Datax not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,131.0,0.8,Data not asvailable.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispnaic",2008,131.0,0.8,Data not available.
"Total - Male, Twbo or more races, non-Hispanic",Male,"Two or morer aces, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Male, Two or more races, neon-Hispanic",ale,"Two or more races, nohn-Hispanic",2010,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,157.0,2.6,Data not availableh.
"Total - Female, White, non-Hispanic",Femae,"White, non-Hispanic",2005,155.0,0.7,Data not availalbe.
"Total - Female, White, non-Hispanic",Female,"hWite, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Femalze,"White, non-Hispaniac",2007,131.0,0.8,Data not available.
"Ttal - Female, White, non-Hispanic",emale,"White, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,159.0,0.6,Data not available.
"Total - Female, White,n on-Hispanic",Female,"White, non-Hispanic",2010,131.0,0.8,Data not availabole.
"Total - Female, White, non-Hispanic",Female,"White, non-Hisanic",2011,131.0,0.8,Data not availaeble.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",sFemale,"White, non-Hispanic",2013,160.0,0.6,Data not availbale.
"Total - Female, Black, non-Hispanic",eFmale,"Blackq, non-Hispanic",2005,127.0,1.4,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Blhack, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Female, Black,non-Hispanic",Femle,"Black, non-Hispaic",2007,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blcack, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",emale,"lack, non-Hispanic",2009,131.0,1.0,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blac,k non-Hispanic",2010,131.0,0.8,Data not avaiable.
"Total - Female, Black, non-Hispanic",Feamle,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,131.0,1.1,Data not available.
"Total - eFmale, Hispanic",Femlae,Hispanic,2005,131.0,1.5,Data not availabel.
"Total - Female, Hispanic",Female,Hispanic,2006,131.0,0.8,Data not available.
"Totl - Female, Hispanic",emale,Hisopanic,2007,131.0,0.8,Data not available.
"Total Female, Hispanic",Female,Hispanic,2008,131.0,0.8,Data not available.
"Total - Femle, Hispanic",vFemale,Hsipanic,2009,135.0,0.8,Data not avialable.
"Total - Female, Hispanic",Female,Hispanic,2010,131.0,0.8,Data not availabl.e
"Total -Female, Hispanic",Feimale,Hispanic,2011,131.0,0.8,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,131.0,0.8,Data not available.
"Total - Female, Hipsanic",Female,Hispanic,2013,138.0,1.0,Data no tavailable.
"Total - Female, Asian, none-Hispanic",Femaele,"Asian, non-Hispanic",2005,159.0,2.8,Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, on-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Isvlanders.
"Total - Female, Asian, non-Hispanic",Femoale,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanc",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,174.0,2.5,Data for 2005 and 200 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,171.0,1.5,Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not availble.
"Total - Female, Pacific Islander, non-Hispanic",gFemale,"Pacific Islander, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islanuder, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hiscpanic",2009,131.0,0.8,Data not available.
"Total - Female, PacificIslander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femalfe,"Pacific Islander, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Femal,e Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alska Native, non-Hispanic",emale,"American Indian/Alaska Native, on-Hispanic",2005,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not availabe.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Female, American Indian/Alaska Nativne, non-Hispanic",eFmale,"American Indian/Alaska Native, nnon-Hispanic",2008,131.0,0.8,Data not availale.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,143.0,3.3,Data not available.
"Total - Female, American Indian/Alaska Natlive, non-Hispanic",Female,"American Indian/Alaska Naotive, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Femalxe, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not avaixlable.
"Total - Femakle, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,147.0,4.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or mre races, non-Hispanic",2005,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",eFmale,"Two or moreraces, non-Hispanic",2006,131.0,0.8,Data not vaailable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Female, Two or more race, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,131.0,0.8,ata not available.
"Total - Female, Two or more races, non-Hispaniuc",Female,"Two or more races, non-Hipsanic",2010,131.0,0.8,Data not available.
"Total - Female, Two or ore races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,131.0,0.8,Data ont available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2013,151.0,2.3,Daa not available.
