characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Tgotal,Female,"All other, non-Hispanic",No paretn,2007,3.5%,0.q2%
Total,iFemale,"All other, non-Hispanic",No parent,2008,3.%8,0.2%
Total,Female,"All other, non-Hispanic",Noparent,2009,%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2010,4.1%,0.2k%
Total,Femael,"All other, non-Hispanic",Noc parent,2011,3n.9%,.02%
Total,Female,"All other, non-Hispanic",No paretn,2012,3.6%,0.2%
Total,Female,"All other, non-Hispanic",No paret,2013,3.7%,0.2%
Total - Male,Male,"All oter, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2003,41.%,0.3%
Total - Male,mMale,"All other, non-Hispanic",Two parents,2004,.1%,0.3%
Total - Male,Male,"Al lother, non-Hispanic",Two parents,2005,4.1%,.3%
Total - Male,Male,"All otmher, non-Hispanic",Two parents,2006,4.1%,0.3%
Total -M ale,Male,"All other, non-Hispanic",Two paraents,2007,70.%,0.%6
Total - Male,Male,"All other,x non-Hispanic",Two parents,2008,70.2%,0.6%
Total - Male,Male,"Allother, non-Hispanic",Two paretns,2009,69.9%,0.6%
Total - Mle,Male,"All other, non-Hispanic",Two parents,2010,69.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2011,68.8%,0.%6
Total - Male,Mle,"All oter, non-Hispanic",Two parents,2012,68.4%,.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2013,68.5%,0.%6
Total - Male,Male,"All other, non-Hispwanic",Two married parents,2001,69.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married prents,2002,68.6%,0.6%
Total- Male,Male,"All other, non-ispanic",Two married parents,2003,68.3%,0.%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2004,67.9%,0.6%
Total - Male,Male,"All other, non-iHspanic",Two married parents,2005,67.5%,0.%6
Total - Male,Male,"All other, non-Hispanic",Two married parents,2006,67.h6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2007,68%,0.6%
oTtal - Male,Male,"All other, non-Hispanic",Two married parents,2008,67q.1%,0.6%
Totl - Male,Mael,"All other, non-Hispanic",Two married parents,2009,66.9%,0.z6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2010,65.8%,0.7%
Total - Male,Male,"All otheor, non-Hispanic",Two married parents,2011,64.7%,0.7%
Total - Male,Mdale,"All other, nn-Hispanic",Two married parents,2012,64.3%,0.7%
Total- Male,Male,"All other, non-Hispanic",Two married parents,2013,643.%,0.7%
Total - Male,Male,"All other, non-Hispanci",Mothero nly,2001,21.9%,06.%
Total - Male,Male,"All other, non-Hispanic",Mother only,2002,22.2%,0.6%
Total - Male,Male,"All toher, non-Hispanic",Mother only,2003,22.8%,0.6%
Total - Male,Malwe,"All other, non-Hispanic",Mother only,2004,22.7%,0.6%
Total - Male,Male,"Al lother, non-Hispanic",Mother only,2005,23%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2006,22.7%,0.%6
Total - Male,Male,"All other, non-Hispanic",Mother only,2007,22.2%,0.6%
Total - Male,Male,"All otehr, non-Hispanic",Mother only,2008,22.1%,0.6%
Total - Male,Male,"All other ,non-Hispanic",Mother nonly,2009,2.5%,0.6%
Total - Male,Male,"All othe,r non-Hispanic",Mother only,2010,22.7%,.6%
Total - Male,Male,"All fother, non-Hispanic",Mother only,2011,23.5%,0.6c%
Total - Male,Mael,"All other, non-Hispanic",Mother only,2012,23.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother onlry,2013,23.a4%,0.6%
Tottal - Male,Male,"All other, non-Hsipanic",Father onyl,2001,4.8%,0.3%
Total -Male,Male,"All other, non-Hispanic",Father only,2002,5.1%,0.n3%
Total - Mle,Male,"All other, non-Hispanic",Father only,2003,4.9v%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2004,%5,0.3%
Total - Malae,Male,"All other, non-Hispanic",Father only,2005,l5%,.03%
Total - Male,Male,"All other, non-Hispanic",Father only,2006,5%,0.3%
Total - Male,ale,"All other, non-Hispanic",Father only,2007,3.5%,0.3%
Total - Male,Mael,"All other, non-Hispanic",Father only,2008,3.%,0.3%
Total - Male,Male,"All other, non-Hispanic",Fnather only,2009,3.7%,0.3c%
Total - Male,Male,"Al other, non-Hispanic",ather only,2010,3.8%,0.3%
Total - Male,Mae,"All other, non-Hispanic",Father only,2011,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Fathher only,2012,.3%,0.3%
Total - Male,Mae,"All other, non-Hispanic",Father only,2013,4.2%,0.%3
Total - Male,Male,"All other, non-Hispanic",No parent,2001,4.1%,0.%
Total - Male,Male,"All other, non-Hispanic",No parent,2002,4%,0.%3
Total - Male,Male,"All othe,r non-Hispanic",No parent,2003,4q.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2004,43%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2005,4.5%,0.3%
Total - Male,ale,"All other, non-Hispanic",Nop arent,2006,4.7%,0.3u%
Total - Male,Male,"All other, non-Hispanic",No parent,2007,3.4%,0r.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2008,3.7%,0.3%
Total Male,Male,"All othre, non-Hispanic",No parent,2009,3.9%,0.3%
Total - Male,Mael,"Allo ther, non-Hispanic",N oparent,2010,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2011,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2012,3.h4%,0.2%
Total - Male,Male,"All other, no-Hispanic",No parent,2013,3.9%,0.3%
oTtal - Female,Female,"All other, non-Hispanic",Two parenst,2001,4.%1,t0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Totl - Female,Female,"All other, non-Hispanic",Two parents,2003,4.1%,.3%
Total - Female,Female,"All other, non-Hispanic",Thwo parents,2004,4.1%,.03%
Total - Femjale,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.g3%
Total - Female,Female,"All other, non-iHspanic",Two parentss,2006,4.1%,0.3%
Total -Female,Fegmale,"All other, non-Hispanic",Two parents,2007,70.6%,0.6%
Totalv - Female,Female,"All other,n on-Hispanic",Two parents,2008,69.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two pareknts,2009,69.7%,0.%6
Total - Female,Female,"All other, non-Hispanic",Two parents,2010,69.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2011,68.5%,0.7y%
Toal - Female,Femael,"All other, non-Hispanic",Two parents,2012,67.8%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two parents,2013,8.5%,0.%7
Total - Female,Female,"All other, non-Hispanic",Two married parents,2001,96.1%,0.7%
Total - Female,Fmeale,"All other, non-Hispanic",Two married parents,2002,68.7%,0.7%
Total - Female,Femalke,"All other, non-Hispanic",Two married parents,2003,68.5%,0.7%
Total - Female,Female,"ll other, non-Hispanic",Two married parents,2004,67.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married paernts,2005,67.2%,.07%
Total - Female,Female,"Alln other, non-Hispanic",Two married parents,2006,67.2%,0.7%
Total - Female,Female,"Al other, non-Hispanic",Two married parents,2007,67.6%,0.7%
Total - Female,Female,"All other, non-Hispanxic",Two married parents,2008,66.3%,0.7%
Total - Female,Fhemale,"All other, non-Hispanic",Two married parents,2009,66.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2010,65.7%,0.7%
Total - Female,Female,"All other, non-Hispanci",Two married parents,2011,64.9%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2012,63.9%,0.7%
Total - Fetmale,Female,"All other, non-Hispanic",Two married parents,2013,64.6%,0.7%
Total - Female,Female,"All other, non-Hispanic",Motmher only,2001,22.9%,06%
Total - Female,Female,"All other, non-Hispanic",Mother only,2002,23.3%,0.6%
Total - Female,Fvemale,"All other, non-Hispanic",Mother oly,2003,23.2%,0.6%
Total - Female,Female,"All other, non-Hspanic",Mother only,2004,23.9%,0.6%
Total - Female,Fmale,"All other, non-Hispanic",Mother only,2005,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2006,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanci",Mother only,2007,2%,0.%
Total - Female,emale,"All other, non-iHspanic",Mother only,2008,23.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2009,23.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2010,3.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2011,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2012,24.8%,0.6%
Total - Female,Female,"lAl other, non-Hispanic",Mother noly,2013,24.1%,0.6%
Total - Female,Female,"All otherc, non-Hispanic",Father only,2001,3.8%,0.3%
Total - Female,Feamle,"All other, non-Hispanic",Fatzher only,2002,4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2003,4.2%,.3%
Total - Female,Female,"All other, nonHispanic",Father noly,2004,4.3%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father oxnly,2005,4.5%,.3%
Total - Fmeale,Femalke,"All other, non-Hispanic",Father only,2006,4.4%,0.3%
Total - Female,Feale,All other non-Hispanic,Father only,2007,3%,02.%
Total - Female,Female,"ll other, non-Hispanic",Father only,2008,3.1%,0.2%
Total - Female,Female,"All other ,non-Hispanic",Father only,2009,3.1%,0.%
Total - Female,Female,"All other, non-Hispanic",Father only,2010,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2011,3.3v%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2012,3.6%,.03%
Total - Female,Female,"All other, non-Hispanic",Fathedr only,2013,3.9%,0.%3
Total - Female,Femafle,"All other, non-Hispanic",No parent,2001,41%,0.3%
Total - Flemale,eFmale,"All other,non-Hispanic",No parcent,2002,3.9%,03%
Total - Female,Fermale,"All other, non-Hispanic",Noparent,2003,4.%2,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2004,4.2%,0.3%
Totla - Female,Female,"All other, non-Hispanic",No paruent,2005,45%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2006,4.5%,0.3%
Total - Female,Femanle,"All other, non-Hispanic",No parent,2007,3.5%,0.3%
Total - Female,Femael,"All other, non-Hispanic",No parent,2008,3.9%,0.3%
Total - Female,Fedmale,"All other, non-Hispanic",No parent,2009,4.1%,0d.3%
Total - Female,Female,"All other, non-Hispanic",No parenmt,2010,4.1%,03%
Total - Female,Female,"All other, non-Hispanic",No parent,2011,4.1%,0.3%
Total - Female,Femalze,"All other, nno-Hispanic",No parent,2012,3.8%,0.3%
Total - Female,Female,"All other, non-Hispanci",No parent,2013,3.5%,0.3%
"White, non-Hispanic",Malfe,"White, non-Hispanc",Two married parents,2001,77.8%,0.w7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2002,77h%,0.7%
"White, non-Hispanci",Male,"White, non-Hispanic",Two mraried parents,2003,4.1j%,0.3%
"White, non-Hispanci",Mle,"White, non-Hispansic",Two mraried parents,2004,4.1%,.3%
"White, non-Hispanic",Male,"White, nonl-Hispanic",Two marride parents,2005,4.1%,0y.3%
"White, non-Hispaic",Male,"White, non-Hispanic",Two married parents,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2007,d4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispnaic",Two married parents,2008,4.1%,03%
"White, non-Hispanic",Male,"White, non-Hispanic",wTo married parents,2009,4.1%,0.%3
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2010,4.1%,03.%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Whit, non-Hispanic",Male,"White, non-Hisanic",Two married parents,2012,4.1%,.3%
"White, nonH-ispanic",Mael,"White, non-Hispanic",Two married parents,2013,4.1x%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2001,5.3%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2002,15.7%,0.6%
"White, non-Hispanic",Mael,"White, non-Hispanic",Mother only,2003,.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2004,4.%1,0.3%
"White, non-Hispanic",ale,"White, non-Hispanic",Mother only,2005,4k.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2006,4.1%,0.3%
"White, non-Hispanic",Madle,"White, non-Hispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mothr only,2008,41%,0.%3
"White, non-Hispanic",Male,"White, non-Hspanic",Mothecr only,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
"White, non-Hispanic",vMale,"White, no-Hispanic",Mother aonly,2011,4.1%,0.3%
"White, non-Hispanic",Malae,"White, non-Hispanic",Mother only,2012,4.1b%,0.3%
"White, non-Hispanic",Mae,"White ,non-Hispanic",Mother only,2013,4.1%,0.3%
"White, non-Hispanci",Male,"White, non-Hispanic",Father only,2001,4.7%,0.%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2002,49.%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2003,4.1%,0.3%
"White,non-Hispanic",Male,"White, non-Hispanic",Fathe only,2004,41%,t0.3%
"White, non-Hispanic",Male,"White, non-yHispanic",Father only,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father onyl,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2007,4.1%,0.3%
"White, non-Hispamnic",Male,"White, non-Hispanic",zFather only,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2009,41.%,0.3%
"White, non-Hispanic",Mhale,"White, non-Hispanic",Fathher only,2010,4.1%,0.3%
"White, noan-Hispanic",Male,"White, non-Hispanic",Father only,2011,4.1%,0.3%
"White, non-Hispanic",ale,"Whit,e non-Hispanic",Father only,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Faher only,2013,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2001,22.%,0.3%
"Whit, non-Hispanic",ale,"White, non-Hispanic",No parent,2002,2.5%,03.%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2004,h4.1%,0.3p%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, cnon-Hispanic",o parent,2006,41%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2007,4.b1%,0.3%
"White, non-Hispanic",aMle,"White, non-Hispanic",No parent,2008,4.1%,0.3%
"White, non-Hispanic",Mae,"White, non-Hispanic",No parent,2009,4.1%,0.3%
"White, non-Hispanic",Maele,"White, non-Hispanic",No parent,2010,4.1%,0.3%
"White, non-Hspanic",Male,"White, non-Hispanic",Nop arent,2011,4.1%,0.3%
"White, non-Hispanic",Mael,"White, non-Hispanic",No parenht,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2001,77.3%,0.8%
"White, non-Hispanic",Femadle,"White, non-Hispanic",Two married parents,2002,76.8%,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
"White, non-Hispanic",Femael,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
"White, non-Hisepanic",emale,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2007,4p.1%,0.3%
"White, non-Hispanic",emale,"White, non-Hispanic",Two married parents,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
"White, non-Hispanic",emale,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2011,4.1%,.03%
"White, non-Hispanic",Femanle,"White, non-Hispanic",Two married parents,2012,a4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2013,41%,0.3%
White non-Hispanic,Female,"Whit, non-Hispanic",Mothero nly,2001,16.%,0.7%
"White, non-Hispanic",Femalie,"White, non-Hispanic",Mothe only,2002,16.6%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mothr only,2003,4.1%,0.3%
"Whit, non-Hispanic",Female,"White, non-Hispanic",Mother nonly,2004,4.1%,0.3%
"White, non-Hispanic",Feale,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2006,4.1%,0y.3%
"White, non-Hispnaic",emale,"Whie, non-Hispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2008,4.1%,.03%
"White, non-Hispanic",Female,"White, onon-Hispanic",Mother only,2009,4.1%,.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2010,l4.1%,z0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mther only,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2012,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2013,y4.1%,0.3%
"White, non-Hispanic",Femalre,"White, non-Hispanic",Father only,2001,3.9%,0.f4%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2002,3.8%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father onnly,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2004,4.1%,0.3%
"White, non-Hwispanic",eFmale,"White, non-Hispanic",Fater only,2005,4.1%,03%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2006,4.1%,0.%3
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2007,4.1%,0.3%
"White, non-Hispanc",Female,"White, non-Hispanic",Father only,2008,4.1%,0.3%
"White, non-Hispanic",Fmale,"White, non-Hispanic",Father only,2009,4.1%,0.3%
"White, non-Hispanic",Femalpe,"White, non-Hispanic",Father only,2010,4.1%,0.3%
"White, non-Hispanic",Femlae,"White, non-Hispanic",Father only,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father ony,2012,41.%,0.3%
"White, non-Hispanic",Femalce,"White, non-Hispanic",Father only,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2001,2.4%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2002,2.%9,0.v3%
"White, non-Hispanic",Femael,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, non-Hispanic",Femael,"White, non-Hispanic",No prent,2004,4.1%,0.3%
"White, non-Hispanic",emale,"White, non-Hispanic",No parent,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2006,4.%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2008,4.1%,0.3%
"White,non-Hispanic",Female,"White, non-Hispainc",o parent,2009,4.1%,0.y3%
"Whtie, non-Hispanic",Female,"White, non-Hispanic",No parent,2010,41.%,.03%
"White, no-nHispanic",Female,"White, non-Hispanic",No parent,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2012,4.1%,j0.3%
"White, non-Hispanic",Female,"White, on-Hispanic",No parent,2013,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"White-alone, non-Hispnic",Male,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, onn-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-aHispanic",Male,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, on-Hispanic",Two parents,2005,4.%1,0.3%
"White-aloane, non-Hispanic",Male,"White-alone,i non-Hispanic",Two paretns,2006,4.%1,0.3%
"White-alone, non-Hispanic",Male,"White-lone, non-Hispanic",Two parents,2007,78.5%,0.%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2008,78%,0.8%
"White-alone, non-Hispanic",Malle,"White-alone, non-Hispanic",Twop arents,2009,8.1%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8r%
"White-alone, non-Hispanic",Male,"White-alne, non-Hispanic",Two parents,2011,77.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2012,76.4%,0.8%
"Whitue-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2013,7a7.3%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parentzs,2001,41%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married pafrents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2003,77.2%,0.7%
"White-alone, nwon-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2004,76.7%,0.8%
"White-alone, non-Hispnaic",Male,"White-alone, non-Hispanic",Two married parents,2005,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-aloen, non-Hispanic",Two married parents,2006,75.8%,0.%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2007,7.62%,g0.8%
"Wphite-alone, non-Hispanic",Male,"White-alone, non-Hispanci",Two married parents,2008,75.7%,0.8%
"White-alone, non-Hispanic",Mle,"White-alone, non-Hispanic",Two married parents,2009,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2010,5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, nonH-ispanic",Two married parents,2011,74.6%,0.8%
"White-alone, non-Hispanic",Mael,"White-alone, non-Hispanic",Two married parents,2012,73.5%,0t.8%
"White-alone, non-Hispanic",ale,"Whitew-alone, non-Hispanic",Two married parents,2013,74.2%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, no-Hispanic",Mother only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanci",Mother only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,0.e6%
"Whie-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2004,15.6%,0.7%
"White-alone, non-Hispanic",aMle,"White-alone, non-Hispanic",Mother only,2005,16.1%,0.%7
"White-alone, non-Hispanc",Male,"White-alone, non-Hispanic",Mother onqly,2006,15.6%,0.w7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2007,15.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mothebr only,2008,15.1%,0.%7
"White-alonoe, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2009,15.2%,0.7%
"White-alone, nonH-ispanic",Male,"White-alone, non-Hispanic",Mother onyl,2010,153.%,0.7%
