Unnamed: 0,Chamber/Committee,Motion,Date,Result
select this vote,Senate,"On the Amendment S.Amdt. 2167 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 75 voted YES 24 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2445 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 55 voted YES 44 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2174 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 43 voted YES 56 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2370 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 58 voted YES 41 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2172 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 41 voted YES 58 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2238 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 73 voted YES 26 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2181 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 15 voted YES 84 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2191 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 33 voted YES 66 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2309 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 76 voted YES 23 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2217 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 42 voted YES 57 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2156 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 33 voted YES 66 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2263 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 45 voted YES 54 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2268 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 14 voted YES 84 voted NO 2 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2276 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 20 voted YES 79 voted NO 1 voted present/not voting
select this vote,Senate,Amendment SA 2195 agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2202 agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2204 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2242 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2246 agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2254 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2287 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2299 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2340 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2345 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2355 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2363 as modified agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2388 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2403 agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2427 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2432 not agreed to in Senate by Voice Vote.,6/20/2012,DID NOT PASS by voice vote
select this vote,Senate,Amendment SA 2442 agreed to in Senate by Division Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2443 agreed to in Senate by Unanimous Consent.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2453 agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2457 as modified agreed to in Senate by Voice Vote.,6/20/2012,PASSED by voice vote
select this vote,Senate,"On the Amendment S.Amdt. 2382 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 63 voted YES 36 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2273 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 44 voted YES 55 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2289 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 30 voted YES 69 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2293 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 62 voted YES 37 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2454 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 59 voted YES 40 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2354 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 43 voted YES 56 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2295 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 77 voted YES 22 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2313 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 21 voted YES 77 voted NO 2 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2314 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 15 voted YES 84 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2360 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 35 voted YES 63 voted NO 2 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2226 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 36 voted YES 63 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2433 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 46 voted YES 53 voted NO 1 voted present/not voting
select this vote,Senate,On the Motion to Recommit S. 3240,6/20/2012,This motion DID NOT PASS the Senate 29 voted YES 70 voted NO 1 voted present/not voting
select this vote,Senate,On the Motion (Johnson (WI) Motion to Recommit with Instructions),6/20/2012,This motion DID NOT PASS the Senate 40 voted YES 59 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2363 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 88 voted YES 11 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2438 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 52 voted YES 47 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2437 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment DID NOT PASS the Senate 44 voted YES 55 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2439 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/20/2012,This amendment PASSED the Senate 66 voted YES 33 voted NO 1 voted present/not voting
select this vote,Senate,Amendment SA 2455 as modified agreed to in Senate by Voice Vote.,6/21/2012,PASSED by voice vote
select this vote,Senate,"On the Amendment S.Amdt. 2456 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment DID NOT PASS the Senate 47 voted YES 48 voted NO 5 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2372 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment DID NOT PASS the Senate 56 voted YES 43 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2247 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment DID NOT PASS the Senate 58 voted YES 41 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2310 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment DID NOT PASS the Senate 26 voted YES 73 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2214 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment PASSED the Senate 95 voted YES 4 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2166 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/21/2012,This amendment DID NOT PASS the Senate 45 voted YES 54 voted NO 1 voted present/not voting
select this vote,Senate,"S. 3240 (112th): Agriculture Reform, Food, and Jobs Act of 2012",6/21/2012,This bill PASSED the Senate 64 voted YES 35 voted NO 1 voted present/not voting
