Code,Site,Date,Tournament
10GRE14,GREKAIAF,2010-10-31,MICHAILIDIS MASTERS 2010
11S016R,USAS0301,2010-10-31,Stillwater Lakes Year End CELR
11S078R,USAS0286,2010-10-31,Miami Nautique International Championship
11C043R,USAC0071,2010-10-31,Tri-Lakes Halloween Bash
11AUS902,AUS9010,2010-11-06,Bonneys November Tournament
11AUS902,AUS9010,2010-11-06,Bonneys November Tournament
11CHI002,CHI006,2010-11-06,COPA CARLOS CHICHARRO
10COL09,COL004,2010-11-13,LI Campeonato Nacional 2010
10MAS04,MASPUTRA,2010-11-13,2010 Malaysian Championships Round 4
10MAS04,MASPUTRA,2010-11-13,2010 Malaysian Championships Round 4
10COL09,COL004,2010-11-13,LI Campeonato Nacional 2010
11chi91,chi005,2010-11-21,LAST Chile
11CHI99,CHI004,2010-11-22,2010 IWWF Pan Am Championships
PA2010CH,CHI002,2010-11-22,2010 IWWF Pan Am Championships
10NZL01,NZL60002,2010-11-27,Canterbury Pick and Choose
11AUS308,AUS3040,2010-12-04,December Victorian Inter Club
11AUS312,AUS3035,2010-12-11,Cowra 3 Round Slalom and Jump
11RSA002,RSA00003,2010-12-11,WestCoast Champs
11RSA002,RSA00003,2010-12-11,WestCoast Champs
10NZL03,NZL60002,2010-12-12,Clearwater 3-Event
11AUS905,AUS9010,2010-12-18,GreenSki Xmas Tournament
11CHI003,CHI005,2010-12-18,COPA CHICUREO
10NZL31,NZL20002,2010-12-18,Kereta Backyard Bash Jump
11ARG01,ARG004,2010-12-18,Nacional Apostoles 2011
11AUS315,AUS3025,2011-01-01,Mulwala Record
11CHI004,CHI004,2011-01-08,CAMPEONATO LOS MORROS
11CHI005,CHI004,2011-01-09,1ra COPA MIRANDA ESQUI
11AUS316,AUS3035,2011-01-11,Cowra 3 Round Slalom and Jump
11CHI012,CHI004,2011-01-15,LOS MORROS OPEN
10NZL04,NZL10001,2011-01-16,Kaiiwi 3-Event
11RSA003,RSA00002,2011-01-16,Mofam Stimorol WP Champs
11ARG02,ARG001,2011-01-22,Nacional Rosario 2011
11AUS001,AUS2020,2011-01-22,2011 Junior Masters
11AUS002,AUS3025,2011-01-27,2011 Australian Masters
11CHI006,CHI004,2011-01-29,COPA BUDAPEST
11PER001,PER001,2011-01-29,LATIN SENIOR TOUR PERU 2011
11MEX01,MEX001,2011-02-02,Torneo de la Amistad 2011
11AUS914,AUS9015,2011-02-11,Kojonup State Series
11AUS318,AUS3035,2011-02-12,Cowra Station 5 Round Swerve
11AUS216,AUS2020,2011-02-19,2011 Australian Open
11ARG03,ARG003,2011-02-19,Nacional C�rdoba 2011
11RSA005,RSA00003,2011-02-19,BonEs Open 2011
11CHI007,CHI004,2011-02-19,SEGUNDA COPA MIRANDA SKI
11CHI008,CHI006,2011-02-26,COPA CHACABUCO
10NZL08,NZL30001,2011-02-27,Piarere Pick 'n Choose
11AUS323,AUS3025,2011-03-05,Moomba LCQ
11ARG04,ARG002,2011-03-06,Nacional Ezeiza 2011
11AUS324,AUS3030,2011-03-09,2011 Junior Moomba
11AUS326,AUS3030,2011-03-11,2011 Moomba Masters
11AUS222,AUS2005,2011-03-19,2011Albury 5 Round Slalom
11CHI009,CHI004,2011-03-27,TORNEO NACIONAL
11NAM001,NAM00001,2011-03-27,Namibian National Championships
10NZL15,NZL60001,2011-03-27,2011 NZ Nationals
11AUS920,AUS9010,2011-04-02,WA Series March 2011
11S172R,USAS0378,2011-04-02,Isles Spring Record
11AUS322,AUS3040,2011-04-02,2011 Victorian State Titles
11AUS922,AUS9010,2011-04-02,WA State Titles 2011
11AUS226,AUS2020,2011-04-02,2011 NSW-ACT State Titles
11S176R,USAS0378,2011-04-03,Isles Lake 2 SwerveFest
11RSA006,RSA00008,2011-04-03,Interprovincial Championships
11RSA007,RSA00009,2011-04-08,Northern Cape Championships
11CHI011,CHI004,2011-04-09,ROMPE RECORD
11Bra01,BRA03,2011-04-09,L.A.S.T. Brazil 2011
11S104R,USAS0001,2011-04-10,FSC Fund Raiser
11CHI010,CHI004,2011-04-10,copa andromaco
11S152R,USAS0275,2011-04-10,Swiss Spring Classic
11AUS726,AUS7020,2011-04-16,2011 QLD State Titles
11S165R,USAS0001,2011-04-17,John Roach Memorial
11S090R,USAS0301,2011-04-17,Stillwater Lakes Season Opener
11MEX02,MEX001,2011-04-20,XXIX LATIN AMERICAN TOURNAMENT 2011
11AUS101,AUS7015,2011-04-21,2011 Australian Nationals
11RSA008,RSA00008,2011-04-22,KZN Championships
11S175R,USAS0718,2011-04-23,Choctawhatchee Thriller
11S178R,USAS0306,2011-04-23,McCormick International Cup
11RSA009,RSA00008,2011-04-24,South African Championships
11S179,USAS0378,2011-04-29,Trick Jam 3.0
11S179R,USAS0378,2011-04-29,Trick Jam 3.0
11C077L,USAC0500,2011-04-30,Mr Bills Birthday Record Event
11S180,USAS0378,2011-04-30,Trick Jam 3.1
11S180R,USAS0378,2011-04-30,Trick Jam 3.1
11S106R,USAS0274,2011-04-30,Champions Lake Spring International
