dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/01/2020,11/19/2022,AL,Chambers Ckounty,2180.0,Micropolitan,55.0,1005.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Cherokee uCounty,2150.0,Noncroe,42.0,793.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Chilton County,2195.0,Large fringe metor,72.0,1162.0,One or more data cells have counts between 1-9 andu have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1v1/19/2022,AL,Choctaw County,1023.0,Noncore,27.0,367.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1x1/23/2022,01/01/2020,11/192022,L,Clarke County,1025.0,Noncore,36.0,805.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Clay County,2105.0,Noncore,52.0,545.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2022,AL,Cleburne County,2105.0,Noncore,28.0,428.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Coffee County,2020.0,icropolitan,191.0,1562.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,AL,Colbert County,2020.0,Small metro,326.0,2209.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Conecuh County,2020.0,Noncore,40.0,385.0,One or ore data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Coosa County,2180.0,Micropolitan,11.0,257.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/o01/2020,11/19/2022,AL,Covington County,2110.0,Noncore,243.0,1715.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Crenshaw County,1013.0,Noncore,61.0,530.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NvCHS confidentiality standards.
11/23/2022,01/01/0220,11/19/2022,AL,Cullman County,2020.0,Micropolitan,397.0,3405.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/u2022,01/01/2020,11/19/2022,AL,Dale County,2290.0,Micropolitan,141.0,1332.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,AL,Dallas County,2185.0,Micropolitan,201.0,1489.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LA,DeKalb County,2130.0,Noncore,204.0,2263.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,AL,Elmore County,2130.0,Mediummetro,91.0,1996.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Escambi aCounty,2110.0,Noncore,154.0,1279.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202h2,01/01/2020,11/19/2022,AL,Etowah County,2122.0,zSmall metro,741.0,5153.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Fayette County,2198.0,Noncore,43.0,509.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Franklin County,2122.0,Noncore,68.0,953.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/012/020,11/19/2022,AL,Geneva County,1013.0,Small metro,99.0,1007.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/32/2022,01/01/2020,11/19s/2022,LA,Greene County,2068.0,Nonvcore,16.0,224.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/a2020,11b/19/2022,AL,Hale County,1003.0,Small metro,30.0,444.0,One or more data ells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Henry County,2180.0,Samll metro,10.0,420.0,One or more data cells have counts between 1-9 and have been suppressed in accordnce with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Houston Cuonty,2020.0,Small metro,1034.0,6347.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS cnofidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Jackson County,2105.0,Micropolitan,157.0,1961.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Jeferson County,2122.0,Large central metro,3813.0,32942.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Lamar County,2240.0,Nocore,18.0,374.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality sandards.
1123/2022,01/01/2020,11/19/2022,AL,Lauderdale County,1077.0,Smll metro,495.0,4495.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,AL,Lawrence County,2185.0,Small metro,65.0,995.0,One or more data cells have counts between 1-9 and have been suppresed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LA,Lee County,2198.0,Small metro,566.0,4050.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,010/1/2020,11/19/2022,AL,Limestone County,1003.0,Medium metro,237.0,2556.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LA,Lowndes County,1025.0,Medium metfro,14.0,266.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,hAL,Macon County,2240.0,Noncore,16.0,435.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,L,Madison County,2050.0,Medium metro,1429.0,13525.0,One or more data cells have counts between 1-9 and ahve been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Marengo County,2290.0,Noncore,122.0,794.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Marion County,2105.0,Noncore,120.0,1145.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,w11/19/2022,AL,Marshall County,1095.0,Micropolitan,387.0,3851.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2o022,AL,Moble County,2122.0,Medium metro,1951.0,17032.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,r01/01/2020,v11/19/2022,AL,Monroe County,2068.0,Nonicore,65.0,726.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Montgomery County,1011.0,Medium metro,1519.0,9851.0,One or more dtaa cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022***,01/01/2020,11/19/2022,AL,Morgan County,2188.0,Small merto,456.0,4252.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Perry County,2188.0,Nnocore,16.0,231.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Pickens County,1077.0,Small metro,38.0,496.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Pike County,2013.0,Micropolitan,110.0,931.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202t2,01/01/2020,11/192/022,AL,Randolh County,1003.0,Noncore,26.0,633.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202,01/01/2x020,11/19/2022,AL,Russell County,2020.0,Medium metro,109.0,1244.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,St. Clair County,1115.0,Large frdinge metro,185.0,2489.0,One or more data cells have counts between 1-9 and have been suppressed in accorcdance with NCHS confidentiality standards.
1123/2022,01/01/2020,11/19/2022,AL,Shelby County,2050.0,Large fringe metro,314.0,4316.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,L,Sumter County,2068.0,Noncore,19.0,324.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Talladega County,2122.0,Micropolitan,287.0,2746.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Tallapoosa County,1013.0,Noncore,175.0,1721.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Tuscaloosa County,2180.0,Samll metro,1052.0,7287.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Walker County,2130.0,Large fringe metro,357.0,3047.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,AL,Washington County,2050.0,Noncorte,22.0,420.0,One or more data cells have cuounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Wilcox Cuonty,2195.0,Nonore,14.0,270.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2w022,01/01/2020,11/19/2022,AL,Wintson County,2195.0,Noncore,65.0,822.0,One or more daat cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,nAR,Arkansas County,2240.0,Noncore,33.0,671.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Ashley County,1115.0,Noncore,26.0,612.0,One or more data cells have counts between 1-9and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Baxter County,2198.0,Micropolitan,369.0,2890.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1j1/23/2022,01/01/2020,11/19/2r022,AR,Benton County,5007.0,Medium metro,1008.0,6443.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Boone County,2050.0,Micropolitan,155.0,1413.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/9/2022,AR,Bradley County,5011.0,Noncore,29.0,293.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Calhoun County,2188.0,Micropolitan,16.0,105.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,RA,Carroll County,2180.0,Noncore,32.0,669.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/232022,01/01/2020,11/19/2022,AR,Chicot County,2122.0,Nocnore,30.0,359.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Clark Cvounty,2110.0,Micropolitan,39.0,633.0,One or more data cells have counts between 1-9 and have been suppressed i accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,R,Clay County,5021.0,Noncore,48.0,528.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Cleburne County,2150.0,Noncocre,59.0,827.0,One or more data cells have ounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/v2020,11/19/2022,AR,Cleveland County,1013.0,Smal lmetro,12.0,220.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Columbia County,5027.0,Micropolitan,92.0,781.0,One or more data cells have counts between 1-9 and hav ebeen suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Conway County,2122.0,Noncore,17.0,553.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
w11/23/2022,01/01/2020,11/19/2022,AR,Craighead County,2195.0,Small metro,1096.0,6871.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/202r0,11/19/2022,AR,Crawford County,2090.0,Medium metro,83.0,1419.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,AR,Crittenden County,5035.0,Large fringe metro,64.0,1108.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/c19/2022,AaR,Cross Couty,2105.0,Noncore,41.0,518.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Dallas County,2020.0,Nonlcore,28.0,265.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,RA,Desha County,2020.0,Noncore,18.0,325.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/123/2022,r01/01/2020,11/19/2022***,AR,Drew Counyt,2122.0,Noncore,32.0,584.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2b022,01/01/2020,11/19/2022,AR,Faulkner County,2020.0,Medium metro,462.0,3614.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Franklin County,1003.0,Noncore,34.0,519.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/2022,RA,Fulto nCounty,2050.0,Nonctore,55.0,548.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0/12020,11/19/2022,AR,Garland County,5051.0,Small metro,751.0,5935.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/232/022,01/01/2020,11/19/2022,AR,Grant County,1025.0,Medium metro,19.0,427.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Greene County,2122.0,Micropolitan,88.0,1220.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,11/19/2022,AR,Hempstead ounty,2130.0,Noncore,41.0,544.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Hot Spring County,2122.0,Micropolitan,38.0,901.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/0222,01/01/2020,11/19/2202,AR,Howard County,2185.0,Noncore,36.0,443.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Independence County,2110.0,Micropolitan,330.0,1894.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/91/2022,AR,Izard County,2110.0,Noncre,31.0,468.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/0222,AR,Jackson County,2020.0,oNncore,25.0,511.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202,AR,Jefferson County,2150.0,Small metro,294.0,2698.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,AR,Johnson County,5071.0,Noncore,54.0,664.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Lafayette County,1023.0,Noncorve,16.0,164.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Lawrence County,2180.0,Noncore,30.0,408.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Lee County,2090.0,Noncore,16.0,238.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,11/19/2022,R,Lincoln County,2122.0,Small metro,17.0,273.0,One or more data cells have csounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112/3/2022,01/01/2020,11/19/2022,RA,Little River County,5051.0,Small metro,48.0,412.0,One or omre data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192022,AR,Logan County,2020.0,Noncore,42.0,653.0,One or more data cells have counts between 1-9 and have ben suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Loknoke County,2130.0,Medim metro,59.0,1371.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11x/23/2022,01/01/2020,11/19/2022,AR,Madison County,1003.0,Medium metro,13.0,355.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/b19/2022,AR,Marion County,2195.0,Noncore,34.0,594.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/220,11/19/2022,R,Miller Ceounty,2110.0,Small metro,39.0,948.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1z1/19/2022,AR,Mississippi County,2122.0,Micropolitan,76.0,1143.0,One or more data cells have counts between 1-9 nd have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AzR,Monroe County,2130.0,Noncore,16.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confientiality standards.
11/23/2022,01/01y/2020,11/19/2022,AR,Montgomery County,1077.0,Noncorxe,22.0,276.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,evada County,2090.0,Noncore,15.0,212.0,One or more data cells have ocunts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Newton County,5101.0,Micropolitan,23.0,240.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23e/2022,01/01/2020,11/19/2022,AR,Ouachita County,2105.0,Micropolitan,87.0,869.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Perry County,1011.0,Medium metor,16.0,224.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/32022,01/01/2020,11/19/2022,RA,Phillips County,2090.0,Micropolitan,43.0,529.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidezntiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Pike County,2122.0,Noncore,14.0,276.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01r/2020,11/19/2022,AR,Poinsett County,2150.0,Small metro,19.0,465.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,dAR,Polak County,2068.0,Noncore,113.0,701.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Pope County,1013.0,Micropolitan,157.0,2027.0,One oru more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
x11/23/2022,01/01/2002,11/19/2022,AR,Prairie County,2068.0,Noncoe,10.0,247.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Pulaski County,1003.0,Medium metro,2444.0,21256.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Randolph County,5121.0,Noncore,41.0,505.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
