OBJECTID,ElmType,SciName,CommonName,ElmCode,FedStatus,CalStatus,CDFWStatus,RPlantRank,CountyName,CountyCode,DataStatus,TaxonSort
40,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,TEHAMA,TEH,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
41,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,TRINITY,TRI,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
42,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,TULARE,TUL,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
43,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,TUOLUMNE,TUO,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
44,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,VENTURA,VEN,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
45,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,YUBA,YUB,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
46,Animals - Amphibians,Ambystoma californiense pop. 1,California tiger salamander - central California DPS,AAAAA01181,Threatened,Threatened,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Amphibians - Ambystomatidae - Ambystoma californiense pop. 1
47,Animals - Amphibians,Spea hammondii,western spadefoot,AAABF02020,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Amphibians - Scaphiopodidae - Spea hammondii
48,Animals - Amphibians,Rana draytonii,California red-legged frog,AAABH01022,Threatened,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Amphibians - Ranidae - Rana draytonii
49,Animals - Amphibians,Rana boylii pop. 4,foothill yellow-legged frog - central coast DPS,AAABH01054,Threatened,Endangered,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Amphibians - Ranidae - Rana boylii pop. 4
50,Animals - Birds,Pelecanus erythrorhynchos,American white pelican,ABNFC01010,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Pelecanidae - Pelecanus erythrorhynchos
51,Animals - Birds,Pelecanus occidentalis californicus,California brown pelican,ABNFC01021,Delisted,Delisted,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Pelecanidae - Pelecanus occidentalis californicus
52,Animals - Birds,Nannopterum auritum,double-crested cormorant,ABNFD01020,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Phalacrocoracidae - Nannopterum auritum
53,Animals - Birds,Botaurus lentiginosus,American bittern,ABNGA01020,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Ardeidae - Botaurus lentiginosus
54,Animals - Birds,Ardea herodias,great blue heron,ABNGA04010,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Ardeidae - Ardea herodias
55,Animals - Birds,Ardea alba,great egret,ABNGA04040,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Ardeidae - Ardea alba
56,Animals - Birds,Egretta thula,snowy egret,ABNGA06030,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Ardeidae - Egretta thula
57,Animals - Birds,Nycticorax nycticorax,black-crowned night heron,ABNGA11010,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Ardeidae - Nycticorax nycticorax
58,Animals - Birds,Plegadis chihi,white-faced ibis,ABNGE02020,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Threskiornithidae - Plegadis chihi
59,Animals - Birds,Elanus leucurus,white-tailed kite,ABNKC06010,None,None,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Elanus leucurus
60,Animals - Birds,Haliaeetus leucocephalus,bald eagle,ABNKC10010,Delisted,Endangered,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Haliaeetus leucocephalus
61,Animals - Birds,Circus hudsonius,northern harrier,ABNKC11011,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Circus hudsonius
62,Animals - Birds,Accipiter striatus,sharp-shinned hawk,ABNKC12020,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Accipiter striatus
63,Animals - Birds,Accipiter cooperii,Cooper's hawk,ABNKC12040,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Accipiter cooperii
64,Animals - Birds,Buteo swainsoni,Swainson's hawk,ABNKC19070,None,Threatened,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Buteo swainsoni
65,Animals - Birds,Buteo regalis,ferruginous hawk,ABNKC19120,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Buteo regalis
66,Animals - Birds,Aquila chrysaetos,golden eagle,ABNKC22010,None,None,FP | WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Accipitridae - Aquila chrysaetos
67,Animals - Birds,Falco columbarius,merlin,ABNKD06030,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Falconidae - Falco columbarius
68,Animals - Birds,Falco peregrinus anatum,American peregrine falcon,ABNKD06071,Delisted,Delisted,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Falconidae - Falco peregrinus anatum
69,Animals - Birds,Falco mexicanus,prairie falcon,ABNKD06090,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Falconidae - Falco mexicanus
70,Animals - Birds,Coturnicops noveboracensis,yellow rail,ABNME01010,None,None,SSC,-,Alameda,ALA,Mapped,Animals - Birds - Rallidae - Coturnicops noveboracensis
71,Animals - Birds,Laterallus jamaicensis coturniculus,California black rail,ABNME03041,None,Threatened,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Rallidae - Laterallus jamaicensis coturniculus
72,Animals - Birds,Rallus obsoletus obsoletus,California Ridgway's rail,ABNME05011,Endangered,Endangered,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Rallidae - Rallus obsoletus obsoletus
73,Animals - Birds,Charadrius nivosus nivosus,western snowy plover,ABNNB03031,Threatened,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Charadriidae - Charadrius nivosus nivosus
74,Animals - Birds,Numenius americanus,long-billed curlew,ABNNF07070,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Scolopacidae - Numenius americanus
75,Animals - Birds,Larus californicus,California gull,ABNNM03110,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Laridae - Larus californicus
76,Animals - Birds,Hydroprogne caspia,Caspian tern,ABNNM08020,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Laridae - Hydroprogne caspia
77,Animals - Birds,Thalasseus elegans,elegant tern,ABNNM08040,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Laridae - Thalasseus elegans
78,Animals - Birds,Sternula antillarum browni,California least tern,ABNNM08103,Endangered,Endangered,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Laridae - Sternula antillarum browni
79,Animals - Birds,Rynchops niger,black skimmer,ABNNM14010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Laridae - Rynchops niger
80,Animals - Birds,Athene cunicularia,burrowing owl,ABNSB10010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Strigidae - Athene cunicularia
81,Animals - Birds,Asio otus,long-eared owl,ABNSB13010,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Strigidae - Asio otus
82,Animals - Birds,Asio flammeus,short-eared owl,ABNSB13040,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Strigidae - Asio flammeus
83,Animals - Birds,Chaetura vauxi,Vaux's swift,ABNUA03020,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Apodidae - Chaetura vauxi
84,Animals - Birds,Selasphorus rufus,rufous hummingbird,ABNUC51020,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Trochilidae - Selasphorus rufus
85,Animals - Birds,Melanerpes lewis,Lewis' woodpecker,ABNYF04010,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Picidae - Melanerpes lewis
86,Animals - Birds,Sphyrapicus ruber,red-breasted sapsucker,ABNYF05020,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Picidae - Sphyrapicus ruber
87,Animals - Birds,Eremophila alpestris actia,California horned lark,ABPAT02011,None,None,WL,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Alaudidae - Eremophila alpestris actia
88,Animals - Birds,Riparia riparia,bank swallow,ABPAU08010,None,Threatened,-,-,Alameda,ALA,Mapped,Animals - Birds - Hirundinidae - Riparia riparia
89,Animals - Birds,Pica nuttalli,yellow-billed magpie,ABPAV09020,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Corvidae - Pica nuttalli
90,Animals - Birds,Lanius ludovicianus,loggerhead shrike,ABPBR01030,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Laniidae - Lanius ludovicianus
91,Animals - Birds,Setophaga petechia,yellow warbler,ABPBX03010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Parulidae - Setophaga petechia
92,Animals - Birds,Geothlypis trichas sinuosa,saltmarsh common yellowthroat,ABPBX1201A,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Parulidae - Geothlypis trichas sinuosa
93,Animals - Birds,Icteria virens,yellow-breasted chat,ABPBX24010,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Icteriidae - Icteria virens
94,Animals - Birds,Cardinalis cardinalis,northern cardinal,ABPBX60010,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Cardinalidae - Cardinalis cardinalis
95,Animals - Birds,Aimophila ruficeps canescens,southern California rufous-crowned sparrow,ABPBX91091,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Passerellidae - Aimophila ruficeps canescens
96,Animals - Birds,Pooecetes gramineus affinis,Oregon vesper sparrow,ABPBX95011,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Passerellidae - Pooecetes gramineus affinis
97,Animals - Birds,Artemisiospiza belli belli,Bell's sparrow,ABPBX97021,None,None,WL,-,Alameda,ALA,Unprocessed,Animals - Birds - Passerellidae - Artemisiospiza belli belli
98,Animals - Birds,Passerculus sandwichensis alaudinus,Bryant's savannah sparrow,ABPBX99011,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Passerellidae - Passerculus sandwichensis alaudinus
99,Animals - Birds,Ammodramus savannarum,grasshopper sparrow,ABPBXA0020,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Passerellidae - Ammodramus savannarum
100,Animals - Birds,Melospiza melodia pusillula,Alameda song sparrow,ABPBXA301S,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Passerellidae - Melospiza melodia pusillula
101,Animals - Birds,Melospiza melodia samuelis,San Pablo song sparrow,ABPBXA301W,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Birds - Passerellidae - Melospiza melodia samuelis
102,Animals - Birds,Agelaius tricolor,tricolored blackbird,ABPBXB0020,None,Threatened,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Birds - Icteridae - Agelaius tricolor
103,Animals - Birds,Spinus lawrencei,Lawrence's goldfinch,ABPBY06100,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Birds - Fringillidae - Spinus lawrencei
104,Animals - Fish,Entosphenus tridentatus,Pacific lamprey,AFBAA02100,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Petromyzontidae - Entosphenus tridentatus
105,Animals - Fish,Acipenser medirostris pop. 1,green sturgeon - southern DPS,AFCAA01031,Threatened,None,-,-,Alameda,ALA,Mapped,Animals - Fish - Acipenseridae - Acipenser medirostris pop. 1
106,Animals - Fish,Acipenser transmontanus,white sturgeon,AFCAA01050,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Acipenseridae - Acipenser transmontanus
107,Animals - Fish,Oncorhynchus kisutch pop. 4,coho salmon - central California coast ESU,AFCHA02034,Endangered,Endangered,-,-,Alameda,ALA,Unprocessed,Animals - Fish - Salmonidae - Oncorhynchus kisutch pop. 4
108,Animals - Fish,Oncorhynchus tshawytscha pop. 11,chinook salmon - Central Valley spring-run ESU,AFCHA0205L,Threatened,Threatened,-,-,Alameda,ALA,Unprocessed,Animals - Fish - Salmonidae - Oncorhynchus tshawytscha pop. 11
109,Animals - Fish,Oncorhynchus tshawytscha pop. 13,chinook salmon - Central Valley fall / late fall-run ESU,AFCHA0205N,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Salmonidae - Oncorhynchus tshawytscha pop. 13
110,Animals - Fish,Oncorhynchus mykiss irideus pop. 8,steelhead - central California coast DPS,AFCHA0209G,Threatened,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Fish - Salmonidae - Oncorhynchus mykiss irideus pop. 8
111,Animals - Fish,Oncorhynchus mykiss irideus pop. 11,steelhead - Central Valley DPS,AFCHA0209K,Threatened,None,-,-,Alameda,ALA,Mapped,Animals - Fish - Salmonidae - Oncorhynchus mykiss irideus pop. 11
112,Animals - Fish,Hypomesus transpacificus,Delta smelt,AFCHB01040,Threatened,Endangered,-,-,Alameda,ALA,Unprocessed,Animals - Fish - Osmeridae - Hypomesus transpacificus
113,Animals - Fish,Spirinchus thaleichthys,longfin smelt,AFCHB03010,Candidate,Threatened,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Fish - Osmeridae - Spirinchus thaleichthys
114,Animals - Fish,Lavinia exilicauda exilicauda,Sacramento hitch,AFCJB19012,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Cyprinidae - Lavinia exilicauda exilicauda
115,Animals - Fish,Hesperoleucus symmetricus symmetricus,central California roach,AFCJB19021,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Cyprinidae - Hesperoleucus symmetricus symmetricus
116,Animals - Fish,Hesperoleucus venustus subditus,southern coastal roach,AFCJB19032,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Cyprinidae - Hesperoleucus venustus subditus
117,Animals - Fish,Mylopharodon conocephalus,hardhead,AFCJB25010,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Cyprinidae - Mylopharodon conocephalus
118,Animals - Fish,Pogonichthys macrolepidotus,Sacramento splittail,AFCJB34020,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Cyprinidae - Pogonichthys macrolepidotus
119,Animals - Fish,Archoplites interruptus,Sacramento perch,AFCQB07010,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Fish - Centrarchidae - Archoplites interruptus
120,Animals - Fish,Hysterocarpus traskii traskii,Sacramento-San Joaquin tule perch,AFCQK02012,None,None,-,-,Alameda,ALA,Unprocessed,Animals - Fish - Embiotocidae - Hysterocarpus traskii traskii
121,Animals - Fish,Eucyclogobius newberryi,tidewater goby,AFCQN04010,Endangered,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Fish - Gobiidae - Eucyclogobius newberryi
122,Animals - Mammals,Sorex vagrans halicoetes,salt-marsh wandering shrew,AMABA01071,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Soricidae - Sorex vagrans halicoetes
123,Animals - Mammals,Scapanus latimanus parvus,Alameda Island mole,AMABB02031,None,None,SSC,-,Alameda,ALA,Mapped,Animals - Mammals - Talpidae - Scapanus latimanus parvus
124,Animals - Mammals,Myotis yumanensis,Yuma myotis,AMACC01020,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Vespertilionidae - Myotis yumanensis
125,Animals - Mammals,Lasionycteris noctivagans,silver-haired bat,AMACC02010,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Vespertilionidae - Lasionycteris noctivagans
126,Animals - Mammals,Lasiurus cinereus,hoary bat,AMACC05032,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Vespertilionidae - Lasiurus cinereus
127,Animals - Mammals,Lasiurus frantzii,western red bat,AMACC05080,None,None,SSC,-,Alameda,ALA,Unprocessed,Animals - Mammals - Vespertilionidae - Lasiurus frantzii
128,Animals - Mammals,Corynorhinus townsendii,Townsend's big-eared bat,AMACC08010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Vespertilionidae - Corynorhinus townsendii
129,Animals - Mammals,Antrozous pallidus,pallid bat,AMACC10010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Vespertilionidae - Antrozous pallidus
130,Animals - Mammals,Eumops perotis californicus,western mastiff bat,AMACD02011,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Molossidae - Eumops perotis californicus
131,Animals - Mammals,Nyctinomops macrotis,big free-tailed bat,AMACD04020,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Molossidae - Nyctinomops macrotis
132,Animals - Mammals,Perognathus inornatus,San Joaquin pocket mouse,AMAFD01060,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Heteromyidae - Perognathus inornatus
133,Animals - Mammals,Dipodomys heermanni berkeleyensis,Berkeley kangaroo rat,AMAFD03061,None,None,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Heteromyidae - Dipodomys heermanni berkeleyensis
134,Animals - Mammals,Reithrodontomys raviventris,salt-marsh harvest mouse,AMAFF02040,Endangered,Endangered,FP,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Cricetidae - Reithrodontomys raviventris
135,Animals - Mammals,Neotoma fuscipes annectens,San Francisco dusky-footed woodrat,AMAFF08082,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Cricetidae - Neotoma fuscipes annectens
136,Animals - Mammals,Vulpes macrotis mutica,San Joaquin kit fox,AMAJA03041,Endangered,Threatened,-,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Canidae - Vulpes macrotis mutica
137,Animals - Mammals,Bassariscus astutus raptor,northern California ringtail,AMAJE01014,None,None,FP,-,Alameda,ALA,Unprocessed,Animals - Mammals - Procyonidae - Bassariscus astutus raptor
138,Animals - Mammals,Taxidea taxus,American badger,AMAJF04010,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Mammals - Mustelidae - Taxidea taxus
139,Animals - Mammals,Enhydra lutris nereis,southern sea otter,AMAJF09012,Threatened,None,FP,-,Alameda,ALA,Unprocessed,Animals - Mammals - Mustelidae - Enhydra lutris nereis
140,Animals - Reptiles,Emys marmorata,western pond turtle,ARAAD02030,Proposed Threatened,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Reptiles - Emydidae - Emys marmorata
141,Animals - Reptiles,Anniella pulchra,Northern California legless lizard,ARACC01020,None,None,SSC,-,Alameda,ALA,Mapped,Animals - Reptiles - Anniellidae - Anniella pulchra
142,Animals - Reptiles,Phrynosoma blainvillii,coast horned lizard,ARACF12100,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Reptiles - Phrynosomatidae - Phrynosoma blainvillii
143,Animals - Reptiles,Arizona elegans occidentalis,California glossy snake,ARADB01017,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Reptiles - Colubridae - Arizona elegans occidentalis
144,Animals - Reptiles,Masticophis flagellum ruddocki,San Joaquin coachwhip,ARADB21021,None,None,SSC,-,Alameda,ALA,Mapped and Unprocessed,Animals - Reptiles - Colubridae - Masticophis flagellum ruddocki
