4721.zip,744471217,74447-1217
2437.city,Flushign,Flushing
5034.cd,06c49,0649
1879.cd,270v4,2704
5079.schoolyear,2021-0222,2021-2022
3010.csa,40,440
1103.locale,1,11
4577.schoolyear,0221-2022,2021-2022
6286.statevalue,A,GA
1681.sldl,26508,26058
4325.necta,***,N
6296.nmcsa,"Madison-Janesvlile-Beloit, WI","Madison-Janesville-Beloit, WI"
3611.cnty,48092,48029
4808.namevalue,Florida Coastal Shcool of Law,Florida Coastal School of Law
5459.csa,428,482
1727.sldl,26g014,26014
1961.nmcnty,Jackso nCounty,Jackson County
6079.city,Tkoms River,Toms River
1053.nmnecta,***,N
3141.sldu,42g013,42013
453.nmcbsa,"San Franisco-Oakland-Berkeley, CA","San Francisco-Oakland-Berkeley, CA"
3416.stfip,74,47
1018.cnty,1709s3,17093
2088.cd,300,3000
5551.cbsa,3790,37900
3663.cbsa,416s20,41620
2960.nmcbsa,"Tulsa,O K","Tulsa, OK"
5590.nmcsa,"Salt Lake City-Provo-Oerm, UT","Salt Lake City-Provo-Orem, UT"
4636.cbsa,7980,37980
6797.nmcnty,Brward County,Broward County
601.necta,***,N
5817.namevalue,Vaguard College of Cosmetology-Metairie,Vanguard College of Cosmetology-Metairie
6787.street,"131 17th Street, Ste LL-100","1331 17th Street, Ste LL-100"
4038.nmcnty,Caguas Municipoi,Caguas Municipio
762.street,24a00 Interstate Drive,2400 Interstate Drive
584.necta,***,N
4382.nmcsa,"Virginia Beah-Norfolk, VA-NC","Virginia Beach-Norfolk, VA-NC"
5280.nmnecta,kN,N
64.cbsa,1126z0,11260
2980.cnty,40013***,40013
357.cd,6017,0617
272.necta,nN,N
4930.city,Miahmi,Miami
120.nmnecta,***,N
3306.csa,,N
4396.cnty,48210,48201
5292.stfip,1,01
1231.cd,205,2905
4658.street,3663 S Mami Ave,3663 S Miami Ave
6593.sldl,3401n5,34015
3468.locale,2,12
2630.cd,3710,3701
3611.nmnecta,,N
5312.necta,mN,N
5508.city,Allenown,Allentown
6324.necta,,N
1562.nmcnty,Wicomico Countny,Wicomico County
3625.namevalue,Texas Colleeg,Texas College
5216.sldl,42153,42135
5935.statevalue,X,TX
2717.zip,2789-3310,27893-3310
3838.cnty,35067,53067
3857.cd,3504,5304
5443.cbsa,27k260,27260
4756.nmcsa,"uBffalo-Cheektowaga-Olean, NY","Buffalo-Cheektowaga-Olean, NY"
6778.cd,9306,3906
2914.cbsa,2680,26580
4769.street,137 BeyLea  Rd,137 Bey Lea  Rd
2572.sldu,3v6027,36027
5382.nmcnty,Middleesx County,Middlesex County
5251.statevalue,LF,FL
3083.city,Johntstown,Johnstown
3901.cd,y5401,5401
1013.sldu,17004,17040
4517.street,4300 Amalgamtaed Place,4300 Amalgamated Place
2397.street,53 Penedll Rd,53 Pendell Rd
4676.city,Iasbela,Isabela
3952.necta,,N
4991.locale,3,13
4301.sldu,v06027,06027
552.cbsa,0900,40900
130.sldu,05300,05030
5347.locale,c32,32
990.street,1145W Wilson Ave.,1145 W Wilson Ave.
3239.cd,403,4203
4365.nmcsa,"Greenville-Spartabnurg-Anderson, SC","Greenville-Spartanburg-Anderson, SC"
5012.city,Cranstopn,Cranston
4128.cbsa,3060,38060
324.nmcbsa,"Santa Cruz-Watsonmville, CA","Santa Cruz-Watsonville, CA"
1649.nmcbsa,"Boston-Cambridge-Newton, MA-aNH","Boston-Cambridge-Newton, MA-NH"
391.cbsa,3100,31080
6222.nmnecta,pN,N
1722.locale,m21,21
5021.schoolyear,2021-2g022,2021-2022
6028.city,Webb Citty,Webb City
4724.locale,1k3,13
5879.cbsa,r16980,16980
6399.cbsa,3310,33100
233.city,Bkaersfield,Bakersfield
1552.sldu,2038,24038
1249.nmnecta,,N
1232.street,200 Grandview Ave,1200 Grandview Ave
6822.namevalue,MaderaCommunity College,Madera Community College
2166.nmcsa,"Boston-Worcester-Providence, M-ARI-NH-CT","Boston-Worcester-Providence, MA-RI-NH-CT"
6831.city,Fort Wayen,Fort Wayne
6376.stfip,24,42
4585.nmcbsa,"Los Angeles-Long Beach-Aaheim, CA","Los Angeles-Long Beach-Anaheim, CA"
5871.nmcsa,"Jackson-mVicksburg-Brookhaven, MS","Jackson-Vicksburg-Brookhaven, MS"
6046.schoolyear,201-2022,2021-2022
396.csa,aN,N
4410.csa,49,429
5051.nmcbsa,"San hAntonio-New Braunfels, TX","San Antonio-New Braunfels, TX"
6585.stfip,8,48
2967.cbsa,6420,36420
4344.locale,12,21
3107.sldl,4096,42096
4717.city,Kissimmee***,Kissimmee
1039.namevalue,Kaskaskia College***,Kaskaskia College
1652.namevalue,Pine fManor College,Pine Manor College
2343.nmnecta,***,N
2948.nmcbsa,"Oklahoma City, KO","Oklahoma City, OK"
5094.sldu,72d004,72004
409.nmcsa,lN,N
5913.zip,85071,85701
1308.schoolyear,2021-2r022,2021-2022
2512.nmnecta,lN,N
427.locale,y11,11
1441.nmcbsa,"Opelousa, LA","Opelousas, LA"
93.cbsa,64060,46060
1508.street,101 Collee Pky,101 College Pky
4213.locale,h31,31
1569.city,Wellecsley,Wellesley
3762.cnty,51480,51840
4949.stfip,5r1,51
911.nmcbsa,"Atlanta-nSandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA"
1079.nmnecta,***,N
3014.sldu,1006,41006
930.nmcsa,"Macon-Bibb County--Warner Robins, GA***","Macon-Bibb County--Warner Robins, GA"
1133.sldu,1810,18010
1726.cnty,26071,26017
4408.namevalue,Michigan College uof Beauty-Troy,Michigan College of Beauty-Troy
208.nmcsa,"Los ngeles-Long Beach, CA","Los Angeles-Long Beach, CA"
6380.sldl,60006,06006
3541.stfip,84,48
1210.nmcnty,nox County,Knox County
1714.cnty,2611w1,26111
3448.statevalue,N,TN
5552.cbsa,6900,26900
6265.city,New Tazewell***,New Tazewell
4245.stfip,0y5,05
5204.cd,022,0622
1322.city,Kansas Ctiy,Kansas City
3148.nmcsa,"Phladelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
180.zip,71v730-4009,71730-4009
57.statevalue,L,AL
2391.nmcbsa,"New York-Newark-Jersey Cty, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
3134.necta,,N
2516.sldu,3605f0,36050
5996.statevalue,LI,IL
122.zip,80542,85042
1323.cnty,21061,20161
348.csa,,N
6273.schoolyear,2021-0222,2021-2022
6316.locale,1,11
778.namevalue,aLke-Sumter State College,Lake-Sumter State College
1676.statevalue,A,MA
460.statevalue,A,CA
1097.locale,12,21
2371.zip,87215,78215
4909.nmcnty,San Franlcisco County,San Francisco County
1058.city,hicago,Chicago
2907.sldu,39t011,39011
1396.schoolyear,2021-0222,2021-2022
6422.locale,11***,11
2383.cnty,63047,36047
1767.necta,wN,N
493.schoolyear,021-2022,2021-2022
1620.nmcnty,Middlesx County,Middlesex County
4612.zip,145131863,14513-1863
5826.necta,,N
3653.sldu,4906,49016
6381.cd,1850,1805
1985.zip,o75217,75217
4056.sldu,7i2001,72001
1629.sldl,21591,25191
2780.sldl,30933,39033
1424.cd,223,2203
5864.nmnecta,,N
4790.nmcbsa,mN,N
742.necta,***,N
5707.city,Watrebury,Waterbury
3769.namevalue,Strayer University-gAlexandria Campus,Strayer University-Alexandria Campus
5932.sldl,20642,26042
2037.street,500E College St,500 E College St
847.namevalue,gRasmussen University - Orlando,Rasmussen University - Orlando
280.statevalue,CnA,CA
5173.locale,3,23
1525.stfip,42,24
210.city,zusa,Azusa
2088.schoolyear,202-12022,2021-2022
15.zip,36330-130,36330-1300
2152.locale,2,22
5563.locale,31,13
6705.zip,10001-576,10001-5786
734.nmcsa,lN,N
5491.necta,2400,72400
455.cbsa,41i740,41740
1258.cbsa,4140,41740
6684.statevalue,L,IL
42.nmcsa,"Huntsvlle-Decatur, AL","Huntsville-Decatur, AL"
3968.sldu,5017,55017
1108.city,Cantno,Canton
5639.nmcbsa,"Chalrotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC"
3880.necta,aN,N
1848.zip,5455-0213,55455-0213
6550.nmcsa,"San Antonio-New Braaunfels-Pearsall, TX","San Antonio-New Braunfels-Pearsall, TX"
2797.nmnecta,***,N
482.namevalue,San Francisco Conservatory of Mtusic,San Francisco Conservatory of Music
3757.statevalue,VgA,VA
544.cbsa,40104,40140
5824.statevalue,AL,LA
3884.cd,4503,5403
5909.stfip,9,49
385.nmnecta,rN,N
1609.namevalue,Gordon-Conwel Theological Seminary,Gordon-Conwell Theological Seminary
2697.zip,28328-038,28328-0318
916.nmcnty,Fultown County,Fulton County
6313.cbsa,33100***,33100
931.cd,303,1303
2338.nmcsa,"uffalo-Cheektowaga-Olean, NY","Buffalo-Cheektowaga-Olean, NY"
6010.statevalue,pCA,CA
694.namevalue,GallaudetU niversity,Gallaudet University
3653.stfip,9,49
3055.statevalue,AP,PA
457.cbsa,13080,31080
936.schoolyear,021-2022,2021-2022
853.namevalue,Abarham Baldwin Agricultural College,Abraham Baldwin Agricultural College
3191.city,Lanocaster,Lancaster
195.city,Sna Francisco,San Francisco
1968.nmnecta,***,N
5730.cnty,06307,06037
1767.namevalue,Mid Mihcigan College,Mid Michigan College
4383.cbsa,4o2660,42660
6349.city,Jersesy City,Jersey City
2509.stfip,6,36
2315.namevalue,Bard College - Eastern NY Correctioanl Facility,Bard College - Eastern NY Correctional Facility
6132.nmnecta,,N
5855.nmnecta,"xNew Haven, CT","New Haven, CT"
5250.cnty,21086,12086
4246.nmnecta,,N
4068.street,Call Bo 860,Call Box 860
720.nmcsa,"Miami-PortS t. Lucie-Fort Lauderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
5487.cnty,4007,44007
104.schoolyear,201-2022,2021-2022
5386.nmcnty,Frankilin County,Franklin County
2999.stfip,14,41
2817.nmcbsa,"Dayton-Kettering, HO","Dayton-Kettering, OH"
5546.csa,***,N
1998.namevalue,Cocordia Seminary,Concordia Seminary
2564.nmcbsa,"yracuse, NY","Syracuse, NY"
50.sldl,01110,01101
3538.schoolyear,m2021-2022,2021-2022
1195.schoolyear,021-2022,2021-2022
4002.locale,11***,11
4208.zip,80310-0000,80301-0000
735.stfip,2,12
1607.zip,02161,02116
4817.street,"Iverson Mall, 3705 Branch Avenue,L ower Level","Iverson Mall, 3705 Branch Avenue, Lower Level"
5535.csa,q264,264
4648.necta,,N
3897.cnty,540y97,54097
2534.cbsa,1050,10580
5285.city,zHouma,Houma
4160.statevalue,yNC,NC
4134.street,35005 Michigan Aveunue,35005 Michigan Avenue
4739.statevalue,xMD,MD
3297.cnty,5075,45075
5940.zip,66052-2838,66502-2838
3196.csa,4z28,428
65.sldu,0020C,0200C
5907.cd,m3909,3909
130.statevalue,AiR,AR
6061.nmcbsa,"Denver-Aurora-Lakewood, CO***","Denver-Aurora-Lakewood, CO"
672.zip,06106-100,06106-3100
5523.zip,8s9511,89511
6097.nmnecta,sN,N
2143.nmcbsa,"Las Vegas-Henderson-Paradis,e NV","Las Vegas-Henderson-Paradise, NV"
5246.cnty,90003,09003
4495.stfip,c36,36
4287.locale,11***,11
165.locale,3,13
447.schoolyear,20n21-2022,2021-2022
1992.city,ySpringfield,Springfield
2182.cd,f3301,3301
630.nmnecta,"Hartfordg-East Hartford-Middletown, CT","Hartford-East Hartford-Middletown, CT"
1693.nmcbsa,"Muksegon, MI","Muskegon, MI"
5178.street,91 Trout Rivr Drive,91 Trout River Drive
4516.nmcbsa,"Albany-Schenectday-Troy, NY","Albany-Schenectady-Troy, NY"
5042.cd,428,4218
6007.nmcsa,"New York-Newarwk, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
5234.nmcsa,"San Antonio-New Braunels-Pearsall, TX","San Antonio-New Braunfels-Pearsall, TX"
4762.cbsa,p25540,25540
3575.street,M 1098 Road & University Drive,FM 1098 Road & University Drive
1172.nmcsa,"Indianapolis-Carmel-Muncihe, IN","Indianapolis-Carmel-Muncie, IN"
3470.sldu,84011,48011
3005.sldl,410s24,41024
1718.locale,1t3,13
6482.sldl,3029,39029
4303.namevalue,Southeastern Technical Caollege,Southeastern Technical College
2351.namevalue,UCNY System Office,CUNY System Office
3783.cnty,7119,37119
3774.namevalue,Strayer UniversityH-enrico Campus,Strayer University-Henrico Campus
413.csa,88,488
6521.zip,2410-4414,92410-4414
5218.cbsa,3780,37980
5167.stfip,60,06
1219.sldl,19605,19065
2888.cbsa,4260,48260
1345.cd,004,2004
4078.schoolyear,021-2022,2021-2022
3735.cd,5011,5101
2966.city,Shawee,Shawnee
783.locale,1,21
2391.nmcnty,Queens Couty,Queens County
6129.namevalue,Mind oBdy Institute,Mind Body Institute
1070.street,701 Portlnad Ave,701 Portland Ave
6783.stfip,v06,06
1425.cd,226,2206
4316.stfip,93,39
5873.stfip,k12,12
4037.stfip,27,72
4175.zip,18074-2936,18704-2936
1467.schoolyear,2201-2022,2021-2022
3004.nmcnty,MultnomahCounty,Multnomah County
1091.street,301 N Mulford Rd,3301 N Mulford Rd
5387.zip,4547,45417
5758.namevalue,Estelle Skin Care and Sp aInstitute,Estelle Skin Care and Spa Institute
1552.nmcsa,"alisbury-Cambridge, MD-DE","Salisbury-Cambridge, MD-DE"
1122.statevalue,LI,IL
4052.cd,2798,7298
2375.locale,1,11
2084.nmcsa,***,N
3849.nmnecta,,N
597.locale,e11,11
1262.sldu,190b28,19028
4441.sldl,12025,12052
651.necta,y78100,78100
877.sldu,13092,13029
1769.necta,***,N
5908.street,2035 Vauxhlal Road,2035 Vauxhall Road
2880.zip,3210,43210
5020.street,617 3rd Avenue Sgouth,617 3rd Avenue South
684.csa,42d8,428
550.cd,063s7,0637
3722.locale,1,41
6328.cnty,22m073,22073
4998.sldu,54042,45042
495.sldl,a06022,06022
6081.nmcnty,Belxar County,Bexar County
1447.csa,***,N
4434.cbsa,3180,31080
2757.nmnecta,,N
3554.street,3600 N arfield,3600 N Garfield
5469.stfip,10,01
4318.cbsa,336q60,33660
4751.schoolyear,2021-2022***,2021-2022
3487.schoolyear,202-2022,2021-2022
6638.stfip,3o6,36
3890.cbsa,3t7620,37620
5767.city,BowlingGreen,Bowling Green
4570.stfip,84,48
1817.nmcsa,"Minneapolis-St. Paul, MN-I","Minneapolis-St. Paul, MN-WI"
1703.schoolyear,20212022,2021-2022
5016.csa,16,176
2762.street,One Univuersity Drive,One University Drive
5622.street,"520 Martin Luthr King Junior Blvd, Suite 300","520 Martin Luther King Junior Blvd, Suite 300"
5529.city,Los Anglees,Los Angeles
3808.cd,537,5307
1722.sldl,26k024,26024
5728.csa,w174,174
1831.cbsa,o33460,33460
5283.nmcsa,"Los Angeles-Logn Beach, CA","Los Angeles-Long Beach, CA"
4091.nmnecta,***,N
6152.street,f639 N 6th ave,639 N 6th ave
1975.csa,mN,N
1990.cd,2o904,2904
3740.statevalue,nVA,VA
3354.cnty,6135,46135
1782.csa,20,220
4898.nmcbsa,"Huntingodn, PA","Huntingdon, PA"
1483.city,Bangro,Bangor
1957.sldl,8037,08037
1138.street,6600 N Clinton tS,6600 N Clinton St
1735.stfip,62,26
3273.locale,g21,21
6559.cbsa,1960,19660
161.cnty,f05143,05143
4198.stfip,2,42
5859.csa,438,348
2831.locale,3,13
4006.nmcsa,***,N
3360.zip,7078-3899,57078-3899
5903.csa,48,548
207.nmcsa,"Los Angeles-Long Beach, AC","Los Angeles-Long Beach, CA"
5441.zip,3369-0000,33619-0000
1334.sldu,20021,20012
1045.cnty,1t7097,17097
2233.street,Universitym Heights,University Heights
2114.statevalue,E,NE
114.sldu,4010,04010
6239.sldl,6041,36041
3753.nmnecta,fN,N
1754.city,Sault Ste arie,Sault Ste Marie
5993.nmnecta,lN,N
1136.statevalue,NI,IN
1318.cd,0203,2003
5561.cnty,27q053,27053
848.locale,3,13
6543.nmcbsa,"New York-Newrak-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
1710.csa,66,266
6631.necta,oN,N
4788.statevalue,AL,LA
3928.nmnecta,,N
5964.cbsa,14930,19430
4571.sldu,24001,42001
3144.schoolyear,202-12022,2021-2022
5331.necta,,N
2511.sldl,36057,36075
995.cbsa,16908,16980
4289.sldl,06057,06075
3668.nmcnty,Sevizer County,Sevier County
436.sldu,0624,06024
790.cnty,12068,12086
4.csa,209,290
5043.cnty,3011,30111
69.necta,***,N
5323.cbsa,45x300,45300
1908.zip,38s733,38733
2073.csa,,N
2280.csa,***,N
870.street,892 Bernre St SE,892 Berne St SE
3745.nmcsa,"lVirginia Beach-Norfolk, VA-NC","Virginia Beach-Norfolk, VA-NC"
3913.sldl,5548,55048
252.sldu,0o6039,06039
3020.nmcbsa,"ortland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA"
6391.locale,2n1,21
5363.nmcnty,Loudou nCounty,Loudoun County
1559.necta,bN,N
6396.zip,t74728,74728
3524.necta,dN,N
4699.statevalue,PqR,PR
4158.city,Mafnassas,Manassas
6734.statevalue,hPA,PA
5705.cbsa,14980,41980
5896.cbsa,16908,16980
2724.schoolyear,2012-2022,2021-2022
4903.statevalue,RA,AR
3102.street,3370 Birney Aveune,3370 Birney Avenue
274.schoolyear,021-2022,2021-2022
3917.sldu,550q08,55008
781.statevalue,FbL,FL
3692.necta,***,N
2175.schoolyear,2021-2202,2021-2022
3127.necta,pN,N
3436.statevalue,N,TN
6480.necta,pN,N
3627.nmcbsa,"Svan Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX"
2466.namevalue,Icahn School of Medicine at Mount Sinadi,Icahn School of Medicine at Mount Sinai
6765.cbsa,04140,40140
5173.sldl,0601w1,06011
4562.nmcnty,sNew Haven County,New Haven County
5994.nmcbsa,"Joplin, MpO","Joplin, MO"
6436.statevalue,oNJ,NJ
3194.sldl,2142,42142
2893.csa,148,184
6368.cbsa,3790,37980
5455.cnty,4113,48113
185.zip,727r03,72703
2832.necta,,N
6559.city,Holly Hill***,Holly Hill
1672.stfip,h25,25
2562.zip,1866-4391,12866-4391
1513.zip,2l0715-9465,20715-9465
4089.cnty,11841,18141
2177.street,140 Congrss Street,140 Congress Street
6662.nmcsa,"HoustonThe Woodlands, TX","Houston-The Woodlands, TX"
5617.namevalue,Strayer University-Douglasvlle Campus,Strayer University-Douglasville Campus
5659.cnty,11863,18163
4179.cbsa,1714n0,17140
625.locale,1,21
4468.csa,384,348
1246.statevalue,AI,IA
2625.nmcsa,"Gretensboro--Winston-Salem--High Point, NC","Greensboro--Winston-Salem--High Point, NC"
1616.zip,01i040,01040
2970.csa,***,N
3108.necta,kN,N
525.namevalue,State Cener Community College District,State Center Community College District
975.street,9714 S Cicero Av.e,9714 S Cicero Ave.
825.nmcsa,"Miami-Por St. Lucie-Fort Lauderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
2014.nmcbsa,"Kansas City,M O-KS","Kansas City, MO-KS"
1203.namevalue,Saint Mray's College,Saint Mary's College
589.nmcnty,Denver Coutny,Denver County
698.city,Washnigton,Washington
5153.locale,12,21
6415.cnty,s49035,49035
5283.necta,aN,N
3653.statevalue,T,UT
2942.stfip,04,40
5765.locale,3c2,32
3493.zip,77802***,77802
285.zip,9411-1898,94112-1898
3060.cd,2417,4217
6646.nmcbsa,"Boise City, IbD","Boise City, ID"
971.schoolyear,20212-022,2021-2022
1566.nmcnty,Wrcester County,Worcester County
789.cd,1262,1226
5156.cbsa,14860,41860
992.cnty,1703d1,17031
843.nmnecta,***,N
2886.nmcsa,"Clumbus-Marion-Zanesville, OH","Columbus-Marion-Zanesville, OH"
4766.cd,4823,4832
6054.nmcsa,"Fargo-Wapeton, ND-MN","Fargo-Wahpeton, ND-MN"
1225.sldl,10999,19099
3285.nmcsa,"Colmbia-Orangeburg-Newberry, SC","Columbia-Orangeburg-Newberry, SC"
2901.stfip,3o9,39
5298.csa,276,267
471.nmnecta,oN,N
5137.nmnecta,uN,N
1403.nmcnty,Jeffersno County,Jefferson County
1486.street,46 Unievrsity Dr,46 University Dr
4696.cnty,3783,37183
2457.sldu,3622,36022
2396.schoolyear,2021-h2022,2021-2022
6834.statevalue,XT,TX
4599.csa,3l12,312
4637.city,Reynoldpsville,Reynoldsville
3171.statevalue,A,PA
4492.sldl,d08032,08032
1828.cnty,2z7173,27173
5939.stfip,0,20
6771.nmnecta,wN,N
3539.sldl,480k22,48022
3775.stfip,15,51
1737.namevalue,Kettering Univrsity,Kettering University
3116.sldl,4l2103,42103
2087.nmnecta,***,N
3691.csa,,N
3430.street,6015 Ledford iMll Road,6015 Ledford Mill Road
1757.schoolyear,20212022,2021-2022
2053.nmcsa,vN,N
2711.cnty,37813,37183
5541.nmnecta,***,N
5134.sldl,7018,72018
4488.cd,2047,2407
5746.nmcsa,"Washington-Baltimore-Arlinhgton, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
5864.cbsa,3108l0,31080
3007.cd,1401,4101
3769.schoolyear,0221-2022,2021-2022
905.schoolyear,2201-2022,2021-2022
6565.cd,3r906,3906
1628.schoolyear,2021-2202,2021-2022
2009.necta,oN,N
3283.sldu,250i19,25019
6628.nmnecta,aN,N
551.nmcnty,Santa ClaraCounty,Santa Clara County
5468.namevalue,The Chicago School of Professional Psychology at Los Angelse,The Chicago School of Professional Psychology at Los Angeles
2066.street,128 Garfield Avneue,128 Garfield Avenue
5910.necta,,N
2756.nmcsa,"Cincinnati-Wilmingfton-Maysville, OH-KY-IN","Cincinnati-Wilmington-Maysville, OH-KY-IN"
4107.cd,5303,3503
3750.necta,,N
4175.cd,428,4208
4541.city,Bayamno,Bayamon
2148.statevalue,VN,NV
4162.zip,282v62-1603,28262-1603
4132.sldu,210r11,21011
3980.nmcbsa,"Larmaie, WY","Laramie, WY"
3050.nmcbsa,"Meadvillhe, PA","Meadville, PA"
5147.schoolyear,2021-2b022,2021-2022
5486.locale,12,21
1365.sldu,12015,21015
1232.sldl,91032,19032
6313.nmnecta,***,N
1998.nmcnty,St. LouisCounty,St. Louis County
823.zip,3825-9356,33825-9356
3537.sldu,8023,48023
6326.cnty,6037,06037
6473.statevalue,aNY,NY
1421.city,West Monreo,West Monroe
6132.statevalue,H,OH
