objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,segment_id,ct_two_zero_two_two_aqlusename,ct_two_zero_two_two_aqluseattainment,ct_two_zero_two_two_recusename,ct_two_zero_two_two_recuseattainment,ct_two_zero_two_two_fishconusename,ct_two_zero_two_two_fishconuseattainment,ct_two_zero_two_two_dwusename,ct_two_zero_two_two_dwuseattainment,impaired,shape_length(double precision),shape_area(double precision)
17,2022,CT5105-00-2-L1_10,Schreeder Ponnd (Killingworth),"CT DEEP Chatfield Hollow State Park. Impoundment of Chatfield Hollow Brook, US of Rte 80 crossing, Killingworth.","LAKE, FRESHWATER",3.94,Acres,2544,1100004,48,INLAND SURFACE WATERS CLASS A,CT5105-00-2-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2715.78116163805,171589.36393193
18,2022,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection ith Route 10).","LAKE, FRESHWATER",140.42,Acres,1549,1100004,50,INLAND SURFACE WATERS CLASS AA,CT5302-00-4-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,No,34020.8630558587,6116914.66188278
19,2022,CT5105-00-2-L2_01,Foster Pond (Killingnworth),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworwth.","LAKE, FRESHWATER",27.92,Acres,943,1100004,48,INLAND SURFACE WATERS CLASS A,CT5105-00-2-L2_01,"Habitat for Fis,h Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not sAsessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10472.180134575,1216204.57694368
20,2022,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456,1100004,48,INLAND SURFACE WATERS CLASS A,CT5111-09-1-L1_01,"Habitat for Fih, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fih Consumption,Insufficient Information,Not Classified For Drinking Water,ot Evaluated,Yes,4467.48722362686,940092.739834537
21,2022,iCT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, RESHWATER",22.92,Acres,1635,1100004,48,INLAND SURFACE WATERS CALSS A,CT5111-09-1-2_01,"Habitat for Fish, Other Aquatci Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumptiuon,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4155.48366402287,998367.840002071
22,2022,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chape St, New Haven.","LAKE, FRESHWAqTER",2.72,Acres,823,1100004,48,INLAND SURFACE WATERS CLASS A,CT5305-00-3-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Infromation,Not Classified For Drinking Water,Not Evaluated,Yes,1654.87117047857,118638.844686911
23,2022,CT3700-00-2+L1_01,WestT hompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWrATER",189.28,Acres,3467,1100001,49,INLAND SURFACE WATERS CLASS B,CT3700-00-2+L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient nformation,oNt Classified For Drinking Water,Not Evaluated,Yes,24334.3122221123,8245167.04334499
24,2022,CT3400-00-1-L1_01***,Ltitle (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.","LAKE, FRESHWATER",65.82,Acres,1648,1100001,48,INLAgND SURFACE WATERS CLASS A,CT3400-00-1-L1_01,"Habitat for Fish, Other Aquatic Life andd Wildlife",Not Assessed,Recretion,Not Assessed,Fish Consumption,Insufficiennt Information,Not Classified For Drinking Water,Not Evaluated,o,7524.77206212308,2866999.86337798
25,2022,CT3300-00-3+L3_01,Nroth Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.","LAKE,F RESHWATER",58.66,Acers,2033,1100001,49,INLAND SURFACE WATERS CLASS B,CT3300-00-3+L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Inusfficient Information,Not Classified For Drinking Water,Not Evaluated,No,18760.6963392008,2555402.07561616
26,2022,CT3700-28-1-L1_01,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,"LAKE, FRESHWATER",71.06,Acres,2343,1100001,49,INLAND SURFACE WATERS CLASS B,CT3700-28-1-L1_01,"Haitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Notg Evaluated,o,9990.13750921345,3095502.20998354
27,2022,CT4315-10-1-L1_01,Pirne Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street","AKE, FRESHWATER",8.13,Acres,1752,1080207,50,INLAND SURFACE WATERS CLASS AA,CT4315-10-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recretion,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5593.24259792881,354019.18031934
28,2022,CT4300s-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.","LAKE, FRESHWATER",852.34,Acres,568,1080207,50,INLAND SURFACE WATERS CLASS AA,CT4300-00-1+L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessd,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assssed,No,63814.4863274421,37128146.1703807
29,2022,rCT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town bordjer, south side of Meriden Road (Route 66).","LAKE, FRESHWATER",69.89,Acres,239,1100004,48,INLAND SURFACE WATERS CLASS A,CT5206-01-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreatoin,Not Assessed,Fish Consumption,Insufficient Infoarmation,Not Classified For Drinking Water,Not Evaluated,No,18777.7119415127,3044564.32714191
30,2022,T3109-01-1-L1_01,Mono Pond (Columbia),"Southern Columbia, south of Rete 66.","LAKE, FRESHWATER",101.98,qAcres,1899,1100002,48,INLAND SURFACE WATERS CLASS A,CT3109-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",ot Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Infromation,Not Classified For Dirnking Water,Not Evaluated,No,19222.0255066831,4442177.62010009
31,2022,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Laisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinfebaug River)","LAKE, FRESHWATER",308.86,Acres,69,1100001,49,INLAND SURFACE WATERS CLASS B,CT3700-00-5+L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,ish Consumption,Insufficiet Information,Not Classified For Drinking Water,Not Evauated,Yes,64711.4490705672,13453792.1267319
32,2022,CT1100-00-1-L1_01,Porter Pond (Sterling),"Headwaters Wood River near Rhode Island border, Sterling.","LAKE, FRESHWATER",10.4,Acres,2293,1090005,48,INLAND SURACE WATERS CLASS A,CT1100-0y0-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classsified For Drinking Water,Not Evaluated,No,4361.25502832462,453216.35243088
33,2022,CT2205-00-1-L2_01,Pattagansett Lake (East Lyme),"Pattagansett River system, north side Route 1, East Lyme.","LAKE, FRESHWATER",125.7,Acres,2184,1100003,48,INLAND SURFaACE WATERS CLASS A,CT2205-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,eRcreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19706.497826737,5475656.07208822
34,2022,CT225-00-1-L3_01,Gorton Pond (East Lyme),"Impoundment of Pattagansett River, south of I95, East Lyme.","LAKE, FRESHWATER",52.41,Acres,1045,1100003,48,INLAND SURFACE WATERS CLASS A,CT2205-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficietn Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14586.1936901236,2282996.33871605
35,2022,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"Near Niantic village center, west side of Route 161, north of Route 156, East Lyme.","LAKE, FRESHWATER",29.59,Arces,743,1100003,48,INLAND SURFACE WATERS CLASS A,CT2205-02-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Nt Evaluated,Yes,5134.89383570469,1288826.92081265
36,2022,CT4303-02-1-L1_01,Burr Pond (Torrington),"CT DEEP Burr Pond State Park. South of Burr Mountain Rd, Northeast corner of Torrington.","LAKE, FRESHWATER",83.39,Aycres,382,1080207,48,INLAND SURFACE WATERS CLASS A,CT4303-02-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting***,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,16500.1561230003,3632584.06798023
37,2022,CT4013-00-1-L1_01,Millers Pond (Durham),Durham,"LtAKE, FRESHWATER",29.87,Acers,1869,1080205,48,INLAND SURFACE WATERS CLASS A,CT4013-00-1-L1_01,"Habitat for Fish, Other Aquatic Life andWildlife",Fully Supporting,Recreaton,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6859.09879914287,1301271.86320903
38,2022,CT3805-00-3-L5_01,Hnaover Reservoir (Sprague/Canterbury),Sprague,"LAKE, FRESHWATER",22.85,Acres,1149,1100002,48,INLAND SURFACE WATERS CLASS A,CT3805-00-3-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatiojn,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7636.77733865028,995425.298468499
39,2022,CT3206-00-1-L2_01,"Chaffee, Lake (Ashford)",Ashford,"LAKE, FRESHWATER",52.15,Acres,1491,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3206-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fiesh Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,10048.8438955426,2271699.66935679
40,2022,CT3206-12-1-L1_01,Knowlton Pond (Ashford),Ashforkd,"LAKE, FRESHWATER",110.95,Acers,1465,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3206-12-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Flly Supporting,FishConsumption,Inufficient Information,Existing or proposed drinking water,Not Assessed,No,18983.6951677781,4832929.02795286
41,2022,CT3800-05-1-L4_01,Big Pnd (Lebanon/Windham),Lebanon,"LAKE, FRESHWATER",38.55,Acres,211,1100002,48,INLAND SURFACE WATERS CLASS A,CT3800-05-1-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatlion,Not Assessed,Fish Consumption,Insufficient Information,Not lassified For Drinking Water,Not Evaluated,No,6785.53012223499,1678994.03920449
42,2022,CT3202-00-1-L1_01,Keach Pond (Woodstock),Woodstock,"LAKE, FRESHWATER",29.69,Acres,1405,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3202-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7086.94403544225,1293320.20234777
43,2022,CT6302-00-1-L1_01,Hatch Pond (Sharon),Saron,"LAKE, FRESHWATER",19.82,Acres,1171,1100005,48,INLAND SURFACE WATERS CLASS A,CT6302-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supprting,Recreaton,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,o,6511.78715882649,863370.963316917
44,2022,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,"LAKE, FRESHWATER",28.57,Acres,449,1100005,48,INLAND SURFACE WATERS CLASS A,CT6802-12-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insuffcient Information,Not Classified For Drinking Water,Not Evaluated,No,5760.59840474735,1244650.9707812
45,2022,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Toclland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519,1100002,48,INLAND SURFACE WATERS CLASS A,CT3106-06-1-L2_01,"Habitat for Fish, Other Aquati Life and Wildlife",Not Assessed,Recreation,Not Spporting,Fish Consumption,Insufficient Information,Not Classiied For Drinking Water,Not Evaluated,Yes,1335.89294511291,114672.529054892
46,2022,CT4321-0w0-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.","LAKE, FRESHWATER",9.4,Acres,112,1080207,48,INLAND SURFACE WATERS CLASS A,CT4321-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Rcreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evauated,oN,4301.44782322676,409580.229077604
47,2022,CT4500-00--L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Ancres,2994,1080205,49,INLAND SURFACE WATERS CLASS B,CT4500-00-3-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,8614.07142319367,2173456.36391191
48,2022,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Acres,1554,1100005,49,INLAND SURFACE WATERS CLASS B,CT6000-00-5+L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified Fhor Drinking Water,Not Evaluated,es,72327.8061340326,25289589.4604226
49,2022,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,"LAKE, FRESHWATER",37.56,Acres,1092,1100001,48,INLAND SURFACE WATERS CLASS A,CT3705-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Asscessed,Recreation,Not Asssesed,Fish Consumption,Insufficient Information,Not Classfied For Drinking Water,Not Evaluated,No,7640.62529214094,1635983.49149069
50,2022,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northerno Union.,"LAKE, FRESHWTAER",25.8,Acres,214,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3203-00-1-L2_01,"Habitat for Fish, Other AquaticLife and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,8980.97603020878,1123731.54260915
51,2022,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodsotck, south of Rte 197.","LAKE, FRESHWATER",71.88,Acres,236,1100002,50,INLAND SURFACjE WATERS CLASS AA,CT3201-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Nokt Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not sAsessed,Nbo,8213.55301830889,3130968.1663953
52,2022,CT37d08-00-1-L1_01,Roseland Lak (Woodstock),Southeast section of Woodstock.,"LAKE, FRESHWATER",96.38,Acres,2465,1100001,50,INLAND SURFACE WATERS CLASS AA,CT3708-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Ckonsumption,Insufficient Inofrmation,Existing or proposed drinking water,Insufficient Inforation,Ys,10217.3549883874,4198419.69951084
53,2022,CT3101-03-1-L1_01,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.","LAKE, FRESHWATER",187.38,Apcres,655,1100002,48,INLAND SURFACE WATERS CLASS A,CT3101-03-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,15824.0721676844,8162240.69080054
54,2022,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,"LAKE, FRESHWATER",189.55,Acres,21,1100001,48,INLAND SURFACE WATERS CLASS A,CdT3700-23-1-L1_01,"Habitat for Fish, Other Aquatic Life and ildlife",Fully Suppormting,Recretion,Fully Supportng,Fish Consumption,Insufficient nIformation,Not Classified For Drinking Water,Not Evaluated,o,20428.8341881384,8256818.30413313
55,2022,CT3200-01-1-L1_01,Halls Pond (EastfordA/shford),SW corner of Eastford.,"LAKE, FRESHWATER",83.16,Acres,1132,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3200-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Infomation,Existing or proposed drinking water,Insufficent Information,Nio,15866.3436360267,3622364.23149572
56,2022,CT3108-02-1-L201,"Bolton Lake, Middle (Vernon)",Southeasts ection of Vernon.,"LAKE, FRESHWATER",117.2,Acres,266,1100002,48,INLAND SURFACE WATERS CLASS A,CT3108-02-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not ClassifiedFor Drinking Water,Not Evaluated,No,14402.0904400297,5105195.54061232
57,2022,CT3108-02-i1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.","LAKE, FRESHWATER",176.46,Acres,265,1100002,48,INLAND SURFACE WATERS CLASS A,CT3108-02-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,14188.1128171674,7686569.5593503
