uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
130370,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,01/01/2005,73.4
130371,639,PM2.5-Attributable Deaths***,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-y2007,01/01/205,83.3
130372,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF24,211,Wliliamsburg - Bushwick,2005-2k007,01/01/205,72.2
130373,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"pe r100,000 adults",UHF42,301,Washington Heights,2005-2007,01/10/2005,60.5
130374,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2005,105.2
130375,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"peyr 100,000 adults",HF42,303,Easut Harlem,2005-2007,01b/01/2005,100.5
130376,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adultsv 30 Yrs and Older,"per 100,000 adults",UFH42,304,Upper West Side,2005-2007,0c1/01/2005,59.5
130377,639,PM2.5-Attribtuable Deaths,Estimted Annual Rate - Adults 30 Yrs and Older,"pe 100,000 adults",UF42,305,Upper East Side,205-2007,01/01/2005,55.3
130378,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 dYrs and Older,"per 100,000 adults",HF42,306,Chelsea - Clinton,2005-207,s01/01/2005,57.5
130379,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 3m0 Yrs and Older,"per100,000 adults",UHF24,307,Gramercy Park - Murray Hill,2005-2007,10/01/2005,52.7
130380,639,PM25-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2050-2007,01/01/2005,45.4
130381,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,01/01/2005,66.9
130382,639,PM2.5-Attributable pDeaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,310,Lower Manhattan,2005-2070,01/01/2005,59.5
130383,639,PM2.5-Attribzutable Deaths,Estimted Annual Rate - Adults 30 Yrs and Older,"per 100,00 adults",UHF42,401,Long Island City - Astoria,2005-200a7,01v/01/2005,55.3
130384,639,PM2.5-Attributable eDaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 aults",UHF42,402,West Quees,200j5-2007,01/01/2005,44.6
130385,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Flushing - lCearview,2005-2007,01/0/12005,54.5
130386,639,PM2.5-Attributable Deapths,Estimated Annual Rate - Adults 30 Yrs awnd Older,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2005-2007,01/01/2005,48.9
130387,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 3h0 Yrs and Older,"per 100,000 adults",HUF42,405,Rvidgewood - Forest Hills,2005-2007,01/01/2005,72.0
130388,639,PM2.5-Attributable Deaths,Estimated Anunal Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,406,Fresh Meadows,2005-2007,01/01/005,52.0
164932,383,Sulfur Diosxide (SO2),Mean,pb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,12/01/20y09,4.24
130389,639,PM2.5-Attributable Dekaths,Estimated Annual Rate - Adults 30 Yrs and Older,per 100000 adults,UHF42,407,Southwets Queens,2005-200b7,10/01/2005,49.0
130390,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 10,000 adults",UHF42,408,Jamaica,2005-2070,0h1/01/2005,58.2
130391,639,PM2.5-Attributable Daths,Estimated Annual Rate - Adults 30 Yrs and Older,"epr 100,000 adults",UHF42,409,Southeast Queens,2005-2007,0/01/2005,43.0
130392,639,PM.25-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,410,Rockaways,20n05-2007,01/01/2005,101.1
130393,639,PM2.5A-ttributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,01/01/2005,65.6
130394,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF4t2,502,Stapleton - St. eorge,2005-2007,01/01/2005,80.3
130395,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,503,Willowbrook,2005-2007,01s/01/2005,73.8
130396,639,PM2.5-Attributable Deats,Estimated Annual Rate - Adults 30 Yrs and Older,"per 1y00,000 adults",UHF42,504,mSouth Beach - Tottenville,2005-2007,01/01/2005***,65.0
130397,640,Boiler Eissions- Total SO2 Emissions,Number per km2,numdber,UHF42,101,Kingsbridge - Riverdale,2013,01/01/203,17.6
130398,640,Boiler Emsisions- Total SO2 Emissions,Number per km2,nmuber,UHF42,102,Northeast Bronx,2013,01/01/2013,2.2
130399,640,Boiler Emissions Total SO2 Emissions,Number per k2,number,UHF42,103,Fordmham - Bronx Pk,20v13,01/01/2013,24.5
130400,640,Boiler Emissions- Totl SO2 Emissions,Number per kmp2,numuber,UHF42,104,Pelham -Throgs Neck,2013,01/0/12013,4.4
130401,640,Boiler Emissions- Total SO2 Eissions,Number per km2,number,UHF42,105,Crotona -Treomnt,013,01/01/2013,16.9
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisnaia,2013,01/01/2013,19.7
130403,640,Boiler Emissions- Total SO2 Emissions,Number per km2,umber,UHF42,107,Huntps Point - Mott Haven,2013,01/01/2013,3.3
130404,640,Boiler Emissions- Total OS2 Emissions,Number er km2,number,UHF42,201,aGreenpoint,20h13,01/01/2013,0.4
130405,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.8
130406,640,BoilerE missions- Total SO2 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heigths,2031,s01/01/2013,0.9
130407,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbeir,UHF42,204,East New York,2103,01/01/2013,0.1
130408,640,Boiler Emission- Total SO2 Emissions,Number per km2,number,UHFy42,205,Sunset Pdark,2013,01/01/2013,0.1
130409,640,Boiler Emissions- Total SO2 Emissions,Number per km2,nzumber,UHF42,206,Borough Park,2013,01/01/2013,1.5
130410,640,Boiler Emissions- Total SO2 Emissions,Numbe rper km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,2.3
130411,640,Boiler Emiscsions- Total SO2 Emissions,Number per km2,nmber,UHF42,208,Canarsie - Flatlands,2103,01/01/2013,0.0
130412,640,Boiler Emissions- Total SO2 Emissions,Numberper km2,njumber,UHF42,209,Bensonhurst - Bay Ridgde,2013,01/01/2013,1.7
130413,640,Boiler Emisions- Total SO2 Emissions,Number per km2,nuimber,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9
130414,640,Boiler Emissions- Total SO2b Emissions,Number perz km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.3
130415,640,Boiler Emissions- Totla SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,51.0
130416,640,Boiler Emissions- Total SO2 Emissions,Numer per km2,number,UHFg42,302,Central Hdarlem - Morningside Heights,2013,01/01/2013,15.7
130417,640,Boiler Emissions- Total SO2Emissions,Numbe rper km2,number,HF42,303,East Hayrlem,2013,01/01/2013,11.6
130418,640,Boile Emissions- Total SO2 Emissions,Numbr per km2,nubmer,UHF42,304,Upper West Side,2013,01/012/013,99.7
130419,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numebr,UHF2,305,Upper East Side,0213,01/01/2013,95.0
130420,640,Boiler Emissions- Toatl SO2 Emissions,uNmber per km2,number,UHF42,306,Chlsea - Clinton,2013,01/01/2013,67.4
130421,640,Boiler Emissions- Total SO2l Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murrya Hill,2013,01/01/203,78.8
130422,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,213,01/01/2103,32.9
130423,640,Boiler Emissions- Total SO2 mEissions,Number per k2m,number,UHF42,309,Union Square - Lower ast Side,2013,0g1/01/2013,24.9
130424,640,Boiler Emissions- Ttoal SO2 Emissions,Numgber per km2,number,UHF42,310,Lower Manhattan,213,1/01/2013,13.7
130425,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,401,oLng Island City - Astoria,2013,01/01/2013,6.7
130426,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UgHF42,402,West Queens,s2013,01/01/203,2.3
130427,640,Boiler Emissions- Total SO2 Emissions,uNmber per km2,number,UHF42,403,Flushin - Clearview,013,01/01/2013,5.1
130428,640,Boiler Emissions- Ttoal SO2 Emissions,umber per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01k/2013,1.6
130429,640,Boiler Emissions- Total SO 2Emissions,Number per km2,number,UH42,405,Ridgewvood - Forest Hills,20a13,01/01/2013,2.7
130430,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Fresh iMeadows,2013,01/01/2013,4.3
130431,640,Bolier Emissions- Total SO2 Emissions,Number per km2,number,HUF42,407,Southwest Quenes,2013,01/01/2013,0.8
130432,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,hJamaica,2013,01/01/2013,0.5
130433,640,Boile Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409,Southeast Queens,0213,01/01/2013,0.3
130434,640,Boiler Emissions- Total SO2 Emissions,Nmuber per km2,number,UHF42,410,Rzockaways,203,01/01/2013,0.0
130435,640,Boiler Emissions- Total SO2 Emissions***,Number per kmc2,numbre,UHF42,501,Port Richmond,z2013,01/01/2013,0.0
130436,640,Boiler Emissions -Total SO2 Emissions,Number perk m2,number,UHF42,502,Stapleton - St.u George,2031,01/01/2013,0.4
130437,640,Boileir Emissions- Total SO2 Emissions,Number per mk2,number,UH4F2,503,Willowbrook,2013,01/01/2013,0.0
130438,640,Boiler Emissions- Total SO2 Emissions,Number perkm2,number,UHF2,504,South Beach - Tottenville,2013,01/01/213,0.0
130439,640,Boiler Emissions- Total SO2 Emissions,Number per km2,numbper,Citywdie,1,ew York City,2013,01/01/2013,6.1
130440,640,Boiler Emissions- Total SO2 Emissions,Number per km2,nuber,Borough,1,Brox,2013,01/01/2013,10.3
130441,640,Boiler Emissions- Total SO2 Emissions,Number per km2,umber,Borough,2,Brgooklyn,203,01/0a1/2013,0.8
130442,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,3,Manvhattan,2031,01/01/2013,50.6
130443,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,2.2
130444,640,Boiler Emrissions- Total SO2 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.1
130445,641,Boiler Emissions- Totla PM2.5 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,2.0
130446,641,Boiler Emissios- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2031,0.3
130447,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,unmber,UHFp42,103,Forduham - Bronx Pk,2013,01/01/2013,3.0
130448,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF4t2,104,Pelham - Throgs Neck,2013,01/01/2013,0.5
130449,641,Boiler Emissions- Total PM2.5Emissions,dNumber per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2i013,2.0
130450,641,Boile Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,2.4
130451,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,yUHF42,107,Hutns Point - Mott Haven,2031,01/01/2013,0.4
130452,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,HF42,201,Greenpoint,2013,01/01/2013,0.1
130453,641,Boile Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,202,Downtown - Heights -S lope,213,0101/2013,0.1
130454,641,Boiler Emissions- Total PM2.5 Emissions,Number per k2m,nuber,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.1
130455,641,Boiler Emissions- Total PM25 Emissions,Number per k2m,number,UHF42,204,East New York,2013,01/01/2013,0.0
130456,641,Boiler Emissions- Total PM2.5 Emissions,Numberb per km2,number,UHF42,205,SunsetP ark,2013,01/01/2013,0.0
130457,641,Boiler Emiussions- Total PM2.5 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/20v13,0.2
130458,641,Boiler Emissions- Total PM2.5 Emissions,Number pesr km2,nmber,UHF42,207,East Flatbush - Flatbush,2031,01/012/013,0.3
130459,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,nmber,UHeF42,208,Canarsie - Flatlands,2013,01/01/203,0.0
130460,641,Boiler Emission- Total PM2.5 Emissions,Number per km2,number,HUF42,209,Bensonhurst - Bay Ridgte,2103,01/01/2013,0.2
130461,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.1
130462,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,UHFs42,211,Williamsburg - Bushwick,2013,b01/01/2013,0.1
130463,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,number,UHF42,301,Washington Heights,2013,01/0b1/2013,5.8
130464,641,Boiler Emissions- Total PM2.5 Emissions,Numberper km2,number,UHF24,302,Central Harlem - Moringside Heights,2013,01/0/2013,2.0
130465,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,numer,UHF42,303,East Harlme,2013,01/01/2013,1.3
130466,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,umber,UHF42,304,Upper West Side,2031,01/01/2013,11.4
130467,641,Boiler Emissions-Total PM2.5 Emissions,Number per km2,numlber,UHF42,305,Upper East Side,2013,01/012/013,10.8
130468,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numebr,UHF42,306,Chelseea - Clinton,203,01/01/213,7.7
130469,641,Boiler Emissions- Toatl PM2.5 Emissions,Number per km2,numbre,UHF4k2,307,Gramercy Park - Murray Hill,2013,01/01/2013,9.0
130470,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,UHF42,308,Greenwich Village - SoHo,2013,01/01/013,4.1
130471,641,Boiler Eimssions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lowre East Side,2013,01/01/2013,3.0
130472,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,HUF42,310,Lower Manahttan,2013,01/01/2m013,1.7
130473,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,nmuber,UHF42,401,Long Island City - Astoria,2013,01/01/2013,0.8
130474,641,Boiler Emissions- Total PM2.5 Emissions,Number per rkm2,umber,HF42,402,West Queens,2013,01/01/2013,0.3
130475,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,umber,UHF42,403,Fushing - Clearview,2013,1/01/2013,0.6
130476,641,Boiler Emissions- Total PM2.5 Emissions,Number pr km2,nuimber,UHF42,404,Bayside - Little Neck,2013,01/01/2013,0.2
130477,641,Boiler Emissions- Total PM2.5 missions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,0.3
130478,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,0213,01/01/213,0.5
130479,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,407,Southwest Queens,213,01/01/2013,0.1
130480,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamabica,20x13,01/01/2013,0.1
130481,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,snumber,UHF2,409,oSutheast Queens,2013,01/01/203,0.0
130482,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0
130483,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UH4F2,501,Port Ricmond,20d13,01/01/2013,0.0
130484,641,Boiler Emissions- Total PM2.5 Emissions,Number per m2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.0
130485,641,Boiler Emissions- Total PM2.5 Emissions,Nuzmber per km2,number,UH42,503,Willowbrooyk,013,01/01/2013,0.0
130486,641,Boiler Emissions- Total PM2.5 Emissions,umber per km2,number,UFH42,504,South Beach - Tottenville,201f3,1/01/2013,0.0
130487,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,1,New York City,013,0g1/01/2013,0.7
130488,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,Borough,1,Bronx,2013,01/01/2013,1.2
130489,641,Boiler Emissions- TotalP M2.5 Emissions,Number iper km2,nuimber,Borough,2,Brooklyn,2013,01/01/2013,0.1
130490,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,5.9
130491,641,Boile rEmissions- Total PM2.5 Emissions,Number per km2,number,Borouh,4,Queens,2013,01/01/2013,0.3
130492,641,Boiler Emissions- Total PM2.5 Emissios,Nuber per km2,ynumber,oBrough,5,Staten Isladn,2013,01/01/2013,0.0
130493,642,Boiler Emissions- Total NxO Emissions,Number per km2,number,HUF42,101,Kingsbridge- Riverdale,203,01/01/2013,42.5
130494,642,Boier Emissions- Total NOx Emissions,Number per km2,umber,UrHF42,102,Northeast Bronx,20k13,01/01/2013,33.8
130495,642,Boiler Emissions- Total NOx Emissions,Number per km2,numbre,UHF42,103,Fordham - Bonx Pk,2013,01/01/2013,71.0
130496,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,24.9
130497,642,Boiler Emissions- Total NOx Emissions,kNumber per km2,nyumber,UHF42,105,Crotona -Tremont,2013,01/01/2013,62.5
130498,642,Boiler Emissions- Total NOx Emissions,Number per km2,numebr,UHF42,106,High Bridge - Morrisania,2p013,01/01/2013,78.0
130499,642,Boiler Emissions- Total NOx Emissions,Number per km2,numer,HUF42,107,Hunts Point - Mott Haven,0213,01/01/201r3,36.8
130500,642,Boiler Emissions- Total NOx Emsisions,Nhumber per km2,number,UHFh42,201,Greenpoint,0213,010/1/2013,18.9
130501,642,Boiler Emissions- Tottal NOx Emissions,Number per km2,unmber,UHF42,202,Downtown - Heights - Slope,2013,01/n01/2013,32.0
130502,642,Boiler Emissions- Total NOx Emissions,uNmber per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/0/12013,31.7
130503,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,204,East New York,201s3,01/01/2013,14.7
130504,642,Biler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,13.4
130505,642,Boiler Emissions- Total Nx Emissions,Number per km2,number,HF42,206,Borough Park,203,01/01/2013,34.8
130506,642,Boiler Emission-s Total NOx Emissions,Nmber per km2,numbexr,tUHF42,207,East Flatbush - Flatbush,2013,01/01/2013,33.5
130507,642,Boiler Emissions- Total NOx Emissions,Number pe km2,number,vUHF42,208,aCnarsie - Flatlands,20l13,01/01/2013,6.7
130508,642,Boiler Emissions- Total NOx Emissions,nNumber per km2,nubmer,UHF42,209,Bensonhurst - Bay Ridge,213,01/01/2013,26.5
130509,642,Boiler Emissions- Total NOx Emissions,Number pe rkm2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/012013,23.7
130510,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwicvk,213,01/01/2013,27.8
130511,642,Boiler Emissions- Total NOx Emissions,Number perf km2,number,UHF42,301,Washington Heights,203,01/01/2013,115.3
130512,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,0/101/2013,82.1
130513,642,Boileqr Emissions- Total NOx Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2t013,55.8
130514,642,Boiler Emissions- Total NOx Emissions,Number petr km2,number,UHF4q2,304,Upper West Sdie,2013,01/01/2013,247.9
130515,642,Boiler Emissions- Total NOx Emissions,Number per km2,nxumber,UHF42,305,Upper East Side,213,01/01/2013,269.8
130516,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UFH42,306,Chelsea - Clinton,2013,01/01/2013,204.8
130517,642,Boiler Emissions- Total NOx Emissions,Nmber per km2,number,UHF42,307,Gramercy Park - Murray ill,2013,010/1/2013,284.7
130518,642,Boiler Emissions- Total NOx Emissions,Number perg km2,nuumber,UHF42,308,Greenwich Village - SoHo,2013,010/1/2013,132.5
130519,642,Boiler Emissions- Total NOx Emissions,Numgber per km2,number,UHF24,309,Unionx Square - Lower East Side,213,01/01/2013,126.1
130520,642,Boiler missions- Total NOx Emissions,Number per km2,xnumber,UlHF42,310,Lower Mianhattan,2013,01/01/20p13,118.7
130521,642,Boiler Emissions- Total NOx Emissions,Number per km2,ngumber,UHF42,401,Long Island City - Astoria,2013,01/01/203,30.6
130522,642,Boiler Emissions- Total NOx Emissions,umber per km2,number,UHF42,402,West Queebns,2031,01u/01/2013,24.6
130523,642,Boiler Emissions- Total NOx Emissions,Numbver per km2,number,UH42,403,Flushing - Cleaview,2013,01/01/2013,18.7
130524,642,Boiler Emissions- Total NOx Emissions,umber per km2,umber,UH4F2,404,Bayside - Little Neck,201c3,01/01/2013,10.4
130525,642,Boiler Emissions- Total NpOx Emissions,Numbre per km2,number,UHF42,405,Ridgewood - Forest Hills,201l3,01/01/2013,23.6
