OBJECTID,NAMELSAD,Percent_of_population_with_a_di,Percent_of_population_with_a_he,Percent_of_population_with_a_vi,Percent_of_population_with_a_co,Percent_of_population_with_an_a,Percent_of_population_with_a_se,Percent_of_population_with_an_i,City,Shape__Area,Shape__Length
48,Census Tract 4212.01,11.3,1.4,1.6,8.7,2.8,0.6,0.7,Mesa,50521442.0529785,34745.2854672747
49,Census Tract 4221.04,13.7,1,2.7,3.6,7.5,1.5,2.2,Mesa,16390597.9245605,17044.7808486489
50,Census Tract 3196,8.6,2.6,2.6,3.9,1.8,1.2,1.5,Tempe,27748950.3862915,21080.1727138693
51,Census Tract 4222.11,13.6,2.5,1.7,4.9,7.7,3.3,3.6,Other,27387690.8640137,20913.8533924474
52,Census Tract 4222.12,9.8,2.5,3,3.4,3,2.3,3.4,Mesa,24342297.3128052,21131.5820941724
53,Census Tract 4222.13,11.3,3.5,0.6,5.4,4.8,2.9,5.2,Mesa,14070377.2385864,16050.496529544
54,Census Tract 4222.18,18.1,5.2,6.8,7.1,11.2,2.3,8.4,Chandler,14581431.12677,16188.9824911572
55,Census Tract 3191.03,6.4,2.5,0.5,5.4,1.4,0.5,0.9,Tempe,10301660.670105,15966.3755603729
56,Census Tract 3191.04,9.2,0.3,3.1,2.7,4.8,1.2,4.4,Tempe,13859587.9542847,15774.0416545551
57,Census Tract 3192.01,7.3,1.4,2.9,3.7,2.4,0.4,1,Tempe,14258434.0300293,16009.5979049029
58,Census Tract 3192.02,13.2,2.5,1.9,5,7.1,1.4,2.3,Tempe,14259437.4465942,16089.584551552
59,Census Tract 3197.05,11.1,2.4,0.7,7.8,2.9,1.7,6.3,Tempe,41369830.5723267,26004.0098039657
60,Census Tract 3197.06,10.7,2.1,1.2,5.9,5.2,2.8,4.5,Tempe,14459750.9851074,16635.3238928591
61,Census Tract 3201,6,2.8,0.2,2,1.2,0.7,1.3,Tempe,52850589.1242065,33373.8954536932
62,Census Tract 4213.03,15.1,3.2,2,7.2,7.5,3.4,5.9,Mesa,19516901.6724854,21070.3220580596
63,Census Tract 3188,10.4,2.4,0.7,6.9,2.7,1.1,3.4,Tempe,28061243.8692017,21294.9264342438
64,Census Tract 3191.01,6.5,0.5,2.1,3.3,2.1,0.5,1.2,Tempe,3558420.34759521,8618.28766779392
65,Census Tract 3189,6.6,3.1,1.5,3.1,1.7,0.9,1.4,Tempe,27863090.6742554,21120.8784451795
66,Census Tract 3194.03,11.7,2.8,2.5,5.2,5.4,1.4,5.5,Tempe,28695696.3658447,21428.1552945873
67,Census Tract 3194.04,21.4,8.6,3.2,7.9,12.1,4.6,10.9,Tempe,19818610.7418823,20729.7530422729
68,Census Tract 3195,18.7,7.9,5.3,4,4.7,1.3,3,Tempe,27725038.2188721,21070.4254080804
69,Census Tract 1112.04,9.2,0,5.4,7.7,1.5,0.4,1.1,Phoenix,71270799.9765015,36207.4091202163
70,Census Tract 4213.04,8,0,0.5,4.6,2.8,0,0.2,Mesa,25027101.8722534,23984.1237799118
71,Census Tract 4222.26,,,,,,,,Mesa,4310206.74432373,8947.99311228334
72,Census Tract 3197.07,,,,,,,,Tempe,7492965.09368896,12189.8537979703
73,Census Tract 3197.09,,,,,,,,Tempe,19411843.401123,18398.7377353055
