Vote,Party,Representative,District,Score
Yea,D,"Brown, Sherrod",OH 13th,0.179920775452
Yea,D,"Hoyer, Steny",MD 5th,0.370819853765
Yea,D,"Hooley, Darlene",OR 5th,0.346579871879
Yea,D,"Honda, Mike",CA 15th,0.309996315137
Yea,D,"Holt, Rush",NJ 12th,0.30471646563
Yea,D,"Holden, Tim",PA 6th,0.459781801436
Yea,D,"Green, Gene",TX 29th,0.361616838295
Yea,D,"Gutiérrez, Luis",IL 4th,0.107207174667
Yea,D,"Hall, Ralph",TX 4th,0.795563086285
Yea,D,"Harman, Jane",CA 36th,0.40167149892
Yea,D,"Filner, Bob",CA 50th,0.158246816998
Yea,D,"Frank, Barney",MA 4th,0.148689845002
Yea,D,"Ford, Harold",TN 9th,0.272107864531
Yea,D,"Kennedy, Patrick",RI 1st,0.247956103987
Yea,D,"Kildee, Dale",MI 9th,0.261441426855
Yea,D,"Kilpatrick, Carolyn",MI 15th,0.0980078496387
Yea,D,"Kind, Ron",WI 3rd,0.412875779893
Yea,D,"Kleczka, Jerry",WI 4th,0.352353464646
Yea,D,"Frost, Jonas",TX 24th,0.209638222707
Yea,D,"Gephardt, Dick",MO 3rd,0.317838424462
Yea,D,"Gonzalez, Charles",TX 20th,0.240905855525
Yea,D,"Evans, Lane",IL 17th,0.236514756378
Yea,D,"Edwards, Chet",TX 11th,0.240905855525
Yea,D,"Etheridge, Bob",NC 2nd,0.491608817477
Yea,D,"Fattah, Chaka",PA 2nd,0.208135147117
Yea,D,"Eshoo, Anna",CA 14th,0.248284779961
Yea,D,"Farr, Sam",CA 17th,0.226460695956
Yea,D,"Engel, Eliot",NY 17th,0.171656200005
Yea,D,"Hastings, Alcee",FL 23rd,0.214403193116
Yea,D,"Hill, Baron",IN 9th,0.444485601851
Yea,D,"Hinchey, Maurice",NY 26th,0.135054804248
Yea,D,"Hinojosa, Rubén",TX 15th,0.318119120272
Yea,D,"Hoeffel, Joseph",PA 13th,0.304575104255
Yea,D,"Johnson, Eddie",TX 30th,0.178170017579
Yea,D,"Jones, Stephanie",OH 11th,0.208496892623
Yea,D,"Kanjorski, Paul",PA 11th,0.417016555332
Yea,D,"Inslee, Jay",WA 1st,0.35829654556
Yea,D,"Israel, Steve",NY 2nd,0.383554569979
Yea,D,"Jackson, Jesse",IL 2nd,0.1324730296
Yea,D,"Jackson Lee, Sheila",TX 18th,0.164063229782
Yea,D,"Jefferson, William",LA 2nd,0.303408278154
Yea,D,"John, Chris",LA 7th,0.611612900729
Yea,D,"Doyle, Mike",PA 18th,0.407058517192
Yea,D,"Dingell, John",MI 16th,0.34372072488
Yea,D,"Dooley, Cal",CA 20th,0.479654075182
Yea,D,"Nadler, Jerrold",NY 8th,0.134472508663
Yea,D,"Napolitano, Grace",CA 34th,0.250287632083
Yea,D,"Neal, Richard",MA 2nd,0.330349148854
Yea,D,"Oberstar, James",MN 8th,0.347839483591
Yea,D,"Obey, Dave",WI 7th,0.399922149786
Yea,D,"Millender-McDonald, Juanita",CA 37th,0.12285206932
Yea,D,"Miller, George",CA 7th,0.0913277177458
Yea,D,"Mollohan, Alan",WV 1st,0.448558626677
Yea,D,"Moore, Dennis",KS 3rd,0.419094734136
Yea,D,"Moran, Jim",VA 8th,0.332423398424
Yea,D,"Murtha, John",PA 12th,0.443092376759
Yea,D,"Pomeroy, Earl",ND,0.500404545146
Yea,D,"Price, David",NC 4th,0.399800741281
Yea,D,"Rahall, Nick",WV 3rd,0.474890714604
Yea,D,"Rangel, Charles",NY 15th,0.174893365793
Yea,D,"Payne, Donald",NJ 10th,0.0982742460773
Yea,D,"Pelosi, Nancy",CA 8th,0.0669663829202
Yea,D,"Peterson, Collin",MN 7th,0.613586962899
Yea,D,"McDermott, Jim",WA 7th,0.191932639526
Yea,D,"McGovern, Jim",MA 3rd,0.143384648995
Yea,D,"McIntyre, Mike",NC 7th,0.591552520677
Yea,D,"McNulty, Michael",NY 21st,0.29043234343
Yea,D,"Meehan, Marty",MA 5th,0.218602801525
Yea,D,"Meeks, Gregory",NY 6th,0.232087158456
Yea,D,"Menéndez, Bob",NJ 13th,0.266337461061
Yea,D,"Olver, John",MA 1st,0.139183055772
Yea,D,"Ortiz, Solomon",TX 27th,0.434620068204
Yea,D,"Owens, Major",NY 11th,0.0848473546949
Yea,D,"Pallone, Frank",NJ 6th,0.24012785101
Yea,D,"Pascrell, Bill",NJ 8th,0.28123344712
Yea,D,"Pastor, Ed",AZ 2nd,0.331305895492
Yea,D,"Reyes, Silvestre",TX 16th,0.368828289839
Yea,D,"Rodriguez, Ciro",TX 28th,0.302881652972
Yea,D,"Ross, Mike",AR 4th,0.48639568439
Yea,D,"Rothman, Steven",NJ 9th,0.289838685814
Yea,D,"Lee, Barbara",CA 9th,0.0199620491265
Yea,D,"Levin, Sander",MI 12th,0.309346768122
Yea,D,"Lewis, John",GA 5th,0.182183895231
Yea,D,"Lipinski, William",IL 3rd,0.382033932454
Yea,D,"Lowey, Nita",NY 18th,0.188903320461
Yea,D,"Lucas, Ken",KY 4th,0.603105185692
Yea,D,"Lynch, Stephen",MA 9th,0.240905855525
Yea,D,"Maloney, Carolyn",NY 14th,0.146276270638
Yea,D,"Markey, Ed",MA 7th,0.219978287009
Yea,D,"Matheson, Jim",UT 2nd,0.240905855525
Yea,D,"Matsui, Robert",CA 5th,0.327962644424
Yea,D,"McCarthy, Carolyn",NY 4th,0.290447330899
Yea,D,"McCarthy, Karen",MO 5th,0.324348104848
Yea,D,"McCollum, Betty",MN 4th,0.309538068736
Yea,D,"Kucinich, Dennis",OH 10th,0.144488193374
Yea,D,"Lampson, Nick",TX 9th,0.363152669147
Yea,D,"Langevin, Jim",RI 2nd,0.359483819844
Yea,D,"Lantos, Tom",CA 12th,0.156051092518
Yea,D,"Larsen, Rick",WA 2nd,0.240905855525
Yea,D,"Larson, John",CT 1st,0.34321094826
Yea,D,"DeGette, Diana",CO 1st,0.284076179262
Yea,D,"Delahunt, Bill",MA 10th,0.245845164954
Yea,D,"DeFazio, Peter",OR 4th,0.260628789029
Yea,D,"Davis, Susan",CA 49th,0.364201629814
Yea,D,"Deutsch, Peter",FL 20th,0.377226544422
Yea,D,"DeLauro, Rosa",CT 3rd,0.150378831241
Yea,I,"Sanders, Bernie",VT,0.164134687582
Yea,I,"Crenshaw, Ander",FL 4th,0.611207655941
Yea,R,"DeLay, Tom",TX 22nd,0.810356208284
Yea,R,"Skeen, Joseph",NM 2nd,0.777566954208
Yea,R,"Grucci, Felix",NY 1st,0.555489965815
Yea,R,"Gilman, Benjamin",NY 20th,0.526293143367
Yea,R,"Watkins, Wes",OK 3rd,0.831027077551
Yea,R,"Watts,",OK 4th,0.804861064947
Yea,R,"Gekas, George",PA 17th,0.693517629004
Yea,R,"Thune, John",SD,0.743075224622
Yea,R,"Bryant, Ed",TN 7th,0.779299966127
Yea,R,"Armey, Richard",TX 26th,0.826127571889
Yea,R,"Hansen, James",UT 1st,0.728692149064
Yea,R,"Shuster, Bill",PA 9th,0.568463989451
Yea,R,"Weldon, Dave",FL 15th,0.899673798811
Yea,R,"Weldon, Curt",PA 7th,0.6799570111
Yea,R,"Weller, Jerry",IL 11th,0.763035247958
Yea,R,"Whitfield, Ed",KY 1st,0.769170037583
Yea,R,"Wicker, Roger",MS 1st,0.840107985883
Yea,R,"Wilson, Joe",SC 2nd,0.688161537519
Yea,R,"Wilson, Heather",NM 1st,0.665528387496
Yea,R,"Wolf, Frank",VA 10th,0.662502704821
Yea,R,"Miller, Dan",FL 13th,0.776539983293
Yea,R,"Barr, Bob",GA 7th,0.900369767175
Yea,R,"Ganske, Greg",IA 4th,0.62749770499
Yea,R,"Kerns, Brian",IN 7th,0.668723418813
Yea,R,"Schrock, Ed",VA 2nd,0.680757648022
Yea,R,"Sensenbrenner, James",WI 9th,0.780351643456
Yea,R,"Shadegg, John",AZ 4th,0.839010828261
Yea,R,"Shaw, Clay",FL 22nd,0.656701014539
Yea,R,"Shays, Christopher",CT 4th,0.537352496773
Yea,R,"Young, W. Bill",FL 10th,0.535911294906
Yea,R,"Callahan, L.",AL 1st,0.751294897542
Yea,R,"Riley, Bob",AL 3rd,0.813223585738
Yea,R,"Horn, Stephen",CA 38th,0.588021887807
Yea,R,"Schaffer, Bob",CO 4th,1.0
Yea,R,"Vitter, David",LA 1st,0.749248279969
Yea,R,"Walden, Greg",OR 2nd,0.728678745078
Yea,R,"Walsh, Jim",NY 25th,0.566719693584
Yea,R,"Wamp, Zach",TN 3rd,0.751294897542
Yea,R,"Souder, Mark",IN 4th,0.883741718662
Yea,R,"Stearns, Cliff",FL 6th,0.813771672387
Yea,R,"Sullivan, John",OK 1st,0.751294897542
Yea,R,"Sweeney, John",NY 22nd,0.678076279714
Yea,R,"Thornberry, Mac",TX 13th,0.780817790212
Yea,R,"Tiahrt, Todd",KS 4th,0.844202220722
Yea,R,"Tiberi, Pat",OH 12th,0.625561656233
Yea,R,"Toomey, Pat",PA 15th,0.693063633168
Yea,R,"Upton, Fred",MI 6th,0.70405894202
Yea,R,"Tancredo, Tom",CO 6th,0.869733120159
Yea,R,"Tauzin, Billy",LA 3rd,0.737658170135
Yea,R,"Taylor, Charles",NC 11th,0.751294897542
Yea,R,"Terry, Lee",NE 2nd,0.792922388036
Yea,R,"Thomas, Bill",CA 21st,0.639325578124
Yea,R,"Royce, Ed",CA 39th,0.766934088982
Yea,R,"Ryan, Paul",WI 1st,0.687230513109
Yea,R,"Ryun, Jim",KS 2nd,0.838920722161
Yea,R,"Saxton, Jim",NJ 3rd,0.655547648818
Yea,R,"Morella, Constance",MD 8th,0.340068578602
Yea,R,"Sherwood, Don",PA 10th,0.751294897542
Yea,R,"Shimkus, John",IL 20th,0.77508570337
Yea,R,"Simmons, Rob",CT 2nd,0.573507058903
Yea,R,"Simpson, Mike",ID 2nd,0.755235123566
Yea,R,"Smith, Chris",NJ 4th,0.650238809893
Yea,R,"Smith, Lamar",TX 21st,0.711734723612
Yea,R,"Smith, Nick",MI 7th,0.74211894919
Yea,R,"Calvert, Ken",CA 43rd,0.889243306296
Yea,R,"Camp, Dave",MI 4th,0.829594813653
Yea,R,"Cantor, Eric",VA 7th,0.708799928733
Yea,R,"Capito, Shelley",WV 2nd,0.751294897542
Yea,R,"Castle, Michael",DE,0.584198293841
Yea,R,"Chabot, Steve",OH 1st,0.773895184985
Yea,R,"Coble, Howard",NC 6th,0.736727598498
Yea,R,"Collins, Mac",GA 3rd,0.801802315687
Yea,R,"Combest, Larry",TX 19th,0.769708561314
Yea,R,"Cox, Christopher",CA 47th,0.765000954158
Yea,R,"Biggert, Judy",IL 13th,0.627681935786
Yea,R,"Bilirakis, Michael",FL 9th,0.68738168705
Yea,R,"Blunt, Roy",MO 7th,0.882501699979
Yea,R,"Boehlert, Sherry",NY 23rd,0.557285948175
Yea,R,"Boehner, John",OH 8th,0.807104566331
Yea,R,"Bonilla, Henry",TX 23rd,0.77227456471
Yea,R,"Boozman, John",AR 3rd,0.751294897542
Yea,R,"Ballenger, Cass",NC 10th,0.814704669957
Yea,R,"Bartlett, Roscoe",MD 6th,0.887745927851
Yea,R,"Barton, Joe",TX 6th,0.771089179786
Yea,R,"Bass, Charles",NH 2nd,0.670422841488
Yea,R,"Bereuter, Doug",NE 1st,0.729695211278
Yea,R,"Crane, Phil",IL 8th,0.80035311814
Yea,R,"Cubin, Barbara",WY,0.841258048214
Yea,R,"Culberson, John",TX 7th,0.751294897542
Yea,R,"Cunningham, Duke",CA 51st,0.834807016463
Yea,R,"Davis, Jo Ann",VA 1st,0.673258693939
Yea,R,"Sununu, John",NH 1st,0.771017008224
Yea,R,"Aderholt, Robert",AL 4th,0.813301870663
Yea,R,"Bachus, Spencer",AL 6th,0.827074128057
Yea,R,"Baker, Richard",LA 6th,0.839495655985
Yea,R,"DeMint, Jim",SC 4th,0.783144896178
Yea,R,"Brady, Kevin",TX 8th,0.800236000948
Yea,R,"Brown, Henry",SC 1st,0.671696099932
Yea,R,"Burr, Richard",NC 5th,0.782312200656
Yea,R,"Burton, Dan",IN 6th,0.835453448647
Yea,R,"Buyer, Steve",IN 5th,0.74665096126
Yea,R,"Hunter, Duncan",CA 52nd,0.747588402489
Yea,R,"Hulshof, Kenny",MO 9th,0.7059765667
Yea,R,"Hostettler, John",IN 8th,0.892196461419
Yea,R,"Hoekstra, Pete",MI 2nd,0.792845218194
Yea,R,"Granger, Kay",TX 12th,0.737303520617
Yea,R,"Graves, Sam",MO 6th,0.751294897542
Yea,R,"Green, Mark",WI 8th,0.767342531481
Yea,R,"Greenwood, Jim",PA 8th,0.635747709053
Yea,R,"Gutknecht, Gil",MN 1st,0.723937479761
Yea,R,"Hart, Melissa",PA 4th,0.70668759139
Yea,R,"Frelinghuysen, Rodney",NJ 11th,0.59304440112
Yea,R,"Fossella, Vito",NY 13th,0.683628523186
Yea,R,"Ferguson, Mike",NJ 7th,0.545041967173
Yea,R,"Fletcher, Ernie",KY 6th,0.723483560031
Yea,R,"Forbes, Randy",VA 4th,0.629851896974
Yea,R,"Flake, Jeff",AZ 1st,0.633652663688
Yea,R,"Foley, Mark",FL 16th,0.763007482875
Yea,R,"Kennedy, Mark",MN 2nd,0.614503720771
Yea,R,"King, Pete",NY 3rd,0.602428785454
Yea,R,"Kingston, Jack",GA 1st,0.776106839796
Yea,R,"Kirk, Mark",IL 10th,0.559684052602
Yea,R,"Knollenberg, Joe",MI 11th,0.723338689597
Yea,R,"Kolbe, Jim",AZ 5th,0.746458879324
Yea,R,"Gallegly, Elton",CA 23rd,0.672972691639
Yea,R,"Gibbons, Jim",NV 2nd,0.873299758871
Yea,R,"Gilchrest, Wayne",MD 1st,0.598401653706
Yea,R,"Gillmor, Paul",OH 5th,0.733604517082
Yea,R,"Goode, Virgil",VA 5th,0.860271872089
Yea,R,"Goodlatte, Bob",VA 6th,0.868879729608
Yea,R,"Goss, Porter",FL 14th,0.688639485775
Yea,R,"Ehlers, Vernon",MI 3rd,0.694832103007
Yea,R,"English, Phil",PA 21st,0.835452810117
Yea,R,"Emerson, Jo Ann",MO 8th,0.827588036552
Yea,R,"Everett, Terry",AL 2nd,0.754020167608
Yea,R,"Hastings, Doc",WA 4th,0.819786213698
Yea,R,"Hayes, Robin",NC 8th,0.770911431011
Yea,R,"Hayworth, John",AZ 6th,0.945951701473
Yea,R,"Hefley, Joel",CO 5th,0.847098518385
Yea,R,"Herger, Wally",CA 2nd,0.898075975417
Yea,R,"Hobson, Dave",OH 7th,0.664065671265
Yea,R,"Johnson, Nancy",CT 6th,0.584044800953
Yea,R,"Johnson, Sam",TX 3rd,0.888650788279
Yea,R,"Johnson, Timothy",IL 15th,0.564455784545
Yea,R,"Jones, Walter",NC 3rd,0.881999321257
Yea,R,"Keller, Ric",FL 8th,0.642614728916
Yea,R,"Kelly, Sue",NY 19th,0.590297349408
Yea,R,"Hyde, Henry",IL 6th,0.672003562264
Yea,R,"Isakson, John",GA 6th,0.757065588309
Yea,R,"Issa, Darrell",CA 48th,0.608292073828
Yea,R,"Jenkins, Bill",TN 1st,0.736029282861
Yea,R,"Dunn, Jennifer",WA 8th,0.798110338894
Yea,R,"Duncan, John",TN 2nd,0.825049305733
Yea,R,"Dreier, David",CA 28th,0.685723685897
Yea,R,"Myrick, Sue",NC 9th,0.885124012793
Yea,R,"Nethercutt, George",WA 5th,0.882356549654
Yea,R,"Ney, Bob",OH 18th,0.762869534182
Yea,R,"Northup, Anne",KY 3rd,0.765008469067
Yea,R,"Norwood, Charles",GA 10th,0.910815847358
Yea,R,"Nussle, Jim",IA 2nd,0.734203294749
Yea,R,"Mica, John",FL 7th,0.750201428162
Yea,R,"Miller, Gary",CA 41st,0.799677989787
Yea,R,"Miller, Jeff",FL 1st,0.588222299831
Yea,R,"Moran, Jerry",KS 1st,0.717634884261
Yea,R,"Portman, Rob",OH 2nd,0.687139315873
Yea,R,"Pryce, Deborah",OH 15th,0.773169754977
Yea,R,"Putnam, Adam",FL 12th,0.751294897542
Yea,R,"Radanovich, George",CA 19th,0.795504662201
Yea,R,"Ramstad, Jim",MN 3rd,0.743770081106
Yea,R,"Paul, Ron",TX 14th,0.828252457869
Yea,R,"Pence, Mike",IN 2nd,0.694420818099
Yea,R,"Peterson, John",PA 5th,0.854759795447
Yea,R,"Petri, Tom",WI 6th,0.673922233774
Yea,R,"Pickering, Chip",MS 3rd,0.895845639103
Yea,R,"Pitts, Joseph",PA 16th,0.841945086803
Yea,R,"Platts, Todd",PA 19th,0.615326959912
Yea,R,"Pombo, Richard",CA 11th,0.805217716158
Yea,R,"McCrery, Jim",LA 4th,0.779422424543
Yea,R,"McHugh, John",NY 24th,0.680876233515
Yea,R,"McInnis, Scott",CO 3rd,0.783174923192
Yea,R,"McKeon, Buck",CA 25th,0.787533300839
Yea,R,"Osborne, Tom",NE 3rd,0.603853090081
Yea,R,"Ose, Doug",CA 3rd,0.650676687661
Yea,R,"Otter,",ID 1st,0.708424693211
Yea,R,"Oxley, Michael",OH 4th,0.759966138646
Yea,R,"Regula, Ralph",OH 16th,0.609170503849
Yea,R,"Rehberg, Denny",MT,0.657189578438
Yea,R,"Reynolds, Thomas",NY 27th,0.648292214504
Yea,R,"Rogers, Hal",KY 5th,0.670013654444
Yea,R,"Rogers, Mike",MI 8th,0.650409308819
Yea,R,"Rohrabacher, Dana",CA 45th,0.708737750262
Yea,R,"Ros-Lehtinen, Ileana",FL 18th,0.518251891315
Yea,R,"Lewis, Jerry",CA 40th,0.614820132284
Yea,R,"Lewis, Ron",KY 2nd,0.889306436316
Yea,R,"Linder, John",GA 11th,0.76072220709
Yea,R,"LoBiondo, Frank",NJ 2nd,0.608651593308
Yea,R,"Lucas, Frank",OK 6th,0.777180392985
Yea,R,"LaHood, Ray",IL 18th,0.754350204816
Yea,R,"Latham, Tom",IA 5th,0.784334766937
Yea,R,"LaTourette, Steven",OH 19th,0.652046272308
Yea,R,"Leach, Jim",IA 1st,0.507653817007
Yea,R,"Davis, Tom",VA 11th,0.658741562512
Yea,R,"Deal, Nathan",GA 9th,0.82207196752
Yea,R,"Chambliss, Saxby",GA 8th,0.867073694363
Yea,R,"Graham, Lindsey",SC 3rd,0.857370977238
No Vote,D,"LaFalce, John",NY 29th,0.274324631758
No Vote,D,"Sawyer, Thomas",OH 14th,0.351111201679
No Vote,D,"Mascara, Frank",PA 20th,0.444641181797
No Vote,D,"Blagojevich, Rod",IL 5th,0.24541277414
No Vote,D,"Conyers, John",MI 14th,0.151562169275
No Vote,D,"Cummings, Elijah",MD 7th,0.155975158366
No Vote,D,"Andrews, Rob",NJ 1st,0.3600308631
No Vote,D,"Gordon, Bart",TN 6th,0.531448729411
No Vote,D,"Kaptur, Marcy",OH 9th,0.266173301349
No Vote,D,"Doggett, Lloyd",TX 10th,0.345427925492
No Vote,D,"Lofgren, Zoe",CA 16th,0.224591982301
No Vote,R,"Roukema, Marge",NJ 5th,0.587444688181
No Vote,R,"Hilleary, Van",TN 4th,0.860968655959
No Vote,R,"Sessions, Pete",TX 5th,0.973158880087
No Vote,R,"Young, Don",AK,0.717255736428
No Vote,R,"Stump, Robert",AZ 3rd,0.876568964719
No Vote,R,"Cooksey, John",LA 5th,0.82554502851
No Vote,R,"Ehrlich, Robert",MD 2nd,0.752553688645
No Vote,R,"Cannon, Chris",UT 3rd,0.788760470862
No Vote,R,"Bono Mack, Mary",CA 44th,0.694128428337
No Vote,R,"Akin, Todd",MO 2nd,0.63908557726
No Vote,R,"Houghton, Amo",NY 31st,0.596956160067
No Vote,R,"Istook, Ernest",OK 5th,0.812683750351
No Vote,R,"Doolittle, John",CA 4th,0.929665453839
No Vote,R,"Quinn, Jack",NY 30th,0.522284366047
No Vote,R,"Manzullo, Donald",IL 16th,0.784955961563
No Vote,R,"Diaz-Balart, Lincoln",FL 21st,0.58856079173
