ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q2h_Condition_of_neighborhood,Q4_Services/Facility_used_past_12_mo,Q4_2nd,Q4_3rd,Q4_4th,Q4_5th,Q4_6th,Q4_7th,Q4_8th,Q4_9th,Q4_10th,Q4_11th,Q4_12th,Q4_13th,Q4_14th,Q4_15th,Q5a_Quality_of_larger_City_parks,Q5b_Neighborhood_parks,Q5c_Recreation/community_centers,Q5d_City_swimming_pools,Q5e_Outdoor_athletic_fields,Q5f_City_golf_courses,Q5g_Tempe_Center_for_the_Arts,Q5h_Tempe_History_Museum,Q5i_Tempe_Public_Library,Q5j_Disability_access_to_City_programs,Q6a_Condition_of_City_streets,Q6b_Condition_of_City_signs,Q6c_Mgmt_of_traffis_flow-streets,Q6d_Cleanliness_City_streets,Q6e_Landscape_maint-streets/sidewalks,Q6f_Property_maint_envorcement_codes,Q6g_Appearance_residential_property,Q6h_Appearance_commercial_property,Q6i_Transit_sve-bus/rail/Orbit,Q6j_Walking/biking_paths,Q6k_Quality_local_police_services,Q6l_Enforcement_of_traffic_laws,Q6m_Effors_to_prevent_crime,Q6n_Quality_of_fire_services,Q6o_Availability_of_information,Q6p_Arts_&_recreattion_prog/svc,Q6q_Social/Human_services,Q6r_Maint_City_parks,Q6s_Library_services_&_programs,Q6t_Tempe_Center-Arts_programs,Q6u_Before/after_school_programs,Q6v_Residential_trash_collection_svc,Q6w_Recycling_services,Q6x_Bulk_trash_pickup/removal_svc,Q6y_Water/sewer_services,Q7_Social/human_services_used,Q7_2nd,Q7_3rd,Q7_4th,Q7_5th,Q7_6th,Q7_7th,Q7_8th,Q7_9th,Q8_Most_emphasis,Q8_2nd,Q8_3rd,Q9_Which_use_to_get_information,Q9_2nd,Q9_3rd,Q9_4th,Q9_5th,Q9_6th,Q9_7th,Q9_8th,Q9_9th,Q9_10th,Q9_11th,Q10a_Contacted_the_city_past_12_mo,Q10b_How_easy_city_was_to_contact,Q10c_Way_you_were_treated,Q10d_Accuracy_of_information_given,Q10e_How_quickly_responded_to_request,Q10f_How_well_issue_was_handled,Q11_1st_Priority,Q11_2nd,Q13a_How_many_years_lived_in_Tempe,Q13b_What_is_your_age,Q13c_Gender,Q13d_Used_public_transit_past_year,Q13e_Are_you_full-time_student,Q13f_Own_or_rent,Q13g_Does_home_have_alley,Q13h_Highest_level_of_education,Q13i_Describe_your_home,Q13j_Have_cable_TV,Q13j-Have_internet_access_home,Q13j_A_smart_phone,Q13k_Visited_downtown_past_year,Q13l_Race/ethnicity,Q13l_2nd,Q13l_3rd,Q13l_4th,Q13l_5th,Q13l_Other,QA_Are_Arts/Culture_important_to_you,QB_Best_describes_opinion-Arts/Culture,QCa-Variety_of_offering,QCb-Availability_of_offerings,QCc-Quality_of_offerings,QCd-Affordabiity_of_offerings,OBJECTID
11,5,5,5,9,5,5,9,5,5,5,5,5,9,5,5,5,5,9,5,5,5,5,B,,,,,,,,,,,,,,,5,5,9,9,5,9,9,9,5,5,5,5,5,5,5,9,5,5,9,5,5,5,5,5,5,9,9,5,5,9,9,5,5,5,5,Z,,,,,,,,,B,E,A,E,G,I,K,,,,,,,,2,,,,,,A,I,5,6,2,2,2,1,2,5,1,1,1,1,1,2,,,,,,1,5,9,9,9,9,10
12,5,4,5,4,5,4,5,4,5,4,4,5,3,4,4,5,3,3,4,5,2,4,B,G,L,N,,,,,,,,,,,,5,5,4,9,9,9,3,5,5,9,4,5,3,5,5,3,4,5,9,4,5,2,4,9,5,4,5,9,5,3,9,5,5,3,5,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,A,J,5,6,1,2,2,1,1,3,1,1,1,1,1,6,,,,,MEXICAN-AMERICAN    ,3,6,2,2,9,9,11
13,4,3,2,2,2,4,3,2,1,2,2,2,1,2,2,2,2,1,4,2,3,3,H,,,,,,,,,,,,,,,1,1,1,1,1,4,9,9,9,9,1,3,2,3,2,1,2,3,1,4,5,4,4,4,3,9,9,1,9,9,9,3,4,4,4,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,A,C,5,5,1,2,2,1,1,5,1,1,1,1,1,2,,,,,,4,6,1,1,1,1,12
14,5,5,5,4,5,5,4,4,4,5,5,4,5,5,5,5,5,9,5,5,5,5,B,C,D,E,N,,,,,,,,,,,5,5,9,9,4,4,9,9,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,9,9,5,5,2,5,Z,,,,,,,,,A,B,H,E,H,I,,,,,,,,,2,,,,,,A,J,5,3,1,2,2,1,2,5,1,1,1,1,2,2,,,,,,1,2,5,5,5,5,13
15,4,4,4,9,4,2,3,4,4,3,3,3,3,3,4,4,3,4,3,4,3,4,B,C,D,E,F,G,K,L,N,,,,,,,4,4,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,4,2,4,3,3,3,4,4,4,3,4,4,4,3,Z,,,,,,,,,H,A,B,C,G,H,J,,,,,,,,2,,,,,,H,J,5,4,1,1,2,1,1,4,1,2,1,1,1,1,,,,,,2,2,4,4,4,4,14
16,4,4,4,3,4,2,3,4,3,3,3,3,3,3,4,4,2,4,2,4,2,4,B,C,D,E,F,G,H,K,L,N,,,,,,4,4,3,3,4,3,4,4,4,3,4,4,3,4,2,2,3,3,4,2,2,4,2,4,3,3,3,4,4,3,3,4,4,4,2,H,A,,,,,,,,C,G,H,C,G,H,I,,,,,,,,2,,,,,,H,J,5,1,1,1,2,1,1,4,1,2,1,1,1,1,,,,,,2,2,4,4,3,4,15
17,5,5,5,9,5,5,5,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,B,C,D,M,,,,,,,,,,,,5,5,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,Z,,,,,,,,,D,G,C,E,,,,,,,,,,,2,,,,,,A,D,2,1,2,1,2,1,2,1,1,2,1,2,1,2,,,,,,1,1,5,5,5,5,16
18,2,3,3,2,3,2,3,2,1,1,1,3,2,1,4,4,3,3,3,3,2,4,B,C,D,F,I,N,,,,,,,,,,2,2,2,1,9,9,4,4,4,9,2,3,2,3,3,2,2,3,3,4,1,3,2,5,3,3,9,2,4,4,9,2,2,1,2,H,,,,,,,,,A,E,G,A,E,F,G,I,,,,,,,1,2,3,3,4,4,H,K,5,4,1,2,2,1,2,5,1,1,1,1,1,2,,,,,,2,3,3,3,3,3,17
19,2,2,4,4,4,2,3,3,9,4,9,4,9,9,2,2,4,9,2,4,4,4,B,C,D,,,,,,,,,,,,,4,4,9,3,9,9,9,9,5,9,4,4,2,2,2,9,4,4,9,2,4,4,3,4,3,9,9,4,4,9,4,4,5,1,4,Z,,,,,,,,,Z,,,E,G,,,,,,,,,,2,,,,,,H,M,4,4,1,2,2,1,2,3,1,2,1,2,1,2,,,,,,4,6,9,9,9,9,18
20,4,4,5,4,4,5,5,5,4,3,5,4,4,4,3,2,4,9,3,9,5,4,B,C,D,F,N,O,,,,,,,,,,3,4,9,9,9,9,9,9,5,5,4,2,4,4,4,9,2,2,2,4,9,4,2,3,4,3,9,9,3,4,9,9,4,4,4,B,,,,,,,,,B,,,G,B,D,,,,,,,,,1,4,5,5,5,5,B,C,2,5,1,2,2,1,1,4,1,2,1,1,1,2,,,,,,2,2,5,4,4,4,19
21,5,4,4,3,5,5,5,3,3,4,4,4,4,3,5,4,3,4,5,3,4,4,B,C,D,E,H,K,,,,,,,,,,4,2,4,4,1,4,4,4,4,4,5,5,4,4,4,3,3,4,5,5,5,4,4,4,4,4,2,4,4,4,4,5,5,5,5,Z,,,,,,,,,A,B,F,E,H,,,,,,,,,,1,5,5,4,4,4,A,B,5,3,2,1,2,1,2,5,1,1,1,1,1,2,,,,,,3,3,5,5,5,3,20
22,3,4,4,2,4,3,9,4,2,3,9,4,1,9,4,4,4,4,3,5,5,4,N,,,,,,,,,,,,,,,3,4,4,9,9,9,9,9,9,9,4,4,2,5,5,3,3,3,9,9,4,4,4,9,4,9,9,9,9,9,9,5,5,5,5,Z,,,,,,,,,Z,,,B,D,E,,,,,,,,,1,3,3,3,3,4,A,H,5,6,1,2,2,1,1,2,1,1,1,2,2,2,,,,,,4,5,9,9,9,9,21
23,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,B,C,D,J,K,,,,,,,,,,,4,4,4,9,9,9,9,9,4,9,3,3,3,3,3,3,3,2,9,3,3,3,3,9,9,9,3,3,3,9,3,2,3,3,2,J,,,,,,,,,A,D,B,E,G,,,,,,,,,,1,3,2,2,2,2,E,F,5,3,2,1,2,2,1,3,1,2,2,2,2,5,5,,,,,2,5,3,3,3,3,22
24,5,4,4,3,4,4,3,3,3,4,3,5,4,4,4,4,3,2,4,4,4,4,B,D,L,M,N,O,,,,,,,,,,3,4,4,9,9,3,4,4,4,9,4,4,3,3,4,9,3,4,9,4,4,9,3,3,5,4,3,3,4,5,9,4,4,2,3,B,,,,,,,,,B,A,E,E,G,H,J,,,,,,,,1,2,4,4,4,4,C,J,5,5,2,2,2,1,1,3,1,2,1,2,1,2,,,,,,2,2,5,5,5,4,23
25,4,4,5,4,5,5,5,4,4,9,4,4,4,4,4,5,4,4,4,4,2,4,B,C,D,K,L,N,,,,,,,,,,4,4,9,9,4,5,9,4,5,9,4,4,4,4,4,4,9,4,4,5,5,4,4,4,4,4,4,4,4,9,5,5,5,3,5,A,,,,,,,,,G,D,A,H,I,J,K,,,,,,,,1,4,4,3,5,4,C,F,3,3,1,1,2,1,1,5,1,2,1,1,2,2,,,,,,2,1,4,4,4,4,24
26,4,5,5,3,4,4,3,9,9,9,4,9,9,9,4,4,3,9,4,4,4,4,B,C,D,N,,,,,,,,,,,,5,4,4,9,9,9,9,4,4,9,4,4,3,4,3,3,3,3,9,4,9,3,3,3,4,4,9,4,4,4,9,4,5,9,3,Z,,,,,,,,,Z,,,G,C,H,,,,,,,,,1,5,5,5,4,4,F,G,3,3,2,2,1,2,1,5,1,2,1,1,2,2,,,,,,2,1,5,5,4,3,25
27,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,1,1,4,4,4,4,D,N,,,,,,,,,,,,,,4,4,4,9,9,9,9,9,4,4,4,4,5,5,5,1,2,2,4,4,4,4,4,4,2,9,9,4,4,9,9,4,4,2,4,Z,,,,,,,,,Z,,,E,G,J,,,,,,,,,2,,,,,,E,J,4,6,1,1,1,2,1,3,1,1,2,2,2,5,,,,,,2,2,5,5,5,3,26
28,3,2,2,2,3,2,5,3,3,1,3,3,2,1,2,2,2,4,2,9,4,3,B,G,K,L,M,N,,,,,,,,,,3,3,2,9,9,9,5,5,5,5,2,5,1,4,4,1,2,2,4,4,4,3,3,3,4,9,2,4,3,9,4,5,3,3,3,E,G,,,,,,,,B,E,F,C,J,,,,,,,,,,2,,,,,,C,J,5,5,2,1,2,1,1,5,1,1,1,2,1,1,,,,,,3,3,3,4,3,3,27
29,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,4,5,5,2,4,A,B,C,D,K,L,,,,,,,,,,5,5,5,2,5,5,5,5,5,5,4,4,3,4,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,Z,,,,,,,,,G,,,B,E,I,,,,,,,,,1,5,5,5,4,4,C,J,5,4,1,1,2,1,1,5,1,1,1,2,1,2,,,,,,1,2,5,5,5,5,28
30,5,5,5,4,5,4,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,B,C,D,G,L,,,,,,,,,,,5,4,9,9,9,9,5,5,5,9,5,4,2,2,4,9,4,4,9,5,4,3,9,4,4,4,4,4,4,4,4,4,5,5,4,Z,,,,,,,,,A,B,G,E,G,,,,,,,,,,1,4,4,4,5,5,A,J,4,3,1,2,2,1,1,4,1,2,1,1,2,2,,,,,,1,1,5,5,5,3,29
31,4,4,4,3,5,4,3,3,3,3,4,4,4,4,5,5,5,4,4,3,4,5,H,,,,,,,,,,,,,,,5,3,4,3,4,5,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,Z,,,,,,,,,A,B,C,E,G,,,,,,,,,,1,5,5,5,5,5,A,H,5,5,1,2,2,1,1,5,1,1,1,2,1,6,,,,,ITALIAN             ,3,5,4,4,4,4,30
32,4,2,2,3,2,1,3,2,3,3,3,4,4,4,3,3,3,3,2,4,4,4,B,M,O,,,,,,,,,,,,,4,3,2,3,3,3,9,9,4,9,3,4,2,4,4,3,3,2,9,9,4,4,3,4,4,1,9,3,4,9,9,2,2,1,1,Z,,,,,,,,,Z,,,E,,,,,,,,,,,1,5,5,5,5,5,B,I,5,5,2,2,2,1,1,4,2,1,1,2,2,2,,,,,,2,2,4,3,2,3,31
33,4,4,4,3,4,3,4,3,4,9,3,4,5,2,4,4,9,4,4,4,4,4,B,C,D,M,N,,,,,,,,,,,5,4,4,4,4,4,4,4,4,9,3,3,4,4,4,3,4,4,9,4,4,4,4,4,4,4,4,4,4,9,4,4,4,1,4,Z,,,,,,,,,A,B,C,E,F,H,I,,,,,,,,1,4,4,4,4,2,B,J,5,3,2,2,2,1,2,4,1,1,1,1,1,2,,,,,,3,3,3,3,4,4,32
34,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,9,5,5,5,5,B,C,D,,,,,,,,,,,,,5,5,4,9,5,9,9,9,4,4,5,5,5,5,5,4,4,5,5,9,4,9,4,5,9,5,5,9,9,4,4,4,3,4,4,Z,,,,,,,,,Z,,,I,,,,,,,,,,,2,,,,,,A,,5,3,2,2,2,2,1,5,1,1,1,1,1,2,,,,,,2,1,4,4,4,4,33
35,4,3,4,4,4,4,4,4,4,4,9,4,4,4,4,4,2,9,3,4,2,3,B,D,K,,,,,,,,,,,,,4,4,9,9,9,9,9,9,4,9,4,4,4,4,4,9,2,3,4,4,3,4,9,9,3,3,4,4,4,9,9,4,4,9,4,D,,,,,,,,,G,B,C,A,B,E,F,,,,,,,,2,,,,,,A,,2,3,2,1,2,2,2,4,1,1,1,1,1,2,,,,,,4,6,9,9,9,9,34
36,2,3,4,2,4,4,4,3,2,1,3,5,2,1,1,1,3,2,3,4,3,4,B,C,J,K,L,N,,,,,,,,,,4,3,3,3,5,4,5,5,4,4,2,2,3,3,9,3,4,4,3,4,5,3,5,5,4,4,3,4,4,5,3,3,3,2,2,C,D,H,,,,,,,H,D,C,B,C,E,,,,,,,,,1,3,2,3,1,1,C,J,5,5,1,1,2,1,1,5,1,1,1,1,2,2,,,,,,1,2,4,3,4,3,35
37,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,B,C,F,N,,,,,,,,,,,,4,4,4,4,4,4,9,9,4,4,3,4,4,4,4,4,3,4,9,3,5,4,4,5,4,4,9,4,4,9,9,4,4,4,4,Z,,,,,,,,,B,G,D,B,F,,,,,,,,,,1,4,4,4,5,5,A,C,2,4,2,1,2,2,2,4,1,1,1,1,1,2,,,,,,2,3,3,3,3,3,36
38,4,4,4,4,4,3,4,3,2,3,2,5,4,3,4,4,4,4,3,3,4,4,K,,,,,,,,,,,,,,,3,3,3,9,9,2,3,9,9,9,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,9,2,4,2,4,Z,,,,,,,,,A,B,C,A,B,,,,,,,,,,1,4,4,3,4,4,A,B,,5,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,1,2,4,4,4,4,37
39,4,4,5,5,5,4,3,4,9,4,9,3,3,3,5,5,5,9,5,2,3,4,B,C,D,J,K,,,,,,,,,,,4,2,4,4,4,4,9,9,5,3,4,5,4,5,4,3,4,4,5,5,5,4,4,5,4,3,4,5,3,5,5,5,5,4,5,Z,,,,,,,,,A,B,G,E,H,,,,,,,,,,2,,,,,,H,K,5,3,1,2,2,1,2,5,9,1,1,1,1,2,,,,,,2,3,4,4,4,4,38
40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,2,5,5,5,4,B,C,D,K,N,,,,,,,,,,,5,5,5,9,9,9,9,9,5,3,5,5,5,5,5,4,4,3,5,5,5,4,4,2,9,9,5,5,9,9,5,5,5,5,5,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,1,4,5,5,5,5,A,G,2,1,1,1,1,1,1,3,1,1,1,1,1,2,,,,,,3,5,9,9,9,9,39
41,9,4,4,9,3,3,4,9,9,2,9,3,9,3,4,4,3,1,4,1,4,4,B,C,N,,,,,,,,,,,,,9,2,4,9,3,9,5,5,5,9,4,2,3,3,4,9,3,4,9,2,9,9,9,9,3,9,9,2,5,5,5,2,5,2,4,A,F,H,,,,,,,A,F,H,A,E,K,,,,,,,,,1,4,4,2,4,4,I,M,1,2,2,2,2,1,1,4,1,2,1,1,1,5,,,,,,1,2,4,4,4,4,40
42,4,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,3,4,4,4,1,4,C,D,K,L,M,N,,,,,,,,,,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,4,4,4,4,5,3,4,5,4,Z,,,,,,,,,G,H,B,E,G,I,K,,,,,,,,2,,,,,,A,J,5,3,1,1,2,1,2,3,1,1,1,2,1,2,,,,,,2,2,4,4,4,4,41
43,4,3,3,4,3,3,3,3,4,3,3,4,3,3,4,4,3,2,3,4,4,4,B,D,G,K,L,O,,,,,,,,,,4,4,9,9,9,9,5,5,5,4,4,4,3,3,3,3,3,3,3,4,3,9,4,3,3,3,4,4,4,9,3,4,3,3,3,B,,,,,,,,,G,H,C,B,E,I,,,,,,,,,2,,,,,,F,M,5,6,2,1,2,1,1,3,1,1,1,2,1,2,5,,,,,1,2,4,4,4,4,42
44,5,5,4,4,5,4,4,4,3,4,5,4,4,4,4,4,4,5,5,5,4,5,B,C,D,G,H,J,K,M,N,O,,,,,,5,5,5,9,5,5,9,5,5,4,4,5,4,9,4,5,5,5,5,5,5,5,5,5,4,5,5,9,9,5,5,9,9,4,5,B,C,,,,,,,,C,B,,B,E,H,,,,,,,,,1,5,5,5,5,5,C,J,5,4,2,1,2,1,1,2,1,1,1,1,2,2,,,,,,2,5,5,5,5,4,43
45,5,5,5,9,5,5,9,9,5,9,5,5,5,9,5,5,5,9,5,5,5,5,C,K,L,N,O,,,,,,,,,,,5,9,5,5,5,9,5,5,9,9,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,F,,,,,,,,,A,C,G,B,G,H,,,,,,,,,1,5,5,5,5,5,F,H,5,6,2,1,2,1,2,5,1,1,1,2,1,2,5,,,,,1,1,5,5,5,5,44
46,5,5,5,5,3,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,5,B,C,D,E,G,K,N,,,,,,,,,4,5,3,2,4,9,5,5,5,9,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,9,5,9,9,5,5,A,,,,,,,,,H,G,B,A,B,C,E,H,,,,,,,1,5,5,5,5,5,D,K,3,3,2,1,2,1,1,5,1,1,1,1,1,2,,,,,,2,2,5,4,4,4,45
