OBJECTID,CSOB_KEY,CSOB_CSO_OUTFALL_NUM,CSOB_OUTFALL_LOC_TEXT,CSOB_AREA_ACRE_NBR,CSOB_REC_WTR_BDY_NAME,CSOB_REC_WTR_BDY_ID,CSOB_RAIN_GAGE_TEXT,CSOB_CSO_FCLTY_TEXT,CSOB_OVRFLW_YR_FRQ_NBR,CSOB_OVRFLW_VOL_MGAL_YR_NBR,CSOB_BSLN_DATA_SRC_TEXT,CSOB_OVRFLW_STAT_TEXT,CSOB_COMMENTS_TEXT,CSOB_EDIT_DATE,SE_ANNO_CAD_DATA,SHAPE_Length,SHAPE_Area
17,53,068,PIER 91 AT 1523 W GARFIELD ST,311.06989258,Elliott Bay,WA-09-0010,RG12,CSO 33,1.4,1.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,19940.8849677655,13550150.2980939
18,57,029,LAKE WASHINGTON BLVD AND FULLERTON AVE,21.20351022,Lake Washington,WA-08-9350,RG25,CSO 18,4.7,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,5288.67693035327,923621.210872978
19,61,060,W CRAMER ST AND 39TH AVE W,26.93060704,Salmon Bay,WA-08-9340,RG12,,1.7,0.8,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,5789.32802353326,1173092.57473889
20,65,022,2539 39TH AVE E,9.28798303,Union Bay,WA-08-9350,RG03,,0.7,0.1,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3379.87599460291,404582.924270408
21,67,012,NE 60th ST AND NE WINDERMERE RD,47.16025035,Lake Washington,WA-08-9350,RG02,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,8815.9166696626,2054292.29379675
22,73,019,4501 27TH AVE NE,73.52422379,Union Bay,WA-08-9350,RG03,,0.2,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,8591.39253489615,3202702.40172949
23,75,148,4125 9TH AVE NW,44.20344144,Lake Washington - Ship Canal,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,9530.52420675212,1925494.20430572
24,79,078,SEACREST PARK AT HARBOR AVE SW AND FAIRMOUNT AVE SW,295.93173622,Elliott Bay,WA-09-0010,,,0.3,0.2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,20857.9415816806,12890734.8594438
25,81,145,SUNNYSIDE AVE N BOAT RAMP AT 2301 N NORTHLAKE WAY,20.16002181,Lake Union,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,7517.98499910195,878167.103228686
26,86,020,E SHELBY ST AND EAST PARK DR E,70.17372509,Union Bay,WA-08-9350,RG03,CSO 26,2.6,0.1,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,15706.4155219087,3056755.21876863
27,89,147,N NORTHLAKE WAY AND STONE WAY N,289.58989704,Lake Union,WA-08-9340,"RG03,RG09",,33,19,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,23741.7354707265,12614485.4701258
28,56,161,MAGNUSON PARK AT 6451 65TH AVE NE,20.37885995,Lake Washington,WA-08-9350,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,4693.31648286416,887699.561324713
29,58,132,ROANOKE ST PARK AT FAIRVIEW AVE E AND E ROANOKE ST,114.13068542,Lake Union,WA-08-9340,RG03,,0.7,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,14820.0540509136,4971512.81472481
30,62,124,LAKE UNION PARK AT 800 WESTLAKE AVE N,16.1450761,Lake Union,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,7882.17831240075,703276.692516529
31,70,144,3790 LATONA AVE NE,25.58471916,Lake Union,WA-08-9340,RG09,,0.1,0.2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,6046.0338051229,1114465.88187227
32,80,169,LONGFELLOW CREEK AT 2450 SW THISTLE ST,184.22653506,Longfellow Creek,WA-09-1000,RG17,CSO 3,2.2,49,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,17959.7668009603,8024875.77594439
33,88,080,DON ARMENI PARK AT 112 HARBOR AVE SW,27.24495905,Elliott Bay,WA-09-0010,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,6732.13567965811,1186785.63716443
34,3,048,9722 RAINIER AVE S,4.26811282,Lake Washington,WA-08-9350,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3497.60304964808,185918.259971919
35,7,061,2599 PERKINS LN W,0.66618853,Elliott Bay,WA-09-0010,RG12,"CSO 27,28",0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,785.003713593473,29019.0597444806
36,9,083,ALKI BEACH PARK AT 1501 ALKI AVE SW,36.53802851,Puget Sound - Central,WA-PS-0240,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,10297.1677962232,1591590.20033232
37,11,095,9279 FAUNTLEROY WAY SW,19.9435974,Puget Sound - S-Central,WA-PS-0270,RG05,,3,0.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,4819.6674730987,868739.629880652
38,16,031,299 LAKESIDE AVE S,6.62458066,Lake Washington,WA-08-9350,RG25,,9.3,0.5,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3392.22193860533,288565.567876778
39,18,139,MONTLAKE PLAYFIELD AT 1618 E CALHOUN ST,54.38158041,Portage Bay,WA-08-9260,RG03,,0.7,1.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,14500.4202803705,2368852.18689337
40,20,131,2373 FAIRVIEW AVE E,13.23922575,Lake Union,WA-08-9340,,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,6387.90050825735,576698.37355544
41,25,049,9861 RAINIER AVE S,398.1100211,Lake Washington,WA-08-9350,RG30,CSO 4,1.6,0.8,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,32148.9115955232,17341603.1559556
42,27,121,2046 WESTLAKE AVE N,26.52710419,Lake Union,WA-08-9340,,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,8991.5628142636,1155516.05627199
43,29,090,LOWMAN BEACH PARK AT 7015 BEACH DR SW,20.75535925,Puget Sound - S-Central,WA-PS-0270,,,0.2,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,10750.2662788535,904099.832687165
44,33,099,TERMINAL 5 AT 3450 W MARGINAL WAY SW,157.66308436,W Waterway of Duwamish River,WA-09-1010,RG15,CSO 34,0.5,2.8,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,27787.2237679993,6867776.53145109
45,35,138,1209 E SHELBY ST,45.28930058,Portage Bay,WA-08-9260,RG03,CSO 36,2.3,2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,10058.8320315661,1972794.0496465
46,37,030,LAKE WASHINGTON BLVD AND E JEFFERSON ST,76.64949117,Lake Washington,WA-08-9350,RG25,CSO 17,5.4,0.7,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,11372.9595135571,3338838.46526974
47,42,059,5637 SEAVIEW AVE NW,173.05585912,Salmon Bay,WA-08-9340,,,0.2,0.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,21775.8999479949,7538283.08078064
48,45,013,WINDERMERE PARK AT NE AMBLESIDE RD AND NE PENRITH RD,561.98307638,Lake Washington,WA-08-9350,RG02,"CSO 22,23",12,6.7,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,37160.1581462331,24479884.9845257
49,47,024,E LEE ST AND 42ND AVE E,182.86261006,Lake Washington,WA-08-9350,RG20,,0.2,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,21402.0426710475,7965463.40481498
50,52,025,E LEE ST AND 42ND AVE E,49.35239436,Lake Washington,WA-08-9350,RG03,,2.8,1.6,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,20410.3932039493,2149781.66773978
51,55,042,4608 LAKE WASHINGTON BLVD S,20.79148833,Lake Washington,WA-08-9350,RG18,CSO 10,0.6,0.02,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,7940.22705770731,905673.605865761
52,66,041,LAKE WASHINGTON BLVD S AND 50TH AVE S,5.47383647,Lake Washington,WA-08-9350,RG18,,7.5,0.9,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,2673.68874170271,238439.375141839
53,71,064,1499 32ND AVE W,29.77568424,Elliott Bay,WA-09-0010,,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,14025.2952155679,1297023.58549536
54,74,175,FAIRVIEW AVE E AND E GARFIELD ST,68.19055095,Lake Union,WA-08-9340,RG20,,0.7,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,19075.2274206595,2970368.50732648
55,76,150,5301 24TH AVE NW,393.62198148,Salmon Bay Waterway,WA-08-9340,RG08,,15,2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,34696.8399513106,17146104.8741733
56,77,016,3005 WEBSTER POINT RD NE,2.70421116,Lake Washington,WA-08-9350,,,0.2,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,1513.96936232429,117794.967452087
57,82,040,LAKE WASHINGTON BLVD S AND 49TH AVE S,87.74455684,Lake Washington,WA-08-9350,RG18,CSO 11,6,0.8,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,13644.0400434136,3822137.60670627
58,84,094,FAUNTLEROY FERRY TERMINAL AT 4829 SW BARTON ST,77.38314049,Puget Sound - S-Central,WA-PS-0270,,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,15202.4994694766,3370796.0947213
59,87,071,ALASKAN WAY AND MADISON ST,7.56971632,Elliott Bay,WA-09-0010,RG11,,4.3,1.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3889.05448781925,329735.522980957
60,28,129,TERRY PETTUS PARK AT FAIRVIEW AVE E AND E NEWTON ST,22.95653333,Lake Union,WA-08-9340,,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,9283.19414259603,999982.569733776
61,43,136,3100 PORTAGE BAY PL E,5.80501594,Lake Union,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3264.5311745449,252865.46806079
62,4,044,SEWARD PARK AT LAKE WASHINGTON BLVD S AND S JUNEAU ST,171.88091126,Lake Washington,WA-08-9350,RG30,CSO 8,13,9.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,18672.5970833086,7487102.5370772
63,10,174,FREMONT CANAL PARK AT 151 NW CANAL ST,323.96800236,Lake Washington - Ship Canal,WA-08-9340,RG09,,11,5.9,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,22456.1253851425,14111989.7447152
64,14,130,LYNN ST PARK AT FAIRVIEW AVE E AND E LYNN ST,8.84871267,Lake Union,WA-08-9340,RG03,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,4950.44907936777,385448.378326671
65,17,168,2311 SW MYRTLE ST,413.24227948,Longfellow Creek,WA-09-1000,RG17,CSO 2,3.9,1.6,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,31609.3037606212,18000761.6876261
66,22,047,BEER SHEVA PARK AT SEWARD PARK AVE S AND S HENDERSON ST,824.81573337,Lake Washington,WA-08-9350,RG30,"CSO 5,6,7",5.6,1.8,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,66284.9257274427,35928829.6431264
67,24,045,MARTHA WASHINGTON PARK AT 5711 S HOLLY ST,37.67848862,Lake Washington,WA-08-9350,RG30,CSO 29,5.9,1.1,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,6893.37310709839,1641268.41146594
68,31,038,STANLEY SAYRES PARK AT 3808 LAKE WASHINGTON BLVD S,364.56172306,Lake Washington,WA-08-9350,RG18,CSO 12,0.7,0.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,40627.5013681152,15880245.1992075
69,36,146,1430 N NORTHLAKE WAY,56.54194643,Lake Union,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,15828.5001147528,2462957.2846597
70,40,069,ALASKAN WAY AND VINE ST,141.88782168,Elliott Bay,WA-09-0010,RG11,,4.4,1.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,12945.91886123,6180608.77196364
71,41,171,CHINOOK BEACH PARK AT 9510 RAINIER AVE S,179.98888378,Lake Washington,WA-08-9350,RG30,"CSO 5,6",4.1,0.7,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,19920.4136146245,7840284.43954364
72,49,015,NE LAURELCREST LN AND 51ST AVE NE,121.56291268,Lake Washington,WA-08-9350,RG02,"CSO 19,20",1.2,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,15754.7102178935,5295259.33290366
73,50,072,199 ALASKAN WAY S,136.62010966,Elliott Bay,WA-09-0010,RG11,,1.2,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,24739.6420789543,5951148.16460018
74,54,120,2770 WESTLAKE AVE N,14.72494687,Lake Union,WA-08-9340,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,6774.32576079828,641416.125734544
75,60,140,W MONTLAKE PARK AT WEST PARK DR E AND E SHELBY ST,15.85856732,Portage Bay,WA-08-9260,RG03,CSO 31,4.1,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:02+00,,3544.5878853101,690796.394212114
