OBJECTID,COMPKEY,UNITID,UNITDESC_ASSET,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,SEGKEY,UNITDESC_SEG,UNITTYPE,INSTALL_DATE,MAINTAINED_BY,MAINTFINANCIALRESP,STRWALLRATING,STRWALLCONDITION,SDWRATING,SDWCONDITION,INSPECTIONKEY,INSPCOMPDATE,STRWALLTYPE,SDWSURFACETYPE,SDWSUPPORTTYPE,ARWWALLMAXHT,ARWWALLMINHT,ARWWALLLENGTH,SDWWIDTH,RDWYSTR_DBID,ARWFUNCTION,OVERRIDEYN,OVERRIDECOMMENT,ARWWIDTH,CURRENT_STATUS_DATE,ADDDTTM,MODDTTM,EXPBY,EXPDATE,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,NUM_ATTACHMENTS,SHAPE_Length,SHAPE_Area
27964,601061,ARW-049,215 COLUMBIA ST BETWEEN 3RD AVE AND COLUMBIA ST,SDOT,INSVC,DISTRICT7,,16,9729,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,ARW,,SDOT,,0,,0,,14661,2022/06/30 12:00:00+00,Concrete Gravity,RC Reinforced Concrete,,25,25,90,0,A043B,,N,,11,,2013/06/25 00:00:00+00,2022/02/07 00:00:00+00,,,,,,,,,,,,0,246.117191294931,745.378611483298
27965,512417,ARW-024,1921 1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,,INSVC,DISTRICT7,,16,1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,ARW,,,,0,,0,,14741,2023/06/30 12:00:00+00,,,,,,0,0,A024,,N,,0,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,81.463226527766,322.738431952962
27966,512403,ARW-010,1115 1ST AVE BETWEEN SENECA ST AND SPRING ST,SDOT,INSVC,DISTRICT7,,16,1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,ARW,1918/12/31 00:00:00+00,SDOT,,0,,0,,14676,2022/09/30 12:00:00+00,,,,17,17,120,0,A010,,N,,12,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,256.099296951159,1056.51404411248
27967,512571,ARW-201,222 S MAIN ST BETWEEN 2ND AVE S AND 2ND AVE S EXT,,INSVC,DISTRICT7,,16,20730,S MAIN ST BETWEEN 2ND AVE S AND 2ND AV ET S,ARW,,,,85,Good,82.5,Good,15856,2022/09/28 17:21:00+00,,,,11,,56,0,A5003,Business,N,,9,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/10/28 00:00:00+00,,,,,,,,,,,,0,139.923573553487,640.010838814597
27968,512594,ARW-224,S MAIN ST BETWEEN 3RD AVE S AND 4TH AVE S,,INSVC,DISTRICT7,,16,20731,S MAIN ST BETWEEN 2ND AV ET S AND 4TH AVE S,ARW,,,,,,,,,,Concrete Gravity,,Arch on Steel Beam,20,10,131,0,A8000B,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,271.388330541976,1481.36672743208
27969,512503,ARW-132,S MAIN ST BETWEEN 1ST AVE S AND ALASKAN WAY,PRIV,INSVC,DISTRICT7,,16,20728,S MAIN ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,11,8,108,0,A1701B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,283.016274336953,2982.11789859048
27970,512502,ARW-131,301 1ST AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Concrete,Concrete,Brick Arch on Steel Beam,11,,48,16,A1701A,,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,144.837032045896,767.717741248202
27971,512510,ARW-139,S MAIN ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,20729,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,9,,124,0,A1801B,,N,,14.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,277.976828236696,2958.31926886014
27972,512521,ARW-150,117 S MAIN ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,20729,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,ARW,,,,,,,,,,,,,8,,48,0,A1809,,N,,11,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,147.732068910138,1194.3272655233
27973,512520,ARW-149,S MAIN ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,20729,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,ARW,,,,,,,,,,Stone Block,,Arch on Steel Beam,8,,73,0,A1808B,,N,,9,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,183.368198528194,1621.22536224922
27974,512509,ARW-138,"300 1ST AVE S BETWEEN MAIN AND JACKSON
JAMES",PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Brick,Concrete,Brick Arch on Steel Beam,10,,58,16,A1801A,Business,N,,13.2,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,182.463395534611,1254.99080208598
27975,512519,ARW-148,301-09 OCCIDENTAL AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,Stone Block,,Arch on Steel Beam,8,,122,16,A1808A,,N,,13.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,300.82479118934,2151.00323269404
27976,512523,ARW-152,S MAIN ST BETWEEN OCCIDENTAL AND 2ND AVE S,PRIV,INSVC,DISTRICT7,,16,20729,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,ARW,,,,,,,,,,Stone Block,,Arch on Steel Beam,10,,108,0,A1901B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,203.283863230788,921.640870383417
27977,512588,ARW-218,222 S MAIN ST BETWEEN 2ND AVE S EXT AND 4TH AVE S,,INSVC,DISTRICT7,,16,20730,S MAIN ST BETWEEN 2ND AVE S AND 2ND AV ET S,ARW,,,,0,Poor,0,Poor,13054,2021/01/29 12:59:59+00,Concrete Gravity,Concrete,Arch on Steel Beam,12,10,117,10,A7000,Storage,N,,11,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,247.44104425447,890.306791575854
27978,512589,ARW-219,2ND AVE S EXT BETWEEN MAIN AND JACKSON,,INSVC,DISTRICT7,,16,2924,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,ARW,,,,0,Poor,0,Poor,13055,2021/01/29 11:29:59+00,Concrete,Concrete,RC Slab,13,13,71,12,A7001,Storage,N,,4.33,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,176.318130727211,880.881846463026
27979,512580,ARW-210,309 3RD AVE S BETWEEN 2ND AVE S EXT AND S JACKSON ST,,INSVC,DISTRICT7,,16,4516,3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Concrete,Concrete,RC Slab on Steel Beam,13,,58,22,A6001,Utility,N,,9.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,140.05156896137,886.375619702685
27980,512505,ARW-134,313 1ST AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Brick,Concrete,Brick Arch on Steel Beam,9,,28,16,A1703,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,87.7954357743362,431.058510254526
27981,512524,ARW-153,322 OCCIDENTAL AVE S BETWEEN JACKSON AND MAIN,PRIV,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,,,Arch on Steel Beam,8,120,134,0,A1902A,,N,,15.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,280.423296591313,1731.55278852496
27982,512518,ARW-147,311-13 OCCIDENTAL AVE S BETWEEN JACKSON AND MAIN,PRIV,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,8,,62,0,A1807,,N,,13.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,150.529420387918,930.727228825026
27983,512528,ARW-157,313-17 2ND AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,2870,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Concrete,Concrete,Concrete Filled Metal Deck,11,,38,16,A1904,,N,,13.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,154.752689777122,988.903758057061
27984,512584,ARW-214,316.5 2ND AVE S BETWEEN JACKSON AND MAIN,,INSVC,DISTRICT7,,16,2870,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Rubble,Concrete,Concrete Arch on Steel Beam,12,11,62,0,A6004,Utility,N,,3,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/11/22 00:00:00+00,,,,,,,,,,,,0,150.213848343713,875.197481676564
27985,512506,ARW-135,317 1ST AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Stone Block,Concrete,Brick Arch on Steel Beam,10,,28,16,A1704,,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,89.7853969783032,447.537046861988
27986,512513,ARW-142,316 1ST AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,9,,52,0,A1804,Business,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,144.341334551303,776.583331229701
27987,512507,ARW-136,321 1ST AVE S BETWEEN MAIN AND JACKSON,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Stone Block,Concrete,Brick Arch on Steel Beam,10,,97,16,A1705A,Business,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,159.981641410381,991.374173113821
27988,512517,ARW-146,OCCIDENTAL AVE S BETWEEN JACKSON AND MAIN,PRIV,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,Stone Block,Brick,Concrete Arch on Steel Beam,7,,46,16,A1806B,Storage,N,,13.6,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,160.750945042425,970.976960930876
27989,512527,ARW-156,2ND AVE S BETWEEN OCCIDENTAL AND JACKSON,PRIV,INSVC,DISTRICT7,,16,2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,ARW,,,,,,,,,,Concrete,Concrete,Concrete Arch on Steel Beam,10,,61,16,A1903B,,N,,14.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,159.009545037488,1042.13524928188
27990,512514,ARW-143,322 1ST AVE S BETWEEN JACKSON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Concrete,Concrete,Concrete Arch on Steel Beam,9,27,38,0,A1805A,,N,,13.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,94.1481244843277,446.420812884261
27991,512618,ARW-248,121 OCCIDENTAL AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,12022,OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Concrete,Brick,Concrete Arch on Steel Beam,9,,53,22,A908A,Business,N,,14.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,167.798103732766,1325.07258240076
27992,618650,ARW-313,WESTERN AVE BETWEEN UNION ST AND PIKE ST at 1413 WESTERN  AVE,,INSVC,DISTRICT7,,16,13503,WESTERN AVE BETWEEN UNION ST AND PIKE ST,ARW,,,,0,,0,,14718,2023/03/31 12:00:00+00,,,,0,0,0,0,,,N,,0,2014/07/28 00:00:00+00,2014/07/28 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,125.440426305486,552.258392305406
27993,512435,ARW-042,1020 1ST AVE S BETWEEN RAILROAD WAY S AND S ROYAL BROUGHAM,,INSVC,DISTRICT2,,16,1200,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,ARW,,,,0,Poor,0,Poor,13234,2021/03/15 13:30:00+00,RC Reinforced Concrete,RC Reinforced Concrete,RC Concrete Slab on Steel Beam Encased in Concrete,9,0,53,16,A037,Storage,N,,5.7,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,119.512005740647,304.839374813857
27994,512443,ARW-072,83 S KING ST BETWEEN 1ST AVE S AND ALASKAN WAY S,PRIV,INSVC,DISTRICT2,,16,20593,S KING ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,0,Poor,0,Poor,12814,2020/10/29 09:59:59+00,RC Reinforced Concrete,RC Reinforced Concrete,Arch on Steel Beam,6,6,98,17,A10011B,None,N,,14.33,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,176.431023734475,1305.72768760625
27995,512466,ARW-095,120 PIKE ST BETWEEN 1ST AVE AND 2ND AVE,SDOT,INSVC,DISTRICT7,,16,12197,PIKE ST BETWEEN 1ST AVE AND 2ND AVE,ARW,,PRIV,,0,,0,,14743,2023/06/30 12:00:00+00,,,Arch on Steel Beam,10,10,47,0,A120,,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,147.145617485026,1023.97821724994
27996,618614,ARW-285,1ST AVE BETWEEN MADISON ST AND SPRING ST at 1019 1ST AVE,PRIV,INSVC,DISTRICT7,,16,1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,ARW,,,,0,,0,,14685,2022/09/30 12:00:00+00,,,,0,0,0,0,,,N,,0,2014/07/28 00:00:00+00,2014/07/28 00:00:00+00,2022/05/16 00:00:00+00,,,,,,,,,,,,0,265.738289493135,1435.75724158899
27997,618564,ARW-268,200 5TH AVE S,,INSVC,DISTRICT2,,16,21495,S WASHINGTON ST BETWEEN 5TH AVE S AND 6TH AVE S,ARW,,,,0,,0,,14537,2022/03/31 14:28:00+00,,,,0,0,0,0,,,N,,0,2014/07/25 00:00:00+00,2014/07/25 00:00:00+00,2022/01/05 00:00:00+00,,,,,,,,,,,,0,249.07048878832,433.496324752434
27998,644953,ARW-441,STEWART ST BETWEEN 6TH AVE AND 7TH AVE,,INSVC,DISTRICT7,,16,12903,STEWART ST BETWEEN 6TH AVE AND 7TH AVE,ARW,2016/01/12 00:00:00+00,,,,,,,,,,,,0,0,0,0,,,N,,0,2016/01/12 00:00:00+00,2016/01/12 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,218.79567993532,990.216438951464
27999,512480,ARW-109,1ST AVE S AT MAIN,,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,,,,,,21,0,A1303C,,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,59.4957485861124,219.778859361157
28000,512397,ARW-004,CHERRY ST BETWEEN 3RD AVE AND 2ND AVE,PRIV,INSVC,DISTRICT7,,16,9660,CHERRY ST BETWEEN 2ND AVE AND 3RD AVE,ARW,,PRIV,,0,,0,,14655,2022/06/30 12:00:00+00,RC Reinforced Concrete,Concrete,RC Slab,17,10,28,14,A004,Business,N,,4.83,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,118.051293522304,659.812162754669
28001,619282,ARW-440,"10TH AVE BETWEEN E PIKE ST AND E UNION ST
1423 10TH AVE E",PRIV,INSVC,DISTRICT3,,16,1196,10TH AVE BETWEEN E PIKE ST AND E PINE ST,ARW,,PRIV,PRIV,,,,,,,Concrete,Concrete,Concrete,8,8,5,10,,Residence,N,,2.5,2014/09/11 00:00:00+00,2014/09/11 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,20.2653620443639,20.8536335278253
28002,601087,ARW-065,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,PRIV,INSVC,DISTRICT7,,16,1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,ARW,,PRIV,,0,,0,,14683,2022/09/30 12:00:00+00,,,,0,0,0,0,A063,,N,,0,2021/09/24 00:00:00+00,2013/06/25 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,513.415649108191,3481.89773379725
28003,694016,ARW-443,WESTERN AVE BETWEEN PIKE ST AND PINE ST,,INSVC,DISTRICT7,,16,13504,WESTERN AVE BETWEEN PIKE ST AND PINE ST,ARW,,,,0,,0,,14845,2023/03/30 12:00:00+00,,,,0,0,0,0,,,N,,10,2017/11/27 00:00:00+00,2017/11/27 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,67.5975449723546,230.690221696057
