1823.fipstwo,31011,f31011
47.county,Dillingham Census Area,Conecuh 
308.fipstwo,f02188,f08115
408.statecounty,AK_Haines Borough,GA_Bulloch
239.statevalue,CqA,CA
2282.countytwo,ranklin ,Franklin 
223.county,Northwest Arctic Borough,Plumas 
441.statefips,61,13
2016.statevalue,YN,NY
2344.county,Comerio Mnuicipio,Comerio Municipio
2316.county,Warrne ,Warren 
3198.county,Rleigh ,Raleigh 
1041.fipstwo,f2183,f21083
1760.countytwo,Wayn ,Wayne 
376.fipstwo,f02110,f12101
25.statevalue,kAK,AK
544.statefips,15,13
516.fipstwo,f3251,f13251
1726.fipstwo,37123,f37123
151.statevalue,RA,AR
210.fips,2060.0,6037
51.countytwo,Cullan ,Cullman 
1615.statevalue,MwT,MT
2866.statevalue,MU,UM
1772.statecounty,N_DBurleigh,ND_Burleigh
1497.county,Renolds ,Reynolds 
2444.countytwo,Richladn ,Richland 
334.fipstwo,f02230,f12017
1834.county,Cheyene ,Cheyenne 
3039.statecounty,VT_Grand Ilse,VT_Grand Isle
315.county,Fairbanks North Star Borough,Hartford 
3186.statevalue,VW,WV
778.county,Putnarm ,Putnam 
219.statefips,2.0,6
626.statefips,36,19
114.fipstwo,f01053,f05035
388.fipstwo,f01091,f12125
1247.statecounty,MI_Btenzie,MI_Benzie
1614.fipstwo,f0011,f30011
1608.fipstwo,2f8163,f28163
41.county,Petersburg Census Area,Choctaw 
67.fipstwo,f02050,f01075
768.statecounty,IL_Mongtomery,IL_Montgomery
156.statecounty,AK_Kenai Peninsula Borough,AR_Pulaski
1773.countytwo,Cfass ,Cass 
2938.statevalue,A,VA
1439.statecounty,MO_DeKab,MO_DeKalb
204.fipstwo,f02240,f06025
1032.county,Esgtill ,Estill 
2205.county,ushmataha ,Pushmataha 
3202.fipstwo,df54089,f54089
42.county,Denali Borough,Clarke 
345.countytwo,iGlchrist ,Gilchrist 
2428.countytwo,Gfreenwood ,Greenwood 
2950.fipstwo,f1081,f51081
542.fipstwo,f13v303,f13303
154.fips,2180.0,5115
3230.statecounty,WY_Subltete,WY_Sublette
1474.statecounty,MO_Mississipcpi,MO_Mississippi
1344.statevalue,N,MN
2470.countytwo,Dewe y,Dewey 
2581.statecounty,TNMorgan,TN_Morgan
204.fips,2060.0,6025
2602.county,Uicoi ,Unicoi 
186.county,Bethel Census Area,Navajo 
2427.fipstwo,f40545,f45045
953.statevalue,S,KS
1228.fipstwo,fk23013,f23013
127.fipstwo,f02090,f05061
373.statecounty,AK_Dillingham Census Area,FL_Orange
1130.county,Cladwell Parish,Caldwell Parish
109.statecounty,AK_Hoonah-Angoon Census Area,AR_Cleveland
1811.countytwo,Sftutsman ,Stutsman 
322.fipstwo,f02060,f11001
3220.countytwo,Goshewn ,Goshen 
2498.statevalue,ShD,SD
42.fips,2050.0,1025
1415.countytwo,Benotn ,Benton 
2885.statecounty,UT_Sanl Juan,UT_San Juan
391.fips,2020.0,12131
2876.statevalue,zUT,UT
1417.statecounty,MqO_Boone,MO_Boone
358.statecounty,AK_Dillingham Census Area,FL_Lafayette
1368.county,Mille Lac s,Mille Lacs 
2840.fipstwo,f4457,f48457
2256.county,Allgheny ,Allegheny 
1345.statecounty,NM_Goodhue,MN_Goodhue
3076.fipstwo,f530r59,f53059
1654.statevalue,TM,MT
2001.countytwo,Cilnton ,Clinton 
1179.statevalue,A,LA
80.statecounty,AK_Anchorage Municipality,AL_Montgomery
277.county,North Slope Borough,Hinsdale 
2224.countytwo,Coeos ,Coos 
1747.statevalue,CN,NC
3164.fipstwo,f50413,f54013
21.statecounty,AK_North Slope Borough,AK_Prince of Wales-Hyder Census Area
282.fips,2185.0,8063
1102.statecounty,KY_Roan,KY_Rowan
198.fipstwo,f02110,f06013
2643.statevalue,TaX,TX
110.county,Bristol Bay Borough,Columbia 
1219.statecounty,MD_Wasihngton,MD_Washington
1786.fipstwo,f38034,f38043
220.statevalue,A,CA
2608.statecounty,TN_Wealey,TN_Weakley
1150.fipstwo,f2061,f22061
774.countytwo,Piaptt ,Piatt 
2752.statecounty,TX_amb,TX_Lamb
2173.statevalue,OiK,OK
1750.fipstwo,f37f171,f37171
525.statevalue,AG,GA
151.fips,2130.0,5109
1313.fipstwo,f2615f5,f26155
2288.county,Juniat a,Juniata 
3206.county,Upswhur ,Upshur 
3142.fipstwo,f5113,f55113
306.fips,1013.0,8111
158.fips,2020.0,5125
2979.statecounty,AV_Nelson,VA_Nelson
1670.statecounty,NhC_Avery,NC_Avery
756.statecounty,IL_Macoupni,IL_Macoupin
1959.statecounty,NM_McfKinley,NM_McKinley
1453.statecounty,MO_Howepll,MO_Howell
1289.county,Marquete ,Marquette 
505.countytwo,Pijerce ,Pierce 
2296.county,McKena ,McKean 
34.fips,2198.0,1009
1322.statecounty,MN_Anokca,MN_Anoka
1856.countytwo,rGeeley ,Greeley 
1524.fipstwo,f6910e0,f69100
2743.county,Kfent ,Kent 
2923.countytwo,Clmarke ,Clarke 
1284.statecounty,MI_Livingtson,MI_Livingston
189.fips,2105.0,4023
880.statecounty,IN_witzerland,IN_Switzerland
3105.statevalue,nWI,WI
2577.statecounty,TN_Meisg,TN_Meigs
238.statefips,2.0,6
1576.county,eshoba ,Neshoba 
1727.statecounty,NC_Mooer,NC_Moore
272.statecounty,AK_North Slope Borough,CO_Fremont
1055.statecounty,KYJ_efferson,KY_Jefferson
668.fipstwo,f6023,f16023
2402.statevalue,I,RI
599.county,Hardi n,Hardin 
2223.county,Columbi a,Columbia 
273.statefips,2.0,8
1932.countytwo,iddlesex ,Middlesex 
1173.statevalue,LpA,LA
229.fipstwo,f02290,f06075
2756.county,Len ,Leon 
2833.fipstwo,f8443,f48443
162.fips,2275.0,5133
169.county,Aleutians East Borough,White 
1500.countytwo,Schuywler ,Schuyler 
28.statevalue,KA,AK
2394.statecounty,PR_Vega Alta Munigcipio,PR_Vega Alta Municipio
2607.statecounty,TN_dWayne,TN_Wayne
160.county,Fairbanks North Star Borough,Searcy 
346.county,Northwest Arctic Borough,Glades 
68.fips,2230.0,1077
270.statecounty,AK_Southeast Fairbanks Census Area,CO_El Paso
1113.fipstwo,f12227,f21227
2126.statecounty,HO_Scioto,OH_Scioto
570.statecounty,IA_Calhdoun,IA_Calhoun
1257.countytwo,rawford ,Crawford 
1410.county,Atchisohn ,Atchison 
2362.county,Lajas Municpio,Lajas Municipio
1701.statevalue,NiC,NC
2020.county,Montgmoery ,Montgomery 
1771.statecounty,ND_Bruke,ND_Burke
1714.fipstwo,f37099***,f37099
1452.statevalue,O,MO
319.fipstwo,f02070,f09011
107.fips,2020.0,5021
2161.countytwo,Cster ,Custer 
165.statevalue,AsR,AR
2065.statecounty,O_HClark,OH_Clark
1925.countytwo,Cpape May ,Cape May 
1750.countytwo,Svurry ,Surry 
14.fips,2050.0,2150
2648.fipstwo,48073,f48073
1288.statevalue,MiI,MI
1465.fipstwo,f92115,f29115
654.county,Woodury ,Woodbury 
1424.statecounty,MfO_Carroll,MO_Carroll
3150.county,Walowrth ,Walworth 
1552.county,Hlomes ,Holmes 
304.county,Anchorage Municipality,Routt 
876.statevalue,NI,IN
47.statevalue,LA,AL
2893.fipstwo,f4905j3,f49053
300.statevalue,O,CO
86.fips,2100.0,1113
772.statevalue,oIL,IL
2120.statecounty,OH_Portaeg,OH_Portage
1039.countytwo,iGarrard ,Garrard 
290.statevalue,O,CO
2384.statevalue,RP,PR
347.statevalue,LF,FL
133.statefips,2.0,5
2351.statecounty,PR_Guayama Munciipio,PR_Guayama Municipio
2373.statevalue,R,PR
2763.statevalue,XT,TX
2932.county,Emporia cicty,Emporia city
1949.fipstwo,f3513,f35013
3203.fipstwo,f5491,f54091
175.fipstwo,f02070,f60040
82.fips,2016.0,1105
2804.fipstwo,f8385,f48385
257.statefips,2.0,8
628.statefips,69,19
1027.statevalue,mKY,KY
2483.statevalue,D,SD
1532.county,Boilvar ,Bolivar 
1106.statecounty,KY_Scimpson,KY_Simpson
1708.county,Hjaywood ,Haywood 
1711.countytwo,Homke ,Hoke 
415.statefips,90,13
152.statefips,2.0,5
135.statevalue,R,AR
953.county,McPherso n,McPherson 
924.countytwo,Franklirn ,Franklin 
2464.statecounty,SD_Codingotn,SD_Codington
122.fipstwo,f02110,f05051
1897.fipstwo,3f1159,f31159
2480.statevalue,rSD,SD
2443.statevalue,lSC,SC
2821.county,Shelbhy ,Shelby 
2040.countytwo,Senecva ,Seneca 
3135.statecounty,WI_mPortage,WI_Portage
299.statevalue,O,CO
294.fipstwo,f02020,f08087
225.statecounty,AL_Cherokee,CA_Sacramento
2309.fipstwo,f24109,f42109
2078.countytwo,Fraanklin ,Franklin 
826.countytwo,Fraknlin ,Franklin 
273.fips,2020.0,8045
2738.statecounty,TX_Jnoes,TX_Jones
1087.statecounty,K_YMorgan,KY_Morgan
210.statecounty,AK_Haines Borough,CA_Los Angeles
1783.countytwo,Granpt ,Grant 
3159.countytwo,Berkeely ,Berkeley 
182.county,Fairbanks North Star Borough,Greenlee 
128.statevalue,R,AR
3068.statecounty,WkA_Lincoln,WA_Lincoln
136.statefips,2.0,5
302.county,Fairbanks North Star Borough,Rio Blanco 
2851.fipstwo,f84479,f48479
1191.county,Hampshre ,Hampshire 
1432.statevalue,MfO,MO
2796.statevalue,X,TX
401.countytwo,oBen Hill ,Ben Hill 
250.statefips,2.0,8
2024.county,Oneiad ,Oneida 
452.countytwo,Futlon ,Fulton 
2020.fipstwo,f36j057,f36057
2811.statevalue,X,TX
1873.county,Lncoln ,Lincoln 
2466.countytwo,Custe r,Custer 
116.fipstwo,f02100,f05039
2084.statecounty,rOH_Hamilton,OH_Hamilton
2877.county,eIron ,Iron 
462.statefips,18,13
2587.statecounty,TN_utnam,TN_Putnam
1664.county,Yelowstone ,Yellowstone 
632.statecounty,A_Plymouth,IA_Plymouth
1897.county,Sewar ,Seward 
66.fips,2282.0,1073
2076.countytwo,Faifrield ,Fairfield 
964.county,Oszage ,Osage 
71.statefips,2.0,1
131.statecounty,AK_Wrangell City and Borough,AR_Jefferson
2847.countytwo,Warlker ,Walker 
2818.statevalue,XT,TX
1129.statecounty,LA_Caalcasieu,LA_Calcasieu
162.county,Aleutians East Borough,Sevier 
148.countytwo,Ouachiat ,Ouachita 
265.fips,2275.0,8029
283.statevalue,O,CO
3215.countytwo,Campbelrl ,Campbell 
556.statecounty,IH_Kauai,HI_Kauai
378.countytwo,Pokl ,Polk 
418.fipstwo,f02070,f13053
136.statecounty,AR_Chicot,AR_Lincoln
2240.countytwo,Linin ,Linn 
2380.fipstwo,f72151,f72115
1034.county,Fleimng ,Fleming 
127.fips,2110.0,5061
2337.statecounty,PR_Carolina Mudnicipio,PR_Carolina Municipio
3205.county,Tyle r,Tyler 
605.statefips,79,19
249.fipstwo,f01005,f06115
1979.statecounty,VN_Elko,NV_Elko
3097.countytwo,Craford ,Crawford 
68.fipstwo,f01065,f01077
150.fipstwo,f02150,f05107
1203.countytwo,fCaroline ,Caroline 
978.fipstwo,f2167,f20167
1991.fipstwo,f32033***,f32033
612.statefips,59,19
189.county,Denali Borough,Santa Cruz 
2830.countytwo,Swiher ,Swisher 
478.statefips,97,13
242.statevalue,AC,CA
1843.countytwo,Dion ,Dixon 
2299.statevalue,AP,PA
2594.fipstwo,f4715k5,f47155
1705.fipstwo,f30781,f37081
1679.countytwo,amden ,Camden 
1411.fipstwo,f29007***,f29007
2354.fipstwo,72063,f72063
984.countytwo,Sheryidan ,Sheridan 
139.fips,5035.0,5085
286.county,Bristol Bay Borough,Las Animas 
388.statecounty,AK_Wrangell City and Borough,FL_Union
2300.statecounty,PA_Montgomey,PA_Montgomery
2448.fipstwo,f4587,f45087
2688.countytwo,loyd ,Floyd 
1024.statevalue,xKY,KY
114.statefips,2.0,5
1722.statevalue,CN,NC
75.statefips,2.0,1
1448.countytwo,Harriuson ,Harrison 
1125.fipstwo,f20211,f22011
304.statevalue,ChO,CO
2364.fipstwo,f72038,f72083
1207.statecounty,MD_oDrchester,MD_Dorchester
164.fips,2016.0,5123
125.statecounty,AK_Bristol Bay Borough,AR_Hempstead
433.statevalue,A,GA
605.fipstwo,f19h095,f19095
33.statefips,2.0,1
2683.statevalue,X,TX
3160.countytwo,Bone ,Boone 
3080.statevalue,A,WA
720.fipstwo,f1737,f17037
110.statefips,2.0,5
549.countytwo,Wilks ,Wilkes 
3214.statevalue,nWY,WY
185.county,Haines Borough,Mohave 
318.statevalue,CoT,CT
327.fips,2100.0,12003
390.fipstwo,f02060,f12129
1409.fipstwo,f2900j3,f29003
2929.statecounty,VfA_Danville city,VA_Danville city
80.county,Aleutians West Census Area,Montgomery 
1902.statevalue,E,NE
720.statecounty,I_DeKalb,IL_DeKalb
90.statefips,2.0,1
2500.fipstwo,f4c6101,f46101
1756.statevalue,CN,NC
1259.countytwo,Dickinsonu ,Dickinson 
56.statefips,2.0,1
235.statefips,2.0,6
384.fipstwo,f02016,f12111
3211.countytwo,Wood ***,Wood 
212.statefips,2.0,6
193.county,Aleutians West Census Area,Alpine 
178.statefips,2.0,4
132.statecounty,AK_Anchorage Municipality,AR_Johnson
570.statefips,71,19
276.statecounty,AK_Wrangell City and Borough,CO_Gunnison
1100.statevalue,YK,KY
234.fips,2105.0,6085
364.statecounty,AR_Garland,FL_Madison
404.fipstwo,f02050,f13023
1805.fipstwo,f38c081,f38081
2134.statecounty,OH_Vna Wert,OH_Van Wert
2681.county,El Pasmo ,El Paso 
171.statevalue,AqR,AR
3113.countytwo,efferson ,Jefferson 
2421.countytwo,Dilln ,Dillon 
2146.fipstwo,f40j009,f40009
52.statefips,2.0,1
231.statefips,2.0,6
1126.countytwo,Bienvill e,Bienville 
1233.fipstwo,f2023,f23023
1563.statecounty,MS_Laamar,MS_Lamar
748.statevalue,L,IL
1763.fipstwo,f31797,f37197
612.fipstwo,f91109,f19109
1703.statecounty,NC_rGanville,NC_Granville
2050.county,hWayne ,Wayne 
644.statecounty,jIA_Taylor,IA_Taylor
1327.fipstwo,fi27013,f27013
188.statecounty,AK_Kodiak Island Borough,AZ_Pinal
1846.statecounty,NE_Dunyd,NE_Dundy
2775.statevalue,X,TX
311.county,Anchorage Municipality,Washington 
199.fipstwo,f01085,f06015
1465.county,Lbinn ,Linn 
321.county,Nome Census Area,Windham 
136.fipstwo,f02180,f05079
647.statefips,112,19
61.fips,2100.0,1063
1738.countytwo,Ptt ,Pitt 
527.statefips,97,13
2970.statecounty,VA_Lycnhburg city,VA_Lynchburg city
261.statefips,2.0,8
1015.fipstwo,f2103w1,f21031
397.fips,5015.0,13009
3098.statecounty,I_Dane,WI_Dane
2821.statecounty,TX_Sehlby,TX_Shelby
1396.statecounty,MN_Swifvt,MN_Swift
1048.fipstwo,f210l97,f21097
830.countytwo,Gerene ,Greene 
913.statecounty,S_Crawford,KS_Crawford
3172.countytwo,ancock ,Hancock 
358.statevalue,L,FL
265.countytwo,Delvta ,Delta 
3006.county,Rockngham ,Rockingham 
145.fipstwo,f02220,f05097
1931.countytwo,Mrecer ,Mercer 
695.countytwo,Pwer ,Power 
2025.statevalue,Y,NY
75.fips,2013.0,1091
551.countytwo,orth ,Worth 
254.fips,5015.0,8009
324.fips,2100.0,10003
2086.statecounty,OHHardin,OH_Hardin
472.fipstwo,1f3161,f13161
2984.fipstwo,51133,f51133
635.statefips,115,19
155.fips,2020.0,5117
145.statevalue,AuR,AR
1729.statecounty,N_CNew Hanover,NC_New Hanover
385.statevalue,LF,FL
311.fips,2060.0,8121
61.county,Kodiak Island Borough,Greene 
147.county,Matanuska-Susitna Borough,Newton 
979.fipstwo,20169,f20169
3184.fipstwo,f4047,f54047
2873.county,Duhesne ,Duchesne 
2936.statecounty,VA_Falls Church ity,VA_Falls Church city
174.statefips,2.0,60
1367.statevalue,NM,MN
2003.fipstwo,f63023,f36023
1033.statecounty,Y_Fayette,KY_Fayette
1666.statevalue,CN,NC
2153.statevalue,K,OK
84.statecounty,AK_Petersburg Census Area,AL_Pike
367.fipstwo,f02105,f12085
750.county,LbaSalle ,LaSalle 
1916.statecounty,NH_Hillsborouhg,NH_Hillsborough
2706.countytwo,Hasle ,Hale 
88.countytwo,St. Clai ,St. Clair 
2244.fipstwo,f41501,f41051
744.statecounty,IL_Johnnson,IL_Johnson
116.county,Dalas ,Dallas 
1548.fipstwo,f28u043,f28043
1624.countytwo,aGllatin ,Gallatin 
2999.fipstwo,f51705,f51750
2728.statevalue,XT,TX
1355.fipstwo,f27096,f27069
2006.statevalue,NkY,NY
972.statevalue,S,KS
2891.statevalue,UjT,UT
1684.countytwo,Cheroke e,Cherokee 
1130.fipstwo,2f2021,f22021
1676.countytwo,Burek ,Burke 
2047.countytwo,Uster ,Ulster 
32.fips,2100.0,1005
2162.countytwo,Delware ,Delaware 
2314.countytwo,nion ,Union 
543.statecounty,GA_Waynie,GA_Wayne
1578.countytwo,Noxube ,Noxubee 
219.county,Denali Borough,Napa 
1974.statevalue,M,NM
2917.countytwo,Carrlol ,Carroll 
269.fips,2068.0,8037
933.county,vHarper ,Harper 
34.statecounty,AK_Juneau City and Borough,AL_Blount
230.fipstwo,f02220,f06077
155.statefips,2.0,5
1891.countytwo,Richardso n,Richardson 
1407.statecounty,MN_Ylelow Medicine,MN_Yellow Medicine
2164.statevalue,K,OK
1319.county,Wanyne ,Wayne 
257.fips,2090.0,8014
376.statevalue,FdL,FL
269.statecounty,AK_Anchorage Municipality,CO_Eagle
320.fipstwo,f01029,f09013
725.county,Efingham ,Effingham 
639.fipstwo,f1913,f19163
542.statefips,15,13
2006.county,Enrie ,Erie 
1590.statecounty,MS_Sipmson,MS_Simpson
2186.statevalue,KO,OK
109.fips,2180.0,5025
2479.countytwo,Hadn ,Hand 
1766.statecounty,D_Barnes,ND_Barnes
2419.fipstwo,f54029,f45029
313.fipstwo,f02016,f08125
466.statefips,84,13
447.fipstwo,f131a11,f13111
871.countytwo,Riple y,Ripley 
30.county,Dillingham Census Area,Autauga 
310.statevalue,OC,CO
113.fips,2198.0,5033
3120.statecounty,W_Lincoln,WI_Lincoln
123.county,Juneau City and Borough,Grant 
1539.countytwo,lay ,Clay 
641.statecounty,I_Sioux,IA_Sioux
2835.county,Throkmorton ,Throckmorton 
2825.countytwo,Star r,Starr 
2999.statevalue,A,VA
2966.countytwo,Lxeington city,Lexington city
2594.countytwo,Sever ,Sevier 
189.statefips,2.0,4
655.statefips,112,19
419.fipstwo,f01073,f13055
499.statefips,48,13
3143.county,Shawan ,Shawano 
109.county,Celveland ,Cleveland 
2071.fipstwo,if39035,f39035
870.county,Rnadolph ,Randolph 
347.fipstwo,f02060,f12045
284.county,Fairbanks North Star Borough,Lake 
1775.county,ickey ,Dickey 
462.fipstwo,f131j41,f13141
1307.fipstwo,f26193,f26139
1587.fipstwo,f28112,f28121
551.statevalue,A,GA
1408.countytwo,dAdair ,Adair 
249.statefips,2.0,6
1368.countytwo,Mill Lacs ,Mille Lacs 
3067.countytwo,eLwis ,Lewis 
3170.county,Greenbarier ,Greenbrier 
2639.fipstwo,fe48055,f48055
2273.statecounty,P_Columbia,PA_Columbia
2663.county,Crdane ,Crane 
1354.countytwo,wKandiyohi ,Kandiyohi 
2715.statecounty,TXl_Haskell,TX_Haskell
2360.county,Juatna Diaz Municipio,Juana Diaz Municipio
2744.countytwo,zKerr ,Kerr 
719.countytwo,De Wtit ,De Witt 
224.fips,2282.0,6065
1053.county,Hovpkins ,Hopkins 
1698.county,Forysth ,Forsyth 
620.statecounty,IA_Mrion,IA_Marion
284.fips,5069.0,8065
500.statefips,91,13
136.county,Nome Census Area,Lincoln 
1757.fipstwo,f73185,f37185
989.countytwo,Steevns ,Stevens 
1731.county,Onlsow ,Onslow 
2471.fipstwo,f6043,f46043
44.county,Ketchikan Gateway Borough,Cleburne 
896.fipstwo,2f0003,f20003
1347.countytwo,Hnennepin ,Hennepin 
1483.fipstwo,f2951,f29151
1233.county,Sagadahc ,Sagadahoc 
789.fipstwo,17177,f17177
1714.countytwo,Jacson ,Jackson 
277.fipstwo,f02016,f08053
616.statefips,107,19
140.statecounty,AK_Yukon-Koyukuk Census Area,AR_Madison
1146.countytwo,Jefflerson Davis ,Jefferson Davis 
2983.fipstwo,f5111,f51131
50.fipstwo,f02020,f01041
382.statecounty,CA_San Bernardino,FL_Seminole
487.statefips,21,13
2223.countytwo,Colubia ,Columbia 
3050.statecounty,WA_helan,WA_Chelan
633.statefips,29,19
1807.county,Soiux ,Sioux 
1699.countytwo,Farnklin ,Franklin 
57.statecounty,AK_Northwest Arctic Borough,AL_Etowah
2742.statevalue,XT,TX
262.statefips,2.0,8
393.fipstwo,f02013,f13001
1190.county,ampden ,Hampden 
120.fips,2180.0,5047
2079.countytwo,Fulto n,Fulton 
816.statecounty,IN_Daivess,IN_Daviess
1816.statevalue,NrD,ND
3032.fipstwo,f78300,f78030
922.statecounty,KS_Finey,KS_Finney
1905.statevalue,EN,NE
50.fips,2180.0,1041
1494.county,Raflls ,Ralls 
3204.countytwo,Tupcker ,Tucker 
1551.fipstwo,f28p049,f28049
586.statefips,66,19
1118.statecounty,KYq_Wolfe,KY_Wolfe
127.county,Dillingham Census Area,Howard 
278.fipstwo,f01015,f08055
1420.countytwo,Caldell ,Caldwell 
374.statecounty,AK_Southeast Fairbanks Census Area,FL_Osceola
852.county,Masrhall ,Marshall 
2457.statevalue,D,SD
3005.fipstwo,51163,f51163
2872.fipstwo,f49d011,f49011
2245.statevalue,RO,OR
379.fipstwo,f02105,f12107
1976.statevalue,NmV,NV
1029.countytwo,Daiess ,Daviess 
126.county,Hoonah-Angoon Census Area,Hot Spring 
2809.statecounty,TX_Robxertson,TX_Robertson
1037.statecounty,bKY_Fulton,KY_Fulton
2057.fipstwo,pf39007,f39007
2829.statevalue,X,TX
739.statevalue,LI,IL
2603.fipstwo,f74173,f47173
2715.statevalue,kTX,TX
1260.fipstwo,26045,f26045
694.fipstwo,fn16075,f16075
374.fips,2290.0,12097
2973.fipstwo,f51658,f51685
369.statevalue,L,FL
2549.countytwo,Hamilto ,Hamilton 
323.fips,2110.0,10001
1167.county,St. John the Baptist Prish,St. John the Baptist Parish
361.statevalue,L,FL
2609.statevalue,N,TN
2515.statevalue,DS,SD
162.statecounty,AL_Calhoun,AR_Sevier
246.statecounty,AK_Ketchikan Gateway Borough,CA_Tuolumne
234.statefips,2.0,6
299.fips,2016.0,8097
1818.countytwo,Adamsy ,Adams 
1156.statecounty,LA_Ouachta,LA_Ouachita
2434.fipstwo,f4559,f45059
1025.countytwo,Clayr ,Clay 
240.statecounty,AK_Aleutians West Census Area,CA_Sonoma
2774.fipstwo,f48352,f48325
2177.fipstwo,fy40071,f40071
372.statecounty,AK_Yukon-Koyukuk Census Area,FL_Okeechobee
692.statevalue,D,ID
401.statevalue,A,GA
2115.fipstwo,f39213,f39123
1067.fipstwo,f2115,f21135
2699.county,Gloiad ,Goliad 
