1125.address,z2655 Iberville St,2655 Iberville St
1808.namevalue,3309 Constance tSt,3309 Constance St
1549.type,4701 h- HOTELS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1848.namevalue,SUPER 8 OTEL,SUPER 8 MOTEL
2755.x,3678875.76,3678848.76
1066.namevalue,5257 Congress Dr,5527 Congress Dr
602.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.974207355772, -90.0964303675438)"
1078.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9167021674866, -90.1090623328494)"
847.address,4219 Laalle St,4219 Lasalle St
761.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9734305018554, -90.0969500788359)"
1535.namevalue,130 Napoleon Ave,1030 Napoleon Ave
956.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9501857680492, -90.0688083466548)"
690.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9377997853962, -90.0824078924337)"
2727.type,4701 - HOTELS (EXC CASINO HOTyELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
683.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9313820551631, -90.0723579883022)"
194.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9582968222826, -90.0885996425517)"
658.type,Short Term Rental Commercial Ownr,Short Term Rental Commercial Owner
1442.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9636956958479, -90.0362640444742)"
1254.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9529606272473, -90.0649484702871)"
1416.namevalue,PRYTANImA PARK HOTEL,PRYTANIA PARK HOTEL
2355.namevalue,2722 Banks aSt,2722 Banks St
1692.type,Short Term Rental Rsidential Owner,Short Term Rental Residential Owner
1119.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9456802944974, -90.0715654725396)"
852.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9525162477381, -90.1053421577303)"
1757.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9600035811516, -90.0609457518802)"
659.expirationdate,04/10u/2023 11:59:59 PM,04/10/2023 11:59:59 PM
1889.locationvalue,"(29.9663236986569, -90.0626983550869)","(30.0077544419487, -90.0308742991757)"
348.locationvalue,"(29.9342046282006, -90.0904361083713)","(29.9419399835325, -90.0722242322245)"
346.type,Short Term Rental Commerscial Owner,Short Term Rental Commercial Owner
550.namevalue,301 Magazhine St Apt 204,301 Magazine St Apt 204
1399.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9623265388455, -90.066545967078)"
2403.x,3680152.68,3680096.68
1386.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9612262519371, -90.0605305332607)"
2323.type,Short Term Rental Commercial Ower,Short Term Rental Commercial Owner
1710.address,4030 Set Claude Ave,4030 St Claude Ave
426.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9793062220153, -90.0964175904287)"
44.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9390459458805, -90.0832178314099)"
742.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9412147340511, -90.0755776102444)"
1448.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9735271047092, -90.08380578097)"
1700.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9696897144784, -90.059281886709)"
322.namevalue,1117 S Mary St Unit A,1117 St Mary St Unit A
245.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9638701455647, -90.0534548392164)"
1343.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9260407391115, -90.0069296082703)"
1824.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9653920281453, -90.0419761871543)"
2383.y,523319.13,523232.13
621.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9270170125954, -90.0747110775244)"
1500.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9714078340393, -90.0645686730082)"
187.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9675748910944, -90.0450032547841)"
1031.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9955003527626, -90.0723159505589)"
1481.type,Short Term Rental Residential Okwner,Short Term Rental Residential Owner
209.type,Shrt Term Rental Residential Owner,Short Term Rental Residential Owner
1742.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9636928348741, -90.0364592641101)"
2495.address,5671 WoodlawnPl,5671 Woodlawn Pl
826.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9629078391018, -90.0529375116462)"
559.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9214243834503, -90.084431610659)"
1172.expirationdate,08/24/2023 1159:59 PM,08/24/2023 11:59:59 PM
698.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9267213665492, -90.0812937163691)"
1094.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9739758843863, -90.0528048694715)"
1677.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9562223314342, -90.0655415834038)"
317.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9329430031493, -90.0726841492023)"
1314.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9589615482209, -90.0891287050705)"
2377.type,Short TermRental Commercial Owner,Short Term Rental Commercial Owner
608.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9800269540841, -90.0858947397313)"
1626.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9637128211087, -90.0364502558481)"
1415.address,724 N Clabiorne Ave,724 N Claiborne Ave
1882.namevalue,THE OLD NO. 77 HOTEL & CHNDLERY - MAIN,THE OLD NO. 77 HOTEL & CHANDLERY - MAIN
1485.expirationdate,03/01/2023 1200:00 AM,03/01/2023 12:00:00 AM
1475.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9427733864113, -90.1334564566001)"
1269.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9228190693581, -90.0869331168859)"
2675.type,Sort Term Rental Commercial Owner,Short Term Rental Commercial Owner
398.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9707345675516, -90.1079832951424)"
930.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.0100726813343, -90.0515489576703)"
1247.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9267043185051, -90.0812390281224)"
1649.namevalue,RESIDENCE INN YB MARRIOT,RESIDENCE INN BY MARRIOT
1058.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9690867160841, -90.011360763535)"
892.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9661473314197, -90.0648580462026)"
1490.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9424491195202, -90.0761120760843)"
941.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9502001258149, -90.0688601429972)"
2266.x,3681483.76,3681390.76
2118.locationvalue,"(29.9545285828627, -90.133563536641)8","(29.9545285828627, -90.1335635366418)"
2146.type,Short Term Rental Residnetial Owner,Short Term Rental Residential Owner
2138.namevalue,704 N Claiborne Ave kApt 1A,704 N Claiborne Ave Apt 1A
1222.type,Short Term Rental Comcmercial Owner,Short Term Rental Commercial Owner
1819.type,Short Terem Rental Residential Owner,Short Term Rental Residential Owner
363.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9319340380536, -90.0730641796701)"
1073.address,900 Bartholome wSt Unit 419,900 Bartholomew St Unit 419
1784.address,1715 Governor icholls St,1715 Governor Nicholls St
2443.type,Short Term Rental Residentqial Owner,Short Term Rental Residential Owner
1498.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9524066523814, -90.0685608523563)"
1841.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9672382387658, -90.0570008404182)"
1765.expirationdate,12/6/2022 11:59:59 PM,12/16/2022 11:59:59 PM
37.address,1572 Magazien St Apt A,1572 Magazine St Apt A
1021.expirationdate,04/02/2023 11:59:59 PM,04/20/2023 11:59:59 PM
67.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9642917017974, -90.0514300421748)"
891.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9594446755502, -90.0886498751016)"
1168.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9787975260288, -90.0541734224189)"
535.address,425 Thalia St,1425 Thalia St
1504.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9714916316096, -90.0742763873782)"
745.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9401834781285, -90.1258487344806)"
677.expirationdate,11/02/2023 11:59:5 PM,11/02/2023 11:59:59 PM
1976.expirationdate,03/01/2023 12:00r:00 AM,03/01/2023 12:00:00 AM
1010.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9320499755779, -90.0124037803654)"
2725.namevalue,2800 Octavia tS,2800 Octavia St
1658.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9718562947113, -90.0507400133211)"
2139.x,3677529.11,3677468.11
1535.address,1030 Napjoleon Ave,1030 Napoleon Ave
1550.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9656174721651, -90.0538253277447)"
163.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9643143433615, -90.0887446066836)"
1280.address,5536 Pzrytania St,5536 Prytania St
2434.address,451 Girod St Aptq 410,451 Girod St Apt 410
1885.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9636748939548, -90.036285159632)"
1493.type,Short Temr Rental Commercial Owner,Short Term Rental Commercial Owner
2767.x,58.0,-1.0
1948.expirationdate,03/01/2203 12:00:00 AM,03/01/2023 12:00:00 AM
732.type,Short Term Rental Residentiabl Owner,Short Term Rental Residential Owner
2710.type,Short erm Rental Residential Owner,Short Term Rental Residential Owner
1038.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9469525178868, -90.1084301828147)"
1622.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9552526435586, -90.0726397698633)"
262.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9294729235652, -90.1048957994517)"
1769.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9384995972566, -90.0775801168904)"
2142.address,1625 N Broaed St,1625 N Broad St
2471.address,2423 Orleans Ae,2423 Orleans Ave
388.locationvalue,"(29.9718566811683, -90.049141215455)","(29.9634600494679, -90.0366883283918)"
238.namevalue,2305 Soniat tS,2305 Soniat St
23.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9671327332648, -90.0590934207344)"
993.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9971636113723, -90.0410155999256)"
976.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9718974198369, -90.0738653937256)"
341.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9674561381161, -90.0593922442755)"
241.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9451459243874, -90.1193295291261)"
629.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9356157682632, -90.0709931035791)"
2644.namevalue,4023 Ulloa St pAt A,4023 Ulloa St Apt A
1349.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9660586896722, -90.0854377733833)"
1362.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9308606851202, -90.0877321552249)"
2274.address,2218 S Rbertson St,2218 S Robertson St
1773.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9617855141727, -90.096728914512)"
479.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9640378542704, -90.0708363851009)"
863.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9733029817871, -90.0863109425624)"
325.address,1124 St Charles Aev Apt 2A,1124 St Charles Ave Apt 2A
762.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9393459000165, -90.0852727052421)"
502.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9439352708442, -90.0941795924754)"
352.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9199342472342, -90.0966191542089)"
355.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9436221825203, -90.0784593414273)"
255.locationvalue,"(29.9861617021688, -90.0616040310795)","(29.9707630338322, -90.0552230768485)"
2061.locationvalue,"(29.9681872561845, -90.067983965123)","(29.9681872561845, -90.0679839651231)"
80.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9265628642372, -90.0806012997907)"
2334.address,819 Valmonwt St,819 Valmont St
190.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9405484665825, -90.0922867678635)"
1692.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9806625792254, -90.0991609090786)"
1884.type,4703 - BED & BREAKFAST uINNS,4703 - BED & BREAKFAST INNS
108.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9639137125841, -90.0966628687184)"
1902.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9645062920218, -90.1274280845057)"
634.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9724442857831, -90.1052720338447)"
891.type,Short Term Rntal Commercial Owner,Short Term Rental Commercial Owner
470.namevalue,EMANUEL & SHENA’S BED & BREAgKFAST,EMANUEL & SHENA’S BED & BREAKFAST
72.address,883 Valence St,838 Valence St
75.type,Short Term eRntal Commercial Owner,Short Term Rental Commercial Owner
1610.address,4326 Toluouse St,4326 Toulouse St
1252.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9374238794557, -90.1315656290846)"
886.namevalue,2820 Constaunce St,2820 Constance St
2102.namevalue,1742Clio St Apt D,1742 Clio St Apt D
856.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.922928859129, -90.0838672900687)"
81.type,Short Tem Rental Residential Owner,Short Term Rental Residential Owner
2513.namevalue,300m8 Toulouse St,3008 Toulouse St
885.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9368330672728, -90.0788169103925)"
1123.namevalue,142w2 Chartres St Apt C,1422 Chartres St Apt C
1959.expirationdate,03/01/2023 12:e00:00 AM,03/01/2023 12:00:00 AM
1600.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9710930288103, -90.029784263706)"
1555.type,4703 - BED & BREAKFAST NNS,4703 - BED & BREAKFAST INNS
1673.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9216358779289, -90.0831193365987)"
1193.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9588401832599, -90.0866929689688)"
475.expirationdate,10/06/2023 10:d48:49 AM,10/06/2023 10:48:49 AM
1924.expirationdate,03/10/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1296.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9635089506215, -90.05047985537)"
1868.locationvalue,"(29.935070719781, -90.1066658406292)","(29.953862633153, -90.0696341031303)"
589.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9394921665117, -90.0728627025418)"
2437.expirationdate,09/11/203 02:02:06 PM,09/11/2023 02:02:06 PM
1981.namevalue,1437 N Preur St,1437 N Prieur St
117.address,34 Carondelet St Unit 204,334 Carondelet St Unit 204
179.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.947665321018, -90.0733843546208)"
475.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9812871163239, -90.0851880809576)"
652.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9713910484995, -90.0878465090811)"
1102.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9636820508735, -90.0363332937031)"
920.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9588687928901, -90.0863631244428)"
124.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.93386308623, -90.0873379043232)"
111.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.948233870762, -90.0734232796303)"
2477.x,3679751.52,3679742.52
1746.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.934758714204, -90.0722224162318)"
1675.locationvalue,"(29.9861617021688, -90.0616040310795)","(29.9732572735325, -90.0997691963093)"
270.address,434 Sybil St,4349 Sybil St
1486.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9803778842824, -90.0788730004398)"
1878.locationvalue,"(29.9861617021688, -90.0616040310795)","(29.9636727749176, -90.0361678250737)"
1351.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9695325654338, -90.0437460111643)"
1356.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9423524462314, -90.1249290501962)"
1299.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9662828285195, -90.0626436989521)"
631.type,ShortTerm Rental Commercial Owner,Short Term Rental Commercial Owner
900.expirationdate,0/419/2023 11:59:59 PM,04/19/2023 11:59:59 PM
1268.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9770958220909, -90.0875255573913)"
1202.locationvalue,"(29.9280167627574, -90.0751408186039)","(29.9724566907199, -90.0850450546069)"
1374.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9387594926698, -90.0739760103387)"
2468.expirationdate,09/13/2023 01:162:7 PM,09/13/2023 01:16:27 PM
327.locationvalue,"(29.9436221825203, -90.0784593414273)","(30.0295524690055, -90.0018552501048)"
1089.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.0098956816405, -90.0351317028318)"
184.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9620458128973, -90.0321144051898)"
1842.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9838165657915, -90.0617488825769)"
1979.type,4701 - HOTELS (EXC ASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1171.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.945666176468, -90.0714095338395)"
1762.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9406899204621, -90.0785868667083)"
2147.locationvalue,"(2r9.9713498394554, -90.0573413116521)","(29.9713498394554, -90.0573413116521)"
2537.type,Short Term Rental Residetial Owner,Short Term Rental Residential Owner
580.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9394374038528, -90.0727611855221)"
572.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9638230305552, -90.0436069092104)"
300.type,Short Term Rental Commeircial Owner,Short Term Rental Commercial Owner
434.namevalue,628 Braonne St Apt 201,628 Baronne St Apt 201
851.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9507365262051, -90.1276729661593)"
1108.expirationdate,03/01/2023 1200:00 AM,03/01/2023 12:00:00 AM
2446.x,61.0,-1.0
554.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9657349337756, -90.0578098437093)"
518.namevalue,3635 Timber WolfL n,3635 Timber Wolf Ln
29.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9524606824558, -90.0685629464843)"
2592.locationvalue,"(30.0170329963889, -90.120243419917)5","(30.0170329963889, -90.1202434199175)"
1007.expirationdate,05/13/2023 1g1:59:59 PM,05/13/2023 11:59:59 PM
1627.address,1609 Delachaise jSt,1609 Delachaise St
2629.type,Short Term Renotal Residential Owner,Short Term Rental Residential Owner
1221.expirationdate,80/25/2023 11:59:59 PM,08/25/2023 11:59:59 PM
2354.x,3674100.98,3674005.98
1121.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9456996641404, -90.0715607436732)"
1549.locationvalue,"(29.9683036541566, -90.0412851454416)","(29.9511860242385, -90.0689382847115)"
312.locationvalue,"(29.9684668112717, -90.074357136476)","(30.0168633811086, -90.1055401693255)"
353.namevalue,2400Marengo St,2400 Marengo St
1544.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9663748738259, -90.0584939546251)"
2133.locationvalue,"(29.9675213486996, -b90.0558555122883)","(29.9675213486996, -90.0558555122883)"
1487.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9678544498245, -90.0570963583748)"
870.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9625432045811, -90.0342296349926)"
1031.address,3720 Bruxeplles St,3720 Bruxelles St
1810.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9519399541655, -90.0714627288582)"
1396.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9612808938629, -90.0635436409099)"
1515.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9735055469179, -90.0671149529087)"
1289.locationvalue,"(29.935070719781, -90.1066658406292)","(29.966410733605, -90.0649786948246)"
1702.locationvalue,"(29.9314269620729, -90.0734543476571)","(29.9765144257634, -90.0520951864622)"
898.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9681441619023, -90.063338880863)"
215.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9510940706386, -90.1215591215645)"
165.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.970884728751, -90.0819161362029)"
723.expirationdate,07/06/202k3 11:59:59 PM,07/06/2023 11:59:59 PM
1871.address,444 ST CAHRLES AVE,444 ST CHARLES AVE
555.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9699714645408, -90.0519810202361)"
696.expirationdate,11/03/2023 11:95:59 PM,11/03/2023 11:59:59 PM
1914.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9843489749389, -90.0462201677508)"
1907.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.974786731907, -90.0576115411589)"
2500.address,3421 Roayl St,3421 Royal St
1496.locationvalue,"(29.9476920583311, -90.0733334294844)","(30.0058429381125, -90.1093953331509)"
441.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9683508423497, -90.0613589770975)"
1875.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9653762092022, -90.0676787526137)"
547.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9727533972299, -90.075094703833)"
458.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9702832177973, -90.0685934381177)"
648.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9501998656867, -90.0673173761779)"
107.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9320048813942, -90.034443768125)"
1397.locationvalue,"(29.9647071287253, -90.0837190697134)","(29.9405463189224, -90.0916540230639)"
750.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9366712754781, -90.083221623447)"
160.expirationdate,05/11/2023 1:159:59 PM,05/11/2023 11:59:59 PM
1770.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9406798883606, -90.0785701315243)"
598.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9990664742279, -90.0776386826984)"
2714.namevalue,2019 Stephen Girarod St,2019 Stephen Girard St
977.type,Short cTerm Rental Commercial Owner,Short Term Rental Commercial Owner
863.type,Short Term Rntal Residential Owner,Short Term Rental Residential Owner
70.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.930427931871, -90.0752953725142)"
2274.expirationdate,03/01/202c3 12:00:00 AM,03/01/2023 12:00:00 AM
927.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9672330580352, -90.0681578085728)"
683.address,944 Felicity tS,944 Felicity St
546.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9515304533632, -90.0729060448506)"
221.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9358763539439, -90.0709095147771)"
910.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9271091316295, -90.0939654673215)"
164.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9661285036008, -90.0670977838408)"
296.namevalue,83d7 Jackson Ave Apt B,837 Jackson Ave Apt B
967.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9334660330961, -90.0853931846556)"
635.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9764241092035, -90.0570787998315)"
1453.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9462310780593, -90.0923708548282)"
1225.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9674884021836, -90.0986938125127)"
1543.expirationdate,03/01/2023 12:00:00e AM,03/01/2023 12:00:00 AM
1741.namevalue,1022 Mndeville St,1022 Mandeville St
1041.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9353076417045, -90.097525583775)"
2238.address,323 Burgundy St,3323 Burgundy St
21.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9398076866226, -90.0780528444061)"
133.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9226138700744, -90.0772717903392)"
975.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9804205493382, -90.0469844959995)"
1005.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9626204452932, -90.0810093443776)"
762.address,2114 Jacksotn Ave,2114 Jackson Ave
836.type,Short Term Rental Commercial Ownre,Short Term Rental Commercial Owner
1208.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9643457814521, -90.0591790987773)"
1530.namevalue,LA QUINTA INN &S UITES #983  4701,LA QUINTA INN & SUITES #983  4701
175.address,3424 Bienivlle Ave,3424 Bienville Ave
1825.address,4933 N Ramparts St,4933 N Rampart St
238.type,Comxmercial STR,Commercial STR
1940.locationvalue,"(29.9500548215129, -90.069001558368)","(29.9500548215129, -90.0690015589368)"
965.expirationdate,08/08/2023 11:59:5 PM,08/08/2023 11:59:59 PM
1224.type,Short Term Rental Cmomercial Owner,Short Term Rental Commercial Owner
1625.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9332986071222, -90.0793150029912)"
1858.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9518657612704, -90.0714916145869)"
172.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9566916814294, -90.1099468390455)"
222.namevalue,1116 Barrack sSt,1116 Barracks St
1795.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9518567137257, -90.0714944763795)"
2673.address,728 Josephie St,728 Josephine St
796.type,Short Term Renta Residential Owner,Short Term Rental Residential Owner
1028.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9400080827045, -90.0773703181116)"
1004.address,2220 N Roebrtson St,2220 N Robertson St
1528.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9284322657882, -90.0682881626541)"
