namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
4525 Dryades St,4525 Dryades St,Short Term Rental Commercial Owner,2.0,4.0,11/22/2022 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3670098.84,521965.74
1572 Magazine St Apt D,1572 Magazine St Apt D,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3680130.36,523224.9
1572 Magazine St Apt E,1572 Magazine St Apt E,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3680135.08,523224.35
2247 St Claude Ave,2247 St Claude Ave,Short Term Rental Commercial Owner,3.0,6.0,03/23/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3685510.89,536451.94
1572 Magazine St Apt B,1572 Magazine St Apt B,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3680117.58,523227.4
1572 Magazine St Apt F,1572 Magazine St Apt F,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3680141.74,523222.4
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/23/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3681786.51,526218.84
1572 Magazine St Apt G,1572 Magazine St Apt G,Short Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3680149.24,523221.01
4703 Freret St,4703 Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3669367.6,523960.94
737 Eleonore St,737 Eleonore St,Short Term Rental Commercigal Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3665250.75,519020.47
1524 Baronne St Apt 3B,1524 Baronne St Apt 3B,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3678401.49,525780.5
855 Baronne St Unit 5D,855 Baronne St Unit 5D,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3679403.23,527770.08
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3684295.51,535783.16
2000 Burgundy St Ste 301,2000 Burgundy St Ste 301,Short Term Rental Commercial Owner,2.0,4.0,01/11/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3684320.46,535470.7
719 France St,719 France St,Short Term Rental Residential Owner,2.0,4.0,02/15/2023 11:59:59w PM,"(29.9614736430167, -90.0345747956616)",3692081.83,533812.47
1218 Joliet St,1218 Joliet St,Short Term Rental Resfidential Owner,2.0,4.0,02/13/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3660990.06,529482.76
1724 Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A,Short Term Rental Commercial Owner,3.0,6.0,03/22/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3673894.94,522097.19
1916 Washington Ave,1961 Washington Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9337663755801, -90.0882303310459)",3675202.11,523548.49
600 Canal St Apt 505,600 Canal St Apt 505,Sort Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3681356.19,530414.64
2014 St Philip St,2014 St Philip St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3679457.43,536214.86
1617 Arts St,1617 Arts St,Short Term Rental Residential Owner,2.0,4.0,05/02/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3687083.91,538480.01
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4.0,8.0,10/11/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3678656.96,521750.38
639 S Tonti St,639 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3675025.57,532515.06
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Term Rental Commercial Owner,2.0,4.0,10/10/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3679422.17,527962.2
1572 Magazine St Apt C,1572 Magazine St Apt C,Shornt Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3680123.41,523225.73
1002 Verret St,1002 Verret St,Shotr Term Rental Commercial Owner,1.0,2.0,11/22/2022 11e:59:59 PM,"(29.9453933043394, -90.049996322177)",3687264.34,527910.06
1572 Magazine St Apt A,1572 Magazien St Apt A,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3680110.08,523229.07
"1505 Robert C Blakes, SR Dr","1505 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3678744.34,525748.2
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4.0,8.0,08/03/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679476.18,542841.14
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2.0,4.0,10/05/2023 11:59:59 PM,"(29.9683036541566, -90.0412851454416)",3678947.49,525872.33
635 S Tonti St,635 S Tonti St,Short Term Retal Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3675037.53,532533.74
1524 Baronne S tApt 3A,1524 Baronne St Apt 3A,Short Term Rental Commercial Owner,5.0,10.0,0/11/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3678390.96,525787.83
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
2101 Josephine St,2101 Josephine St,Short Term Rental Residential Owner,3.0,6.0,06/06/2023 1v1:59:59 PM,"(29.9436221825203, -90.0784593414273)",3676768.74,525485.62
1300 Socrates St,1300 Socrates St,Short Term Rental Residential Owner,3.0,6.0,07/31/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3689418.1,526419.91
1831 Hastings Pl,1831 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3679891.36,522748.95
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3677532.63,525367.2
623 S Lopez St,623 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3672406.33,534472.42
2507 Bell St,2507 Bell St,Short Term Rental Commercial Owner,3.0,6.0,11/30/2022 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3678603.76,539011.45
114 Atlantic Acve,114 Atlantic Ave,Short Term Rental Commercial Ower,4.0,8.0,01/10/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3688910.48,531135.76
4849 Tchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3669278.21,517293.36
645 S Dupre St,645 S Dupre St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3673191.79,533932.4
2000 Burgundy St Ste 202,2000 Burgundy St Ste 202,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3684319.96,535478.57
3026 Napoleon Ave,3026 Napoleon Ave,hort Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3670226.17,526151.66
643 S Dupre St,463 S Dupre St,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3673196.27,533940.02
722 S Lopez St,722 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/2022 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3672266.99,534026.82
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3.0,6.0,03/21/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3667719.41,538973.97
2317 Gravier St,2317 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3675429.0,532659.92
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3662525.42,529231.42
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3684880.07,535786.65
1524 Baronne St Apt 2B,1524 Baronne St Apt 2B,Short Term Rental Commercial Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3678381.34,525793.32
"1817 Martin Luther King, Jr Bldv","1817 Martin Luther King, Jr Blvqd",Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3678314.31,526150.97
3102 Esplanade Ave,3102 Esplanade Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9298147625628, -90.0924066302005)",3676495.3,540175.23
211 Pelican Ave,211 Pelican Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3686007.07,530071.25
724 S Lopez St,724 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3672262.96,534018.11
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercial Owner,2.0,4.0,10/12/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3687247.45,537399.31
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1.0,2.0,08/01/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3686733.42,534777.12
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 iPM,"(30.0946255291455, -89.7670573024888)",3675075.74,532583.97
1604 Prytania St,1604 Prytania St,Short Term Rental Commercial Owner,5.0,10.0,03/212/023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1.0,2.0,03/20/2023 115:9:59 PM,"(29.9605816137577, -90.0892762017721)",3679312.24,522379.26
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3677859.25,524458.21
838 Valence St,883 Valence St,Short Term Rental Commercial Owner,1.0,2.0,08/04/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2.0,4.0,08/03/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3677563.97,525422.92
1027 Delachaise St,1027 Delachaise St,Short Term Rental Commercgial Owner,2.0,4.0,08/04/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3674767.44,519359.77
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term eRntal Commercial Owner,1.0,2.0,07/22/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3679906.11,526431.88
1309 St Anthony St,1309 St Anthony St,Short Term Rental Residential Owner,1.0,2.0,07/28/2023 11:59:59 MP,"(29.9436221825203, -90.0784593414273)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1.0,2.0,07/31/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3664900.49,528470.17
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4.0,8.0,10/10/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3679444.05,527955.95
4853 choupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3669248.74,517289.84
1018 Tbhird St,1018 Third St,Short Term Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3677647.04,520955.37
2427 Iberville St,2427 Iberville St,Short Tem Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.9647071287253, -90.0837190697134)",3676508.23,534815.25
5444 Durham Dr,5444 Duhram Dr,Short Term Rental Residential Owner,5.0,10.0,05/16/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3704251.78,518895.44
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2.0,4.0,08/18/2023 11:59:59 PM,"(29.9861617021688, -90.0616040310795)",3683423.81,542693.98
1829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2.0,4.0,08/01/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3691967.42,538302.37
643 S Tonti St,643 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3675005.04,532491.49
113 S Salcedo St,113 S Salcedo St,Short Term Rental Residential Owner,1.0,2.0,08/02/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3673937.69,535958.58
2319 Gravier St,2319 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3675418.17,532667.83
849 Alvar St,849 Alvar St,Short Term Rental Commercail Owner,5.0,10.0,11/29/2022 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3691322.58,534547.15
855 Baronne St Unit 4D,855 Baronne St Unit 4D,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.94521586214, -90.0748345709834)",3679399.13,527758.29
1833 Hastings Pl,1833 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3679886.15,522743.74
4100 St Peter St Apt 2B,4100 St Peter St Apt 2B,Short Term Rental Commercial Owner,1.0,2.0,01/09/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3672431.57,539994.23
1t524 Baronne St Apt 1A,1524 Baronne St Apt 1A,Short Term Rental Commercial Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3678363.03,525808.29
1330 Prytania St Apt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679891.08,525543.01
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3677548.57,525392.06
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3.0,4.0,08/04/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3672721.49,539586.17
1438 N Claiborne Ave,1438 N Claiborne Ave,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3681572.79,536771.04
1040 Marigny St,1040 Marigny St,Short Term Rental Commercial Owner,3.0,6.0,01/07/2023 11:59:59 PM,"(29.9683446718947, -90.0556404613279)",3685383.86,536236.04
1515 Calliope St Apt 201,1515 Calliope St Apt 201,hSort Term Rental Commercial Owner,3.0,6.0,10/07/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3680246.54,526589.76
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3680375.08,529906.15
1324 Clouet St,1324 Clouet St,Short Term Rental Residential Owner,2.0,4.0,08/30/2023 02:31:01 PM,"(29.9614736430167, -90.0345747956616)",3689201.81,536927.68
1524 Baronne St Apt 2C,1524 Baronne St Apt 2C,Short Term Rental Commercial Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3678386.71,525790.11
4025 Pitt St,4025 Pitt St,Short Term Rental Residential Owner,1.0,2.0,10/18/2023 01:11:27 PM,"(29.9580154964913, -90.0871467011987)",3672101.62,520726.72
1524 Baronne St Apt 2A,1524 Baronne St Apt 2A,Short Term Rental Commercial Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3678373.56,525799.73
3109 Lafitte Ave,3109 Lafitte Ave,Short Term Rental Commercial Owner,3.0,6.0,1217/2022 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3674914.97,537403.64
6399 West End Blvd,6399 West End Blvd,Short Term Rental Residential Owner,3.0,6.0,10/11/2023 12:37:11 PM,"(29.9684668112717, -90.074357136476)",3666683.74,550338.26
4100 St Peter St Apt 2A,4100St Peter St Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3672439.84,539990.46
2138 Farragut St,2138 Farragut St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9327357007606, -90.0727235818619)",3692244.79,523097.06
621 S Lopez St,621 S Lopez St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3672413.01,534482.27
2221 Delachaise St,2221 Delachaise St,Short Term Rental Residential Owner,2.0,4.0,02/16/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3672970.03,523559.09
2009 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental ResidentialO wner,2.0,4.0,10/09/2023 10:59:09 AM,"(29.9453933043394, -90.049996322177)",3684833.36,539731.12
628 BaronneSt Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,11/13/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679834.0,528860.66
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4.0,8.0,03/21/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3670893.28,517466.12
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,2.0,4.0,03/22/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3686323.7,531219.56
1920 Elysian Fields Ave,1920 Elysian Fields Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 21:00:00 AM,"(30.0946255291455, -89.7670573024888)",3684645.11,539420.77
CASA PLEICAN LLC,712 PELICAN ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
4108 Laurel St,4108 Laurel St,Short Term Rental Residential Owner,3.0,6.0,08/01/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3672133.8,518111.99
334 Carondelet St Uni 204,34 Carondelet St Unit 204,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3680492.28,529868.19
1666 N Claiborne Ave,1666 N Claiborne Ave,Short Term Rental Commercial Owner,4.0,8.0,11/14/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3682754.68,537818.98
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3669262.8,517292.28
1429 N Claiborne Ave Apt J,14i29 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2.0,4.0,11/15/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3681257.22,536907.97
301 Magazine St Apt 201,301 Magazine St Apt 201,Short Term Rental Commercial Owner,2.0,4.0,11/17/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3681589.71,529678.84
1316 Frenchmen St,1316 Frenchmen St,Short Term Rental Residential Owner,1.0,2.0,11/14/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3684490.12,537163.28
2036 Magazine St Apt 2,2036 Magazine St Apt 2,hort Term Rental Commercial Owner,3.0,6.0,03/20/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3679317.71,522372.05
2709 Dryades tS,2709 Dryades St,Short Term Rental Residential Owner,4.0,8.0,07/24/2023 08:26:51 AM,"(29.9436221825203, -90.0784593414273)",3675484.38,523586.73
2363 N Villere St,2363 N Villere St,Short Term Rental Residential Owner,1.0,2.0,10/25/2023 0353:59 PM,"(29.9453933043394, -90.049996322177)",3686216.78,537547.89
3125 Toulouse St,3125 Toulouse St,Short Term Rental Residential Owner,2.0,4.0,10/23/2023 08:40:42 AM,"(29.9298147625628, -90.0924066302005)",3675028.48,537680.22
6212 Spain St,6212 Spain St,Short Term Rental Residential Owner,1.0,2.0,11/17/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3684504.04,556022.65
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3662534.33,529222.91
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3669233.77,517289.19
505 Frenchmen St,505 Frenchmen St,Short Term Rnetal Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
4110 Piedmont Dr,4110 Piedmont rD,Short Term Rental Residential Owner,1.0,2.0,05/04/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3684953.73,547746.28
3927 Eagle St,3927 Eagle St,ShortTerm Rental Residential Owner,1.0,2.0,06/29/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3666816.03,537321.59
529 Third St,529 Third St,Short Term Rental Commercial Owner,5.0,10.0,11/04/2022 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3678717.39,519530.92
3412 Prytania St,3412 Prytania St,Short Term Rentalw Commercial Owner,4.0,8.0,05/04/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3674293.76,520937.9
2260 St Claude Ave,2260 St Claude Ave,Short Term Rental Commercial Owner,5.0,10.0,05/04/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3685600.9,536320.38
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1.0,2.0,04/29/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3686967.09,534450.38
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3.0,6.0,05/04/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3687424.79,537521.98
504 David St,504 David St,Short Term Rental Commercial Owner,5.0,10.0,04/06/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3671898.56,539691.96
505 Frenchmen St,505v Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3684783.85,534209.51
428 Opeloqusas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2.0,4.0,05/04/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3686831.51,529198.45
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3686287.25,553953.02
503 N Salcedo St,503 N Salcedo St,Short Term Rental Commercial Owner,3.0,6.0,01/15/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3679427.22,521541.52
2224 Marais St Apt 1A,2224 Marais St Apt 1A,Short Tem Rental Residential Owner,2.0,4.0,07/18/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3685271.62,536652.74
135 N Clark St,135 N Clark St,Short Term Rental Commercial Owner,3.0,6.0,06/30/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3673053.1,537318.3
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3.0,6.0,05/11/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3679870.04,528679.79
828 Girod St Apt 304,828 Girod St Apt 304,Short Term Rental Commercial Owner,3.0,6.0,05/12/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3679852.25,528664.6
88 Girod St Apt 603,828 Girod St Apt 603,Short Term Rental Commercial Owner,3.0,6.0,05/12/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3679872.0,528667.85
828 Girod St Apt 303,828 Girod St Apt 303,Short Term Rental Commercial Owner,3.0,6.0,05/12/2023 11:59:59 PM,"(29.9477103063624, -90.0733695134786)",3679853.12,528670.46
