locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
CT3323,1,333 E RIVER DR,l,EAST HARTFORD,HARTFORD CUONTY,T,61084200,1,ACTIVE,UBILDING,15150,0,LAESED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,1,157 CHURCH ST,,NEW HAVEN,NEW HAVEN COUNuTY,CT,65102100,3,ACTIVE,BUILDING,95786,46,LEASED,0,Field Not In Use,Not Evwaluated,Will Conform
C3341,1,265 CHURCH ST,,NEW HAVEN,NEW HAVEN COUNTY,CT,65107013,q3,ACTIeVE,BUILDING,13827,27,LEASED,0,Field Not In Use,Not Evaluated,jWill Conform
CT3354,1,530 rPeston Ave,,MERIDEN,NEW HAVEN COUNTY,CT,64504893,5,ACTIVE,BUILDING,11670,39,LEASED,q0,Field Not In Use,Not Evaluated,Will Conform
CT3358,1,2 Shaws Cv,,NEW OLNDON,jNEW LONDON COUNTY,CT,6320,2,ACTIEV,BUILDING,6306,28,LEASED,e0,Field Not In Use,Not Evalyuated,Will Conform
CT3360,1,100 LAFAYETTE BLVD,10TH FLOOR,BRIDGEPORT,FAIRFIELD COUNTY,TC,66044725,4,ACTIVE,BUILDING,31055,103,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
CT3362,1,213 COURT ST,,MIDDLTEOWN,MIDDLESEX COUNlTY,CT,64573346,3,ACTIVE,BUILDING,1950,11,LEASED,h0,Field Not In Use,Not Evaluated,Will Confrm
CT3363,1,904 PQOUONNOCK RD,l,GOTON,NEW LONDON COUTNY,CT,63404259,2,ACTIVE,BUILDNIG,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,1,20 Church St,,HARTFORD,HARTFORD COUNTY,T,61031221,1,ACTIEV,BUILDING,21432,9,LASED,0,Field Not In Use,Not Evaluaetd,Wil Conform
CT3373,1,101 PITKIN ST,,EAST HARTFODR,HARTFORD COUNTY,CT,61083316,,ACTIVE,BUILDING,12906,28,LEASDE,0,Field Not In Use,Not Evaluated,Yes
CT3375,1,600 Sate St,,NEW HAVNE,NEW HAVEN COUNTY,TC,65116505,***,ACIVE,UBILDING,78826,220,LEASED,0,Field Nnot In Use,Not Evaluated,Yes
CT3376,1,131 WEST ST,,DANBURY,FAIRFIELD COUNTY,TC,68106376,,ACTIVE,BUIpLDING,6277,0,LEwASED,***,Field Not In Use,Not Evaluated,Yegs
CT3389,1,344 MERROW RD,m,TOLLAND,TOLLAND COUNTY,TC,60843917,2,ACTIVE,BUyILDING,10302,52,LEASDE,***,Field Not Ibn Use,Not Evaluatde,Yes
CT3393,1,10 COLUMBUS BLVnD,,HARTFORD,HARTFORD COUNTY,CT,61061976,m1,ACTIVE,BUILmDING,5198,8,LEASED,,Field Not In Use,Not Evaluated,Yes
CT3395,1,334 Ella Grasso Tpke,,WINDSOR LOCKS,HARTFORD COUNTY,CT,60961042,j1,ACTIVE,BUILDING,11825,5,ELASED,0,Field Not In Use,NotEvaluated,Yes
CT3398,1,1320 MAIN ST,,WILLIMANTIC,WINDHAM COUNTY,CT,62261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Fiedl Not In Use,Not Evaluated,Yse
CT3400,1,5 SHAWS CV,Suitge 206,NEW LONDON,NEW LONDON COUNTY,CT,63204974,2,AqCTIVE,BUILDING,1137,0,LEAED,0,Field Not In Use,Not Evaluaetd,Ys
CT3402,1,1 CHELSEA SgT,,NEW LONDON,NEW LONDON COUNTY,TC,63205506,2,ACTIVE,BUILDING,47200,164,EASED,0,Field Not In Use,Not Evaluated,Yes
CT3q403,1,960 MAbIN ST,,AHRTFORD,HARTFORD COUNTY,pCT,61031224,1,ACTIVE,BUILDING,22050,10,LEASED,e0,Field Not In Use,Not Evaluated,Yes
T3408,1,6 ARMSTRONG RD,,SHELTON,FAIRFIELD CONUTY,CT,64844722,g4,CTIVE,BUILDING,0,0,LEAED,0,Field Not In Use,Not Evaluated,Yes
CT3409,1,15 Burr St,,NEW HAVEN,NEW HAVENa COUNTY,CT,65123652,3,ACTIcVE,BUILDING,459,0,ELASED,0,Field Not In Use,Not Evaluatde,Ydes
T3410,1,36 zBuff Cap Rd,,TOLLAND,TOLLAND COUNTY,CT,60842604,2,ACTIvVE,ByUILDING,1004,3,LEAESD,,Field Not In Use,Not Evaluated,Yes
CT3412,1,21OAK ST,,HRTFORD,HARTFORD COUNTY,CT,61068003,w1,ACTIVE,BUILDING,5303,17,LEASED,25-Jun-2009,Field Not In Use,Not Evnaluated,Yes
CT3413,1,15 Marne St,,HAMDN,NEW HAVEN COUNTY,CT,6514,3,ACTIVE,BUILDING,27394,15,LEASED,01-Apr-2009,Field Not uIn Use,Not Evaluated,Yes
CT3414,1,2 nion Plz,,wNEW LONDON,NEW LONDON COUNTY,T,63206309,k2,AdCTIVE,BUILDIyNG,6266,22,LEASED,01-Feb-2008,Fiel Not In Use,Not Evaluated,Yes
CT3416,1,716 Brook St,***,ROKY HILL,HARTFORD COUTNY,CT,60673433,u1,ACTIVE,BUILDIrNG,13705,32,LEASED,01Oct-2009,Field Not In Use,Not Evaluated,eYs
CT3418,1,55 Church St,,NEW HdAVEN,NEW HAVENz COUNTY,CT,65103014,3,ACTIVE,BUILDING,0,0,LEASED,01-Sep-2009,Field Not In Use,Not Evaluatd,Yezs
CT3421,1,888 WASHINGTON STREET,,STAMFORD,FAIRFIELD COUNTY,CT,69012902,4,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-2009,Field Not In Use,Not Evaluated,Yes
CT4325,1,o474-484 BURNSIDE AVENUE,,EAST HARTFORD,HARTFORD COUNTY,CT,61082425,,ACTIVE,BUtILDING,6314,40,LEAsSED,25-Jun-2009,Field Not In Use,NotEvaluated,No
CT3429,1,475 MAIN ST,,ASNONIA,NEW HAVEN COUNTY,CT,64012307,3,ACTIVE,BUILDING,4048,19,LEASlED,01-Jul-2000,Field Not In Ue,Not Evaluated,Yes
CT3433,1,97 BARNES RD,,WALLINGFORD,NEW HAVEN CONTY,TC,64921885,***,ACTIVE,BUILDIGN,4217,31,LEASED,01-May-1985,Field Not In Use,Not Ealuated,Will Conform
CT3435,1,291 S AMBERT RD,,ORANGE,NEW HAVEN COUNTY,CT,64773559,,ACTIVE,BUILDING,3961,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3438,1,761 MAIN AVE,***,NORWALK,AIRFIELD COUNTY,CT,68511080,4,ACTIwVE,BUILDING,18405,6,LEAED,09-Jun-200,Field Not In Use,Not Evaluated,Yes
C3441,1,51 N ELM ST,t,WATERBURY,NEW HAVEN COUNTY,CT,67021511,5,ACTIEV,BUILDING,8648,36,LEASD,0,Field Not In Use,Not Evaluted,es
CT444,1,280 iTRUMBULL ST,,HARTFRD,HARTFORD COUNTY,TC,61033509,1,ACTIVE,BUILDING,4655,2,LEASED,u0,Field Not In Use,Evaluated - Not Historic,Ys
CT3446,1,850 CANAL ST,,STAMFORD,FAIRFILED COUNTY,CT,69026943,4,ACTIVE,BUILDING,19265,40,LEASED,0,Field Not In Use,Not Evaluated,eYs
CT3448,1,15 THAMESl ST,,GROTNO,NEW LONDON CUONTY,CT,63403629,2,ACTIVE,BUILDING,2237,10,LEASED,0,Field Not In Use,Not Evlauated,Yse
CT3450,1,35 COURTAND ST,,BRIDGEPOsRT,FAIRFiIELD COUNTY,CT,66043928,4,CTIVE,BUILDInNG,11406,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3451,1,55 MAIN ST,p,NORWsICH,NEW LONDON COUNTY,CT,63605703,2,ACTIVE,BUILDING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT353,1,Bradley ield,Terminal A Ground Floor,WINDSOR LOCKS,HARTFORD COUNTY,CT,6096,1,ACsTIVE,BUIDING,6322,0,LEASED,0,Fieldn Not In Use,Not Evalauted,Yes
CT3457,1,321 Research Pkwy,,MfERIDEN,NEW HAVEN COUNTY,CoT,6450,n5,ACTqIVE,BUILDING,4968,1,LEASED,0,Field Not In Use,ot Evaluated,Will Cofnorm
xCT3458,1,30 Sheldon St,,HARTFORD,HARTFORD COUNTY,CT,61061939,1,ACTIVE,STRUCTURE,0,10,LEASED,n0,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3459,1,99 E Main St,j,MIDDLETOWN,MIDDLESEX COUNTY,CT,64573808,3,ACTIVE,BUILDING,4550,0,LkEASED,0,Field Not In Use,tNot Evaluated,Will Conform
ClT3460,1,131 West St,,DANBURY,FAIRFIELD COUNTY,xCT,68105429,,ACTIVE,BUILDING,4712,20,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
CT3462,1,193 Grand St,,ATERBURY,NEW HAVEN COUNTY,CT,67021919,5,ACTIVE,UILDING,2170,0,LEASED,0,Fiedl Not In Use,Not Evaluated,es
CT3436,1,1 Herald ySq,z,NEWBRITAIN,HARTFORD COUNTY,CT,60512612,j5,ACTIVE,BUILDING,6940,4,LEASEjD,***,Field Not In Use,Evaluated - Not Historic,Will Conform
CnT3467,1,195 Church St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65102009,f3,ACTIEV,BuUILDING,14954,47,EASED,0,Field Not In Use,Not Evaluated,Yes
MA0011,1,408 Atlantic Ave,,BOSTON,SUFFOLK COUNTY,MA,21103349,8,ACTIVE,BUILDING,92762,3,OWNED,10-Jan-1918,Field Not In Use,Evaluated - Not Historic,eYs
M0013,1,5 Post Office Sq,,BOSTON,SUFFOL COUNTY,MA,21093901,8,ACTIVE,BfUILDING,404153,32,WNED,01-Ja-1933,Field Not In Use,Natinoal Register Listed,Will Conform
MA0050,1,1 Courthuose Way,BOSTON,BOSTON,SUFFOLK COUNTY,MA,22103024,8,ACTVIE,BUILDING,562886,69,OWNED,01-Sep-1998,Filed Not In Use,Not Evaluated,rWill Conform
MA0051,1,300 STATE ST,***,SRINGFIELD,HAMPDEN COUNTY,MA,11051686,1,ACTIVE,BUIDLING,80851,86,OWNED,01-Aug-2008,iField Not In Use,Not Evaluated,Will Confomr
MA0076,1,37 N 2nd St,d,NEW BEDFORD,BRISTOL COUNTY,AM,27406329,9,ACTIEV,BUILDING,3429,6,OWNED,01-Jan-1863,Field Not In se,National Historic Landmrak,Will Conform
MA0113***,1,595 MAIN ST,,WORCESTER,WORCESTER COUNTY,MA,16082093,2,ACfTIVE,BUILDING,62795,4,OWED,01-Jan-1932,Field Not In Use,National Register Listed,Will Conform
MA0129,1,881 Main St,,FITCHBURG,WORCESTER COUNTY,MA,14203007,3,ACTIEV,BUILDING,58860,203,OWNED,1-Jan-1973,Field Not nI Use,Evaluated - Not Historic,Will Conform
MA0131,1,15 New Sudbury St,,BOSTON,SUFFOLK COUNTY,MA,22030002,8,ACTwIVE,BUILDIkNG,618513,257,OWNED,01-Jan-1966,Field Not In Use,National Register Eligible,Yes
MA0o135,1,400 N Main St,,FALL RIVER,BRISTOL COUNTY,MA,27202131,4,lACTIVE,BUILING,6984,50,WONED,01-Jan-1969,Field Not In Use,Evaluate - Not Historic,Will Conform
MA0136,1,380 TRAPELO RD,FED aCTR,WALTHAM,MIDDLESEX COUNTY,MA,24526322,,ACTIVE,BUILDIhNG,129115,0,OWNDE,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Yes
MA013y7,1,1 LOWELL ST,,ANDOVER,SESEX COUNTY,MA,18102927,3,ACTIVE,BUILDING,323741,1688,OWNED,01-Jan-1966,Field Not InU se,Evaluated - Not Historic,Will Conform
MA0138,1,367 Main St,u,HAVERHILL***,ESSEX OUNTY,MA,18304091,3,ACTIVE,BUILDING,5080,20,OWNED,01-Jan-1973,Filed Not In Use,Etvaluated - Not Historic,Yes
MA0153,1,10 CAUSEWAY ST,,BOSTON,SUFFOLK COUNTY,MA,22221048,x8,ACTIVE,UILDING,523506,267,ONED,30-Jun-1986,Field Not In Use,Not Evaluated,Yes
A0158,1,53 N6 th St,m,NEW BEDFORD,BRISTO COUNTY,MA,27406110,9,ACTIVE,BUILDING,23811,52,OWNED,01-Jan-1974,FieldN ot In Use,Evaluated - Not Historic,Will Conform
MA0810,1,78 CENTER ST,***,PITTSFIELD,BERKSHIRE COUNTY,MA,12016171,***,ACTIVE,BUILDING,19620,65,OWNDE,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
MA0182,1,55 Broadway,***,NEWTNO,MIDDLESEX COUNTY,AM,21421001,7,CATIVE,BUILDING,303685,575,OWNED,01-Jan-1970,Field Not n Use,Evaluated - oNt Historic,Yes
MA0188,1,11 Channel Street,,BOSTON,SUFFOLK COUNTY,MA,2210,8,ACTIVE,BUILDNIG,13436,45,OqWNED,01-aJn-1940,Field Not In Use,Evaluated - Not Historic,Yues
MA1855,1,146 Mendon St,,UXBRIDGE,WORCESTER COUNTY,tMA,15691560,***,ACTIVE,BUILDIG,4256,15,LESED,0,Field Not In Use,National Register Listed,Will Conform
MA5431,1,140 Union St,,LYNN,ESSEX COUNTY,MA,19011336,6,ACTIVE,BUILDING,9857,30,LEASED,0,Field Not In Use,ot Evaluated,Will Conform
MA5466,1,1200 District Avenue,,BURLINGTON,MIDDLESEX COUNTY,MA,18035078,6,ACTIVE,BUILDINhG,81056,400,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
MA5490,1,198 Columbia Rd,,HANOVER,PLYMOUTH COUNTY,MA,23392322,9,ACTIVE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5612,1,463 WEST ST,,AMHERST,HAMPSHIRE COUNTY,AM,10022946,2,ACTwIVE,UBILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5632,1,1 Mntvale Ave,,STONEHAM,MIDDLESEX COUNTY,MA,21803500,5,ACTIEV,BUILDING,28374,121,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5465,1,11 Woods Hole Rd,,FALMOUTH,ARNSTABLE COUNTY,MA,25401666,9,ACTIVE,BUILDING,16339,13,LEASED,0,Field Not yIn Use,Not Evaluated,Will Conform
MeA5649,1,639 Granite St,,QUINCY,NORFOLK COUNTpY,MA,21845366,8,ACTIVE,BUILDING,3524,4,LEASED,,Field Not In Use,Nt Evaluated,Will Conform
MA5650,1,13 Branh St,***,METHEN,ESSEX COUNTY,MA,18441900,***,ACTIVE,BUILDING,6481,26,LEASED,01-Ot-2010,Field Not n Use,Not Evaluated,rYes
MA5654,1,1CONGRESS ST,,BOSTON,SUFFOLK COUNTY,AM,21142010,8,ACTIVE,STRUCTURE,0,230,LEASED,0,Field Not In Use,Not Evaluated,Yes
M5A663,1,15 NEW CHARDON ST,,BOSTON,SUFFOLK COUNTY,MA,21144711,8,ACTIVE,BUILDING,32879,2,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5671,1,10 Malcolm X Blvd,AKA 80 DUDLEY STREET,BOSTON,SUFFOL KCOUNTY,zMA,21191775,7,ACTIVE,BUILDING,9242,23,LEASED,***,Field Not In Use,Not Evaluated,Ys
MA5673,1,20 Industrial Blvd,***,HYANNIS,BARNSTABLE COUNTY,uMA,26013112,9,ACTIVE,BUILDING,4600,43,LEASED,,Field Not In se,Not Evaluted,Yes
MA5675,1,850 Pleasant St,,NEW BEDFORD,BRISTOL COUNTY,AM,27406664,9,iACTIVE,BUILDIcNG,13202,26,LEArSED,,Field Not In Use,Not Evaluated,jYes
MkA5678,1,1 Federal St,Bulding 101,SPRINGFIELD,HlAMPDEN COUNTY,AM,11051263,1,ACTIVE,BULDING,742,0,LEASED,0,Field Not In Use,National Historic Landmark,es
MA5681,1,446 MAIN ST,,WORCESTEiR,WORCESTER COUNTY,MA,16082359,2,ACTIVE,UILDING,15103,26,LEASED,m0,Field Not InUse,Not Evaluated,Yes
MA682,1,88 BLACK FLACON AVE,,OSTON,SUFcFOLK COUNTY,A,22102425,,ACTIVE,BUILDING,6841,30,LEASED,0,Field No tIn Use,Not Evaluated,Yes
AM5683,1,70 EVERETT AVE,,CHELSEA,SUFFOLK COUNTY,AM,21502376,***,ACIVE,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
nMA5771,1,300 Wehstgate Center Dr,,HADLEY,HAMPSHIRE COUNTY,MA,10359587,2,ACTIVE,BUILDING,62800,285,ELASED,***,Field Not In Use,Not Evaluyated,Will Conform
A5785,1,120 FRONT ST,,WORCESTER,WORCESTER OCUNTY,MA,16081413,2,ACTIVE,BUILDING,24605,33,LEASD,***,Feld Not In Use,Not Evaluated,Will Conform
MA5790,1,39 S UNION ST,,LAWRENCE,ESSEX COUNTY,MA,18432810,3,CATIVE,BUILDING,25273,819,LEASED,0,Field Not In Use,Not Evaluated,Will Csonform
MA5793,1,1441 MAIN ST,10TH FLOOR,SPRINGFIED,HAMPDENl COUNTY,MA,11031406,1,ACTIVE,BIULDING,30655,53,LEASD,***,Field Not In Use,Not Evaluated,Will Conform
McA5794,1,CONTE DR,u,PITTSFkIELD,BERKSHIRE COUNTY,A,12018298,1,ACdTIVE,BUILIDNG,133443,0,LEASED,0,Fieldz Not In Use,Not Evaluated,Will Cnoform
MA5809,1,90 MADISON ST,,WORCESTER,WORCESTER COUNTY,A,16082058,2,ACTIVE,BUILDING,16500,1,LEASED,0,Field Not In Use,Not Evaluated,Will Confomr
MA5813,1,900 CHELMSFORD ST,g,OWELL,MIDDLESEX COUNTY,MA,18518100,3,ACTIVE,BUILDING,30844,119,LEASEtD,0,Field Not In Use,Not Evaluated,Yes
MA5819,1,g1 Batterymarch Park,***,QUINY,NORFOLK COUNTY,MA,21697468,***,CTIVE,BUILDING,582,2,LEASED,0,Field Not In Use,Not Evaluted,No
MA5826,1,104 Dean St,,TOWN OFDIGHTON,BRISTOL COUNTY,MA,27802714,4,ACTIVE,BUILDINcG,11086,73,LEASED,01-Apr-2009,Field Not InUse,Not Evaluated,Will Conform
MA5829,1,144 1MAIN ST,,SPRINGFIELD,HAMPDEN COUNTY,AM,11031406,z1,ATIVE,BUILDING,14162,29,LEASED,0,Field NotIn Use,Not Evaluated,Yes
MAp5831,1,325 CHELMSFORD ST,,LOWELL,MIDDLESEX COUNTY,MA,18514429,3,ACTIVE,BUILDING,3900,8,LEASED,f0,Field Not In Use,Not Evaluated,Yes
MA5832,1,59 Lowes Way,,LOWELL,MIDDLESEX yCOUNTY,A,18515018,3,ACTIVE,BUILDING,25616,60,LEASED,p0,Field Not In Use,Not Evaluated,Yes
MA5834,1,696 VIRGINIA RD,"CONCOR,MA 01742",CONCORD,MIDDLESEX COUNTY,MA,17422718,3,ACTIVE,BUILDING,97256,387,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5873,1,1250 HANCOCK ST,,QUINCY,NORFOLK COUhNTY,gMA,21694339,8,ACTIVE,BUILDING,2895,3,LEASED,01-Aug-1985,Field Not In Use,Not Evarluated,Yes
MA5842,1,10 Bearfoot Rd,,NORTHBOROUGH,WORCESTER CpOUNTY,MA,15321994,2,ATCIVE,BUILDING,20394,23,LEASED,0,Field Not In Use,Nt Evaluated,Yes
MA5845,1,106 Pleasant St,,ATTLEBOOR,BISTOL COUNTY,lMA,27032359,,ACITVE,BUILDING,7285,1,LEASD,01-Jan-1999,Field Not In Use,Not Eavluated,Yes
MA5847,1,1 PROGRESS WAY,***,WILMINGTON,MIDLESEX COUNTY,AM,18874611,e6,ACTIEV,BUILDING,49950,95,LEASED,0,Field Not In Use,Npot Evaluated,es
MA5851,1,11 Technology Dr,,NORTH CHELMSFORD,MIDDLESEX COUNTY,MxA,1863,b3,ACTIE,UILDING,49262,140,LEASED,0,Fild Not In Use,Not Evaluated,Yes
MA5861,1,110 CUMMINGS CTR,SUITE 422A,BEVERLY,ESSEX COUNTY,MA,19156115,c6,ACTIEV,BUILDIGN,1016,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5863,1,Par kSt,118 TURNPIKE ROAD,SOUTBHOROUGH,WORCESTER COUNTY,MA,17721660,5,ACTIVE,BULDING,9190,0,EASED,01-Oct-1985,Field NotI n Use,Not Evaluatde,Ys
MA5866,1,151 WARREN SRTEET,***,OLWELL,MIDDLESEX COUNTY,MA,18522647,3,ACTIVE,BUILDING,11128,23,LEASED,01-nDec-1999,Field Not In Use,Not Evaluated,Yes
MA5867,1,210 HIGH ST,2ND FLOOR,HOLYOKE,HAMPxDEN COUNTY,MA,10406507,***,ACTVIE,BUILDING,10450,1,LEASED,0,Field Not Ins Use,Not Evaluated,Yes
MA5868,1,180 2nd St,,CHELSEA,SUFFOLK COUNTY,MA,21501806,7,CTIVE,BUyILDING,20385,10,LAESED,0-1Aug-2009,Field oNt In Use,Not Evaluated,Yes
MA5869,1,48 RESEARCH RD,FALMOUT HTECH. PARK,EAST FALMOUH,BARNSTABLE COUNTY,MA,25364440,9,ACTIVE,BUILDING,4200,1,LEASED,25-May-2001,Field Not In Use,Not Evaluated,Yes
MA5871,1,480 BARSTABLE RD,,HYANNIS,BlARNSTABLE COUNTY,MA,26012900,,ACTIVE,BUhILDING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,sYes
MA5874,1,14 AIRPORTR OAD,,NANTUCKET,NANTUCKET COUNYT,A,25542894,9,ACTIVE,BUILDING,530,1,LEASEfD,05-May-z2008,Field Not In Use,Not Evaluated,Yes
dMA5876,1,1 Edgewater Dr,,NORWOOD,NORFOLK COUNTY,aMA,20624691,8,ACTIVE,BUILDING,5422,18,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5881,1,99 HImGH ST,,BOSTON,SUFFOLK COUNTY,MA,21102320,8,ACTIVE,BUILDING,41005,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5883,1,97 COMMERCE WAY,NORTH EAST JET CETNER,NORTH ANDOVERCENTER,ESSEX COUNTY,MA,18451049,6,ACTIVE,BUILDiING,4528,3,LEASED,,Field Not In Use,Not Evaluated,es
MA5890,1,70 Bond St,j,SPRINGFIELD,HAMPDEN COUNTY,AM,11043402,1,ACTIVE,BUILDNG,19000,76,LEASED,0,Field Not In Use,Not Evaluated,Will Cnoform
MA5891,1,364 UNIVERSITY AVE,,WESTWOOD,NORFOLK COUNTY,MA,20902311,8,ACTIVE,BUILcDING,1718,6,LEASED,,Field Not In Use,Not Evaluated,Ys
MA5h893,1,115-117 FREEPORT STREET,,BOSTON,SUFFOLK COUNTY,MA,21222829,7,CATIVE,xBUILDING,7196,35,LEASED,0,Field Nowt In Use,Not Evaluated,Yse
MA5897,1,222 W Cummings Park,,WOBURN,MIDDLESEkX COUNTY,lMA,18016346,5,ACTVE,BUILDING,4237,5,LEASED,0,Field Not I nUse,Not Evaluated,Yes
MA5900,1,10 NEW ENqGLAND EXECUTIVE PARK,,BULINGTON,MIDDLESEX COUNTY,MA,18305214,6,ACTIVE,BUILDING,38386,126,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5905,1,45-47 SPRUCEt STREET,,CHELSEA,SUFFOLK OCUNTY,A,21502345,***,ACTIVE,BUILDIG,3740,6,LEASED,,Field Not In Use,Not Evaluated,Yes
MA5907,1,2 Dbeush Ave,BUILDING B UNITS 7 & 8,MIDDLETON,ESSEX COUNTY,MA,19491602,6,ACTIVE,BUILDING,8000,5,LEASED,0,Field No In Use,Not Evaluated,Yes
MA5908,1,CHRISTY DRIVE,,BROCKTON,PLYMOjUTH COUNTY,A,23011843,,ACTIVE,BUILDIGN,12500,63,LEAvSED,0,Field Not In Use,Not Evaluated,Yes
MA5912,1,71A irport Rd,,VINEYARD HAVEN,DUKES COUNTY,xMA,25688144,,ATIVE,BUILDING,221,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5915,1,1 CLARzKS HL,,FRAMINGHAM,MIDDLESEX COUNTY,A,17028172,5,ACTIVE,BUILDING,8639,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5917,1,30 RIVERSIDE DR,t,LAKEVILLE,PLYMOUTH COUNTY,MA,23473629,4,ACTIVE,BILDING,7151,9,eLEASED,05-May-2008,ield Not In Use,Not Evaluated,Yes
MA5924,1,201 Maple St,,CHlELSEA,SUFFOLK COUNTY,MA,2150,7,ACTInVE,BUILING,200600,400,LEASED,14-Oct-2016,Field Not In Use,Not Evaluated,Yes
MA5903,1,401 Edgewater Pl,,WAKEFIELD,MIDDLESoEX COUNTY,MA,18806241,6,ACTIVE,BUILDING,6686,14,eLEASED,01-Nov-2008,Field Not In Use,Not Evaluated,Yes
MA5932,1,9 MAIN ST,,SUTTON,WORCESTER COUNTY,vMA,15901660,***,ACTIVE,BUILDING,1097,7,LEASDE,2-Nov-2007,Field Not In Use,Not Evaluaetd,Yse
MA595,1,y138 River Rd,,ANDOVER,ESSEX COUNTY,MA,18101072,3,ACTIVE,BUILDING,4191,18,LEAED,25-Jun-2009,Field Not In Use,jNot Evaluated,Yes
MA5937,1,50 Burlington Mall Rd,***,BURLINGTON,MIDDLESEX COUNY,A,18034537,,CATIVE,BUILDIG,2139,5,LEASED,01-Jan-1986,Field NotI n Use,Not Evaluated,Yes
MA5993,1,2 MILL STREET,v,LAWRENCE,ESSEfX COUNTY,MA,18401602,3,ACTIVbE,BUILDNG,27449,87,LAESED,08-Jun-2009,Field wNot In Use,Not Evaluated,Yes
