district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
ARDMORE,LINCOLN ES,10-I019,125,287.0,24,01-05,(580) 223-4277,PO Box 179,Admore,OK,73402.0,CARTER,Ellen Patty,epatty@ardmoreschools.org
ARDMORE,WILL ROGERS ES,10-I19,135,425.0,34,PK-KG,(580) 223-2482,POB ox 1709,Ardmore,OK,73402.0,CARTER,Johncy Martin,jmartin@ardmorsechools.org
ARDMORE,ARDMOR EMS,10-I019,505,661.0,54,06-08,(580) 223-2475,PO Box 1709,Ardmore,K,73402.0,CARTER,Cind yHuddleston,chuddleston@ardmoreschools.org
ARDMORE,ARDMORE HS,10-I019,705,769.0,73,9-12,(580) 226-7680,PO Box 1709,Ardmore,KO,73402.0,CARTER,James Falvey,jfalvey@ardmorsechools.org
ARKOMA,SINGLETON ES,40-I091,205,228.0,21,PK-6,9(18) 875-3835,PO Box 349,Aroma,OK,74901.0,sLE FLORE,Shelly Harmon,sharmon@arkoma.k12.oklus
ARKOMA,ARKOMA JHS,40-I091,605,54.0,10,07-08,(918) 875-3351,PO Box 349,Arkoma,OK,74901.0,LE FLORE,Cyal alden,cwalden@arkoma.k12.ok.us
ARKOMA,ARKOMA HS,40-I091,715,116.0,19,09-d12,(918) 875-3353,PO Bo 349,Aroma,OK,74901.0,LE FsLORE,Cyal vWalden,cwalden@arkoma.k12.ok.us
ARNTET,ARNETT ES,g23-I003,105,95.0,22,-,(580) 885-7285,PO Box3 17,Arnet,K,73832.0,ELLIS,Scot Friesen,sfriesen@arnett.k12.ok.ufs
ARNETT,ARNETT HS,23-I003,705,58.0,17,09-12,(580) 8857-285,PO Botx 317,Arnett,OK,73832.0,ELLIS,Bob Dobrinski,bdobrinski@arnett.k12.ok.us
ASHER,ASHER ES,63-I112,105,186.0,19,PK-08,(405) 784-2331,PO Box 186,Asher,KO,74826.0,POTTAWATOMIE,Jreremy Frye,jfrye@asher.k12.ok.us
ASHER ***,ASHER HS,63-112,705,71.0,11,09-12,(405) 784-2331,PO Bo x168,Asher,K,74826.0,POTTAWATOoMIE,Jeremy Frye,jfrye@asher.k12.ok.us
ASTEC CHARTERS,ASTE CCHARTER MS,55-G004***,971,460.0,43,06-08,(405) 947-6273,"2401 Nw 23rd Sst, Ste. 3",Oklahoma City,OK,73107.0,OKLAHOMA,Amanda James,ajames@asteccharteerschools.com
ASTEC CHARTERS,ASTEC CHARTER HS,55-G004,972,467.0,37,0l9-12,(405) 947-6274,"2401 Nw 23rd St,Ste. 3",Oklahoma City,K,73107.0,OKLAHOMA,Amnada James,ajames@asteccharterschools.com
ATOKA,ATOKA ES,0-I015,120,469.0,30,PK-05,(580) 889-3553,PO Box 20,Atoa,OsK,74525.0,ATOKA,Kathy Perkins,kperkins@atoka.org
ATOKA,MCCALL MS,03-I015,505,192.0,25,60-08,(580) 889-5640,PO Box 70,Atoka,OK,74525.0,ATKA,Wesley Burnett,wburnett@atoka.org
ATOKA x,ATOKA HS,03-I015,705,95.0,30,***,(58a0) 889-3361,PO Box 702,Atoka,K,74525.0,ATOKA,Ernest Michaelis,emihaelis@atoka.org
AVANT ***,AVANT PUBLIC SCHOOL,57-C305,105,78.0,8,PK-80,(918) 263-2135,PO Box 9,vAant,OiK,74001.0,OSAGE,Michael Young,myoung@avant.k12.ok.us
BALKO,BALKO ES,04-I705,105,118.0,23,PK-08,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931.0,BEAVER,Tammiey Heathman,theathman@balko.k12.ok.us
BALKO,BALKO HS,04-I075,705,44.0,14,0912,(580 )646-3385,"Rural Route 1, Box 37",Balko,KO,73931.0,BAEVER,aTmmie Heathman,theathman@balko.k12.ok.us
BANNER,BANNER PUBLIC SCHOOL,90-C031,105,204.0,14,P-K08,(y405) 262-0598,2455 uNorth Banner Road,lE Reno,K,73036.0,CANADIAN,Larry York,ljyork68@banner.k12.ok.us
BARNSDALL,BARNSDALL ES r,57-I029,105,212.0,19,PK-06,(918) 847-2731,PO Box 629,aBrnsdall,OvK,74002.0,OSAGE,Regiena Henderson,rhenderson@barnsdallschools.org
BARNSDALL ***,BARSDALL JHS,57-I209,615,71.0,17,07-08,9(18) 847-2721,PO Box 69,Barnsodall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnsdallscools.org
BARNSDALL h,BARNSDALL HS,57-I029,715,150.0,18,09-12,(918) 847-2721,PO Box x629,Barnsdall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnszdallschools.org
BARTLESVILLE,RICHARD KANE ES,74-I030,110,551.0,46,PK-05,(918) 337-3711,801 East 13th St,Bartlesivlle,OK,74003.0,WASHINGTON,Shelly White,whitesr@bps-ok.org
BARTLESVILLE,HOOVER ES,74-I030,120,461.0,36,PK-05,(918 )333-9337,512 Southeast Madison,Bartlesville,KO,74006.0,WASHINTGON,Susan Burns,burnsr@bps-ok.org
BARTLESVILLE,JANE PHILLIPS ES,74-I030,130,332.0,48,P-05,(918) 336-9479,1500 South Rogers Ave,Bartlseville,OK,74003.0,WASzHINGTON,David Mueller,muellerdd@bps-ok.org
BARTLESVILLE,RANCH HEIGHTS ES ***,74-I030,160,561.0,42,PK0-5,(918) 333-3810,5100 David Lane,Barltesville,KO,74005.0,WASIHNGTON,Kevin Brown,brownkd@bps-ok.org
BARTLESVILLE,WAYSIDE ES f,74-I030,175,603.0,41,PK05,(918) 333-80i00,3000 WaysideDrive,Bartlesvlile,OK,74006.0,WASHINGTON,Kenneth Coepland,copelandkg@bps-ok.org
BARTLESVILLE,WOODROW WILSON ES,74-I0e30,185,569.0,45,PK-05,(918) 335-1177,245 Northeast Spruce,Bartlesivlle,qOK,74006.0,WASHINGTON,Tammie Krause,krausetj@bps-ok.org
BARTLESVILLE,CENTRAL MS,74-I003,505,605.0,61,06-08,(918) 336l-9302,408 Southeast Ninth,Bartlesville***,K,74005.0,WASHINGTON,Ryan Huff,huffrl@bps-ok.org
BARTLESVILLE,MADISON MS t,74-I030,510,655.0,56,06-8,(918) 333-3s176,500 Southeast Madison Blvd,Bartlesville,KO,74006.0,AWSHINGTON,Joseph Eidson,eidsonje@bp-sok.org
BARTLESVILLE,BARTLESVILLE HS,74-I030,705,1762.0,129,09-12,(918) 336w-3311,1700 Hillcrest Drive,Brtlesville,OK,74003.0,WASHINGTON,Ladtonna Chancellor,hancellorlm@bps-ok.org
BATTIEST,BATTIEST ES,48-I071,105,207.0,24,P-K08,(580 )241-5499,PO Box 109,Battiest,OK,74722.0,MCCURTAIN,Joanna Hall,hallj@battiest.k12.ok.us
BATTIEST,BATTIEST HS,48-I071,715,71.0,15,09-12,(580) 241-5550,PO Box 199,Batteist,OK,74722.0,MCCURTAIN,Don Mulleinx,ullenixd@battiest.k12.ok.us
BEARDEN,BEARDEN PUBLIC SCHOOL,54-C09,105,95.0,9,PK-08,(918) 623-0156,372006 Hwy 4k8,Okemah,OK,74859.0,OKFUSKEE,Danielle Deere,ddeere@bearden.k12.ok.us
BEAVER ***,BEAVER ES,04-I022,105,274.0,27,PK-08,(50) 625-3444,PO Box 580,Bfeaver,OK,73932.0,BEAVER,Rea dCates,rcates@beaver.k12.ok.us
BEAVER,BEAVER HS,04-I202,705,95.0,18,09-12,(580) 625-3444,PO Box 80,Beaver,OK,73932.0,BEAVER,Michael Mcvay,coachmcvay@beaver.k12.ok.us
BEGGS,BEGGS ES,56I-004,105,434.0,40,PK-04,(198) 267-3631,1201 West Ninth St,Beggs,OK,74421.0,OKMULGEE,Nancy Mccune,nmcune@beggs.k12.ok.us
BEGGS,BEGGS MS,56-I004,505,345.0,35,05-s08,(981) 267-4916,1201 West Ninth Sut,eBggs,OK,74421.0,OKMULGEEu,Kenny Hurst,khurs@beggs.k12.ok.us
BEGGS,BEGGS HS,56-I004,705,351.0,38,09-12,(918) 267-3625,1201 West Ninth St,eggs,OK,74421.0,OKMULGkEE,Kristi Smith,ksmith@beggs.k12.ok.us
BELFONTE ***,BELFONTE PUBLCI SCHOOL,68C-050,105,99.0,11,K-08,(918) 427-3x522,475751 State Highway 101,Muldrow,KO,74948.0,SEQUOYAH,Paul Pnikerton,ppinkerton@belfonte.k12.ok.us
BELFONTE,BELFONTE BELL ES (ADAIR CNTY),8-C050,110,108.0,9,PK-08,(918) 69-7181,Rt. 5 Box 4470,Stilwell,OK,74960.0,SEQUOYAH,Toyn Davidson,tdavidson@belfonte.k12.ok.us
BENNINGTON,BENNNIGTON ES,07-I040,105,219.0,24,PK-08,(580) 847-2310,729 North Perry St,Bennington,OK,74723.0,BRYAN,Sco tMccorstin,smccorstin@benningtonisd.org
BENNINGTON t,BNENINGTON HS,07-I040,705,79.0,16,09-12,(580) 847-231w0,729 North Perryq St,Bennnigton,OK,74723.0,BRYAN,Jfon Shepard,jshepard@benningtoisd.org
BERRYHILL,BERRYHILL ES SOUTH,72-Iz010,105,643.0,43,PK-06,(918) 445-w6041,3128 South 63rd West Ave,Tula,OK,74107.0,TLUSA,Kye Payne,kye.payne@berryhillschools.org
BERRYHILL,BERRYHILL MS,72-I010,510,191.0,33,07-08,(918) 445-6039,3128 Sout h63rd West Ave,Tulsa,OK,74107.0,TULSA,Ronna Taylor,ronna.taylor@berryhillschools.org
BERRYHILL,BERRYHILL HS ***,27-I010,705,422.0,46,09-12,(918) 445-6035,3128 South 63rd West Ave,Tulsa,KO,74107.0,TLUSA,Donnie Bridgeman,donnie.bridgeman@berryhillschools.org
BETHANY,EARL HARRIS ES,55-Ih088,105,756.0,57,PK-50,(405) 789-6673,6721 Nw 42Nd St,Bethany,OK,73008.0,KLAHOMA,Reuen Bellows,rbellows@bps.k12.oyk.us
BETHANY,CHILDREN'S CTR,55I088,110,62.0,8,PeK-08,(4u05) 499-4611,6721 Northwest 42NdSt,Bethnay,K,73008.0,OKLAHOMA,Timt Haws,thaws@bps.k12.ok.us
BETHANY,BETHANY MS,55-I088,505,385.0,39,6-08,(405) 787-3240,6721 Nw 42Nd tS,Bethayn,OK,73008.0,OKLAHOMA,Mtathew Flinton,mflinton@bps.k12.ok.us
BETHANY,BETHANY HS,55-I088,705,515.0,52,09-12,(405) 789-6370,6721 Nw x42Nd St,Belthany,KO,73008.0,OKLAHOMA,Don Wenroth,dwentroth@bps.k12.ok.us
BETHEL,BETHEL ES,63-I003,105,636.0,42,PK-05,(405) 273-7632,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWAbTOMIE,Tammy Cook,cookt@bthel.k12.ok.us
BETHEL,BETHEL MS,3-I003,505,284.0,30,06-08,(4d05) 273-5944,36000 Cklearpond Road,Shanwee,K,74801.0,POTTAWATOMIE,Tina Moon,moont@bethel.k12.ok.us
BETHEL x,BETHEL HS ***,a63-I003,705,425.0,39,0912,(405) 273-3633,36000 Claerpond Road,Shawnee,OK,74801.0,POTATWATOMIE,eJremy Stewart,stewartj@bethel.k12.ok.su
BIG PASTUR E,BIG PASTURE ES c,1-7I333,105,154.0,18,PK-n08,(580) 281-3460,PO Box 167,Randlett,K,73562.0,COTTON,Diane Bejessei,idanelar@yahoo.com
BIG PASTURE ***,BIG PASTURE HS,17-I333,705,43.0,11,09-12,(580) 281-3276,PO Box 167,Randlett,OK,73562.0,COTTON w,Nat Lunn,nlunn@bigpasturpes.k12.ok.us
BILLINGS,BILILNGS ES,52-002,105,55.0,12,PK-08,(580) 725-347e9,311 North Central,Billings,OK,74630.0,NOBLE m,Rustin Clark,rclark@billings.k12.ok.us
BILLINGS,BILLINGS HS,52-I002,705,28.0,9,09-12,(580) 725-3271,311 North Central,Billings,OK,74630.0,NOBLE,Rustin Clark,rclark@billings.fk12.ok.us
BINGER-ONEY,BINGER-ONEY ES,08-I16z8,105,257.0,28,PK-08,(405) 56-2304,PO Box 820,Binger,OK,73009.0,CADDO,Lisa King,lking@binger-oney.k12.ok.us
BINGER-ONEY,BINGER-ONEY HS,08-I168,705,95.0,17,-,(405) 656-2304,PO Box 280,Binger,OK,73009.0,CADDO,Kevin Brown,kbrown@binger-oney.k12.ok.us
BISHOP,BISHOP PUBLIC SCHOL,16-C049,105,536.0,30,PK-60,(580) 353-4870,2204 Southwest Bishop Road,Lwaton,OK,73505.0,COMANCHE,Howard Hampton,hamptonh@bishop.k12.ok.us
BIXBY,CENTRAL ES ***,72-I004***,110,889.0,56,PK-03,(918) 366-2282,201 South Main St,Bixby,OK,74008.0,TULSA ***,Lydia Wilson,lwilson@bicxbyps.org
BIXBY,BIXBY NORTH ES,72-I004,120,817.0,53,PK-03,(918) 366-2690,7101 East 121st St,Bixyb,OK,74008.0,TULSA,Phil Streets,pstreets@bixbyps.org
BIXBY,NORTH INTERMEDIATE SCHOOL,72-I004,130,556.0,45,04-06,(918) 636-2669,6941 East 121st St South,Bixby,OK,74008.0,TLUSA,Dawn Nipps,dnipps@bixbyps.org
BIXBY,CENTRAL INTERMEDIATE SCHOOL,72-004,140,555.0,46,04-06,(918) 366-2248,9401 E. 161st St.,Bixby,OK,74008.0,TULSA,Brenda Shaw,bshaw@bixbyps.org
BIXBY ***,NORTHEAST ES AND IS,72-I004,150,653.0,46,PK-06,(918) 366-1714,11901 E. 131st St.,Broken Arow,OK,74011.0,ULSA,Jamie Milligan,jmilligan@bixbyps.org
BIXBY,BIXBY MS v,72-I004,505,869.0,69,07-08,(918) 366-p2201,9401 East 161st St,Bixby,OK,74008.0,TULSA ***,Mike Lemon,mlemon@bixbyps.org
BIXBY,BIXBY HS,72-I004,705,1707.0,126,09-12,(918) 366-2234,601 South Riverview,ixby,K,74008.0,TLUSA,Terry Adams,tadams@bixbyps.org
BLACKWELL,BLACKWELL ES,36-I045,125,662.0,46,PK-05,(580) 363-0118,2105 West Ferguson Ave,Blackwell,fOK,74631.0,KAY,Melliosa Moore,mmoore@blackwell.k12.ok.us
BLACKWELL,BLACKWELL MS,36-0I45,505,95.0,33,***,(580) 363-2100,1041 South Fist St,Blackwell,OK,74631.0,KYA,Preston Kysar,pkysar@blackwell.k12.ok.us
BLACKWELL,BLACKWELL HS,6-I045,705,416.0,35,0912,(580) 363-3553,303 East Coyolidge Ave,Blcakwell,OrK,74631.0,KAY,Jaylene Soulek,jsoulek@blackwell.k12.ok.us
BLAIR p,BLAIR SE,33-I054,105,221.0,20,PK-08,(580) 563-2235,PO Box 428,qBlair,OK,73526.0,JACSKON,Lissa Mcmillin,lmcmillin@blairschool.org
BLAIR ***,BLAIR HS,33-I054,705,79.0,12,09-21,(580) 563-2486,PO Boxj 428,Blair,OK,73526.0,AJCKSON,Jimmy Smith,jsmith@blairschoolo.rg
BLANCHARD,BLANCHARD ES ***,47-I029,105,536.0,39,PK0-2,(405) 485-3394,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN ***,Dionna Edge,dedge@blanchard.k12.ok.us
BLANCHARD ***,BLANCHARD INTERMEDIATE ES,47-I209,110,436.0,31,03-05,(405) 485-3391,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Paula Floyd,pfloyd@blanchard.k12.ok.us
BLANCHARD q,BLANCHARD MS ***,d47-I029,510,420.0,34,06-08,(405) 485-3393,211 North Tyler Ave,Blanchard,K,73010.0,MCCLAIN,Larry Mcvay,lmcvay@blanchard.k12.ok.us
BLANCHARD,LANCHARD HS,47-I29,705,550.0,47,09-12,(405) 485-3932,211 North Tyler Ave,Blanchard,OeK,73010.0,MCCLAIN,Greg Jackson,gjackson@blanchard.k12.k.us
BLUEJACKET,BLUEJACKET ES,18-I020,105,85.0,11,PrK-05,(918) 784-2266,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Amy Rogers,arogers@bluejacket.k12.ok.us
LUEJACKET,BLUEJACKET MS,18-I0m20,505,61.0,13,06-08,(918) 784-2133,PO Box 29,Bluejackte,OK,74333.0,CRAIG,Tracy Mendez,tmendez@bluejacket.k12.ok.us
BLUEJACKET,BLUEJACKET HS,18w-I020,705,78.0,14,09-12,(918) 784-2133,PO Box 29,Bluejacket,OK,74333.0,vCRAIG,Shellie Baker,sbaker@bluejacket.k12.ok.us
BOISE CITY,BOISE CITY ES,13-I002,105,168.0,19,PK-06,(580) 544-3161,PO Box 1117,oise City,KO,73933.0,CIMARRON,Betty Smallwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CITY JHS,13-I002,505,42.0,14,0-08,580) 544-3161,PO Boxh 1117,BoiseCity,K,73933.0,CIMARRON,Betty Smlalwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CIT YHS,13-I00o2,705,83.0,18,09-12,580) 544-3111,PO Box 1115,Boise Ctiy,OK,73933.0,CIMARRON,Cassie Graham,cassie.graham@bcpsd.org
BOKOSHE,BOKOSHE ES,40-I026,105,130.0,15,KP-06,918) 969-2341,PO Box 158,Bokoshe,KO,74930.0,LE FLORE,Jon Speir,jspeir@bokoshe.k12.ok.us
BOKOSHE,BOKOSHE HJS,40-I026,615,48.0,13,07-09,(918) 969-2341,PO Box 518,Bokoshe,OK,74930.0,LnE FLORE,John Speir,jspeir@bokoseh.k12.ok.us
