1624.mailingaddress,b3101 West Edison St,3101 West Edison St
1775.district,WHIT OAK                     ,WHITE OAK                     
948.statevalue,K,OK
1372.principalemail,jcartwright@rockcreeksd.net,jcartwright@rockcreekisd.net
32.statevalue,OnK,OK
1617.gradeslowhigh,0708,07-08
1432.mailingaddress,16401 South4180 Road,16401 South 4180 Road
776.mailingaddress,PO Bxo 40,PO Box 40
1817.district,UKON                         ,YUKON                         
1536.statevalue,K,OK
17.telephone,918) 375-2261,(918) 375-2261
190.county,MCCURTAIN   ***,MCCURTAIN   
1728.schoolsite,WATONGA HS                    ***,WATONGA HS                    
435.gradeslowhigh,06-80,06-08
454.statevalue,KO,OK
437.codistcode,07-sI072,07-I072
377.schoolsite,CYRIL HS                     ,CYRIL JHS                     
1579.principalemail,simpsde@tulsschools.org,simpsde@tulsaschools.org
1652.statevalue,KO,OK
1632.principalemail,holmash@tuslaschools.org,holmash@tulsaschools.org
1014.county,CANAlDIAN    ,CANADIAN    
6.principalemail,clampittd@adapssh.com,clampittd@adapss.com
553.principal,Jason Wrighit,Jason Wright
1399.city,SandS prings,Sand Springs
967.principalemail,melaniesmith@mooreschoolsc.om,melaniesmith@mooreschools.com
1785.statevalue,cOK,OK
19.principalemail,clbullard@albigon.k12.ok.us,clbullard@albion.k12.ok.us
1503.telephone,(580) 346-741,(580) 346-7741
988.codistcode,86-I003,68-I003
102.schoolsite,BERRYHILL HS                  ***,BERRYHILL HS                  
1432.telephone,(981) 341-0642,(918) 341-0642
140.county,LnE FLORE    ,LE FLORE    
1542.district,THACKERVILLE                  ***,THACKERVILLE                  
1673.statevalue,yOK,OK
433.codistcode,9-I001,69-I001
251.statevalue,K,OK
568.telephone,9(18) 775-2236,(918) 775-2236
107.county,POTTAWAbTOMIE,POTTAWATOMIE
495.gradeslowhigh,KP-06,PK-06
267.statevalue,K,OK
1208.codistcode,51-I08,51-I008
1784.district,WILBURTON                    ,WILBURTON                     
874.county,PITTSBUR G  ,PITTSBURG   
130.district,BLANCHARD                     ***,BLANCHARD                     
1223.codistcode,72-Ir011,72-I011
475.telephone,(405) 2621941,(405) 262-1941
289.schoolsite,NICOMA PARK ES                ***,NICOMA PARK ES                
476.statevalue,OvK,OK
903.codistcode,5-I052,55-I052
1087.principalemail,mperry@harpecharterschools.org,mperry@harpercharterschools.org
1460.county,IKOWA       ,KIOWA       
1759.codistcode,5-I041,55-I041
1820.gradeslowhigh,K-03,PK-03
931.telephone,(405) 4780-504,(405) 478-0504
355.telephone,(918 486-2186,(918) 486-2186
1436.principalemail,rdonaldson@smps.k12.olk.us,rdonaldson@smps.k12.ok.us
1706.principal,Duwayne Kign,Duwayne King
478.telephone,(405) 262-323,(405) 262-3253
463.principal,Jessele fMiller,Jessele Miller
1343.county,OKLAHOA    ,OKLAHOMA    
1762.city,Oklahoma Ciyt,Oklahoma City
1033.schoolsite,NINNEKAH MS                   ***,NINNEKAH MS                   
1629.gradeslowhigh,9-12,09-12
664.telephone,(981) 683-9167,(918) 683-9167
1502.codistcode,3-I007,03-I007
1640.principalemail,contactus@colegiatehall.org,contactus@collegiatehall.org
240.gradeslowhigh,0k9-12,09-12
1314.county,MAYES       ***,MAYES       
161.telephone,(z918) 367-3551,(918) 367-3551
1747.district,WEBBERS ALLS                 ,WEBBERS FALLS                 
881.county,HAKSELL     ,HASKELL     
585.codistcode,70-I00,70-I060
1627.telephone,(918) 925-1200***,(918) 925-1200
1290.statevalue,KO,OK
1594.principalemail,wilbuly@tulsaschoolsorg,wilbuly@tulsaschools.org
1505.county,SzEMINOLE    ,SEMINOLE    
1272.telephone,(580) 75-3282,(580) 758-3282
1529.city,fMcalester,Mcalester
1102.mailingaddress,240 W. Date,204 W. Date
1270.telephone,(405)f 224-2700,(405) 224-2700
1467.statevalue,K,OK
83.gradeslowhigh,PK05,PK-05
1344.city,Oklaohma City,Oklahoma City
459.mailingaddress,4800 North Kelly cAve,4800 North Kelly Ave
1084.district,OKC CHvARTER: DOVE SCIENCE ES  ,OKC CHARTER: DOVE SCIENCE ES  
766.telephone,(580) 925-3v221,(580) 925-3221
1055.district,NORMAN                        ***,NORMAN                        
1216.schoolsite,OOOGAH-TALALA MS             ,OOLOGAH-TALALA MS             
205.telephone,(508) 559-0200,(580) 559-0200
1291.principal,Curtis Laytqon,Curtis Layton
1111.schoolsite,COOLIDGE ES                   ***,COOLIDGE ES                   
937.statevalue,OvK,OK
750.county,CREEK      ,CREEK       
311.district,CLEORA         k               ,CLEORA                        
1005.principalemail,semmlerl@mustangp.org,semmlerl@mustangps.org
1347.gradeslowhigh,0-12,09-12
1814.county,PAYNE       ***,PAYNE       
257.mailingaddress,274801B roncho Rd,274801 Broncho Rd
891.district,MERITT                       ,MERRITT                       
1376.district,ROLAND                       ,ROLAND                        
1194.codistcode,5-5I089,55-I089
1806.principal,Steve Buckinhgam,Steve Buckingham
1251.principal,Stacy Womaock,Stacy Womack
655.principalemail,jkrana@healdtonschools.org,jkana@healdtonschools.org
150.district,BOWRING                       ***,BOWRING                       
452.statevalue,K,OK
1648.county,COL        ,COAL        
157.principalemail,jbillingtnl@bridgecreek.k12.ok.us,jbillingtonl@bridgecreek.k12.ok.us
761.codistcode,31-I103,31-I013
1089.district,OKC CHARTEuR: INDEPENDENCE MS  ,OKC CHARTER: INDEPENDENCE MS  
812.principalemail,jneihbors@liberty.seq.k12.ok.us,jneighbors@liberty.seq.k12.ok.us
741.district,KETCUM                       ,KETCHUM                       
1764.city,Okahoma City,Oklahoma City
885.city,Medofrd,Medford
428.city,Dkue,Duke
376.principal,Tbammy Cocheran,Tammy Cocheran
480.principal,Chrystal Bryoant,Chrystal Bryant
1602.principalemail,nerora@tulasschools.org,nerora@tulsaschools.org
1654.schoolsite,TUSHKA ES                    ,TUSHKA ES                     
1656.telephone,(u918) 569-7737,(918) 569-7737
965.county,CLEjVELAND   ,CLEVELAND   
863.statevalue,K,OK
1108.statevalue,K,OK
1579.city,Tlsa,Tulsa
1052.principal,Kelly Oits,Kelly Otis
599.gradeslowhigh,gPK-08,PK-08
1397.principalemail,jim.roberts@sandites.ogr,jim.roberts@sandites.org
666.schoolsite,HILLADLE MS                   ,HILLDALE MS                   
1400.principalemail,sdtan.trout@sandites.org,stan.trout@sandites.org
1036.principalemail,kcanfiel@dnobleps.com,kcanfield@nobleps.com
562.county,RGADY       ,GRADY       
1689.mailingaddress,11929 Ns 3550***,11929 Ns 3550
1031.city,Nwekirk,Newkirk
444.principal,Brian Armstrng,Brian Armstrong
87.telephone,(918) 336w-3311,(918) 336-3311
644.city,Hatrshorne,Hartshorne
853.schoolsite,MANNFORD HS                   ***,MANNFORD HS                   
269.gradeslowhigh,09-1m2,09-12
1440.principal,gSusan Field,Susan Field
751.city,Kiefr,Kiefer
1018.city,Nasohba,Nashoba
1127.codistcode,5u5-I089,55-I089
67.principalemail,ajames@asteccharteerschools.com,ajames@asteccharterschools.com
1307.gradeslowhigh,b09-12,09-12
1117.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1698.principal,Rand yRisenhoover,Randy Risenhoover
165.district,BROKEN ARROW       e           ,BROKEN ARROW                  
961.mailingaddress,3501 S Sunynlane,3501 S Sunnylane
836.schoolsite,LOWREY PUBLIC SCOHOL          ,LOWREY PUBLIC SCHOOL          
288.district,CHOCTAW-NICOMA PAK           ,CHOCTAW-NICOMA PARK           
337.mailingaddress,1902 West Maaple,1902 West Maple
1499.telephone,(580) 759-2j382,(580) 759-2382
801.gradeslowhigh,091-2,09-12
777.county,COMpANCHE    ,COMANCHE    
1071.mailingaddress,10901 N Soonr Road,10901 N Sooner Road
1490.principal,John Fierlds,John Fields
1619.statevalue,pOK,OK
721.gradeslowhigh,c05-06,05-06
1049.principalemail,kvmccollom@norman.k12.ok.us,kmccollom@norman.k12.ok.us
560.gradeslowhigh,K-08,PK-08
46.principalemail,dhall@apswarirors.com,dhall@apswarriors.com
1653.mailingaddress,PO Box 817,PO Box 187
1136.codistcode,55-bI089,55-I089
274.mailingaddress,PO Box 32j5,PO Box 325
702.principal,Laura Bullck,Laura Bullock
459.principal,rJamila Crawford,Jamila Crawford
1138.telephone,(4i05) 587-5500,(405) 587-5500
900.mailingaddress,OP Box 127,PO Box 127
213.district,CACHE                    u     ,CACHE                         
141.statevalue,jOK,OK
1168.principalemail,hcjohnson@okcps.og,hcjohnson@okcps.org
1549.schoolsite,TIPTN HS                     ,TIPTON HS                     
793.city,tLawton,Lawton
87.city,Brtlesville,Bartlesville
18.statevalue,KO,OK
371.district,CUSHING                       ***,CUSHING                       
339.mailingaddress,1030 AshA ve,1030 Ash Ave
1718.gradeslowhigh,v09-12,09-12
1587.statevalue,KO,OK
698.gradeslowhigh,06-8,06-08
1245.city,Pauls Valley***,Pauls Valley
936.principalemail,khlarosa@monroe.k12.ok.us,klarosa@monroe.k12.ok.us
176.codistcode,72m-I003,72-I003
563.statevalue,K,OK
1034.schoolsite,SNEIOR HS                     ,SENIOR HS                     
1280.codistcode,63-aC029,63-C029
860.mailingaddress,PO Boxt 73,PO Box 73
1397.codistcode,72x-I002,72-I002
1132.schoolsite,LEE ES                       ,LEE ES                        
998.gradeslowhigh,KG0-6,KG-06
317.county,CUSTR      ,CUSTER      
292.mailingaddress,13239 Northeas 10th St,13239 Northeast 10th St
1698.principalemail,rrisenhoover@vp.k12.ok.us,rrisenhoover@vps.k12.ok.us
877.gradeslowhigh,0708,07-08
878.principalemail,pmeadows@mcalester.k12ok.us,pmeadows@mcalester.k12.ok.us
744.county,CIMARRNO    ,CIMARRON    
972.mailingaddress,PO Box 57,PO Box 75
708.telephone,(91w8) 543-2271,(918) 543-2271
763.codistcode,61-I14,61-I014
1732.county,GARFIEL D   ,GARFIELD    
1772.codistcode,7-I002,67-I002
2.codistcode,55Z-005,55-Z005
1370.city,Normaxn,Norman
1739.district,WAYNOKA            l           ,WAYNOKA                       
1162.telephone,(o405) 587-7900,(405) 587-7900
440.city,Durasnt,Durant
1266.telephone,(405) 733-5151,(405) 373-5151
289.county,OaKLAHOMA    ,OKLAHOMA    
1720.gradeslowhigh,e-,-
1236.district,PANAMA                        ***,PANAMA                        
452.county,OKLAHOMA  q  ,OKLAHOMA    
1070.city,uCshing,Cushing
1280.city,Shawnxee,Shawnee
961.city,Mooer,Moore
1399.schoolsite,CENTRAL 9TH GRADE CT R        ,CENTRAL 9TH GRADE CTR         
428.codistcode,33-014,33-I014
1086.schoolsite,HARDING FINE ARST ACADEMY     ,HARDING FINE ARTS ACADEMY     
245.principal,Cynd iFlanary,Cyndi Flanary
1000.statevalue,KO,OK
967.district,MOOREc                         ,MOORE                         
243.principalemail,rschenk@cashiopns.org,rschenk@cashionps.org
1330.mailingaddress,4801 dNorthwest 16th St,4801 Northwest 16th St
1032.mailingaddress,PO Box 2t75,PO Box 275
591.district,GARHAM-DUSTIN                 ,GRAHAM-DUSTIN                 
1375.district,ROFF                         ,ROFF                          
728.district,JONES       d                  ,JONES                         
616.codistcode,70i-I008,70-I008
330.principalemail,tina.eldridge@colemank.12.ok.us,tina.eldridge@coleman.k12.ok.us
1782.codistcode,39d-I001,39-I001
616.gradeslowhigh,03l-04,03-04
107.principalemail,cookt@bthel.k12.ok.us,cookt@bethel.k12.ok.us
1582.district,TULSA                         ***,TULSA                         
1317.principalemail,btesb@pryorschools.org,batesb@pryorschools.org
1719.county,JOHNSTON o   ,JOHNSTON    
576.telephone,(580) 355-3106,(580) 355-3160
989.principalemail,angela.williams@staff.muldroswps.org,angela.williams@staff.muldrowps.org
1220.gradeslowhigh,PK-8,PK-08
901.gradeslowhigh,0-12,09-12
852.telephone,(91n8) 865-4680,(918) 865-4680
653.mailingaddress,PO Box 90,PO Box 490
538.mailingaddress,PO Box406,PO Box 406
883.codistcode,6-I001,63-I001
1667.schoolsite,LARK ES                      ,CLARK ES                      
1469.principalemail,rakins@perry.k12.ok.us,rakin@sperry.k12.ok.us
308.telephone,(91) 923-4211,(918) 923-4211
377.county,CAdDDO       ,CADDO       
105.city,Bethayn,Bethany
500.county,GoARFIELD    ,GARFIELD    
787.district,LAWTON                       ,LAWTON                        
1484.principalemail,rblakes@tillwaterschools.com,rblake@stillwaterschools.com
1475.city,Sringer,Springer
535.codistcode,1-I009,16-I009
1584.schoolsite,KEY ES                        ***,KEY ES                        
212.mailingaddress,102 East HA ve,102 East H Ave
1338.city,Oklahomak City,Oklahoma City
1202.telephone,(045) 259-9478,(405) 259-9478
1829.county,ADAIR      ,ADAIR       
499.mailingaddress,815 South t5h St,815 South 5th St
1691.statevalue,KO,OK
492.district,ELMORE CIkTY-PERNELL           ,ELMORE CITY-PERNELL           
593.county,OKUSKEE    ,OKFUSKEE    
653.statevalue,K,OK
1828.principal,Ryan Coole,Ryan Cole
182.principalemail,kwkinzer@baskchools.org,kwkinzer@baschools.org
916.statevalue,KO,OK
1642.schoolsite,COLLEGIATE HALL CHARTER SCOOL,COLLEGIATE HALL CHARTER SCHOOL
1366.statevalue,KO,OK
1691.district,VELMA-ALMA    t                ,VELMA-ALMA                    
1707.telephone,(918n) 256-6777,(918) 256-6777
1523.gradeslowhigh,09-2,09-12
1756.city,Wellstocn,Wellston
1345.schoolsite,WESTER NOAKS MS               ,WESTERN OAKS MS               
55.gradeslowhigh,0-105,01-05
825.codistcode,37-I030,37-I003
1570.statevalue,KO,OK
363.gradeslowhigh,06-80,06-08
1187.codistcode,i55-I089,55-I089
637.gradeslowhigh,s04-05,04-05
205.principalemail,ickiw@byngschools.com,vickiw@byngschools.com
569.district,GANS               e           ,GANS                          
355.district,COWETA                       ,COWETA                        
1231.principal,Deirdre Hoge,Deirdre Hodge
815.district,LINDSAY        x               ,LINDSAY                       
1627.principal,Caleb Star,Caleb Starr
1688.city,Semvinole,Seminole
739.district,KEOTA                         ***,KEOTA                         
97.codistcode,8-C050,68-C050
738.principalemail,billt@sstelco.com,billyt@sstelco.com
32.mailingaddress,m1221 North Howse St,1221 North Howse St
1239.gradeslowhigh,0-912,09-12
295.county,OKAHOMA    ,OKLAHOMA    
905.district,MIDWST CITY-DEL CITY         ,MIDWEST CITY-DEL CITY         
1016.county,CANADIAN   z ,CANADIAN    
1186.district,OKLAHOMA CIT Y                ,OKLAHOMA CITY                 
1054.mailingaddress,600 ParksideR oad,600 Parkside Road
931.codistcode,v55-I037,55-I037
1144.mailingaddress,1700 Thornridge Road,11700 Thornridge Road
1139.city,Oklahoma Ciy,Oklahoma City
649.mailingaddress,300 N. Mapl St,300 N. Maple St
27.gradeslowhigh,P-04,PK-04
84.codistcode,74-I0e30,74-I030
1400.principal,Stan Tjrout,Stan Trout
321.codistcode,1g5-I001,15-I001
380.schoolsite,DALE ES                      ,DALE ES                       
253.principalemail,bmcniel@cement.k12.ok.us,bmcneil@cement.k12.ok.us
104.city,Bethnay,Bethany
1255.mailingaddress,PO qBox 119,PO Box 119
740.statevalue,KO,OK
1239.principal,Linda Albrigth,Linda Albright
1174.mailingaddress,900 North Martin Luther Kin Ave,900 North Martin Luther King Ave
638.district,HARRAH                       ,HARRAH                        
1171.county,OKLAHOeMA    ,OKLAHOMA    
53.gradeslowhigh,09-w12,09-12
109.schoolsite,BETHEL HS                     ***,BETHEL HS                     
1648.gradeslowhigh,v09-12,09-12
1409.principalemail,mreid@sapulpaps.orqg,mreid@sapulpaps.org
1784.statevalue,K,OK
137.telephone,580) 544-3161,(580) 544-3161
540.county,hCADDO       ,CADDO       
845.county,MASRHALL    ,MARSHALL    
258.codistcode,69-jI034,69-I034
1659.gradeslowhigh,0-08,06-08
686.city,Honoker,Hooker
1091.gradeslowhigh,k-,-
981.county,HUGHES      ***,HUGHES      
1333.district,PUTNAM CIY                   ,PUTNAM CITY                   
852.county,CREEK      ,CREEK       
714.schoolsite,JAY UPPER ES                  ***,JAY UPPER ES                  
442.telephone,(580)y 924-4424,(580) 924-4424
1001.city,Muskogee***,Muskogee
1079.schoolsite,OKARCHE JHS                   ***,OKARCHE JHS                   
426.statevalue,K,OK
227.schoolsite,CANEY ES                     l ,CANEY ES                      
460.mailingaddress,18101 North Wesern Ave,18101 North Western Ave
1387.principal,Kyle Fowlre,Kyle Fowler
410.statevalue,K,OK
1082.district,OKAY                         ,OKAY                          
656.district,HEAVNEER                      ,HEAVENER                      
1285.mailingaddress,1501 Wes tGrand Ave,1501 West Grand Ave
781.gradeslowhigh,KG05,KG-05
1102.codistcode,54I026,54-I026
237.codistcode,08-tI033,08-I033
1539.schoolsite,TEXHOMA ES                    ***,TEXHOMA ES                    
488.mailingaddress,222 Wet Broadway Ave,222 West Broadway Ave
1306.telephone,(405 567-2281,(405) 567-2281
1414.mailingaddress,PO Bxo 266,PO Box 266
1144.principal,Jan atthews,Jan Matthews
592.district,GRAHAM-DUSTIN                i ,GRAHAM-DUSTIN                 
823.statevalue,OaK,OK
1454.mailingaddress,355 South Oqsage St,355 South Osage St
855.telephone,(45) 262-5647,(405) 262-5647
404.district,DEEPW                         ,DEPEW                         
1649.district,TURKEY FORD                   ***,TURKEY FORD                   
830.principal,Chris uSdderth,Chris Sudderth
78.district,BARNSDALL               h      ,BARNSDALL                     
1360.principalemail,rbaker@reydon.k12.okx.us,rbaker@reydon.k12.ok.us
1312.codistcode,57-I500,57-I050
1173.city,Oklahmoa City,Oklahoma City
785.mailingaddress,1614 Northwyest 47th St,1614 Northwest 47th St
1800.mailingaddress,uPO Box 668,PO Box 668
229.statevalue,K,OK
295.district,CHOCTAW-NIOMA PARK           ,CHOCTAW-NICOMA PARK           
743.county,CRAIG      ,CRAIG       
776.gradeslowhigh,0-912,09-12
1427.district,SEMINOL                      ,SEMINOLE                      
236.statevalue,OgK,OK
376.district,YRIL                         ,CYRIL                         
615.district,GzUTHRIE                       ,GUTHRIE                       
1079.mailingaddress,PO Box 2u76,PO Box 276
457.gradeslowhigh,PK-50,PK-05
1337.mailingaddress,7210 Northwest 23r dSt,7210 Northwest 23rd St
66.county,POTTAWATOoMIE,POTTAWATOMIE
149.gradeslowhigh,09-2,09-12
1524.telephone,(918)567-2259,(918) 567-2259
1246.city,Pauls Vallye,Pauls Valley
1281.telephone,(f918) 436-2561,(918) 436-2561
1059.principal,Daan Morris,Dana Morris
285.district,CHISHOLM                      ***,CHISHOLM                      
1253.schoolsite,PEAVINE PUBLIbC SCHOOL         ,PEAVINE PUBLIC SCHOOL         
922.county,OKLAOMA    ,OKLAHOMA    
1413.district,SASAKWA                      ,SASAKWA                       
233.schoolsite,CANON HS                     ,CANTON HS                     
1003.statevalue,KO,OK
955.telephone,(405) 35-4160,(405) 735-4160
1751.gradeslowhigh,KP-06,PK-06
704.principal,vGreg Ellis,Greg Ellis
1565.principalemail,modenjo@tulsachools.org,modenjo@tulsaschools.org
1079.principalemail,riesenr@okarche.k12.ok.us,friesenr@okarche.k12.ok.us
510.city,nid,Enid
898.mailingaddress,2000 East Centrla Ave,2000 East Central Ave
1050.gradeslowhigh,K-05,PK-05
1704.statevalue,K,OK
804.mailingaddress,PO Box 47,PO Box 147
105.mailingaddress,6721 Nw 42Nd tS,6721 Nw 42Nd St
784.mailingaddress,PO Box 310,PO Box 130
1081.mailingaddress,PO Box 8k30,PO Box 830
1570.schoolsite,EISENHOWER ITERNATIONAL ES   ,EISENHOWER INTERNATIONAL ES   
998.county,MUSKOGE E   ,MUSKOGEE    
1514.mailingaddress,1021 West Ninuth St,1021 West Ninth St
72.codistcode,57-C305,57-C035
699.county,CADDO    z   ,CADDO       
1306.schoolsite,PRAGUE MS                     ***,PRAGUE MS                     
1015.city,Musqtang,Mustang
513.principalemail,jdbeierschmit@enidk12.org,jdbeierschmitt@enidk12.org
935.schoolsite,MOFFETT PUBLIC SCHOOL      m   ,MOFFETT PUBLIC SCHOOL         
875.district,MCALESTER                     ***,MCALESTER                     
20.gradeslowhigh,P-08,PK-08
870.city,Mcalesetr,Mcalester
920.schoolsite,JARMAN MS               o      ,JARMAN MS                     
1205.schoolsite,OKMULGEE PRIMARY ES           ***,OKMULGEE PRIMARY ES           
1445.principalemail,aavila@shawnee.k12.ko.us,aavila@shawnee.k12.ok.us
864.statevalue,KO,OK
1623.schoolsite,TULSA MET JHS                 ***,TULSA MET JHS                 
457.county,OKLAOMA    ,OKLAHOMA    
1661.district,TWIN HILLS                   ,TWIN HILLS                    
1701.statevalue,OaK,OK
757.principalemail,dgil@kingston.k12.ok.us,dgill@kingston.k12.ok.us
1579.schoolsite,HOOVE ES                     ,HOOVER ES                     
1241.district,PAOLI          k               ,PAOLI                         
1742.principalemail,sbuchana@wpsok.org,sbuchanan@wpsok.org
71.mailingaddress,PO Box 702,PO Box 720
958.schoolsite,OAKRIDEG ES                   ,OAKRIDGE ES                   
538.telephone,(580) l487-3366,(580) 487-3366
7.principalemail,martinp@fadapss.com,martinp@adapss.com
1129.codistcode,5-I089,55-I089
976.statevalue,KO,OK
1304.schoolsite,POTEAU HS                    ,POTEAU HS                     
93.schoolsite,BEGGS ES                     ,BEGGS ES                      
1070.mailingaddress,8409 Est Ninth St,8409 East Ninth St
1152.county,cOKLAHOMA    ,OKLAHOMA    
1695.mailingaddress,8207 E5 40 Rd,8207 E 540 Rd
1380.mailingaddress,PO Bo x308,PO Box 308
1699.codistcode,6i8-I002,68-I002
55.codistcode,10-019,10-I019
900.codistcode,49-cI027,49-I027
633.telephone,(918) 6572-527,(918) 657-2527
755.mailingaddress,601 South 13toh St,601 South 13th St
774.codistcode,62-I204,62-I024
253.principal,Brfad Mcneil,Brad Mcneil
1172.gradeslowhigh,0912,09-12
821.district,LOCUST GORVE                  ,LOCUST GROVE                  
75.mailingaddress,2455 uNorth Banner Road,2455 North Banner Road
17.principal,Joe Mceloy,Joe Mcelroy
810.gradeslowhigh,07-0t8,07-08
541.district,FORT COBB-BROXTON            ,FORT COBB-BROXTON             
679.codistcode,29-I06,29-I066
1385.principal,Hoensti Williams,Honesti Williams
799.schoolsite,EISENHOWER MS                ,EISENHOWER MS                 
1707.codistcode,81-I065,18-I065
927.district,MILBURN                      ,MILBURN                       
195.codistcode,30-I004***,30-I004
728.codistcode,55-Iv009,55-I009
272.codistcode,66-Io003,66-I003
15.schoolsite,AFON HS                      ,AFTON HS                      
445.city,Earslboro,Earlsboro
1023.codistcode,6-I006,67-I006
389.district,DAVIS                 x        ,DAVIS                         
1593.county,TuULSA       ,TULSA       
1118.schoolsite,FILLMORE ES                  ,FILLMORE ES                   
1584.codistcode,72-fI001,72-I001
1639.city,Tulxsa,Tulsa
1531.statevalue,hOK,OK
1325.telephone,(405)7 89-4985,(405) 789-4985
882.telephone,(405) 964-b3314,(405) 964-3314
1238.city,Pnola,Panola
140.mailingaddress,PO Box 518,PO Box 158
659.district,HENNESSEY                    ,HENNESSEY                     
112.telephone,(580) 725-347e9,(580) 725-3479
385.mailingaddress,417 Broaqdway,417 Broadway
1623.city,Tlsa,Tulsa
513.schoolsite,EID HS                       ,ENID HS                       
572.telephone,(405) 84-2442,(405) 884-2442
812.telephone,(918) 427-8308,(918) 427-3808
398.statevalue,KO,OK
1192.codistcode,55-Ia089,55-I089
1140.codistcode,5b5-I089,55-I089
1018.telephone,(918) 755-343,(918) 755-4343
1439.codistcode,63-I03,63-I093
611.principal,ScotGraham,Scot Graham
687.statevalue,zOK,OK
663.mailingaddress,180r1 Troy Aikman Dr,1801 Troy Aikman Dr
1035.city,Nolbe,Noble
986.principalemail,dadudlye@moyers.k12.ok.us,dadudley@moyers.k12.ok.us
1440.gradeslowhigh,0105,01-05
545.principalemail,gp_hares@ftgibson.k12.ok.us,g_phares@ftgibson.k12.ok.us
1730.mailingaddress,"Rural Route 2, Bo x1","Rural Route 2, Box 1"
607.principalemail,pndodson@ridgerunners.nte,pndodson@ridgerunners.net
1465.city,Suoth Coffeyville,South Coffeyville
1266.mailingaddress,14100 Northwoo dDrive,14100 Northwood Drive
1225.mailingaddress,1501 North As St,1501 North Ash St
256.mailingaddress,108089 South 46j70 Road,108089 South 4670 Road
1180.mailingaddress,2d801 Northwest 27th St,2801 Northwest 27th St
346.principal,Aaln Hull,Alan Hull
537.telephone,580) 286-3961,(580) 286-3961
555.gradeslowhigh,07-0j9,07-09
600.district,GRANIET                       ,GRANITE                       
1410.schoolsite,ASPULPA JHS                   ,SAPULPA JHS                   
1365.county,MAJORd       ,MAJOR       
1509.district,SUTART                        ,STUART                        
1356.telephone,(580)587-2715,(580) 587-2715
1172.codistcode,55-I89,55-I089
1406.principal,Alisno Owens,Alison Owens
780.county,COMANCE    ,COMANCHE    
1747.codistcode,51-I060,51-I006
954.principalemail,toniboykinu@mooreschools.com,toniboykin@mooreschools.com
1680.principalemail,federlinej.ohn@unionps.org,federline.john@unionps.org
1359.mailingaddress,POd Box 310,PO Box 310
1137.principal,Agnita Jones,Anita Jones
932.district,MINCO                         ***,MINCO                         
204.mailingaddress,500 South New Betehl Blvd,500 South New Bethel Blvd
721.telephone,(98) 299-4411,(918) 299-4411
774.gradeslowhigh,09-21,09-12
72.district,AVANT                         ***,AVANT                         
586.mailingaddress,1200 North Hwy 0,1200 North Hwy 10
1607.statevalue,KO,OK
963.county,CLsEVELAND   ,CLEVELAND   
775.schoolsite,LVAERNE ES                    ,LAVERNE ES                    
