district,schoolsite,codistcode,sitecode,enrollment,certifiedstaff,gradeslowhigh,telephone,mailingaddress,city,statevalue,zip,county,principal,principalemail
ALTUS,ALTUS INTERMEDIATE SCHOOL,33-I018,145,445.0,41,05-06,(580) 481-2155,1221 North Howse St,Altus,OK,73521.0,JACKSON,Jay Richeson,jricheson@altusps.com
ALTUS,ALTUS JHS,33-I018,625,493.0,45,07-08,(580) 481-2173,1600 South Park Lane,Altus,OK,73521.0,JACKSON,Roe Worbes,rworbes@altusps.com
ALTUS,ALTUS HS,33-I018,705,905.0,80,09-12,(580) 481-2167,400 North Park Ave,Altus,OK,73521.0,JACKSON,Mark Haught,mhaught@altusps.com
ALVA,LINCOLN ES,76-I001,105,114.0,15,04-05,(580) 327-3008,1540 Davis St,Alva,OK,73717.0,WOODS,Tim Argo,tbargo@alvaschools.net
ALVA,LONGFELLOW ES,76-I001,110,95.0,18,-,(580) 327-3327,19 Barnes Ave,Alva,OK,73717.0,WOODS,Steve Shiever,ssshiever@alvaschools.net
ALVA,WASHINGTON ES,76-I001,115,258.0,21,PK-01,(580) 327-3518,701 Barnes Ave,Alva,OK,73717.0,WOODS,Alysson Tucker,amtucker@alvaschools.net
ALVA,ALVA MS,76-I001,505,95.0,27,-,(580) 327-0608,800 Flynn St,Alva,OK,73717.0,WOODS,Ron Sunderland,rdsunderland@alvaschools.net
ALVA,ALVA HS,76-I001,705,95.0,34,-,(580) 327-3682,501 14th St,Alva,OK,73717.0,WOODS,Lesley Potter,ldpotter@alvaschools.net
AMBER-POCASSET,AMBER-POCASSET ES,26-I128,105,258.0,22,PK-06,(405) 459-6544,PO Box 38,Amber,OK,73004.0,GRADY,Angie Morrison,amorrison@ampo.k12.ok.us
AMBER-POCASSET,AMBER-POCASSET JHS,26-I128,615,111.0,22,07-09,(405) 224-4017,PO Box 38,Amber,OK,73004.0,GRADY,Jerime Parker,jparker@ampo.k12.ok.us
AMBER-POCASSET,AMBER-POCASSET HS,26-I128,715,108.0,20,10-12,(405) 224-4017,PO Box 38,Amber,OK,73004.0,GRADY,Jerime Parker,jparker@ampo.k12.ok.us
ANADARKO,ANADARKO EAST ES,08-I020,105,290.0,24,02-03,(405) 247-2496,107 Southeast Fifth St,Anadarko,OK,73005.0,CADDO,Danny Harris,dharris@apswarriors.com
ANADARKO,SUNSET ES,08-I020,115,316.0,25,KG-01,(405) 247-2503,508 Southwest Seventh St,Anadarko,OK,73005.0,CADDO,Lyn Grubb,lgrubb@apswarriors.com
ANADARKO,MISSION ES,08-I020,120,394.0,30,PK-05,(405) 247-6607,1200 South Mission St,Anadarko,OK,73005.0,CADDO,Jeff Barrett,jbarrett@apswarriors.com
ANADARKO,ANADARKO MS,08-I020,510,411.0,55,06-08,(405) 247-6671,900 West College St,Anadarko,OK,73005.0,CADDO,Doug Hall,dhall@apswarriors.com
ANADARKO,ANADARKO HS,08-I020,705,471.0,60,09-12,(405) 247-2486,1400 Warrior Drive,Anadarko,OK,73005.0,CADDO,Mike Sparks,msparks@apswarriors.com
ANDERSON,ANDERSON PUBLIC SCHOOL,57-C052,105,282.0,21,PK-06,(918) 245-0289,2195 Anderson Road,Sand Springs,OK,74063.0,OSAGE,Brett Banker,bbanker@andersontrojans.org
ANTLERS,BRANTLY ES,64-I013,105,530.0,37,PK-05,(580) 298-3108,219 Ne A St,Antlers,OK,74523.0,PUSHMATAHA,Pamela Matthews,pmatthews@antlers.k12.ok.us
ANTLERS,OBUCH MS,64-I013,510,225.0,26,06-08,(580) 298-3308,219 Ne A St,Antlers,OK,74523.0,PUSHMATAHA,William Neyman,wneyman@antlers.k12.ok.us
ANTLERS,ANTLERS HS,64-I013,705,269.0,33,09-12,(580) 298-2141,219 Ne A St,Antlers,OK,74523.0,PUSHMATAHA,Bryan Mcnutt,bmcnutt@antlers.k12.ok.us
ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20-I005,105,339.0,30,PK-08,(580) 323-7264,PO Box 160,Arapaho,OK,73620.0,CUSTER,Brad Southall,southall@arapaho.k12.ok.us
ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20-I005,715,95.0,18,09-12,(580) 323-3261,PO Box 160,Arapaho,OK,73620.0,CUSTER,James Edelen,jedelen@arapaho.k12.ok.us
ARDMORE,CHARLES EVANS ES,10-I019,110,657.0,51,01-05,(580) 223-2472,PO Box 1709,Ardmore,OK,73402.0,CARTER,Denise Brunk,dbrunk@ardmoreschools.org
ARDMORE,JEFFERSON ES,10-I019,120,255.0,22,01-05,(580) 223-2474,PO Box 1709,Ardmore,OK,73401.0,CARTER,Casey Hall,chall@ardmoreschools.org
ARDMORE,LINCOLN ES,10-I019,125,287.0,24,01-05,(580) 223-2477,PO Box 1709,Ardmore,OK,73402.0,CARTER,Ellen Patty,epatty@ardmoreschools.org
ARDMORE,WILL ROGERS ES,10-I019,135,425.0,34,PK-KG,(580) 223-2482,PO Box 1709,Ardmore,OK,73402.0,CARTER,Johncy Martin,jmartin@ardmoreschools.org
ARDMORE,ARDMORE MS,10-I019,505,661.0,54,06-08,(580) 223-2475,PO Box 1709,Ardmore,OK,73402.0,CARTER,Cindy Huddleston,chuddleston@ardmoreschools.org
ARDMORE,ARDMORE HS,10-I019,705,769.0,73,09-12,(580) 226-7680,PO Box 1709,Ardmore,OK,73402.0,CARTER,James Falvey,jfalvey@ardmoreschools.org
ARKOMA,SINGLETON ES,40-I091,205,228.0,21,PK-06,(918) 875-3835,PO Box 349,Arkoma,OK,74901.0,LE FLORE,Shelly Harmon,sharmon@arkoma.k12.oklus
ARKOMA,ARKOMA JHS,40-I091,605,54.0,10,07-08,(918) 875-3351,PO Box 349,Arkoma,OK,74901.0,LE FLORE,Cyal Walden,cwalden@arkoma.k12.ok.us
ARKOMA,ARKOMA HS,40-I091,715,116.0,19,09-12,(918) 875-3353,PO Box 349,Arkoma,OK,74901.0,LE FLORE,Cyal Walden,cwalden@arkoma.k12.ok.us
ARNETT,ARNETT ES,23-I003,105,95.0,22,-,(580) 885-7285,PO Box 317,Arnett,OK,73832.0,ELLIS,Scot Friesen,sfriesen@arnett.k12.ok.us
ARNETT,ARNETT HS,23-I003,705,58.0,17,09-12,(580) 885-7285,PO Box 317,Arnett,OK,73832.0,ELLIS,Bob Dobrinski,bdobrinski@arnett.k12.ok.us
ASHER,ASHER ES,63-I112,105,186.0,19,PK-08,(405) 784-2331,PO Box 168,Asher,OK,74826.0,POTTAWATOMIE,Jeremy Frye,jfrye@asher.k12.ok.us
ASHER,ASHER HS,63-I112,705,71.0,11,09-12,(405) 784-2331,PO Box 168,Asher,OK,74826.0,POTTAWATOMIE,Jeremy Frye,jfrye@asher.k12.ok.us
ASTEC CHARTERS,ASTEC CHARTER MS,55-G004,971,460.0,43,06-08,(405) 947-6273,"2401 Nw 23rd St, Ste. 3",Oklahoma City,OK,73107.0,OKLAHOMA,Amanda James,ajames@asteccharterschools.com
ASTEC CHARTERS,ASTEC CHARTER HS,55-G004,972,467.0,37,09-12,(405) 947-6274,"2401 Nw 23rd St, Ste. 3",Oklahoma City,OK,73107.0,OKLAHOMA,Amanda James,ajames@asteccharterschools.com
ATOKA,ATOKA ES,03-I015,120,469.0,30,PK-05,(580) 889-3553,PO Box 720,Atoka,OK,74525.0,ATOKA,Kathy Perkins,kperkins@atoka.org
ATOKA,MCCALL MS,03-I015,505,192.0,25,06-08,(580) 889-5640,PO Box 720,Atoka,OK,74525.0,ATOKA,Wesley Burnett,wburnett@atoka.org
ATOKA,ATOKA HS,03-I015,705,95.0,30,-,(580) 889-3361,PO Box 720,Atoka,OK,74525.0,ATOKA,Ernest Michaelis,emichaelis@atoka.org
AVANT,AVANT PUBLIC SCHOOL,57-C035,105,78.0,8,PK-08,(918) 263-2135,PO Box 9,Avant,OK,74001.0,OSAGE,Michael Young,myoung@avant.k12.ok.us
BALKO,BALKO ES,04-I075,105,118.0,23,PK-08,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931.0,BEAVER,Tammie Heathman,theathman@balko.k12.ok.us
BALKO,BALKO HS,04-I075,705,44.0,14,09-12,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931.0,BEAVER,Tammie Heathman,theathman@balko.k12.ok.us
BANNER,BANNER PUBLIC SCHOOL,09-C031,105,204.0,14,PK-08,(405) 262-0598,2455 North Banner Road,El Reno,OK,73036.0,CANADIAN,Larry York,ljyork68@banner.k12.ok.us
BARNSDALL,BARNSDALL ES,57-I029,105,212.0,19,PK-06,(918) 847-2731,PO Box 629,Barnsdall,OK,74002.0,OSAGE,Regiena Henderson,rhenderson@barnsdallschools.org
BARNSDALL,BARNSDALL JHS,57-I029,615,71.0,17,07-08,(918) 847-2721,PO Box 629,Barnsdall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnsdallschools.org
BARNSDALL,BARNSDALL HS,57-I029,715,150.0,18,09-12,(918) 847-2721,PO Box 629,Barnsdall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnsdallschools.org
BARTLESVILLE,RICHARD KANE ES,74-I030,110,551.0,46,PK-05,(918) 337-3711,801 East 13th St,Bartlesville,OK,74003.0,WASHINGTON,Shelly White,whitesr@bps-ok.org
BARTLESVILLE,HOOVER ES,74-I030,120,461.0,36,PK-05,(918) 333-9337,512 Southeast Madison,Bartlesville,OK,74006.0,WASHINGTON,Susan Burns,burnssr@bps-ok.org
BARTLESVILLE,JANE PHILLIPS ES,74-I030,130,332.0,48,PK-05,(918) 336-9479,1500 South Rogers Ave,Bartlesville,OK,74003.0,WASHINGTON,David Mueller,muellerdd@bps-ok.org
BARTLESVILLE,RANCH HEIGHTS ES,74-I030,160,561.0,42,PK-05,(918) 333-3810,5100 David Lane,Bartlesville,OK,74005.0,WASHINGTON,Kevin Brown,brownkd@bps-ok.org
BARTLESVILLE,WAYSIDE ES,74-I030,175,603.0,41,PK-05,(918) 333-8000,3000 Wayside Drive,Bartlesville,OK,74006.0,WASHINGTON,Kenneth Copeland,copelandkg@bps-ok.org
BARTLESVILLE,WOODROW WILSON ES,74-I030,185,569.0,45,PK-05,(918) 335-1177,245 Northeast Spruce,Bartlesville,OK,74006.0,WASHINGTON,Tammie Krause,krausetj@bps-ok.org
BARTLESVILLE,CENTRAL MS,74-I030,505,605.0,61,06-08,(918) 336-9302,408 Southeast Ninth,Bartlesville,OK,74005.0,WASHINGTON,Ryan Huff,huffrl@bps-ok.org
BARTLESVILLE,MADISON MS,74-I030,510,655.0,56,06-08,(918) 333-3176,500 Southeast Madison Blvd,Bartlesville,OK,74006.0,WASHINGTON,Joseph Eidson,eidsonje@bps-ok.org
BARTLESVILLE,BARTLESVILLE HS,74-I030,705,1762.0,129,09-12,(918) 336-3311,1700 Hillcrest Drive,Bartlesville,OK,74003.0,WASHINGTON,Ladonna Chancellor,chancellorlm@bps-ok.org
BATTIEST,BATTIEST ES,48-I071,105,207.0,24,PK-08,(580) 241-5499,PO Box 109,Battiest,OK,74722.0,MCCURTAIN,Joanna Hall,hallj@battiest.k12.ok.us
BATTIEST,BATTIEST HS,48-I071,715,71.0,15,09-12,(580) 241-5550,PO Box 199,Battiest,OK,74722.0,MCCURTAIN,Don Mullenix,mullenixd@battiest.k12.ok.us
BEARDEN,BEARDEN PUBLIC SCHOOL,54-C029,105,95.0,9,PK-08,(918) 623-0156,372006 Hwy 48,Okemah,OK,74859.0,OKFUSKEE,Danielle Deere,ddeere@bearden.k12.ok.us
BEAVER,BEAVER ES,04-I022,105,274.0,27,PK-08,(580) 625-3444,PO Box 580,Beaver,OK,73932.0,BEAVER,Read Cates,rcates@beaver.k12.ok.us
BEAVER,BEAVER HS,04-I022,705,95.0,18,09-12,(580) 625-3444,PO Box 580,Beaver,OK,73932.0,BEAVER,Michael Mcvay,coachmcvay@beaver.k12.ok.us
BEGGS,BEGGS ES,56-I004,105,434.0,40,PK-04,(918) 267-3631,1201 West Ninth St,Beggs,OK,74421.0,OKMULGEE,Nancy Mccune,nmcune@beggs.k12.ok.us
BEGGS,BEGGS MS,56-I004,505,345.0,35,05-08,(918) 267-4916,1201 West Ninth St,Beggs,OK,74421.0,OKMULGEE,Kenny Hurst,khurst@beggs.k12.ok.us
BEGGS,BEGGS HS,56-I004,705,351.0,38,09-12,(918) 267-3625,1201 West Ninth St,Beggs,OK,74421.0,OKMULGEE,Kristi Smith,ksmith@beggs.k12.ok.us
BELFONTE,BELFONTE PUBLIC SCHOOL,68-C050,105,99.0,11,PK-08,(918) 427-3522,475751 State Highway 101,Muldrow,OK,74948.0,SEQUOYAH,Paul Pinkerton,ppinkerton@belfonte.k12.ok.us
BELFONTE,BELFONTE BELL ES (ADAIR CNTY),68-C050,110,108.0,9,PK-08,(918) 696-7181,Rt. 5 Box 4470,Stilwell,OK,74960.0,SEQUOYAH,Tony Davidson,tdavidson@belfonte.k12.ok.us
BENNINGTON,BENNINGTON ES,07-I040,105,219.0,24,PK-08,(580) 847-2310,729 North Perry St,Bennington,OK,74723.0,BRYAN,Scot Mccorstin,smccorstin@benningtonisd.org
BENNINGTON,BENNINGTON HS,07-I040,705,79.0,16,09-12,(580) 847-2310,729 North Perry St,Bennington,OK,74723.0,BRYAN,Jon Shepard,jshepard@benningtonisd.org
BERRYHILL,BERRYHILL ES SOUTH,72-I010,105,643.0,43,PK-06,(918) 445-6041,3128 South 63rd West Ave,Tulsa,OK,74107.0,TULSA,Kye Payne,kye.payne@berryhillschools.org
BERRYHILL,BERRYHILL MS,72-I010,510,191.0,33,07-08,(918) 445-6039,3128 South 63rd West Ave,Tulsa,OK,74107.0,TULSA,Ronna Taylor,ronna.taylor@berryhillschools.org
BERRYHILL,BERRYHILL HS,72-I010,705,422.0,46,09-12,(918) 445-6035,3128 South 63rd West Ave,Tulsa,OK,74107.0,TULSA,Donnie Bridgeman,donnie.bridgeman@berryhillschools.org
BETHANY,EARL HARRIS ES,55-I088,105,756.0,57,PK-05,(405) 789-6673,6721 Nw 42Nd St,Bethany,OK,73008.0,OKLAHOMA,Reuben Bellows,rbellows@bps.k12.ok.us
BETHANY,CHILDREN'S CTR,55-I088,110,62.0,8,PK-08,(405) 499-4611,6721 Northwest 42Nd St,Bethany,OK,73008.0,OKLAHOMA,Tim Haws,thaws@bps.k12.ok.us
BETHANY,BETHANY MS,55-I088,505,385.0,39,06-08,(405) 787-3240,6721 Nw 42Nd St,Bethany,OK,73008.0,OKLAHOMA,Matthew Flinton,mflinton@bps.k12.ok.us
BETHANY,BETHANY HS,55-I088,705,515.0,52,09-12,(405) 789-6370,6721 Nw 42Nd St,Bethany,OK,73008.0,OKLAHOMA,Don Wentroth,dwentroth@bps.k12.ok.us
BETHEL,BETHEL ES,63-I003,105,636.0,42,PK-05,(405) 273-7632,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWATOMIE,Tammy Cook,cookt@bethel.k12.ok.us
BETHEL,BETHEL MS,63-I003,505,284.0,30,06-08,(405) 273-5944,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWATOMIE,Tina Moon,moont@bethel.k12.ok.us
BETHEL,BETHEL HS,63-I003,705,425.0,39,09-12,(405) 273-3633,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWATOMIE,Jeremy Stewart,stewartj@bethel.k12.ok.us
BIG PASTURE,BIG PASTURE ES,17-I333,105,154.0,18,PK-08,(580) 281-3460,PO Box 167,Randlett,OK,73562.0,COTTON,Diane Bejessie,dianelar@yahoo.com
BIG PASTURE,BIG PASTURE HS,17-I333,705,43.0,11,09-12,(580) 281-3276,PO Box 167,Randlett,OK,73562.0,COTTON,Nat Lunn,nlunn@bigpastureps.k12.ok.us
BILLINGS,BILLINGS ES,52-I002,105,55.0,12,PK-08,(580) 725-3479,311 North Central,Billings,OK,74630.0,NOBLE,Rustin Clark,rclark@billings.k12.ok.us
BILLINGS,BILLINGS HS,52-I002,705,28.0,9,09-12,(580) 725-3271,311 North Central,Billings,OK,74630.0,NOBLE,Rustin Clark,rclark@billings.k12.ok.us
BINGER-ONEY,BINGER-ONEY ES,08-I168,105,257.0,28,PK-08,(405) 656-2304,PO Box 280,Binger,OK,73009.0,CADDO,Lisa King,lking@binger-oney.k12.ok.us
BINGER-ONEY,BINGER-ONEY HS,08-I168,705,95.0,17,-,(405) 656-2304,PO Box 280,Binger,OK,73009.0,CADDO,Kevin Brown,kbrown@binger-oney.k12.ok.us
BISHOP,BISHOP PUBLIC SCHOOL,16-C049,105,536.0,30,PK-06,(580) 353-4870,2204 Southwest Bishop Road,Lawton,OK,73505.0,COMANCHE,Howard Hampton,hamptonh@bishop.k12.ok.us
BIXBY,CENTRAL ES,72-I004,110,889.0,56,PK-03,(918) 366-2282,201 South Main St,Bixby,OK,74008.0,TULSA,Lydia Wilson,lwilson@bixbyps.org
BIXBY,BIXBY NORTH ES,72-I004,120,817.0,53,PK-03,(918) 366-2690,7101 East 121st St,Bixby,OK,74008.0,TULSA,Phil Streets,pstreets@bixbyps.org
BIXBY,NORTH INTERMEDIATE SCHOOL,72-I004,130,556.0,45,04-06,(918) 366-2669,6941 East 121st St South,Bixby,OK,74008.0,TULSA,Dawn Nipps,dnipps@bixbyps.org
BIXBY,CENTRAL INTERMEDIATE SCHOOL,72-I004,140,555.0,46,04-06,(918) 366-2248,9401 E. 161st St.,Bixby,OK,74008.0,TULSA,Brenda Shaw,bshaw@bixbyps.org
BIXBY,NORTHEAST ES AND IS,72-I004,150,653.0,46,PK-06,(918) 366-1714,11901 E. 131st St.,Broken Arrow,OK,74011.0,TULSA,Jamie Milligan,jmilligan@bixbyps.org
BIXBY,BIXBY MS,72-I004,505,869.0,69,07-08,(918) 366-2201,9401 East 161st St,Bixby,OK,74008.0,TULSA,Mike Lemon,mlemon@bixbyps.org
BIXBY,BIXBY HS,72-I004,705,1707.0,126,09-12,(918) 366-2234,601 South Riverview,Bixby,OK,74008.0,TULSA,Terry Adams,tadams@bixbyps.org
BLACKWELL,BLACKWELL ES,36-I045,125,662.0,46,PK-05,(580) 363-0118,2105 West Ferguson Ave,Blackwell,OK,74631.0,KAY,Mellisa Moore,mmoore@blackwell.k12.ok.us
BLACKWELL,BLACKWELL MS,36-I045,505,95.0,33,-,(580) 363-2100,1041 South First St,Blackwell,OK,74631.0,KAY,Preston Kysar,pkysar@blackwell.k12.ok.us
BLACKWELL,BLACKWELL HS,36-I045,705,416.0,35,09-12,(580) 363-3553,303 East Coolidge Ave,Blackwell,OK,74631.0,KAY,Jaylene Soulek,jsoulek@blackwell.k12.ok.us
BLAIR,BLAIR ES,33-I054,105,221.0,20,PK-08,(580) 563-2235,PO Box 428,Blair,OK,73526.0,JACKSON,Lissa Mcmillin,lmcmillin@blairschool.org
BLAIR,BLAIR HS,33-I054,705,79.0,12,09-12,(580) 563-2486,PO Box 428,Blair,OK,73526.0,JACKSON,Jimmy Smith,jsmith@blairschool.org
BLANCHARD,BLANCHARD ES,47-I029,105,536.0,39,PK-02,(405) 485-3394,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Donna Edge,dedge@blanchard.k12.ok.us
BLANCHARD,BLANCHARD INTERMEDIATE ES,47-I029,110,436.0,31,03-05,(405) 485-3391,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Paula Floyd,pfloyd@blanchard.k12.ok.us
BLANCHARD,BLANCHARD MS,47-I029,510,420.0,34,06-08,(405) 485-3393,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Larry Mcvay,lmcvay@blanchard.k12.ok.us
BLANCHARD,BLANCHARD HS,47-I029,705,550.0,47,09-12,(405) 485-3392,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Greg Jackson,gjackson@blanchard.k12.ok.us
BLUEJACKET,BLUEJACKET ES,18-I020,105,85.0,11,PK-05,(918) 784-2266,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Amy Rogers,arogers@bluejacket.k12.ok.us
BLUEJACKET,BLUEJACKET MS,18-I020,505,61.0,13,06-08,(918) 784-2133,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Tracy Mendez,tmendez@bluejacket.k12.ok.us
BLUEJACKET,BLUEJACKET HS,18-I020,705,78.0,14,09-12,(918) 784-2133,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Shellie Baker,sbaker@bluejacket.k12.ok.us
BOISE CITY,BOISE CITY ES,13-I002,105,168.0,19,PK-06,(580) 544-3161,PO Box 1117,Boise City,OK,73933.0,CIMARRON,Betty Smallwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CITY JHS,13-I002,505,42.0,14,07-08,(580) 544-3161,PO Box 1117,Boise City,OK,73933.0,CIMARRON,Betty Smallwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CITY HS,13-I002,705,83.0,18,09-12,(580) 544-3111,PO Box 1115,Boise City,OK,73933.0,CIMARRON,Cassie Graham,cassie.graham@bcpsd.org
BOKOSHE,BOKOSHE ES,40-I026,105,130.0,15,PK-06,(918) 969-2341,PO Box 158,Bokoshe,OK,74930.0,LE FLORE,John Speir,jspeir@bokoshe.k12.ok.us
BOKOSHE,BOKOSHE JHS,40-I026,615,48.0,13,07-09,(918) 969-2341,PO Box 158,Bokoshe,OK,74930.0,LE FLORE,John Speir,jspeir@bokoshe.k12.ok.us
BOKOSHE,BOKOSHE HS,40-I026,715,46.0,13,10-12,(918) 969-2341,PO Box 158,Bokoshe,OK,74930.0,LE FLORE,John Speir,jspeir@bokoshe.k12.ok.us
BOONE-APACHE,APACHE ES,08-I056,105,270.0,20,PK-05,(580) 588-3577,PO Box 354,Apache,OK,73006.0,CADDO,Jayne Ivy,jivy@apache.k12.ok.us
BOONE-APACHE,APACHE MS,08-I056,505,139.0,22,06-08,(580) 588-2122,PO Box 354,Apache,OK,73006.0,CADDO,Todd Vail,tvail@apache.k12.ok.us
