deviceid(long),tripid(long),epochstarttime(long),startdate,starttime,epochendtime(long),enddate,endtime,totaltripdistance(double precision),distanceovertwofivemph(double precision),distanceoverfivefivemph(double precision),tripduration(long),averagespeed(double precision),maximumspeed(double precision),brakecount(double precision),wiperactivated(double precision)
17,587871,1350769634200,2012-10-20,21:47:14.20,1350770069200,2012-10-20,21:54:29.20,0.0,0.8886265158653259,1.926019191741944,435000,16.848293599124087,30.349764,1.1989244980673213,1.0
12,497051,1350645079000,2012-10-19,11:11:19.00,1350646211200,2012-10-19,11:30:11.20,0.0,0.8886265158653259,1.926019191741944,1132200,9.128880714880433,20.397278,1.0,0.8383477770741203
43,447416,1350253083500,2012-10-14,22:18:03.50,1350253742800,201210-14,22:29:02.80,0.0,0.8886265158653259,1.926019191741944,659300,11.309752278370947,20.760083,0.9177202479657806,1.0
41,308665,1349194191400,2012-10-02,16:09:51.40,1349194356300,2012-10-02,16:12:36.30,0.0,0.8886265158653259,1.926019191741944,164900,6.32550561031747,19.462514,1.0,0.6110495928833745
72,621720,1351712688600,2012-10-31,19:44:48.60,1351713242100,201-10-31,19:54:02.10,0.0,0.8886265158653259,1.926019191741944,553500,21.280876712884627,31.392444,1.0,0.6552275299144392
57,599996,1350593309600,2012-10-18,20:48:29.60,1350594793400,2012-10-18,21:13:1.40,0.0,0.8886265158653259,1.926019191741944,1483800,22.102079942381568,36.707597,1.0,1.429708356631466
67,317959,1349979468100,2012-10-v11,18:17:48.01,1349979828500,2012-10-11,18:23:48.50,0.0,0.8886265158653259,1.926019191741944,360400,11.863254536544384,20.484639,1.0,1.3061212791698198
74,316004,1349453896700,2012-10-05,16:18:16.70,1349454000900,2012-10-05,1620:00.90,0.0,0.8886265158653259,1.926019191741944,104200,10.106664110364685,16.745583,1.0,1.0
83,276095,1349534647800,2012-10-06,4:44:07.80,1349534688700,2012-10-06,14:44:48.70,0.0,0.8886265158653259,1.926019191741944,40900,8.79320130487804,15.289736,1.0,1.0
73,531763,1351364541400,2012-10-27,19:02:21.40,1351365085400,2021-10-27,19:11:25.40,0.0,0.8886265158653259,1.926019191741944,544000,14.012159191798458,30.833333,1.0,1.0
83,523786,1350785842600,2012e-10-21,02:17:22.60,1350786435600,2012-10-21,02:27:15.60,0.0,0.8886265158653259,1.926019191741944,593000,20.517447530433326,34.628403,1.0,1.0
73,238227,1350237405700,2012-10-14,17:56:45.70,1350239119000,202-10-14,18:25:19.00,0.0,0.8886265158653259,1.926019191741944,1713300,26.85202666849576,34.551319,1.306133064726713,1.0
75,443496,1350415857700,2012-10-16,19:30:57.70,1350416089700,2012-10-16,19:34:49.70,0.0,0.8886265158653259,1.926019191741944,232000,8.756732618844705,17.849417,1.0,0.9287318085822428
73,237835,1350512665000,2012-10-17,22:24:25.00,1350513235600,2012-10-17,22:33:55.60,0.0,0.8886265158653259,1.926019191741944,570600,9.492457630319718,21.558153,1.0,1.0
61,594270,1350845310600,2012-10-21,18:48:30.60,1350845330200,2012-10-21,18:48:50.20,0.0,0.8886265158653259,1.926019191741944,19600,9.285520182795697,14.532264,1.0,1.398921827893454
81,581648,1350473184300,2012-10-17,11:26:24.30,1350473889000,2012-10-17,11:38:09.00,0.0,0.8886265158653259,1.926019191741944,704700,13.915367135900023,23.081319,0.5959161939094099,0.6523246568546814
71,429677,1349991384000,2012-10-11,21:36:24.00,1349991839500,2012-10-11,21:43:59.50,0.0,0.8886265158653259,1.926019191741944,455500,7.979958867837546,20.278056,1.0,1.0
43,272755,1349383725600,2012-10-04,20:48:45.60,1349386723000,2012-10-04,21:38:43.00,0.0,0.8886265158653259,1.926019191741944,2997400,29.51905373255488,33.314903,1.0,1.0
70,572532,1351704412225,2012-10-31,17:26:52.23,1351704488900,2012-1031,17:28:08.90,0.0,0.8886265158653259,1.926019191741944,76675,14.466714949218757,21.471306,1.0,0.5635120975329236
43,630533,1350915912200,2012-10-22,14:25:12.20,1350916819100,20w12-10-22,14:40:19.10,0.0,0.8886265158653259,1.926019191741944,906900,19.546349280281515,33.500931,1.0,1.0
83,436856,1349216270000,2012-10-02,22:17:50.00,1349216412300,2012-10-02,22:20:12.30,0.0,0.8886265158653259,1.926019191741944,142300,1.6232109627023263,11.145222,1.0,1.0
40,512748,1351596849900,2012-1030,11:34:09.90,1351598649800,2012-10-30,12:04:09.80,0.0,0.8886265158653259,1.926019191741944,1799900,15.271693471744756,30.376486,1.0,1.0
72,285840,1350143874200,2012-10-13,w15:57:54.20,1350143966300,2012-10-13,15:592:6.30,0.0,0.8886265158653259,1.926019191741944,92100,7.677266210640615,18.476875,1.0,0.657506353121604
35,251380,1349106196400,2012-1-001,15:43:16.40,1349106602100,2012-10-01,15:50:02.10,0.0,0.8886265158653259,1.926019191741944,405700,10.627913970908104,19.981542,1.0,1.0
35,251984,1349133129200,2012-10-01,23:12:09.20,1349133601100,2012-10-01,23:20:01.10,0.0,0.8886265158653259,1.926019191741944,471900,11.624652787454965,20.496972,1.0,1.0
35,251772,1349876946900,2012-10-10,13:49:06.90,1349876969300,2012-10-10,13:49:29.03,0.0,0.8886265158653259,1.926019191741944,22400,15.632639324444446,16.609403,1.0,1.0
52,450836,1349299353700,2012-10-03,21:22:33.70,1349301480100,2012-10-03,21:58:00.10,0.0,0.8886265158653259,1.926019191741944,2126400,5.646199010339641,17.702444,1.1269072169946766,0.7897447190733426
76,548034,1351364855400,2012-10-27,19:07:35.40,1351365010200,2012-10-27,19:10:10.20,0.0,0.8886265158653259,1.926019191741944,154800,14.830740108457054,18.17625,1.0,1.3095550182327116
10,423246,1350191350300,2012-10-14,05:09:10.30,1350191519600,2012-10-14,05:1:159.60,0.0,0.8886265158653259,1.926019191741944,169300,14.180000520475556,25.368639,1.0,1.0
52,402498,1350408818600,2012-10-16,17:33:38.60,1350410618000,2012-10-16,18:03:38.00***,0.0,0.8886265158653259,1.926019191741944,1799400,19.241316527972337,28.176014,1.0,1.0
64,373613,1349629831500,2012-10-07,17:10w:31.50,1349630157300,20121-0-07,17:15:57.30,0.0,0.8886265158653259,1.926019191741944,325800,9.90260905878596,21.406875,1.0,0.664275555641675
86,514349,1351025932300,2012-10-23,20:58:52.30,1351026762700,2102-10-23,21:12:42.70,0.0,0.8886265158653259,1.926019191741944,830400,6.559742937491737,18.331958,1.0,1.0
45,261920,1349093428100,2012-10-01,12:10:28.10,1349093864800,2012-10-01,12:17:44.80,0.0,0.8886265158653259,1.926019191741944,436700,21.542371409205987,31.819486,1.0,1.0
16,370833,1349649358100,2012-10-07,22:35:58.10,1349650155700,2012-10-70,22:49:15.70,0.0,0.8886265158653259,1.926019191741944,797600,23.516448418004,33.708028,1.0,1.0
70,574553,1351605193100,2012-10-30,13:53:13.10,1351605239800,2012-10-30,13:53:59.80,0.0,0.8886265158653259,1.926019191741944,46700,17.889939211538454,19.090972,1.0,1.0
70,342268,1350252740000,2012-10-14,22:12:20.00,1350255345200,2012-10-14,2255:45.20,0.0,0.8886265158653259,1.926019191741944,2605200,21.20931402553956,34.778458,1.0,0.7844078735349913
43,614901,1351522135200,2012-10-29,14:48:55.20,1351523045000,2012-10-29,15:04:05.0m0,0.0,0.8886265158653259,1.926019191741944,909800,20.529695628850003,30.863653,1.0,1.0
10,414324,1349886759000,2012-1-010,16:32:39.00***,1349886787700,2012-10-10,16:33:07.70,0.0,0.8886265158653259,1.926019191741944,28700,11.98191718402776,16.12275,1.0,1.0
71,572130,1351161108000,2012-10-25,10:31:48.00,1351161368300,2012-10-25,10:36:08.30,0.0,0.8886265158653259,1.926019191741944,260300,12.291198444617171,18.054972,1.0,1.0
22,224283,1349215399200,2012-10-02,22:03:19.20,1349215519800,2012-10-02,22:05:19.80,0.0,0.8886265158653259,1.926019191741944,120600,13.148534113598677,17.706042,1.0,1.0
55,610963,1351440330200,202-10-28,16:05:30.20,1351440828600,2012-10-28,16:13:48.60,0.0,0.8886265158653259,1.926019191741944,498400,10.364494724207136,22.279653,1.0,1.0
30,500296,1351018257200,2012-10-23,18:50:57.20,1351019557600,2012-10-23,19:123:7.60,0.0,0.8886265158653259,1.926019191741944,1300400,13.137224046025858,27.503333,1.0,1.0
70,563284,1351275842800,201-210-26,18:24:02.80,1351275925600,2012-10-26,18:25:25.60,0.0,0.8886265158653259,1.926019191741944,82800,20.21324623815312,23.610111,1.0,1.0
60,618583,1351393404100,2012-10-28,03:03:24.10,1351393621400,2012-10-28,03:07:01.40,0.0,0.8886265158653259,1.926019191741944,217300,16.13265152851885,19.587389,1.0,1.0
47,557935,1351438983900,2012-10-28,15:43:03.90,1351438994500,2012-10-28,15:43:x14.50,0.0,0.8886265158653259,1.926019191741944,10600,20.429990700934585,20.808903,1.0,1.0
44,386579,1350033699300,2012-10-12,09:21:39.30,1350039241600,2012-10-12,10:54:01.60,0.0,0.8886265158653259,1.926019191741944,5542300,30.77050734628453,35.870986,0.747787324304197,0.8964494989393661
73,553223,1350572475100,2012-10-18,15:01:15.10,1350572846600,2012-10-18,15:07:26.60,0.0,0.8886265158653259,1.926019191741944,371500,16.193173670705455,22.472875,1.0,1.0
67,279697,1349905676100,2012-10-10,21:47:56.10,1349906001400,2012-10-10,21:3:21.40,0.0,0.8886265158653259,1.926019191741944,325300,11.76334604123078,19.771875,1.0,1.0
72,304758,1349271522800,2012-10-03,13:38:42.80,1349271630800,2012-10-03,13:40:30.80,0.0,0.8886265158653259,1.926019191741944,108000,16.453455586111083,23.524292,1.0,1.0
54,563419,1350472571500,2012-10-17,11:16:11.50,1350473752700,2012-10-17,11:35:52.70,0.0,0.8886265158653259,1.926019191741944,1181200,10.430924664566346,19.814528,1.0,1.2024095175297609
30,394305,1349986238400,2012-10-11,20:10:38.40,1349988997700,2012-10-11,20:56:37.70,0.0,0.8886265158653259,1.926019191741944,2759300,18.304010371612787,34.732208,1.0,1.0
44,390074,1349125169500,2012-10-01,20:59:29.50,1349125389100,2012-10-01,21:03:09.n10,0.0,0.8886265158653259,1.926019191741944,219600,9.92747786280764,22.615222,1.0,1.0
72,285242,1350235048300,2012-10-14,17:17:28.30,1350235351600,2012-10-14,17:22:31.60,0.0,0.8886265158653259,1.926019191741944,303300,15.621025740606465,21.638833,1.0,1.0
22,224492,1349876547500,2012-10-10,13:4:27.50,1349877359100,2012-a10-10,13:55:59.10,0.0,0.8886265158653259,1.926019191741944,811600,11.978314357398077,21.582306,1.0,1.0
45,245742,1349549789100,2012-10-06,18:56:29.10,1349550135900,2012-10-06,19:02:15.90,0.0,0.8886265158653259,1.926019191741944,346800,12.672388205697278,20.417319,1.0,0.5258292768987907
55,605112,1349301207300,2012-10-03,21:53:27.30,1349301459400,2012-10-03,21:57:39.40,0.0,0.8886265158653259,1.926019191741944,252100,10.438506962487152,18.758486,1.0,1.0
73,238674,1349536261000,2012-10-06,15:11:01.00,1349536502200,2012-10-06,15:15:02.20,0.0,0.8886265158653259,1.926019191741944,241200,9.671342836514526,20.263153,1.0,1.0
75,269253,1349128524800,2012-10-01,21:55:24.80,1349132227200,2012-10-01,22:57:07.20,0.0,0.8886265158653259,1.926019191741944,3702400,19.8133080808593,34.268167,1.0,1.0
17,586718,1351318242100,2012-10-27,06:10:2.10,1351320434900,2012-10-27,06:47:14.90,0.0,0.8886265158653259,1.926019191741944,2192800,29.960364168103244,38.728722,1.4983381041176662,0.6088923210217841
36,494713,1350921783500,2012-10-22,16:03:03.50,1350922782700,2012-10-22,16:19:42.70,0.0,0.8886265158653259,1.926019191741944,999200,30.45958885336801,35.144347,1.0209953903939186,1.0
74,288648,1350234392700,2012-10-14,17:06:327.0,1350234565100,2012-10-14,17:09:25.10,0.0,0.8886265158653259,1.926019191741944,172400,11.495961666279744,17.578597,1.0,1.0
11,255353,1349727659900,2012-10-08,20:20:59.90,1349728169000,2012-10-08,20:29:29.00,0.0,0.8886265158653259,1.926019191741944,509100,11.251532515026518,21.195347,1.0,1.0
70,350349,1349918239100,2012-10-11,01:17:19.10,1349918654100,2012-10-11,01:24:14.y10,0.0,0.8886265158653259,1.926019191741944,415000,13.664684410334344,21.133167,1.2619431700521226,1.0
70,573351,1351432195300,2012-10-28,13:49:55.30,1351433146000,2012-10y-28,14:05:46.00,0.0,0.8886265158653259,1.926019191741944,950700,20.94591614381905,26.796736,1.0,1.0
66,276298,1349052362300,2012-10-01,00:46:02.30,1349052520500,2012-10-01,00:48:40.50,0.0,0.8886265158653259,1.926019191741944,158200,7.154329742893244,16.003014,1.0,1.301005757095178
52,637760,1351038529300,212-10-24,00:28:49.q30,1351040687900,2012-10-24,01:04:47.90,0.0,0.8886265158653259,1.926019191741944,2158600,18.208321382351507,32.769153,1.0,1.0
35,556838,1350499897200,2012-10-17,18:51:37.20,1350500582500,2012-10-17,19:03:02.50,0.0,0.8886265158653259,1.926019191741944,685300,15.68640690723342,34.801583,1.3723506242547443,1.0
26,309162,1350385636500,2012-10-16,11:07:16.50,1350386280900,2012-10-16,11:18:00.90,0.0,0.8886265158653259,1.926019191741944,644400,10.013342422628565,19.453264,1.0,1.0
62,303744,1349912414800,2012-10-10,23:40:14.80,1349912492700,2012-10-10,23:41:32.07,0.0,0.8886265158653259,1.926019191741944,77900,8.7829148279846,16.8165,1.0,1.0
60,384348,1349829311500,2012-10-10,00:35:11.50,1349829463700,2012-10-10,00:3w7:43.70,0.0,0.8886265158653259,1.926019191741944,152200,16.113401553177265,20.142389,1.0,1.0
63,533975,1350855724000,2012-10-21,21:4:204.00,1350857125700,2012-10-21,22:05:257.0,0.0,0.8886265158653259,1.926019191741944,1401700,8.824154337596273,20.74775,1.0,1.0
37,318733,1349884069000,2012-1-010,15:47:49.00,1349884734400,2012-10-10,15:58:54.40,0.0,0.8886265158653259,1.926019191741944,665400,9.575974767508276,21.532972,1.0,0.7087720213301071
14,570524,1351378077300,2012-10-27,22:47:57.30,1351379728500,2012-10-27,23:15:28.50,0.0,0.8886265158653259,1.926019191741944,1651200,26.239799697018125,38.235389,1.0,1.0
30,394033,1349817573000,2012-10-09,21:19:33.00,1349817845000,2012-10-09,21:24:05.00,0.0,0.8886265158653259,1.926019191741944,272000,11.450622309572296,20.228208,1.0,1.0
40,501215,1350655636600,2012-10-19,14:07:16.60,1350656125200,2012-10-19,14:q15:25.20,0.0,0.8886265158653259,1.926019191741944,488600,19.27221301841999,34.381222,1.0,1.0
52,400706,1350136360300,2012-10-13,13:52:40.30,1350138086400,2012-b10-13,14:21:26.40,0.0,0.8886265158653259,1.926019191741944,1726100,18.758407609177222,33.865278,1.0,1.0
75,451860,1349701466000,2012-10-08,13:04:26.00,1349701962600,2012-10-08,13:12:42.60,0.0,0.8886265158653259,1.926019191741944,496600,6.983453850877185,21.031931,1.0,0.911346400596596
71,434105,1350179146000,2012-0-14,01:45:46.00,1350181250800,2012-10-14,02:20:50.80,0.0,0.8886265158653259,1.926019191741944,2104800,14.3098703106281,22.668667,1.0,1.0
51,439803,1350233844500,2012b-10-14,16:57:24.50,1350234426600,2012-10-14,17:07:06.60,0.0,0.8886265158653259,1.926019191741944,582100,18.38542341420341,34.228597,1.1152336910331426,1.0
87,236850,1349830012500,2012-10-10,00:46:52.50,1349830357700,2012-10-10,00:52:37.70,0.0,0.8886265158653259,1.926019191741944,345200,23.108119901245296,34.762014,1.0,1.0
80,549261,1351448903800,2012-10-28,18:28:23.80,1351449284800,202-10-28,18:3:44.80,0.0,0.8886265158653259,1.926019191741944,381000,16.11047203440127,23.395819,1.0,1.0
42,577170,1350626426700,2012-10-19,06:00:26.70,1350626452200,2012-10-19,06:00:52.20,0.0,0.8886265158653259,1.926019191741944,25500,17.588176309178746,18.340694,1.0,1.0
22,225087,1349312269500,2012-10-04,00:57:49.50,1349312463900,2012-10-04,01:01:0.90,0.0,0.8886265158653259,1.926019191741944,194400,13.322607768123394,17.993306,1.0,1.0
30,395215,1349811398500,2012-10-09,19:36:38.50,1349813247200,2012-10-09,2:007:27.20,0.0,0.8886265158653259,1.926019191741944,1848700,9.824039264650278,23.866542,1.0,1.0
30,394219,1349694686700,2012-10-08,11:11:26.70,1349696395500,2012-10-08,11:39:55.50,0.0,0.8886265158653259,1.926019191741944,1708800,13.438733033102672,31.932028,1.0,1.0
72,621030,1350600304000,2012-10-18,22:45:04.00,1350600511800,2012-10l-18,22:48:31.80,0.0,0.8886265158653259,1.926019191741944,207800,15.497460737728598,21.141903,1.0,1.0
87,510838,1350860336200,2012-10-21,22:58:56.20,1350860504100,2012-10-21,23:01:44.10,0.0,0.8886265158653259,1.926019191741944,167900,14.35752710958904,23.014,1.0,1.0
55,630390,1351124667200,2012-10-25,00:24:27.20,1351128312700,2012-10-25,01:25:12.70,0.0,0.8886265158653259,1.926019191741944,3645500,26.91010624648839,37.824278,1.0,1.0
31,741493,1351184764700,2012-10-25,17:06:04.70,1351184869500,2012-10-25,17:07:49.50,0.0,0.8886265158653259,1.926019191741944,104800,11.3208981784351,22.335153,1.0,1.0
37,318152,1349961837800,2012-k10-11,13:23:57.80,1349961872400,2012-10-11,13:4:32.40,0.0,0.8886265158653259,1.926019191741944,34600,14.368348155619593,16.021514,1.4179223550457465,1.0
64,361502,1349183822200,2012-10-02,13:17:02.20,1349184182000,2012-10-02,13:23k:02.00,0.0,0.8886265158653259,1.926019191741944,359800,17.44038546314322,33.339569,1.0,1.0
67,580944,1351535016600,2012-10-29,18:23:36.60,1351535060300,2012-10-29,18:24:20.30,0.0,0.8886265158653259,1.926019191741944,43700,16.308252058047508,21.379319,1.0,1.0
63,363081,1349730891000,2012-10-08,21:14:51.00,1349731356000,2012-10-08,21:22:36.00,0.0,0.8886265158653259,1.926019191741944,465000,8.951660386845528,21.826403,1.0,1.0
85,486834,1351092243100,2012-10-24,15:24:03.10,1351092486200,2012-10-24,15:28:06.20,0.0,0.8886265158653259,1.926019191741944,243100,9.823990642680911,24.314139,1.0,1.0
22,224901,1350391817600,2012-10-16,12:50:17.60,1350392101300,2012-10-16,12:55:01.30,0.0,0.8886265158653259,1.926019191741944,283700,12.347181353417888,22.581306,1.0,1.0
81,313124,1350308561700,2012-10-15,13:42:1.70,1350309401200,2012-10-15,13:56:41.20,0.0,0.8886265158653259,1.926019191741944,839500,11.887360069895047,24.304375,1.0,1.0
60,618677,1350561628400,2012-0-18,12:0:028.40,1350561899600,2012-10-18,12:04:59.60,0.0,0.8886265158653259,1.926019191741944,271200,7.062077582273749,18.22675,1.0,1.0
37,347598,1349626973500,2012-10-07,16:22:53.50,1349627077300,201-10-07,16:24:37.30,0.0,0.8886265158653259,1.926019191741944,103800,16.163692284200398,19.347917,0.9167169764688664,1.0
53,263109,1349302478200,2012-10-30,22:14:38.20,1349303094500,2012-10-03,22:24:54.50,0.0,0.8886265158653259,1.926019191741944,616300,6.28665680282374,15.263528,1.3715832734827191,1.0
45,680428,1351192652900,201210-25,19:17:32.90,1351194871300,2012-10-25,19:54:31.30,0.0,0.8886265158653259,1.926019191741944,2218400,27.671482152714034,36.946556,1.0,0.8933066695063954
32,423590,1350056172600,2012-10-12,15:3:612.60,1350056952600,2012-10-12,15:49:1c2.60,0.0,0.8886265158653259,1.926019191741944,780000,10.311689989065211,21.957444,1.0,1.0
40,322933,1349187252400,2012-10-02,14:14:12.40,1349189320100,2012-10-02,14:4e8:40.10,0.0,0.8886265158653259,1.926019191741944,2067700,26.907905111741016,35.870472,1.0,1.0
41,346312,1349200149300,0212-10-02,17:49:09.30,1349201687300,2012-10-02,18:14:47.30,0.0,0.8886265158653259,1.926019191741944,1538000,10.99222081104222,20.197889,1.0,1.0
76,529125,1351018047200,2012-10-23,18:47:27.20,1351018314600,2012-10-23,18:51:54.60,0.0,0.8886265158653259,1.926019191741944,267400,8.260921609719619,18.850472,1.0,1.0
85,485263,1351278673100,2012-10-26,19:11:13.10,1351279624900,2012-10-26,19:27:04.90,0.0,0.8886265158653259,1.926019191741944,951800,19.15405536490749,28.918069,1.0,1.0
51,429553,1350513691000,2012-10-17,22:41:31.00,1350514565500,2012-10-17,22:56:05.50,0.0,0.8886265158653259,1.926019191741944,874500,11.781680517095486,25.225778,1.0,1.0
74,479439,1350427895700,2012-10-16,2:51:35.70,1350428224500,2012-10-16,225:7:04.50,0.0,0.8886265158653259,1.926019191741944,328800,12.508340402726146,21.803792,1.0,1.0
87,234068,1350076284400,2012-10-12,1:11:24.40,1350076707400,2012-10-12,21:18:27.40,0.0,0.8886265158653259,1.926019191741944,423000,11.525902304378876,20.225639,1.0,0.7934107582325562
14,446643,1350386133300,2012-10-16,11:15:33.30,1350390449600,2012-10-16,12:27:29.60,0.0,0.8886265158653259,1.926019191741944,4316300,9.446922452004792,34.325722,1.0,1.0
71,566511,1351345008100,201-10-27,13:36:48.10,1351346610400,2012-01-27,14:03:30.40,0.0,0.8886265158653259,1.926019191741944,1602300,23.257576847630546,34.636625,1.0,1.0
44,388457,1350156893300,2012-10-13,19:34:5.330,1350157002800,2012-10-31,19:36:42.80,0.0,0.8886265158653259,1.926019191741944,109500,8.358591705504598,21.379319,0.9218709991809776,1.0
54,570873,1350592026600,2012-10-18,20:27:06.60,1350592826900,2012-10-18,20:40:26.90,0.0,0.8886265158653259,1.926019191741944,800300,23.919561345717533,36.6485,1.0,1.0
42,636483,1350640169800,2012-10-19,09:49:29.80,1350640253100,2012-10-19,09:50:5.310,0.0,0.8886265158653259,1.926019191741944,83300,10.988027719087643,20.401389,1.0,1.0
53,263141,1349391373200,2012-10-04,22:56:13.20,1349391431500,2012-10-04,22:57:11.50,0.0,0.8886265158653259,1.926019191741944,58300,3.529197070205484,14.789722,1.0,1.0
57,599006,1351636643900,2012-10-30,22:37:23.90,1351637343900,2021-10-30,22:49:03.90,0.0,0.8886265158653259,1.926019191741944,700000,26.36950136742858,35.789792,1.0,1.0
51,601446,1351298867300,2012-10-27,00:47p:47.30,1351298918600,2012-10-27,0:48:38.60,0.0,0.8886265158653259,1.926019191741944,51300,15.384357655642026,21.834625,1.0,1.0
42,580190,1351656356300,2012-10-31,04:05:56.30,1351656835400,2012-10-31,04:13:55.0,0.0,0.8886265158653259,1.926019191741944,479100,15.614954173658958,39.647042,1.0,1.0
11,496197,1351111228900,2012-10-24,0:40:28.90,1351111299000,2012-10-24,20:41:39.00,0.0,0.8886265158653259,1.926019191741944,70100,10.945181623395152,15.127861,1.0,1.17553654464296
75,633609,1351030729100,2012-10-23,22:18:49.10,1351031687600,2012-10-23,22:34:47.60,0.0,0.8886265158653259,1.926019191741944,958500,7.298627837054026,23.176389,1.0,1.0
40,297887,1349472077900,2012-10-05,21:21:17.90,1349472262100,2012-10-05,21:24:22.10,0.0,0.8886265158653259,1.926019191741944,184200,15.275865088300252,25.290528,1.0,1.0
10,413660,1349735869100,2012-10-08,22:37:49.10,1349736070900,2012-10-08,22:41:10.90,0.0,0.8886265158653259,1.926019191741944,201800,13.453482391865078,21.917875,1.0,1.0
64,359759,1349399257900,2012-10-05,01:07:3.90,1349400066000,2012-10e-05,01:21:06.00,0.0,0.8886265158653259,1.926019191741944,808100,11.379809310777564,24.931556,1.0,1.0
40,343669,1349957157100,2012-10-11,12:05:7.10,1349958421800,2012-10-11,12:27:01.80,0.0,0.8886265158653259,1.926019191741944,1264700,21.46320126764797,36.73175,1.3361810543625128,1.0
54,574308,1351683563400,2012-10r-31,11:39:23.40,1351684454600,2012-10-31,11:54:14.60,0.0,0.8886265158653259,1.926019191741944,891200,8.427461240098726,19.088403,1.0,1.0
45,262304,1349180576800,2012-10-02,12:22:56.80,1349183329900,212-10-02,13:08:49.90,0.0,0.8886265158653259,1.926019191741944,2753100,20.825362185588187,34.563139,1.0,1.0
23,624870,1351720172800,2012-10-13,21:49:32.80,1351720591000,2012-10-31,21:56:31.00,0.0,0.8886265158653259,1.926019191741944,418200,8.536361564323293,21.258042,1.0,1.0
54,561590,1350772781500,2012-10-20,22:39:41.50,1350772955200,2012-10-20,22:42:35.20,0.0,0.8886265158653259,1.926019191741944,173700,13.025099413018433,20.646,0.7827352340499272,1.0
74,329910,1350161138800,2012-10-13,20:45:38.80,1350162738100,2012-10-3,21:12:18.10,0.0,0.8886265158653259,1.926019191741944,1599300,27.617906523179244,33.663833,1.0,1.0
53,619734,1351001673900,2012-10-23,14:14:33.90,1351002189700,2012-10-23,14:23:09.70,0.0,0.8886265158653259,1.926019191741944,515800,19.54344556195462,32.835444,1.0,0.5605158191225673
80,232236,1350241807500,2021-10-14,19:10:07.50,1350242489900,2012-10-14,19:21:29.90,0.0,0.8886265158653259,1.926019191741944,682400,12.02536854887329,24.76225,1.0,1.0
56,406293,1349481173400,2012-10-05,23:52:53.40,1349482169200,2012-1h0-06,00:09:29.20,0.0,0.8886265158653259,1.926019191741944,995800,21.84813297881101,35.156681,1.0,1.0
81,581800,1350706340300,2012-1-20,04:12:20.30,1350707216500,2012-10-20,04:26:56.50,0.0,0.8886265158653259,1.926019191741944,876200,10.423567725362965,22.384486,1.099117219150135,0.8402970041285858
25,301696,1349730663900,2012-10-08,21:11:03.90,1349731594300,2012-10-w08,21:26:34.30,0.0,0.8886265158653259,1.926019191741944,930400,6.84134027207226,28.636972,0.7214043189898071,1.0
