fnode,tnode,lpoly,rpoly,lengthvalue,trazerozerozerothree,trazerozerozerothreeid,interstate,us,statehw,altrdname,namevalue,type
516,531,125,130,0.075,220,197,0,66,0,U.S. 85,U.S. 66,U.S.
522,533,128,123,0.195,221,198,0,66,0,U.S. 85,U.S. 66,U.S.
533,502,49,123,0.132,222,185,40,0,0,U.S. 85,I 40,Interstate
514,532,49,129,0.176,223,202,0,0,124,U.S. 85,N.M. 124,N.M.
532,539,49,133,0.088,224,202,0,0,124,U.S. 85,N.M. 124,N.M.
539,540,49,134,0.001,225,202,0,0,0,U.S. 85,Unknown,Unknown
541,540,134,127,0.001,226,185,0,0,0,U.S. 85,Unknown,Unknown
539,541,134,133,0.001,227,355,0,0,0,U.S. 85,Unknown,Unknown
514,543,129,127,0.173,228,185,40,0,0,U.S. 85,I 40,Interstate
543,541,133,127,0.082,229,185,40,0,0,U.S. 85,I 40,Interstate
545,525,103,119,0.149,230,186,40,0,0,U.S. 66 & 54,I 40,Interstate
438,545,103,84,0.349,231,238,0,0,0,U.S. 85,Unknown,Unknown
411,550,98,83,0.5,232,237,0,0,41,U.S. 85,N.M. 41,N.M.
529,550,83,131,0.16,233,186,40,0,0,U.S. 85,I 40,Interstate
464,551,96,98,0.245,234,203,0,285,0,U.S. 85,U.S. 285,U.S.
550,553,98,136,0.012,235,186,40,0,0,U.S. 85,I 40,Interstate
555,553,136,135,0.014,236,197,0,66,0,U.S. 85,U.S. 66,U.S.
550,555,136,131,0.006,237,237,0,0,0,U.S. 85,Unknown,Unknown
531,555,131,132,0.158,238,197,0,66,0,U.S. 85,U.S. 66,U.S.
553,551,98,135,0.368,239,186,40,0,0,U.S. 66,I 40,Interstate
423,556,94,96,0.488,240,240,0,0,3,U.S. 85,N.M. 3,N.M.
551,556,96,137,0.222,241,186,40,0,0,U.S. 66,I 40,Interstate
540,561,49,127,0.242,242,185,40,0,0,U.S. 85,I 40,Interstate
390,563,84,94,0.626,243,213,0,84,0,U.S. 85,U.S. 84,U.S.
556,563,94,137,0.454,244,186,40,0,0,U.S. 66,I 40,Interstate
504,564,84,84,0.176,245,214,0,0,0,U.S. 85,Unknown,Unknown
563,564,84,138,0.199,246,186,40,0,0,U.S. 66,I 40,Interstate
524,566,124,127,0.181,247,252,0,0,337,U.S. 85,N.M. 337,N.M.
516,568,130,124,0.129,248,254,0,0,217,U.S. 85,N.M. 217,N.M.
568,566,132,124,0.027,249,253,0,0,344,U.S. 85,N.M. 344,N.M.
531,568,132,130,0.164,250,253,0,0,344,U.S. 85,N.M. 344,N.M.
571,545,84,119,0.249,251,186,40,0,0,U.S. 66 & 54,I 40,Interstate
564,574,84,138,0.089,252,186,40,0,0,U.S. 66,I 40,Interstate
571,577,119,140,0.004,253,211,0,84,0,U.S. 85,U.S. 84,U.S.
498,579,112,114,0.217,254,230,0,0,469,U.S. 85,N.M. 469,N.M.
574,571,84,140,0.07,255,186,40,0,0,U.S. 66 & 54,I 40,Interstate
574,585,140,138,0.018,256,207,0,0,91,U.S. 85,N.M. 91,N.M.
466,587,111,112,0.287,257,232,0,0,93,U.S. 85,N.M. 93,N.M.
579,589,112,139,0.152,258,227,0,0,275,U.S. 85,N.M. 275,N.M.
589,587,112,144,0.107,259,233,0,0,398,U.S. 85,N.M. 398,N.M.
579,590,139,114,0.028,260,230,0,0,469,U.S. 85,N.M. 469,N.M.
593,590,114,145,0.089,261,231,0,0,231,U.S. 85,N.M. 231,N.M.
474,593,114,115,0.445,262,229,0,0,278,U.S. 85,N.M. 278,N.M.
590,597,139,145,0.059,263,230,0,0,469,U.S. 85,N.M. 469,N.M.
597,597,146,139,0.0,264,230,0,0,0,U.S. 85,Unknown,Unknown
602,600,111,137,0.068,265,215,0,0,241,U.S. 85,N.M. 241,N.M.
587,602,111,144,0.086,266,232,0,0,93,U.S. 85,N.M. 93,N.M.
603,602,144,148,0.107,267,215,0,0,241,U.S. 85,N.M. 241,N.M.
589,603,144,139,0.086,268,227,0,0,275,U.S. 85,N.M. 275,N.M.
604,603,139,149,0.105,269,215,0,0,209,U.S. 85,N.M. 209,N.M.
597,604,139,145,0.046,270,230,0,0,469,U.S. 85,N.M. 469,N.M.
593,605,145,115,0.072,271,229,0,0,278,U.S. 85,N.M. 278,N.M.
610,605,115,149,0.159,272,215,0,0,209,U.S. 85,N.M. 209,N.M.
605,604,145,149,0.124,273,215,0,0,209,U.S. 85,N.M. 209,N.M.
612,610,115,150,0.035,274,215,0,0,209,U.S. 85,N.M. 209,N.M.
484,613,115,119,0.344,275,215,0,0,209,U.S. 85,N.M. 209,N.M.
613,612,115,151,0.107,276,215,0,0,209,U.S. 85,N.M. 209,N.M.
585,617,140,137,0.151,277,207,0,0,91,U.S. 85,N.M. 91,N.M.
577,619,137,140,0.159,278,211,0,84,0,U.S. 85,U.S. 84,U.S.
619,617,137,140,0.091,279,208,0,0,0,U.S. 85,Unknown,Unknown
610,621,149,150,0.063,280,222,0,0,210,U.S. 85,N.M. 210,N.M.
612,621,150,151,0.03,281,221,0,0,268,U.S. 85,N.M. 268,N.M.
613,623,151,119,0.065,282,220,0,0,252,U.S. 85,N.M. 252,N.M.
577,623,119,137,1.013,283,212,0,0,156,U.S. 85,N.M. 156,N.M.
621,628,149,151,0.014,284,221,0,0,268,U.S. 85,N.M. 268,N.M.
602,630,137,148,0.089,285,232,0,0,108,U.S. 85,N.M. 108,N.M.
585,631,137,138,0.302,286,206,0,54,0,U.S. 85,U.S. 54,U.S.
563,631,138,137,0.232,287,213,0,0,219,U.S. 85,N.M. 219,N.M.
634,630,148,137,0.143,288,228,0,0,19,U.S. 85,N.M. 19,N.M.
603,634,148,149,0.087,289,227,0,0,209,U.S. 85,N.M. 209,N.M.
555,636,135,132,0.255,290,237,0,0,41,U.S. 85,N.M. 41,N.M.
566,637,132,127,0.268,291,252,0,0,337,U.S. 85,N.M. 337,N.M.
636,637,135,132,0.179,292,255,0,0,55,U.S. 85,N.M. 55,N.M.
628,641,153,151,0.086,293,221,0,0,268,U.S. 85,N.M. 268,N.M.
623,642,151,137,0.102,294,220,0,0,252,U.S. 85,N.M. 252,N.M.
641,642,137,151,0.142,295,218,0,0,312,U.S. 85,N.M. 312,N.M.
642,646,137,137,0.167,296,218,0,0,252,U.S. 85,N.M. 252,N.M.
634,652,137,149,0.105,297,227,0,0,209,U.S. 85,N.M. 209,N.M.
653,651,149,137,0.175,298,226,0,0,288,U.S. 85,N.M. 288,N.M.
628,653,149,153,0.215,299,223,0,0,277,U.S. 85,N.M. 277,N.M.
654,653,153,137,0.07,300,226,0,0,288,U.S. 85,N.M. 288,N.M.
641,654,153,137,0.059,301,221,0,0,268,U.S. 85,N.M. 268,N.M.
551,657,137,135,0.404,302,203,0,285,0,U.S. 85,U.S. 285,U.S.
652,667,154,149,0.024,303,227,0,0,289,U.S. 85,N.M. 289,N.M.
651,667,149,137,0.203,304,226,0,0,288,U.S. 85,N.M. 288,N.M.
652,671,137,154,0.039,305,225,0,0,209,U.S. 85,N.M. 209,N.M.
667,671,154,137,0.025,306,227,0,0,288,U.S. 85,N.M. 288,N.M.
646,674,137,137,0.043,307,218,0,0,89,U.S. 85,N.M. 89,N.M.
637,695,135,127,0.242,308,255,0,0,55,U.S. 85,N.M. 55,N.M.
617,703,137,137,0.47,309,207,0,0,0,U.S. 85,Unknown,Unknown
742,738,156,137,0.009,310,114,0,0,42,U.S. 85,N.M. 42,N.M.
747,748,160,137,0.014,311,102,0,0,77,U.S. 85,N.M. 77,N.M.
744,753,137,159,0.195,312,104,0,0,311,U.S. 85,N.M. 311,N.M.
695,756,135,127,0.143,313,117,0,0,55,U.S. 85,N.M. 55,N.M.
748,759,161,137,0.197,314,102,0,0,77,U.S. 85,N.M. 77,N.M.
763,764,165,137,0.021,315,111,0,60,0,U.S. 85,U.S. 60,U.S.
740,766,137,137,0.187,316,65,0,54,0,U.S. 85,U.S. 54,U.S.
748,774,160,161,0.105,317,100,0,0,108,U.S. 85,N.M. 108,N.M.
759,777,161,137,0.042,318,88,0,0,209,U.S. 85,N.M. 209,N.M.
728,781,137,137,0.155,319,107,0,0,268,U.S. 85,N.M. 268,N.M.
744,784,159,137,0.131,320,103,0,0,224,U.S. 85,N.M. 224,N.M.
753,789,137,159,0.17,321,104,0,0,311,U.S. 85,N.M. 311,N.M.
792,788,170,168,0.014,322,100,0,0,0,U.S. 85,Unknown,Unknown
742,802,158,156,0.294,323,118,0,0,41,U.S. 85,N.M. 41,N.M.
756,802,156,164,0.307,324,117,0,0,55,U.S. 85,N.M. 55,N.M.
782,808,169,165,0.166,325,95,0,0,267,U.S. 85,N.M. 267,N.M.
766,809,137,137,0.303,326,65,0,54,0,U.S. 85,U.S. 54,U.S.
809,742,158,137,0.565,327,114,0,0,42,U.S. 85,N.M. 42,N.M.
808,811,173,165,0.043,328,97,0,0,267,U.S. 85,N.M. 267,N.M.
814,813,170,176,0.002,329,95,0,0,0,U.S. 85,Unknown,Unknown
790,814,170,169,0.255,330,96,0,0,467,U.S. 85,N.M. 467,N.M.
813,815,160,176,0.003,331,88,0,0,0,U.S. 85,Unknown,Unknown
814,815,176,173,0.002,332,96,0,0,0,U.S. 85,Unknown,Unknown
808,814,169,173,0.357,333,95,0,0,236,U.S. 85,N.M. 236,N.M.
822,818,179,160,0.001,334,87,0,0,0,U.S. 85,Unknown,Unknown
823,822,179,180,0.001,335,97,0,0,0,U.S. 85,Unknown,Unknown
818,823,179,173,0.002,336,88,0,0,0,U.S. 85,Unknown,Unknown
811,823,173,175,0.308,337,97,0,0,267,U.S. 85,N.M. 267,N.M.
811,837,175,165,0.122,338,98,0,0,330,U.S. 85,N.M. 330,N.M.
837,831,175,183,0.233,339,99,0,0,480,U.S. 85,N.M. 480,N.M.
822,835,160,178,0.363,340,97,0,0,88,U.S. 85,N.M. 88,N.M.
771,838,166,157,0.428,341,114,0,0,0,U.S. 85,Unknown,Unknown
838,809,174,137,0.83,342,114,0,0,247,U.S. 85,N.M. 247,N.M.
