year,state,county,hai,operative_procedure,facility_id,facility_name,hospital_category_risk_adjustment,facility_type,procedure_count,infections_reported,infections_predicted
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,8471,21,32.31
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",801,2,3.72
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",42,0,0.11
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.04
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",148,0,0.14
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",22,0,0.41
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",45,0,0.13
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",71,0,0.16
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",93,0,0.32
2020H1,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",67,1,0.49
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",28,0,0.16
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",12,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",104,1,0.45
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",65,0,0.44
2020H1,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",22,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.09
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",32,0,0.65
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",33,0,0.07
2020H1,California,Amador,Surgical Site Infections (SSI),All procedures,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",214,0,1.29
2020H1,California,Amador,Surgical Site Infections (SSI),Appendix surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.05
2020H1,California,Amador,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
2020H1,California,Amador,Surgical Site Infections (SSI),Cesarean section,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",41,0,0.04
2020H1,California,Amador,Surgical Site Infections (SSI),Colon surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",24,0,0.47
2020H1,California,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",16,0,0.08
2020H1,California,Amador,Surgical Site Infections (SSI),Gallbladder surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",33,0,0.12
2020H1,California,Amador,Surgical Site Infections (SSI),Gastric surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.05
2020H1,California,Amador,Surgical Site Infections (SSI),Hip prosthesis,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",22,0,0.08
2020H1,California,Amador,Surgical Site Infections (SSI),Knee prosthesis,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",9,0,0.02
2020H1,California,Amador,Surgical Site Infections (SSI),Open reduction of fracture,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",26,0,0.13
2020H1,California,Amador,Surgical Site Infections (SSI),Ovarian surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.01
2020H1,California,Amador,Surgical Site Infections (SSI),Rectal surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.1
2020H1,California,Amador,Surgical Site Infections (SSI),Small bowel surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.14
2020H1,California,Amador,Surgical Site Infections (SSI),Thoracic surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),All procedures,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",425,2,2.25
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",29,0,0.07
2020H1,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.03
2020H1,California,Placer,Surgical Site Infections (SSI),Colon surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",27,1,0.47
2020H1,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",29,0,0.13
2020H1,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",35,0,0.11
2020H1,California,Placer,Surgical Site Infections (SSI),Gastric surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.1
2020H1,California,Placer,Surgical Site Infections (SSI),Hip prosthesis,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",91,0,0.38
2020H1,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.03
2020H1,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,Placer,Surgical Site Infections (SSI),Kidney surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.02
2020H1,California,Placer,Surgical Site Infections (SSI),Knee prosthesis,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",118,0,0.25
2020H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",28,0,0.15
2020H1,California,Placer,Surgical Site Infections (SSI),Ovarian surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),Rectal surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.05
2020H1,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",25,1,0.43
2020H1,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.03
2020H1,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,8,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,3113,47,41.48
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,46,0,0.45
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,68,4,2.11
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,76,0,0.5
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,210,2,1.07
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,166,11,9.2
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,39,0,0.47
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,347,3,4.3
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,105,1,0.9
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,65,2,0.83
2020H1,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,118,1,1.37
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,170,1,2.78
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,8,0,0.06
2020H1,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,176,1,0.58
2020H1,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,160,0,1.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,108,0,0.77
2020H1,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,175,0,0.78
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,330,9,4.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,126,0,0.12
2020H1,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,40,0,1.14
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,190,7,4.21
2020H1,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,222,3,3.74
2020H1,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,31,1,0.27
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,125,1,0.78
2020H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",310,0,1.57
2020H1,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",13,0,0.04
2020H1,California,El Dorado,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",24,0,0.03
2020H1,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",14,0,0.29
2020H1,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.06
2020H1,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.03
2020H1,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",22,0,0.07
2020H1,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.07
2020H1,California,El Dorado,Surgical Site Infections (SSI),Knee prosthesis,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",29,0,0.06
2020H1,California,El Dorado,Surgical Site Infections (SSI),Laminectomy,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",14,0,0.04
2020H1,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",66,0,0.46
2020H1,California,El Dorado,Surgical Site Infections (SSI),Ovarian surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.17
2020H1,California,El Dorado,Surgical Site Infections (SSI),Spinal fusion,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",74,0,0.23
2020H1,California,El Dorado,Surgical Site Infections (SSI),Spleen surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.02
2020H1,California,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",315,0,1.5
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",22,0,0.06
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.02
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.08
2020H1,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",20,0,0.11
2020H1,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",11,0,0.06
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",21,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",12,0,0.1
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",46,0,0.26
2020H1,California,San Joaquin,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",78,0,0.32
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",8,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",26,0,0.15
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Pacemaker surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",42,0,0.07
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.14
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Spinal fusion,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",9,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Thoracic surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",197,0,0.66
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",15,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",38,0,0.05
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",7,0,0.11
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",6,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",27,0,0.07
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",42,0,0.11
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",11,0,0.06
2020H1,California,San Joaquin,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",6,0,0.03
2020H1,California,San Joaquin,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",9,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",9,0,0.03
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",17,0,0.07
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",10,0,0.04
2020H1,California,Calaveras,Surgical Site Infections (SSI),All procedures,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,16,0,0.07
2020H1,California,Calaveras,Surgical Site Infections (SSI),Appendix surgery,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,1,0,0.0
2020H1,California,Calaveras,Surgical Site Infections (SSI),Colon surgery,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,1,0,0.02
2020H1,California,Calaveras,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,1,0,0.0
2020H1,California,Calaveras,Surgical Site Infections (SSI),Gallbladder surgery,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,3,0,0.01
2020H1,California,Calaveras,Surgical Site Infections (SSI),Hip prosthesis,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,2,0,0.01
2020H1,California,Calaveras,Surgical Site Infections (SSI),Knee prosthesis,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,5,0,0.02
2020H1,California,Calaveras,Surgical Site Infections (SSI),Open reduction of fracture,30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,3,0,0.02
2020H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",443,0,2.23
2020H1,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",22,0,0.05
2020H1,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",57,0,0.08
2020H1,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",25,0,0.56
2020H1,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",23,0,0.13
2020H1,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",26,0,0.09
2020H1,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",3,0,0.03
2020H1,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",65,0,0.4
