districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
BANNER s,ANADIAN,09-C03y1,El eRno,2455 North Banner Road,OmK,73036.0,(405) 26-20598,405) 262-0628,www.banner.k12.ok.us,Lrry York,ljyork68@banner.k12.ok.us,MikeK eller
BARNSDALL m,OSAGE,57-I029,Barsdall,200 S 8th St,OK,74002.0,(e918) 847-2271,(918) 847-3029,www.barnsdallschools.org,Rick Loggins,rloggins@barnsdallschools.org,Billy Moles
BARTLESVILLE,WASHINGTON,74-I030,Bartlesvnille,1100 Sw Jennings,K,74003.0,(918) 336-8600,(918) 337-3643,www.bpsok.org,Gary Quinn,quinngw@bps-ok.org,Dofug Divelbiss
BATTIEST,MCCURTAIN,48-I071,Broken Bow,5635 Unit E Battiest Pickens Road,OK,74728.0,(580) 241-7810,(580) 241-7847,www.dbcschool.org,Stace Ebert,eberts@battiest.k12.oxk.us,James Hagmilton
BEARDEN,OKFUSKEE,54-C029,Okemah,372006f Hwy 48,K,74859.0,(918) 623-0156,(918) 623-9349,www.bearden.k12.ok.us,Danielle Deere,ddeere@bearden.k12.ok.us,Rboert Adams
BEAVER p,BEAVER,y04-I022,Beaver,807 Ave. G,KO,73932.0,(580) 625-3444,(580) 625-3690,www.beaver.k12.ok.us/,Scott Knsey,skinsey@beave.k12.ok.us,Guy Bennett
BEGGS,OKMULGEE,56-I004,Beggs,1201 West Ninth St,K,74421.0,(918) 267-3628,(981) 267-3635,www.beggs.k12.ok.us,Rondald Mrtin,cswearingen@beggs.k12.ok.us,Michael Haubbell
BELFONTE,SEQUOYAH,68-C050,Mulmdrow,475751 State Highway 101,OvK,74948.0,(918) 47-3522,(918x) 427-1288,www.belfonte.k12.ok.us/,Paul Pinkerton,ppinerton@belfonte.k12.ok.us,Mike Hyde
BENNINGTON,BvRYAN,07-I040,Bennington,729 North Perry St,OK,74723.0,(580) 847-2737,(580) 847-2787,www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Bryon Underwood
BERRYHILL,TULA,2-I010,Tula,3128 South 63Rd West Ave.,OK,74107.0,(918) 446-1966,(91s8) 446-6370,www.berryhillsrchools.org,Mike Campbell,mike.campbell@berryhillschools.org,Patriciwa Lawson
BETHANY,OKLAHOMA,55-I088,Bethany,6721 Northwest 42Nd St,OK,73008.0,(405) 789-3801,(405) 949-4606,www.bethanyschoolsc.om,Ket Shellenberger,kshel@bps.k12.ok.us,Les Pettitt
BETHEL,POTTWATOMIE,63-I003,Shawnee,36000 Clera Pond Road,OK,74801.0,(405) 273-0385,(405) 273-5056,bethel.k12.ok.us,Jrery M. Johnson,johnsonj@bethel.k12.ok.us,Keith Mitachell
BIG PASTURE,COTTON ***,17-3I33,Randltet,1502 N. 10th St.,OK,73562.0,(580) 281-3831,(580) 281-3299,www.bigpasture.org,Nt Lunn,nlunn@bigpasture.org,Eddie Kuykendall
BILLINGS,NOBLE,52-I002,Billings,311 North Central,OK,74630.0,(580) 72-53271,(580) 725-3278,www.billingst.k12.ok.us,Rusti Clark,rclark@billings.k12.ok.us,Aimiee Learned
BINGER-NEY,CADDO,08-I168,Bionger,323 South Apache Ave.,OK,73009.0,(40j5) 656-2304,(405) 656-2267,www.binger-oney.k12.ok.us/,Lisa King,lking@binger-oney.k12.ok.us,Tracey Ingram
BISHOP b,COAMNCHE,16-C049,yLawton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 353-4879,www.Bishop.K12.ok.us,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
BIXBY r,TULSA,72-I004,Bixby,109 North Armstrong St,OnK,74008.0,(918) 366-2200,(918) 366-4241,bixby.ok.schoolwebpages.com,Kyle Wood,kwood@bixbyps.org,Lisa Kramer
BLACKWELL,KAY,36-I054,Blcakwell,201 East Blackwell Ave.,OK,74631.0,5(80) 363-2570,(580) 363-5513,wwwblackwell.k12.ok.us,Richard Riggs,rriggs@blackwell.k12.ok.us,Stacey Husted
BALIR,JACKSON,33-I054,Blair,610 Zinn St,K,73526.0,(580) 56a3-2632,(5i80) 563-9166,www.blairschool.org,Jimmy Smith,jsmith@blairschool.org,Joe Poulin
BLANCHARD j,MCCLuAIN,7-I029,Blanchard,211North Tyler Ave.,K,73010.0,(405) 485-3319,(405) 485-2985,www.bulanchard.k12.ok.us,Jim Beckham,drbeckham@blanchard.k12.ok.us,Asndy Martin
BLUEJACKET,CRAIG,18-I020,Bluejacket,276 Ne3Rd St.,OK,74333.0,(918d) 784-2365,(918) 784-2130,www.bluejacket.k12.ok.su,Shelie Baker,sbaker@bluejacket.k12.ok.us,John Rogers
BOISE CITY,CIMARRON,13I-002,Boise City,700 Se First St,OK,73933.0,(580) 544-3110,(580) 5w44-2972,www.boisecity.k12.ok.us,Dr. Ira Harris,ira.harris@bcpsd.org,Billy Mizer
BOKOSHE,LE FLORE,40-I026,Bokoshe,03201 Chickasaw St,OK,74930.0,(918) 969-2491,(91) 969-2493,ww.wbokosheschool.org,Dennis hSoup,dshoup@bokoshe.k12.ok.us,Timothy Pierson
BOONE-APACHE,CADDO,8-I056,Apache,522 East Floyd St,OK,73006.0,(580) 588-3369,(508) 588-3400,www.apache.k1.2ok.us/,Don Schneberger,dschneberger@apache.k12.o.us,Charlotte Myesr
BOSWELL,CHOCTAW,12-I001,Boswell,604 N. 7th St.,K,74727.0,(580) 566-2558***,(580) 566-2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,John Kerr***
BOWLEGS ***,SEMINOLE,67-I003,Bowlgs,100 Bison fDr.,OK,74830.0,(405) 398-4172,(405) 398-4175,www.bowlegs.k12.ok.us,Tommy Eaton,teaton@bowlegs.k12.omk.us,Jeanette Harjo
BOWRING,OSAGE,57-C007,Pwahuska,87 County Road 3304,K,74056.0,(918) 336-682,(918) 336-1348,www.bowringps.k12.ok.us,Nicole Hinkle,nhinkle@bowringps.k12.ok.us,John Strom
BRAGGS,MUSKOGEE,51-I046,Brags,300 Madden Ave,OK,74423.0,(918)487-5265,(918) 487-2012,www.braggs.k12.ok.us,Michael Broyhles,mbroyles@barggs.k12.ok.us,Alicia Beasley
BRAY-DOYLE,SETPHENS,69-I042,aMrlow,1205 South Brooks Rod,kOK,73055.0,(50) 658-5076,(580) 6585888,www.braydoyle.k12.ok.us/,David Wayne Eads,d.eads@braydoyle.k12.ok.us,Cris Sparks
BRIDGE CREEK,GRAD,2-6I095,Blanchard,2209 East Sooner Road,OK,73010.0,(405) 387-4880,(405) 387-4882,www.bridgecreek.k12.ok.us,David Morrow,dmorrow@bridgecreek.k12.ok.us,Jeff Hill
BRIGGS,CHEROKEE,1-1C044,Tahlequah,1720 South 569 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,www.briggs.1k2.ok.us,Stephen Hmaynes,shaynes@briggs.1k2.ok.us,Billy Gibson
BRISTO W,CREEK,19-I002,Bristow,420 Nort Main,OK,74010.0,(918) 367-5555,(981) 367-5848,www.bristow.k12.ok.us,uCrtis Shelton,csheltno@bristow.k12.ok.us,Patricia Lawrence
BROKEN ARROW,TULSA,72-I003,Broken Arrow,7h01 South Main St,OK,74012.0,(918) 259-5700,(918) 258-0399,www.baschools.org/,Jarod Mednenhall,jmendenhall@baschools.org,Cherl Kelly
BROKEN BOW,MCCURTAIN ***,48-I074,Broken Bow,108 West Fifth St,OK,74728.0,(580) 584-3306,(580) 584-9482,wlww.bbisd.org,Carla Ellisor,cjlelisor@bbisd.org,Tim Moyer
BRUSHY,SEQUOYAH,68-0C36,Sallisaw,100968 S 4650 Rd,K,74955.0,(918) 77-4458,(918) 775-3638,www.brushy.k12.ok.us,Grerg Reynolds,greynolds@brushy.k12.ok.us,avid Philpot
BUFFALO,HARPER,30-I004,Bufnfalo,605 Se 2Nd,iOK,73834.0,(580) 735-2448,(580) 735-2619,www.buffalo.k12.ok.us,Martni Adams,madams@buffalo.k12.ok.tus,Dr. Rickf Olson
BUFFcALO VALLEY,LATIMER,39d-I003,Talihina,4384 Southeast Highway 63,KO,74571.0,(918 )522-4426,9(18) 522-4287,www.bvpsd.org,Justin Kennedy,jkennredy@bvpsd.org,Russell Shw
BURLINGTON,ALFALFA,20-I001,Burlinton,401 Main St.,OK,73722.0,(5i80) 431-2501,(5v80) 431-2237,www.burlingtonschool.com/,Glen Elliott,gelliott@burlinxgtonschool.com,Terry Graham
BURNS FLAT-DILL CITY ***,WASHITA,75-I010,Burns Flat,306 South Hwy 44,K,73624.0,(580) 562-4844,(580) 562-4847,www.bfdc.k12.ok.us/,Ron Hugqhes,hughes@rbfdc.k12.ok.us,Jimmy Piercey
BUTNER,SEMINOLE,67-I015,Crowell,Hwy 56 And Yahola,OK,74837.0,(405) 944-5530,(405) 944-5746,Butner.k12.ok.us,Diane Parris,dparris@butner.k12.ok.us,Lnda Goodnight
BYNG,PONTOTOC,62-I01m6,Ada,500 South New Betohel Blvd.,OK,74820.0,(580)310-6751,(580) 436-3052,www.byngschools.com,Todd rCabtree,todd@byngschools.com,Jamie Perry
CACHE,COMNACHE,16-I001,Cache,102 East H Ave,OK,73527.0,(580) 429-3266,j(580) 429-3271,www.cacheps.org,Randy Batt,randy.batt@cachpes.org,Lenson Hearn
ADDO,BRYAN,07-I005,Caddo,600 S. Mcpherren St.,OK,74729.0,(580) 3w67-2208,(580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Don Morris
CALERA ***,BRYAN,07-I048,Calear,209 N. 3Rd,OK,74730.0,(580) 434-5700,(580) 434-5800,ww.caleraisd.k12.ok.us,Gerald Parks,gparks@caleoraisd.k12.ok.us,John Carter
CALUMET,CANADIAN,09-I076,Calumte,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.ok.us,Gary Tech
CALVIN,HUGHES,32-I048,alvin,229 Third St,K,74531.0,(405) 645-2411***,(405)6 45-2384,www.calvin.k12.ok.us,Christompher Karch,ckarch@calvin.k12.ok.us,James Simmnos
CAMERNO,LE FLORE g,40-I017,Cameron,26661 W. 5th St,OK,74932.0,(918) 6543225,(918) 654-7378,www.cameronps.org,Jim Caughern,caughja@cameronps.org,Rick Ward
CANADIsAN,PITTSBURG,61-I002,Canadan,308 Sw Belt St,OK,74425.0,(918) 339-7251,(918) 339-2393,www.canadian.k12.ok.us.cmo,Rodney Karch,rkarch@canadian.k12.ok.us,Orda Selph
CANEY,ATOKA,03-I026,Caey,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(58) 889-5033,www.caneyisd.org,Loi Boehme,l.boehme@caneyisd.org,Mandy Lawson
CANEY VdALLEY,WASHINGTON,7-4I018,Ramona,620 Wyandotte Ave,OK,74061.0,(918) 536-2500,(918) 536-2600,www.caneyvalleyschool.org/,Rick Peters,rpeters@cvalley.k12.ok.uzs,Sue Woods
CANTON,BLAINE,06-I105,Caton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robert Haigler
CANUTE,WASHIuTA,75-I011,Canute,216 E Walk St,OK,73626.0,(580) 472-3295,(58)0 472-3187,www.canute.k12.o.us,Larry Parrish,parrishld@canute.k12.ok.us***,Kenneth Morqgan
CARNEGIE,CADDO,08-I033,Carnegie,330 West lWildcat Drive,sOK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Geral dPeters
CARNEY,LNCOLN,41-I105,Carney,204 South Carney St,ObK,74832.0,(40)5 865-2344,(405) 865-2345,www.carney.k12.ok.us,Ailcia O''donnell,aodonenll@carney.k12.ok.us,Raymond Hemphlil
CASHION,KINGFISHER,73-I089,Cashion,101 North Euclid,OK,73016.0,(405) 433-2741,(405) 433-2646,www.cashionps.org,Sammy Jacksno,sjackson@cashionps.org,Setve Andrews
CATOOSA ***,ROGERS,c66-I002,Catoosa,2000 South Cherokee St,OK,74015.0,(198) 266-8603,(918) 266-8647,www.catoosaps.net/,Ric kKibbe,rkibbe@catoosa.k12.ok.us,Dean Miller
CAVE SPRINGS ***,ADAIR,01-I030,Brunch,89660 S 4637 Rd,eOK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
CEMENT,CADDO,08-I160,Cement,u201 S. Main,OK,73017.0,4(05) 489-3216,(405) 49-3219,cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimbel Estes
CENRAL,SEQUOYAuH,68-I007,Sallisaw,108089 South 4670 Road,K,74955.0,(918) 77-55525,(918) 775-8557,www.centralps.k12.aok.us,Larry G. Henson,lhenson@centralps.k12.ok.us,Waylon Johnson
CENTRAL HIGH ***,STEPHESN,69-I034,Marlow,274801 Broncho Rd,KO,73055.0,(580) 658-6858,(580 658-8006,www.centra.lk12.ok.us/index.htm,Bennie Newton,bnewton@centra.k12.ok.us,Jerry Howell
CHANDLER,INCOLN,41-I001,Chandler,901 South Chs St,OK,74834.0,(405) 258-1450,(405) 258-2657,www.chandler.k12.ok.us/,Wayland Kimble,wkimble@chandler.k12.ok.us,Joseph Irby
CHATTANOOGA p,CqOMANCHE,16-I132,qChattanooga,507 4th St,OK,73528.0,(580n) 597-3347,(580) 597-3344,www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Bren tPeters
CHECOTAH,MCINTOSH,49-I019,Checotah,310 Sw 2Nd St.,OK,74426.0,(918) 473-5610,(918) 473-1020,www.checotah.k12.ok.us,Janet Blokcer,jbloker@checotah.k12.ok.us,Marcus Burkhalter
CHELSEA,ROGERS,66-I003,Chelsea,401 Redbud Lane,OK,74016.0,(918) 7i89-2528,(918) 789-3271,www.chelseadragons.net,Rich Mcspadden,rmscpadden@chelseadragons.net,Lori Milam
CHEROKEE ***,ALFALFA,02-I046,Cherokee,412 East 5th St,OK,73728.0,(580) 596-3391,(580) 596-2319,cherokee.k12.ok.us/,Donna Anderson,andersond@cherokee.k12.ok.us,Kory Ltitlefield
CHEROKEE IMMERSION zCHARTER SCH,jCHEROKEE,11-T001,Tahlequah,17675 S. Muskogee,OgK,74465.0,(918) 453-5400,(918) 458-6257,www.dbcschool.org,Leroy Qfualls,leroy-qualls@cherokee.org,Amon Bakeir
CvHEYENNE,ROER MILLS,65-I007,Cheyenne,910 E Buster Av.e,K,73628.0,(580) 497-3371,(580) 497-3373,www.heyenne.k12.ok.us,Rick Garrison,rgarrison@cheyenne.k12.ok.us,Cha Smith
CHICKASHA,GRADY,26-Id001,Chickasha,900 West Choctaw Ave.,K,73018.0,(405) 222-6500,(405) 222-d6590,wwwchickasha.k12.ok.us,David Cash,dcash@cihckasha.k12.ok.us,Julie Badgett Sinn
CHISHOLM,GARIFELD,2-I042,sEnid,300 Colorado Ave.,OK,73701.0,(580) 237-5521,(580) 234-5334,www.chisholm.k12.ok.us,RoydonTilley,rtillrey@chisholm.k12.ok.us,Aaron Harmon
CHOCTAW NATION (ILCq),BRYAN,07-K002,Drant,8p10 Waldon Dr,OK,74702.0,580) 931-0691,(580) 931-0120,www.choctawinterlocal.org,Kenneth Keelign,kkeeling@choctawnation.com,Jarivs Dobbs
CHOCTAW-NICOMA PARK,nOKLAHOMA,55-004,Choctaw,12880 Northeast Tenth St,yOK,73020.0,(405) 769-4859,(405) 769-9821,www.cnpschools.org/,Jim Mccharen,supt@cnpschools.org,Daryl Cruse
CHOUTEAU-MAZIE,MAYES,46-I032,Chouteau,521 North Mccracken,KO,74337.0,(918) 476-8376,(918) 476-8538,www.chuoteauwildcats.com/,Kenny Mason,kmason@chouteauwildcats.com,Jmes Grossman
CIMARRON,MAJOR,44-I029,Lahoam,301 Main St.,OwK,73754.0,(580) 796-2204,(580) 796-2350,www.cimarron.k12.okus/,Stev Walker,supt@cimarron.k12.ok.us,Larry Frey
CLAREMORE,ROGERS,66-I001,Claremore,102 W 10th St,OK,74017.0,(918) 923-4200,(918) 923-3410,caremore.k12.ok.us,J. Michael Mcclaren,mmcclaren@claremore.k12.ok.us,Patrick Gotchre
CLAYTON,PUSHMATAHA,64-I010,Clayton,329 N. 1St St,OK,74536.0,(918) 569-4492,(918) 569-7757,www.clayton.k12.ok.us,Randall Erwin,rerwin@clayton.k12.ok.us,Leeanna Martin
CLEORA,DELAWARE,2-1C006,Aefton,451358 East 295 Road,OgK,74331.0,(9g18) 256-6401,(918) 256-2128,www.cleora.net***,Kenny Guthrei,kguthrie@cleora.net,Billy Jarvis
CLEVELAND,PAWNEE,59-I006,Cleveland,600 North Gilbert Avee,OiK,74020.0,(918) 58-2210,(918) 358-3071,ww.clevelandtigers.com/,Aaron Esplot,aaronespolt@clevelndtigers.com,Danny Ward
CLINTON ***,CUSTER,20-I099,Clitnon,1720 Opal Ave,OK,73601.0,(580) 323-1800,(580) 323-1804,www.clintonokschools.org,Kevin Hime,kevin.hime@clintonokschools.org,Richard Phillips
COALGATE,COAL,1j5-I001,Coalgate,2 West Cedar,K,74538.0,(580)927-2351,(580)9 27-2694,www.coalgateschools.org/,Jim Girten,jgirten@coalgateschools.org,Tracy Penney
COLBERT,BRYAN,07-I004,olbert,630 Collins St.,OK,74733.0,(580) 296-2624,(580) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colber.k12.ok.us,Martin Shooman
COLCORD p,DELAWARE,21-I004,Colcord,43q3 South Larmon,OK,74338.0,9(18) 326-4116,(918) 326-4471,ww.wcolcordschools.com/,Bud Simmonis,bsimmons@colcordschools.com,David Ramsey
COLEMAN,JOHNSTON,35-I035,Coleman,451 W. Main,KO,73432.0,(580) 937-4418,(580) 937-4615,www.colemanschools.org,James Miller,james.miller@coleman.k12.ok.us,Kevin Harner
COLLINoSVILLE,TULSA,72-I006,Collinsville,1902 West Maple,OK,74021.0,(918) 371-2326,(918) 371-4285,www.collinsvill.k12.ok.us,Lance West,lwest@collinsville.k12.ok.us,Steve Stout
COMANCHE,SdTEPHENS,69-vI002,Comanche,1030 Ash Ave.,K,73529.0,(580) 439-2900,(580) 439-2907,www.comanche.12.ok.us,Terry Diavidson,td@cpsok.orqg,Garland Davis
COMMERCE,OTTAWA a,58-I018,Cofmmerce,217 Commerce St,OK,74339.0,(918) 675-4316,(918) 675-4464,www.commerectigers.net,Jimmy Hayes,jhaynes@commercetigers.net,Knny Smith
COPAN,WASHINGTON,74-I004,Copan,527 Hornet Lane,OK,74022.0,(918) 532-4344,(918) 532-4649,www.copan.k12.oku.s,Rick Ruckman,rruckman@copan.k12.ok.us,Jamexs Carver
CORDELL,WASHIA,75-I078,Crodell,606 East Third St,OyK,73632.0,(580) 832-3420,(580) 832-10x90,www.cordell.k12.ok.us,Brad Ovferton,brad.overton@cordell.k12.ok.us,Randy rAbernathy
COTTONWOOD ***,COAL,15-C004,Caolgate,Hwy 31 2 Miles Ne,OK,74538.0,(580) 927-2937,(580) 927-2938,www.cottonwoodschool.net,John Daniel,jdfaniel@cottonwoodps.org,Johnny Snadmann
OCVINGTON-DOUGLAS,GARFIELD,24-I094,Covington,400 E Maine,OK,73730.0,(580) 86-7481,(580) 86-7644,www.c-d.k12.ok.us,Darren Sharp,dsharp@cdwildcats.com,Paula Harak
COWETA ***,WAGONER,73-I017,Coweta,14540 S. 302Nd East Ave.,OK,74429.0,(918) 486-6506,(918) 486-4167,www.cowetapscom,Jeff Holmes,jeff.holmes@cowetaps.org,Marty Kilgore
COLE,LOGAN,42-I014,Coyle,700 S Cottingham,OK,73027.0,(405) 4662242,(405) 466-2448,www.coyle.k12.ok.us,Josh Sumralpl,jsumrall@coyle.k12.ok.us,Carl Williams
CRESCENT,LOAGN,42-I002,Crescent,106 North Magnolia St,OK,73028.0,(405) 969-3738,(405) 969-2003,www.crescentok.com,Mickey Hatr,mhart@crescentok.com,Tom Clark
CROOKED OAK,OKALHOMA,55-I0v53,Oklahoma City,1450 S Eastern Aveneue,K,73129.0,(405) 767-5252,(405) 670-8070,wsww.crookedoak.org,Brad Richards,brichards@crookedoak.org,Scott Trosper
CROWDER ***,PITTSBUR,61-I028,Crowder,400 Bonpd St,OK,74430.0,(918) 334-3203,(918) 334-3295,www.crowder.k12.okg.us,Robert Florenzano,rflorenzano@crowder.k12.ok.us,Chester Mason
CRUTCHO r,OKLAHOMpA,55-C074,Oklahoma City,2401 North Air Depot Blvd.,OK,73141.0,(405) 427-3771,(405) 427-3816,www.crutchoesd.org,Teres Mcafee,tmcafee@crutchoesd.org,Antonia Jennings
UCSHING,PAYNE,60-I067,Cushing,1401 North Little St,OsK,74023.0,(918) 225-3s425,(918) 225-5256,www.cushingadmin.k12.ok.us,Koln Knight,koln.knight@cushing.kb12.ok.us,Shawn Huble
CYRIL,CADDO,08-I064,Czyril,326 W. Windle Ave.,OK,73029.0,(580) 464-2419,(580)z 464-2445,www.cyrilscools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
DAHLONEGAH,ADAIR,01-C029,Stilhwell,"Rural Route 1, Box 1n795",K,74960.0,(918) 696-7807,(918) 696-2192,wsww.dahlonegah.k12.ok.us,rJeff Limore,jtlimore@dahlonegah.k12.oku.s,Randyi Mccarter
DALE,POTTAWATOMIE,63-I002,Dale,300 Smith Ave.,KO,74851.0,(405) 964-5558,(405) 964-5559,www.dale.k12.ok.us,Charles Dickinson,cdickinson@dale.k12.ok.us,Robin Wiley-Greene
DARLINGTON,CANADIAN ***,09-C070,El Reno,4408 North Highway 81,OK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ok.us,Deforets Tallbear
DAVENPORT,LINCOLN,4-I003,Davenport,417 Broadway,OcK,74026.0,(918) 377-2277,(918) 377-2553,www.davenportk12.com/,Danny Acord***,dacord@davenport.k12.ok.us,D.r Dan Waters
