districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
BENNINGTON,BRYAN,07-I040,Bennington,729 North Perry St,OK,74723.0,(580) 847-2737,(580) 847-2787,www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Bryon Underwood
BERRYHILL,TULSA,72-I010,Tulsa,3128 South 63Rd West Ave.,OK,74107.0,(918) 446-1966,(918) 446-6370,www.berryhillschools.org,Mike Campbell,mike.campbell@berryhillschools.org,Patricia Lawson
BETHANY,OKLAHOMA,55-I088,Bethany,6721 Northwest 42Nd St,OK,73008.0,(405) 789-3801,(405) 499-4606,www.bethanyschools.com,Kent Shellenberger,kshel@bps.k12.ok.us,Les Pettitt
BETHEL,POTTAWATOMIE,63-I003,Shawnee,36000 Clear Pond Road,OK,74801.0,(405) 273-0385,(405) 273-5056,bethel.k12.ok.us,Jerry M. Johnson,johnsonj@bethel.k12.ok.us,Keith Mitchell
BIG PASTURE,COTTON,17-I333,Randlett,1502 N. 10th St.,OK,73562.0,(580) 281-3831,(580) 281-3299,www.bigpasture.org,Nat Lunn,nlunn@bigpasture.org,Eddie Kuykendall
BILLINGS,NOBLE,52-I002,Billings,311 North Central,OK,74630.0,(580) 725-3271,(580) 725-3278,www.billings.k12.ok.us,Rustin Clark,rclark@billings.k12.ok.us,Aimie Learned
BINGER-ONEY,CADDO,08-I168,Binger,323 South Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,www.binger-oney.k12.ok.us/,Lisa King,lking@binger-oney.k12.ok.us,Tracey Ingram
BISHOP,COMANCHE,16-C049,Lawton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 353-4879,www.Bishop.K12.ok.us,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
BIXBY,TULSA,72-I004,Bixby,109 North Armstrong St,OK,74008.0,(918) 366-2200,(918) 366-4241,bixby.ok.schoolwebpages.com,Kyle Wood,kwood@bixbyps.org,Lisa Kramer
BLACKWELL,KAY,36-I045,Blackwell,201 East Blackwell Ave.,OK,74631.0,(580) 363-2570,(580) 363-5513,www.blackwell.k12.ok.us,Richard Riggs,rriggs@blackwell.k12.ok.us,Stacey Husted
BLAIR,JACKSON,33-I054,Blair,610 Zinn St,OK,73526.0,(580) 563-2632,(580) 563-9166,www.blairschool.org,Jimmy Smith,jsmith@blairschool.org,Joe Poulin
BLANCHARD,MCCLAIN,47-I029,Blanchard,211 North Tyler Ave.,OK,73010.0,(405) 485-3391,(405) 485-2985,www.blanchard.k12.ok.us,Jim Beckham,drbeckham@blanchard.k12.ok.us,Andy Martin
BLUEJACKET,CRAIG,18-I020,Bluejacket,276 Ne 3Rd St.,OK,74333.0,(918) 784-2365,(918) 784-2130,www.bluejacket.k12.ok.us,Shellie Baker,sbaker@bluejacket.k12.ok.us,John Rogers
BOISE CITY,CIMARRON,13-I002,Boise City,700 Se First St,OK,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.ok.us,Dr. Ira Harris,ira.harris@bcpsd.org,Billy Mizer
BOKOSHE,LE FLORE,40-I026,Bokoshe,30201 Chickasaw St,OK,74930.0,(918) 969-2491,(918) 969-2493,www.bokosheschool.org,Dennis Shoup,dshoup@bokoshe.k12.ok.us,Timothy Pierson
BOONE-APACHE,CADDO,08-I056,Apache,522 East Floyd St,OK,73006.0,(580) 588-3369,(580) 588-3400,www.apache.k12.ok.us/,Don Schneberger,dschneberger@apache.k12.ok.us,Charlotte Myers
BOSWELL,CHOCTAW,12-I001,Boswell,604 N. 7th St.,OK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,John Kerr
BOWLEGS,SEMINOLE,67-I003,Bowlegs,100 Bison Dr.,OK,74830.0,(405) 398-4172,(405) 398-4175,www.bowlegs.k12.ok.us,Tommy Eaton,teaton@bowlegs.k12.ok.us,Jeanette Harjo
BOWRING,OSAGE,57-C007,Pawhuska,87 County Road 3304,OK,74056.0,(918) 336-6892,(918) 336-1348,www.bowringps.k12.ok.us,Nicole Hinkle,nhinkle@bowringps.k12.ok.us,John Strom
BRAGGS,MUSKOGEE,51-I046,Braggs,300 Madden Ave,OK,74423.0,(918) 487-5265,(918) 487-2012,www.braggs.k12.ok.us,Michael Broyles,mbroyles@braggs.k12.ok.us,Alicia Beasley
BRAY-DOYLE,STEPHENS,69-I042,Marlow,1205 South Brooks Road,OK,73055.0,(580) 658-5076,(580) 658-5888,www.braydoyle.k12.ok.us/,David Wayne Eads,d.eads@braydoyle.k12.ok.us,Cris Sparks
BRIDGE CREEK,GRADY,26-I095,Blanchard,2209 East Sooner Road,OK,73010.0,(405) 387-4880,(405) 387-4882,www.bridgecreek.k12.ok.us,David Morrow,dmorrow@bridgecreek.k12.ok.us,Jeff Hill
BRIGGS,CHEROKEE,11-C044,Tahlequah,17210 South 569 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,www.briggs.k12.ok.us,Stephen Haynes,shaynes@briggs.k12.ok.us,Billy Gibson
BRISTOW,CREEK,19-I002,Bristow,420 North Main,OK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.ok.us,Curtis Shelton,cshelton@bristow.k12.ok.us,Patricia Lawrence
BROKEN ARROW,TULSA,72-I003,Broken Arrow,701 South Main St,OK,74012.0,(918) 259-5700,(918) 258-0399,www.baschools.org/,Jarod Mendenhall,jmendenhall@baschools.org,Cheryl Kelly
BROKEN BOW,MCCURTAIN,48-I074,Broken Bow,108 West Fifth St,OK,74728.0,(580) 584-3306,(580) 584-9482,www.bbisd.org,Carla Ellisor,cjellisor@bbisd.org,Tim Moyer
BRUSHY,SEQUOYAH,68-C036,Sallisaw,100968 S 4650 Rd,OK,74955.0,(918) 775-4458,(918) 775-3638,www.brushy.k12.ok.us,Greg Reynolds,greynolds@brushy.k12.ok.us,David Philpot
BUFFALO,HARPER,30-I004,Buffalo,605 Se 2Nd,OK,73834.0,(580) 735-2448,(580) 735-2619,www.buffalo.k12.ok.us,Martin Adams,madams@buffalo.k12.ok.us,Dr. Rick Olson
BUFFALO VALLEY,LATIMER,39-I003,Talihina,4384 Southeast Highway 63,OK,74571.0,(918) 522-4426,(918) 522-4287,www.bvpsd.org,Justin Kennedy,jkennedy@bvpsd.org,Russell Shaw
BURLINGTON,ALFALFA,02-I001,Burlington,401 Main St.,OK,73722.0,(580) 431-2501,(580) 431-2237,www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
BURNS FLAT-DILL CITY,WASHITA,75-I010,Burns Flat,306 South Hwy 44,OK,73624.0,(580) 562-4844,(580) 562-4847,www.bfdc.k12.ok.us/,Ron Hughes,hughesr@bfdc.k12.ok.us,Jimmy Piercey
BUTNER,SEMINOLE,67-I015,Cromwell,Hwy 56 And Yahola,OK,74837.0,(405) 944-5530,(405) 944-5746,Butner.k12.ok.us,Diane Parris,dparris@butner.k12.ok.us,Linda Goodnight
BYNG,PONTOTOC,62-I016,Ada,500 South New Bethel Blvd.,OK,74820.0,(580) 310-6751,(580) 436-3052,www.byngschools.com,Todd Crabtree,todd@byngschools.com,Jamie Perry
CACHE,COMANCHE,16-I001,Cache,102 East H Ave,OK,73527.0,(580) 429-3266,(580) 429-3271,www.cacheps.org,Randy Batt,randy.batt@cacheps.org,Lenson Hearn
CADDO,BRYAN,07-I005,Caddo,600 S. Mcpherren St.,OK,74729.0,(580) 367-2208,(580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Don Morris
CALERA,BRYAN,07-I048,Calera,209 N. 3Rd,OK,74730.0,(580) 434-5700,(580) 434-5800,www.caleraisd.k12.ok.us,Gerald Parks,gparks@caleraisd.k12.ok.us,John Carter
CALUMET,CANADIAN,09-I076,Calumet,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.ok.us,Gary Tech
CALVIN,HUGHES,32-I048,Calvin,229 Third St,OK,74531.0,(405) 645-2411,(405) 645-2384,www.calvin.k12.ok.us,Christopher Karch,ckarch@calvin.k12.ok.us,James Simmons
CAMERON,LE FLORE,40-I017,Cameron,26661 W. 5th St,OK,74932.0,(918) 654-3225,(918) 654-7387,www.cameronps.org,Jim Caughern,caughja@cameronps.org,Rick Ward
CANADIAN,PITTSBURG,61-I002,Canadian,308 Sw Belt St,OK,74425.0,(918) 339-7251,(918) 339-2393,www.canadian.k12.ok.us.com,Rodney Karch,rkarch@canadian.k12.ok.us,Orda Selph
CANEY,ATOKA,03-I026,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,Lori Boehme,l.boehme@caneyisd.org,Mandy Lawson
CANEY VALLEY,WASHINGTON,74-I018,Ramona,620 Wyandotte Ave,OK,74061.0,(918) 536-2500,(918) 536-2600,www.caneyvalleyschool.org/,Rick Peters,rpeters@cvalley.k12.ok.us,Sue Woods
CANTON,BLAINE,06-I105,Canton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robert Haigler
CANUTE,WASHITA,75-I011,Canute,216 E Walk St,OK,73626.0,(580) 472-3295,(580) 472-3187,www.canute.k12.ok.us,Larry Parrish,parrishld@canute.k12.ok.us,Kenneth Morgan
CARNEGIE,CADDO,08-I033,Carnegie,330 West Wildcat Drive,OK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
CARNEY,LINCOLN,41-I105,Carney,204 South Carney St,OK,74832.0,(405) 865-2344,(405) 865-2345,www.carney.k12.ok.us,Alicia O'donnell,aodonnell@carney.k12.ok.us,Raymond Hemphill
CASHION,KINGFISHER,37-I089,Cashion,101 North Euclid,OK,73016.0,(405) 433-2741,(405) 433-2646,www.cashionps.org,Sammy Jackson,sjackson@cashionps.org,Steve Andrews
CATOOSA,ROGERS,66-I002,Catoosa,2000 South Cherokee St,OK,74015.0,(918) 266-8603,(918) 266-8647,www.catoosaps.net/,Rick Kibbe,rkibbe@catoosa.k12.ok.us,Dean Miller
CAVE SPRINGS,ADAIR,01-I030,Bunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
CEMENT,CADDO,08-I160,Cement,201 S. Main,OK,73017.0,(405) 489-3216,(405) 489-3219,cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimbel Estes
CENTRAL,SEQUOYAH,68-I007,Sallisaw,108089 South 4670 Road,OK,74955.0,(918) 775-5525,(918) 775-8557,www.centralps.k12.ok.us,Larry G. Henson,lhenson@centralps.k12.ok.us,Waylon Johnson
CENTRAL HIGH,STEPHENS,69-I034,Marlow,274801 Broncho Rd,OK,73055.0,(580) 658-6858,(580) 658-8006,www.central.k12.ok.us/index.htm,Bennie Newton,bnewton@central.k12.ok.us,Jerry Howell
CHANDLER,LINCOLN,41-I001,Chandler,901 South Chs St,OK,74834.0,(405) 258-1450,(405) 258-2657,www.chandler.k12.ok.us/,Wayland Kimble,wkimble@chandler.k12.ok.us,Joseph Irby
CHATTANOOGA,COMANCHE,16-I132,Chattanooga,507 4th St,OK,73528.0,(580) 597-3347,(580) 597-3344,www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Brent Peters
CHECOTAH,MCINTOSH,49-I019,Checotah,310 Sw 2Nd St.,OK,74426.0,(918) 473-5610,(918) 473-1020,www.checotah.k12.ok.us,Janet Blocker,jblocker@checotah.k12.ok.us,Marcus Burkhalter
CHELSEA,ROGERS,66-I003,Chelsea,401 Redbud Lane,OK,74016.0,(918) 789-2528,(918) 789-3271,www.chelseadragons.net,Rich Mcspadden,rmcspadden@chelseadragons.net,Lori Milam
CHEROKEE,ALFALFA,02-I046,Cherokee,412 East 5th St,OK,73728.0,(580) 596-3391,(580) 596-2319,cherokee.k12.ok.us/,Donna Anderson,andersond@cherokee.k12.ok.us,Kory Littlefield
CHEROKEE IMMERSION CHARTER SCH,CHEROKEE,11-T001,Tahlequah,17675 S. Muskogee,OK,74465.0,(918) 453-5400,(918) 458-6257,www.dbcschool.org,Leroy Qualls,leroy-qualls@cherokee.org,Amon Baker
CHEYENNE,ROGER MILLS,65-I007,Cheyenne,910 E Buster Ave.,OK,73628.0,(580) 497-3371,(580) 497-3373,www.cheyenne.k12.ok.us,Rick Garrison,rgarrison@cheyenne.k12.ok.us,Chad Smith
CHICKASHA,GRADY,26-I001,Chickasha,900 West Choctaw Ave.,OK,73018.0,(405) 222-6500,(405) 222-6590,www.chickasha.k12.ok.us,David Cash,dcash@chickasha.k12.ok.us,Julie Badgett Sinn
CHISHOLM,GARFIELD,24-I042,Enid,300 Colorado Ave.,OK,73701.0,(580) 237-5512,(580) 234-5334,www.chisholm.k12.ok.us,Roydon Tilley,rtilley@chisholm.k12.ok.us,Aaron Harmon
CHOCTAW NATION (ILC),BRYAN,07-K002,Durant,810 Waldon Dr,OK,74702.0,(580) 931-0691,(580) 931-0120,www.choctawinterlocal.org,Kenneth Keeling,kkeeling@choctawnation.com,Jarvis Dobbs
CHOCTAW-NICOMA PARK,OKLAHOMA,55-I004,Choctaw,12880 Northeast Tenth St,OK,73020.0,(405) 769-4859,(405) 769-9821,www.cnpschools.org/,Jim Mccharen,supt@cnpschools.org,Daryl Crusoe
CHOUTEAU-MAZIE,MAYES,46-I032,Chouteau,521 North Mccracken,OK,74337.0,(918) 476-8376,(918) 476-8538,www.chouteauwildcats.com/,Kenny Mason,kmason@chouteauwildcats.com,James Grossman
CIMARRON,MAJOR,44-I092,Lahoma,301 Main St.,OK,73754.0,(580) 796-2204,(580) 796-2350,www.cimarron.k12.ok.us/,Steve Walker,supt@cimarron.k12.ok.us,Larry Frey
CLAREMORE,ROGERS,66-I001,Claremore,102 W 10th St,OK,74017.0,(918) 923-4200,(918) 923-4310,claremore.k12.ok.us,J. Michael Mcclaren,mmcclaren@claremore.k12.ok.us,Patrick Gotcher
CLAYTON,PUSHMATAHA,64-I010,Clayton,329 N. 1St St,OK,74536.0,(918) 569-4492,(918) 569-7757,www.clayton.k12.ok.us,Randall Erwin,rerwin@clayton.k12.ok.us,Leeanna Martin
CLEORA,DELAWARE,21-C006,Afton,451358 East 295 Road,OK,74331.0,(918) 256-6401,(918) 256-2128,www.cleora.net,Kenny Guthrie,kguthrie@cleora.net,Billy Jarvis
CLEVELAND,PAWNEE,59-I006,Cleveland,600 North Gilbert Ave,OK,74020.0,(918) 358-2210,(918) 358-3071,www.clevelandtigers.com/,Aaron Espolt,aaronespolt@clevelandtigers.com,Danny Ward
CLINTON,CUSTER,20-I099,Clinton,1720 Opal Ave,OK,73601.0,(580) 323-1800,(580) 323-1804,www.clintonokschools.org,Kevin Hime,kevin.hime@clintonokschools.org,Richard Phillips
COALGATE,COAL,15-I001,Coalgate,2 West Cedar,OK,74538.0,(580) 927-2351,(580) 927-2694,www.coalgateschools.org/,Jim Girten,jgirten@coalgateschools.org,Tracy Penney
COLBERT,BRYAN,07-I004,Colbert,630 Collins St.,OK,74733.0,(580) 296-2624,(580) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
COLCORD,DELAWARE,21-I004,Colcord,433 South Larmon,OK,74338.0,(918) 326-4116,(918) 326-4471,www.colcordschools.com/,Bud Simmons,bsimmons@colcordschools.com,David Ramsey
COLEMAN,JOHNSTON,35-I035,Coleman,451 W. Main,OK,73432.0,(580) 937-4418,(580) 937-4615,www.colemanschools.org,James Miller,james.miller@coleman.k12.ok.us,Kevin Harner
COLLINSVILLE,TULSA,72-I006,Collinsville,1902 West Maple,OK,74021.0,(918) 371-2326,(918) 371-4285,www.collinsville.k12.ok.us,Lance West,lwest@collinsville.k12.ok.us,Steve Stout
COMANCHE,STEPHENS,69-I002,Comanche,1030 Ash Ave.,OK,73529.0,(580) 439-2900,(580) 439-2907,www.comanche.k12.ok.us,Terry Davidson,td@cpsok.org,Garland Davis
COMMERCE,OTTAWA,58-I018,Commerce,217 Commerce St,OK,74339.0,(918) 675-4316,(918) 675-4464,www.commercetigers.net,Jimmy Haynes,jhaynes@commercetigers.net,Kenny Smith
COPAN,WASHINGTON,74-I004,Copan,527 Hornet Lane,OK,74022.0,(918) 532-4344,(918) 532-4649,www.copan.k12.ok.us,Rick Ruckman,rruckman@copan.k12.ok.us,James Carver
CORDELL,WASHITA,75-I078,Cordell,606 East Third St,OK,73632.0,(580) 832-3420,(580) 832-1090,www.cordell.k12.ok.us,Brad Overton,brad.overton@cordell.k12.ok.us,Randy Abernathy
COTTONWOOD,COAL,15-C004,Coalgate,Hwy 31 2 Miles Ne,OK,74538.0,(580) 927-2937,(580) 927-2938,www.cottonwoodschool.net,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COVINGTON-DOUGLAS,GARFIELD,24-I094,Covington,400 E Maine,OK,73730.0,(580) 864-7481,(580) 864-7644,www.c-d.k12.ok.us,Darren Sharp,dsharp@cdwildcats.com,Paula Harak
COWETA,WAGONER,73-I017,Coweta,14540 S. 302Nd East Ave.,OK,74429.0,(918) 486-6506,(918) 486-4167,www.cowetaps.com,Jeff Holmes,jeff.holmes@cowetaps.org,Marty Kilgore
COYLE,LOGAN,42-I014,Coyle,700 S Cottingham,OK,73027.0,(405) 466-2242,(405) 466-2448,www.coyle.k12.ok.us,Josh Sumrall,jsumrall@coyle.k12.ok.us,Carl Williams
CRESCENT,LOGAN,42-I002,Crescent,106 North Magnolia St,OK,73028.0,(405) 969-3738,(405) 969-2003,www.crescentok.com,Mickey Hart,mhart@crescentok.com,Tom Clark
CROOKED OAK,OKLAHOMA,55-I053,Oklahoma City,1450 S Eastern Aveneue,OK,73129.0,(405) 677-5252,(405) 670-8070,www.crookedoak.org,Brad Richards,brichards@crookedoak.org,Scott Trosper
CROWDER,PITTSBURG,61-I028,Crowder,400 Bond St,OK,74430.0,(918) 334-3203,(918) 334-3295,www.crowder.k12.ok.us,Robert Florenzano,rflorenzano@crowder.k12.ok.us,Chester Mason
CRUTCHO,OKLAHOMA,55-C074,Oklahoma City,2401 North Air Depot Blvd.,OK,73141.0,(405) 427-3771,(405) 427-3816,www.crutchoesd.org,Teresa Mcafee,tmcafee@crutchoesd.org,Antonia Jennings
CUSHING,PAYNE,60-I067,Cushing,1401 North Little St,OK,74023.0,(918) 225-3425,(918) 225-5256,www.cushingadmin.k12.ok.us,Koln Knight,koln.knight@cushing.k12.ok.us,Shawn Hubble
CYRIL,CADDO,08-I064,Cyril,326 W. Windle Ave.,OK,73029.0,(580) 464-2419,(580) 464-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
DAHLONEGAH,ADAIR,01-C029,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
DALE,POTTAWATOMIE,63-I002,Dale,300 Smith Ave.,OK,74851.0,(405) 964-5558,(405) 964-5559,www.dale.k12.ok.us,Charles Dickinson,cdickinson@dale.k12.ok.us,Robin Wiley-Greene
DARLINGTON,CANADIAN,09-C070,El Reno,4408 North Highway 81,OK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ok.us,Deforest Tallbear
DAVENPORT,LINCOLN,41-I003,Davenport,417 Broadway,OK,74026.0,(918) 377-2277,(918) 377-2553,www.davenportk12.com/,Danny Acord,dacord@davenport.k12.ok.us,Dr. Dan Waters
DAVIDSON,TILLMAN,71-I009,Davidson,500 South Main,OK,73530.0,(580) 568-2423,(580) 568-2219,www.dbcschool.org,Phillip Ratcliff,pgr@davidson.k12.ok.us,Vicki Skinner
DAVIS,MURRAY,50-I010,Davis,400 East Atlanta Ave.,OK,73030.0,(580) 369-2386,(580) 369-3507,www.davis.k12.ok.us,Todd Garrison,tgarrison@davis.k12.ok.us,Dorena White
