OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,Segment_ID,CT2022_AQL_USE_NAME,CT2022_AQL_USE_ATTAINMENT,CT2022_REC_USE_NAME,CT2022_REC_USE_ATTAINMENT,CT2022_FISHCON_USE_NAME,CT2022_FISHCON_USE_ATTAINMENT,CT2022_SHLFSH_USE_NAME,CT2022_SHLFSH_USE_ATTAINMENT,Impaired,SHAPE_Length,SHAPE_Area
16,2022,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",ESTUARY,0.314,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,CT-C1_009-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,48802.7672828632,8756572.60549157
17,2022,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), and US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",ESTUARY,0.272,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,CT-C1_018-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,57721.0406811826,7585004.57051666
18,2022,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",ESTUARY,0.022,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_007,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,17920.6845387681,607017.854141229
19,2022,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",ESTUARY,0.033,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,12504.3614815708,913136.136813695
20,2022,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",ESTUARY,0.645,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_010-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,40307.273199612,17969699.0227031
21,2022,CT-W1_014-SB,"LIS WB Inner - Fivemile River (mouth), Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Butlers Island to Roton Point), US to saltwater limit at Cudlipp Street Crossing (Route 136), Norwalk.",ESTUARY,0.164,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_014-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Assessed,No,24288.2450545868,4578225.93515677
22,2022,CT-W1_017-SB,"LIS WB Inner - Stamford Harbor (mouth), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Davenport Point to Shippan Point), up to Cook Road and across to Yacht Club, Stamford.",ESTUARY,0.436,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_017-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,No,16857.7380421662,12142072.6694931
23,2022,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",ESTUARY,0.104,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_021-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,13565.6756802289,2886952.34577173
24,2022,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",ESTUARY,0.103,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_001-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,18240.6604460157,2860400.67157374
25,2022,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",ESTUARY,0.313,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_002-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,Yes,34675.4515805169,8720442.76308569
26,2022,CT-C2_022-SB,"LIS CB Shore - The Gulf, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Western end of Silver Sands State Park Beach to SA/SB WQ line at Welches Point area (includes Silver Sands and Gulf Beaches) all SB water in The Gulf out to Charles Island, Milford.",ESTUARY,0.593,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,CT-C2_022-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,No,28336.8415486107,16544648.7813266
27,2022,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries.  Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",ESTUARY,0.365,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,CT-W2_013,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,35295.4720114574,10186500.1933295
28,2022,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries.  Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",ESTUARY,0.583,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,CT-C2_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,45849.5071753142,16260349.2561152
29,2022,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries.  Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",ESTUARY,0.419,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,CT-W2_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,25238.8473509162,11674163.2915251
30,2022,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",ESTUARY,9.69,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,CT-W3_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,75378.0956925817,270138236.835778
31,2022,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",ESTUARY,0.012,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_017,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,13934.9533915806,345488.811060252
32,2022,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",ESTUARY,0.008,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_016,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,8911.65684078344,227221.790537857
33,2022,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",ESTUARY,0.367,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_012,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,41045.3933202502,10219890.0639634
34,2022,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",ESTUARY,0.314,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,True,False,CT-E1_013,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,28487.1170411747,8764590.71257235
35,2022,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",ESTUARY,3.316,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_015-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,165470.097581137,92442236.0257599
36,2022,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",ESTUARY,1.305,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,True,CT-E1_020,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,68748.1940410612,36368783.0805891
37,2022,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford.",ESTUARY,0.805,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,CT-C1_019-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,160562.942934892,22445868.1449313
38,2022,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",ESTUARY,6.121,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,CT-C3_016,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,58735.5333781603,170639628.623612
39,2022,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",ESTUARY,4.409,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,46023.1439721937,122902676.142884
40,2022,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",ESTUARY,3.517,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_008,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,47590.3354094752,98059104.4931676
41,2022,CT-W1_011,"LIS WB Inner - Saugatuck River, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at RR crossing (DS of I95 crossing), US to saltwater limit at Hydraulic Pond outlet Dam, Westport.",ESTUARY,0.189,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,36982.8585532212,5261207.77923258
42,2022,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.34,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,CT-W2_024,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,28337.3321484333,9466636.36527024
43,2022,CT-E4_003,LIS EB Offhsore - Old Lyme,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,11.837,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Offshore,False,False,CT-E4_003,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Use Not Viable,Not Evaluated,No,80234.8098044702,330006876.621942
