2661.county,Coreyll ,Coryell 
837.statecounty,I_Huntington,IN_Huntington
2196.county,Oklahmoa ,Oklahoma 
370.countytwo,Nasau ,Nassau 
858.statevalue,NI,IN
2985.statevalue,A,VA
3027.statecounty,VA_Wie,VA_Wise
3022.statecounty,VrA_Washington,VA_Washington
3143.fipstwo,f55151,f55115
935.county,Hastkell ,Haskell 
2412.countytwo,Berakeley ,Berkeley 
1470.countytwo,Mairon ,Marion 
1365.statevalue,N,MN
387.county,aTylor ,Taylor 
2802.countytwo,Ranadll ,Randall 
1053.countytwo,Hopkis ,Hopkins 
75.statevalue,LA,AL
1928.county,Gloucestr ,Gloucester 
953.county,McPhersonn ,McPherson 
803.statevalue,lIN,IN
1070.statecounty,wKY_Logan,KY_Logan
283.statecounty,COL_a Plata,CO_La Plata
949.county,Loga n,Logan 
126.fipstwo,f05095,f05059
137.statecounty,AR_Littl River,AR_Little River
2797.fipstwo,4f8371,f48371
1328.statevalue,NM,MN
1550.statecounty,MS_Hvarrison,MS_Harrison
1467.county,Macn ,Macon 
1854.county,Gwosper ,Gosper 
2903.fipstwo,f51031,f51013
1005.fipstwo,f21011***,f21011
2148.county,Bryaln ,Bryan 
617.county,Loyn ,Lyon 
1172.county,Tangipahoa Parih,Tangipahoa Parish
2935.statevalue,VyA,VA
3043.countytwo,Rutlan d,Rutland 
1923.countytwo,Burlnigton ,Burlington 
139.statecounty,AR_Lonolke,AR_Lonoke
2218.countytwo,Woodwacrd ,Woodward 
1386.county,Rce ,Rice 
686.county,Lemhis ,Lemhi 
3073.statecounty,WA_Piercye,WA_Pierce
3166.fipstwo,f4017,f54017
2720.statecounty,TX_Hikll,TX_Hill
1920.fipstwo,xf33019,f33019
1904.statevalue,E,NE
1793.fipstwo,f3805b7,f38057
2800.statevalue,uTX,TX
1799.county,Piercbe ,Pierce 
664.statecounty,ID_Biose,ID_Boise
247.countytwo,Veantura ,Ventura 
1222.statevalue,EM,ME
540.county,are ,Ware 
1299.fipstwo,f2613,f26123
1016.fipstwo,f2033,f21033
3068.countytwo,Lincol ,Lincoln 
1869.fipstwo,lf31103,f31103
320.statevalue,T,CT
772.countytwo,eoria ,Peoria 
1753.statecounty,NC_Tylrrell,NC_Tyrrell
1213.statecounty,D_Montgomery,MD_Montgomery
3173.fipstwo,5f4031,f54031
2487.statecounty,S_DJones,SD_Jones
937.statevalue,SK,KS
1810.countytwo,Steedle ,Steele 
1190.fipstwo,f2501v3,f25013
621.county,Marshall ***,Marshall 
2108.fipstwo,f39190,f39109
3115.statevalue,I,WI
2485.statevalue,D,SD
560.statevalue,A,IA
613.county,Le e,Lee 
2173.fipstwo,f04063,f40063
2659.fipstwo,f4805,f48095
1881.countytwo,emaha ,Nemaha 
2872.countytwo,Davise ,Davis 
3234.countytwo,ashakie ,Washakie 
2685.county,Fnanin ,Fannin 
1988.statecounty,NV_Perhing,NV_Pershing
1828.fipstwo,31021,f31021
2890.countytwo,Uintahr ,Uintah 
2583.county,Odverton ,Overton 
2950.fipstwo,f1081,f51081
2934.county,airfax ,Fairfax 
1957.statevalue,M,NM
198.countytwo,Cotra Costa ,Contra Costa 
823.statecounty,N_Fayette,IN_Fayette
795.countytwo,Washingon ,Washington 
2863.countytwo,Yoyung ,Young 
2568.county,Lincol ,Lincoln 
2301.county,Montur ,Montour 
3111.fipstwo,f550t51,f55051
2260.fipstwo,f4011,f42011
2541.statevalue,N,TN
2757.countytwo,Liberyt ,Liberty 
2112.statecounty,OH_Mororw,OH_Morrow
1323.county,Becke ,Becker 
1802.county,Renille ,Renville 
2058.countytwo,Atheyns ,Athens 
1723.fipstwo,f3711,f37111
1575.fipstwo,f28079,f28097
494.countytwo,Monrole ,Monroe 
1089.fipstwo,ef21179,f21179
962.fipstwo,f20153,f20135
1815.county,Wrad ,Ward 
1654.statevalue,TM,MT
1951.statecounty,NMGrant,NM_Grant
1077.countytwo,Masn ,Mason 
2531.fipstwo,f4702y9,f47029
2990.statevalue,A,VA
1699.county,ranklin ,Franklin 
3009.statecounty,VA_Scott***,VA_Scott
11.county,Juneau City and Boroguh,Juneau City and Borough
202.county,Glen n,Glenn 
2822.statecounty,T_XSherman,TX_Sherman
452.county,Fultn ,Fulton 
588.fipstwo,f19j061,f19061
2352.county,uGayanilla Municipio,Guayanilla Municipio
1187.statecounty,AM_Dukes,MA_Dukes
786.statecounty,L_Shelby,IL_Shelby
1761.statevalue,CN,NC
287.county,Lincolpn ,Lincoln 
3234.county,Wnashakie ,Washakie 
1426.statevalue,O,MO
2846.countytwo,Victroia ,Victoria 
2698.statevalue,XT,TX
1636.statevalue,TM,MT
2037.countytwo,Stchenectady ,Schenectady 
2692.countytwo,Freegstone ,Freestone 
896.fipstwo,f20003***,f20003
2819.countytwo,curry ,Scurry 
644.statecounty,IAT_aylor,IA_Taylor
1546.county,Georgee ,George 
2746.fipstwo,fm48269,f48269
241.fipstwo,f06f099,f06099
1286.countytwo,Mckinac ,Mackinac 
929.statevalue,S,KS
653.fipstwo,f1911,f19191
1099.countytwo,Pulasi ,Pulaski 
2034.countytwo,Richmqond ,Richmond 
2527.countytwo,Cheathm ,Cheatham 
1095.countytwo,Pendleston ,Pendleton 
964.countytwo,Oasage ,Osage 
1819.fipstwo,f3100m3,f31003
57.statevalue,L,AL
1461.countytwo,Lafayette ***,Lafayette 
3234.fipstwo,f65043,f56043
1775.statecounty,ND_Diockey,ND_Dickey
2348.statevalue,RP,PR
2230.county,rGant ,Grant 
1092.county,Oldahm ,Oldham 
2947.countytwo,Goochlannd ,Goochland 
168.fipstwo,f0i5143,f05143
2072.statevalue,H,OH
1085.statecounty,K_YMonroe,KY_Monroe
3228.statecounty,WY_Platet,WY_Platte
2712.countytwo,Harmris ,Harris 
1498.fipstwo,f21981,f29181
1986.county,Mieral ,Mineral 
2359.county,Jayuya Municipo,Jayuya Municipio
839.countytwo,Jaspe r,Jasper 
2045.county,ioga ,Tioga 
1018.countytwo,Campbel ,Campbell 
2421.statecounty,SC_Dillno,SC_Dillon
2145.statecounty,OK_Beaer,OK_Beaver
58.countytwo,aFyette ,Fayette 
1724.county,ecklenburg ,Mecklenburg 
1806.statevalue,NbD,ND
2972.statecounty,VA_Manasspas city,VA_Manassas city
2531.statecounty,NT_Cocke,TN_Cocke
2928.statecounty,VA_Cumberladn,VA_Cumberland
1833.county,Chrery ,Cherry 
2006.statevalue,Y,NY
746.countytwo,Kankkee ,Kankakee 
2553.fipstwo,f4073,f47073
1349.countytwo,Hurbbard ,Hubbard 
3074.county,qSan Juan ,San Juan 
1171.statevalue,AL,LA
936.county,Hodgmean ,Hodgeman 
2167.statevalue,OvK,OK
648.statecounty,I_Warren,IA_Warren
1207.statecounty,MD_Dorchestr,MD_Dorchester
689.fipstwo,f1605,f16065
602.statecounty,IA_Hoawrd,IA_Howard
2639.county,Calwdell ,Caldwell 
1500.statecounty,O_Schuyler,MO_Schuyler
1290.fipstwo,f2y6105,f26105
3028.county,Wnythe ,Wythe 
509.countytwo,Putnalm ,Putnam 
141.fipstwo,f050u89,f05089
2341.statevalue,RP,PR
3002.statecounty,VA_Rihmond city,VA_Richmond city
2478.statevalue,D,SD
280.countytwo,Jefferosn ,Jefferson 
2529.statecounty,TN_Clsaiborne,TN_Claiborne
2837.statecounty,TX_Tome Green,TX_Tom Green
1476.countytwo,Mounroe ,Monroe 
14.statecounty,AK_Koidak Island Borough,AK_Kodiak Island Borough
790.county,Taezwell ,Tazewell 
1813.statevalue,DN,ND
259.statevalue,CqO,CO
446.countytwo,Evnas ,Evans 
2778.statecounty,X_Mills,TX_Mills
1939.county,ussex ,Sussex 
1416.fipstwo,f92017,f29017
243.countytwo,ehama ,Tehama 
2095.fipstwo,f39803,f39083
2696.countytwo,mGarza ,Garza 
2615.fipstwo,48007,f48007
844.statevalue,N,IN
620.fipstwo,f1912z5,f19125
2641.countytwo,Cllahan ,Callahan 
42.fipstwo,f010q25,f01025
1123.countytwo,Asusmption ,Assumption 
2213.county,Tulas ,Tulsa 
3011.county,Smyt h,Smyth 
1848.statevalue,NhE,NE
1270.countytwo,Ingahm ,Ingham 
1183.statecounty,LA_Winn***,LA_Winn
1303.statevalue,IM,MI
1795.statevalue,D,ND
2426.county,Gorgetown ,Georgetown 
605.countytwo,Iwa ,Iowa 
2183.county,Loagn ,Logan 
922.statevalue,nKS,KS
1190.county,Hampde n,Hampden 
1382.county,eRamsey ,Ramsey 
1047.statevalue,YK,KY
2329.county,rroyo Municipio,Arroyo Municipio
1604.statecounty,MS_Webstr,MS_Webster
4.countytwo,Bethelt Census Area,Bethel Census Area
1095.statecounty,pKY_Pendleton,KY_Pendleton
2109.county,Mnoroe ,Monroe 
2403.fipstwo,f44070,f44007
2952.fipstwo,f51560,f51650
499.county,Nweton ,Newton 
1081.fipstwo,f2g1163,f21163
1168.statecounty,LA_St. Landrry,LA_St. Landry
1732.county,Ornage ,Orange 
2839.countytwo,Triity ,Trinity 
161.county,Sebastia ,Sebastian 
2010.statecounty,NY_Genesee***,NY_Genesee
1287.county,hMacomb ,Macomb 
2280.countytwo,Fayett e,Fayette 
1092.statevalue,Y,KY
3071.fipstwo,f53094,f53049
1366.statecounty,MN_McLoed,MN_McLeod
1928.countytwo,Gloucestre ,Gloucester 
1230.county,Oxyford ,Oxford 
1113.statecounty,KYW_arren,KY_Warren
2520.fipstwo,f4007,f47007
845.countytwo,Kosiusko ,Kosciusko 
859.countytwo,Nobe ,Noble 
2172.countytwo,Haskell ***,Haskell 
2313.fipstwo,f42g117,f42117
695.statevalue,DI,ID
1619.countytwo,cDawson ,Dawson 
959.fipstwo,20129,f20129
2610.fipstwo,f47817,f47187
1210.countytwo,Haford ,Harford 
3220.county,Gohsen ,Goshen 
2870.fipstwo,f4007,f49007
2818.statevalue,XT,TX
2761.statecounty,TcX_Llano,TX_Llano
1963.fipstwo,f5039,f35039
1633.fipstwo,f3004b9,f30049
88.county,St. Clir ,St. Clair 
1084.countytwo,Metclfe ,Metcalfe 
2044.countytwo,Sulivan ,Sullivan 
1979.statevalue,V,NV
2753.county,Lampaass ,Lampasas 
556.county,Kaui ,Kauai 
1915.statecounty,NH_Graftno,NH_Grafton
393.statevalue,AG,GA
1307.statevalue,I,MI
2167.fipstwo,f0051,f40051
1046.countytwo,Hxardin ,Hardin 
1063.countytwo,Lawrenc e,Lawrence 
78.county,Mobimle ,Mobile 
1433.statevalue,aMO,MO
2642.statevalue,dTX,TX
819.statecounty,N_DeKalb,IN_DeKalb
3057.fipstwo,f3021,f53021
122.statecounty,ARG_arland,AR_Garland
1782.statevalue,cND,ND
381.county,arasota ,Sarasota 
1897.fipstwo,f13159,f31159
1032.county,Estil l,Estill 
1158.countytwo,Point eCoupee ,Pointe Coupee 
2464.countytwo,Codngton ,Codington 
2147.statecounty,OK_Blane,OK_Blaine
2900.statevalue,AV,VA
1685.countytwo,Chwoan ,Chowan 
2914.countytwo,Buena Vist acity,Buena Vista city
1097.statecounty,KY_Pirke,KY_Pike
1567.county,Le ,Lee 
2199.statevalue,OwK,OK
2850.countytwo,Washignton ,Washington 
1705.fipstwo,f30781,f37081
88.fipstwo,f0j1115,f01115
2159.statevalue,K,OK
1346.county,Gjrant ,Grant 
1446.statecounty,MO_Grene,MO_Greene
1506.fipstwo,f291h85,f29185
1812.countytwo,Townerr ,Towner 
3135.county,Porage ,Portage 
683.county,Jervome ,Jerome 
1530.statecounty,MS_Atatla,MS_Attala
2816.fipstwo,f4809,f48409
2521.statevalue,TnN,TN
1854.fipstwo,f3103,f31073
2707.countytwo,Hall ***,Hall 
183.fipstwo,f04f012,f04012
1769.county,Bottinea u,Bottineau 
2242.county,Margion ,Marion 
1812.statecounty,NfD_Towner,ND_Towner
3210.statecounty,WV_Wiert,WV_Wirt
3111.countytwo,ron ,Iron 
984.county,Shezridan ,Sheridan 
1000.statecounty,KY_Adaicr,KY_Adair
3232.county,Teto ,Teton 
2786.county,Navrro ,Navarro 
933.county,Hlarper ,Harper 
1978.countytwo,Douglqas ,Douglas 
2982.statecounty,VAe_Norfolk city,VA_Norfolk city
2639.statecounty,TXCaldwell,TX_Caldwell
1767.fipstwo,f3800i5,f38005
1189.statevalue,A,MA
1911.county,Belbknap ,Belknap 
158.fipstwo,f0515,f05125
2554.statecounty,TN_Hyawood,TN_Haywood
162.statecounty,R_Sevier,AR_Sevier
1825.county,oByd ,Boyd 
2985.county,Nortonc ity,Norton city
1073.statevalue,Y,KY
1735.county,Pendfer ,Pender 
2239.countytwo,Lincol n,Lincoln 
679.statecounty,ID_Gme,ID_Gem
575.statevalue,AI,IA
3113.countytwo,efferson ,Jefferson 
1591.fipstwo,fc28129,f28129
2563.statecounty,TN_nKox,TN_Knox
2341.statecounty,PR_Ciales Muniipio,PR_Ciales Municipio
2847.fipstwo,fb48471,f48471
1249.county,Blranch ,Branch 
2546.countytwo,Greenej ,Greene 
571.fipstwo,1f9027,f19027
953.fipstwo,20113,f20113
2816.county,San Pagtricio ,San Patricio 
1949.fipstwo,f35r013,f35013
1285.county,Luc e,Luce 
2687.countytwo,iFsher ,Fisher 
1968.countytwo,Santa F e,Santa Fe 
502.fipstwo,f31223,f13223
244.fipstwo,0f6105,f06105
2809.county,Robertsonb ,Robertson 
2470.statecounty,SD_Dwey,SD_Dewey
665.countytwo,Bqonner ,Bonner 
3080.countytwo,Thurton ,Thurston 
2970.statecounty,VA_Lycnhburg city,VA_Lynchburg city
3092.statevalue,cWI,WI
1404.fipstwo,f7167,f27167
2571.countytwo,Madsion ,Madison 
657.fipstwo,yf16001,f16001
1762.fipstwo,37195,f37195
3146.county,Twaylor ,Taylor 
2152.countytwo,Cherorkee ,Cherokee 
1052.countytwo,Hickmna ,Hickman 
723.fipstwo,17045,f17045
616.statecounty,IALucas,IA_Lucas
26.countytwo,Wade Hamptwon Census Area,Wade Hampton Census Area
547.statevalue,A,GA
917.countytwo,Doglas ,Douglas 
2889.statevalue,T,UT
1552.fipstwo,f28501,f28051
847.county,Lak ,Lake 
2036.county,Sratoga ,Saratoga 
2675.countytwo,Dimmiti ,Dimmit 
1458.fipstwo,f29e101,f29101
2210.statecounty,OK_Stephnes,OK_Stephens
1135.statevalue,A,LA
642.statecounty,AI_Story,IA_Story
2122.county,Putna m,Putnam 
1758.fipstwo,f3717,f37187
1601.statevalue,S,MS
636.fipstwo,f9157,f19157
2065.countytwo,Clar k,Clark 
634.county,olk ,Polk 
487.county,aMadison ,Madison 
456.statevalue,GsA,GA
643.countytwo,ama ,Tama 
646.county,Van Buern ,Van Buren 
2115.statevalue,H,OH
2750.statevalue,fTX,TX
2935.fipstwo,f51600***,f51600
1471.statecounty,OM_McDonald,MO_McDonald
88.statevalue,LA,AL
86.countytwo,xRussell ,Russell 
2169.county,Grer ,Greer 
2030.statecounty,NY_Osego,NY_Otsego
2014.countytwo,Jeffeson ,Jefferson 
800.county,Williamso ,Williamson 
2761.fipstwo,fp48299,f48299
2788.statevalue,XT,TX
1975.countytwo,Caxrson City,Carson City
1383.statecounty,MN_Red aLke,MN_Red Lake
3026.statecounty,VA_Wincehster city,VA_Winchester city
452.countytwo,Fuvlton ,Fulton 
2451.fipstwo,f6003,f46003
2802.fipstwo,f48318,f48381
1464.statevalue,O,MO
2980.statecounty,VA_New Knt,VA_New Kent
1727.countytwo,Moore ***,Moore 
1355.fipstwo,f27096,f27069
1773.countytwo,Ccass ,Cass 
1738.county,Pit ,Pitt 
1269.countytwo,uHron ,Huron 
1120.fipstwo,f220d01,f22001
2213.statevalue,KO,OK
1258.statecounty,I_Delta,MI_Delta
1183.fipstwo,f2227,f22127
1682.statevalue,NmC,NC
768.statecounty,IL_Montgomry,IL_Montgomery
119.fipstwo,f50045,f05045
1262.statecounty,MI_Genaesee,MI_Genesee
703.countytwo,Bnond ,Bond 
2179.countytwo,Kioa ,Kiowa 
1105.countytwo,Shelbyy ,Shelby 
2989.fipstwo,fr51141,f51141
721.statevalue,L,IL
853.county,Martink ,Martin 
1217.countytwo,St. Moary's ,St. Mary's 
366.statecounty,FL_Maron,FL_Marion
2575.countytwo,Mcinn ,McMinn 
1170.statevalue,A,LA
1590.statecounty,MS_Sipmson,MS_Simpson
2220.countytwo,Bentno ,Benton 
2271.countytwo,Cleafield ,Clearfield 
449.statecounty,GA_Flody,GA_Floyd
940.statecounty,KS_oJhnson,KS_Johnson
769.statevalue,L,IL
1980.statecounty,NV_Esmeeralda,NV_Esmeralda
1324.statecounty,MN_Belrtami,MN_Beltrami
2779.county,Mtichell ,Mitchell 
1473.statecounty,MO_Miler,MO_Miller
334.fipstwo,f1201w7,f12017
2024.statecounty,NY_Oneidda,NY_Oneida
914.statecounty,KS_hDecatur,KS_Decatur
1841.county,Daswon ,Dawson 
2230.countytwo,eGrant ,Grant 
793.fipstwo,f1185,f17185
319.county,NewL ondon ,New London 
1747.fipstwo,f3765,f37165
3198.statevalue,VW,WV
2825.countytwo,Star r,Starr 
2281.statecounty,PA_Forset,PA_Forest
2752.county,Lambm ,Lamb 
1361.fipstwo,2f7081,f27081
3143.county,wShawano ,Shawano 
3108.statevalue,IW,WI
1035.statevalue,Y,KY
967.statevalue,SK,KS
2207.county,Rogkers ,Rogers 
694.statecounty,D_Payette,ID_Payette
1558.countytwo,Jeffersono ,Jefferson 
297.statecounty,CO_ark,CO_Park
1599.statecounty,S_Union,MS_Union
2948.statecounty,VA_Grayon,VA_Grayson
1277.countytwo,alkaska ,Kalkaska 
3061.statevalue,A,WA
2282.statecounty,P_AFranklin,PA_Franklin
510.statecounty,GA_uitman,GA_Quitman
2947.statevalue,VgA,VA
1916.statecounty,NH_Hilsborough,NH_Hillsborough
2271.fipstwo,42033,f42033
559.county,Adjams ,Adams 
1061.statecounty,KYL_arue,KY_Larue
2762.fipstwo,f48310,f48301
1239.county,Algr ,Alger 
1861.statecounty,NE_itchcock,NE_Hitchcock
572.fipstwo,f19209,f19029
1670.county,Aveyr ,Avery 
1263.statecounty,MI_Gladfwin,MI_Gladwin
2725.statecounty,TX_oward,TX_Howard
935.countytwo,Haskll ,Haskell 
2299.countytwo,Monroje ,Monroe 
405.statevalue,A,GA
2783.county,orris ,Morris 
558.county,Adiar ,Adair 
353.fipstwo,f120b57,f12057
2625.statevalue,XT,TX
2856.countytwo,vWillacy ,Willacy 
1905.statevalue,EN,NE
270.countytwo,El Psao ,El Paso 
1534.county,Carrol ,Carroll 
1570.statecounty,MS_Lownudes,MS_Lowndes
853.statecounty,IN_Matin,IN_Martin
2650.county,Cla y,Clay 
1702.countytwo,Garham ,Graham 
1356.fipstwo,f27701,f27071
1259.statecounty,MI_Dickinon,MI_Dickinson
3143.statevalue,I,WI
929.fipstwo,f20069***,f20069
252.fipstwo,f08005***,f08005
428.county,olumbia ,Columbia 
3214.statecounty,W_YBig Horn,WY_Big Horn
1717.statevalue,CN,NC
825.statecounty,IN_Fontain,IN_Fountain
1594.statecounty,MS_Tallahtatchie,MS_Tallahatchie
3102.fipstwo,55033,f55033
71.countytwo,Limestoen ,Limestone 
1345.statecounty,MN_Goodheu,MN_Goodhue
2857.statecounty,TX_Williamsoun,TX_Williamson
2251.countytwo,Waso ,Wasco 
2247.statecounty,O_RTillamook,OR_Tillamook
1170.fipstwo,2f2101,f22101
3144.statevalue,WvI,WI
803.statecounty,IN_Adasm,IN_Adams
38.statecounty,AL_Choambers,AL_Chambers
1372.statevalue,N,MN
1950.statecounty,MN_Eddy,NM_Eddy
430.statecounty,GA_Coeta,GA_Coweta
2347.statecounty,PR_Dorado Mxunicipio,PR_Dorado Municipio
2533.statecounty,TN_Crocket,TN_Crockett
1030.fipstwo,f2101,f21061
2147.countytwo,Blain e,Blaine 
1255.statevalue,IM,MI
3164.statevalue,VW,WV
1264.statevalue,I,MI
1098.statecounty,KYP_owell,KY_Powell
3055.statecounty,WA_Dogulas,WA_Douglas
656.countytwo,Wrigh t,Wright 
1151.statevalue,A,LA
1057.fipstwo,f21151,f21115
706.statecounty,IL_Bureua,IL_Bureau
2600.countytwo,Tipto n,Tipton 
2651.fipstwo,48079,f48079
2193.county,Nobles ,Noble 
420.county,Cheokee ,Cherokee 
1046.county,ardin ,Hardin 
1219.statecounty,MD_Washignton,MD_Washington
2721.county,Hockle y,Hockley 
1454.fipstwo,f2903,f29093
2545.statevalue,N,TN
1843.statecounty,hNE_Dixon,NE_Dixon
1208.fipstwo,2f4021,f24021
1067.county,ewis ,Lewis 
2373.county,Morovis Mnuicipio,Morovis Municipio
602.fipstwo,f9089,f19089
1620.statevalue,TM,MT
1613.county,Carbn ,Carbon 
1886.countytwo,Phfelps ,Phelps 
190.countytwo,Yavpaai ,Yavapai 
901.statecounty,KS_Bronw,KS_Brown
1290.statevalue,MpI,MI
2360.statevalue,PfR,PR
3195.statevalue,VW,WV
2000.countytwo,Chebnango ,Chenango 
3124.county,Marquett ,Marquette 
2484.countytwo,yde ,Hyde 
2267.county,Carbno ,Carbon 
621.countytwo,Marshll ,Marshall 
1265.statecounty,IM_Grand Traverse,MI_Grand Traverse
1751.statecounty,NC_Swani,NC_Swain
1568.countytwo,Leflorte ,Leflore 
3005.county,oRckbridge ,Rockbridge 
3201.countytwo,xRoane ,Roane 
2125.fipstwo,f3j9143,f39143
3138.fipstwo,f551s03,f55103
369.fipstwo,f12k087,f12087
2693.countytwo,Firo ,Frio 
369.countytwo,Monro e,Monroe 
53.statevalue,AlL,AL
1904.countytwo,Thudrston ,Thurston 
2653.county,Colmeman ,Coleman 
711.statevalue,LI,IL
2390.county,To aAlta Municipio,Toa Alta Municipio
2326.fipstwo,f7f2009,f72009
2352.statevalue,R,PR
1764.statevalue,NuC,NC
1708.statevalue,CN,NC
218.fipstwo,0f6053,f06053
720.countytwo,DeaKlb ,DeKalb 
1640.fipstwo,fu30063,f30063
487.countytwo,Maidison ,Madison 
2493.county,Marshal l,Marshall 
709.county,Cas ,Cass 
790.fipstwo,17179,f17179
1471.countytwo,McsDonald ,McDonald 
394.fipstwo,13003,f13003
2937.countytwo,Fauquierz ,Fauquier 
360.statevalue,L,FL
3103.countytwo,Eau laire ,Eau Claire 
463.statecounty,GA_Haralzson,GA_Haralson
1996.county,Cattaraugu s,Cattaraugus 
2727.county,Hutn ,Hunt 
1232.fipstwo,f32021,f23021
2829.countytwo,Suttonn ,Sutton 
2131.county,Trumbul ,Trumbull 
180.fipstwo,f0007,f04007
1154.countytwo,Natchitochjes ,Natchitoches 
800.statecounty,IL_Willimason,IL_Williamson
724.fipstwo,f170j47,f17047
596.statecounty,IA_Gthrie,IA_Guthrie
1520.statevalue,MgO,MO
1126.statevalue,AL,LA
2329.fipstwo,f70215,f72015
592.countytwo,Frankli ,Franklin 
2605.countytwo,Warpren ,Warren 
2530.statecounty,TN_Caly,TN_Clay
2606.statecounty,TN_Washignton,TN_Washington
1289.countytwo,Marquett ,Marquette 
2868.county,Bsox Elder ,Box Elder 
1877.countytwo,McPerson ,McPherson 
1646.county,Powder xRiver ,Powder River 
1553.county,Humphreyqs ,Humphreys 
1959.statevalue,MN,NM
1229.fipstwo,f2315,f23015
256.statecounty,CO_Bulder,CO_Boulder
1207.statevalue,D,MD
3181.statecounty,VW_Marion,WV_Marion
147.statevalue,RA,AR
2168.statecounty,KO_Grant,OK_Grant
2717.statecounty,TaX_Hemphill,TX_Hemphill
1159.fipstwo,f22079***,f22079
1577.countytwo,ewton ,Newton 
2450.countytwo,Yorxk ,York 
2550.fipstwo,47067,f47067
1962.statecounty,NM_Qay,NM_Quay
2313.statecounty,PA_Tiga,PA_Tioga
2074.county,Delawaer ,Delaware 
1807.statecounty,ND_ioux,ND_Sioux
2974.county,Martinsville ciyt,Martinsville city
903.county,Chse ,Chase 
1117.county,Whitey ,Whitley 
1038.county,Gallatxin ,Gallatin 
739.statevalue,L,IL
1774.statevalue,DN,ND
842.statecounty,IN_eJnnings,IN_Jennings
1802.fipstwo,38075,f38075
2382.county,Rio Grande Mvunicipio,Rio Grande Municipio
2407.fipstwo,if45005,f45005
2448.countytwo,nion ,Union 
2490.county,Larence ,Lawrence 
709.countytwo,Casms ,Cass 
2296.fipstwo,f24083,f42083
435.statecounty,GA_Dcatur,GA_Decatur
2200.countytwo,Pawne e,Pawnee 
95.countytwo,Wilocx ,Wilcox 
1042.county,Graysn ,Grayson 
1291.fipstwo,26107,f26107
205.county,Inoy ,Inyo 
1163.countytwo,St. Bernad ,St. Bernard 
274.statevalue,mCO,CO
1955.statevalue,M,NM
2253.statecounty,cOR_Wheeler,OR_Wheeler
2745.statevalue,XT,TX
2350.countytwo,Guanica Municipivo,Guanica Municipio
2100.county,Lroain ,Lorain 
704.statecounty,ILBoone,IL_Boone
1616.fipstwo,3f0015,f30015
1307.statecounty,I_Ottawa,MI_Ottawa
2412.statecounty,SC_eBrkeley,SC_Berkeley
1986.fipstwo,f320i21,f32021
1449.statevalue,OM,MO
614.countytwo,Lindn ,Linn 
