objectid(long),coundist(long),counname,counadd,counloc,counyrelected(long),counterm(long),counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea(double precision),shapelen(double precision)
16.0,16,SCOTT REED,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1116,,scott.reed@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-16,703842858.197592,156690.982283665
17.0,17,MARKUS WINKLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1117,,markus.winkler@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-17,388422766.559654,118191.360784107
18.0,18,MARILYN PARKER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1118,,marilyn.parker@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-18,322588530.093242,96411.8605133953
19.0,19,ANTHONY PIAGENTINI,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,R,502-574-1119,,anthony.piagentini@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-19,868332639.503088,196005.402365388
20.0,20,STUART BENSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1120,,stuart.benson@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-20,1719098431.22178,302286.924869791
21.0,21,NICOLE GEORGE,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1121,,nicole.george@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-21,311148824.675377,121683.62710786
22.0,22,ROBIN ENGEL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1122,,robin.engel@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-22,565897457.216818,180078.822848575
23.0,23,JAMES PEDEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,R,502-574-1123,,james.peden@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-23,347961959.382992,122236.171767152
24.0,24,MADONNA FLOOD,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1124,,madonna.flood@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-24,303692509.206728,149770.325802381
25.0,25,AMY STEWART,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1125,,amy.stewart@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-25,335487748.527891,91917.6140094818
26.0,26,BRENT T. ACKERSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1126,,brent.ackerson@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-26,181206411.606069,108566.702525004
