yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,Kern Medical Center,Kern,3,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014.0,LAC+USC Medical Center,Los Angeles,9,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionayr
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SS)I",Abdominal aortic aneurysm repair,60000027.0,LAC/Harbor-UCLA Medical Center,Los Angeles,36,0,0.84,0.0,No Difference*,0.0,4.4,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,LAC/Olive View-UCLA Medical Center,Los Angeles,1,0,0.02,0.0,No Diffnerence*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000123.0,Palomar Medical Center,Los Angeles,24,0,0.52,0.0,No Difference*,0.0,7.11,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneursm repair,930000059.0,Community Memorial Hospital - San Buenaventura,San Bernardino,13,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Loma Linda University Medical Center,San Bernardino,4,0,0.15,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000012.0,Loma Linda University Medical Center - Murrieta,Riverside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,Long Beach Memorial Medical Center,Los Angeles,22,1,0.35,2.83,No Differece*,0.07,15.78,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Los Alamitos Medical Center,Orange,4,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137.0,Los Robles Hospital & Medical Center,Ventura,1,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,Lucile Packard Children's Hospital Stanford,Santa Clara,21,0,0.27,0.0,No Difference*,0.0,13.76,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000021.0,Marian Regional Medical Center,Santa Barbara,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000123.0,Memorial Medical Center,Stanislaus,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,Menifee Valley Medical Center,Riverside,7,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,Mercy General Hospital,Sacramento,6,0,0.19,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000011.0,Mercy Hospital,Kern,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,Mercy Medical Center Redding,Shasta,9,0,0.13,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,Mercy San Juan Medical Center,Sacramento,8,0,0.17,0.0,No Difference*,0.0,1.26,* See Data Dictiohnary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurgysm repair,930000008.0,Eisenhower Medical Center,San Mateo,2,0,0.03,0.0,Non Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000146.0,O'Connor Hospital,Santa Clara,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000208.0,Orange Coast Memorial Medical Center,Orange,10,0,0.13,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070.0,Orange County Global Medical Center,Orange,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionariy
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001351.0,Oroville Hospital,Butte,3,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,PIH Hospital - Downey,Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000953.0,Anaheim Global Medical Center,Los Angeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070.0,Palomar Medical Center,San Diego,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,Presbyterian Intercommunity Hospital,Los Angeles,2,1,0.12,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137.0,Providence Holy Cross Medical Center,Los Angeles,3,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000011.0,Oroville Hospital,Los Angeles,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000059.0,Providence Saint Joseph Medical Center,Los Angeles,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000041.0,Doctors Medical Center,Los Angeles,6,0,0.09,0.0,No Diference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000041.0,Queen of the Valley Medical Center,Napa,2,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurdysm repair,80000023.0,Rady Children's Hospital - San Diego,San Diego,4,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000071.0,Arrowhead Regional Medical Center,Yuba,3,0,0.05,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,Riverside Community Hospital,Riverside,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominalaortic aneurysm repair,930000008.0,Riverside County Regional Medical Center,Riverside,2,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominalaortic aneurysm repair,50000014.0,Ronald Reagan UCLA Medical Center,Los Angeles,28,0,0.91,0.0,No Difference*,0.0,4.06,* See Data Dictionary
2742,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000059.0,Saddleback Memorial Medical Center,Orange,1,0,0.02,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurypsm repair,930000070.0,Saint Vincent Medical Center,Los Angeles,11,0,0.15,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000053.0,Dominican Hospital,San Bernardino,2,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Calihfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,San Leandro Hospital,Alameda,10,0,0.2,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,Santa Barbara Cottage Hospital,Santa Barbara,1,0,0.06,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Dat aDictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000149.0,Santa Clara Valley Medical Center,Santa Clara,12,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Caliornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Santa Rosa Memorial Hospital,Sonoma,3,0,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,Scripps Green Hospital,San Diego,4,0,0.08,0.0,No Difference*,0.0,1.26,* See Datal Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137.0,Scripps Memorial Hospital - La Jolla,San Diego,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Cahlifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,Sequoia Hospital,San Mateo,5,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections( SSI)",Abdominal aortic aneurysm repair,30000122.0,Seton Medical Center,San Mateo,1,0,0.03,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,Califonria,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070.0,Sharp Chula Vista Medical Center,San Diego,1,0,0.02,0.0,No Diffeernce*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034.0,Sharp Memorial Hospital,San Diego,2,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,Sierra Vista Regional Medical Center,San Luis Obispo,14,0,0.16,0.0,No Diference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093.0,"Southwest Healthcare System, Wildomar",Riverside,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortc aneurysm repair,110000058.0,St. Helena Hospital,Napa,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034.0,"St. Joseph Hospital, Eureka",Humboldt,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2114,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,"St. Joseph Hospital, Orange",Orange,10,0,0.15,0.0,No ifference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000143.0,St. Joseph's Medical Center Of Stockton,San Joaquin,2,1,0.04,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,St. Jude Medical Center,Orange,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2266,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000059.0,"St. Mary Medical Center, Apple Valley",San Bernardino,5,0,0.07,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,"St. Mary Medical Center, Long Beach",Los Angeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093.0,Stanford Health Care,Satna Clara,7,0,1.02,0.0,No Difference,0.0,2.93,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,"Sutter Medical Center, Sacramento",Sacramennto,17,0,0.2,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000012.0,Temecula Valley Hospital,Riverside,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneursm repair,60000074.0,Tri-City Medical Center,San Diego,5,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000133.0,Bakersfield Heart Hospital,San Francisco,27,0,1.06,0.0,No Difference,0.0,2.82,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,University of California Davis Medical Center,Sacramento,16,0,0.39,0.0,No Difference*,0.0,9.53,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000071.0,University of California Irvine Medical Center,Orange,3,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
