objectid(long),lupaid,lupid,lupanm,adminst,lupstatus,bndryinactdt,gisacres(double precision),global_id,createdate,createby,modifydate,modifyby,idaho_planning_descriptions,shape_area(double precision),shape_length(double precision)
17,LUPA001020,LUP-ID-020,Challis Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,3501547.81391522,a1687571-5a6c-4c75-8c06-ed9e5986fe59,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,14170317938.7412,791850.577650187
18,LUPA001019,LUP-ID-019,Cascade Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,7350973.9969706,440782cb-9b88-4ad0-912f-fc535438d880,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,29748455326.166,1179443.10487637
19,LUPA001016,LUP-ID-016,Lemhi Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,2449546.75549181,4aab6252-c1e7-4175-b86a-c239f2a8c951,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,9913003673.43091,756022.826233219
20,LUPA001023,LUP-ID-023,Coeur d'Alene Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,5075794.45185052,15cc097c-971b-427b-87ff-82562500a13e,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Replaced Emerald Empire MFP.,20541093537.7996,782183.518844573
21,LUPA001027,LUP-ID-028,Jarbidge Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,1813895.41632335,ef6de909-92bf-46b6-bade-63b2a4527de6,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Jarbidge RMP Revision revises Jarbidge RMP. 03/01/2018: JMurgoitio said do not lump the two Jarbidge features into single multi-part feature. Added RMP year to distinguish names. Changed LUP_ID to unique value.,7340768196.82568,499610.78237046
59,LUPA001022,LUP-ID-022,Craters of the Moon Monument Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,751785.05371825,ca824a3a-f814-4182-883f-29fdcd2f429e,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Replaced parts of Monument RMP, Big Desert MFP, Big Lost MFP, and Sun Valley MFP.",3042378342.83838,404326.476675825
23,LUPA001025,LUP-ID-025,Cottonwood Resource Management Plan,I,EXIST,2012/07/10 00:00:00+00,8849270.77235646,f74222dc-7ecf-4325-8e13-8c5e38a5bd58,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Mostly replaced Chief Joseph MFP, while Bighorn Sheep/Domestic Sheep Amendment replaced remaining portion.",35811871505.4248,1069016.37452894
24,LUPA001007,LUP-ID-007,Emerald Empire,ID,HIST,2007/06/01 00:00:00+00,5075794.45185052,fc426983-5922-462d-b408-883685fb6a42,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,20541093537.7996,782183.518844573
25,LUPA001008,LUP-ID-008,Chief Joseph,ID,HIST,2009/12/21 00:00:00+00,8718331.77791546,50eea977-477a-4d2c-ab9e-8eff14ea4bfb,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,35281978075.0227,993344.980611351
26,LUPA001006,LUP-ID-006,Malad,ID,HIST,2012/07/10 00:00:00+00,1203817.6401304,f12246b1-cede-4488-b49c-fb1011e5394d,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,4871696634.98462,464305.534398539
27,LUPA001018,LUP-ID-018,Pocatello,ID,HIST,2012/07/10 00:00:00+00,3952168.6512503,9540b5cb-b895-4df5-b4d2-33e59097dc9b,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,15993923061.2371,612946.056397651
28,LUPA001028,LUP-ID-026,Four Rivers Field Office Resource Management Plan Revision,I,PRGS,2012/07/10 00:00:00+00,8125319.96605704,8cfb257b-eaab-4afb-9a01-d14071ac7f48,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Replaces Kuna MFP, and revises Cascade RMP and portions of Jarbidge RMP.",32882133891.4609,1481680.08847602
57,LUPA001029,LUP-ID-027,Upper Snake,ID,PRGS,2012/07/10 00:00:00+00,7130773.60508848,2f35824a-d09a-4994-a4c1-4ae3d34f01fa,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Revises Medicine Lodge RMP; replaces Little Lost-Birch Creek, Big Lost, and Big Desert MFPs.",28857332389.6523,1092009.41607499
