objectid(long),zcta_five_ce_one_zero(long),geoid_one_zero(long),funcstat_one_zero,aland_one_zero(long),awater_one_zero(long),county,sif_area(double precision),global_id,aland_one_zero_one(long),awater_one_zero_one(long),intptlat_one_zero_one(double precision),intptlon_one_zero_one(double precision),partflg_one_zero_one,geoid_one_zero_one_two(long),zcta_five_ce_one_zero_one_two(long),county_one_two,id(long),median_hh_income(double precision)
26,48225,2648225,S,6854875,0,Wayne,1.0,02d02d68-697f-4d9c-a2b5-e65f1fee2cee,6854875,0,42.4389841,-82.92961,N,2648225,48225,Wayne,106,47359.0
27,48218,2648218,S,6872362,287672,Wayne,1.0,241c49be-ba07-4748-8c56-6e066e48c118,6872362,287672,42.2727086,-83.1266716,N,2648218,48218,Wayne,100,26661.0
28,48178,2648178,S,131199506,4856212,Wayne,1.0,18c0cfac-7a35-40cc-a083-3fb2eb56027f,131199506,4856212,42.4437683,-83.6568721,N,2648178,48178,Oakland,72,74158.0
29,48062,2648062,S,102252058,236937,Wayne,1.0,f079fe97-bab0-4df7-8730-45028a51ac85,102252058,236937,54.76081435567653,-82.7964708,N,2648062,48062,Macomb,22,55317.0
30,48036,2648036,S,21551261,564901,Wayne,1.0,1d1b48c8-1a12-4bec-b1dc-5e4c0f14de56,21551261,564901,63.83359239879024,-63.834025740354605,N,2648036,48036,Macomb,12,45161.0
31,48312,2648312,S,29136295,196890,Wayne,1.0,3aa44b88-1bea-4db0-b824-3bd9a0a4f113,29136295,196890,57.92648065352159,-43.339809184303725,N,2648312,48312,Macomb,129,57289.0
32,48043,2648043,S,10615453,340371,Wayne,1.0,f1dd62dd-5cdc-4273-ba60-bcf86bab5d9d,10615453,340371,42.5980555,-82.8815059,N,2648043,48043,Macomb,15,36397.0
33,48309,2648309,S,40034011,41084,Wayne,1.0,0f9469b8-402c-4016-bd4a-7f7ed321349a,40034011,41084,42.6563739,-83.1835878,N,2648309,48309,Oakland,127,88161.0
34,48301,2648301,S,19082075,563499,Wayne,0.6120140806366579,d2bc0e88-4bab-4569-a76d-6d6b45510107,19082075,563499,42.5424001,-83.2821684,N,2648301,48301,Oakland,122,117813.0
35,48331,2648331,S,24056347,30025,Wayne,1.0,bc02e932-7e65-46da-8b11-468442720aff,24056347,30025,42.5024831,-121.08158300033566,N,2648331,48331,Oakland,143,98046.0
36,48357,2648357,S,30436623,1531824,Wayne,1.0,64bbec3b-df8f-494b-9408-8dbb5ba37c8b,30436623,1531824,57.56934073116437,-83.6464004,N,2648357,48357,Oakland,154,72520.0
37,48356,2648356,S,36733900,3600344,Wayne,0.9127916637536582,7657b335-4598-4164-b33f-a4712e0affb5,36733900,3600344,42.6544138,-83.5929054,N,2648356,48356,Oakland,153,67463.0
38,48360,2648360,S,30939560,2059458,Wayne,1.0,dc2b1afd-2407-4c91-bf97-4d6891ee631c,30939560,2059458,42.7475737,-83.2600828,N,2648360,48360,Oakland,156,90980.0
39,48328,2648328,S,23415085,6661279,Wayne,1.0578574144314772,2c46d041-7ebc-4460-8541-d50dc481cc27,23415085,6661279,42.6463809,-83.3590983,N,2648328,48328,Oakland,141,45689.0
40,48205,2648205,S,16531627,0,Wayne,1.0,98c29ec6-4fe4-41d9-bcb5-7faf39ccbfe6,16531627,0,42.4331562,-82.9811418,N,2648205,48205,Wayne,87,27317.0
41,48214,2648214,S,13014076,1565598,Wayne,1.0,1741dc08-c825-4db1-8be8-79376197621d,13014076,1565598,42.3651159,-82.9876441,N,2648214,48214,Wayne,96,24274.0
42,48146,2648146,S,15202542,1439,Wayne,1.0,37b4c0a6-1c65-423d-ad49-8a4d3ef80fb1,15202542,1439,41.48358454642978,-83.1812577,N,2648146,48146,Wayne,61,40032.0
43,48101,2648101,S,18182907,122205,Wayne,1.4635880180583003,9b145dbc-a438-4210-8b08-b5fe17f5a9c5,18182907,122205,43.74535828662459,-83.2103905,N,2648101,48101,Wayne,48,60767.0
44,48193,2648193,S,18194681,658655,Wayne,1.0,4767dc5f-b1ba-4c17-8249-ec7f4ff47f44,18194681,658655,42.1732817,-83.2098369,N,2648193,48193,Wayne,81,49922.0
45,48223,2648223,S,15679754,0,Wayne,1.0,9f6cf409-88cf-4a26-a51b-45986bb9547f,15679754,0,42.3934527,-83.2463272,N,2648223,48223,Wayne,104,32946.0
46,48217,2648217,S,5921036,126346,Wayne,1.0,0ad310de-af30-4857-ab93-a2fb2b2765f2,5921036,126346,42.277651,-83.1550783,N,2648217,48217,Wayne,99,23424.0
47,48180,2648180,S,61116827,95634,Wayne,1.0,d68e7e47-a307-4350-96a5-b4c4d79b7c3c,61116827,95634,26.787649536199872,-83.2683085,N,2648180,48180,Wayne,73,41742.0
48,48185,2648185,S,31512594,23686,Wayne,1.0,67e38a80-7bc4-4e80-94b1-fa19fc02f526,31512594,23686,42.3339011,-102.54852054948206,N,2648185,48185,Wayne,76,43405.0
49,48208,2648208,S,8190764,0,Wayne,1.0,aeb38470-56ad-4250-80d2-8e3772184af9,8190764,0,42.3484911,-83.0919366,N,2648208,48208,Wayne,90,18660.0
50,48096,2648096,S,94741211,296426,Wayne,1.0,8d9bebb3-e9c0-496c-9d2e-904e3b5f62ff,94741211,296426,42.7621506,-82.9204704,N,2648096,48096,Macomb,46,78326.0
51,48313,2648313,S,23503570,406887,Wayne,1.2353356764159842,ba9ce1e7-dce6-48ed-9c02-d144a8156f91,23503570,406887,63.17048871835617,-83.0029032,N,2648313,48313,Macomb,130,61781.0
52,48091,2648091,S,20698268,0,Wayne,1.0,575ea4ed-d07a-42b1-8c21-b0d572f40969,20698268,0,27.841653516792555,-83.057986,N,2648091,48091,Macomb,41,34291.0
53,48316,2648316,S,28762237,627097,Wayne,1.0,aa5c010e-0009-4918-876c-117d2982a309,28762237,627097,42.690173,-83.0572439,N,2648316,48316,Macomb,133,72261.0
54,48047,2648047,S,46696164,13420267,Wayne,1.0,4bc76e6b-7c63-40ff-b3f8-034edc08083a,46696164,13420267,42.6742396,-82.7738418,N,2648047,48047,Macomb,18,69706.0
55,48045,2648045,S,37852081,23892437,Wayne,1.0,bf9e4a38-bdd8-4bb6-b06b-34f3789231c9,37852081,23892437,42.5864089,-82.8181134,N,2648045,48045,Macomb,17,54561.0
56,48397,2648397,S,462102,0,Wayne,1.0,52557e5c-69cd-4816-afb3-b123814e3ea6,462102,0,42.4950169,-83.0410352,N,2648397,48397,Macomb,172,12851.0
57,48340,2648340,S,19451041,223003,Wayne,1.0,8ae6ad75-8cec-42fd-9bf6-efa384d72b18,19451041,223003,42.6721455,-83.2879038,N,2648340,48340,Oakland,147,29572.0
58,48220,2648220,S,11479188,0,Wayne,1.0,8c7adaa9-ab6b-495e-8cb8-790148230d51,11479188,0,42.4580661,-83.1352127,N,2648220,48220,Oakland,102,47284.0
59,48329,2648329,S,26456696,5606231,Wayne,1.0,d248c2f5-400e-45cd-aaaa-caffb3b28385,26456696,5606231,46.94249940208474,-83.3886216,N,2648329,48329,Oakland,142,67376.0
60,48076,2648076,S,18438102,0,Wayne,1.0,09577253-ce29-462a-a5aa-053cd6d3772d,18438102,0,42.497517,-83.2308736,N,2648076,48076,Oakland,32,62516.0
61,48393,2648393,S,34281698,636214,Wayne,1.0,39216c08-ae21-4dd0-880f-d1ae6eabbad7,34281698,636214,42.5218381,-83.5450877,N,2648393,48393,Oakland,171,48210.0
62,48359,2648359,S,27891596,772580,Wayne,1.0,3efcd7f4-095f-4bb5-ba42-38cd4c0590b5,27891596,772580,42.7207425,-43.42331333455,N,2648359,48359,Oakland,155,62971.0
63,48167,2648167,S,46056638,521639,Wayne,1.0,eb658241-4632-4916-828f-12d1491ce56d,46056638,521639,53.61497150730074,-83.5246583,N,2648167,48167,Wayne,67,80012.0
64,48070,2648070,S,3847786,9241,Wayne,1.0,d9d3be2a-0f39-47fb-a029-38dc5fe7174d,3847786,9241,42.4818989,-83.1680876,N,2648070,48070,Oakland,27,113750.0
65,48207,2648207,S,16061703,521193,Wayne,1.0,1e491638-c22f-4277-b3cd-4281514958d6,16061703,521193,42.3496544,-83.01896,N,2648207,48207,Wayne,89,25340.0
66,48174,2648174,S,106680136,588742,Wayne,1.0,75114540-a1ec-4553-8b67-6476351b2be5,106680136,588742,42.234298,-41.68891936219591,N,2648174,48174,Wayne,71,44918.0
67,48188,2648188,S,46715127,44071,Wayne,1.0,d054ccbb-c0ab-43d9-a92e-6278c7f70aca,46715127,44071,61.0018737825813,-83.4827194,N,2648188,48188,Wayne,79,90099.0
68,48126,2648126,S,25386287,240192,Wayne,1.0,f04ebe54-82b3-4505-9fcf-4749db24a845,25386287,240192,42.3257905,-83.1832135,N,2648126,48126,Wayne,54,28524.0
69,48228,2648228,S,22299441,0,Wayne,1.0,3e03c0f0-035a-49ce-a784-216343f91b98,22299441,0,42.3554551,-83.2170142,N,2648228,48228,Wayne,109,23767.0
70,48219,2648219,S,21773613,5168,Wayne,0.6349786887656627,606de42b-4d48-45b9-8cba-5c5d472b4b08,21773613,5168,42.4253278,-60.0186299662607,N,2648219,48219,Wayne,101,30979.0
71,48203,2648203,S,20756114,18585,Wayne,1.20872113731674,da76c77c-5a41-469e-b066-6653e2b74052,20756114,18585,45.9243036748171,-83.1043384,N,2648203,48203,Wayne,85,22891.0
72,48138,2648138,S,23824274,3950375,Wayne,1.0,352694cd-7cbd-4e32-ab9a-49696e31e655,23824274,3950375,42.1339782,-83.1539214,N,2648138,48138,Wayne,59,92674.0
73,48233,2648233,S,48551,0,Wayne,1.0,e10ff8f4-6c56-4161-a326-279a86148364,48551,0,42.3236973,-83.061662,N,2648233,48233,Wayne,112,12851.0
74,48134,2648134,S,46410603,1160454,Wayne,1.0,48d51f8e-edbf-45af-8506-67cdef3980f7,46410603,1160454,42.1065592,-65.83060491150081,N,2648134,48134,Wayne,57,61312.0
75,48111,2648111,S,174712960,5993611,Wayne,1.0,413f1e20-6fe9-4683-805b-fca10ae76404,174712960,5993611,22.666858983547307,-113.37346536737226,N,2648111,48111,Wayne,49,53647.0
76,48341,2648341,S,16553506,622686,Wayne,1.0,02b334d8-63bd-4d91-9086-89ccca3c03f5,16553506,622686,42.6279851,-83.2968413,N,2648341,48341,Oakland,148,32437.0
77,48302,2648302,S,28779375,3009391,Wayne,1.0,99609128-8588-4f09-a058-48c71ad10c15,28779375,3009391,42.5851084,-83.2934674,N,2648302,48302,Oakland,123,115505.0
78,48304,2648304,S,29280740,240747,Wayne,1.0,287f8380-b649-4e22-936a-8cf761571a19,29280740,240747,42.5888661,-62.26096278938475,N,2648304,48304,Oakland,124,107345.0
79,48348,2648348,S,85808148,2392869,Wayne,1.0,779f1716-5003-42e2-9c32-b71dd85e23d2,85808148,2392869,42.7701311,-83.4038752,N,2648348,48348,Oakland,151,94932.0
80,48346,2648346,S,46526882,2248921,Wayne,1.0,b7aced94-8d94-479e-b5fa-84f8d67298c9,46526882,2248921,42.7176969,-92.05404468446882,N,2648346,48346,Oakland,150,62998.0
81,48237,2648237,S,13341572,0,Wayne,1.0,86f91171-9bb7-417f-beb4-ded2c8d8b947,13341572,0,42.4649685,-83.1824197,N,2648237,48237,Oakland,116,47292.0
82,48025,2648025,S,20795336,40066,Wayne,1.0,1226b52f-79fb-42f5-8dc5-7fa52728604c,20795336,40066,42.5203566,-83.2648239,N,2648025,48025,Oakland,6,106472.0
83,48017,2648017,S,5683647,0,Wayne,1.0,2efcfa82-7072-4ca5-a386-2fd9ef9ad7f4,5683647,0,42.5366953,-49.40599503957314,N,2648017,48017,Oakland,4,54021.0
84,48005,2648005,S,94471583,156724,Wayne,1.0,eba0d7a4-e9b5-4f95-9646-95e8214f1811,94471583,156724,42.8507421,-82.9238283,N,2648005,48005,Macomb,1,74866.0
85,48211,2648211,S,10848548,0,Wayne,1.0,38689c5b-6b30-466f-bd07-3be1c20f3bfa,10848548,0,53.24733774038613,-83.0457331,N,2648211,48211,Wayne,93,19058.0
86,48120,2648120,S,8253572,149422,Wayne,1.0,17fc2d0d-c7d5-481d-95a6-a451ef6e12d1,8253572,149422,42.3063266,-83.1762109,N,2648120,48120,Wayne,50,45805.0
87,48201,2648201,S,5193540,0,Wayne,1.0,568f38f9-92aa-4124-bf31-74ed34dff7e6,5193540,0,42.3470206,-83.0601841,N,2648201,48201,Wayne,83,12851.0
88,48127,2648127,S,19924557,22246,Wayne,1.0,a18205ab-c247-405e-85da-e7a04e178bce,19924557,22246,42.3357932,-60.03801808670524,N,2648127,48127,Wayne,55,43652.0
89,48442,2648442,S,221106779,9626182,Wayne,1.0,bfea796c-3307-4104-8887-103d1cebf6eb,221106779,9626182,42.7886803,-122.40869947365192,N,2648442,48442,Oakland,173,67069.0
90,48314,2648314,S,19963757,86817,Wayne,1.0,d6406f3f-74cd-44bc-a818-323d36fbb839,19963757,86817,42.6120739,-83.0534892,N,2648314,48314,Macomb,131,61018.0
91,48038,2648038,S,28395064,40058,Wayne,1.0,9e657f06-e7f0-4b72-9aa9-6921815d7bb8,28395064,40058,42.6061625,-82.9375883,N,2648038,48038,Macomb,13,53110.0
92,48026,2648026,S,10725535,40959,Wayne,1.0,47e923be-586d-4da7-804e-ad7539ad78a7,10725535,40959,24.07915777346389,-82.9467415,N,2648026,48026,Macomb,7,51230.0
93,48386,2648386,S,43311680,6263206,Wayne,1.0,786761f7-c152-4e6e-843f-7cfafa42d771,43311680,6263206,42.6603193,-83.4802806,N,2648386,48386,Oakland,169,72475.0
94,48326,2648326,S,44779600,1578102,Wayne,1.0539600911015206,b2118676-5967-4cb2-8427-a69952383e8f,44779600,1578102,42.6882462,-83.2440754,N,2648326,48326,Oakland,139,53409.0
95,48390,2648390,S,32461268,2524821,Wayne,1.0,20cd0a03-6219-4450-9376-86c90310ed42,32461268,2524821,42.5507106,-50.64330502892146,N,2648390,48390,Oakland,170,65338.0
96,48374,2648374,S,23521854,295905,Wayne,1.0,ad6c3f82-4260-479d-911c-fbb8e1463b5b,23521854,295905,62.4884334929302,-83.5228625,N,2648374,48374,Oakland,162,142038.0
97,48377,2648377,S,24977248,2201392,Wayne,1.0,c352c653-f181-4d56-962e-1cdbb3471c62,24977248,2201392,42.5049256,-65.20163316321421,N,2648377,48377,Oakland,164,57032.0
98,48342,2648342,S,14852162,135050,Wayne,1.0,c388f454-3a28-4869-8408-35f70f2579f4,14852162,135050,58.15818313394772,-52.07640745582171,N,2648342,48342,Oakland,149,19532.0
99,48327,2648327,S,29357542,1254703,Wayne,1.0,49c78f0a-53e9-46a5-8e40-52a207a99d4f,29357542,1254703,42.6369326,-83.4099874,N,2648327,48327,Oakland,140,51181.0
100,48367,2648367,S,60738183,2515683,Wayne,1.0,58a3b74c-2187-4a07-bb5c-2b0788538576,60738183,2515683,43.36613363363257,-83.1369016,N,2648367,48367,Oakland,159,72755.0
101,48204,2648204,S,12980500,0,Wayne,1.0,ee9f81ca-68c9-49d7-b8f5-d93f6a519320,12980500,0,23.39283342838472,-73.0681782958409,N,2648204,48204,Wayne,86,21583.0
102,48173,2648173,S,30022088,5808529,Wayne,0.751216205435607,903af141-b81e-4733-9b2e-3998bacd2159,30022088,5808529,42.0736789,-83.2127735,N,2648173,48173,Wayne,70,68806.0
103,48141,2648141,S,16194528,1610,Wayne,1.0,c014f168-1c1a-4a68-a7d5-f3bff887c94e,16194528,1610,42.2940543,-83.3198665,N,2648141,48141,Wayne,60,27849.0
104,48229,2648229,S,7303781,4867,Wayne,1.229228757107991,3e01772c-92f9-407f-8d3b-9d20dd277641,7303781,4867,42.2505594,-123.4370679817345,N,2648229,48229,Wayne,110,29637.0
105,48184,2648184,S,18208616,3148,Wayne,1.0,07dc3957-2470-4bfa-b82e-5c83fb7fdb06,18208616,3148,42.2744787,-83.3956231,N,2648184,48184,Wayne,75,39390.0
106,48243,2648243,S,42722,0,Wayne,1.0,f5bbbd8d-0248-495e-8edd-0aa896fea4bf,42722,0,42.3299748,-83.039506,N,2648243,48243,Wayne,121,12851.0
107,48186,2648186,S,21391213,15889,Wayne,1.0,a9a06c5f-9561-495d-91df-10da9993d3b6,21391213,15889,42.2937641,-83.3707389,N,2648186,48186,Wayne,77,44632.0
108,48226,2648226,S,3197600,0,Wayne,1.0,10d4ffc5-1666-4667-8776-e2093ed438a0,3197600,0,42.3315417,-87.68016563287792,N,2648226,48226,Wayne,107,35320.0
109,48462,2648462,S,123305612,3336299,Wayne,0.5405330445932569,02ee4cc1-92fc-4db4-b8f0-a934d95076a2,123305612,3336299,42.8485128,-83.421668,N,2648462,48462,Oakland,174,77172.0
110,48066,2648066,S,25516402,74007,Wayne,1.0,6f099a36-90d8-427c-a91b-5bcfb3bbada1,25516402,74007,42.5075864,-82.9365822,N,2648066,48066,Macomb,24,40586.0
111,48310,2648310,S,21908557,69654,Wayne,1.0,fad72334-60ac-4536-add5-154e2b75d402,21908557,69654,42.5634354,-83.0683965,N,2648310,48310,Macomb,128,53885.0
112,48092,2648092,S,21213730,94029,Wayne,1.0,07382348-9127-4488-baf6-a321abe78e37,21213730,94029,42.5135933,-83.058938,N,2648092,48092,Macomb,42,47241.0
113,48051,2648051,S,39007428,144086,Wayne,1.304427554980116,eaab7d65-0015-40ef-af0c-d44ac7ce89ff,39007428,144086,42.6936406,-82.8210012,N,2648051,48051,Macomb,21,67712.0
114,48164,2648164,S,76119149,380809,Wayne,1.0,0fbccab9-6f83-488f-98fb-45a80007361e,76119149,380809,42.1245713,-83.3868655,N,2648164,48164,Wayne,65,77909.0
115,48370,2648370,S,30968042,318137,Wayne,1.0,8b688df2-3a9c-4904-b764-10f248ffbdaf,30968042,318137,42.8428757,-83.2003646,N,2648370,48370,Oakland,160,93542.0
116,48307,2648307,S,39752809,131153,Wayne,1.0,01abf598-7245-4c06-818e-d0482a35a103,39752809,131153,42.659316,-83.122679,N,2648307,48307,Oakland,126,67162.0
117,48382,2648382,S,42605404,4905944,Wayne,1.0,a83cd5ad-c8ca-4ebc-bdcd-5a7157699503,42605404,4905944,42.5925579,-83.5071571,N,2648382,48382,Oakland,167,92021.0
118,48336,2648336,S,23545178,0,Wayne,1.0,c2840fb9-182d-4036-9926-bac89d6a6ef6,23545178,0,42.4631444,-83.3472697,N,2648336,48336,Oakland,146,54901.0
119,48334,2648334,S,23280642,33221,Wayne,1.0,a5250d5c-9f67-44dd-b8e7-e3de859670e7,23280642,33221,42.5046969,-83.3492034,N,2648334,48334,Oakland,144,67400.0
120,48030,2648030,S,7297399,0,Wayne,1.0,a08a3188-30f2-4094-8b28-2b13ec3a6b3c,7297399,0,42.4619241,-83.0976891,N,2648030,48030,Oakland,8,31596.0
121,48324,2648324,S,22267787,9211406,Wayne,1.0,61501fe8-5c58-4942-8aca-27c8db1ade64,22267787,9211406,42.5941607,-83.3924626,N,2648324,48324,Oakland,138,95290.0
122,48362,2648362,S,25688754,3921695,Wayne,1.0,cd504335-1274-4447-9144-62e2f9e480bd,25688754,3921695,42.7844767,-83.2703389,N,2648362,48362,Oakland,157,76841.0
123,48350,2648350,S,61607645,2335994,Wayne,1.0,09bcd477-d5f4-4982-ad6d-06bd9ae0d7e5,61607645,2335994,42.7394182,-83.5310441,N,2648350,48350,Oakland,152,79735.0
124,48084,2648084,S,16008059,0,Wayne,1.0,73ae3d1c-5a80-4ec7-b06e-8ae9187fe19d,16008059,0,42.5606333,-92.68415853907008,N,2648084,48084,Oakland,37,82670.0
125,48072,2648072,S,6220197,0,Wayne,1.0,e4124019-085b-4121-be54-d530fbfefba3,6220197,0,42.4979022,-83.1858587,N,2648072,48072,Oakland,29,70625.0
126,48009,2648009,S,13084514,31709,Wayne,0.5739746033534987,c87bb0bc-7be3-432a-b5c3-d6092c2183f3,13084514,31709,42.5440484,-83.2176527,N,2648009,48009,Oakland,2,107161.0
127,48168,2648168,S,52837702,610512,Wayne,1.0,d9bd87a4-03ff-42a2-844a-44cbb3935e43,52837702,610512,42.4052615,-83.5404983,N,2648168,48168,Wayne,68,129821.0
128,48170,2648170,S,88448610,539814,Wayne,1.0,7f9f9e75-8d18-4157-9e01-5868489dff32,88448610,539814,42.3676895,-83.5343063,N,2648170,48170,Wayne,69,77191.0
129,48224,2648224,S,14852847,0,Wayne,1.0,462ca262-627f-42c2-84d9-34ddb1d049ae,14852847,0,44.834633495572895,-82.9412646,N,2648224,48224,Wayne,105,30262.0
130,48209,2648209,S,17501605,347455,Wayne,1.0,29eab73c-6f25-4ce7-b031-f20f8fb8d278,17501605,347455,42.3067234,-80.14820839419376,N,2648209,48209,Wayne,91,26346.0
131,48212,2648212,S,13854094,26408,Wayne,1.0,4951d97e-411d-4812-a479-86a974d77d30,13854094,26408,42.4097208,-93.87447105454116,N,2648212,48212,Wayne,94,23592.0
132,48239,2648239,S,25193320,93427,Wayne,1.0,f1b1f149-75ad-4f58-9318-fdb181f9a22f,25193320,93427,51.36038238839136,-83.2831741,N,2648239,48239,Wayne,118,50346.0
133,48093,2648093,S,14641248,99514,Wayne,1.0,9a96a1ac-f066-4993-9cdc-f1aeff332532,14641248,99514,42.5158896,-83.0164831,N,2648093,48093,Macomb,43,49152.0
134,48042,2648042,S,58854197,113652,Wayne,1.0,a90bd71e-c638-45ec-baf7-106efcd5703c,58854197,113652,42.6836582,-82.9079746,N,2648042,48042,Macomb,14,84312.0
135,48080,2648080,S,11325638,1885265,Wayne,1.0,085ea5b5-338a-4752-b0ca-71130c965624,11325638,1885265,42.4644239,-82.8961751,N,2648080,48080,Macomb,33,50740.0
136,48095,2648095,S,43806880,922896,Wayne,0.6794084371184714,ba3b3bec-8c66-47f8-9646-abc51eb5c315,43806880,922896,42.7787358,-83.04807,N,2648095,48095,Macomb,45,96810.0
137,48306,2648306,S,58870695,262841,Wayne,1.3401083603010024,4a6e067b-b6c4-48a1-8f65-218ebad13dba,58870695,262841,42.7243181,-83.1473059,N,2648306,48306,Oakland,125,122446.0
138,48071,2648071,S,18374593,0,Wayne,0.5681113153255336,b1bd95a9-6531-403f-9c7a-21ea9216aefe,18374593,0,42.5072662,-83.1033699,N,2648071,48071,Oakland,28,40820.0
139,48375,2648375,S,22224685,79905,Wayne,1.0,3608ede9-8f1e-4a6b-8e51-8b5ae37fc3ce,22224685,79905,42.4641407,-83.463958,N,2648375,48375,Oakland,163,81233.0
140,48067,2648067,S,11888903,2761,Wayne,1.0,80f350b1-cf72-458b-bc20-18655ac473e5,11888903,2761,36.3559004497957,-83.1375244,N,2648067,48067,Oakland,25,68107.0
141,48034,2648034,S,11188519,0,Wayne,1.233855608738021,8397301f-fe7e-4185-8894-20d10f650a1f,11188519,0,42.4969488,-83.2910783,N,2648034,48034,Oakland,10,42427.0
