2432.namelsad,Census Tact 1104.01,Census Tract 1104.01
1705.funcstat,***,S
2867.funcstat,dS,S
730.li_cor_dac,Boht,Both
2424.namelsad,Census Tract302,Census Tract 302
1779.namelsad,Censs Tract 2421,Census Tract 2421
271.funcstat,sS,S
4037.li_cor_dac,oth,Both
3220.namelsad,dCensus Tract 191.07,Census Tract 191.07
1322.li_cor_dac,oth,Both
1545.funcstat,nS,S
3882.li_cor_dac,Boht,Both
3968.li_cor_dac,IC,LIC
3516.namelsad,Census Tract6 039,Census Tract 6039
140.namelsad,Cesus Tract 45,Census Tract 45
2681.funcstat,lS,S
201.funcstat,tS,S
779.li_cor_dac,Boh,Both
3223.funcstat,fS,S
1084.funcstat,***,S
237.mtfcc,G5200,G5020
3630.namelsad,Census rTact 170.48,Census Tract 170.48
3465.mtfcc,G50l20,G5020
1386.funcstat,,S
384.li_cor_dac,Btoh,Both
2563.li_cor_dac,Boh,Both
3394.namelsad,Census Tact 170.18,Census Tract 170.18
1977.mtfcc,G502d0,G5020
411.namelsad,Census Tract 1288,Census Tract 2188
3171.namelsad,Census Tract 0408,Census Tract 4008
2138.funcstat,,S
3187.funcstat,***,S
4569.mtfcc,5020,G5020
4205.namelsad,Census Tract 5578.02,Census Tract 5758.02
1829.mtfcc,G5002,G5020
4556.mtfcc,G5t020,G5020
3249.funcstat,***,S
3609.namelsad,Cenus Tract 133.06,Census Tract 133.06
482.li_cor_dac,Boh,Both
3832.mtfcc,G500,G5020
2575.mtfcc,G500,G5020
4042.namelsad,eCnsus Tract 5350.02,Census Tract 5350.02
489.namelsad,ensus Tract 17,Census Tract 17
3641.mtfcc,G0520,G5020
292.mtfcc,G502s0,G5020
2083.mtfcc,G500,G5020
3330.mtfcc,G5002,G5020
2088.namelsad,ensus Tract 5036.02,Census Tract 5036.02
3618.mtfcc,Gf5020,G5020
3811.mtfcc,5G020,G5020
2862.li_cor_dac,ILC,LIC
985.mtfcc,G5002,G5020
3354.funcstat,uS,S
2023.li_cor_dac,DCA,DAC
2835.funcstat,sS,S
1564.mtfcc,G5e020,G5020
850.mtfcc,G0520,G5020
3397.mtfcc,sG5020,G5020
1561.mtfcc,5G020,G5020
2684.funcstat,***,S
800.mtfcc,Gk5020,G5020
3341.li_cor_dac,qLIC,LIC
3901.mtfcc,G500,G5020
3438.namelsad,Cenksus Tract 115,Census Tract 115
3319.mtfcc,G5200,G5020
1183.mtfcc,G50w20,G5020
4556.funcstat,zS,S
4159.funcstat,,S
3606.mtfcc,G5g020,G5020
2926.li_cor_dac,DCA,DAC
16.li_cor_dac,IC,LIC
2133.namelsad,Census Tralct 7,Census Tract 7
823.namelsad,Census Tract 050.01,Census Tract 4050.01
1378.namelsad,Cenrsus Tract 1231.03,Census Tract 1231.03
1132.li_cor_dac,ILC,LIC
2073.mtfcc,G5002,G5020
859.funcstat,***,S
4711.funcstat,sS,S
2516.namelsad,Ceznsus Tract 992.22,Census Tract 992.22
2945.namelsad,Cexnsus Tract 15,Census Tract 15
1155.li_cor_dac,Botdh,Both
3685.mtfcc,5020,G5020
1746.mtfcc,G520,G5020
2844.namelsad,CensusTract 11.02,Census Tract 11.02
3312.li_cor_dac,ILC,LIC
4666.funcstat,***,S
231.mtfcc,G50p20,G5020
4280.li_cor_dac,Btoh,Both
905.li_cor_dac,jLIC,LIC
1105.namelsad,Census rTact 2911.20,Census Tract 2911.20
2314.li_cor_dac,Boht,Both
889.namelsad,ensus Tract 433.16,Census Tract 433.16
1748.mtfcc,G5200,G5020
887.funcstat,hS,S
1296.li_cor_dac,Boht,Both
1030.funcstat,,S
1685.funcstat,,S
3793.mtfcc,Gy5020,G5020
1012.namelsad,Census Tract 1131.01,Census Tract 1113.01
2599.li_cor_dac,eBoth,Both
4703.li_cor_dac,LCI,LIC
1127.li_cor_dac,LvIC,LIC
2044.mtfcc,Gv5020,G5020
2955.funcstat,***,S
103.mtfcc,G502f0,G5020
1359.funcstat,***,S
165.li_cor_dac,wLIC,LIC
2488.mtfcc,5020,G5020
1411.namelsad,Cnesus Tract 1.04,Census Tract 1.04
2319.li_cor_dac,LrIC,LIC
322.namelsad,Census Tratc 135,Census Tract 135
663.funcstat,dS,S
700.mtfcc,G520,G5020
742.li_cor_dac,LCI,LIC
1845.mtfcc,zG5020,G5020
4440.namelsad,Census Tract 5015.30,Census Tract 5015.03
4138.namelsad,Censusf Tract 64.03,Census Tract 64.03
4678.funcstat,***,S
3559.funcstat,sS,S
1301.mtfcc,Go5020,G5020
1713.funcstat,pS,S
2260.li_cor_dac,LCI,LIC
53.funcstat,,S
1669.li_cor_dac,oth,Both
564.funcstat,yS,S
1425.funcstat,,S
3128.li_cor_dac,LC,LIC
3003.namelsad,eCnsus Tract 3019,Census Tract 3019
1278.mtfcc,G5x020,G5020
847.funcstat,***,S
3790.funcstat,***,S
1691.mtfcc,G500,G5020
3648.li_cor_dac,LIlC,LIC
4404.namelsad,Cesnus Tract 61,Census Tract 61
3277.funcstat,,S
4221.li_cor_dac,LC,LIC
3361.li_cor_dac,IC,LIC
3716.namelsad,Census Tract 91050.4,Census Tract 9105.04
4127.namelsad,Census Tract 4.05,Census Tract 45.05
3472.funcstat,eS,S
2831.namelsad,Census Trct 5019,Census Tract 5019
539.mtfcc,5020,G5020
1530.namelsad,Census Tract 5.20,Census Tract 5.02
1008.funcstat,nS,S
3613.namelsad,Census Tact 133.03,Census Tract 133.03
1151.li_cor_dac,oth,Both
4549.funcstat,***,S
1533.li_cor_dac,kLIC,LIC
1382.mtfcc,G0520,G5020
324.li_cor_dac,IC,LIC
2798.funcstat,sS,S
62.funcstat,,S
1462.li_cor_dac,Boh,Both
3143.funcstat,cS,S
2650.li_cor_dac,LC,LIC
3944.mtfcc,5020,G5020
38.funcstat,bS,S
1210.li_cor_dac,oBth,Both
2288.funcstat,sS,S
2811.li_cor_dac,AC,DAC
1063.namelsad,Census Tract 1021.40,Census Tract 1021.04
4121.li_cor_dac,oth,Both
711.funcstat,***,S
3628.mtfcc,G520,G5020
1591.li_cor_dac,LC,LIC
3827.mtfcc,G520,G5020
676.li_cor_dac,oBth,Both
640.mtfcc,G50x20,G5020
4499.li_cor_dac,ILC,LIC
4349.mtfcc,G5a020,G5020
3376.mtfcc,5G020,G5020
4675.mtfcc,G0520,G5020
3422.mtfcc,G5002,G5020
2056.funcstat,,S
3616.mtfcc,G0520,G5020
3439.funcstat,nS,S
152.mtfcc,G502u0,G5020
1057.namelsad,Census Tract 239802,Census Tract 2398.02
2824.li_cor_dac,bLIC,LIC
3693.namelsad,Census Tract 13.x03,Census Tract 13.03
4216.li_cor_dac,oth,Both
1738.mtfcc,G5200,G5020
4389.namelsad,Census Trfact 85.01,Census Tract 85.01
1538.funcstat,***,S
1128.funcstat,rS,S
4710.namelsad,CensusTract 4.02,Census Tract 4.02
2957.namelsad,Censuse Tract 17,Census Tract 17
3491.namelsad,Czensus Tract 4070.01,Census Tract 4070.01
840.funcstat,***,S
1.namelsad,ensus Tract 1392,Census Tract 1392
4724.funcstat,nS,S
1215.mtfcc,5020,G5020
1595.li_cor_dac,LC,LIC
3424.li_cor_dac,LCI,LIC
3717.funcstat,xS,S
3502.namelsad,Census Tract 85.12,Census Tract 185.12
1549.mtfcc,G020,G5020
955.li_cor_dac,Btoh,Both
4193.namelsad,eCnsus Tract 5428,Census Tract 5428
583.namelsad,Cenbsus Tract 123.01,Census Tract 123.01
2608.li_cor_dac,LCI,LIC
626.mtfcc,5G020,G5020
3931.mtfcc,5020,G5020
1789.namelsad,Census Trac t101.01,Census Tract 101.01
2473.li_cor_dac,LCI,LIC
1034.namelsad,Censu Tract 1235.10,Census Tract 1235.10
1107.namelsad,Census Tarct 9102.08,Census Tract 9102.08
3543.funcstat,,S
2640.li_cor_dac,LaIC,LIC
3136.li_cor_dac,LIjC,LIC
4117.funcstat,,S
4579.mtfcc,G5002,G5020
763.funcstat,,S
1392.funcstat,,S
2425.li_cor_dac,DpAC,DAC
2135.li_cor_dac,IC,LIC
702.li_cor_dac,LtIC,LIC
4556.li_cor_dac,oBth,Both
4482.li_cor_dac,Btoh,Both
2952.namelsad,Census Trkact 5050.07,Census Tract 5050.07
329.li_cor_dac,Bth,Both
1315.funcstat,,S
3410.funcstat,,S
2711.mtfcc,5G020,G5020
268.funcstat,***,S
3473.namelsad,Census Tarct 179,Census Tract 179
3303.funcstat,***,S
3034.funcstat,,S
407.funcstat,,S
827.li_cor_dac,Bokth,Both
802.li_cor_dac,Bth,Both
1432.namelsad,Census Tractb 5351.01,Census Tract 5351.01
1243.li_cor_dac,LCI,LIC
3775.li_cor_dac,Boht,Both
1078.funcstat,,S
1645.li_cor_dac,oBth,Both
4654.namelsad,Census Tract3 770,Census Tract 3770
3878.namelsad,Cuensus Tract 1242.03,Census Tract 1242.03
2793.mtfcc,G5002,G5020
4499.mtfcc,G5x020,G5020
4124.mtfcc,G5002,G5020
983.mtfcc,5G020,G5020
1814.funcstat,***,S
4200.mtfcc,G5200,G5020
1957.li_cor_dac,LCI,LIC
1078.li_cor_dac,LCI,LIC
2206.li_cor_dac,LInC,LIC
126.namelsad,Census Tract 360.02,Census Tract 306.02
148.mtfcc,G5002,G5020
3283.namelsad,Census Trcat 150,Census Tract 150
1847.namelsad,Cenksus Tract 9008.03,Census Tract 9008.03
482.funcstat,rS,S
343.namelsad,Census ract 3,Census Tract 3
3010.funcstat,tS,S
2634.li_cor_dac,LIvC,LIC
2861.namelsad,Census Tract 20.2,Census Tract 2.02
1459.mtfcc,G5q020,G5020
878.mtfcc,G502x0,G5020
4277.namelsad,Censuso Tract 6033,Census Tract 6033
3839.funcstat,***,S
2605.funcstat,***,S
2822.namelsad,CensusTract 5004,Census Tract 5004
1138.funcstat,***,S
3468.namelsad,Census Tarct 67,Census Tract 67
821.li_cor_dac,LCI,LIC
1329.mtfcc,G5l020,G5020
3312.namelsad,Census Trct 29.05,Census Tract 29.05
1216.mtfcc,G020,G5020
1476.li_cor_dac,Bth,Both
4686.mtfcc,G500,G5020
1922.mtfcc,G0520,G5020
3960.li_cor_dac,DCA,DAC
2012.namelsad,Censs Tract 525.19,Census Tract 525.19
2633.mtfcc,5G020,G5020
2279.funcstat,,S
2472.namelsad,Census Trct 762.04,Census Tract 762.04
1539.namelsad,Census Tract5304,Census Tract 5304
1865.mtfcc,G5200,G5020
3672.li_cor_dac,LCI,LIC
1227.mtfcc,G520,G5020
958.li_cor_dac,Boh,Both
111.namelsad,Cnsus Tract 3.01,Census Tract 3.01
2831.mtfcc,G5002,G5020
752.funcstat,,S
2737.mtfcc,G50g20,G5020
4685.li_cor_dac,Boht,Both
3514.namelsad,CensusTract 6062,Census Tract 6062
3279.li_cor_dac,LIpC,LIC
2976.li_cor_dac,IC,LIC
3119.li_cor_dac,LgIC,LIC
2511.mtfcc,5020,G5020
1000.mtfcc,G500,G5020
1109.funcstat,,S
2638.li_cor_dac,oth,Both
194.mtfcc,G0520,G5020
1646.funcstat,wS,S
3680.mtfcc,G5v020,G5020
4664.namelsad,Census Trac 3270,Census Tract 3270
3062.mtfcc,G5j020,G5020
412.li_cor_dac,Boht,Both
1766.namelsad,Census Tractm 455.02,Census Tract 455.02
1143.li_cor_dac,IC,LIC
204.namelsad,Cenuss Tract 2089.02,Census Tract 2089.02
3275.mtfcc,G520,G5020
2840.li_cor_dac,LCI,LIC
1977.funcstat,kS,S
2772.li_cor_dac,Botrh,Both
3176.namelsad,Cesus Tract 142,Census Tract 142
492.li_cor_dac,Botbh,Both
2582.namelsad,Census Tract 8.20,Census Tract 81.20
3002.mtfcc,G5200,G5020
526.namelsad,Censu Tract 4355,Census Tract 4355
2178.funcstat,oS,S
4727.funcstat,nS,S
3609.mtfcc,G5200,G5020
619.funcstat,gS,S
1981.mtfcc,G5002,G5020
897.namelsad,Census Tract1 175.30,Census Tract 1175.30
315.funcstat,***,S
412.mtfcc,G50v20,G5020
28.li_cor_dac,Boh,Both
4229.namelsad,Census Tract u425.06,Census Tract 425.06
4204.namelsad,ensus Tract 5755,Census Tract 5755
4026.mtfcc,G020,G5020
1457.namelsad,ensus Tract 6007.04,Census Tract 6007.04
3728.li_cor_dac,LCI,LIC
2134.mtfcc,G50q20,G5020
4110.li_cor_dac,oth,Both
2819.funcstat,tS,S
849.namelsad,Census Trac t5037.13,Census Tract 5037.13
3851.li_cor_dac,oth,Both
4296.mtfcc,G5200,G5020
1869.namelsad,Census Trcat 9005.04,Census Tract 9005.04
3628.namelsad,CensusTract 4017,Census Tract 4017
2906.li_cor_dac,LIqC,LIC
850.li_cor_dac,LcIC,LIC
216.li_cor_dac,oth,Both
496.mtfcc,G5200,G5020
2992.namelsad,Census Tarct 40,Census Tract 40
2182.mtfcc,5020,G5020
1891.namelsad,Cnesus Tract 3.01,Census Tract 3.01
1582.li_cor_dac,Boh,Both
3452.funcstat,***,S
4596.mtfcc,aG5020,G5020
1406.namelsad,Censsus Tract 5344.06,Census Tract 5344.06
2407.namelsad,Census Tract 959.06,Census Tract 995.06
2484.mtfcc,G5200,G5020
3014.li_cor_dac,LCI,LIC
4655.funcstat,***,S
3690.namelsad,ensus Tract 5337.03,Census Tract 5337.03
1199.funcstat,,S
2050.li_cor_dac,LC,LIC
260.funcstat,yS,S
4553.funcstat,***,S
3272.namelsad,Census Tract 1240.1,Census Tract 124.01
4642.funcstat,aS,S
2595.funcstat,vS,S
4409.funcstat,hS,S
388.li_cor_dac,LC,LIC
2915.namelsad,Census Tract 1,Census Tract 81
3334.li_cor_dac,Boqth,Both
1099.funcstat,***,S
4240.mtfcc,G020,G5020
4340.funcstat,hS,S
3339.li_cor_dac,IC,LIC
4290.funcstat,,S
2586.funcstat,***,S
4429.funcstat,***,S
8.funcstat,iS,S
76.li_cor_dac,oBth,Both
2178.namelsad,Censusz Tract 1341.03,Census Tract 1341.03
2138.li_cor_dac,DlAC,DAC
3835.li_cor_dac,Boht,Both
3085.funcstat,qS,S
3905.mtfcc,G5002,G5020
3342.funcstat,,S
4169.namelsad,Census Tract 33.02***,Census Tract 33.02
3462.mtfcc,G502o0,G5020
2413.namelsad,Census Trcat 260.02,Census Tract 260.02
2998.funcstat,***,S
374.funcstat,***,S
3343.mtfcc,kG5020,G5020
3646.li_cor_dac,IC,LIC
1021.mtfcc,G0520,G5020
899.li_cor_dac,ILC,LIC
2621.namelsad,Census Trct 867.02,Census Tract 867.02
2598.namelsad,Census Tractv 2199.01,Census Tract 2199.01
4475.li_cor_dac,LjIC,LIC
1748.funcstat,uS,S
4502.mtfcc,Ga5020,G5020
1640.li_cor_dac,LsIC,LIC
2161.li_cor_dac,ILC,LIC
3322.mtfcc,5G020,G5020
3492.li_cor_dac,oth,Both
98.funcstat,,S
1774.namelsad,Census Tract 100.1d0,Census Tract 100.10
1524.namelsad,Census Trsact 7,Census Tract 7
1074.mtfcc,G020,G5020
4532.funcstat,fS,S
3757.namelsad,Census Tract5031.04,Census Tract 5031.04
3117.mtfcc,G5200,G5020
1683.namelsad,Census Tract2 282.10,Census Tract 2282.10
529.li_cor_dac,IC,LIC
2466.li_cor_dac,ILC,LIC
506.funcstat,,S
4003.mtfcc,G500,G5020
2218.namelsad,Census Tracit 53.01,Census Tract 53.01
1104.funcstat,fS,S
1520.li_cor_dac,oth,Both
1612.funcstat,,S
3307.namelsad,ensus Tract 27.02,Census Tract 27.02
3458.funcstat,jS,S
4225.namelsad,Census Tractb 5344.03,Census Tract 5344.03
782.li_cor_dac,Botbh,Both
2397.namelsad,Census Tract 03.01,Census Tract 403.01
802.funcstat,rS,S
337.funcstat,bS,S
3074.funcstat,***,S
113.li_cor_dac,Bth,Both
3146.li_cor_dac,Boht,Both
2482.mtfcc,G5b020,G5020
4415.mtfcc,G020,G5020
2219.namelsad,Census ract 53.02,Census Tract 53.02
1034.li_cor_dac,Bth,Both
2636.mtfcc,G500,G5020
3438.li_cor_dac,LuIC,LIC
3375.li_cor_dac,LCI,LIC
365.li_cor_dac,oBth,Both
4401.li_cor_dac,LwIC,LIC
1854.mtfcc,G520,G5020
3037.namelsad,Census Tradct 501.01,Census Tract 501.01
1212.namelsad,Census rTact 5006,Census Tract 5006
4482.mtfcc,G020,G5020
1417.funcstat,,S
2659.funcstat,tS,S
4232.li_cor_dac,LCI,LIC
3179.namelsad,Cnesus Tract 195.01,Census Tract 195.01
3642.funcstat,,S
14.mtfcc,G5e020,G5020
4693.namelsad,Census Tract 350,Census Tract 3350
1882.li_cor_dac,LIiC,LIC
2839.li_cor_dac,Bofth,Both
92.funcstat,mS,S
2527.mtfcc,pG5020,G5020
78.funcstat,sS,S
3362.funcstat,rS,S
2026.li_cor_dac,dLIC,LIC
4107.li_cor_dac,IC,LIC
4625.funcstat,kS,S
1367.li_cor_dac,IC,LIC
4319.namelsad,Ceonsus Tract 1.02,Census Tract 1.02
4668.namelsad,Census Tract 5702t.02,Census Tract 5702.02
3472.mtfcc,G502m0,G5020
431.funcstat,jS,S
2021.mtfcc,G5b020,G5020
550.mtfcc,G520,G5020
626.li_cor_dac,Boteh,Both
419.mtfcc,G520,G5020
656.mtfcc,G5r020,G5020
4383.funcstat,,S
3364.namelsad,Census Tract i202.11,Census Tract 202.11
2890.namelsad,Census ract 41.01,Census Tract 41.01
3042.li_cor_dac,ILC,LIC
2998.mtfcc,G5i020,G5020
3202.li_cor_dac,tLIC,LIC
4395.namelsad,Census Tract 447.0f1,Census Tract 447.01
3345.li_cor_dac,zLIC,LIC
960.li_cor_dac,Boht,Both
456.mtfcc,G020,G5020
952.mtfcc,G502z0,G5020
3181.li_cor_dac,IC,LIC
3875.li_cor_dac,Botlh,Both
786.mtfcc,5020,G5020
4005.namelsad,Census Trkact 5515.02,Census Tract 5515.02
1276.li_cor_dac,yLIC,LIC
4233.funcstat,,S
1289.funcstat,***,S
4110.funcstat,***,S
3134.li_cor_dac,IC,LIC
3004.funcstat,***,S
4010.namelsad,Census Tratc 5722.01,Census Tract 5722.01
1683.mtfcc,G500,G5020
3978.funcstat,,S
2435.li_cor_dac,IC,LIC
944.namelsad,Census rTact 6025.08,Census Tract 6025.08
1165.funcstat,,S
775.funcstat,cS,S
4525.li_cor_dac,LIzC,LIC
4217.namelsad,Census Tact 5120.42,Census Tract 5120.42
732.mtfcc,G020,G5020
1570.funcstat,gS,S
4173.mtfcc,G50h20,G5020
2062.li_cor_dac,oth,Both
3225.namelsad,Census Tract 158.20,Census Tract 158.02
3835.funcstat,***,S
845.li_cor_dac,IC,LIC
2975.li_cor_dac,Boh,Both
1234.li_cor_dac,oBth,Both
63.li_cor_dac,LqIC,LIC
2113.namelsad,Census rTact 4272,Census Tract 4272
2890.li_cor_dac,LpIC,LIC
4519.namelsad,Census Tmract 117.03,Census Tract 117.03
3248.li_cor_dac,Bth,Both
1753.namelsad,Census Tract 43.13,Census Tract 433.13
4685.namelsad,Census Tact 11,Census Tract 11
737.funcstat,,S
1869.li_cor_dac,IC,LIC
2799.mtfcc,5020,G5020
3925.mtfcc,5G020,G5020
408.mtfcc,G502x0,G5020
505.funcstat,***,S
3682.namelsad,Census Tract 181.01,Census Tract 1891.01
1489.funcstat,yS,S
2471.funcstat,,S
1771.li_cor_dac,IC,LIC
257.namelsad,Census Tract 53l42.01,Census Tract 5342.01
4472.funcstat,***,S
2997.mtfcc,dG5020,G5020
2474.funcstat,***,S
519.namelsad,Censsu Tract 4403.07,Census Tract 4403.07
1396.mtfcc,G5002,G5020
1277.li_cor_dac,LgIC,LIC
1435.mtfcc,G500,G5020
798.li_cor_dac,lLIC,LIC
2944.li_cor_dac,Boht,Both
1565.li_cor_dac,uBoth,Both
3179.mtfcc,G5a020,G5020
2186.namelsad,Census Tact 17.08,Census Tract 17.08
2855.namelsad,Census Tract 5022.01***,Census Tract 5022.01
2204.li_cor_dac,ILC,LIC
2930.li_cor_dac,oBth,Both
2774.namelsad,Censeus Tract 2092,Census Tract 2092
4333.mtfcc,xG5020,G5020
3109.namelsad,Censrus Tract 5318,Census Tract 5318
842.mtfcc,G5002,G5020
2170.funcstat,,S
1718.namelsad,Census Tract 229c4.10,Census Tract 2294.10
3589.li_cor_dac,IC,LIC
4631.funcstat,***,S
437.namelsad,Census pTract 5324,Census Tract 5324
1235.namelsad,Census rTact 1281.01,Census Tract 1281.01
4698.mtfcc,5020,G5020
997.mtfcc,5020,G5020
4350.namelsad,Census Tract4 5.01,Census Tract 45.01
3964.namelsad,Censu Tract 6.04,Census Tract 6.04
937.mtfcc,G5w020,G5020
2328.funcstat,eS,S
965.li_cor_dac,ILC,LIC
802.mtfcc,5G020,G5020
1304.namelsad,Census Tract1 173.03,Census Tract 1173.03
1542.mtfcc,G5002,G5020
4386.funcstat,***,S
3626.li_cor_dac,Boht,Both
3352.mtfcc,G5002,G5020
1039.mtfcc,G5002,G5020
3881.funcstat,wS,S
1940.mtfcc,G0520,G5020
1515.namelsad,Census Tract 6031.01,Census Tract 6013.01
2173.mtfcc,5020,G5020
1043.namelsad,Census Tract 11.v01,Census Tract 11.01
3016.namelsad,Censlus Tract 4354,Census Tract 4354
4276.funcstat,kS,S
2487.namelsad,Census Tract2013,Census Tract 2013
2748.funcstat,,S
2610.mtfcc,G5002,G5020
56.mtfcc,5020,G5020
1362.li_cor_dac,LIgC,LIC
2886.funcstat,***,S
844.namelsad,Census Tarct 4035.02,Census Tract 4035.02
541.namelsad,Census Tract 4736,Census Tract 4376
3368.mtfcc,5020,G5020
