1537.statecounty,MS_lCaiborne,MS_Claiborne
84.statecounty,AL_Clay,AL_Pike
21.statevalue,K,AK
1200.countytwo,altimore ,Baltimore 
44.statevalue,L,AL
1257.statecounty,MI_Craford,MI_Crawford
319.fipstwo,f02105,f09011
652.statefips,64,19
1375.statecounty,MN_Olmstied,MN_Olmsted
1112.statecounty,KYU_nion,KY_Union
1798.countytwo,Pebmbina ,Pembina 
2464.fipstwo,f46092,f46029
2408.countytwo,Anderso n,Anderson 
1804.fipstwo,f83079,f38079
252.fips,2090.0,8005
2396.statevalue,R,PR
376.fipstwo,f02105,f12101
405.statecounty,AL_Greene,GA_Brantley
3002.statevalue,A,VA
541.fipstwo,f1q3301,f13301
364.statecounty,AK_Ketchikan Gateway Borough,FL_Madison
992.statevalue,KaS,KS
1243.statevalue,xMI,MI
395.fips,5067.0,13005
624.county,Mononba ,Monona 
228.county,Aleutians West Census Area,San Diego 
97.fips,2090.0,5001
1567.countytwo,Le e,Lee 
993.statecounty,KS_Wabaunqsee,KS_Wabaunsee
626.statefips,34,19
2979.fipstwo,51125,f51125
91.fipstwo,f01063,f01123
202.fips,2164.0,6021
2772.fipstwo,f43809,f48309
1401.county,Waoseca ,Waseca 
514.fipstwo,fd13247,f13247
1291.countytwo,Mecsta ,Mecosta 
3164.fipstwo,f540o13,f54013
224.fips,6075.0,6065
2499.statecounty,SDi_Minnehaha,SD_Minnehaha
36.fipstwo,f02130,f01013
1451.countytwo,Huolt ,Holt 
346.fips,2198.0,12043
3230.statecounty,WY_Subette,WY_Sublette
1117.statecounty,KYs_Whitley,KY_Whitley
2123.county,Rmichland ,Richland 
2603.countytwo,Unionn ,Union 
1314.fipstwo,f2614m7,f26147
588.statefips,24,19
237.county,Aleutians East Borough,Sierra 
2139.county,iWlliams ,Williams 
1925.statevalue,fNJ,NJ
2767.countytwo,Marti n,Martin 
3185.statecounty,WV_Mrecer,WV_Mercer
924.countytwo,Frankli n,Franklin 
1616.fipstwo,f3001r5,f30015
881.statevalue,qIN,IN
388.county,Unon ,Union 
912.county,Cowle y,Cowley 
315.fips,2070.0,9003
2964.fipstwo,f5113,f51103
544.statevalue,AG,GA
127.fips,2105.0,5061
1410.statevalue,O,MO
305.fipstwo,f02050,f08109
865.county,Pifke ,Pike 
398.statefips,36,13
138.fipstwo,f02016,f05083
1516.statecounty,MO_Vernpon,MO_Vernon
1637.county,McwCone ,McCone 
3132.statecounty,WI_Pepni,WI_Pepin
215.statecounty,AK_Aleutians West Census Area,CA_Merced
220.fips,2110.0,6057
332.statecounty,AK_Ketchikan Gateway Borough,FL_Calhoun
1305.countytwo,Oscodqa ,Oscoda 
204.fipstwo,f02275,f06025
366.statecounty,AL_Barbour,FL_Marion
2840.fipstwo,4f8457,f48457
2046.countytwo,Tompknis ,Tompkins 
533.countytwo,Trroup ,Troup 
1492.fipstwo,f291k69,f29169
295.fips,2164.0,8089
1341.fipstwo,f20741,f27041
813.statecounty,N_Clay,IN_Clay
403.statevalue,A,GA
154.fips,2060.0,5115
129.county,Iznard ,Izard 
1544.county,Forres t,Forrest 
1761.statevalue,CN,NC
1521.countytwo,Worh ,Worth 
403.countytwo,Bib ,Bibb 
201.fipstwo,f02100,f06019
2509.statevalue,D,SD
1897.county,Sewad ,Seward 
2985.county,Norton ity,Norton city
911.statecounty,K_SComanche,KS_Comanche
781.county,Rock Islnd ,Rock Island 
2457.county,Brul e,Brule 
995.statecounty,KSWashington,KS_Washington
651.statecounty,IA_Webstr,IA_Webster
2739.countytwo,Karnesp ,Karnes 
216.countytwo,Modroc ,Modoc 
385.fips,2020.0,12119
2578.county,nMonroe ,Monroe 
2706.statevalue,XT,TX
377.fips,2110.0,12103
105.countytwo,Chicotf ,Chicot 
1877.statecounty,NE_cMPherson,NE_McPherson
1473.statevalue,O,MO
869.countytwo,bPutnam ,Putnam 
2754.statevalue,X,TX
194.statevalue,CpA,CA
391.countytwo,Waltuon ,Walton 
806.statevalue,tIN,IN
73.fipstwo,f02090,f01087
189.fips,2105.0,4023
302.county,Haines Borough,Rio Blanco 
1649.statevalue,TM,MT
210.fipstwo,f02282,f06037
336.fips,2180.0,12021
238.statefips,2.0,6
409.statecounty,AK_Northwest Arctic Borough,GA_Burke
1419.countytwo,Buler ,Butler 
3094.statevalue,WrI,WI
155.county,Prairied ,Prairie 
1493.statecounty,MO_Putnma,MO_Putnam
721.countytwo,oDuglas ,Douglas 
2176.statecounty,O_Johnston,OK_Johnston
396.fipstwo,f02290,f13007
441.statecounty,GA_Earrly,GA_Early
117.statefips,2.0,5
328.statecounty,AK_Lake and Peninsula Borough,FL_Bay
2680.fipstwo,f4137,f48137
99.fips,2110.0,5005
661.fipstwo,f1009,f16009
2847.fipstwo,f48i471,f48471
321.statevalue,T,CT
526.statefips,112,13
28.statevalue,KA,AK
181.fips,2016.0,4009
1534.countytwo,Carrlol ,Carroll 
2801.statevalue,TwX,TX
410.countytwo,Buttsj ,Butts 
2103.statevalue,H,OH
17.statecounty,AK_Aleutians East Borough,AK_Nome Census Area
3088.statevalue,IW,WI
939.countytwo,Jewel ,Jewell 
2685.statevalue,XT,TX
628.statefips,32,19
2348.fipstwo,f720s53,f72053
1946.statecounty,NMColfax,NM_Colfax
2810.countytwo,Rdockwall ,Rockwall 
1102.countytwo,Rwan ,Rowan 
751.statecounty,LI_Lawrence,IL_Lawrence
2124.statecounty,OH_Roiss,OH_Ross
1101.fipstwo,f12203,f21203
228.statecounty,AR_Greene,CA_San Diego
1869.fipstwo,f3110u3,f31103
100.statecounty,AL_Pickens,AR_Benton
2089.fipstwo,f3971,f39071
2804.statecounty,TXe_Real,TX_Real
1756.county,ake ,Wake 
246.countytwo,uTolumne ,Tuolumne 
135.statecounty,AK_Fairbanks North Star Borough,AR_Lee
144.fips,2050.0,5095
571.statecounty,IdA_Carroll,IA_Carroll
786.statevalue,L,IL
3009.fipstwo,51169,f51169
1722.fipstwo,f3117,f37117
630.fipstwo,19145,f19145
1059.statecounty,K_Knott,KY_Knott
2374.fipstwo,7f2103,f72103
1342.statevalue,NM,MN
66.county,Denali Borough,Jefferson 
504.statefips,46,13
2403.statevalue,IR,RI
309.statecounty,AK_Dillingham Census Area,CO_Summit
2778.statecounty,X_Mills,TX_Mills
612.statefips,79,19
261.fipstwo,f01079,f08021
133.statefips,2.0,5
706.fipstwo,17011,f17011
1891.statevalue,wNE,NE
3163.countytwo,Cablel ,Cabell 
2740.countytwo,Kaufan ,Kaufman 
617.statecounty,IA_yon,IA_Lyon
478.statefips,35,13
86.fips,2090.0,1113
907.statevalue,SK,KS
756.county,Macupin ,Macoupin 
257.statefips,2.0,8
333.statecounty,AL_Clay,FL_Charlotte
1857.fipstwo,f310o79,f31079
1386.countytwo,Ric e,Rice 
1017.county,Callowjay ,Calloway 
2132.statevalue,HO,OH
1871.county,Knx ,Knox 
584.statecounty,IA_Decaur,IA_Decatur
332.fips,1129.0,12013
160.statecounty,AR_Cleburne,AR_Searcy
78.statefips,2.0,1
833.statecounty,IN_Harrhison,IN_Harrison
2532.countytwo,gCoffee ,Coffee 
1173.county,Tensas arish,Tensas Parish
279.fips,2110.0,8057
1425.countytwo,arter ,Carter 
194.fips,2013.0,6005
152.statefips,2.0,5
65.fips,2020.0,1071
1958.fipstwo,bf35029,f35029
1189.fipstwo,25011,f25011
2859.statecounty,TX_kWinkler,TX_Winkler
881.fipstwo,f81157,f18157
1489.fipstwo,fn29163,f29163
79.fips,2185.0,1099
248.county,Ysolo ,Yolo 
1135.statevalue,AL,LA
441.statefips,80,13
1171.countytwo,St. Taxmmany ,St. Tammany 
193.county,Dillingham Census Area,Alpine 
2061.countytwo,Broywn ,Brown 
1271.countytwo,Inia ,Ionia 
146.statecounty,AL_Coffee,AR_Nevada
557.fipstwo,15009,f15009
163.fips,6075.0,5135
103.county,Aleutians West Census Area,Calhoun 
906.statevalue,S,KS
2481.fipstwo,fj46063,f46063
1646.county,Powjder River ,Powder River 
382.statevalue,LF,FL
171.statefips,2.0,5
1574.county,onroe ,Monroe 
250.statefips,2.0,8
2430.statecounty,gSC_Horry,SC_Horry
1117.fipstwo,f12235,f21235
2609.county,hite ,White 
2971.statecounty,VA_Madisno,VA_Madison
2266.statevalue,PcA,PA
371.statecounty,AK_Ketchikan Gateway Borough,FL_Okaloosa
314.statecounty,AL_Calhoun,CT_Fairfield
237.fipstwo,f02060,f06091
116.fips,2020.0,5039
322.statevalue,aDC,DC
362.statecounty,AL_Bullock,FL_Levy
125.county,Hempsted ,Hempstead 
203.fips,2016.0,6023
216.fips,2013.0,6049
476.statevalue,vGA,GA
1238.fipstwo,2f6001,f26001
2943.countytwo,Fredericksbur gcity,Fredericksburg city
415.statefips,47,13
2728.county,Huthcinson ,Hutchinson 
2462.countytwo,rClark ,Clark 
2770.county,Maveric ,Maverick 
2415.fipstwo,f4521,f45021
2100.countytwo,Lorai n,Lorain 
1470.county,Mario ,Marion 
2322.countytwo,Adjuntas Mnuicipio,Adjuntas Municipio
140.statecounty,AL_Autauga,AR_Madison
530.statefips,25,13
348.fipstwo,f04015,f12047
2335.statevalue,R,PR
152.statecounty,AK_Southeast Fairbanks Census Area,AR_Poinsett
376.fips,2164.0,12101
1253.statecounty,M_Cheboygan,MI_Cheboygan
2217.county,Woowds ,Woods 
2062.statecounty,O_Butler,OH_Butler
2072.fipstwo,f39m037,f39037
2716.statevalue,X,TX
492.statefips,90,13
397.fips,2070.0,13009
2008.statevalue,Y,NY
2178.countytwo,Kingfisheor ,Kingfisher 
2404.statevalue,I,RI
2207.statevalue,KO,OK
1392.statecounty,MN_St. Luois,MN_St. Louis
254.statefips,2.0,8
523.statefips,48,13
344.statevalue,LF,FL
25.statevalue,KA,AK
1065.statevalue,vKY,KY
2877.statecounty,UT_Irno,UT_Iron
293.fips,2170.0,8085
2517.fipstwo,af47001,f47001
2985.statecounty,VxA_Norton city,VA_Norton city
349.fips,12051.0,12049
2688.countytwo,loyd ,Floyd 
114.statefips,2.0,5
513.county,Rihcmond ,Richmond 
424.statefips,106,13
1380.countytwo,Pol k,Polk 
1856.statevalue,eNE,NE
2323.fipstwo,f72030,f72003
917.countytwo,Dougals ,Douglas 
1476.statecounty,OM_Monroe,MO_Monroe
683.countytwo,Jeroe ,Jerome 
33.statefips,2.0,1
3047.countytwo,Admas ,Adams 
895.statevalue,SK,KS
110.statefips,2.0,5
459.countytwo,winnett ,Gwinnett 
1887.statevalue,kNE,NE
384.statefips,36,12
283.fipstwo,f02150,f08067
123.statevalue,AkR,AR
502.fipstwo,f13l223,f13223
2607.county,Wyne ,Wayne 
323.countytwo,eKnt ,Kent 
393.statecounty,AL_Lauderdale,GA_Appling
213.fipstwo,f01015,f06043
1064.countytwo,ee ,Lee 
2397.statecounty,PR_Villalbav Municipio,PR_Villalba Municipio
2232.fipstwo,41027,f41027
308.fips,5087.0,8115
3110.county,owa ,Iowa 
2958.statecounty,VA_Hopewll city,VA_Hopewell city
2037.fipstwo,3f6093,f36093
323.fips,2050.0,10001
178.statefips,2.0,4
300.fips,2013.0,8099
164.fipstwo,f02150,f05123
1001.county,Alle n,Allen 
369.county,Aleutians West Census Area,Monroe 
2072.county,Drake ,Darke 
234.fips,2105.0,6085
1510.countytwo,Ste. Genveieve ,Ste. Genevieve 
1445.statevalue,fMO,MO
1735.statevalue,C,NC
198.fips,2016.0,6013
2712.fipstwo,fh48201,f48201
2711.countytwo,ardin ,Hardin 
197.statefips,2.0,6
1854.statecounty,NeE_Gosper,NE_Gosper
388.statevalue,L,FL
3070.county,Okaogan ,Okanogan 
52.statefips,2.0,1
231.statefips,2.0,6
34.fipstwo,f01039,f01009
384.county,sSt. Lucie ,St. Lucie 
2487.statevalue,zSD,SD
422.statefips,36,13
2980.countytwo,New eKnt ,New Kent 
2082.countytwo,Gxreene ,Greene 
2028.statecounty,NY_Oleans,NY_Orleans
1407.fipstwo,f27137,f27173
413.fips,1001.0,13043
2775.statevalue,X,TX
331.county,Lake and Peninsula Borough,Broward 
3218.statevalue,YW,WY
2612.statevalue,XT,TX
360.fips,2110.0,12071
559.fipstwo,f1903,f19003
570.statefips,59,19
3129.countytwo,Oneid ,Oneida 
914.statecounty,K_Decatur,KS_Decatur
391.statevalue,L,FL
1499.county,gSaline ,Saline 
1246.countytwo,ay ,Bay 
261.statefips,2.0,8
3118.fipstwo,f550r65,f55065
888.countytwo,tWarren ,Warren 
3132.statevalue,IW,WI
968.countytwo,Phillps ,Phillips 
1919.county,Srtafford ,Strafford 
1900.statevalue,E,NE
2228.countytwo,Dogulas ,Douglas 
29.statevalue,pAK,AK
285.fipstwo,f02050,f08069
1821.statecounty,N_Banner,NE_Banner
251.county,North Slope Borough,Alamosa 
261.fips,2195.0,8021
1057.statecounty,KY_Jhnson,KY_Johnson
1461.county,Leafayette ,Lafayette 
2530.countytwo,gClay ,Clay 
359.statevalue,FuL,FL
23.statevalue,nAK,AK
1619.countytwo,Dawhson ,Dawson 
1838.countytwo,Cuter ,Custer 
3061.countytwo,sIland ,Island 
427.fips,1031.0,13071
1375.countytwo,lOmsted ,Olmsted 
1786.statecounty,ND_Kiqdder,ND_Kidder
126.county,Kenai Peninsula Borough,Hot Spring 
1899.countytwo,herman ,Sherman 
607.countytwo,Japser ,Jasper 
1983.countytwo,Landery ,Lander 
1401.countytwo,Wseca ,Waseca 
2677.county,uval ,Duval 
3033.fipstwo,f5000q1,f50001
51.statevalue,L,AL
174.statefips,2.0,60
2210.statecounty,OK_Stephesn,OK_Stephens
1381.statevalue,NM,MN
200.fipstwo,f05017,f06017
1757.fipstwo,lf37185,f37185
2890.countytwo,Uinta h,Uintah 
1270.countytwo,rIngham ,Ingham 
297.fips,1023.0,8093
259.fips,2122.0,8017
281.statefips,2.0,8
699.statevalue,D,ID
990.fipstwo,f20119,f20191
931.county,Grenwood ,Greenwood 
1308.county,Pzresque Isle ,Presque Isle 
170.statevalue,AL,AR
2500.county,oody ,Moody 
527.statefips,55,13
3101.countytwo,Duglas ,Douglas 
408.statecounty,AK_Anchorage Municipality,GA_Bulloch
382.statecounty,AK_Ketchikan Gateway Borough,FL_Seminole
316.statefips,86,9
2620.statevalue,X,TX
703.statecounty,I_LBond,IL_Bond
496.statecounty,GA_Moragn,GA_Morgan
783.statecounty,IL_Sanamon,IL_Sangamon
430.statecounty,G_Coweta,GA_Coweta
845.fipstwo,18085,f18085
3002.statecounty,VA_Richmnod city,VA_Richmond city
1830.countytwo,Cas ,Cass 
356.county,Aleutians East Borough,Jackson 
196.fips,2060.0,6009
3020.statevalue,VvA,VA
63.county,Hnry ,Henry 
818.fipstwo,xf18031,f18031
367.fips,2164.0,12085
155.statefips,2.0,5
3219.statecounty,WY_Freont,WY_Fremont
2818.county,Schleoicher ,Schleicher 
1943.countytwo,Catrn ,Catron 
570.fipstwo,f9025,f19025
367.statecounty,AK_Valdez-Cordova Census Area,FL_Martin
654.statefips,103,19
1911.fipstwo,f3f3001,f33001
2575.countytwo,Mcinn ,McMinn 
2771.county,kMcCulloch ,McCulloch 
2891.statevalue,TU,UT
609.statefips,71,19
966.county,tOtawa ,Ottawa 
2972.county,Manasysas city,Manassas city
2021.statecounty,NY_fNassau,NY_Nassau
2763.fipstwo,ft48303,f48303
188.fips,2013.0,4021
975.county,Rialey ,Riley 
1289.statevalue,IM,MI
1872.statecounty,NE_Lancaser,NE_Lancaster
313.fipstwo,f02016,f08125
2413.countytwo,Calohun ,Calhoun 
1310.countytwo,aSginaw ,Saginaw 
242.statefips,2.0,6
1029.statevalue,YK,KY
161.fips,2195.0,5131
2049.county,Washinton ,Washington 
1306.statevalue,MsI,MI
341.fipstwo,f06069,f12033
2655.statecounty,T_Collingsworth,TX_Collingsworth
214.county,Mendoino ,Mendocino 
2594.fipstwo,f47155***,f47155
447.statefips,108,13
2649.statecounty,TX_Childres,TX_Childress
1513.countytwo,Sullivakn ,Sullivan 
2292.statevalue,AP,PA
499.statefips,45,13
189.statefips,2.0,4
143.fips,2164.0,5093
97.statefips,2.0,5
2997.countytwo,Prince Willia m,Prince William 
3108.statevalue,IW,WI
1028.countytwo,Cumberlnad ,Cumberland 
387.county,Taylowr ,Taylor 
3024.statevalue,rVA,VA
1711.fipstwo,f7093,f37093
551.statevalue,A,GA
249.statefips,2.0,6
1060.county,Kdnox ,Knox 
3063.statecounty,WA_Kinzg,WA_King
1543.countytwo,wDeSoto ,DeSoto 
2178.county,Kingfismher ,Kingfisher 
2367.statecounty,PRLuquillo Municipio,PR_Luquillo Municipio
1294.countytwo,Missakuee ,Missaukee 
2401.countytwo,Ketn ,Kent 
2197.statecounty,OK_Okpmulgee,OK_Okmulgee
353.county,Juneau City and Borough,Hillsborough 
287.county,Matanuska-Susitna Borough,Lincoln 
238.county,Anchorage Municipality,Siskiyou 
484.statecounty,A_Lowndes,GA_Lowndes
2842.fipstwo,f4v8461,f48461
2536.countytwo,Decautr ,Decatur 
2603.statecounty,N_Union,TN_Union
1283.statevalue,I,MI
418.countytwo,Chattnahoochee ,Chattahoochee 
587.countytwo,Dickinsfon ,Dickinson 
753.statecounty,IL_Livingmston,IL_Livingston
519.fipstwo,f1357,f13257
350.fipstwo,f02016,f12051
1499.statevalue,MbO,MO
959.fipstwo,f2019,f20129
230.statevalue,AC,CA
2725.county,Hward ,Howard 
218.fips,5091.0,6053
744.county,Jhonson ,Johnson 
36.fips,2050.0,1013
506.statefips,60,13
2532.county,Cofrfee ,Coffee 
374.county,Hoonah-Angoon Census Area,Osceola 
2739.fipstwo,tf48255,f48255
759.statecounty,IL_Marsall,IL_Marshall
1403.county,Watonwna ,Watonwan 
633.statefips,20,19
331.statecounty,AK_Juneau City and Borough,FL_Broward
189.county,Kenai Peninsula Borough,Santa Cruz 
2794.statecounty,TX_Paola,TX_Panola
86.county,Kenai Peninsula Borough,Russell 
1254.county,Chipxpewa ,Chippewa 
1607.county,Yalobushda ,Yalobusha 
1924.statevalue,J,NJ
811.countytwo,Csas ,Cass 
1929.county,Hudsonl ,Hudson 
2616.statecounty,TXArcher,TX_Archer
205.fips,2105.0,6027
788.countytwo,Strak ,Stark 
2674.statecounty,TXc_Dickens,TX_Dickens
2337.countytwo,Carolina Municipiso,Carolina Municipio
616.fipstwo,f9117,f19117
3202.county,Summer s,Summers 
249.statecounty,AK_Anchorage Municipality,CA_Yuba
111.fipstwo,f02105,f05029
861.statevalue,N,IN
1721.county,Mdaison ,Madison 
1214.statecounty,MD_Pirnce George's,MD_Prince George's
2306.county,Pie ,Pike 
1672.countytwo,Betrie ,Bertie 
2668.county,Dllas ,Dallas 
374.statecounty,AK_Southeast Fairbanks Census Area,FL_Osceola
313.statecounty,AL_Cherokee,CO_Yuma
1934.countytwo,Morrips ,Morris 
1969.countytwo,Sierr ,Sierra 
2457.statevalue,D,SD
861.statecounty,INOrange,IN_Orange
2902.fipstwo,5f1011,f51011
1763.countytwo,Yadki ,Yadkin 
122.fips,2016.0,5051
3034.statevalue,T,VT
189.statecounty,AL_Jefferson,AZ_Santa Cruz
2192.fipstwo,40101,f40101
796.statevalue,ItL,IL
182.fips,2090.0,4011
369.statevalue,L,FL
401.fipstwo,f08019,f13017
361.statevalue,L,FL
2609.statevalue,N,TN
234.statefips,2.0,6
111.fips,2198.0,5029
407.countytwo,rByan ,Bryan 
2117.statecounty,OHo_Perry,OH_Perry
241.fips,2164.0,6099
2060.statevalue,HO,OH
120.fips,2060.0,5047
276.county,Bristol Bay Borough,Gunnison 
695.county,Poewr ,Power 
409.statevalue,A,GA
1868.county,Kieth ,Keith 
114.fips,2070.0,5035
2341.fipstwo,72039,f72039
255.fips,2164.0,8011
539.statefips,75,13
429.statefips,32,13
838.fipstwo,fo18071,f18071
27.county,Aleutians West Census Area,Wrangell City and Borough
59.county,Juneau City and Borough,Franklin 
222.statevalue,A,CA
378.fipstwo,f02060,f12105
257.fipstwo,f02110,f08014
277.fipstwo,f02060,f08053
2888.countytwo,ummit ,Summit 
224.statevalue,A,CA
215.statefips,2.0,6
245.statecounty,AK_Anchorage Municipality,CA_Tulare
706.statevalue,L,IL
80.fips,2198.0,1101
2108.fipstwo,f3910a9,f39109
268.statefips,2.0,8
1330.statevalue,MiN,MN
2581.county,Mogran ,Morgan 
2335.county,Camuy Municiphio,Camuy Municipio
81.fipstwo,f02016,f01103
407.fips,2122.0,13029
2633.statecounty,TX_Bewster,TX_Brewster
2190.statecounty,OkK_McIntosh,OK_McIntosh
42.fipstwo,f02068,f01025
1690.fipstwo,f7051,f37051
1840.statevalue,E,NE
2761.countytwo,Llno ,Llano 
1450.county,Hickoryz ,Hickory 
1037.countytwo,Fuliton ,Fulton 
108.county,Aleutians West Census Area,Cleburne 
2991.countytwo,iPttsylvania ,Pittsylvania 
673.statecounty,ID_Cilark,ID_Clark
361.fips,2070.0,12073
1883.fipstwo,f31c131,f31131
1551.countytwo,oHinds ,Hinds 
1760.countytwo,Waye ,Wayne 
92.statecounty,AK_Bristol Bay Borough,AL_Tuscaloosa
358.statevalue,wFL,FL
60.statefips,2.0,1
317.fips,5091.0,9007
2560.countytwo,cJackson ,Jackson 
2111.county,Morpgan ,Morgan 
632.statecounty,IA_Pnlymouth,IA_Plymouth
1040.statevalue,Y,KY
316.statecounty,AK_Denali Borough,CT_Litchfield
367.statevalue,L,FL
3193.county,Pendlton ,Pendleton 
1600.countytwo,Wqalthall ,Walthall 
1835.statevalue,E,NE
958.statevalue,SK,KS
170.fips,2050.0,5147
298.fips,2016.0,8095
182.statefips,2.0,4
195.county,Dillingham Census Area,Butte 
1804.county,oRlette ,Rolette 
404.fips,2050.0,13023
1609.countytwo,Beaverkhead ,Beaverhead 
1008.countytwo,Bourbno ,Bourbon 
76.fipstwo,f02050,f01093
2641.statevalue,pTX,TX
1096.fipstwo,21193,f21193
639.countytwo,Scott ***,Scott 
2352.fipstwo,fb72059,f72059
384.statecounty,AL_Autauga,FL_St. Lucie
3136.countytwo,Pricae ,Price 
474.county,Jenknis ,Jenkins 
187.county,Dillingham Census Area,Pima 
199.statecounty,AK_Kenai Peninsula Borough,CA_Del Norte
239.statevalue,CfA,CA
870.statevalue,oIN,IN
314.fips,2122.0,9001
2967.county,Loudounp ,Loudoun 
1575.statevalue,SM,MS
252.fipstwo,f01027,f08005
885.statevalue,NI,IN
2639.fipstwo,f4055,f48055
754.statevalue,LI,IL
2468.statevalue,D,SD
2627.fipstwo,f4803x1,f48031
39.fips,2020.0,1019
268.fipstwo,f02060,f08035
497.statefips,92,13
40.statefips,2.0,1
2594.countytwo,evier ,Sevier 
3159.countytwo,Bperkeley ,Berkeley 
950.county,Lyo ,Lyon 
416.statevalue,AG,GA
2690.fipstwo,f4p8157,f48157
398.statecounty,AL_Bibb,GA_Banks
490.statefips,33,13
342.fips,11001.0,12035
2908.countytwo,land ,Bland 
2415.statevalue,SiC,SC
1668.county,Ason ,Anson 
1622.county,Fegrus ,Fergus 
278.fips,2122.0,8055
258.county,Dillingham Census Area,Chaffee 
971.fipstwo,20153,f20153
810.countytwo,Carrlol ,Carroll 
778.statevalue,lIL,IL
2072.statecounty,OH_arke,OH_Darke
1082.statevalue,Y,KY
185.fips,2060.0,4015
2540.fipstwo,f7047,f47047
2935.countytwo,Fairfaxcity,Fairfax city
2439.statecounty,SC_McoCrmick,SC_McCormick
1974.county,Valncia ,Valencia 
2550.statevalue,N,TN
518.statefips,49,13
434.statecounty,GAg_Dawson,GA_Dawson
3210.fipstwo,54105,f54105
