indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 yeazrs,1.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,Male,2003-2006,1.0,2-19 eyears,0.0,9.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19a years,8.0,"Percent of population, crude",1,Total,1.0,1.2,Male,2007-2010,2.0,2-5 years,0.0,14.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,13.0,"Percent of population, crude",1,Sex,1.0,1.2,Female,2001-2004,3.0,2-91 years,0.0,15.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1.0,"Percent of population, crude",1,Sex,1.0,1.2,2-19 years,2003-2006,4.0,2-19 ears,0.0,15.5,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,101.0,"Percent of populatio,n crude",1,Sex,1.0,1.2,2-19 years,2015-2018,5.0,2-91 years,0.0,15.5,1.1,z-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,2-19 years,2007-2010,6.0,2-1k9 years,0.0,15.4,0.9,
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,2-19 years,2009-2012,7.0,2-19 yars,0.0,16.1,0.7,-
Obesity among children and adolescents aged 2-19 years,b2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,1.2,Male,2007-2010,8.0,2-19 years,0.0,17.1,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,1.0,"Percent of population, crude",1,Sex,1.0,1.2,Female,2001-2004,9.0,2-19 yearms,0.0,17.5,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,63.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,Male,2007-2010,10.0,2-19 vyears,0.0,17.9,0.9,***
Obesity among hildren and adolescents aged 2-19 years,2-1 years,69.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.11,Not Hispanic or Latino: White only,1988-1994,1.0,2-19 years,0.0,9.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-9 years,55.0,"Percent of populatpion, crude",1,Sex,3.0,3.11,2-19 years,1999-2002,2.0,2-5 years,0.0,12.6,1.0,-
Obesity among children and adolescents aged 2-19 years,2-o19 years,1.0,"Percent o fpopulation, crude",0,Sex,3.0,3.11,2-19 years,2007-2010,3.0,-19 years,0.0,15.1,1.2,-
Obesity among children and adolescents aged 2-19 years,219 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.11,Not Hispanic or Latino: White only,2003-2006,4.0,2-19 yqears,0.0,14.7,1.3,-
Obesity among children and adolescents aged 2-19 years,2-1 years,22.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.11,2-19 years,2009-2012,5.0,-19 years,0.0,14.1,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 yearws,49.0,"Percent of population, crude",1,Sex,3.0,3.11,2-19 years,2001-2004,6.0,2-1 9years,0.0,14.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,14.0,"Percent of population, crude",1,Total,3.0,3.11,Not Hispanic or Latino: White only,2015-2018,7.0,2-5 years,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.11,2-19 years,2011-2014,7.0,2-19 eyars,0.0,14.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,99.11,Not Hispanic or Latino: White only,2007-2010,9.0,2-1 9years,0.0,14.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,44.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.11,Not Hispanic or Latino: White only,2007-2010,10.0,2-19 yeairs,0.0,15.1,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex,3.0,3.12,2-19 years,2005-2008,1.0,2-19years,0.0,12.5,0.7,-
Obesity among childrne and adolescents aged 2-19 years,2-19y ears,1.0,"Percent of oppulation, crude",1,Sex,3.0,3.12,2-19 years,2003-2006,2.0,2-1 years,0.0,18.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1.0,"Percent of poulation, crude",1,Race and Hispanic origin,3.0,3.12,2-19 years,2003-2006,3.0,2-19 yearos,0.0,18.8,0.8,-
Obesity among children and adolesctents aged 2-19 years,2-19 eyars,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.12,2-19 years,1988-1994,4.0,219 years,0.0,20.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-1o9 years,10.0,"Percent of population, crude",1,Percent of poverty level,3.0,3.12,Female,2005-2008,6.0,-19 years,0.0,20.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 ybears,38.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.12,Male,1999-2002,6.0,p2-19 years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19years,2.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,7.0,2-19 years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,25.0,"Percent of population, crude",0,Sex,3.0,35.12,Not Hispanic or Latino: Black or African American only,2005-2008,8.0,2-o19 years,0.0,19.5,1.2,-
Obesity among children and adolescents age d2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.12,Male,2007-2010,9.0,2-19 yjears,0.0,20.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.12,2-19 years,2009-2012,10.0,2-19 yaers,0.0,23.1,1.7,-
Obesity amog children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.13,Female,2005-2008,1.0,2-19 eyars,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,6.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.13,Not Hispanic or Latino: Asian only,1999-2002,80.0,2-5 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,21-9 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,66.13,Not Hispanic or Latino: Asian only,2001-2004,2.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2a-19 years,16.0,"Percent of population, crude",1,Sex,3.0,3.13,2-19 years,2001-2004,4.0,2-5 years,0.0,17.9,1.4,u-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,91.0,"Percent of population, crude",0,Race and Hispanic origin,3.0,37.13,Not Hispanic or Latino: Asian only,2005-2008,3.0,2-5 years,0.0,17.9,1.4,-
Obresity among children and adolescents aged 2-19 years,2-19 years,87.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.13,2-19 years,2007-2010,5.0,2r-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.13,2-19 years,2007-2010,7.0,2-9 years,0.0,17.9,1.4,-
Obesityn among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.13,Not Hispanic or Latino: Asian only,2011-2014,2.0,2-19y ears,0.0,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-e19 years,42.0,"Percent f population, crude",1,Race and Hispanic origin,3.0,3.13,2-19 years,2003-2006,9.0,2-19 yeavrs,0.0,9.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1.0,"Percent of population, crude",1,Sex,3.0,3.13,Male,2011-2014,10.0,2-19 yeasr,0.0,9.8,1.1,-
Obesity among children and adolescents aged 2-19 years,219 years,57.0,"Percent ofp opulation, crude",1,Race and Hispanic origin,3.0,3.21,Male: Not Hispanic or Latino: Black or African America,2005-2008,1.0,2-5 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2d-19 years,84.0,"ercent of population, crude",1,Total,3.0,3.21,2-19 years,1988-1994,2.0,2-91 years,0.0,17.9,1.4,-
Obesity among children and radolescents aged 2-19 years,2-19 yaers,2.0,"Percent of population, crude",1,Total,3.0,3.21,Female,2003-2006,3.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,59.0,"Percent of population, crude",1,Total,3.0,3.21,2-19 years,2003-2006,7.0,2-19 yeasr,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 yeas,2.0,"Percent of population, crude",1,Sex,3.0,3.21,2-19 years,2005-2008,2.0,2-19 ears,0.0,17.9,1.4,z-
Obesity among children and adolescents aged 2-19 years,2-c19 years,1.0,"Percent of population, crude",1,Sex,3.0,3.21,Not Hispanic or Latino: White only,2003-2006,6.0,2-19 yeasr,0.0,21.1,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,8.0,"Percent of population, crude",1,Sex,3.0,3.21,2-19 years,1999-2002,7.0,2-19y ears,0.0,21.8,0.6,***
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.21,Not Hispanic or Latino: White only,2007-2010,8.0,2-19 yeasr,0.0,21.9,0.9,-
Obesity among cihldren and adolescents aged 2-19 years,219 years,37.0,"Percent of population, crude",1,Race and Hispanic origin,53.0,3.21,2-19 years,2013-2016,4.0,2-5 years,0.0,23.6,1.2,-
Obesity among children and adolescents aged 2-19 years,-19 years,88.0,"Perecnt of population, crude",1,Total,3.0,3.21,2-19 years,2015-2018,6.0,2-19 yers,0.0,25.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,17.0,"Percent of population, crude",0,Race and Hispanic origin,3.0,3.22,2-19 years,2003-2006,1.0,2-5 years,0.0,14.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 nyears,2.0,"Percent of population, crude",1,Sex,3.0,3.22,2-19 years,1999-2002,2.0,2-19 years,0.0,20.0,1.0,-
Obesity among children and adolescents aged 2-19 years,-19 years,48.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.22,2-19 years,2003-2006,3.0,2-5 years,0.0,19.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,84.0,"Percent of population, cude",1,Sex,3.0,3.22,2-19 years,2003-2006,8.0,2-5 years,0.0,20.9,1.3,
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,3.22,Male,2003-2006,5.0,2-91 years,0.0,21.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yoears,87.0,"Percento f population, crude",1,Race and Hispanic origin,100.0,3.22,Male,1999-2002,6.0,2-19 yars,0.0,21.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,64.0,Percent of population crude,1,Race and Hispanic origin,3.0,3.22,Male,2005-2008,7.0,2-19 years,0.0,21.9,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19years,64.0,"Percent of population, crude",1,Race and Hispanic origin,92.0,3.22,Male,2011-2014,1.0,2-19 yearrs,0.0,22.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19m years,2.0,"Percent of population, crude",1,Total,3.0,3.22,2-19 years,2009-2012,9.0,2-19 years,0.0,24.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-9 years,99.0,"Percent of population, crude",1,Total,3.0,3.22,2-19 years,2007-2010,10.0,2-5 years,0.0,26.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,45.0,"Percent of population, crude",1,Percent of poverty level,4.0,1.1,2-19 years,1999-2002,1.0,2-5 years,0.0,10.6,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,89.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,2.0,2-19 yaers,0.0,16.0,0.9,-
Obesity among children and adolsecents aged 2-19 years,2-19 yeas,99.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,1.1,2-19 years,2001-2004,103.0,2-5 years,0.0,16.0,1.0,-
Obesitya mong children and adolescents aged 2-19 years,-19 years,38.0,"Percent of population, crude",1,Sex,4.0,1.1,Female,2003-2006,6.0,-19 years,0.0,17.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 ears,20.0,"Percent of population, crude",0,Sex,4.0,1.1,2-19 years,2007-2010,5.0,2-19 yoears,0.0,17.8,1.3,***
Obesity among children and adolescents aged 2-19 years,219 years,63.0,"Percent of popuation, crude",1,Race and Hispanic origin,4.0,1.1,2-19 years,2007-2010,7.0,2-19 yers,0.0,20.6,1.7,p-
Obesity among children and adolescents aged 2-19 years,2-19 wyears,98.0,"Percent of population, crude",1,Total,4.0,75.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7.0,-19 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,2-19 years,1999-2002,10.0,2-5 years,0.0,12.9,1.1,-
Obesit yamong children and adolescents aged 2-19 years,2-19 yars,51.0,"Percent of population, crude",1,Total,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,8.0,2-5 years,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,21-9 years,55.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,47.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,9.0,2-1o9 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percnet of population, crude",1,Race and Hispanic origin,4.0,1.1,Female,2013-2016,10.0,2-19 years,21.0,19.2,1.7,***
Obesity amongc hildren and adolescents aged 2-19 years,21-9 years,58.0,"Percent of population, crude",1,Sex,4.0,4.111,2-19 years,2007-2010,1.0,2-19 yars,0.0,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 yyears,7.0,"Percent of population, crude",1,Total,4.0,4.111,2-19 years,1999-2002,44.0,2-19 tyears,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,21-9 years,10.0,"Percent of population, crude",1,Sex,4.0,4.111,2-19 years,2007-2010,3.0,2-9 years,0.0,16.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-1 years,12.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.111,2-19 years,1999-2002,4.0,2-19y ears,0.0,15.6,1.5,-
Obesity among chidren and adolescents aged 2-19 years,2-9 years,17.0,"Percent of population, crude",1,Sex,4.0,4.111,2-19 years,2005-2008,8.0,2-91 years,0.0,14.5,1.4,-
Obesity among children and adolescents aged 2-19 years,j2-19 years,1.0,"Percent of populations, crude",1,Race and Hispanic origin,4.0,4.111,Male,2013-2016,6.0,2-19u years,0.0,15.8,1.3,-
Obesity among children and adolescents aged 2-19 years,q2-19 years,52.0,"Percent of population, crde",1,Sex,4.0,4.111,2-19 years,2007-2010,7.0,2-19 yesars,0.0,14.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Not Hispanic or Latino: White only,2011-2014,1.0,2-19 byears,0.0,14.3,1.6,-
Obesity among cildren and adolescents aged 2-19 years,2-19 yars,26.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.111,2-19 years,1999-2002,9.0,2o-19 years,0.0,15.3,1.3,-
Obesity among chisldren and adolescents aged 2-19 years,2-19 years,21.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,4.111,2-19 years,2015-2018,1.0,219 years,0.0,16.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,31.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,4.113,Female,2003-2006,1.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeaurs,92.0,"Percent of population, crude",0,Sex and race and Hispanic origin,4.0,4.113,Female,2005-2008,2.0,2-5 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,47.0,"Percent of population, crude",1,Total,4.0,4.113,2-19 years,1999-2002,3.0,2-1 9years,0.0,17.9,1.4,-
Obesity among chlidren and adolescents aged 2-19 years,2-19 years,90.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,4.113,Male,2003-2006,7.0,2-19 yeaars,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percetnt of population, crude",1,Race and Hispanic origin,4.0,4.113,2-19 years,2007-2010,5.0,2-1 years,0.0,17.9,1.4,
Obesity among children and adolescents aged -219 years,e2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.113,2-19 years,2007-2010,7.0,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19y ears,94.0,"Percent of population, crude",1,Sex,4.0,4.113,Male,2009-2012,7.0,-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,-19 years,40.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.113,2-19 years,2011-2014,5.0,-19 years,0.0,11.8,1.8,-
Obesity among children and adolescents aaged 2-19 years,2-5 years,46.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,4.113,Male,2011-2014,9.0,2-19 years,0.0,11.9,1.9,-
Obesity among children and adolescents aged 2-19 years,-19 years,24.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.113,2-19 years,2015-2018,8.0,2-19 ears,0.0,12.0,1.6,q-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,5.0,"Percent of population, crude",1,Sex,4.0,4.121,2-19 years,2009-2012,1.0,2-19 yeasr,0.0,17.9,1.4,v-
Obesity among children an dadolescents aged 2-19 years,2-19 years,43.0,"Percent o fpopulation, crude",1,Race and Hispanic origin,4.0,4.121,2-19 years,1999-2002,5.0,-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,2-19 years,2009-2012,3.0,-219 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,u2-19 years,2.0,"Percent of population, crude",0,Race and Hispanic origin,4.0,4.121,2-19 years,2003-2006,7.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex,4.0,4.121,2-19 years,2003-2006,5.0,2-19 yeasr,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,39.0,"Percent of populaion, crude",0,Sex and race and Hispanic origin,0.0,4.121,Female,2007-2010,2.0,2-19 ymears,0.0,23.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19s years,36.0,"Percent of population, crude",1,Sex and race and Hispanic origin,0.0,4.121,Not Hispanic or Latino: Asian only,2009-2012,4.0,2-5 years,0.0,23.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-9 years,85.0,"Percent of population, crude",1,Total,4.0,4.121,2-19 years,2005-2008,8.0,e2-19 years,0.0,22.4,1.2,
Obesity among children and adolescents aged 2-19 years,s2-19 years,47.0,"Percent of population, crude",0,Race and Hispanic origin,4.0,4.121,Male,1988-1994,9.0,2-91 years,0.0,24.3,1.8,l-
Obesity among children and adolescents aged 2-19 yearxs,2-19 yecars,64.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,2-19 years,1999-2002,10.0,2-19 yeas,0.0,28.0,2.2,p-
Obesity among children and adolescents age 2-19 years,2-1 years,1.0,"Percent of population, crude",0,Sex,4.0,4.122,Male,2001-2004,1.0,2-19 yelars,0.0,14.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,98.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.122,2-19 years,1988-1994,2.0,2-19 years,0.0,23.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,71.0,"Percent of population, crude",0,Sex and race and Hispanic origin,3.0,4.122,Female,2011-2014,3.0,2-19 yezars,0.0,22.0,1.0,***
Obesity among children and adolescents aged 2-19 years,21-9 years,88.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.122,2-19 years,2011-2014,4.0,2-5 years,0.0,23.2,1.6,
Obesity among children and adolescents aged 2-19 years,2-19 ears,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,4.122,2-19 years,2011-2014,5.0,2-19 years,0.0,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,70.0,"Percent of population, crude",1,Total,4.0,4.122,2-19 years,2007-2010,2.0,2-19 ears,0.0,24.4,1.4,-
Obesity among cihldren and adolescents aged 2-19 years,2-19 years,72.0,"Percent of populatrion, crude",1,Sex,4.0,4.122,2-19 years,2009-2012,7.0,2l-19 years,0.0,24.1,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,3.0,"Percent of population, crude",1,Sex,4.0,4.122,Female,2009-2012,8.0,2-1 years,0.0,21.8,1.3,-
Obesity among children and adolescents aged -19 years,2-5 years,67.0,Percent of population crude,1,Sex and race and Hispanic origin,4.0,4.122,Male,2013-2016,1.0,2-19 years,0.0,24.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,97.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,4.122,2-19 years,2005-2008,10.0,2-19 yers,0.0,29.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-1c9 years,33.0,"Percent of population, crude",0,Sex and race and Hispanic origin,3.0,4.211,2-19 years,2015-2018,1.0,2-19 yeas,0.0,8.6,1.1,***
Obesity among children and adolescents aged 2-19 years,2-19 years,52.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.211,2-19 years,2015-2018,2.0,-19 years,0.0,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,-219 years,1.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.211,2-19 years,2007-2010,3.0,2-19 yeajrs,0.0,13.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 xyears,1.0,"Percent of population, crude",0,Sex,4.0,4.211,2-19 years,2003-2006,1.0,2-19 ears,0.0,13.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yjears,34.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Not Hispanic or Latino: White only,2005-2008,6.0,2-19years,0.0,13.6,1.7,-
Obesity among children and adolescents aged 2-19 years,-219 years,84.0,"Percent of population, crude",1,Sex,4.0,4.211,2-19 years,1999-2002,6.0,2-5 years,0.0,13.3,1.4,c-
Obesity among children and adolescents aged 2-19 years,2-19years,26.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.211,2-19 years,1988-1994,7.0,2-5 years,0.0,13.6,1.2,***
Obesity among children and adolescents aged 21-9 years,2t-19 years,78.0,"Percent of population, crude",1,Sex,4.0,4.211,2-19 years,2011-2014,7.0,-19 years,0.0,15.1,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yoears,44.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.211,Male,2007-2010,9.0,-19 years,0.0,14.1,1.5,
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percnet of population, crude",1,Sex,4.0,4.211,Female,2015-2018,2.0,2-e19 years,0.0,14.2,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,8.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.213,2-19 years,1988-1994,1.0,2-19 yaers,0.0,17.9,1.4,-
