_id,datetime_est,site,parameter,is_valid,report_value,unit,unit_description,highest_flag,aqs_parameter_category
76,2016-01-01T00:00:00,Parkway East,SONICWS,t,5.8,MPH,miles per hour,,Meteorological
77,2016-01-01T00:00:00,Parkway East,SONICWD,t,260.0,DEG,Degrees,,Meteorological
78,2016-01-01T00:00:00,Parkway East,OUT_RH,t,88.5,PERCENT,Percent,,Meteorological
79,2016-01-01T00:00:00,South Fayette,SONICWD,t,265.0,DEG,Degrees,,Meteorological
80,2016-01-01T00:00:00,South Fayette,SONICWS,t,8.0,MPH,miles per hour,,Meteorological
81,2016-01-01T00:00:00,South Fayette,SIGTHETA,t,21.5,DEG,Degrees,,
82,2016-01-01T00:00:00,Parkway East,SIGTHETA,t,27.0,DEG,Degrees,,
83,2016-01-01T00:00:00,Parkway East,UVPM,t,291.0,NG/M3,nanograms per cubic meter,,
84,2016-01-01T00:00:00,Parkway East,TAPE COUNT,t,728.0,COUNT,Count,,
85,2016-01-01T00:00:00,Avalon,BAMRAW,t,829.0,UG/M3,micrograms per cubic meter,,
86,2016-01-01T00:00:00,Avalon,OUT_T,t,-0.2,DEGC,Degrees Celsius,,Meteorological
87,2016-01-01T00:00:00,Avalon,INT_T,t,21.9,DEGC,Degrees Celsius,,
88,2016-01-01T00:00:00,Avalon,H2S_SO2,t,0.0,PPM,Parts Per Million,C,
89,2016-01-01T00:00:00,Avalon,SO2,t,0.0,PPM,Parts Per Million,C,Criteria Pollutants
90,2016-01-01T00:00:00,Avalon,SONICWS,t,6.8,MPH,miles per hour,,Meteorological
91,2016-01-01T00:00:00,Avalon,SONICWD,t,273.0,DEG,Degrees,,Meteorological
92,2016-01-01T00:00:00,Avalon,PM25B,t,6.0,UG/M3,micrograms per cubic meter,,
93,2016-01-01T00:00:00,Avalon,SIGTHETA,t,25.1,DEG,Degrees,,
94,2016-01-01T00:00:00,Flag Plaza,CO,t,0.1,PPB,Parts Per Billion,C,Criteria Pollutants
95,2016-01-01T00:00:00,Flag Plaza,PM10,t,9.0,UG/M3,micrograms per cub
